Accession,ClosestGenotype,ClosestGenotypePident,ClosestSubtype,ClosestSubtypePident,ReferenceOverlapAA,FullyCover,CoveredRASPositions
PQ335138,4,92.297,4a,92.297,150-321,Yes,150;159;206;282;316;320;321
PQ335140,4,92.133,4a,92.133,150-321,Yes,150;159;206;282;316;320;321
PQ335144,4,92.294,4a,92.294,150-321,Yes,150;159;206;282;316;320;321
PQ335145,4,92.663,4a,92.663,150-321,Yes,150;159;206;282;316;320;321
PQ335146,4,92.738,4a,92.738,150-321,Yes,150;159;206;282;316;320;321
PQ335147,4,92.337,4a,92.337,150-321,Yes,150;159;206;282;316;320;321
PQ335151,4,92.511,4a,92.511,150-321,Yes,150;159;206;282;316;320;321
PQ335152,4,92.663,4a,92.663,150-321,Yes,150;159;206;282;316;320;321
PQ335153,4,93.192,4a,93.192,150-321,Yes,150;159;206;282;316;320;321
PQ335154,4,92.133,4a,92.133,150-321,Yes,150;159;206;282;316;320;321
PQ335157,4,92.709,4a,92.709,150-321,Yes,150;159;206;282;316;320;321
PQ365497,1,94.191,1a,93.852,150-321,Yes,150;159;206;282;316;320;321
PQ365498,3,95.544,3a,93.739,150-321,Yes,150;159;206;282;316;320;321
PQ365499,1,94.473,1a,94.021,150-321,Yes,150;159;206;282;316;320;321
PQ365500,1,94.698,1a,94.191,150-321,Yes,150;159;206;282;316;320;321
PQ365501,3,95.034,3a,93.179,150-321,Yes,150;159;206;282;316;320;321
PQ365503,1,94.078,1a,93.514,150-321,Yes,150;159;206;282;316;320;321
PQ365504,3,82.638,3i,95.699,150-321,Yes,150;159;206;282;316;320;321
PQ365505,3,83.239,3b,92.781,150-321,Yes,150;159;206;282;316;320;321
PQ365506,3,94.642,3a,93.115,150-321,Yes,150;159;206;282;316;320;321
PQ365507,1,93.796,1a,93.119,150-321,Yes,150;159;206;282;316;320;321
PQ365508,3,95.262,3a,93.401,150-321,Yes,150;159;206;282;316;320;321
PQ365509,3,94.921,3a,93.067,150-321,Yes,150;159;206;282;316;320;321
PQ365510,1,81.895,1b,92.668,150-321,Yes,150;159;206;282;316;320;321
PQ365511,3,94.867,3a,93.006,150-321,Yes,150;159;206;282;316;320;321
PQ365514,3,94.695,3a,93.010,150-321,Yes,150;159;206;282;316;320;321
PQ365515,3,95.147,3a,93.405,150-321,Yes,150;159;206;282;316;320;321
PQ365519,3,95.203,3a,93.067,150-321,Yes,150;159;206;282;316;320;321
PQ365520,3,95.147,3a,93.743,150-321,Yes,150;159;206;282;316;320;321
PQ365521,3,95.034,3a,93.236,150-321,Yes,150;159;206;282;316;320;321
PQ365522,3,95.542,3a,93.630,150-321,Yes,150;159;206;282;316;320;321
PQ365523,3,94.529,3a,92.611,150-321,Yes,150;159;206;282;316;320;321
PQ365524,3,83.390,3e,92.442,150-321,Yes,150;159;206;282;316;320;321
PQ365525,3,94.187,3a,92.728,150-321,Yes,150;159;206;282;316;320;321
PQ365526,3,94.642,3a,92.555,150-321,Yes,150;159;206;282;316;320;321
PQ365527,1,94.867,1a,94.191,150-321,Yes,150;159;206;282;316;320;321
PQ365528,3,94.585,3a,92.494,150-321,Yes,150;159;206;282;316;320;321
PQ365529,3,95.147,3a,93.405,150-321,Yes,150;159;206;282;316;320;321
PQ365530,3,95.037,3a,92.781,150-321,Yes,150;159;206;282;316;320;321
PQ365532,3,95.657,3a,94.191,150-321,Yes,150;159;206;282;316;320;321
PQ365533,1,94.529,1a,93.965,150-321,Yes,150;159;206;282;316;320;321
PQ365534,3,94.698,3a,93.627,150-321,Yes,150;159;206;282;316;320;321
PQ365535,3,95.260,3a,93.461,150-321,Yes,150;159;206;282;316;320;321
PQ365536,3,94.695,3a,93.292,150-321,Yes,150;159;206;282;316;320;321
PQ365537,3,95.262,3a,93.627,150-321,Yes,150;159;206;282;316;320;321
PQ365538,3,94.470,3a,92.897,150-321,Yes,150;159;206;282;316;320;321
PQ365539,3,83.804,3g,91.089,150-321,Yes,150;159;206;282;316;320;321
PQ365540,3,94.015,3a,92.857,150-321,Yes,150;159;206;282;316;320;321
ON630763,1,92.179,1a,92.060,150-321,Yes,150;159;206;282;316;320;321
ON630764,1,93.963,1a,93.724,150-321,Yes,150;159;206;282;316;320;321
ON630765,1,93.493,1a,92.716,150-321,Yes,150;159;206;282;316;320;321
ON630766,1,96.299,1a,95.522,150-321,Yes,150;159;206;282;316;320;321
ON630767,1,95.821,1a,94.925,150-321,Yes,150;159;206;282;316;320;321
ON630768,1,95.397,1a,94.620,150-321,Yes,150;159;206;282;316;320;321
ON630769,1,95.164,1a,94.866,150-321,Yes,150;159;206;282;316;320;321
ON630770,1,96.299,1a,95.403,150-321,Yes,150;159;206;282;316;320;321
ON630771,1,95.522,1a,94.866,150-321,Yes,150;159;206;282;316;320;321
ON630772,1,95.164,1a,94.448,150-321,Yes,150;159;206;282;316;320;321
ON630773,1,93.075,1a,93.313,150-321,Yes,150;159;206;282;316;320;321
ON630774,1,93.612,1a,93.134,150-321,Yes,150;159;206;282;316;320;321
ON630775,1,96.000,1a,95.343,150-321,Yes,150;159;206;282;316;320;321
ON630776,1,96.000,1a,95.224,150-321,Yes,150;159;206;282;316;320;321
ON630777,1,93.493,1a,92.776,150-321,Yes,150;159;206;282;316;320;321
ON630778,1,96.119,1a,95.463,150-321,Yes,150;159;206;282;316;320;321
ON630779,1,96.000,1a,95.343,150-321,Yes,150;159;206;282;316;320;321
ON630780,1,96.179,1a,95.522,150-321,Yes,150;159;206;282;316;320;321
ON630781,1,94.806,1a,94.328,150-321,Yes,150;159;206;282;316;320;321
ON630782,1,95.284,1a,94.507,150-321,Yes,150;159;206;282;316;320;321
ON630783,1,94.090,1a,93.552,150-321,Yes,150;159;206;282;316;320;321
ON630784,1,95.940,1a,95.164,150-321,Yes,150;159;206;282;316;320;321
ON630785,1,95.463,1a,94.687,150-321,Yes,150;159;206;282;316;320;321
ON630786,1,94.149,1a,93.851,150-321,Yes,150;159;206;282;316;320;321
ON630787,1,96.239,1a,95.642,150-321,Yes,150;159;206;282;316;320;321
ON630788,1,96.000,1a,94.985,150-321,Yes,150;159;206;282;316;320;321
ON630789,1,94.090,1a,93.791,150-321,Yes,150;159;206;282;316;320;321
ON630790,1,94.090,1a,93.672,150-321,Yes,150;159;206;282;316;320;321
ON630791,1,94.149,1a,93.731,150-321,Yes,150;159;206;282;316;320;321
ON630792,1,95.045,1a,94.328,150-321,Yes,150;159;206;282;316;320;321
ON630793,1,93.970,1a,93.552,150-321,Yes,150;159;206;282;316;320;321
ON630794,1,94.866,1a,94.090,150-321,Yes,150;159;206;282;316;320;321
ON630795,1,95.761,1a,95.403,150-321,Yes,150;159;206;282;316;320;321
ON630796,1,93.672,1a,92.836,150-321,Yes,150;159;206;282;316;320;321
ON630797,1,93.910,1a,93.134,150-321,Yes,150;159;206;282;316;320;321
ON630798,1,93.910,1a,93.313,150-321,Yes,150;159;206;282;316;320;321
ON630799,1,93.552,1a,92.776,150-321,Yes,150;159;206;282;316;320;321
ON630800,1,93.313,1a,92.836,150-321,Yes,150;159;206;282;316;320;321
ON630801,1,93.791,1a,93.075,150-321,Yes,150;159;206;282;316;320;321
ON630802,1,93.970,1a,93.612,150-321,Yes,150;159;206;282;316;320;321
ON630803,1,93.433,1a,92.776,150-321,Yes,150;159;206;282;316;320;321
ON630804,1,96.000,1a,95.104,150-321,Yes,150;159;206;282;316;320;321
ON630805,1,94.448,1a,93.731,150-321,Yes,150;159;206;282;316;320;321
ON630806,1,96.179,1a,95.642,150-321,Yes,150;159;206;282;316;320;321
ON630807,1,94.030,1a,93.313,150-321,Yes,150;159;206;282;316;320;321
ON630808,1,95.642,1a,94.985,150-321,Yes,150;159;206;282;316;320;321
ON630809,1,96.000,1a,95.463,150-321,Yes,150;159;206;282;316;320;321
ON630810,1,95.582,1a,94.687,150-321,Yes,150;159;206;282;316;320;321
ON630811,1,93.970,1a,93.075,150-321,Yes,150;159;206;282;316;320;321
ON630812,1,93.851,1a,93.015,150-321,Yes,150;159;206;282;316;320;321
ON630813,1,94.030,1a,93.552,150-321,Yes,150;159;206;282;316;320;321
ON630814,1,94.090,1a,93.254,150-321,Yes,150;159;206;282;316;320;321
ON630815,1,94.507,1a,93.672,150-321,Yes,150;159;206;282;316;320;321
ON630816,1,96.716,1a,96.060,150-321,Yes,150;159;206;282;316;320;321
ON630817,1,93.970,1a,93.791,150-321,Yes,150;159;206;282;316;320;321
ON630818,1,93.552,1a,92.776,150-321,Yes,150;159;206;282;316;320;321
ON630819,1,94.328,1a,93.493,150-321,Yes,150;159;206;282;316;320;321
ON630820,1,95.582,1a,94.687,150-321,Yes,150;159;206;282;316;320;321
ON630821,1,93.254,1a,93.075,150-321,Yes,150;159;206;282;316;320;321
ON630822,1,95.881,1a,95.224,150-321,Yes,150;159;206;282;316;320;321
ON630823,1,93.493,1a,92.836,150-321,Yes,150;159;206;282;316;320;321
ON630824,1,94.507,1a,93.731,150-321,Yes,150;159;206;282;316;320;321
ON630825,1,96.299,1a,95.522,150-321,Yes,150;159;206;282;316;320;321
ON630826,1,95.522,1a,95.045,150-321,Yes,150;159;206;282;316;320;321
ON630827,1,93.970,1a,93.194,150-321,Yes,150;159;206;282;316;320;321
ON630828,1,93.552,1a,92.836,150-321,Yes,150;159;206;282;316;320;321
ON630829,1,93.970,1a,93.373,150-321,Yes,150;159;206;282;316;320;321
ON630830,1,96.358,1a,95.940,150-321,Yes,150;159;206;282;316;320;321
ON630831,1,93.552,1a,92.955,150-321,Yes,150;159;206;282;316;320;321
ON630832,1,96.478,1a,96.060,150-321,Yes,150;159;206;282;316;320;321
ON630833,1,94.687,1a,94.149,150-321,Yes,150;159;206;282;316;320;321
ON630834,1,96.060,1a,95.164,150-321,Yes,150;159;206;282;316;320;321
ON630835,1,94.866,1a,94.209,150-321,Yes,150;159;206;282;316;320;321
ON630836,1,96.000,1a,95.403,150-321,Yes,150;159;206;282;316;320;321
ON630837,1,96.179,1a,95.284,150-321,Yes,150;159;206;282;316;320;321
ON630838,1,95.761,1a,94.985,150-321,Yes,150;159;206;282;316;320;321
ON630839,1,95.045,1a,94.388,150-321,Yes,150;159;206;282;316;320;321
ON630840,1,95.045,1a,94.149,150-321,Yes,150;159;206;282;316;320;321
ON630841,1,95.522,1a,94.627,150-321,Yes,150;159;206;282;316;320;321
ON630842,1,96.179,1a,95.582,150-321,Yes,150;159;206;282;316;320;321
ON630843,1,96.119,1a,95.343,150-321,Yes,150;159;206;282;316;320;321
ON630844,1,95.403,1a,94.627,150-321,Yes,150;159;206;282;316;320;321
ON630845,1,95.821,1a,95.045,150-321,Yes,150;159;206;282;316;320;321
ON630846,1,95.224,1a,94.567,150-321,Yes,150;159;206;282;316;320;321
ON630847,1,95.701,1a,95.224,150-321,Yes,150;159;206;282;316;320;321
ON630848,1,95.761,1a,95.164,150-321,Yes,150;159;206;282;316;320;321
ON630849,1,95.940,1a,95.045,150-321,Yes,150;159;206;282;316;320;321
ON630850,1,93.672,1a,93.134,150-321,Yes,150;159;206;282;316;320;321
ON630851,1,96.716,1a,95.821,150-321,Yes,150;159;206;282;316;320;321
ON630852,1,95.642,1a,94.746,150-321,Yes,150;159;206;282;316;320;321
ON630853,1,95.821,1a,95.224,150-321,Yes,150;159;206;282;316;320;321
ON630854,1,95.343,1a,94.448,150-321,Yes,150;159;206;282;316;320;321
ON630855,1,93.552,1a,93.015,150-321,Yes,150;159;206;282;316;320;321
ON630856,1,93.254,1a,92.657,150-321,Yes,150;159;206;282;316;320;321
ON630857,1,93.134,1a,92.776,150-321,Yes,150;159;206;282;316;320;321
ON630858,1,93.433,1a,92.955,150-321,Yes,150;159;206;282;316;320;321
ON630859,1,93.075,1a,92.597,150-321,Yes,150;159;206;282;316;320;321
ON630860,1,95.224,1a,94.448,150-321,Yes,150;159;206;282;316;320;321
ON630861,1,96.119,1a,95.343,150-321,Yes,150;159;206;282;316;320;321
ON630862,1,93.612,1a,93.194,150-321,Yes,150;159;206;282;316;320;321
ON630863,1,96.776,1a,96.060,150-321,Yes,150;159;206;282;316;320;321
ON630864,1,96.299,1a,95.522,150-321,Yes,150;159;206;282;316;320;321
ON630865,1,94.687,1a,93.910,150-321,Yes,150;159;206;282;316;320;321
ON630866,1,94.448,1a,93.851,150-321,Yes,150;159;206;282;316;320;321
ON630867,1,96.179,1a,95.403,150-321,Yes,150;159;206;282;316;320;321
ON630868,1,96.836,1a,96.060,150-321,Yes,150;159;206;282;316;320;321
ON630869,1,94.746,1a,93.970,150-321,Yes,150;159;206;282;316;320;321
ON630870,4,83.443,4d,94.866,150-321,Yes,150;159;206;282;316;320;321
ON630871,4,83.622,4d,94.985,150-321,Yes,150;159;206;282;316;320;321
ON630872,4,83.443,4d,94.627,150-321,Yes,150;159;206;282;316;320;321
ON630873,4,83.622,4d,95.343,150-321,Yes,150;159;206;282;316;320;321
ON630874,4,83.742,4d,95.045,150-321,Yes,150;159;206;282;316;320;321
ON630875,4,83.701,4d,94.800,150-321,Yes,150;159;206;282;316;320;321
ON630876,4,83.383,4d,94.687,150-321,Yes,150;159;206;282;316;320;321
ON630877,4,83.463,4d,94.620,150-321,Yes,150;159;206;282;316;320;321
ON630878,4,83.522,4d,94.680,150-321,Yes,150;159;206;282;316;320;321
ON630879,4,83.642,4d,94.561,150-321,Yes,150;159;206;282;316;320;321
ON630880,4,83.701,4d,95.039,150-321,Yes,150;159;206;282;316;320;321
ON630881,4,83.701,4d,95.218,150-321,Yes,150;159;206;282;316;320;321
ON630882,4,84.010,4d,95.278,150-321,Yes,150;159;206;282;316;320;321
ON630883,4,83.522,4d,94.860,150-321,Yes,150;159;206;282;316;320;321
ON630884,4,83.761,4d,95.278,150-321,Yes,150;159;206;282;316;320;321
ON630885,4,83.701,4d,94.860,150-321,Yes,150;159;206;282;316;320;321
ON630886,4,83.811,4d,94.919,150-321,Yes,150;159;206;282;316;320;321
ON630887,4,83.771,4d,94.680,150-321,Yes,150;159;206;282;316;320;321
ON630888,4,83.443,4d,95.224,150-321,Yes,150;159;206;282;316;320;321
ON630889,4,83.622,4d,94.866,150-321,Yes,150;159;206;282;316;320;321
ON630890,4,83.831,4d,94.860,150-321,Yes,150;159;206;282;316;320;321
ON630891,4,83.403,4d,94.860,150-321,Yes,150;159;206;282;316;320;321
ON630892,4,83.343,4d,95.397,150-321,Yes,150;159;206;282;316;320;321
ON630893,4,83.761,4d,95.158,150-321,Yes,150;159;206;282;316;320;321
ON630894,4,83.592,4d,94.680,150-321,Yes,150;159;206;282;316;320;321
ON630895,4,84.368,4d,95.278,150-321,Yes,150;159;206;282;316;320;321
ON630896,4,83.821,4d,94.561,150-321,Yes,150;159;206;282;316;320;321
ON630897,4,83.294,4d,95.158,150-321,Yes,150;159;206;282;316;320;321
ON630898,4,83.115,4d,94.202,150-321,Yes,150;159;206;282;316;320;321
ON630899,4,83.463,4d,95.158,150-321,Yes,150;159;206;282;316;320;321
ON630900,4,83.463,4d,95.218,150-321,Yes,150;159;206;282;316;320;321
MW675788,1,97.575,1a,96.871,150-321,Yes,150;159;206;282;316;320;321
MW675789,1,97.575,1a,96.871,150-321,Yes,150;159;206;282;316;320;321
MW675790,1,93.966,1a,93.391,150-321,Yes,150;159;206;282;316;320;321
MW675791,1,93.739,1a,93.175,150-321,Yes,150;159;206;282;316;320;321
MW675792,1,95.262,1a,94.303,150-321,Yes,150;159;206;282;316;320;321
MW675793,1,94.195,1a,93.391,150-321,Yes,150;159;206;282;316;320;321
MW675794,1,94.195,1a,93.391,150-321,Yes,150;159;206;282;316;320;321
MW675795,1,94.134,1a,93.345,150-321,Yes,150;159;206;282;316;320;321
MW675796,1,94.138,1a,93.333,150-321,Yes,150;159;206;282;316;320;321
MW675797,4,84.086,4d,95.034,150-321,Yes,150;159;206;282;316;320;321
MW675798,4,83.973,4d,94.921,150-321,Yes,150;159;206;282;316;320;321
MW675799,4,84.086,4d,95.090,150-321,Yes,150;159;206;282;316;320;321
MW675800,4,84.255,4d,94.921,150-321,Yes,150;159;206;282;316;320;321
MN628574,3,94.698,3a,93.006,150-321,Yes,150;159;206;282;316;320;321
MN628575,3,94.639,3a,92.954,150-321,Yes,150;159;206;282;316;320;321
MN628576,3,94.360,3a,92.555,150-321,Yes,150;159;206;282;316;320;321
MN628577,3,94.585,3a,93.006,150-321,Yes,150;159;206;282;316;320;321
MN628578,3,94.526,3a,93.123,150-321,Yes,150;159;206;282;316;320;321
MN628579,3,94.585,3a,93.175,150-321,Yes,150;159;206;282;316;320;321
MN628580,1,95.037,1a,94.473,150-321,Yes,150;159;206;282;316;320;321
MN628581,3,95.260,3a,93.687,150-321,Yes,150;159;206;282;316;320;321
MN628582,3,95.203,3a,93.517,150-321,Yes,150;159;206;282;316;320;321
MN628584,3,94.357,3a,92.559,150-321,Yes,150;159;206;282;316;320;321
MN628585,3,95.316,3a,93.743,150-321,Yes,150;159;206;282;316;320;321
