Accession,ClosestGenotype,ClosestGenotypePident,ClosestSubtype,ClosestSubtypePident,ReferenceOverlapAA,FullyCover,CoveredNS3RASPositions
ON314828,2,80.444,2k,84.289,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365497,1,93.133,1a,93.238,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365498,3,92.868,3a,91.662,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365499,1,92.604,1a,92.816,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365500,1,93.291,1a,93.344,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365501,3,93.978,3a,92.608,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365502,3,94.609,3a,93.023,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365503,1,92.868,1a,93.291,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365505,3,78.583,3b,89.418,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365507,1,92.710,1a,92.921,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365508,3,93.291,3a,91.926,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365509,3,93.555,3a,92.823,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365510,1,79.514,1b,89.065,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365512,3,93.502,3a,91.979,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365513,3,79.989,3d,81.395,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365514,3,93.027,3a,92.027,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365515,3,92.974,3a,91.662,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365517,3,91.548,3a,90.444,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365519,3,93.344,3a,91.816,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365520,3,93.819,3a,93.136,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365521,3,93.080,3a,92.401,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365522,3,93.872,3a,92.186,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365523,3,92.763,3a,91.077,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365524,3,79.704,3e,89.905,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365525,3,92.393,3a,91.346,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365526,3,93.027,3a,91.662,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365527,1,92.710,1a,92.868,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365528,3,92.604,3a,91.922,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365529,3,93.238,3a,92.454,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365530,3,93.450,3a,92.243,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365531,3,92.287,3a,92.027,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365532,3,92.921,3a,92.401,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365534,3,92.763,3a,91.601,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365535,3,92.921,3a,91.816,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365536,3,94.031,3a,92.450,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365537,3,93.450,3a,92.559,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365538,3,93.925,3a,92.348,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365540,3,92.921,3a,91.609,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT633132,7,71.325,7b,79.934,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT893900,4,80.276,4c,91.321,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT893901,4,80.620,4c,91.473,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT893902,4,78.261,4k,92.520,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT893904,4,83.613,4c,91.993,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT893905,4,77.935,4r,92.063,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT893906,4,77.935,4r,91.519,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MW041294,2,81.871,2r,83.864,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MW041295,2,78.383,2v,100.000,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MW041296,2,82.294,2r,83.917,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MW041297,2,79.440,2v,90.605,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MW041298,2,79.598,2v,91.879,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MW041299,2,79.757,2v,90.924,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630763,1,91.548,1a,91.389,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630764,1,92.129,1a,92.287,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630765,1,91.495,1a,91.918,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630766,1,94.612,1a,94.665,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630767,1,94.506,1a,94.083,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630768,1,93.819,1a,93.872,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630769,1,93.502,1a,94.083,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630770,1,94.717,1a,94.506,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630771,1,94.295,1a,93.978,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630772,1,93.767,1a,93.925,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630773,1,91.178,1a,91.706,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630774,1,92.287,1a,92.446,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630775,1,94.136,1a,94.189,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630776,1,95.087,1a,94.982,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630777,1,92.076,1a,92.340,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630778,1,93.872,1a,94.242,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630779,1,94.400,1a,94.348,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630780,1,93.502,1a,93.925,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630781,1,94.083,1a,94.189,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630782,1,93.819,1a,93.714,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630783,1,91.548,1a,92.076,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630784,1,94.295,1a,94.083,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630785,1,94.929,1a,94.823,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630786,1,91.548,1a,92.182,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630787,1,94.242,1a,94.295,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630788,1,94.609,1a,94.397,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630789,1,92.552,1a,92.816,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630790,1,92.235,1a,92.499,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630791,1,92.340,1a,92.604,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630792,1,93.502,1a,93.661,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630793,1,92.129,1a,92.499,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630794,1,93.502,1a,93.450,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630795,1,94.665,1a,94.400,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630796,1,91.389,1a,91.918,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630797,1,91.653,1a,91.918,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630798,1,92.023,1a,92.129,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630799,1,92.499,1a,92.604,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630800,1,92.076,1a,92.393,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630801,1,92.499,1a,93.080,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630802,1,91.495,1a,91.970,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630803,1,92.340,1a,92.604,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630804,1,94.770,1a,94.665,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630805,1,91.970,1a,92.287,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630806,1,93.502,1a,93.978,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630807,1,92.023,1a,91.918,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630808,1,93.661,1a,93.555,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630809,1,93.344,1a,93.819,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630810,1,94.665,1a,94.559,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630811,1,91.918,1a,92.393,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630812,1,91.759,1a,91.970,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630813,1,92.604,1a,92.868,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630814,1,92.287,1a,92.499,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630815,1,92.921,1a,93.027,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630816,1,95.668,1a,95.351,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630817,1,91.442,1a,91.865,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630818,1,92.446,1a,92.657,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630819,1,92.076,1a,92.446,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630820,1,94.770,1a,94.665,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630821,1,91.759,1a,91.970,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630822,1,95.087,1a,94.770,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630823,1,92.552,1a,92.552,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630824,1,92.868,1a,93.027,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630825,1,94.453,1a,94.348,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630826,1,93.819,1a,94.136,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630827,1,91.865,1a,91.970,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630828,1,92.023,1a,92.287,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630829,1,91.337,1a,91.865,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630830,1,95.404,1a,95.087,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630831,1,91.601,1a,91.759,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630832,1,95.404,1a,95.087,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630833,1,93.767,1a,93.608,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630834,1,94.717,1a,94.717,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630835,1,93.502,1a,93.344,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630836,1,93.291,1a,93.397,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630837,1,94.717,1a,94.717,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630838,1,94.506,1a,94.400,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630839,1,93.714,1a,93.608,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630840,1,93.291,1a,93.291,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630841,1,94.612,1a,94.506,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630842,1,94.136,1a,94.083,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630843,1,94.612,1a,94.506,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630844,1,94.031,1a,94.031,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630845,1,94.295,1a,94.189,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630846,1,94.242,1a,94.295,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630847,1,94.189,1a,94.612,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630848,1,94.189,1a,94.612,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630849,1,94.876,1a,94.665,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630850,1,91.231,1a,91.495,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630851,1,93.925,1a,94.295,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630852,1,95.087,1a,94.982,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630853,1,94.242,1a,94.665,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630854,1,93.555,1a,93.608,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630855,1,91.337,1a,91.759,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630856,1,91.601,1a,91.548,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630857,1,91.706,1a,91.442,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630858,1,92.023,1a,92.023,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630859,1,91.548,1a,92.182,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630860,1,93.661,1a,93.555,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630861,1,94.400,1a,94.295,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630862,1,91.178,1a,91.442,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630863,1,93.344,1a,93.872,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630864,1,94.400,1a,94.295,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630865,1,92.340,1a,93.027,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630866,1,91.548,1a,91.653,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630867,1,94.400,1a,94.348,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630868,1,95.140,1a,95.668,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630869,1,92.393,1a,93.080,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630870,4,81.035,4d,94.136,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630871,4,81.194,4d,93.925,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630872,4,80.507,4d,94.083,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630873,4,81.088,4d,93.819,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630874,4,80.718,4d,93.661,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630875,4,80.824,4d,94.189,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630876,4,80.940,4d,93.502,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630877,4,81.194,4d,93.608,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630878,4,81.141,4d,93.661,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630879,4,81.352,4d,94.559,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630880,4,81.141,4d,94.295,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630881,4,80.824,4d,94.136,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
