Accession,ClosestGenotype,ClosestGenotypePident,ClosestGenotypeAlignedNT,ClosestSubtype,ClosestSubtypePident,ClosestSubtypeAlignedNT,ReferenceOverlapAA,FullyCover,CoveredRASPositions
MW205398,4,76.054,664,4v,81.803,610,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205399,4,76.712,657,4k,89.593,615,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205400,4,75.923,623,4k,86.667,615,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205401,4,75.190,657,4k,90.894,615,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205402,4,74.926,678,4k,89.431,615,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205403,4,76.702,661,4k,92.040,603,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205404,4,77.519,645,4k,90.713,603,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205405,4,77.419,682,4f,90.675,622,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205406,4,80.258,466,4n,92.026,464,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205407,4,80.477,461,4n,93.059,461,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205408,4,80.901,466,4n,92.888,464,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205409,4,79.872,467,4n,90.558,466,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205410,4,79.176,461,4n,90.672,461,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205411,4,81.046,459,4n,91.957,460,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205412,4,82.646,461,4n,90.889,461,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205413,4,80.911,461,4n,91.106,461,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205414,4,78.970,466,4n,89.224,464,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205415,6,71.329,286,6f,76.868,281,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205416,4,70.024,417,4d,73.381,417,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205417,6,76.443,1074,6e,85.783,626,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205418,6,72.356,416,6e,91.346,416,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205419,6,72.530,415,6e,92.736,413,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205420,6,69.903,412,6e,90.534,412,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205421,6,72.222,414,6e,85.437,412,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205422,6,75.232,323,6a,93.538,325,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205423,6,76.757,370,6a,93.750,368,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205424,6,74.405,336,6a,92.560,336,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205425,6,77.419,341,6a,95.342,365,32-93,,32;38;58;62;92;93
MW205426,1,79.302,430,1g,92.326,430,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205427,1,79.817,436,1g,92.202,436,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205428,1,80.275,436,1g,92.202,436,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205429,1,76.279,430,1g,89.535,430,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205430,3,74.174,333,3b,84.928,345,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205431,3,72.549,357,3b,87.115,357,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205432,3,74.652,359,3b,86.740,362,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205433,3,73.720,293,3b,84.416,308,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205434,3,71.886,281,3b,88.065,310,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205435,3,71.913,737,3k,90.972,576,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205436,2,82.175,331,2i,84.592,331,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205437,2,80.374,428,2i,83.747,443,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205438,2,83.988,331,2i,84.592,331,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205439,2,78.540,452,2v,82.522,452,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205440,2,83.082,331,2u,83.587,329,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205441,2,80.174,459,2i,83.406,458,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205442,2,74.755,408,2d,79.853,407,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205443,2,77.778,432,2v,82.167,443,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205444,2,82.558,344,2e,90.173,346,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205445,2,79.956,459,2u,83.224,459,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205446,2,81.882,425,2i,91.375,429,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205447,2,84.870,423,2i,91.943,422,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205448,2,84.688,320,2i,91.250,320,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205449,2,81.004,458,2i,88.865,458,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205450,2,80.706,425,2i,84.000,425,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205451,2,79.680,438,2c,88.356,438,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205452,2,79.266,463,2c,89.805,461,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205453,2,78.478,460,2c,87.391,460,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205454,2,81.779,461,2r,91.304,460,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205455,2,80.952,462,2r,90.672,461,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205456,2,82.393,443,2f,83.973,443,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205457,2,80.126,317,2q,83.175,315,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205458,2,80.952,462,2f,86.768,461,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205459,2,78.139,462,2f,89.154,461,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205460,2,81.798,456,2f,85.934,455,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205461,2,80.952,462,2i,82.430,461,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205462,2,78.994,338,2q,83.436,326,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205463,2,77.419,434,2u,79.032,434,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205464,2,78.556,457,2q,81.619,457,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205465,2,77.027,444,2i,81.279,438,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW205466,2,76.573,461,2k,86.551,461,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW357793,1,76.829,410,1b,90.754,411,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW357794,1,78.832,411,1b,91.241,411,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW357795,1,78.589,411,1b,92.457,411,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW357796,1,78.780,410,1b,91.241,411,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW357797,1,79.756,410,1b,93.187,411,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW357798,1,79.756,410,1b,93.187,411,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW357799,1,78.293,410,1b,91.727,411,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW357800,1,78.378,407,1b,93.857,407,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW357801,1,78.061,392,1b,91.071,392,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW357802,1,78.049,410,1b,91.089,404,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW357803,1,80.049,411,1b,91.707,410,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW357804,1,78.832,411,1b,94.161,411,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW357805,1,79.710,414,1b,93.431,411,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW357806,1,78.049,410,1b,92.214,411,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW357807,1,79.756,410,1b,93.674,411,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW357808,1,78.293,410,1b,92.457,411,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW357809,1,80.000,410,1b,93.917,411,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW357810,1,78.986,414,1b,90.268,411,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW357811,1,78.345,411,1b,93.187,411,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW357812,1,78.676,408,1b,91.176,408,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW357813,1,77.340,406,1b,92.840,405,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MW357814,1,79.319,411,1b,92.944,411,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327730,3,93.363,1356,3a,93.049,633,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327731,1,91.735,1343,1a,92.488,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327732,1,94.420,1344,1a,95.305,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327733,1,91.592,1344,1a,92.019,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327734,1,92.783,1344,1a,94.679,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327735,3,93.953,1356,3a,93.114,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327736,1,91.518,1344,1a,92.633,638,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327737,1,92.113,1344,1a,94.025,636,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327738,3,94.174,1356,3a,92.801,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327739,1,92.708,1344,1a,94.331,635,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327740,1,92.113,1344,1a,93.427,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327741,1,91.443,1344,1a,92.019,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327742,1,91.741,1344,1a,91.549,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327743,1,83.308,1312,1a,93.114,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327744,1,91.667,1344,1a,92.175,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327745,3,92.699,1356,3a,92.320,638,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327746,1,91.964,1344,1a,92.958,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327747,1,94.792,1344,1a,96.557,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327748,3,92.994,1356,3a,92.332,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327749,1,92.783,1344,1a,94.210,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327750,3,93.289,1356,3a,92.332,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327751,1,91.443,1344,1a,92.958,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327752,4,75.901,1332,4d,94.444,630,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327753,1,76.876,1306,1b,92.756,635,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327754,3,94.174,1356,3a,92.175,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327755,2,75.293,1024,2b,91.038,636,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327756,3,92.920,1356,3a,91.706,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327757,3,92.546,1355,3a,90.610,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327758,1,92.188,1344,1a,93.740,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327759,3,93.879,1356,3a,92.645,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327760,1,93.304,1344,1a,93.740,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327761,1,93.070,1342,1a,93.711,636,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327762,1,91.660,1343,1a,92.175,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327763,1,89.807,1344,1a,92.488,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327764,3,92.699,1356,3a,92.488,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327765,1,92.039,1344,1a,93.114,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327766,1,92.033,1343,1a,93.250,637,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327767,1,93.973,1344,1a,94.523,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327768,1,91.964,1344,1a,92.163,638,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327769,1,76.794,1310,1b,91.496,635,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327770,1,92.932,1344,1a,94.366,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327771,1,91.071,1344,1a,92.163,638,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327772,3,91.962,1356,3a,90.767,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327773,3,93.805,1356,3a,93.250,637,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327774,1,75.483,1346,1b,91.038,636,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327775,1,76.226,1346,1b,92.296,636,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327776,1,93.229,1344,1a,94.025,636,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327777,1,91.809,1343,1a,92.175,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327778,1,94.494,1344,1a,94.210,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327779,3,91.224,1356,3a,90.767,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327780,3,92.472,1355,3a,91.080,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327781,3,94.027,1356,3a,91.549,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327782,1,95.312,1344,1a,94.992,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327783,3,92.148,1350,3a,90.923,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327784,2,72.242,1405,2b,92.138,636,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327785,1,93.676,1344,1a,95.305,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327786,3,92.699,1356,3a,91.549,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327787,1,95.833,1344,1a,95.618,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327788,1,92.262,1344,1a,92.488,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327789,3,91.593,1356,3a,91.706,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327790,1,92.560,1344,1a,92.801,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327791,1,76.888,1311,1b,92.610,636,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327792,1,93.601,1344,1a,94.679,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327793,1,93.452,1344,1a,93.740,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327794,3,93.658,1356,3a,93.114,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327795,1,90.551,1344,1a,91.080,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327796,3,93.732,1356,3a,92.801,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327797,1,91.295,1344,1a,91.393,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327798,1,92.113,1344,1a,93.584,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327799,3,93.289,1356,3a,90.767,639,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
MZ327800,2,74.859,1062,2b,92.138,636,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506742,1,90.189,581,1a,90.017,581,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506743,1,94.737,570,1a,94.737,570,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506744,1,93.874,555,1a,93.333,555,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506745,1,91.463,574,1a,90.941,574,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506746,1,76.448,518,1b,91.182,533,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506747,1,85.110,544,1a,86.267,517,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506748,1,92.105,608,1a,91.612,608,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506749,1,94.320,581,1a,93.976,581,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506750,1,91.489,611,1a,90.998,611,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506751,3,91.392,546,3a,90.659,546,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506752,1,76.607,560,1b,90.941,563,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506753,1,90.827,556,1a,90.108,556,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506754,4,79.264,598,4d,95.302,596,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506755,1,76.190,525,1b,91.837,539,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506756,1,92.282,609,1a,92.118,609,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506757,4,88.557,603,4a,88.557,603,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506758,3,92.096,582,3a,90.051,583,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506759,4,88.287,572,4a,88.287,572,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506760,1,92.799,611,1a,92.635,611,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506761,1,92.696,575,1a,92.174,575,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506762,3,92.512,601,3a,91.181,601,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506763,1,92.623,610,1a,91.803,610,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506764,1,75.618,607,1b,89.456,607,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506765,1,89.425,539,1a,89.239,539,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506766,1,93.640,456,1a,92.763,456,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506767,1,91.960,597,1a,91.122,597,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506768,1,92.049,566,1a,91.519,566,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506769,1,89.391,575,1a,89.217,575,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506770,1,90.835,611,1a,90.344,611,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506771,1,91.100,618,1a,90.939,618,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506772,1,91.100,618,1a,91.424,618,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506773,3,92.427,581,3a,91.394,581,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506774,1,77.023,618,1b,91.909,618,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506775,1,91.290,597,1a,90.787,597,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506776,1,93.204,618,1a,92.718,618,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506777,1,93.155,599,1a,92.654,599,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506778,4,87.455,558,4a,87.455,558,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506779,3,92.079,606,3a,91.419,606,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506780,1,77.346,618,1b,93.042,618,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506781,4,89.199,574,4a,89.199,574,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506782,3,90.762,617,3a,90.113,617,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506783,1,91.444,561,1a,91.266,561,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506784,3,93.069,606,3a,91.914,606,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506785,1,77.375,579,1b,91.869,578,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506786,1,91.327,565,1a,90.442,565,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506787,1,91.612,608,1a,91.118,608,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506788,1,92.345,614,1a,91.857,614,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506789,1,92.880,618,1a,92.071,618,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506790,3,90.924,606,3a,91.254,606,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506791,1,76.562,576,1b,92.882,576,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506792,1,92.334,574,1a,91.812,574,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506793,4,80.175,570,4d,95.263,570,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506794,3,91.104,607,3a,89.274,606,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506795,1,90.317,599,1a,89.816,599,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506796,4,88.487,608,4a,88.487,608,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506797,1,94.243,608,1a,94.408,608,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506798,3,93.031,574,3a,92.683,574,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506799,4,80.412,582,4d,95.189,582,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506800,3,91.960,597,3a,90.594,606,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506801,4,89.379,612,4a,89.379,612,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506802,1,76.307,612,1b,91.612,608,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506803,1,90.453,618,1a,90.777,618,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506804,1,91.326,611,1a,90.507,611,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506805,3,93.564,606,3a,92.244,606,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506806,1,75.968,620,1b,91.262,618,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506807,1,92.144,611,1a,92.144,611,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506808,4,79.436,603,4d,94.518,602,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506809,1,92.427,581,1a,92.083,581,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506810,3,90.924,606,3a,90.924,606,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506811,1,91.748,618,1a,91.586,618,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506812,1,93.204,618,1a,92.718,618,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506813,3,92.382,617,3a,91.086,617,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506814,1,93.040,546,1a,92.125,546,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506815,3,92.079,606,3a,91.254,606,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506816,1,91.734,617,1a,91.086,617,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506817,4,79.739,612,4d,94.435,611,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506818,4,87.255,612,4a,87.255,612,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
ON506819,4,79.861,576,4d,95.652,575,26-93,Yes,26;28;29;30;31;32;38;58;62;92;93
