Gene,Accession,CometSubtype,BlastPerGeneSubtype,CompareCondition
NS3,MK548367,"unassigned_1, 1a-2b",1a,Comet_vs_PerGene
NS3,MK548368,"unassigned_1, 1a-2b",1a,Comet_vs_PerGene
NS3,MK548369,"unassigned_1, 1a-2b",1a,Comet_vs_PerGene
NS3,MK962402,1b,1h,Comet_vs_PerGene
NS3,MK962404,1b,1m,Comet_vs_PerGene
NS3,MK962414,1b,2l,Comet_vs_PerGene
NS3,MK962419,4v,4b,Comet_vs_PerGene
NS3,MK962420,2j,2q,Comet_vs_PerGene
NS3,MK990302,2j,2d,Comet_vs_PerGene
NS3,MK990303,2a,2u,Comet_vs_PerGene
NS3,MK990304,2c,2f,Comet_vs_PerGene
NS3,MK990306,2j,2q,Comet_vs_PerGene
NS3,MK990307,2k,2j,Comet_vs_PerGene
NS3,MK990308,2c,2q,Comet_vs_PerGene
NS3,MN164845,1a,1o,Comet_vs_PerGene
NS3,MN164847,1a,1o,Comet_vs_PerGene
NS3,MN164848,"unassigned_1, 1a-1l",1l,Comet_vs_PerGene
NS3,MN164849,1a,1c,Comet_vs_PerGene
NS3,MN164850,"unassigned_1, 1a-1c",1o,Comet_vs_PerGene
NS3,MN164851,"unassigned_1, 1b-1a",1i,Comet_vs_PerGene
NS3,MN164852,1a,1m,Comet_vs_PerGene
NS3,MN164853,"unassigned_1, 1a-1b",1b,Comet_vs_PerGene
NS3,MN164854,"unassigned_1, 1a-1l",1l,Comet_vs_PerGene
NS3,MN164855,"unassigned_1, 1b-1a",1i,Comet_vs_PerGene
NS3,MN164857,"unassigned_1, 1a-4a",1a,Comet_vs_PerGene
NS3,MN164858,1a,1o,Comet_vs_PerGene
NS3,MN164859,1a,1o,Comet_vs_PerGene
NS3,MN164862,"unassigned_1, 1a-1b",1a,Comet_vs_PerGene
NS3,MN164868,"unassigned_1, 1a-1b",1b,Comet_vs_PerGene
NS3,MN164870,"unassigned_1, 1l-1a-1b",1l,Comet_vs_PerGene
NS3,MN164871,1a,1o,Comet_vs_PerGene
NS3,MN164872,1a,1m,Comet_vs_PerGene
NS3,MN164873,"unassigned_1, 1b-1a",1b,Comet_vs_PerGene
NS3,MN164874,"unassigned_1, 1b-1a",1b,Comet_vs_PerGene
NS3,MN164876,"unassigned_1, 1b-1a",1b,Comet_vs_PerGene
NS3,MN164877,"unassigned_1, 1l-1a",1l,Comet_vs_PerGene
NS3,MN240359,6w,6xa,Comet_vs_PerGene
NS3,LC773640,4a,4c,Comet_vs_PerGene
NS3,MG406987,"unassigned_1, 2a-1b",2a,Comet_vs_PerGene
NS3,MG406988,"unassigned_1, 2a-2b",2a,Comet_vs_PerGene
NS3,MG428679,"unassigned_1, 3a-1a",3a,Comet_vs_PerGene
NS3,MG717926,"unassigned_1, 6a-3h-6b-6h-3h",6a,Comet_vs_PerGene
NS3,MG717927,"unassigned_1, 6a-3h-6h",6a,Comet_vs_PerGene
NS3,MG717928,"unassigned_1, 6a-3h-6h",6a,Comet_vs_PerGene
NS3,MG717929,"unassigned_1, 6a-3h-6b-6h-3h",6a,Comet_vs_PerGene
NS3,MG717930,"unassigned_1, 6a-3h-6h",6a,Comet_vs_PerGene
NS3,PQ899568,"unassigned_1, 5a-1c",5b,Comet_vs_PerGene
NS3,PP092205,6w,8a,Comet_vs_PerGene
NS3,PP092206,6w,8a,Comet_vs_PerGene
NS3,PP092207,6w,8a,Comet_vs_PerGene
NS3,PP092208,6w,8a,Comet_vs_PerGene
NS3,PP101905,6e,6xc,Comet_vs_PerGene
NS3,PP101906,6w,6xf,Comet_vs_PerGene
NS3,PP101907,6e,6xf,Comet_vs_PerGene
NS3,PP101908,6f,6r,Comet_vs_PerGene
NS3,PP101909,6f,6r,Comet_vs_PerGene
NS3,PP101916,6w,6q,Comet_vs_PerGene
NS3,PP101925,"unassigned_1, 6t-6f",6q,Comet_vs_PerGene
NS3,PP101938,6w,6xf,Comet_vs_PerGene
NS3,PP101939,6e,6xc,Comet_vs_PerGene
NS3,PP101940,6e,6xc,Comet_vs_PerGene
NS3,MG878999,1b,6xd,Comet_vs_PerGene
NS3,MG879000,6w,6xh,Comet_vs_PerGene
NS3,MH155319,"unassigned_1, 6a-2a-6k-3a-4r-3h-6b-6h-3h",6a,Comet_vs_PerGene
NS3,MH477423,2a,2u,Comet_vs_PerGene
NS3,MH492360,6n,6xg,Comet_vs_PerGene
NS3,MH492361,6n,6xg,Comet_vs_PerGene
NS3,MH492362,6n,6xg,Comet_vs_PerGene
NS3,MH590698,"unassigned_1, 2j-5a",8a,Comet_vs_PerGene
NS3,MH590699,"unassigned_1, 2j-5a",8a,Comet_vs_PerGene
NS3,MH590700,"unassigned_1, 1b-6w",8a,Comet_vs_PerGene
NS3,MH590701,"unassigned_1, 2j-5a",8a,Comet_vs_PerGene
NS3,MH714570,6e,6xc,Comet_vs_PerGene
NS3,MH714578,6e,6xc,Comet_vs_PerGene
NS3,MH714587,6l,6xb,Comet_vs_PerGene
NS3,MH714596,4k,6q,Comet_vs_PerGene
NS3,MH742360,"unassigned_1, 4v-4k",4q,Comet_vs_PerGene
NS3,MH742362,4v,4q,Comet_vs_PerGene
NS3,MH742366,"unassigned_1, 4v-4m",4q,Comet_vs_PerGene
NS3,MH742368,"unassigned_1, 4v-4g",4s,Comet_vs_PerGene
NS3,MH742369,"unassigned_1, 4v-4a-4p",4v,Comet_vs_PerGene
NS3,MH885469,1c,1o,Comet_vs_PerGene
NS3,MK039720,"unassigned_1, 1b-2j-2a-2j-2k",1b,Comet_vs_PerGene
NS3,MK139015,6n,6xg,Comet_vs_PerGene
NS3,MK139016,6n,6xg,Comet_vs_PerGene
NS3,MK139017,6n,6xg,Comet_vs_PerGene
NS3,MK139018,6n,6xg,Comet_vs_PerGene
NS3,MK139019,6n,6xg,Comet_vs_PerGene
NS3,MK139020,6n,6xg,Comet_vs_PerGene
NS3,MK139021,6n,6xg,Comet_vs_PerGene
NS3,MK139022,6n,6xg,Comet_vs_PerGene
NS3,D85516,"unassigned_1, 1b-6b",1b,Comet_vs_PerGene
NS3,D89815,"unassigned_1, 1b-6d-6b",1b,Comet_vs_PerGene
NS3,DQ071885,"unassigned_1, 1b-3h",1b,Comet_vs_PerGene
NS3,DQ155560,"unassigned_1, 6p-2j-2a-2k-2j",6p,Comet_vs_PerGene
NS3,DQ278891,6l,6xj,Comet_vs_PerGene
NS3,DQ278893,6l,6xj,Comet_vs_PerGene
NS3,DQ364460,"unassigned_1, 1b-2b",1b,Comet_vs_PerGene
NS3,EF026073,2j,5a,Comet_vs_PerGene
NS3,EF139664,"unassigned_1, 1b-3b",1b,Comet_vs_PerGene
NS3,EF420134,6h,5a,Comet_vs_PerGene
NS3,EF638081,"unassigned_1, 1b-1a",1b,Comet_vs_PerGene
NS3,OR497876,"unassigned_1, 1b-2k",1b,Comet_vs_PerGene
NS3,OR594285,4a,4c,Comet_vs_PerGene
NS3,X78952,1b,1a,Comet_vs_PerGene
NS3,OQ979437,"unassigned_1, 1b-1a",1b,Comet_vs_PerGene
NS3,OQ979440,"unassigned_1, 1b-2j-2m",1b,Comet_vs_PerGene
NS3,AB016785,"unassigned_1, 1b-3g-6b",1b,Comet_vs_PerGene
NS3,AB049088,"unassigned_1, 1b-6b",1b,Comet_vs_PerGene
NS3,AB049089,"unassigned_1, 1b-6h-6b",1b,Comet_vs_PerGene
NS3,AB049090,"unassigned_1, 1b-6k-6b",1b,Comet_vs_PerGene
NS3,AB049091,"unassigned_1, 1b-2b-6d-6b",1b,Comet_vs_PerGene
NS3,AB049095,"unassigned_1, 1b-6h-6b",1b,Comet_vs_PerGene
NS3,AB049101,"unassigned_1, 1b-6k-6d-6b",1b,Comet_vs_PerGene
NS3,AB080299,"unassigned_1, 1b-6d-6b",1b,Comet_vs_PerGene
NS3,AB119282,"unassigned_1, 1b-3k",1b,Comet_vs_PerGene
NS3,AB191333,"unassigned_1, 1b-6d-6b",1b,Comet_vs_PerGene
NS3,AB249644,"unassigned_1, 1b-6b-6h-6b",1b,Comet_vs_PerGene
NS3,AB426117,"unassigned_1, 1b-6b-6h-6b",1b,Comet_vs_PerGene
NS3,AB435162,"unassigned_1, 1b-6b-6h-6b",1b,Comet_vs_PerGene
NS3,AB442219,"unassigned_1, 1b-6d-6b",1b,Comet_vs_PerGene
NS3,AB442220,"unassigned_1, 1b-6d-6b",1b,Comet_vs_PerGene
NS3,AB442221,"unassigned_1, 1b-6d-6b",1b,Comet_vs_PerGene
NS3,AB442222,"unassigned_1, 1b-6d-6b",1b,Comet_vs_PerGene
NS3,AB558135,"unassigned_1, 1b-2b",1b,Comet_vs_PerGene
NS3,AB622121,"unassigned_1, 1b-2b",1b,Comet_vs_PerGene
NS3,AB622123,"unassigned_1, 2b-1b",1b,Comet_vs_PerGene
NS3,AB677527,"unassigned_1, 1b-2b",1b,Comet_vs_PerGene
NS3,AB677528,"unassigned_1, 1b-2b",1b,Comet_vs_PerGene
NS3,AB677529,"unassigned_1, 1b-2b",1b,Comet_vs_PerGene
NS3,AB677530,"unassigned_1, 1b-2b",1b,Comet_vs_PerGene
NS3,AB677531,"unassigned_1, 1b-2b",1b,Comet_vs_PerGene
NS3,AB677532,"unassigned_1, 1b-2b",1b,Comet_vs_PerGene
NS3,AB677533,"unassigned_1, 1b-2b",1b,Comet_vs_PerGene
NS3,AB691595,"unassigned_1, 3a-3h-6k-3h-2b",3a,Comet_vs_PerGene
NS3,AB691596,"unassigned_1, 3a-3h-6k-3h-2b",3a,Comet_vs_PerGene
NS3,AB691953,"unassigned_1, 1b-3g-6d-6b",1b,Comet_vs_PerGene
NS3,AB792683,"unassigned_1, 3a-3h",3a,Comet_vs_PerGene
NS3,AB795432,"unassigned_1, 4a-6k",4a,Comet_vs_PerGene
NS3,AB828699,"unassigned_1, 1b-6b",1b,Comet_vs_PerGene
NS3,AB828700,"unassigned_1, 1b-6k-6d-6k-6d-6k-6d",1b,Comet_vs_PerGene
NS3,AB828701,"unassigned_1, 1b-6k-6d-6k-6d-6k-6d",1b,Comet_vs_PerGene
NS3,AF054247,"unassigned_1, 1b-1a-6k-1a-6b-1a",1b,Comet_vs_PerGene
NS3,AF054248,"unassigned_1, 1b-1a-6k-1a-6b-1a",1b,Comet_vs_PerGene
NS3,AF054249,"unassigned_1, 1b-1a-6k-1a-6b-1a",1b,Comet_vs_PerGene
NS3,AF139594,"unassigned_1, 1b-6k-6d-6b-3g",1b,Comet_vs_PerGene
NS3,AF176573,"unassigned_1, 1b-6h-6d",1b,Comet_vs_PerGene
NS3,AF333324,"unassigned_1, 1b-1a",1b,Comet_vs_PerGene
NS3,AF356827,"unassigned_1, 1b-6h-2a-6h-6d-3g",1b,Comet_vs_PerGene
NS3,AJ132997,"unassigned_1, 1b-6b",1b,Comet_vs_PerGene
NS3,AJ238799,"unassigned_1, 1b-3h",1b,Comet_vs_PerGene
NS3,AM400420,1b,1d,Comet_vs_PerGene
NS3,AM400421,1b,1d,Comet_vs_PerGene
NS3,AM400422,1b,1d,Comet_vs_PerGene
NS3,AM400423,1b,1d,Comet_vs_PerGene
NS3,AM400424,1b,1d,Comet_vs_PerGene
NS3,AM400425,1b,1d,Comet_vs_PerGene
NS3,AM400426,1b,1d,Comet_vs_PerGene
NS3,AM400427,1b,1d,Comet_vs_PerGene
NS3,AM400428,1b,1d,Comet_vs_PerGene
NS3,AM400429,1b,1d,Comet_vs_PerGene
NS3,AM400430,1b,1d,Comet_vs_PerGene
NS3,AM400431,1b,1d,Comet_vs_PerGene
NS3,AM400432,1b,1d,Comet_vs_PerGene
NS3,AM400433,1b,1d,Comet_vs_PerGene
NS3,AM400434,1b,1d,Comet_vs_PerGene
NS3,AM400435,1b,1d,Comet_vs_PerGene
NS3,AM400436,1b,1d,Comet_vs_PerGene
NS3,AM400437,1b,1d,Comet_vs_PerGene
NS3,AM400438,1b,1d,Comet_vs_PerGene
NS3,AM400439,1b,1d,Comet_vs_PerGene
NS3,AM400440,1b,1d,Comet_vs_PerGene
NS3,AM400441,1b,1d,Comet_vs_PerGene
NS3,AM400442,1b,1d,Comet_vs_PerGene
NS3,AM400443,1b,1d,Comet_vs_PerGene
NS3,AM400444,1b,1d,Comet_vs_PerGene
NS3,AM400445,1b,1d,Comet_vs_PerGene
NS3,AM400446,1b,1d,Comet_vs_PerGene
NS3,AM400447,1b,1d,Comet_vs_PerGene
NS3,AM400448,1b,1d,Comet_vs_PerGene
NS3,AM400449,1b,1d,Comet_vs_PerGene
NS3,AM400450,1b,1d,Comet_vs_PerGene
NS3,AM400451,1b,1d,Comet_vs_PerGene
NS3,AM400452,1b,1d,Comet_vs_PerGene
NS3,AM400453,1b,1d,Comet_vs_PerGene
NS3,AM400454,1b,1d,Comet_vs_PerGene
NS3,AM400455,1b,1d,Comet_vs_PerGene
NS3,AM400456,1b,1d,Comet_vs_PerGene
NS3,AM400457,1b,1d,Comet_vs_PerGene
NS3,AM400458,1b,1d,Comet_vs_PerGene
NS3,AM400459,1b,1d,Comet_vs_PerGene
NS3,AM400460,1b,1d,Comet_vs_PerGene
NS3,AM400461,1b,1d,Comet_vs_PerGene
NS3,AM400462,1b,1d,Comet_vs_PerGene
NS3,AM400463,1b,1d,Comet_vs_PerGene
NS3,AM400464,1b,1d,Comet_vs_PerGene
NS3,AM400465,1b,1d,Comet_vs_PerGene
NS3,AM400466,1b,1d,Comet_vs_PerGene
NS3,AM400467,1b,1d,Comet_vs_PerGene
NS3,AM400468,1b,1d,Comet_vs_PerGene
NS3,AM400469,1b,1d,Comet_vs_PerGene
NS3,AM400470,1b,1d,Comet_vs_PerGene
NS3,AM400471,1b,1d,Comet_vs_PerGene
NS3,AM400472,1b,1d,Comet_vs_PerGene
NS3,AM400473,1b,1d,Comet_vs_PerGene
NS3,AM408911,2j,5a,Comet_vs_PerGene
NS3,AM712639,1b,1d,Comet_vs_PerGene
NS3,AY045702,"unassigned_1, 1b-6b",1b,Comet_vs_PerGene
NS3,AY070170,"unassigned_1, 2k-1b",1b,Comet_vs_PerGene
NS3,AY070171,"unassigned_1, 2k-1b",1b,Comet_vs_PerGene
NS3,AY070172,"unassigned_1, 2k-1b",1b,Comet_vs_PerGene
NS3,AY070214,"unassigned_1, 2k-1b",1b,Comet_vs_PerGene
NS3,AY070215,"unassigned_1, 2k-1b",1b,Comet_vs_PerGene
NS3,AY460204,"unassigned_1, 1b-6h-6b",1b,Comet_vs_PerGene
NS3,AY587845,"unassigned_1, 1b-2j-2a-2j-2k",1b,Comet_vs_PerGene
NS3,AY878650,6l,6xj,Comet_vs_PerGene
NS3,AY878651,6l,6xj,Comet_vs_PerGene
NS3,GU133617,"unassigned_1, 1b-1a",1b,Comet_vs_PerGene
NS3,GU294484,"unassigned_1, 3a-1a",3a,Comet_vs_PerGene
NS3,HM106713,1b,4f,Comet_vs_PerGene
NS3,HQ537005,"unassigned_1, 1b-2j-2k",1b,Comet_vs_PerGene
NS3,HQ537006,"unassigned_1, 1b-2j-2q-2k",1b,Comet_vs_PerGene
NS3,HQ537007,1b,1k,Comet_vs_PerGene
NS3,HQ623209,1b,1i,Comet_vs_PerGene
NS3,HQ623229,1b,1d,Comet_vs_PerGene
NS3,HQ623274,1b,1d,Comet_vs_PerGene
NS3,HQ623282,5a,2l,Comet_vs_PerGene
NS3,HQ623283,6w,2t,Comet_vs_PerGene
NS3,HQ623284,2j,2f,Comet_vs_PerGene
NS3,HQ623287,2j,2t,Comet_vs_PerGene
NS3,HQ623293,6w,2l,Comet_vs_PerGene
NS3,HQ623295,4v,2l,Comet_vs_PerGene
NS3,HQ623303,2j,2u,Comet_vs_PerGene
NS3,HQ623305,2j,2c,Comet_vs_PerGene
NS3,HQ623306,2j,2a,Comet_vs_PerGene
NS3,HQ623310,2j,2q,Comet_vs_PerGene
NS3,HQ623318,2j,2u,Comet_vs_PerGene
NS3,HQ623340,2j,3a,Comet_vs_PerGene
NS3,HQ623402,4a,4p,Comet_vs_PerGene
NS3,HQ623403,4a,4c,Comet_vs_PerGene
NS3,JF735112,2a,2u,Comet_vs_PerGene
NS3,JF735116,2j,2f,Comet_vs_PerGene
NS3,JF735117,2j,2c,Comet_vs_PerGene
NS3,JF735118,2k,2q,Comet_vs_PerGene
NS3,JF735119,2a,2u,Comet_vs_PerGene
NS3,JF735121,3h,8a,Comet_vs_PerGene
NS3,JF735124,"unassigned_1, 3a-3g",3i,Comet_vs_PerGene
NS3,JF735125,"unassigned_1, 3i-3h-6h-6b",3i,Comet_vs_PerGene
NS3,JF735127,4k,4b,Comet_vs_PerGene
NS3,JF735128,"unassigned_1, 4v-4m-4p-4t-4a-3g-2b-1a-3h",4v,Comet_vs_PerGene
NS3,JF735129,"unassigned_1, 4v-4k",4v,Comet_vs_PerGene
NS3,JF735130,"unassigned_1, 4v-4o",4v,Comet_vs_PerGene
NS3,JF735131,"unassigned_1, 4v-4g",4q,Comet_vs_PerGene
NS3,JF735132,4v,4q,Comet_vs_PerGene
NS3,JF735134,4k,4b,Comet_vs_PerGene
NS3,JF735135,4a,4c,Comet_vs_PerGene
NS3,JF735136,"unassigned_1, 4v-4g",4s,Comet_vs_PerGene
NS3,JF735138,4k,4b,Comet_vs_PerGene
NS3,JF779679,"unassigned_1, 1a-2b",1a,Comet_vs_PerGene
NS3,OP555741,"unassigned_1, 4d-3g-2b-6k-2b-6k-1a-6k-6d-6k",4d,Comet_vs_PerGene
NS3,OP555742,"unassigned_1, 4d-4a-4n-4g-4n-4k-4g-4w-3g-3h-6h-6d-6h-6d",4d,Comet_vs_PerGene
NS3,OP555743,"unassigned_1, 4d-2j-2a-2m-2a",4d,Comet_vs_PerGene
NS3,OP555744,"unassigned_1, 4d-2j-2a-2m-2a",4d,Comet_vs_PerGene
NS3,OP555745,"unassigned_1, 4d-2j-2a-2m-2a",4d,Comet_vs_PerGene
NS3,PX361034,"unassigned_1, 1l-2a",1l,Comet_vs_PerGene
NS3,PX376057,"unassigned_1, 1l-2k-2j-2a-2q",1l,Comet_vs_PerGene
NS3,PX376058,"unassigned_1, 1l-2a",1l,Comet_vs_PerGene
NS3,PX376059,"unassigned_1, 1l-4v-4f",1l,Comet_vs_PerGene
NS3,PX386811,"unassigned_1, 1a-3a",1a,Comet_vs_PerGene
NS3,PX386926,2j,2m,Comet_vs_PerGene
NS3,PX386968,"unassigned_1, 3h-6a",3h,Comet_vs_PerGene
NS3,PX445001,"unassigned_1, 1h-4f",1h,Comet_vs_PerGene
NS3,PX445002,"unassigned_1, 1e-4a-4w-4f",1e,Comet_vs_PerGene
NS3,PX445003,"unassigned_1, 1h-4f-4l-4f",1h,Comet_vs_PerGene
NS3,PX445004,"unassigned_1, 1e-4f-4w-4f-4p",1e,Comet_vs_PerGene
NS3,PX446221,"unassigned_1, 1l-2k-2a",1l,Comet_vs_PerGene
NS3,PX446959,"unassigned_1, 1l-4f",1l,Comet_vs_PerGene
NS3,PX446960,"unassigned_1, 1l-4f",1l,Comet_vs_PerGene
NS3,PX459183,4v,4c,Comet_vs_PerGene
NS3,PX459184,4a,4c,Comet_vs_PerGene
NS3,EU246937,"unassigned_1, 6n-6o-6e-6a-6o",6n,Comet_vs_PerGene
NS3,EU643835,"unassigned_1, 6w-2b",6w,Comet_vs_PerGene
NS3,EU857431,"unassigned_1, 1b-3h",1b,Comet_vs_PerGene
NS3,FJ025854,"unassigned_1, 4k-4f",4w,Comet_vs_PerGene
NS3,FJ462437,"unassigned_1, 4d-4o",4d,Comet_vs_PerGene
NS3,FJ775756,4v,4q,Comet_vs_PerGene
NS3,FJ775759,4l,4v,Comet_vs_PerGene
NS3,FJ775762,4f,4q,Comet_vs_PerGene
NS3,FN435993,"unassigned_1, 1b-6h-6b-6h-6b-6d",1b,Comet_vs_PerGene
NS3,JX183549,6k,6xi,Comet_vs_PerGene
NS3,JX183550,6l,6xi,Comet_vs_PerGene
NS3,JX183551,6l,6xb,Comet_vs_PerGene
NS3,JX183552,6l,6xb,Comet_vs_PerGene
NS3,JX183557,6n,6xe,Comet_vs_PerGene
NS3,JX227952,"unassigned_1, 1b-2j-2a-2j-2q-2k-2q-2k",1b,Comet_vs_PerGene
NS3,JX227963,4g?,4g,Comet_vs_PerGene
NS3,JX227964,4k,4r,Comet_vs_PerGene
NS3,KC123631,1b,1d,Comet_vs_PerGene
NS3,KC124575,1b,1d,Comet_vs_PerGene
NS3,KC125692,1b,1n,Comet_vs_PerGene
NS3,KC126711,1b,1c,Comet_vs_PerGene
NS3,KC197229,"unassigned_1, 2i-2k-2c-3h",2i,Comet_vs_PerGene
NS3,KC197230,"unassigned_1, 2i-2k",2i,Comet_vs_PerGene
NS3,KC197231,"unassigned_1, 2i-2k-2b-3h",2i,Comet_vs_PerGene
NS3,KC197233,"unassigned_1, 2j-6k",2j,Comet_vs_PerGene
NS3,KC197235,2b,2l,Comet_vs_PerGene
NS3,KC197236,2j,2d,Comet_vs_PerGene
NS3,KC197237,2j,2q,Comet_vs_PerGene
NS3,KC197238,2b,2t,Comet_vs_PerGene
NS3,KC197239,2b,2c,Comet_vs_PerGene
NS3,KC197240,2b,2l,Comet_vs_PerGene
NS3,KC844039,6w,6xa,Comet_vs_PerGene
NS3,KC844040,6w,6a,Comet_vs_PerGene
NS3,KC844042,2j,2f,Comet_vs_PerGene
NS3,KC844050,2j,2f,Comet_vs_PerGene
NS3,KC844051,"unassigned_1, 1b-3h",1b,Comet_vs_PerGene
NS3,KC844052,"unassigned_1, 1b-3h",1b,Comet_vs_PerGene
NS3,KC960825,1b,1d,Comet_vs_PerGene
NS3,KC960826,1b,1d,Comet_vs_PerGene
NS3,KC960827,1b,1d,Comet_vs_PerGene
NS3,KC960828,1b,1d,Comet_vs_PerGene
NS3,KC960829,1b,1i,Comet_vs_PerGene
NS3,KC960831,1b,1i,Comet_vs_PerGene
NS3,KC960832,1b,1d,Comet_vs_PerGene
NS3,KC960841,1b,1d,Comet_vs_PerGene
NS3,KC960843,1b,1h,Comet_vs_PerGene
NS3,KC960849,1b,1d,Comet_vs_PerGene
