Accession,ClosestGenotype,ClosestSubtype,ReferenceOverlapAA
MW221818,,,
MW221819,,,
MW221820,,,
MW221821,,,
MW234382,,,
MW234383,,,
MW234384,,,
MW234385,,,
MW234386,,,
MW234387,,,
MW234388,,,
MW234389,,,
MW234390,,,
MW234391,,,
MW234392,,,
MW234393,,,
MW234394,,,
MW234395,,,
MW234396,,,
MW234397,,,
MW234398,,,
MW234399,,,
MW234400,,,
MW234401,,,
MW234402,,,
MW234403,,,
MW234404,,,
MW234405,,,
MW234406,,,
MW281563,,,
MW307936,,,
MW357752,,,
MW357753,,,
MW357754,,,
MW357755,,,
MW357756,,,
MW357757,,,
MW357758,,,
MW357759,,,
MW357760,,,
MW357761,,,
MW357762,,,
MW357763,,,
MW357764,,,
MW357765,,,
MW357766,,,
MW357767,,,
MW357768,,,
MW357769,,,
MW357770,,,
MW357771,,,
MW357772,,,
MW357773,,,
MW357774,,,
MW357775,,,
MW357776,,,
MW357777,,,
MW357778,,,
MW357779,,,
MW357780,,,
MW357781,,,
MW357782,,,
MW357783,,,
MW357784,,,
MW357785,,,
MW357786,,,
MW357787,,,
MW357788,,,
MW357789,,,
MW357790,,,
MW357791,,,
MW357792,,,
MW357793,1,1b,26-93
MW357794,1,1b,26-93
MW357795,1,1b,26-93
MW357796,1,1b,26-93
MW357797,1,1b,26-93
MW357798,1,1b,26-93
MW357799,1,1b,26-93
MW357800,1,1b,26-93
MW357801,1,1b,26-93
MW357802,1,1b,26-93
MW357803,1,1b,26-93
MW357804,1,1b,26-93
MW357805,1,1b,26-93
MW357806,1,1b,26-93
MW357807,1,1b,26-93
MW357808,1,1b,26-93
MW357809,1,1b,26-93
MW357810,1,1b,26-93
MW357811,1,1b,26-93
MW357812,1,1b,26-93
MW357813,1,1b,26-93
MW357814,1,1b,26-93
MZ325443,3,3a,26-93
MZ325444,3,3a,26-93
MZ327730,3,3a,26-93
MZ327731,1,1a,26-93
MZ327732,1,1a,26-93
MZ327733,1,1a,26-93
MZ327734,1,1a,26-93
MZ327735,3,3a,26-93
MZ327736,1,1a,26-93
MZ327737,1,1a,26-93
MZ327738,3,3a,26-93
MZ327739,1,1a,26-93
MZ327740,1,1a,26-93
MZ327741,1,1a,26-93
MZ327742,1,1a,26-93
MZ327743,1,1a,26-93
MZ327744,1,1a,26-93
MZ327745,3,3a,26-93
MZ327746,1,1a,26-93
MZ327747,1,1a,26-93
MZ327748,3,3a,26-93
MZ327749,1,1a,26-93
MZ327750,3,3a,26-93
MZ327751,1,1a,26-93
MZ327752,4,4a,26-93
MZ327753,1,1b,26-93
MZ327754,3,3a,26-93
MZ327755,2,2b,26-93
MZ327756,3,3a,26-93
MZ327757,3,3a,26-93
MZ327758,1,1a,26-93
MZ327759,3,3a,26-93
MZ327760,1,1a,26-93
MZ327761,1,1a,26-93
MZ327762,1,1a,26-93
MZ327763,1,1a,26-93
MZ327764,3,3a,26-93
MZ327765,1,1a,26-93
MZ327766,1,1a,26-93
MZ327767,1,1a,26-93
MZ327768,1,1a,26-93
MZ327769,1,1b,26-93
MZ327770,1,1a,26-93
MZ327771,1,1a,26-93
MZ327772,3,3a,26-93
MZ327773,3,3a,26-93
MZ327774,1,1b,26-93
MZ327775,1,1b,26-93
MZ327776,1,1a,26-93
MZ327777,1,1a,26-93
MZ327778,1,1a,26-93
MZ327779,3,3a,26-93
MZ327780,3,3a,26-93
MZ327781,3,3a,26-93
MZ327782,1,1a,26-93
MZ327783,3,3a,26-93
MZ327784,2,2b,26-93
MZ327785,1,1a,26-93
MZ327786,3,3a,26-93
MZ327787,1,1a,26-93
MZ327788,1,1a,26-93
MZ327789,3,3a,26-93
MZ327790,1,1a,26-93
MZ327791,1,1b,26-93
MZ327792,1,1a,26-93
MZ327793,1,1a,26-93
MZ327794,3,3a,26-93
MZ327795,1,1a,26-93
MZ327796,3,3a,26-93
MZ327797,1,1a,26-93
MZ327798,1,1a,26-93
MZ327799,3,3a,26-93
MZ327800,2,2b,26-93
MZ356313,,,
MZ356314,,,
MZ356315,,,
MZ356316,,,
MZ356317,,,
MZ356318,,,
MZ356319,,,
MZ356320,,,
MZ356321,,,
MZ356322,,,
MZ356323,,,
MZ356324,,,
MZ356325,,,
MZ356326,,,
MZ356327,,,
MZ356328,,,
MZ356329,,,
MZ356330,,,
MZ356331,,,
PP457742,,,
PP457743,,,
PP457744,,,
PP457745,,,
PP457746,,,
PP457747,,,
PP457748,,,
PP457749,,,
PP457750,,,
PP457751,,,
PP457752,,,
PP457753,,,
PP457754,,,
PP457755,,,
PP457756,,,
PP457757,,,
PP457758,,,
PP457759,,,
PP457760,,,
PP457761,,,
PP457762,,,
PP457763,,,
PP457764,,,
PP457765,,,
PP457766,,,
PP457767,,,
PP457768,,,
PP457769,,,
PP457770,,,
PP457771,,,
PP457772,,,
PP457773,,,
PP457774,,,
PP457775,,,
PP457776,,,
PP457777,,,
PP457778,,,
PP457779,,,
PP457780,,,
PP457781,,,
PP457782,,,
PP457783,,,
PP457784,,,
PP457785,,,
PP457786,,,
PP457787,,,
PP457788,,,
PP457789,,,
PP457790,,,
PP457791,,,
PP457792,,,
PP457793,,,
PP457794,,,
PP457795,,,
PP457796,,,
PP457797,,,
PP457798,,,
PP457799,,,
PP457800,,,
PP457801,,,
PP457802,,,
PP484706,,,
PP484707,,,
PP484708,,,
PP484709,,,
PP484710,,,
PP484711,,,
PP484712,,,
PP484713,,,
PP484714,,,
PP484715,,,
PP484716,,,
PP484717,,,
PP484718,,,
PP484719,,,
PP484720,,,
PP484721,,,
PP484722,,,
PP484723,,,
PP484724,,,
PP484725,,,
PP484726,,,
PP484727,,,
PP484728,,,
PP484729,,,
PP484730,,,
PP484731,,,
PP484732,,,
PP484733,,,
PP484734,,,
PP484735,,,
PP484736,,,
PP484737,,,
PP484738,,,
PP484739,,,
PP484740,,,
PP484741,,,
PP484742,,,
PP484743,,,
PP484744,,,
PP484745,,,
PP484746,,,
PP484747,,,
PP484748,,,
PP484749,,,
PP484750,,,
PP484751,,,
PP484752,,,
PP484753,,,
PP484754,,,
PP484755,,,
PP484756,,,
PP484757,,,
PP484758,,,
PP484759,,,
PP484760,,,
PP484761,,,
PP484762,,,
PP484763,,,
PP484764,,,
PP484765,,,
PP484766,,,
PP484767,,,
PP484768,,,
PP484769,,,
PP484770,,,
PP484771,,,
PP484772,,,
PP484773,,,
PP484774,,,
PP484775,,,
PP484776,,,
PP484777,,,
PP484778,,,
PP484779,,,
PP484780,,,
PP484781,,,
PP484782,,,
PP484783,,,
PP484784,,,
PP484785,,,
PP484786,,,
PP484787,,,
PP484788,,,
PP484789,,,
PP484790,,,
PP484791,,,
PP484792,,,
PP484793,,,
PP484794,,,
PP484795,,,
PP484796,,,
PP484797,,,
PP484798,,,
PP484799,,,
PP484800,,,
PP484801,,,
PP484802,,,
PP484803,,,
PP484804,,,
PP484805,,,
PP484806,,,
PP484807,,,
PP484808,,,
PP484809,,,
PP484810,,,
PP484811,,,
PP484812,,,
PP484813,,,
PP484814,,,
PP484815,,,
PP484816,,,
PP484817,,,
PP484818,,,
PP484819,,,
PP484820,,,
PP484821,,,
PP484822,,,
PP484823,,,
PP484824,,,
PP484825,,,
PP484826,,,
PP484827,,,
PP484828,,,
PP484829,,,
PP484830,,,
PP484831,,,
PP484832,,,
PP484833,,,
PP484834,,,
PP484835,,,
PP484836,,,
PP484837,,,
PP484838,,,
PP484839,,,
PP484840,,,
PP484841,,,
PP484842,,,
PP484843,,,
PP484844,,,
PP484845,,,
PP484846,,,
PP484847,,,
PP484848,,,
PP484849,,,
PP484850,,,
PP484851,,,
PP484852,,,
PP484853,,,
PP484854,,,
PP484855,,,
PP484856,,,
PP484857,,,
PP484858,,,
PP484859,,,
PP484860,,,
PP484861,,,
PP484862,,,
PP484863,,,
PP484864,,,
PP484865,,,
PP484866,,,
PP484867,,,
PP484868,,,
PP484869,,,
PP484870,,,
PP484871,,,
PP484872,,,
PP484873,,,
PP484874,,,
PP484875,,,
PP484876,,,
PP484877,,,
PP583866,,,
PP583867,,,
PP583868,,,
PP583869,,,
PP583870,,,
PP583871,,,
PP583872,,,
PP583873,,,
PP583874,,,
PP583875,,,
PP583876,,,
PP583877,,,
PP583878,,,
PP583879,,,
PP583880,,,
PP583881,,,
PP583882,,,
PP583883,,,
PP583884,,,
PP583885,,,
PP583886,,,
PP583887,,,
PP583888,,,
PP583889,,,
PP583890,,,
PP583891,,,
PP583892,,,
PP583893,,,
PP583894,,,
PP583895,,,
PP583896,,,
PP583897,,,
PP583898,,,
PP583899,,,
PP583900,,,
PP583901,,,
PP583902,,,
PP583903,,,
PP583904,,,
PP583905,,,
PP583906,,,
PP583907,,,
PP583908,,,
PP583909,,,
PP583910,,,
PP583911,,,
PP583912,,,
PP583913,,,
PP583914,,,
PP583915,,,
PP583916,,,
PP583917,,,
PP583918,,,
PP583919,,,
PP583920,,,
PP583921,,,
PP583922,,,
PP583923,,,
PP583924,,,
PP583925,,,
PP583926,,,
PP583927,,,
PP583928,,,
PP583929,,,
PP583930,,,
PP583931,,,
PP583932,,,
PP583933,,,
PP583934,,,
PP583935,,,
PP583936,,,
PP583937,,,
PP583938,,,
PP583939,,,
PP583940,,,
PP583941,,,
PP583942,,,
PP583943,,,
PP583944,,,
PP583945,,,
PP583946,,,
PP583947,,,
PP583948,,,
PP583949,,,
PP583950,,,
PP583951,,,
PP583952,,,
PP583953,,,
PP583954,,,
PP583955,,,
PP583956,,,
PP583957,,,
PP583958,,,
PP583959,,,
PP583960,,,
PP583961,,,
PP583962,,,
PP583963,,,
PP583964,,,
PP583965,,,
PP583966,,,
PP583967,,,
PP583968,,,
PP583969,,,
PP583970,,,
PP583971,,,
PP583972,,,
PP583973,,,
PP583974,,,
PP583975,,,
PP583976,,,
PP583977,,,
PP583978,,,
PP583979,,,
PP583980,,,
PP583981,,,
PP583982,,,
PP583983,,,
PP583984,,,
PP583985,,,
PP583986,,,
PP583987,,,
PP583988,,,
PP583989,,,
PP583990,,,
PP583991,,,
PP583992,,,
PP583993,,,
PP583994,,,
PP583995,,,
PP583996,,,
PP583997,,,
PP583998,,,
PP583999,,,
PP584000,,,
PP584001,,,
PP584002,,,
PP584003,,,
PP584004,,,
PP584005,,,
PP584006,,,
PP584007,,,
PP584008,,,
PP584009,,,
PP584010,,,
PP584011,,,
PP584012,,,
PP584013,,,
PP584014,,,
PQ212854,,,
PQ212855,,,
PQ212856,,,
PQ212857,,,
PQ212858,,,
PQ212859,,,
PQ212860,,,
PQ320121,3,3b,26-93
PQ320122,3,3a,26-93
PQ320123,1,1a,26-93
PQ320124,1,1a,26-93
PQ320125,3,3b,26-93
PQ320126,1,1a,26-93
PQ320127,3,3b,26-93
PQ320128,1,1a,26-93
PQ320129,3,3b,26-93
PQ320130,1,1b,26-93
PQ335035,,,
PQ335036,,,
PQ335037,,,
PQ335038,,,
PQ335039,,,
PQ335040,,,
PQ335041,,,
PQ335042,,,
PQ335043,,,
PQ335044,,,
PQ335045,,,
PQ335046,,,
PQ335047,,,
PQ335048,,,
PQ335049,,,
PQ335050,,,
PQ335051,,,
PQ335052,,,
PQ335053,,,
PQ335054,,,
PQ335055,,,
PQ335056,,,
PQ335057,,,
PQ335058,,,
PQ335059,,,
PQ335060,,,
PQ335061,,,
PQ335062,,,
PQ335063,,,
PQ335064,,,
PQ335065,,,
PQ335066,,,
PQ335067,,,
PQ335068,,,
PQ335069,,,
PQ335070,,,
PQ335071,,,
PQ335072,,,
PQ335073,,,
PQ335074,,,
PQ335075,,,
PQ335076,,,
PQ335077,,,
PQ335078,,,
PQ335079,,,
PQ335080,,,
PQ335081,,,
PQ335082,,,
PQ335083,,,
PQ335084,,,
PQ335085,,,
PQ335086,,,
PQ335087,,,
PQ335088,,,
PQ335089,,,
PQ335090,,,
PQ335091,,,
PQ335092,,,
PQ335093,,,
PQ335094,,,
PQ335095,,,
PQ335096,,,
PQ335097,,,
PQ335098,,,
PQ335099,,,
PQ335100,,,
PQ335101,,,
PQ335102,,,
PQ335103,,,
PQ335104,,,
PQ335105,,,
PQ335106,,,
PQ335107,,,
PQ335108,,,
PQ335109,,,
PQ335110,,,
PQ335111,,,
PQ335112,,,
PQ335113,,,
PQ335114,,,
PQ335115,,,
PQ335116,,,
PQ335117,,,
PQ335118,,,
PQ335119,,,
PQ335120,,,
PQ335121,,,
PQ335122,,,
PQ335123,,,
PQ335124,,,
PQ335125,,,
PQ335126,,,
PQ335127,,,
PQ335128,,,
PQ335129,,,
PQ335130,,,
PQ335131,,,
PQ335132,,,
PQ335133,,,
PQ335134,,,
PQ335135,,,
PQ335136,,,
PQ335137,,,
PQ335138,,,
PQ335139,,,
PQ335140,,,
PQ335141,,,
PQ335142,,,
PQ335143,,,
PQ335144,,,
PQ335145,,,
PQ335146,,,
PQ335147,,,
PQ335148,,,
PQ335149,,,
PQ335150,,,
PQ335151,,,
PQ335152,,,
PQ335153,,,
PQ335154,,,
PQ335155,,,
PQ335156,,,
PQ335157,,,
PQ335158,,,
ON055295,,,
ON055296,,,
ON055297,,,
ON055298,,,
ON055299,,,
ON055300,,,
ON055301,,,
ON055302,,,
ON055303,,,
ON055304,,,
ON055305,,,
ON055306,,,
ON055307,,,
ON055308,,,
ON055309,,,
ON055310,,,
ON055311,,,
ON055312,,,
ON506742,1,1a,26-93
ON506743,1,1a,26-93
ON506744,1,1a,26-93
ON506745,1,1a,26-93
ON506746,1,1b,26-93
ON506747,1,1a,26-93
ON506748,1,1a,26-93
ON506749,1,1a,26-93
ON506750,1,1a,26-93
ON506751,3,3a,26-93
ON506752,1,1b,26-93
ON506753,1,1a,26-93
ON506754,4,4d,26-93
ON506755,1,1b,26-93
ON506756,1,1a,26-93
ON506757,4,4a,26-93
ON506758,3,3a,26-93
ON506759,4,4a,26-93
ON506760,1,1a,26-93
ON506761,1,1a,26-93
ON506762,3,3a,26-93
ON506763,1,1a,26-93
ON506764,1,1b,26-93
ON506765,1,1a,26-93
ON506766,1,1a,26-93
ON506767,1,1a,26-93
ON506768,1,1a,26-93
ON506769,1,1a,26-93
ON506770,1,1a,26-93
ON506771,1,1a,26-93
ON506772,1,1a,26-93
ON506773,3,3a,26-93
ON506774,1,1b,26-93
ON506775,1,1a,26-93
ON506776,1,1a,26-93
ON506777,1,1a,26-93
ON506778,4,4a,26-93
ON506779,3,3a,26-93
ON506780,1,1b,26-93
ON506781,4,4a,26-93
ON506782,3,3a,26-93
ON506783,1,1a,26-93
ON506784,3,3a,26-93
ON506785,1,1b,26-93
ON506786,1,1a,26-93
ON506787,1,1a,26-93
ON506788,1,1a,26-93
ON506789,1,1a,26-93
ON506790,3,3a,26-93
ON506791,1,1b,26-93
ON506792,1,1a,26-93
ON506793,4,4d,26-93
ON506794,3,3a,26-93
ON506795,1,1a,26-93
ON506796,4,4a,26-93
ON506797,1,1a,26-93
ON506798,3,3a,26-93
ON506799,4,4d,26-93
ON506800,3,3a,26-93
ON506801,4,4a,26-93
ON506802,1,1b,26-93
ON506803,1,1a,26-93
ON506804,1,1a,26-93
ON506805,3,3a,26-93
ON506806,1,1b,26-93
ON506807,1,1a,26-93
ON506808,4,4d,26-93
ON506809,1,1a,26-93
ON506810,3,3a,26-93
ON506811,1,1a,26-93
ON506812,1,1a,26-93
ON506813,3,3a,26-93
ON506814,1,1a,26-93
ON506815,3,3a,26-93
ON506816,1,1a,26-93
ON506817,4,4d,26-93
ON506818,4,4a,26-93
ON506819,4,4d,26-93
ON506820,1,1a,26-93
ON506821,1,1a,26-93
ON506822,3,3a,26-93
ON506823,1,1a,26-93
ON506824,1,1a,26-93
ON506825,3,3a,26-93
ON540737,,,
ON540738,,,
ON540739,,,
ON540740,,,
ON540743,,,
ON540744,,,
ON540745,,,
ON540746,,,
ON314812,2,2k,26-93
ON314813,2,2q,26-93
ON314814,2,2q,26-93
ON314815,2,2q,26-93
ON314816,2,2d,26-93
ON314817,2,2q,26-93
ON314818,2,2k,26-93
ON314819,2,2q,26-93
ON314820,2,2q,26-93
ON314821,2,2d,26-93
ON314822,2,2k,26-93
ON314823,2,2k,26-93
ON314824,2,2q,26-93
ON314825,2,2q,26-93
ON314826,2,2r,26-93
ON314827,2,2q,26-93
ON314828,2,2q,26-93
ON123710,,,
ON123711,,,
ON123712,,,
ON123713,,,
ON123714,,,
ON123716,,,
ON123717,,,
ON123718,,,
ON123719,,,
ON123720,,,
ON123721,,,
ON123722,,,
ON123723,,,
ON123724,,,
ON123725,,,
ON123726,,,
ON123727,,,
ON123728,,,
ON123729,,,
ON123730,1,1a,26-93
ON123731,1,1a,26-93
ON123732,1,1b,26-93
ON123733,1,1b,26-93
ON123734,1,1b,26-93
ON123735,1,1b,31-93
ON123736,1,1b,27-93
ON125365,,,
ON125366,,,
ON125367,,,
ON125368,,,
ON125369,,,
PQ365497,1,1a,26-93
PQ365498,3,3a,26-93
PQ365499,1,1a,26-93
PQ365500,1,1a,26-93
PQ365501,3,3a,26-93
PQ365502,3,3a,26-93
PQ365503,1,1a,26-93
PQ365504,3,3i,26-93
PQ365505,3,3b,26-93
PQ365506,3,3a,26-93
PQ365507,1,1a,26-93
PQ365508,3,3a,26-93
PQ365509,3,3a,26-93
PQ365510,1,1b,26-93
PQ365511,3,3a,26-93
PQ365512,3,3a,26-93
PQ365513,3,3d,26-93
PQ365514,3,3a,26-93
PQ365515,3,3a,26-93
PQ365516,1,1a,26-93
PQ365517,3,3a,26-93
PQ365518,3,3a,26-93
PQ365519,3,3a,26-93
PQ365520,3,3a,26-93
PQ365521,3,3a,26-93
PQ365522,3,3a,26-93
PQ365523,3,3a,26-93
PQ365524,3,3e,26-93
PQ365525,3,3a,26-93
PQ365526,3,3a,26-93
PQ365527,1,1a,26-93
PQ365528,3,3a,26-93
PQ365529,3,3a,26-93
PQ365530,3,3a,26-93
PQ365531,3,3a,26-93
PQ365532,3,3a,26-93
PQ365533,1,1a,26-93
PQ365534,3,3a,26-93
PQ365535,3,3a,26-93
PQ365536,3,3a,26-93
PQ365537,3,3a,26-93
PQ365538,3,3a,26-93
PQ365539,3,3g,26-93
PQ365540,3,3a,26-93
PQ419893,,,
PQ419894,,,
PQ419895,1,1e,26-93
PQ419896,1,1g,26-93
PQ419897,,,
PQ419898,,,
PQ424136,,,
PQ424137,,,
PQ424138,,,
PQ424139,,,
PQ424140,,,
PQ424141,,,
PQ424142,,,
PQ424143,,,
PQ424144,,,
PQ424145,,,
PQ424146,,,
PQ424147,,,
PQ424148,,,
PQ424149,,,
PQ424150,,,
PQ424151,,,
PQ442791,,,
PQ442792,,,
PQ442793,,,
PQ442794,,,
PQ442795,,,
PQ442796,,,
PQ442797,,,
PQ442798,,,
PQ442799,,,
PQ442800,,,
PQ442801,,,
PQ442802,,,
PQ442803,,,
PQ442804,,,
PQ442805,,,
PQ442806,,,
PQ442807,,,
PQ442808,,,
PQ442809,,,
PQ442810,,,
PQ442811,,,
PQ442812,,,
PQ442813,,,
PQ442814,,,
PQ442815,,,
PQ442816,,,
PQ442817,,,
PQ442818,,,
PQ442819,,,
PQ442820,,,
PQ442821,,,
PQ442822,,,
PQ442823,,,
PQ442824,,,
PQ442825,,,
PQ442826,,,
PQ442827,,,
PQ442828,,,
PQ442829,,,
PQ442830,,,
PQ442831,,,
PQ442832,,,
PQ442833,,,
PQ442834,,,
PQ442835,,,
PQ442836,,,
PQ442837,,,
PQ442838,,,
PQ442839,,,
PQ442840,,,
PQ442841,,,
PQ442842,,,
PQ442843,,,
PQ442844,,,
PQ442845,,,
PQ442846,,,
PQ442847,,,
PQ442848,,,
PQ442849,,,
PQ442850,,,
PQ442851,,,
PQ442852,,,
PQ442853,,,
PQ442854,,,
PQ442855,,,
PQ442856,,,
PQ442857,,,
PQ442858,,,
PQ442859,,,
PQ442860,,,
PQ442861,,,
PQ442862,,,
PQ442863,,,
PQ442864,,,
PQ442865,,,
PQ442866,,,
PQ442867,,,
PQ442868,,,
PQ442869,,,
PQ442870,,,
PQ442871,,,
PQ442872,,,
PQ442873,,,
PQ442874,,,
PQ442875,,,
PQ442876,,,
PQ442877,,,
PQ442878,,,
PQ442879,,,
PQ442880,,,
PQ442881,,,
PQ442882,,,
PQ442883,,,
PQ442884,,,
PQ442885,,,
PQ442886,,,
PQ442887,,,
PQ442888,,,
PQ442889,,,
PQ442890,,,
PQ442891,,,
PQ442892,,,
PQ442893,,,
PQ442894,,,
PQ442895,,,
PQ442896,,,
PQ442897,,,
PQ442898,,,
PQ442899,,,
PQ442900,,,
PQ442901,,,
PQ442902,,,
PQ442903,,,
PQ442904,,,
PQ442905,,,
PQ442906,,,
PQ442907,,,
PQ442908,,,
PQ442909,,,
PQ442910,,,
PQ442911,,,
PQ442912,,,
PQ442913,,,
PQ442914,,,
PQ442915,,,
PQ442916,,,
PQ442917,,,
PQ442918,,,
PQ442919,,,
PQ442920,,,
PQ442921,,,
PQ442922,,,
PQ442923,,,
PQ442924,,,
PQ442925,,,
PQ442926,,,
PQ442927,,,
PQ442928,,,
PQ442929,,,
PQ442930,,,
PQ442931,,,
PQ442932,,,
PQ442933,,,
MT633132,,,
MT633133,7,7b,26-93
MT633134,,,
MT863870,,,
MT863871,,,
MT863872,,,
MT863873,,,
MT863874,,,
MT863875,,,
MT863876,,,
MT863877,,,
MT863878,,,
MT863879,,,
MT863880,,,
MT863881,,,
MT863882,,,
MT863883,,,
MT863884,,,
MT863885,,,
MT863886,,,
MT863887,,,
MT863888,,,
MT863889,,,
MT863890,,,
MT863891,,,
MT863892,,,
MT863893,,,
MT863894,,,
MT863895,,,
MT863896,,,
MT863897,,,
MT863898,,,
MT863899,,,
MT863900,,,
MT863901,,,
MT863902,,,
MT863903,,,
MT863904,,,
MT863905,,,
MT863906,,,
MT863907,,,
MT863908,,,
MT863909,,,
MT863910,,,
MT863911,,,
MT863912,,,
MT863913,,,
MT863914,,,
MT863915,,,
MT863916,,,
