accession,genotype,subtype
ON630813,1,
ON630814,1,
ON630815,1,
ON630816,1,
ON630817,1,
ON630818,1,
ON630819,1,
ON630820,1,
ON630821,1,
ON630822,1,
ON630823,1,
ON630824,1,
ON630825,1,
ON630826,1,
ON630827,1,
ON630828,1,
ON630829,1,
ON630830,1,
ON630831,1,
ON630832,1,
ON630833,1,
ON630834,1,
ON630835,1,
ON630836,1,
ON630837,1,
ON630838,1,
ON630839,1,
ON630840,1,
ON630841,1,
ON630842,1,
ON630843,1,
ON630844,1,
ON630845,1,
ON630846,1,
ON630847,1,
ON630848,1,
ON630849,1,
ON630850,1,
ON630851,1,
ON630852,1,
ON630853,1,
ON630854,1,
ON630855,1,
ON630856,1,
ON630857,1,
ON630858,1,
ON630859,1,
ON630860,1,
ON630861,1,
ON630862,1,
ON630863,1,
ON630864,1,
ON630865,1,
ON630866,1,
ON630867,1,
ON630868,1,
ON630869,1,
ON630870,4,
ON630871,4,
ON630872,4,
ON630873,4,
ON630874,4,
ON630875,4,
ON630876,4,
ON630877,4,
ON630878,4,
ON630879,4,
ON630880,4,
ON630881,4,
ON630882,4,
ON630883,4,
ON630884,4,
ON630885,4,
ON630886,4,
ON630887,4,
ON630888,4,
ON630889,4,
ON630890,4,
ON630891,4,
ON630892,4,
ON630893,4,
ON630894,4,
ON630895,4,
ON630896,4,
ON630897,4,
ON630898,4,
ON630899,4,
ON630900,4,
MW675788,1,1a
MW675789,1,1a
MW675790,1,1a
MW675791,1,1a
MW675792,1,1a
MW675793,1,1a
MW675794,1,1a
MW675795,1,1a
MW675796,1,1a
MW675797,4,4d
MW675798,4,4d
MW675799,4,4d
MW675800,4,4d
MN628574,3,3a
MN628575,3,3a
MN628576,3,3a
MN628577,3,3a
MN628578,3,3a
MN628579,3,3a
MN628580,3,3a
MN628581,1,1a
MN628582,3,3a
MN628583,3,3a
MN628584,3,3a
MN628585,3,3a
MN628586,3,3a
MN628587,3,3a
MN628588,3,3a
MN628589,3,3a
MN628590,3,3a
MN628591,3,3a
MN628592,1,1a
MN628593,3,3a
MN628594,3,3a
MN628595,3,3a
MN628596,3,3a
MN628597,3,3a
MN641918,,
MN641919,,
MN641920,,
MN641921,,
MN641922,,
MN641923,,
MN641924,,
MN641925,,
MN641926,,
MN641927,,
MN641928,,
MN641929,,
MN641930,,
MN641931,,
MN641932,,
MN641933,,
MN641934,,
MN641935,,
MN641936,,
MN641937,,
MN641938,,
MN641939,,
MN641940,,
MN641941,,
MN641942,,
MN641943,,
MN641944,,
MN641945,,
MN641946,,
MN641947,,
MN641948,,
MN641949,,
MN641950,,
MN641951,,
MN641952,,
MN641953,,
MN641954,,
MN641955,,
MN641956,,
MN641957,,
MN641958,,
MN641959,,
MN641960,,
MN641961,,
MN641962,,
MN641963,,
MN641964,,
MN641965,,
MN641966,,
MN641967,,
MN641968,,
MN641969,,
MN641970,,
MN641971,,
MN641972,,
MN641973,,
MN641974,,
MN641975,,
MN641976,,
MN641977,,
MN641978,,
MN641979,,
MT151156,2,2a
MT151157,1,1a
MT151158,1,
MT151159,4,4f
MT151160,1,1a
MT151161,1,1n
MT151162,4,
MT151163,4,4r
MT151164,4,4v
MT151165,2,2j
MT151166,4,4r
MT151167,1,1l
MT151168,4,4r
MT151169,1,1l
MT151170,3,3h
MT151171,2,2u
MT151172,4,4r
MT151173,1,1a
MT151174,4,4r
MT151175,4,4v
MT151176,1,
MT151177,4,4r
MT151178,4,4r
MT151179,4,4v
MT151180,1,1e
MT151181,4,4b
MT151182,1,
MT151183,4,4f
MT151184,4,4v
MT151185,4,4k
MT151186,1,1b
MT151187,3,3a
MT151188,3,3h
MT151189,1,1b
MT151190,4,4k
MT151191,3,3a
MT151192,4,4r
MT151193,4,4r
MT151194,4,4c
MT151195,1,1b
MT151196,4,4r
MT151197,1,1l
MT151198,4,4v
MT151199,1,1b
MT151200,1,1a
MT151201,1,1b
MT151202,4,4k
MT151203,4,4d
MT151204,1,1l
MT151205,3,3a
MT151206,1,1o
MT151207,4,4g
MT151208,4,4v
MT151209,4,4k
MT151210,1,1b
MT151211,1,1m
MT151212,1,1d
MT151213,1,1b
MT151214,4,4v
MT151215,4,4v
MT151216,1,1l
MT151217,1,1b
MT151218,1,1a
MT151219,4,4r
MT151220,1,1b
MT151221,3,3h
MT151222,4,4r
MT151223,1,1b
MT151224,1,1b
MT151225,1,1l
MT151226,1,1o
MT151227,4,4r
MT151228,1,1e
MT151229,5,5a
MT151230,4,4r
MT151231,4,4r
MT151232,4,4r
MT151233,4,4m
MT151234,1,1g
MT151235,1,1a
MT151236,2,2c
MT151237,4,4r
MT151238,1,1c
MT151239,4,4r
MT151240,4,4r
MT151241,1,1b
MT151242,1,1o
MT151243,2,2a
MT151244,3,3a
MT151245,4,4r
MT151246,5,5a
MT151247,1,1a
MT151248,4,4r
MT151249,3,3h
MT151250,4,4d
MT151251,1,1a
MT151252,4,4c
MT151253,4,4r
MT151254,1,1a
MT151255,1,1o
MT151256,3,3h
MT151257,4,4r
MT151258,4,4v
MT151259,4,4r
MT151260,3,3h
MT151261,4,4b
MT151262,2,2r
MT151263,1,1l
MT151264,1,1a
MT151265,1,1a
MT151266,4,4d
MT151267,1,1a
MT151268,4,4r
MT151269,1,1a
MT151270,4,4c
MT151271,1,1b
MT151272,1,1o
MT151273,1,1a
MT151274,4,4k
MT151275,4,4d
MT151276,1,1a
MT151277,5,5a
MT151278,1,1b
MT151279,4,4r
MT151280,1,1b
MT151281,3,3a
MT151282,3,3h
MT151283,4,4c
MT151284,4,4k
MT151285,1,1b
MT151286,3,3h
MT233451,1,
MT233452,1,
MT233453,1,
MT233454,1,
MT233455,1,
MT233456,1,
MT233457,1,
MT233458,1,
MT233459,1,
MT233460,1,
MT233461,1,
MT233462,1,
MT233463,1,
MT233464,1,
MT233465,1,
MT233466,1,
MT233467,1,
MT233468,1,
MT233469,1,
MT233470,1,
MT233471,1,
MT233472,1,
MT233473,1,
MT233474,1,
MT233475,1,
MT233476,1,
MT233477,1,
MT233478,1,
MT233479,1,
MT233480,1,
MT233481,1,
MT233482,1,
MT233483,1,
MT233484,1,
MT233485,1,
MT233486,1,
MT233487,1,
MT233488,1,
MT233489,1,
MT233490,1,
MT233491,1,
MT233492,1,
MT233493,1,
MT233494,1,
MT233495,1,
MT233496,1,
MT233497,1,
MT233498,1,
MT233499,1,
MT233500,1,
MT233501,1,
MT233502,1,
MT233503,1,
MT233504,1,
MT233505,1,
MT233506,1,
MT233507,1,
MT233508,1,
MT233509,1,
MT233510,1,
MT233511,1,
MT233512,1,
MT233513,1,
MT233514,1,
MT233515,1,
MT233516,1,
MT233517,1,
MT233518,1,
MT259593,1,1a
MT259594,1,1a
MT259595,1,1a
MT259596,1,1a
MT259597,1,1a
MT259598,1,1a
MT259599,1,1a
MT259600,1,1a
MT259601,1,1a
MT259602,1,1a
MT259603,1,1a
MT259604,1,1a
MT259605,1,1a
MT259606,1,1a
MT259607,1,1a
MT259608,1,1a
MT259609,1,1a
MT259610,1,1a
MT259611,1,1a
MT259612,1,1a
MT259613,1,1a
MT259614,1,1a
MT259615,1,1a
MT259616,1,1a
MT259617,1,1a
MT259618,1,1a
MT259619,1,1a
MT259620,1,1a
MT259621,1,1a
MT259622,1,1a
MT259623,1,1a
MT259624,1,1a
MT259625,1,1a
MT259626,1,1a
MT259627,1,1a
MT259628,1,1a
MT259629,1,1a
MT259630,1,1a
MT259631,1,1a
MT259632,1,1a
MT259633,1,1a
MT259634,1,1a
MT259635,1,1a
MT259636,1,1a
MT259637,1,1a
MT259638,1,1a
MT259639,1,1a
MT259640,1,1a
MT259641,1,1a
MT259642,1,1a
MT259643,1,1a
MT259644,1,1a
MT259645,1,1a
MT259646,1,1a
MT259647,1,1a
MT259648,1,1a
MT259649,1,1a
MT259650,1,1a
MT259651,1,1a
MT259652,1,1a
MT259653,1,1a
MT259654,1,1a
MT259655,1,1a
MT259656,1,1a
MT259657,1,1a
MT259658,1,1a
MT259659,1,1a
MT347782,3,3a
MT347783,3,3a
MT347784,3,3a
MT347785,3,3a
MT347786,3,3a
MT347787,3,3a
MT347788,3,3a
MT347789,3,3a
MT347790,3,3a
MT347791,3,3a
MT347792,3,3a
MT347793,3,3a
MT347794,3,3a
MT347795,3,3a
MT347796,3,3a
MT347797,3,3a
MT347798,3,3a
MT347799,3,3a
MT347800,3,3a
MT347801,3,3a
MT347802,3,3a
MT347803,3,3a
MT603183,1,1a
MT603184,1,1a
MT603185,1,1a
MT603186,1,1a
MT603187,1,1a
MT603188,1,1a
MT603189,1,1a
MT603190,1,1a
MT603191,1,1a
MT603192,1,1a
MT603193,1,1a
MT603194,1,1a
MT603195,1,1a
MT603196,1,1a
MT603197,1,1a
MT603198,1,1a
MT603199,1,1a
MT603200,1,1a
MT603201,1,1a
MT603202,1,1a
MT603203,1,1a
MT603204,1,1a
MT603205,1,1a
MT603206,1,1a
MT603207,1,1a
MT603208,1,1a
MT603209,1,1a
MT603210,1,1a
MT603211,1,1a
MT603212,1,1a
MT603213,1,1a
MT603214,1,1b
MT603215,1,1b
MT603216,1,1b
MT603217,1,1b
MT603218,3,3a
MT603219,3,3a
MT603220,3,3a
MT603221,3,3a
MT603222,3,3a
MT603223,3,3a
MT603224,3,3a
MT603225,3,3a
MT603226,3,3a
MT603227,3,3a
MT603228,3,3a
MT603229,3,3a
MT603230,3,3a
MT603231,3,3a
MT603232,3,3a
ON228289,5,5a
ON228290,5,5a
ON228291,5,5a
ON228292,5,5a
ON228293,5,5a
MK252764,,
MK252765,,
MK252766,,
MK252767,,
MK252768,,
MK252769,,
MK252770,,
MK252771,,
MK252772,,
MK252773,,
MK252774,,
MK252775,,
MK252776,,
MK252777,,
MK252778,,
MK252779,,
MK252780,,
MK252781,,
MK252782,,
MK252783,,
MK252784,,
MK252785,,
MK252786,,
MK252787,,
MK252788,,
MK252789,,
MK252790,,
MK252791,,
MK252792,,
MK252793,,
MK252794,,
MK252795,,
MK252796,,
MK252797,,
MK252798,,
MK252799,,
MK252800,,
MK252801,,
MK252802,,
MK252803,,
MK252804,,
MK252805,,
MK252806,,
MK252807,,
MK252808,,
MK252809,,
MK252810,,
MK252811,,
MK252812,,
MK252813,,
MK252814,,
MK252815,,
MK252816,,
MK252817,,
MK252818,,
MK252819,,
MK252820,,
MK252821,,
MK252822,,
MK252823,,
MK252824,,
MK327981,6,
MK327982,6,
MK327983,6,
MK327984,6,
MK327985,6,
MK327986,6,
MK327987,6,
MK327988,6,
MK327989,6,
MK327990,6,
MK327991,6,
MK327992,6,
MK327993,6,
MK327995,6,
MK327996,6,
MK327997,6,
MK327998,6,
MK327999,6,
MK328000,6,
MK328001,6,
MK328002,6,
MK328003,6,
MK328004,6,
MK328005,6,
MK328006,6,
MK328007,6,
MK328008,6,
MK328009,6,
MK328010,6,
MK328012,6,
MK328013,6,
MK328014,6,
MK328015,6,
MK328016,6,
MK328017,6,
MK328018,6,
MK328019,6,
MK328020,6,
MK328021,6,
MK328022,6,
MK328023,6,
MK328024,6,
MK328025,6,
MK328026,6,
MK548362,2,2b
MK548363,2,2b
MK548364,2,2b
MK548365,2,2b
MK548366,2,2b
MK548367,2,2b
MK548368,2,2b
MK548369,2,2b
MK612000,1,1a
MK612003,1,1a
MK612006,3,3a
MK612009,1,1a
MK612012,3,3a
MK612015,1,1a
MK612018,3,3a
MK612021,2,2a
MK612024,3,3a
MK612027,3,3a
MK612030,1,1a
MK612033,3,3a
MK612036,3,3a
MK612039,4,4a
MK799639,4,4n
MK814770,,
MK814771,,
MK816407,1,1b
MK816408,3,3a
MK816409,1,1b
MK816410,1,1a
MK816411,4,4d
MK816412,1,1a
MN146038,1,1b
MN146039,1,1b
MN146040,1,1b
MN146041,1,1b
MN146042,1,1b
MN146043,1,1a
MN146044,1,1a
MN146045,1,1a
MN146046,1,1a
MN146047,1,1a
MN146048,1,1a
MN146049,1,1a
MN146050,1,1a
MN146051,1,1a
MN146052,1,1a
MN146053,1,1a
MN146054,1,1a
MN146055,1,1a
MN146056,1,1a
MN146057,1,1a
MN146058,1,1a
MN146059,1,1a
MN146060,1,1a
MN146061,1,1a
MN146062,1,1a
MN146063,1,1a
MN146064,1,1a
MN146065,1,1a
MN146066,1,1a
MN146067,1,1a
MN146068,1,1a
MN146069,1,1a
MN146070,1,1a
MN146071,1,1a
MN146072,1,1a
MN146073,1,1a
MN146074,1,1a
MN146075,1,1a
MN146076,1,1a
MN146077,1,1a
MN146078,1,1a
MN146079,1,1a
MN146080,1,1a
MN146081,1,1a
MN146082,1,1a
MN146083,1,1a
MN146084,1,1a
MN146085,1,1a
MN146086,1,1a
MN146087,1,1a
MN146088,1,1a
MN146089,1,1a
MN146090,1,1a
MN146091,1,1a
MN146092,1,1a
MN146093,1,1a
MN146094,1,1a
MN146095,1,1a
MN146096,1,1a
MN146097,1,1a
MN146098,1,1a
MN146099,1,1a
MN146100,1,1a
MN146101,1,1a
MN146102,1,1a
MN146103,1,1a
MN146104,1,1a
MN146105,1,1a
MN146106,1,1a
MN146107,1,1a
MN146108,1,1a
MN146109,1,1a
MN146110,1,1a
MN146111,1,1a
MN146112,1,1a
MN146113,1,1a
MN146114,1,1a
MN146115,1,1a
MN146116,1,1a
MN146117,1,1a
MN146118,1,1a
MN146119,1,1a
MN146120,1,1a
MN146121,1,1a
MN146122,1,1a
MN146123,1,1a
MN146124,1,1a
MN146125,1,1a
MN146126,1,1a
MN146127,1,1a
MN146128,1,1a
MN146129,1,1a
MN146130,1,1a
MN146131,1,1a
MN146132,1,1a
MN146133,1,1a
MN146134,1,1a
MN146135,1,1a
MN146136,1,1a
MN146137,1,1a
MN146138,1,1a
MN146139,1,1a
MN146140,1,1a
MN146141,1,1a
MN146142,1,1a
MN146144,1,1a
MN146145,1,1a
MN146146,1,1a
MN146147,1,1a
MN146148,1,1a
MN146149,1,1a
MN146150,1,1a
MN146151,1,1a
MN146152,1,1a
MN146153,1,1a
MN146154,1,1a
MN146155,1,1a
MN146156,1,1b
MN146157,1,1b
MN146158,1,1b
MN146159,1,1b
MN146160,1,1b
MN146161,1,1b
MN146162,1,1a
MN146163,1,1a
MN146164,1,1a
MN146165,1,1a
MN146166,1,1a
MN146167,1,1a
MN146168,1,1a
MN146169,1,1a
MN146170,1,1a
MN146171,1,1a
MN146172,1,1a
MN146173,1,1a
MN146174,1,1a
MN146175,1,1b
MN146176,1,1b
MN146177,1,1b
MN146178,1,1b
MN146179,1,1b
MN146180,1,1a
MN146182,1,1a
MN146183,1,1a
MN146184,1,1a
MN146185,1,1a
MN146186,1,1a
MN146187,1,1a
MN146188,1,1a
MN146189,1,1a
MN146190,1,1a
MN146191,1,1a
MN146192,1,1a
MN146193,1,1a
MN146194,1,1a
MN146195,1,1a
MN146196,1,1a
MN146197,1,1a
MN146198,1,1a
MN146199,1,1a
MN146200,1,1a
MN146201,1,1a
MN146202,1,1a
MN146203,1,1a
MN146204,1,1a
MN146205,1,1a
MN146206,1,1a
MN146207,1,1a
MN146208,1,1a
MN146209,1,1a
MN146210,1,1a
MN146211,1,1a
MN146212,1,1a
MN146213,1,1a
MN146214,3,3a
MN146215,3,3a
MN146216,3,3a
MN146217,3,3a
MN146218,1,1b
MN146219,1,1b
MN146220,1,1b
MN146221,1,1b
MN146222,1,1b
MN146223,1,1a
MN146224,1,1a
MN146225,1,1a
MN146226,1,1a
MN146227,1,1a
MN146228,1,1a
MN146229,1,1a
MN146230,1,1a
MN146231,1,1a
MN146232,1,1a
MN146233,1,1a
MN146234,1,1a
MN146235,1,1a
MN146236,1,1a
MN146237,1,1a
MN146238,1,1a
MN146239,1,1a
MN146240,1,1a
MN146241,1,1a
MN146242,1,1a
MN146243,1,1a
MN146244,1,1a
MN146245,1,1a
MN146246,1,1a
MN146248,1,1a
MN146249,1,1a
MN146250,1,1a
MN146251,1,1a
MN146252,1,1a
MN146253,1,1a
MN146254,1,1a
MN146255,1,1a
MN146256,1,1a
MN146257,1,1a
MN146258,1,1a
MN146259,1,1a
MN146260,1,1a
MN146261,1,1a
MN146262,1,1a
MN146263,1,1a
MN146264,1,1a
MN146265,1,1a
MN146266,1,1a
MN146267,1,1a
MN146268,1,1a
MN146269,1,1a
MN146270,1,1a
MN146271,1,1a
MN146272,1,1a
MN146273,1,1a
MN146274,1,1a
MN146275,1,1a
MN146277,1,1b
MN146278,1,1b
MN146279,1,1b
MN146280,1,1b
MN146281,1,1b
MN146282,1,1b
MN146283,1,1b
MN146284,1,1b
MN146285,1,1b
MN146286,1,1b
MN146287,1,1a
MN146288,1,1a
MN146289,1,1b
MN146290,1,1b
MN146291,1,1b
MN146292,1,1b
MN146293,1,1b
MN146294,1,1a
MN146295,1,1a
MN146296,1,1a
MN146297,1,1a
MN146298,1,1a
MN146299,1,1a
MN146300,1,1a
MN146301,1,1a
MN146302,1,1a
MN146303,1,1a
MN146304,1,1a
MN146305,1,1a
MN146306,1,1a
MN146307,1,1a
MN146308,1,1a
MN146309,1,1a
MN146310,1,1a
MN146311,1,1a
MN146312,1,1a
MN146313,1,1a
MN146314,1,1a
MN146315,1,1a
MN146316,1,1a
MN146317,1,1a
MN146318,1,1a
MN146319,1,1a
MN146320,1,1a
MN146321,1,1a
MN146322,1,1a
MN146323,1,1a
MN146324,1,1a
MN146325,1,1a
MN146326,1,1a
MN146327,1,1a
MN146328,1,1a
MN146330,1,1a
MN146331,1,1a
MN146332,1,1a
MN146333,1,1a
MN146334,1,1a
MN146335,1,1a
MN146336,1,1a
MN146337,1,1a
MN146338,1,1a
MN146339,1,1a
MN146340,1,1a
MN146341,1,1a
MN146342,1,1a
MN146343,1,1a
MN146344,1,1a
MN146345,1,1a
MN146346,1,1a
MN146347,1,1a
MN146348,1,1a
MN146349,1,1a
MN146350,1,1a
MN146351,1,1a
MN146352,1,1a
MN146353,1,1a
MN146354,1,1a
MN146355,1,1a
MN146356,1,1a
MN146357,1,1a
MN146358,1,1a
MN146359,1,1a
MN146360,1,1a
MN146361,1,1a
MN146362,1,1a
MN146363,1,1a
MN146364,1,1a
MN146365,1,1a
MN146366,1,1a
MN146367,1,1a
MN146368,1,1a
MN146369,1,1a
MN146370,1,1a
MN146371,1,1a
MN146372,1,1a
MN146373,1,1a
MN146374,1,1a
MN146375,1,1a
MN146376,1,1a
MN146377,1,1a
MN146378,1,1a
MN146379,1,1a
MN146380,1,1a
MN146381,1,1a
MN146382,1,1a
MN146383,1,1a
MN146384,1,1a
MN146385,1,1a
MN146386,1,1a
MN146387,1,1a
MN146388,1,1a
MN146389,1,1a
MN146390,1,1a
MN146391,1,1a
MN146392,1,1a
MN146393,1,1a
MN146394,1,1a
MN146395,1,1a
MN146396,1,1a
MN146397,1,1a
MN146398,3,3a
MN146399,3,3a
MN146400,1,1a
MN146401,1,1a
MN146402,1,1a
MN146403,1,1a
MN146404,1,1a
MN146405,1,1a
MN146406,1,1a
MN146407,1,1a
MN146408,1,1a
MN146409,1,1a
MN146410,1,1a
MN146411,1,1a
MN146412,1,1a
MN146413,1,1a
MN146414,1,1a
MN146415,3,3a
MN146416,3,3a
MN146417,1,1a
MN146418,1,1a
