accession,genotype,subtype
MW205375,6,
MW205467,2,
MW205468,2,
MW205469,2,
MW205470,2,
MW205471,2,
MW205472,2,
MW205473,2,
MW205474,2,2k
MW205475,2,
MW205476,2,
MW205477,2,
MW205478,2,
MW205479,2,2k
MW205480,2,2f
MW205481,2,2f
MW205482,2,2p
MW205483,2,2p
MW205484,2,2d
MW205485,2,2r
MW205486,2,2r
MW205487,2,
MW205488,2,
MW205489,2,
MW205490,2,
MW205491,2,2e
MW205492,2,2o
MW205493,2,2o
MW205494,2,
MW205495,2,2i
MW205496,2,2i
MW205497,2,2i
MW205498,2,2i
MW205499,3,3b
MW205500,3,3b
MW205501,3,3b
MW205502,3,3b
MW205503,3,3b
MW205504,3,3b
MW205505,3,3b
MW205506,2,2f
MW205507,3,3b
MW221786,4,4d
MW221787,3,3a
MW221788,3,3a
MW221789,3,3a
MW221790,3,3a
MW221791,1,1a
MW221792,3,3a
MW221793,3,3a
MW221794,3,3a
MW221795,3,3a
MW221796,3,3a
MW221797,3,3a
MW221798,4,4d
MW221799,4,4a
MW221800,4,4a
MW221801,3,3a
MW221802,3,3a
MW221803,3,3a
MW221804,3,3a
MW221805,3,3a
MW221806,3,3a
MW221807,1,1a
MW221808,3,3a
MW221809,4,4d
MW221810,3,3a
MW221811,3,3a
MW221812,3,3a
MW221813,3,3a
MW221814,1,
MW221815,1,
MW221816,3,3a
MW221817,4,4a
MW221818,4,4d
MW221819,3,3a
MW221820,1,1b
MW221821,3,3a
MW234382,,
MW234383,,
MW234384,,
MW234385,,
MW234386,,
MW234387,,
MW234388,,
MW234389,,
MW234390,,
MW234391,,
MW234392,,
MW234393,,
MW234394,,
MW234395,,
MW234396,,
MW234397,,
MW234398,,
MW234399,,
MW234400,,
MW234401,,
MW234402,,
MW234403,,
MW234404,,
MW234405,,
MW234406,,
MW357752,,
MW357753,,
MW357754,,
MW357755,,
MW357756,,
MW357757,,
MW357758,,
MW357759,,
MW357760,,
MW357761,,
MW357762,,
MW357763,,
MW357764,,
MW357765,,
MW357766,,
MW357767,,
MW357768,,
MW357769,,
MW357770,,
MW357771,,
MW357772,,
MW357773,,
MW357774,,
MW357775,,
MW357776,,
MW357777,,
MW357778,,
MW357779,,
MW357780,,
MW357781,,
MW357782,,
MW357783,,
MW357784,,
MW357785,,
MW357786,,
MW357787,,
MW357788,,
MW357789,,
MW357790,,
MW357791,,
MW357792,,
MZ327730,3,3a
MZ327731,1,1a
MZ327732,1,1a
MZ327733,1,1a
MZ327734,1,1a
MZ327735,3,3a
MZ327736,1,1a
MZ327737,1,1a
MZ327738,3,3a
MZ327739,1,1a
MZ327740,1,1a
MZ327741,1,1a
MZ327742,1,1a
MZ327743,1,1a
MZ327744,1,1a
MZ327745,3,3a
MZ327746,1,1a
MZ327747,1,1a
MZ327748,3,3a
MZ327749,1,1a
MZ327750,3,3a
MZ327751,1,1a
MZ327752,4,4d
MZ327753,1,1b
MZ327754,3,3a
MZ327755,2,2b
MZ327756,3,3a
MZ327757,3,3a
MZ327758,1,1a
MZ327759,3,3a
MZ327760,1,1a
MZ327761,1,1a
MZ327762,1,1a
MZ327763,1,1a
MZ327764,3,3a
MZ327765,1,1a
MZ327766,1,1a
MZ327767,1,1a
MZ327768,1,1a
MZ327769,1,1b
MZ327770,1,1a
MZ327771,1,1a
MZ327772,3,3a
MZ327773,3,3a
MZ327774,1,1b
MZ327775,1,1b
MZ327776,1,1a
MZ327777,1,1a
MZ327778,1,1a
MZ327779,3,3a
MZ327780,3,3a
MZ327781,3,3a
MZ327782,1,1a
MZ327783,3,3a
MZ327784,2,2b
MZ327785,1,1a
MZ327786,3,3a
MZ327787,1,1a
MZ327788,1,1a
MZ327789,3,3a
MZ327790,1,1a
MZ327791,1,1b
MZ327792,1,1a
MZ327793,1,1a
MZ327794,3,3a
MZ327795,1,1a
MZ327796,3,3a
MZ327797,1,1a
MZ327798,1,1a
MZ327799,3,3a
MZ327800,2,2b
PP457742,2,2a
PP457743,2,2a
PP457744,2,2a
PP457745,2,2a
PP457746,2,2a
PP457747,2,2a
PP457748,2,2a
PP457749,2,2a
PP457750,2,2a
PP457751,2,2a
PP457752,2,2a
PP457753,2,2a
PP457754,2,2a
PP457755,2,2a
PP457756,2,2a
PP457757,2,2a
PP457758,2,2a
PP457759,2,2a
PP457760,2,2a
PP457761,2,2a
PP457762,2,2a
PP457763,2,2a
PP457764,2,2a
PP457765,2,2a
PP457766,2,2a
PP457767,2,2a
PP457768,2,2a
PP457769,2,2a
PP457770,2,2a
PP457771,2,2a
PP457772,2,2a
PP457773,2,2a
PP457774,2,2a
PP457775,2,2a
PP457776,2,2a
PP457777,2,2a
PP457778,2,2a
PP457779,2,2a
PP457780,2,2a
PP457781,2,2a
PP457782,2,2a
PP457783,2,2a
PP457784,2,2a
PP457785,2,2a
PP457786,2,2a
PP457787,2,2a
PP457788,2,2a
PP457789,2,2a
PP457790,2,2a
PP457791,2,2a
PP457792,2,2a
PP457793,2,2a
PP457794,2,2a
PP457795,2,2a
PP457796,2,2a
PP457797,2,2a
PP457798,2,2a
PP457799,2,2a
PP457800,2,2a
PP457801,2,2a
PP457802,2,2a
PP484706,4,4f
PP484707,2,
PP484708,1,
PP484709,1,
PP484710,2,
PP484711,4,4f
PP484712,2,
PP484713,4,4t
PP484714,4,4p
PP484715,2,
PP484716,4,
PP484717,4,4t
PP484718,1,1h
PP484719,2,
PP484720,4,4f
PP484721,4,4f
PP484722,4,
PP484723,4,
PP484724,2,
PP484725,4,4f
PP484726,4,4f
PP484727,1,1e
PP484728,1,1e
PP484729,2,
PP484730,4,4f
PP484731,2,
PP484732,2,
PP484733,4,4f
PP484734,4,4f
PP484735,1,1e
PP484736,4,4f
PP484737,2,
PP484738,1,1e
PP484739,4,4f
PP484740,4,
PP484741,4,
PP484742,4,4f
PP484743,4,4f
PP484744,4,
PP484745,1,
PP484746,1,
PP484747,4,4t
PP484748,1,1e
PP484749,1,1l
PP484750,2,
PP484751,1,1e
PP484752,4,
PP484753,2,
PP484754,4,4t
PP484755,4,4f
PP484756,2,
PP484757,2,
PP484758,1,1e
PP484759,1,1e
PP484760,4,4f
PP484761,4,4f
PP484762,4,4t
PP484763,1,1e
PP484764,1,1e
PP484765,4,4f
PP484766,1,1e
PP484767,1,1l
PP484768,4,4t
PP484769,2,
PP484770,1,1e
PP484771,2,
PP484772,4,4f
PP484773,1,1l
PP484774,1,1l
PP484775,4,
PP484776,1,
PP484777,2,
PP484778,1,1e
PP484779,2,2r
PP484780,1,1l
PP484781,1,1l
PP484782,4,4p
PP484783,1,1e
PP484784,1,1l
PP484785,2,
PP484786,2,
PP484787,1,1l
PP484788,4,4f
PP484789,1,1e
PP484790,2,
PP484791,4,4f
PP484792,1,1l
PP484793,1,1e
PP484794,2,
PP484795,2,
PP484796,4,4t
PP484797,1,1e
PP484798,4,4t
PP484799,4,
PP484800,1,1h
PP484801,4,4f
PP484802,4,
PP484803,7,7a
PP484804,4,4f
PP484805,1,
PP484806,4,4t
PP484807,2,
PP484808,4,4f
PP484809,1,1l
PP484810,4,
PP484811,4,4f
PP484812,4,4f
PP484813,2,
PP484814,4,4f
PP484815,1,1e
PP484816,1,1l
PP484817,1,1l
PP484818,4,4t
PP484819,1,1l
PP484820,1,1e
PP484821,4,4p
PP484822,2,
PP484823,4,4f
PP484824,1,
PP484825,2,
PP484826,4,4t
PP484827,4,
PP484828,2,
PP484829,1,1l
PP484830,1,1l
PP484831,2,
PP484832,4,4f
PP484833,1,1e
PP484834,4,4f
PP484835,1,1e
PP484836,2,
PP484837,1,1e
PP484838,1,1e
PP484839,4,4f
PP484840,1,1e
PP484841,4,4t
PP484842,2,
PP484843,2,
PP484844,2,
PP484845,2,
PP484846,1,1e
PP484847,2,
PP484848,2,
PP484849,1,1l
PP484850,1,1l
PP484851,2,
PP484852,1,1e
PP484853,2,
PP484854,4,4f
PP484855,4,
PP484856,4,4f
PP484857,4,4f
PP484858,4,4f
PP484859,1,1e
PP484860,4,4f
PP484861,1,1h
PP484862,1,1e
PP484863,4,4f
PP484864,2,
PP484865,1,1h
PP484866,4,4f
PP484867,1,1l
PP484868,1,1e
PP484869,2,
PP484870,4,4f
PP484871,2,
PP484872,2,2q
PP484873,1,1l
PP484874,1,1e
PP484875,4,4f
PP484876,1,1e
PP484877,1,1e
PP583866,2,
PP583867,1,1e
PP583868,4,4t
PP583869,1,1e
PP583870,1,1l
PP583871,4,
PP583872,4,4f
PP583873,1,1e
PP583874,2,
PP583875,4,4t
PP583876,2,
PP583877,2,
PP583878,1,1h
PP583879,4,
PP583880,2,
PP583881,1,1e
PP583882,2,
PP583883,1,1e
PP583884,2,
PP583885,4,
PP583886,4,4f
PP583887,1,
PP583888,4,4f
PP583889,1,1e
PP583890,4,
PP583891,2,
PP583892,2,
PP583893,4,
PP583894,4,4f
PP583895,4,4f
PP583896,1,1e
PP583897,4,
PP583898,1,1h
PP583899,1,1h
PP583900,1,1e
PP583901,1,1l
PP583902,1,1l
PP583903,4,4f
PP583904,2,
PP583905,2,
PP583906,4,4f
PP583907,1,1h
PP583908,4,4f
PP583909,4,4f
PP583910,4,4f
PP583911,4,4f
PP583912,1,1l
PP583913,4,4f
PP583914,1,1l
PP583915,1,1l
PP583916,4,
PP583917,4,
PP583918,2,
PP583919,4,4f
PP583920,4,
PP583921,4,
PP583922,1,1e
PP583923,1,1e
PP583924,4,4f
PP583925,4,4f
PP583926,1,1e
PP583927,4,
PP583928,2,
PP583929,1,1e
PP583930,4,4f
PP583931,2,
PP583932,4,4p
PP583933,1,1l
PP583934,4,4f
PP583935,1,1l
PP583936,1,1h
PP583937,2,
PP583938,1,1e
PP583939,4,4f
PP583940,4,4f
PP583941,4,4f
PP583942,2,
PP583943,4,4f
PP583944,4,4f
PP583945,1,1e
PP583946,4,
PP583947,1,
PP583948,2,
PP583949,2,
PP583950,1,1l
PP583951,4,4f
PP583952,1,1e
PP583953,2,
PP583954,4,4f
PP583955,4,4f
PP583956,1,1e
PP583957,2,
PP583958,4,4t
PP583959,2,2r
PP583960,1,1e
PP583961,4,4f
PP583962,1,
PP583963,1,1h
PP583964,4,4t
PP583965,2,
PP583966,1,1e
PP583967,4,4f
PP583968,4,4p
PP583969,2,
PP583970,1,1e
PP583971,4,4f
PP583972,1,1l
PP583973,1,
PP583974,4,
PP583975,1,1h
PP583976,2,
PP583977,1,1e
PP583978,4,4f
PP583979,2,2r
PP583980,1,1l
PP583981,2,
PP583982,4,4f
PP583983,1,1l
PP583984,1,1e
PP583985,1,1l
PP583986,1,1l
PP583987,1,1l
PP583988,4,4f
PP583989,1,1e
PP583990,4,4f
PP583991,2,2r
PP583992,1,1e
PP583993,1,1l
PP583994,4,4t
PP583995,4,
PP583996,1,1l
PP583997,2,
PP583998,1,1l
PP583999,2,
PP584000,1,1l
PP584001,4,4f
PP584002,4,4f
PP584003,4,4t
PP584004,1,1l
PP584005,1,1e
PP584006,4,4f
PP584007,1,1l
PP584008,4,4t
PP584009,2,
PP584010,1,1l
PP584011,4,4f
PP584012,4,4t
PP584013,4,4f
PP584014,1,1e
PQ335035,1,1a
PQ335036,1,1a
PQ335037,1,1a
PQ335038,1,1a
PQ335039,1,1a
PQ335040,1,1a
PQ335041,1,1a
PQ335042,1,1a
PQ335045,1,1a
PQ335046,1,1a
PQ335047,1,1a
PQ335048,1,1a
PQ335049,1,1a
PQ335050,1,1a
PQ335051,1,1a
PQ335052,1,1a
PQ335053,1,1a
PQ335054,1,1a
PQ335055,1,1a
PQ335056,1,1a
PQ335057,1,1a
PQ335058,1,1a
PQ335059,1,1a
PQ335060,1,1a
PQ335061,1,1a
PQ335062,1,1a
PQ335063,1,1a
PQ335064,1,1a
PQ335065,1,1a
PQ335066,1,1a
PQ335067,1,1a
PQ335068,1,1a
PQ335070,1,1a
PQ335071,1,1a
PQ335072,1,1a
PQ335073,1,1a
PQ335074,1,1a
PQ335075,1,1a
PQ335076,1,1a
PQ335077,1,1a
PQ335078,1,1a
PQ335079,1,1a
PQ335080,1,1a
PQ335081,1,1a
PQ335082,1,1a
PQ335084,1,1a
PQ335085,1,1a
PQ335086,1,1a
PQ335087,1,1a
PQ335088,1,1a
PQ335089,4,4a
PQ335090,4,4a
PQ335091,4,4a
PQ335092,4,4a
PQ335093,4,4a
PQ335094,4,4a
PQ335097,4,4a
PQ335098,4,4a
PQ335099,4,4a
PQ335100,4,4a
PQ335101,4,4a
PQ335102,4,4a
PQ335104,4,4a
PQ335106,4,4a
PQ335107,4,4a
PQ335108,4,4a
PQ335111,4,4a
PQ335112,4,4a
PQ335113,4,4a
PQ335114,4,4a
PQ335115,4,4a
PQ335117,4,4a
PQ335118,4,4a
PQ335119,4,4a
PQ335120,4,4a
PQ335121,4,4a
PQ335126,4,4a
PQ335127,4,4a
PQ335128,4,4a
PQ335129,4,4a
PQ335130,4,4a
PQ335131,4,4a
PQ335132,4,4a
PQ335133,4,4a
PQ335134,4,4a
PQ335136,4,4a
PQ335138,4,4a
PQ335140,4,4a
PQ335141,4,4a
PQ335142,4,4a
PQ335144,4,4a
PQ335145,4,4a
PQ335146,4,4a
PQ335147,4,4a
PQ335149,4,4a
PQ335151,4,4a
PQ335152,4,4a
PQ335153,4,4a
PQ335154,4,4a
PQ335156,4,4a
PQ335157,4,4a
ON314812,2,
ON314813,2,
ON314814,2,
ON314815,2,
ON314816,2,
ON314817,2,
ON314818,2,
ON314819,2,
ON314820,2,
ON314821,2,
ON314822,2,
ON314823,2,
ON314824,2,
ON314825,2,
ON314826,2,
ON314827,2,
ON314828,2,
ON123710,1,
ON123711,1,
ON123712,1,
ON123713,4,
ON123714,1,
ON123716,1,
ON123717,1,
ON123718,1,
ON123719,2,
ON123720,4,
ON123721,1,
ON123722,1,
ON123723,1,
ON123724,1,
ON123725,1,
ON123726,1,
ON123727,1,
ON123728,1,
ON123729,1,
PQ365497,1,1a
PQ365498,3,3a
PQ365499,1,1a
PQ365500,1,1a
PQ365501,3,3a
PQ365502,3,3a
PQ365503,1,1a
PQ365504,3,3i
PQ365505,3,3b
PQ365506,3,3a
PQ365507,1,1a
PQ365508,3,3a
PQ365509,3,3a
PQ365510,1,1b
PQ365511,3,3a
PQ365512,3,3a
PQ365513,3,3d
PQ365514,3,3a
PQ365515,3,3a
PQ365516,1,1a
PQ365517,3,3a
PQ365518,3,3a
PQ365519,3,3a
PQ365520,3,3a
PQ365521,3,3a
PQ365522,3,3a
PQ365523,3,3a
PQ365524,3,3e
PQ365525,3,3a
PQ365526,3,3a
PQ365527,1,1a
PQ365528,3,3a
PQ365529,3,3a
PQ365530,3,3a
PQ365531,3,3a
PQ365532,3,3a
PQ365533,1,1a
PQ365534,3,3a
PQ365535,3,3a
PQ365536,3,3a
PQ365537,3,3a
PQ365538,3,3a
PQ365539,3,3g
PQ365540,3,3a
PQ442791,,
PQ442792,,
PQ442793,,
PQ442794,,
PQ442795,,
PQ442796,,
PQ442797,,
PQ442798,,
PQ442799,,
PQ442800,,
PQ442801,,
PQ442802,,
PQ442803,,
PQ442804,,
PQ442805,,
PQ442806,,
PQ442807,,
PQ442808,,
PQ442809,,
PQ442810,,
PQ442811,,
PQ442812,,
PQ442813,,
PQ442814,,
PQ442815,,
PQ442816,,
PQ442817,,
PQ442818,,
PQ442819,,
PQ442820,,
PQ442821,,
PQ442822,,
PQ442823,,
PQ442824,,
PQ442825,,
PQ442826,,
PQ442827,,
PQ442828,,
PQ442829,,
PQ442830,,
PQ442831,,
PQ442832,,
PQ442833,,
PQ442834,,
PQ442835,,
PQ442836,,
PQ442837,,
PQ442838,,
PQ442839,,
PQ442840,,
PQ442841,,
PQ442842,,
PQ442843,,
PQ442844,,
PQ442845,,
PQ442846,,
PQ442847,,
PQ442848,,
PQ442849,,
PQ442850,,
PQ442851,,
PQ442852,,
PQ442853,,
PQ442854,,
PQ442855,,
PQ442856,,
PQ442857,,
PQ442858,,
PQ442859,,
PQ442860,,
PQ442861,,
PQ442862,,
PQ442863,,
PQ442864,,
PQ442865,,
PQ442866,,
PQ442867,,
PQ442868,,
PQ442869,,
PQ442870,,
PQ442871,,
PQ442872,,
PQ442873,,
PQ442874,,
PQ442875,,
PQ442876,,
PQ442877,,
PQ442878,,
PQ442879,,
PQ442880,,
PQ442881,,
PQ442882,,
PQ442883,,
PQ442884,,
PQ442885,,
PQ442886,,
PQ442887,,
PQ442888,,
PQ442889,,
PQ442890,,
PQ442891,,
PQ442892,,
PQ442893,,
PQ442894,,
PQ442895,,
PQ442896,,
PQ442897,,
PQ442898,,
PQ442899,,
PQ442900,,
PQ442901,,
PQ442902,,
PQ442903,,
PQ442904,,
PQ442905,,
PQ442906,,
PQ442907,,
PQ442908,,
PQ442909,,
PQ442910,,
PQ442911,,
PQ442912,,
PQ442913,,
PQ442914,,
PQ442915,,
PQ442916,,
PQ442917,,
PQ442918,,
PQ442919,,
PQ442920,,
PQ442921,,
PQ442922,,
PQ442923,,
PQ442924,,
PQ442925,,
PQ442926,,
PQ442927,,
PQ442928,,
PQ442929,,
PQ442930,,
PQ442931,,
PQ442932,,
PQ442933,,
MT893915,4,4r
MT893916,4,4c
MT893917,4,4c
MT893918,4,4k
MT893919,4,4r
MT893920,4,4r
MT893921,4,4k
MT893922,4,4c
MT893923,4,4r
MT893924,4,4r
MT897489,2,
MT897490,2,
MT897491,2,
MT897492,2,
MT897493,2,2c
MT897494,2,2c
MT897495,2,2c
MT897496,2,2c
MT897497,2,2c
MT897498,2,2c
MT897499,2,2c
MT897500,2,2c
MT897501,2,2c
MT897502,2,2c
MT897503,2,2c
MT897504,2,
MT897505,2,2c
MT897506,2,2c
MT897507,2,2c
MT897508,2,2c
MT897509,2,2c
MT897510,2,2c
MT897511,2,2c
MT897512,2,2c
MT897513,2,2c
MT897514,2,2c
MT897515,2,2c
MT897516,2,2c
MT897517,2,2c
MT897518,2,
MT897519,2,2c
MT897520,2,2c
MT897521,2,2c
MT897522,3,3a
MT897523,3,3a
MT897524,3,3a
MT897525,3,3a
MT897526,3,3a
MT897527,3,3a
MT897528,3,3a
MT897529,3,3a
MT897530,3,3a
MT897531,3,3a
MT897532,3,3a
MT897533,3,3a
MT897534,3,3a
MT897535,3,3a
MT897536,3,3a
MT897537,3,3a
MT897538,3,3a
MT897539,3,3a
MT897540,3,3a
MT897541,3,3a
MT897542,3,3a
MT897543,3,3a
MT897544,3,3a
MT897545,3,3a
MT897546,4,4a
MT897547,4,4d
MT897548,4,4a
MT897549,4,4d
MT897550,4,4m
MT897551,4,4a
MT897552,4,4a
MT897553,4,4d
MT897554,4,4r
MT897555,4,4d
MT897556,4,4a
MT897557,4,4d
MT897558,1,1b
MT897559,1,1b
MT897560,1,1b
MT897561,1,1b
MT897562,1,1b
MT897563,1,1b
MT897564,1,1b
MT897565,1,1b
MT897566,1,1b
MT897567,1,1b
MT897568,1,1b
MT897569,1,1b
MT897570,1,1b
MT897571,1,1b
MT897572,1,1b
MT897573,1,1b
MT897574,1,1b
MT897575,1,1b
MT897576,1,1b
MT897577,1,1b
MT897578,1,1b
MT897579,1,1b
MT897580,1,1b
MT897581,1,1b
MT897582,1,1b
MT897583,1,1b
MT897584,1,1b
MT897585,1,1b
MT897586,1,1b
MT897587,1,1b
MT897588,1,1b
MT897589,1,1b
MT897590,1,1b
MT897591,1,1b
MT897592,1,1a
MT897593,1,1d
MT897594,1,1b
MT897595,1,1b
MT897596,1,1b
MT897597,1,1b
MT897598,1,1b
MT897599,1,1b
MT897600,1,1b
MT897601,1,1b
MT897602,1,1b
MT897603,1,1b
MT897604,1,1b
MT897605,1,1b
MT897606,1,1b
MT897607,1,1b
MT897608,1,1b
MT897609,1,1d
MT897610,1,1b
MT897611,1,1b
MT897612,1,1b
MT897613,1,1b
MT897614,1,1b
MT897615,1,1b
MT897616,1,1a
MT897617,1,1b
MT897618,1,1b
MT897619,1,1b
MT897620,1,1d
MT897621,1,1d
MT897622,1,1b
MT897623,1,1b
MT897624,1,1b
MT897625,1,1b
MT897626,1,1b
MT897627,1,1b
MT897628,1,1a
MT897629,1,1b
MT897630,1,1b
MT897631,1,1b
MT897632,1,1b
MT897633,1,1b
MT897634,1,1b
MT897635,1,1b
MT897636,1,1b
MT897637,1,1b
MT897638,1,1b
MT897639,1,1b
MT897640,1,1b
MT897641,1,1b
MT897642,1,1b
MT897643,1,1b
MT897644,1,1b
MT897645,1,1b
MT897646,1,1b
MT897647,1,1b
MT897648,1,1b
MT897649,1,1b
MT897650,1,1b
MT897651,1,1b
MT897652,1,1d
MT897653,1,1b
MT897654,1,1b
MT897655,1,1d
MT897656,1,1b
MT897657,1,1a
MT897658,1,1b
MT897659,1,1b
MT897660,1,1b
MT897661,1,1b
MT897662,1,1b
MT897663,1,1b
MT897664,1,1b
MT897665,1,1b
MT897666,1,1b
MT897667,1,1d
MT897668,1,1b
MT897669,1,1d
MT897670,1,1b
MT897671,1,1b
MT897672,1,1b
MT897673,1,1a
MT897674,1,1b
MT897675,1,1b
MT897676,1,1b
MT897677,1,1b
MT897678,1,1b
MT897679,1,1d
MT897680,1,1b
MT897681,1,1b
MT897682,1,1b
MT897683,1,1b
MT897684,1,1b
MT897685,1,1b
MT897686,1,1b
MT897687,1,1b
MT897688,1,1a
MT897689,1,1a
MT897690,1,1b
MT897691,1,1b
MT897692,1,1b
MT897693,1,1b
MT897694,1,1b
MT897695,1,1b
MT897696,1,1b
MT897697,1,1b
MT897698,1,1b
MT897699,1,1b
MT897700,1,1b
MT897701,1,1b
MT897702,1,1b
MT897703,1,1b
MT897704,1,1b
MT897705,1,1d
MT897706,1,1b
MT897707,1,1b
MT897708,1,1b
MT897709,1,1b
MT897710,1,1b
MT897711,1,1b
MT897712,1,1b
MT897713,1,1b
MT897714,1,1b
MT897715,1,1b
MT897716,1,1b
MT897717,1,1b
MT897718,1,1b
MT897719,1,1b
MT897720,1,1b
MT897721,1,1d
MT897722,1,1b
MT897723,1,1b
MT897724,1,1b
MT897725,1,1a
MT897726,1,1b
MT897727,1,1b
MT897728,1,1b
MT897729,1,1b
MT897730,1,1b
MT897731,1,1b
MT897732,1,1b
MT897733,1,1b
MT897734,1,1b
MT897735,1,1a
MT897736,1,1b
MT897737,1,1b
MT897738,1,1b
MT897739,1,1b
MT897740,1,1b
MT897741,1,1b
MT897742,1,1b
MT897743,1,1b
MT897744,1,1a
MT897745,1,1b
MT897746,1,1b
MT897747,1,1b
MT897748,1,1b
MT897749,1,1b
MT897750,1,1b
MT897751,1,1b
MT897752,1,1b
MT897753,1,1b
MT897754,1,1a
MT897755,1,1b
MT897756,1,1b
MT897757,1,1b
MT897758,1,1a
MT897759,1,1a
MT897760,1,1b
MT897761,1,1b
MT897762,1,1b
MT897763,1,1b
MT897764,1,1b
MT897765,1,1b
MT897766,1,1a
MT897767,1,1b
MT897768,1,1b
MT897769,1,1b
MT897770,1,1b
MT897771,1,1b
MT897772,1,1b
MT897773,1,1b
MT897774,1,1b
MT897775,1,1b
MT897776,1,1a
MT897777,1,1b
MT897778,1,1a
MT897779,1,1d
MT897780,1,1a
MT897781,1,1b
MT897782,1,1b
MT897783,1,1b
MT897784,1,1b
MT897785,1,1b
MT897786,1,1b
MT897787,1,1b
MT897788,1,1b
MT897789,1,1b
MT897790,1,1b
MT897791,1,1b
MT897792,1,1b
MT897793,1,1d
MT897794,1,1b
MT897795,1,1b
MT897796,1,1b
MT897797,1,1b
MT897798,1,1b
MT897799,1,1d
MT897800,1,1b
MT897801,1,1b
MT897802,1,1b
MT897803,1,1b
MT897804,1,1b
MT897805,1,1b
MT897806,1,1b
MT897807,1,1b
MT897808,1,1b
MT897809,1,1b
MT897810,1,1b
MT897811,1,1b
MT897812,1,1b
MT897813,1,1b
MT897814,1,1b
MT897815,1,1b
MT897816,1,1b
MT897817,1,1b
MT897818,1,1b
MT897819,1,1b
MT897820,1,1b
MT897821,1,1b
MT897822,1,1b
MT897823,1,1b
MT897824,1,1b
MT897825,1,1b
MT897826,1,1d
MT897827,1,1d
MT897828,1,1d
MT897829,1,1b
MT897830,1,1b
MT897831,1,1b
MT897832,1,1b
MT897833,1,1b
MT897834,1,1b
MT897835,1,1b
MT897836,1,1b
MT897837,1,1b
MT897838,1,1b
MT897839,1,1b
MT897840,1,1b
MT897841,1,1b
MW041294,2,
MW041295,2,
MW041296,2,
MW041297,2,
MW041298,2,
MW041299,2,
PQ110140,,
PQ110141,,
PQ110142,,
PQ110143,,
PQ110144,,
PQ110145,,
PQ110146,,
PQ110147,,
PQ110148,,
PQ110149,,
PQ110150,,
PQ110151,,
PQ110152,,
PQ110154,,
PQ110156,,
PQ110158,,
PQ110159,,
PQ110160,,
PQ110161,,
PQ110162,,
PQ110164,,
PQ110165,,
PQ110166,,
PQ110168,,
PQ110169,,
PQ110172,,
PQ110173,,
PQ110176,,
PQ110177,,
PQ110178,,
PQ110179,,
PQ110180,,
PQ110181,,
PQ110182,,
PQ110184,,
PQ110185,,
PQ110186,,
PQ110187,,
PQ110188,,
PQ110189,,
PQ110190,,
PQ110191,,
PQ110192,,
PQ110193,,
PQ110194,,
PQ110195,,
PQ110196,,
PQ110197,,
PQ110198,,
PQ110199,,
PQ110200,,
PQ110201,,
PQ110202,,
PQ110203,,
PQ110204,,
