Accession,CometFullSeqSubtype,CometPerGeneSubtype,FullSeqSubtype,PerGeneSubtype,GenBankSubtype,PresentMethodCount,BlankMethods,DistinctSubtypeCount,SubtypesObserved,AgreementStatus
PP484803,2J,2J,2U,2U,7A,5,,3,2J;2U;7A,AllFiveDisagree
PP484805,1B,1B,1O,1O,,4,GenBank,2,1B;1O,AvailableCallsDisagree
PP484807,2Q,2Q,2U,2U,,4,GenBank,2,2Q;2U,AvailableCallsDisagree
PP484810,4V,4V,4L,4L,,4,GenBank,2,4L;4V,AvailableCallsDisagree
PP484813,2M,2K,2U,2U,,4,GenBank,3,2K;2M;2U,AvailableCallsDisagree
PP484822,2A,2A,2U,2U,,4,GenBank,2,2A;2U,AvailableCallsDisagree
PP484824,1B,1B,1O,1O,,4,GenBank,2,1B;1O,AvailableCallsDisagree
PP484825,2J,2J,2U,2U,,4,GenBank,2,2J;2U,AvailableCallsDisagree
PP484826,4V,4V,4P,4P,4T,5,,3,4P;4T;4V,AllFiveDisagree
PP484827,4A,4A,4V,4V,,4,GenBank,2,4A;4V,AvailableCallsDisagree
PP484828,2M,2M,2U,2U,,4,GenBank,2,2M;2U,AvailableCallsDisagree
PP484831,2M,2M,2U,2U,,4,GenBank,2,2M;2U,AvailableCallsDisagree
PP484836,2J,2J,2U,2U,,4,GenBank,2,2J;2U,AvailableCallsDisagree
PP484842,2M,2J,2U,2U,,4,GenBank,3,2J;2M;2U,AvailableCallsDisagree
PP484843,2M,2J,2U,2U,,4,GenBank,3,2J;2M;2U,AvailableCallsDisagree
PP484844,2J,2J,2U,2U,,4,GenBank,2,2J;2U,AvailableCallsDisagree
PP484845,2J,2J,2U,2U,,4,GenBank,2,2J;2U,AvailableCallsDisagree
PP484847,2J,2J,2U,2U,,4,GenBank,2,2J;2U,AvailableCallsDisagree
PP484848,2Q,2Q,2U,2U,,4,GenBank,2,2Q;2U,AvailableCallsDisagree
PP484851,2M,2Q,2U,2U,,4,GenBank,3,2M;2Q;2U,AvailableCallsDisagree
PP484864,2J,2J,2U,2U,,4,GenBank,2,2J;2U,AvailableCallsDisagree
PP484869,2Q,2Q,2T,2T,,4,GenBank,2,2Q;2T,AvailableCallsDisagree
PP484871,2J,2J,2U,2U,,4,GenBank,2,2J;2U,AvailableCallsDisagree
PP484872,2A,2A,2U,2U,2Q,5,,3,2A;2Q;2U,AllFiveDisagree
PP583866,2J,2J,2U,2U,,4,GenBank,2,2J;2U,AvailableCallsDisagree
PP583871,4D,4D,4L,4L,,4,GenBank,2,4D;4L,AvailableCallsDisagree
PP583874,2J,2J,2U,2U,,4,GenBank,2,2J;2U,AvailableCallsDisagree
PP583875,4L,4L,4T,4T,4T,5,,2,4L;4T,AllFiveDisagree
PP583876,2Q,2Q,2U,2U,,4,GenBank,2,2Q;2U,AvailableCallsDisagree
PP583877,2J,2J,2U,2U,,4,GenBank,2,2J;2U,AvailableCallsDisagree
PP583879,4K,4K,4P,4P,,4,GenBank,2,4K;4P,AvailableCallsDisagree
PP583880,2A,2A,2U,2U,,4,GenBank,2,2A;2U,AvailableCallsDisagree
PP583882,2J,2J,2U,2U,,4,GenBank,2,2J;2U,AvailableCallsDisagree
PP583884,2J,2J,2U,2U,,4,GenBank,2,2J;2U,AvailableCallsDisagree
PP583885,4V,4V,4C,4C,,4,GenBank,2,4C;4V,AvailableCallsDisagree
PP583887,1B,1B,1O,1O,,4,GenBank,2,1B;1O,AvailableCallsDisagree
PP583890,4M,4M,4P,4P,,4,GenBank,2,4M;4P,AvailableCallsDisagree
PP583891,2J,2J,2U,2U,,4,GenBank,2,2J;2U,AvailableCallsDisagree
PP583892,2J,2J,2U,2U,,4,GenBank,2,2J;2U,AvailableCallsDisagree
PP583893,4V,4V,4L,4L,,4,GenBank,2,4L;4V,AvailableCallsDisagree
PP583897,4R,4R,4L,4L,,4,GenBank,2,4L;4R,AvailableCallsDisagree
PP583904,2J,2J,2U,2U,,4,GenBank,2,2J;2U,AvailableCallsDisagree
PP583905,2J,2J,2U,2U,,4,GenBank,2,2J;2U,AvailableCallsDisagree
PP583916,4V,4V,4P,4P,,4,GenBank,2,4P;4V,AvailableCallsDisagree
PP583917,4A,4A,4C,4C,,4,GenBank,2,4A;4C,AvailableCallsDisagree
PP583918,2J,2J,2U,2U,,4,GenBank,2,2J;2U,AvailableCallsDisagree
PP583920,4V,4V,4L,4L,,4,GenBank,2,4L;4V,AvailableCallsDisagree
PP583921,4V,4V,4P,4P,,4,GenBank,2,4P;4V,AvailableCallsDisagree
PP583928,2Q,2Q,2U,2U,,4,GenBank,2,2Q;2U,AvailableCallsDisagree
PP583931,2J,2J,2U,2U,,4,GenBank,2,2J;2U,AvailableCallsDisagree
PP583932,4V,4V,4P,4P,4P,5,,2,4P;4V,AllFiveDisagree
PP583937,2Q,2Q,2U,2U,,4,GenBank,2,2Q;2U,AvailableCallsDisagree
PP583948,2J,2J,2Q,2Q,,4,GenBank,2,2J;2Q,AvailableCallsDisagree
PP583949,2J,2J,2U,2U,,4,GenBank,2,2J;2U,AvailableCallsDisagree
PP583953,2A,2A,2U,2U,,4,GenBank,2,2A;2U,AvailableCallsDisagree
PP583957,2A,2Q,2U,2U,,4,GenBank,3,2A;2Q;2U,AvailableCallsDisagree
PP583958,4V,4V,4T,4T,4T,5,,2,4T;4V,AllFiveDisagree
PP583959,2A,2A,2U,2U,2R,5,,3,2A;2R;2U,AllFiveDisagree
PP583962,1A,1A,1G,1G,,4,GenBank,2,1A;1G,AvailableCallsDisagree
PP583965,2J,2J,2U,2U,,4,GenBank,2,2J;2U,AvailableCallsDisagree
PP583973,1L,1L,1O,1O,,4,GenBank,2,1L;1O,AvailableCallsDisagree
PP583974,4L,4L,4C,4C,,4,GenBank,2,4C;4L,AvailableCallsDisagree
PP583976,2J,2J,2U,2U,,4,GenBank,2,2J;2U,AvailableCallsDisagree
PP583979,2J,2J,2U,2U,2R,5,,3,2J;2R;2U,AllFiveDisagree
PP583991,2J,2J,2U,2U,2R,5,,3,2J;2R;2U,AllFiveDisagree
PP583995,4L,4L,4C,4C,,4,GenBank,2,4C;4L,AvailableCallsDisagree
PP583997,2J,2J,2U,2U,,4,GenBank,2,2J;2U,AvailableCallsDisagree
PP583999,2J,2J,2U,2U,,4,GenBank,2,2J;2U,AvailableCallsDisagree
PP584009,2J,2J,2U,2U,,4,GenBank,2,2J;2U,AvailableCallsDisagree
PP584012,4L,4L,4T,4T,4T,5,,2,4L;4T,AllFiveDisagree
PQ335106,4A,4A,4C,4C,4A,5,,2,4A;4C,AllFiveDisagree
ON314812,2K,2Q,2Q,2K,,4,GenBank,2,2K;2Q,AvailableCallsDisagree
ON314813,2K,2B,2K,2Q,,4,GenBank,3,2B;2K;2Q,AvailableCallsDisagree
ON314815,2J,2Q,2Q,2Q,,4,GenBank,2,2J;2Q,AvailableCallsDisagree
ON314816,2J,2A,2D,2V,,4,GenBank,4,2A;2D;2J;2V,AvailableCallsDisagree
ON314817,2K,2A,2Q,2K,,4,GenBank,3,2A;2K;2Q,AvailableCallsDisagree
ON314820,2J,2A,2Q,2Q,,4,GenBank,3,2A;2J;2Q,AvailableCallsDisagree
ON314821,2J,2J,2D,2D,,4,GenBank,2,2D;2J,AvailableCallsDisagree
ON314822,2K,2K,2Q,2K,,4,GenBank,2,2K;2Q,AvailableCallsDisagree
ON314823,2J,2A,2Q,2K,,4,GenBank,4,2A;2J;2K;2Q,AvailableCallsDisagree
ON314825,2J,2J,2Q,2Q,,4,GenBank,2,2J;2Q,AvailableCallsDisagree
ON314826,2J,2A,2C,2R,,4,GenBank,4,2A;2C;2J;2R,AvailableCallsDisagree
PQ365513,3A,3A,3D,3D,3D,5,,2,3A;3D,AllFiveDisagree
PQ365524,3A,3A,3E,3E,3E,5,,2,3A;3E,AllFiveDisagree
PQ442802,4V,4V,4S,4S,,4,GenBank,2,4S;4V,AvailableCallsDisagree
PQ442814,4F,4F,4B,4B,,4,GenBank,2,4B;4F,AvailableCallsDisagree
PQ442816,4F,4F,4B,4B,,4,GenBank,2,4B;4F,AvailableCallsDisagree
PQ442830,4V,4V,4S,4S,,4,GenBank,2,4S;4V,AvailableCallsDisagree
PQ442843,4V,4V,4S,4S,,4,GenBank,2,4S;4V,AvailableCallsDisagree
PQ442845,4V,4V,4S,4S,,4,GenBank,2,4S;4V,AvailableCallsDisagree
PQ442846,4V,4V,4Q,4Q,,4,GenBank,2,4Q;4V,AvailableCallsDisagree
PQ442847,4V,4V,4Q,4Q,,4,GenBank,2,4Q;4V,AvailableCallsDisagree
PQ442870,4V,4V,4Q,4Q,,4,GenBank,2,4Q;4V,AvailableCallsDisagree
PQ442871,4V,4V,4Q,4Q,,4,GenBank,2,4Q;4V,AvailableCallsDisagree
PQ442873,4V,4V,4Q,4Q,,4,GenBank,2,4Q;4V,AvailableCallsDisagree
PQ442874,4V,4V,4Q,4Q,,4,GenBank,2,4Q;4V,AvailableCallsDisagree
PQ442875,4V,4V,4Q,4Q,,4,GenBank,2,4Q;4V,AvailableCallsDisagree
PQ442876,4V,4V,4Q,4Q,,4,GenBank,2,4Q;4V,AvailableCallsDisagree
PQ442888,4V,4V,4Q,4Q,,4,GenBank,2,4Q;4V,AvailableCallsDisagree
PQ442889,4V,4V,4Q,4Q,,4,GenBank,2,4Q;4V,AvailableCallsDisagree
PQ442890,4V,4V,4Q,4Q,,4,GenBank,2,4Q;4V,AvailableCallsDisagree
PQ442891,4V,4V,4Q,4Q,,4,GenBank,2,4Q;4V,AvailableCallsDisagree
MT897489,2J,2J,2V,2V,,4,GenBank,2,2J;2V,AvailableCallsDisagree
MT897490,2A,2A,2V,2V,,4,GenBank,2,2A;2V,AvailableCallsDisagree
MT897491,2J,2J,2V,2V,,4,GenBank,2,2J;2V,AvailableCallsDisagree
MT897492,2K,2C,2K,2K,,4,GenBank,2,2C;2K,AvailableCallsDisagree
MT897504,2A,2A,2V,2V,,4,GenBank,2,2A;2V,AvailableCallsDisagree
MT897518,2J,2J,2V,2V,,4,GenBank,2,2J;2V,AvailableCallsDisagree
MT897519,2A,2A,2V,2V,2C,5,,3,2A;2C;2V,AllFiveDisagree
MT897550,4A,4A,4M,4M,4M,5,,2,4A;4M,AllFiveDisagree
MT897593,1B,1B,1D,1D,1D,5,,2,1B;1D,AllFiveDisagree
MT897609,1B,1B,1D,1D,1D,5,,2,1B;1D,AllFiveDisagree
MT897620,1B,1B,1D,1D,1D,5,,2,1B;1D,AllFiveDisagree
MT897621,1B,1B,1D,1D,1D,5,,2,1B;1D,AllFiveDisagree
MT897652,1B,1B,1D,1D,1D,5,,2,1B;1D,AllFiveDisagree
MT897655,1B,1B,1D,1D,1D,5,,2,1B;1D,AllFiveDisagree
MT897667,1B,1B,1D,1D,1D,5,,2,1B;1D,AllFiveDisagree
MT897669,1B,1B,1D,1D,1D,5,,2,1B;1D,AllFiveDisagree
MT897679,1B,1B,1D,1D,1D,5,,2,1B;1D,AllFiveDisagree
MT897705,1B,1B,1D,1D,1D,5,,2,1B;1D,AllFiveDisagree
MT897721,1B,1B,1D,1D,1D,5,,2,1B;1D,AllFiveDisagree
MT897725,1B,1B,1B,1B,1A,5,,2,1A;1B,AllFiveDisagree
MT897779,1B,1B,1D,1D,1D,5,,2,1B;1D,AllFiveDisagree
MT897793,1B,1B,1D,1D,1D,5,,2,1B;1D,AllFiveDisagree
MT897799,1B,1B,1D,1D,1D,5,,2,1B;1D,AllFiveDisagree
MT897802,1A,1A,1A,1A,1B,5,,2,1A;1B,AllFiveDisagree
MT897812,1A,1A,1A,1A,1B,5,,2,1A;1B,AllFiveDisagree
MT897826,1B,1B,1D,1D,1D,5,,2,1B;1D,AllFiveDisagree
MT897827,1B,1B,1D,1D,1D,5,,2,1B;1D,AllFiveDisagree
MT897828,1B,1B,1D,1D,1D,5,,2,1B;1D,AllFiveDisagree
MT897832,1B,1B,1D,1D,1B,5,,2,1B;1D,AllFiveDisagree
MW041294,2J,2B,2C,2C,,4,GenBank,3,2B;2C;2J,AvailableCallsDisagree
MW041295,2J,2A,2V,2V,,4,GenBank,3,2A;2J;2V,AvailableCallsDisagree
MW041296,2J,2C,2C,2C,,4,GenBank,2,2C;2J,AvailableCallsDisagree
MW041297,2J,2J,2V,2V,,4,GenBank,2,2J;2V,AvailableCallsDisagree
MW041298,2J,2A,2V,2V,,4,GenBank,3,2A;2J;2V,AvailableCallsDisagree
MW041299,2J,2J,2V,2V,,4,GenBank,2,2J;2V,AvailableCallsDisagree
PQ110140,4K,4K,2R,2R,,4,GenBank,2,2R;4K,AvailableCallsDisagree
PQ110141,2M,2M,2U,2U,,4,GenBank,2,2M;2U,AvailableCallsDisagree
PQ110142,2Q,2Q,2U,2U,,4,GenBank,2,2Q;2U,AvailableCallsDisagree
PQ110143,2J,2J,2U,2U,,4,GenBank,2,2J;2U,AvailableCallsDisagree
PQ110148,2J,2J,2U,2U,,4,GenBank,2,2J;2U,AvailableCallsDisagree
PQ110149,2Q,2Q,2U,2U,,4,GenBank,2,2Q;2U,AvailableCallsDisagree
PQ110151,1A,1A,1O,1O,,4,GenBank,2,1A;1O,AvailableCallsDisagree
PQ110156,2R,2R,2U,2U,,4,GenBank,2,2R;2U,AvailableCallsDisagree
PQ110158,2M,2M,2U,2U,,4,GenBank,2,2M;2U,AvailableCallsDisagree
PQ110159,2J,2J,2U,2U,,4,GenBank,2,2J;2U,AvailableCallsDisagree
PQ110160,2J,2J,2U,2U,,4,GenBank,2,2J;2U,AvailableCallsDisagree
PQ110161,2J,2J,2U,2U,,4,GenBank,2,2J;2U,AvailableCallsDisagree
PQ110162,2J,2J,2U,2U,,4,GenBank,2,2J;2U,AvailableCallsDisagree
PQ110164,2Q,2Q,2U,2U,,4,GenBank,2,2Q;2U,AvailableCallsDisagree
PQ110165,2J,2J,2U,2U,,4,GenBank,2,2J;2U,AvailableCallsDisagree
PQ110166,2J,2J,2U,2U,,4,GenBank,2,2J;2U,AvailableCallsDisagree
PQ110169,2R,2R,2U,2U,,4,GenBank,2,2R;2U,AvailableCallsDisagree
PQ110172,2J,2J,2U,2U,,4,GenBank,2,2J;2U,AvailableCallsDisagree
PQ110173,2J,2J,2U,2U,,4,GenBank,2,2J;2U,AvailableCallsDisagree
PQ110176,1A,1A,1J,1J,,4,GenBank,2,1A;1J,AvailableCallsDisagree
PQ110178,2J,2J,2U,2U,,4,GenBank,2,2J;2U,AvailableCallsDisagree
PQ110179,2J,2J,2U,2U,,4,GenBank,2,2J;2U,AvailableCallsDisagree
PQ110180,2J,2J,2U,2U,,4,GenBank,2,2J;2U,AvailableCallsDisagree
PQ110184,4M,4M,4P,4P,,4,GenBank,2,4M;4P,AvailableCallsDisagree
PQ110185,2Q,2Q,2U,2U,,4,GenBank,2,2Q;2U,AvailableCallsDisagree
PQ110189,2B,2B,2U,2U,,4,GenBank,2,2B;2U,AvailableCallsDisagree
PQ110191,2J,2J,2U,2U,,4,GenBank,2,2J;2U,AvailableCallsDisagree
PQ110195,2J,2J,2U,2U,,4,GenBank,2,2J;2U,AvailableCallsDisagree
PQ110197,1B,1B,4F,4F,,4,GenBank,2,1B;4F,AvailableCallsDisagree
PQ110198,2A,2A,2U,2U,,4,GenBank,2,2A;2U,AvailableCallsDisagree
PQ110201,2Q,2Q,2U,2U,,4,GenBank,2,2Q;2U,AvailableCallsDisagree
PQ110202,4N,4N,4F,4F,,4,GenBank,2,4F;4N,AvailableCallsDisagree
PQ110203,4O,4O,2R,2R,,4,GenBank,2,2R;4O,AvailableCallsDisagree
PQ110204,4M,4M,4F,4F,,4,GenBank,2,4F;4M,AvailableCallsDisagree
PQ110208,4N,4N,4F,4F,,4,GenBank,2,4F;4N,AvailableCallsDisagree
PQ110210,4V,4V,4L,4L,,4,GenBank,2,4L;4V,AvailableCallsDisagree
PQ110212,2J,2J,2U,2U,,4,GenBank,2,2J;2U,AvailableCallsDisagree
PQ110214,4F,4F,4L,4L,,4,GenBank,2,4F;4L,AvailableCallsDisagree
PQ110216,4D,4D,4P,4P,,4,GenBank,2,4D;4P,AvailableCallsDisagree
PQ110220,4N,4N,4F,4F,,4,GenBank,2,4F;4N,AvailableCallsDisagree
PQ110223,2R,2R,2U,2U,,4,GenBank,2,2R;2U,AvailableCallsDisagree
PQ110230,2J,2J,2U,2U,,4,GenBank,2,2J;2U,AvailableCallsDisagree
PQ110231,4V,4V,4C,4C,,4,GenBank,2,4C;4V,AvailableCallsDisagree
MN628580,1A,1A,1A,1A,3A,5,,2,1A;3A,AllFiveDisagree
MN628581,3A,3A,3A,3A,1A,5,,2,1A;3A,AllFiveDisagree
MN895095,4V,4V,4P,4P,4P,5,,2,4P;4V,AllFiveDisagree
MN895099,1L,1L,1L,1L,2NC,5,,2,1L;2NC,AllFiveDisagree
MN895103,2J,2J,2U,2U,2NC,5,,3,2J;2NC;2U,AllFiveDisagree
MN895104,4V,4V,4C,4C,4NC,5,,3,4C;4NC;4V,AllFiveDisagree
MN895106,1E,1E,1E,1E,1NC,5,,2,1E;1NC,AllFiveDisagree
MN895107,2M,2M,2U,2U,2NC,5,,3,2M;2NC;2U,AllFiveDisagree
MN895108,4V,4V,4C,4C,4NC,5,,3,4C;4NC;4V,AllFiveDisagree
MN895109,4V,4V,4C,4C,4NC,5,,3,4C;4NC;4V,AllFiveDisagree
MN895110,4V,4V,4C,4C,4NC,5,,3,4C;4NC;4V,AllFiveDisagree
MN895111,2J,2J,2U,2U,4F,5,,3,2J;2U;4F,AllFiveDisagree
MN895112,2R,2R,2R,2R,2NC,5,,2,2NC;2R,AllFiveDisagree
MN895114,4V,4V,4C,4C,4NC,5,,3,4C;4NC;4V,AllFiveDisagree
MN895117,2J,2J,2U,2U,2NC,5,,3,2J;2NC;2U,AllFiveDisagree
