Accession,CometFullSeqSubtype,CometPerGeneSubtype,FullSeqSubtype,FullSeqClosestSubtypeAlignedNT,PerGeneSubtype,PerGeneClosestSubtypeAlignedNT,GenBankSubtype,PresentMethodCount,BlankMethods,DistinctSubtypeCount,SubtypesObserved,AgreementStatus
MT151206,1A,1A,1O,354,1O,351,1O,5,,2,1A;1O,AllFiveDisagree
MT151207,4F,4F,4F,353,4D,338,4G,5,,3,4D;4F;4G,AllFiveDisagree
MT151211,1A,1A,1O,354,1O,336,1M,5,,3,1A;1M;1O,AllFiveDisagree
MT151212,1B,1B,1D,354,1D,354,1D,5,,2,1B;1D,AllFiveDisagree
MT151222,4R,4R,1A,347,1A,347,4R,5,,2,1A;4R,AllFiveDisagree
MT151226,1A,1A,1O,353,1O,350,1O,5,,2,1A;1O,AllFiveDisagree
MT151236,2A,2A,2C,350,2C,350,2C,5,,2,2A;2C,AllFiveDisagree
MT151238,1A,1A,1C,354,1C,351,1C,5,,2,1A;1C,AllFiveDisagree
MT151241,1C,1C,1O,353,1O,350,1B,5,,3,1B;1C;1O,AllFiveDisagree
MT151242,1B,1B,1B,354,1B,354,1O,5,,2,1B;1O,AllFiveDisagree
MT151243,2B,2B,2I,353,2I,350,2A,5,,3,2A;2B;2I,AllFiveDisagree
MT151252,4A,4A,4C,354,4C,336,4C,5,,2,4A;4C,AllFiveDisagree
MT151255,1C,1C,1O,354,1O,351,1O,5,,2,1C;1O,AllFiveDisagree
MT151261,4D,4D,4B,353,4B,346,4B,5,,2,4B;4D,AllFiveDisagree
MT151262,2A,2A,2R,354,2R,351,2R,5,,2,2A;2R,AllFiveDisagree
MT151264,1A,1A,1B,332,1B,332,1A,5,,2,1A;1B,AllFiveDisagree
MT151270,4A,4A,4C,354,4C,348,4C,5,,2,4A;4C,AllFiveDisagree
MT151272,1A,1A,1O,354,1O,351,1O,5,,2,1A;1O,AllFiveDisagree
MT151282,2J,2J,3H,329,3H,329,3H,5,,2,2J;3H,AllFiveDisagree
MT151283,4A,4A,4C,350,4C,348,4C,5,,2,4A;4C,AllFiveDisagree
MK252769,6XA,6XA,5A,748,5A,603,,4,GenBank,2,5A;6XA,AvailableCallsDisagree
MK252770,6N,6N,6N,732,5A,601,,4,GenBank,2,5A;6N,AvailableCallsDisagree
MK252771,6XA,6XA,6XA,741,5A,602,,4,GenBank,2,5A;6XA,AvailableCallsDisagree
MK252773,6XA,6XA,6XA,744,5A,605,,4,GenBank,2,5A;6XA,AvailableCallsDisagree
MK252775,6XA,6XA,5A,727,5A,600,,4,GenBank,2,5A;6XA,AvailableCallsDisagree
MK252776,6XA,6XA,5A,742,5A,600,,4,GenBank,2,5A;6XA,AvailableCallsDisagree
MK252780,6XA,6XA,6XA,711,5A,570,,4,GenBank,2,5A;6XA,AvailableCallsDisagree
MK252782,6XA,6XA,5A,651,5A,602,,4,GenBank,2,5A;6XA,AvailableCallsDisagree
MK252784,6XA,6XA,5A,649,5A,600,,4,GenBank,2,5A;6XA,AvailableCallsDisagree
MK252789,6N,6N,6N,735,4V,612,,4,GenBank,2,4V;6N,AvailableCallsDisagree
MK252790,6XA,6XA,5A,706,5A,565,,4,GenBank,2,5A;6XA,AvailableCallsDisagree
MK252797,6N,6N,6N,726,4D,604,,4,GenBank,2,4D;6N,AvailableCallsDisagree
MK252798,6N,6N,5A,580,5A,559,,4,GenBank,2,5A;6N,AvailableCallsDisagree
MK252799,6N,6N,4C,602,6N,558,,4,GenBank,2,4C;6N,AvailableCallsDisagree
MK252803,6XA,6XA,5A,613,5A,564,,4,GenBank,2,5A;6XA,AvailableCallsDisagree
MK252804,1B,1B,6XA,740,5A,583,,4,GenBank,3,1B;5A;6XA,AvailableCallsDisagree
MK252807,6XA,6XA,5A,702,5A,563,,4,GenBank,2,5A;6XA,AvailableCallsDisagree
MK252808,6XA,6XA,5A,741,5A,596,,4,GenBank,2,5A;6XA,AvailableCallsDisagree
MK252809,6XA,6XA,5A,726,5A,584,,4,GenBank,2,5A;6XA,AvailableCallsDisagree
MK252810,6N,6N,4D,647,4D,602,,4,GenBank,2,4D;6N,AvailableCallsDisagree
MK252812,6XA,6XA,5A,652,5A,603,,4,GenBank,2,5A;6XA,AvailableCallsDisagree
MK252814,6XA,6XA,5A,732,5A,596,,4,GenBank,2,5A;6XA,AvailableCallsDisagree
MK252815,6XA,6XA,5A,657,5A,575,,4,GenBank,2,5A;6XA,AvailableCallsDisagree
MK252819,6XA,6XA,5A,738,5A,605,,4,GenBank,2,5A;6XA,AvailableCallsDisagree
MK252823,6XA,6XA,5A,709,5A,568,,4,GenBank,2,5A;6XA,AvailableCallsDisagree
MK327981,6W,1L,6G,6802,6G,633,,4,GenBank,3,1L;6G;6W,AvailableCallsDisagree
MK327983,6G,6W,6G,3455,6G,633,,4,GenBank,2,6G;6W,AvailableCallsDisagree
MK327984,6G,6W,6G,9447,6G,630,,4,GenBank,2,6G;6W,AvailableCallsDisagree
MK327985,6W,6W,6G,9435,6G,634,,4,GenBank,2,6G;6W,AvailableCallsDisagree
MK327987,6W,1L,6G,9452,6Q,618,,4,GenBank,4,1L;6G;6Q;6W,AvailableCallsDisagree
MK327988,6G,6G,6G,9428,5B,631,,4,GenBank,2,5B;6G,AvailableCallsDisagree
MK327989,6W,6W,6XH,9057,6XH,632,,4,GenBank,2,6W;6XH,AvailableCallsDisagree
MK327990,6W,3A,6N,9460,6W,629,,4,GenBank,3,3A;6N;6W,AvailableCallsDisagree
MK327991,6W,6W,6XA,9476,6W,629,,4,GenBank,2,6W;6XA,AvailableCallsDisagree
MK327993,1B,4K,6XD,9449,6XA,629,,4,GenBank,4,1B;4K;6XA;6XD,AvailableCallsDisagree
MK327995,6W,6W,6G,3050,5A,634,,4,GenBank,3,5A;6G;6W,AvailableCallsDisagree
MK327996,6W,6W,6XH,9059,6XH,633,,4,GenBank,2,6W;6XH,AvailableCallsDisagree
MK327997,6G,6W,6G,9444,6G,630,,4,GenBank,2,6G;6W,AvailableCallsDisagree
MK327998,6W,6W,6G,9452,5A,632,,4,GenBank,3,5A;6G;6W,AvailableCallsDisagree
MK327999,6W,1B,6G,9211,6Q,634,,4,GenBank,4,1B;6G;6Q;6W,AvailableCallsDisagree
MK328001,6W,1B,6XA,9416,6W,632,,4,GenBank,3,1B;6W;6XA,AvailableCallsDisagree
MK328002,6W,6W,6XH,9059,6XH,631,,4,GenBank,2,6W;6XH,AvailableCallsDisagree
MK328003,6W,6W,6XH,9061,6XH,632,,4,GenBank,2,6W;6XH,AvailableCallsDisagree
MK328004,6A,1B,6B,3432,6XJ,583,,4,GenBank,4,1B;6A;6B;6XJ,AvailableCallsDisagree
MK328005,6G,6W,6G,9429,6G,623,,4,GenBank,2,6G;6W,AvailableCallsDisagree
MK328006,6W,6W,6XH,9061,6XH,632,,4,GenBank,2,6W;6XH,AvailableCallsDisagree
MK328007,6W,6W,6G,9098,6Q,632,,4,GenBank,3,6G;6Q;6W,AvailableCallsDisagree
MK328008,6W,6W,8A,978,6G,633,,4,GenBank,3,6G;6W;8A,AvailableCallsDisagree
MK328009,6W,6W,6G,9455,6Q,635,,4,GenBank,3,6G;6Q;6W,AvailableCallsDisagree
MK328010,6W,6W,6XH,9059,6XH,632,,4,GenBank,2,6W;6XH,AvailableCallsDisagree
MK328012,1B,2B,6D,9436,6B,634,,4,GenBank,4,1B;2B;6B;6D,AvailableCallsDisagree
MK328014,6W,6T,6G,7892,6G,633,,4,GenBank,3,6G;6T;6W,AvailableCallsDisagree
MK328016,"UNASSIGNED_1, 6G-3B",6G,6G,2245,6G,540,,4,GenBank,2,"6G;UNASSIGNED_1, 6G-3B",AvailableCallsDisagree
MK328018,6W,6W,6G,5582,6G,632,,4,GenBank,2,6G;6W,AvailableCallsDisagree
MK328019,6G,6W,6G,9451,6G,627,,4,GenBank,2,6G;6W,AvailableCallsDisagree
MK328020,6W,1B,6G,9437,6G,632,,4,GenBank,3,1B;6G;6W,AvailableCallsDisagree
MK328021,6W,3A,6XA,9398,6W,629,,4,GenBank,3,3A;6W;6XA,AvailableCallsDisagree
MK328023,6W,6W,6L,9424,6XE,634,,4,GenBank,3,6L;6W;6XE,AvailableCallsDisagree
MK328025,6W,1L,6G,976,6XG,341,,4,GenBank,4,1L;6G;6W;6XG,AvailableCallsDisagree
MK328026,6W,4K,6G,9446,6G,632,,4,GenBank,3,4K;6G;6W,AvailableCallsDisagree
MK548362,"UNASSIGNED_1, 1A-2B",1A,1A,3582,1A,639,2B,5,,3,"1A;2B;UNASSIGNED_1, 1A-2B",AllFiveDisagree
MK548363,"UNASSIGNED_1, 1A-2B",1A,1A,9217,1A,634,2B,5,,3,"1A;2B;UNASSIGNED_1, 1A-2B",AllFiveDisagree
MK548364,"UNASSIGNED_1, 1A-2B",1A,1A,9249,1A,639,2B,5,,3,"1A;2B;UNASSIGNED_1, 1A-2B",AllFiveDisagree
MK548365,"UNASSIGNED_1, 1A-2B",1A,1A,3379,1A,639,2B,5,,3,"1A;2B;UNASSIGNED_1, 1A-2B",AllFiveDisagree
MK548366,"UNASSIGNED_1, 1A-2B",1A,1A,3039,1A,639,2B,5,,3,"1A;2B;UNASSIGNED_1, 1A-2B",AllFiveDisagree
MK548367,"UNASSIGNED_1, 1A-2B",1A,1A,6203,1A,639,2B,5,,3,"1A;2B;UNASSIGNED_1, 1A-2B",AllFiveDisagree
MK548368,"UNASSIGNED_1, 1A-2B",1A,1A,9241,1A,639,2B,5,,3,"1A;2B;UNASSIGNED_1, 1A-2B",AllFiveDisagree
MK548369,"UNASSIGNED_1, 1A-2B",1A,1A,6151,1A,638,2B,5,,3,"1A;2B;UNASSIGNED_1, 1A-2B",AllFiveDisagree
MK814771,4A,4A,4C,407,4C,407,,4,GenBank,2,4A;4C,AvailableCallsDisagree
MN164845,1A,1A,1A,9046,1O,632,,4,GenBank,2,1A;1O,AvailableCallsDisagree
MN164847,1A,1A,1A,9047,1J,634,,4,GenBank,2,1A;1J,AvailableCallsDisagree
MN164848,"UNASSIGNED_1, 1A-1L",1A,1L,6694,1L,636,,4,GenBank,3,"1A;1L;UNASSIGNED_1, 1A-1L",AvailableCallsDisagree
MN164850,"UNASSIGNED_1, 1A-1C",1A,1A,9005,1A,638,,4,GenBank,2,"1A;UNASSIGNED_1, 1A-1C",AvailableCallsDisagree
MN164851,"UNASSIGNED_1, 1B-1A",1B,1B,9053,1B,636,,4,GenBank,2,"1B;UNASSIGNED_1, 1B-1A",AvailableCallsDisagree
MN164852,1A,1A,1A,7815,1N,638,,4,GenBank,2,1A;1N,AvailableCallsDisagree
MN164853,"UNASSIGNED_1, 1A-1B",1A,1A,7813,1A,638,,4,GenBank,2,"1A;UNASSIGNED_1, 1A-1B",AvailableCallsDisagree
MN164854,"UNASSIGNED_1, 1A-1L",1A,1A,7814,1A,639,,4,GenBank,2,"1A;UNASSIGNED_1, 1A-1L",AvailableCallsDisagree
MN164855,"UNASSIGNED_1, 1B-1A",1A,1A,9043,1B,636,,4,GenBank,3,"1A;1B;UNASSIGNED_1, 1B-1A",AvailableCallsDisagree
MN164856,1A,1A,1A,7783,1K,636,1P,5,,3,1A;1K;1P,AllFiveDisagree
MN164857,"UNASSIGNED_1, 1A-4A",1A,1A,7803,1A,639,1P,5,,3,"1A;1P;UNASSIGNED_1, 1A-4A",AllFiveDisagree
MN164859,1A,1A,1A,7813,1N,638,,4,GenBank,2,1A;1N,AvailableCallsDisagree
MN164862,"UNASSIGNED_1, 1A-1B",1A,1A,7776,1A,638,,4,GenBank,2,"1A;UNASSIGNED_1, 1A-1B",AvailableCallsDisagree
MN164868,"UNASSIGNED_1, 1A-1B","UNASSIGNED_1, 1A-1B",1A,9038,1I,635,,4,GenBank,3,"1A;1I;UNASSIGNED_1, 1A-1B",AvailableCallsDisagree
MN164870,"UNASSIGNED_1, 1L-1A-1B",1L,1L,9061,1L,634,,4,GenBank,2,"1L;UNASSIGNED_1, 1L-1A-1B",AvailableCallsDisagree
MN164871,1A,1A,1O,6348,1O,632,,4,GenBank,2,1A;1O,AvailableCallsDisagree
MN164872,1A,1A,1A,7734,1N,638,,4,GenBank,2,1A;1N,AvailableCallsDisagree
MN164873,"UNASSIGNED_1, 1B-1A",1B,1B,3941,1B,636,1P,5,,3,"1B;1P;UNASSIGNED_1, 1B-1A",AllFiveDisagree
MN164874,"UNASSIGNED_1, 1B-1A",1A,1A,9009,1N,639,,4,GenBank,3,"1A;1N;UNASSIGNED_1, 1B-1A",AvailableCallsDisagree
MN164876,"UNASSIGNED_1, 1B-1A",1A,1A,9037,1K,635,1P,5,,4,"1A;1K;1P;UNASSIGNED_1, 1B-1A",AllFiveDisagree
MN164877,"UNASSIGNED_1, 1L-1A",1L,1L,8279,1L,634,,4,GenBank,2,"1L;UNASSIGNED_1, 1L-1A",AvailableCallsDisagree
MN240359,6W,4K,6XA,9404,6XA,629,,4,GenBank,3,4K;6W;6XA,AvailableCallsDisagree
LC773639,4F,4V,4C,9348,4V,630,4E,5,,4,4C;4E;4F;4V,AllFiveDisagree
LC773640,4A,4V,4C,9320,4V,630,4E,5,,4,4A;4C;4E;4V,AllFiveDisagree
MG000203,4R,4R,1B,332,1B,332,4R,5,,2,1B;4R,AllFiveDisagree
MG000204,4R,4R,1A,330,1A,330,4R,5,,2,1A;4R,AllFiveDisagree
MG000217,4R,4R,1A,330,1A,330,4R,5,,2,1A;4R,AllFiveDisagree
MG000218,4R,4R,1A,330,1A,330,4R,5,,2,1A;4R,AllFiveDisagree
MG000219,4R,4R,1A,330,1A,330,4R,5,,2,1A;4R,AllFiveDisagree
MG000220,4R,4R,1A,330,1A,330,4R,5,,2,1A;4R,AllFiveDisagree
MG000223,4R,4R,1K,332,1K,332,4R,5,,2,1K;4R,AllFiveDisagree
MG000225,4R,4R,1B,288,1B,288,4R,5,,2,1B;4R,AllFiveDisagree
MG000226,4R,4R,1A,330,1A,330,4R,5,,2,1A;4R,AllFiveDisagree
MG000227,4R,4R,1A,330,1A,330,4R,5,,2,1A;4R,AllFiveDisagree
MG000229,4R,4R,1B,284,1B,284,4R,5,,2,1B;4R,AllFiveDisagree
MG000234,4R,4R,1K,330,1K,330,4R,5,,2,1K;4R,AllFiveDisagree
MG454780,4O,4O,4O,1320,4V,628,4O,5,,2,4O;4V,AllFiveDisagree
MG454786,2B,2B,2B,1347,2B,635,2A,5,,2,2A;2B,AllFiveDisagree
MG454941,"UNASSIGNED_1, 4R-4D","UNASSIGNED_1, 4R-4D",4R,1166,4R,630,4D,5,,3,"4D;4R;UNASSIGNED_1, 4R-4D",AllFiveDisagree
MG454972,2Q,2A,2Q,1376,2R,633,2A,5,,3,2A;2Q;2R,AllFiveDisagree
MG454989,1C,1C,1C,1336,1O,632,1E,5,,3,1C;1E;1O,AllFiveDisagree
MG455000,2J,2J,2J,1416,2J,636,2D,5,,2,2D;2J,AllFiveDisagree
MG455035,2Q,2Q,2U,1361,2U,632,2K,5,,3,2K;2Q;2U,AllFiveDisagree
MG455038,1B,1B,1O,1348,1O,632,1C,5,,3,1B;1C;1O,AllFiveDisagree
MG455039,1B,1B,1O,1348,1O,632,1C,5,,3,1B;1C;1O,AllFiveDisagree
MG455040,1B,1B,1O,1348,1O,632,1C,5,,3,1B;1C;1O,AllFiveDisagree
MG455071,2J,2J,2D,1393,2Q,627,2J,5,,3,2D;2J;2Q,AllFiveDisagree
MG455110,2A,2A,2L,1410,2L,633,2K,5,,3,2A;2K;2L,AllFiveDisagree
MG455117,2B,2B,2T,1435,2T,633,2C,5,,3,2B;2C;2T,AllFiveDisagree
MG455163,2J,2J,2F,1353,2J,633,2A,5,,3,2A;2F;2J,AllFiveDisagree
MG455166,2J,2J,2F,1373,2F,633,2C,5,,3,2C;2F;2J,AllFiveDisagree
MG455188,2J,2J,2U,1419,2U,635,2K,5,,3,2J;2K;2U,AllFiveDisagree
MG455194,2B,2B,2B,1400,2B,632,2E,5,,2,2B;2E,AllFiveDisagree
MG455205,4A,4A,4A,1336,4C,630,4A,5,,2,4A;4C,AllFiveDisagree
MG455215,6K,6K,6K,1357,6XB,630,6K,5,,2,6K;6XB,AllFiveDisagree
MG455230,6E,6E,6XC,1364,6XC,633,6E,5,,2,6E;6XC,AllFiveDisagree
MG455243,2B,2B,2L,1316,2L,626,,4,GenBank,2,2B;2L,AvailableCallsDisagree
MG455270,2A,2A,2D,1443,2F,632,2A,5,,3,2A;2D;2F,AllFiveDisagree
MG455290,1E,1E,1E,1344,1E,636,1A,5,,2,1A;1E,AllFiveDisagree
MG455300,4T,4T,4T,1344,4T,630,4P,5,,2,4P;4T,AllFiveDisagree
MG455301,2K,2K,2Q,1366,2Q,632,2C,5,,3,2C;2K;2Q,AllFiveDisagree
MG455366,4V,4V,4V,1372,4V,627,4A,5,,2,4A;4V,AllFiveDisagree
MG455937,2C,2C,2C,1410,2C,632,2B,5,,2,2B;2C,AllFiveDisagree
MG455953,2Q,2Q,2U,1325,2U,632,2K,5,,3,2K;2Q;2U,AllFiveDisagree
MG455963,2J,2J,2J,1375,2U,635,2E,5,,3,2E;2J;2U,AllFiveDisagree
MG456003,4K,4K,4K,1352,4K,620,4A,5,,2,4A;4K,AllFiveDisagree
MG456006,2J,2J,2F,1410,2F,632,2D,5,,3,2D;2F;2J,AllFiveDisagree
MG456007,4K,4K,4K,1355,4K,621,4G,5,,2,4G;4K,AllFiveDisagree
MG456014,4D,4D,4D,1332,4D,630,4A,5,,2,4A;4D,AllFiveDisagree
MG456023,1B,1B,1I,1341,1I,636,1B,5,,2,1B;1I,AllFiveDisagree
MG456239,4O,4O,4O,1323,4P,626,4O,5,,2,4O;4P,AllFiveDisagree
MG456241,2A,2A,2Q,1398,2F,633,2A,5,,3,2A;2F;2Q,AllFiveDisagree
MG456297,4K,4K,4K,1344,4R,628,4G,5,,3,4G;4K;4R,AllFiveDisagree
MG456322,4A,4A,4P,1328,4C,618,4L,5,,4,4A;4C;4L;4P,AllFiveDisagree
MG456336,4K,4K,4K,1344,4G,629,4G,5,,2,4G;4K,AllFiveDisagree
MG456365,4V,4V,4V,1330,4V,631,4L,5,,2,4L;4V,AllFiveDisagree
MG456370,4A,4A,4V,1333,4V,627,4A,5,,2,4A;4V,AllFiveDisagree
MG456394,4V,4V,4L,1327,4Q,619,4M,5,,4,4L;4M;4Q;4V,AllFiveDisagree
MG456405,1B,1B,1D,1340,1D,635,1B,5,,2,1B;1D,AllFiveDisagree
MG456447,2J,2J,2Q,1100,2Q,632,2J,5,,2,2J;2Q,AllFiveDisagree
PQ899568,"UNASSIGNED_1, 5A-1C",5A,5B,9481,5B,627,,4,GenBank,3,"5A;5B;UNASSIGNED_1, 5A-1C",AvailableCallsDisagree
PP092205,6W,2J,8A,9283,8A,630,,4,GenBank,3,2J;6W;8A,AvailableCallsDisagree
PP092206,6W,3A,8A,9233,8A,632,,4,GenBank,3,3A;6W;8A,AvailableCallsDisagree
PP092207,6W,1B,5A,6482,6XE,630,,4,GenBank,4,1B;5A;6W;6XE,AvailableCallsDisagree
PP092208,6W,4L,8A,3802,5A,629,,4,GenBank,4,4L;5A;6W;8A,AvailableCallsDisagree
MG878999,1B,1B,6XG,9090,6W,626,,4,GenBank,3,1B;6W;6XG,AvailableCallsDisagree
MG879000,6W,6W,6XH,9057,6XH,633,,4,GenBank,2,6W;6XH,AvailableCallsDisagree
MH477423,2A,2A,2U,5646,2U,632,,4,GenBank,2,2A;2U,AvailableCallsDisagree
MH492360,6N,6N,6XG,9318,6XG,636,6XG,5,,2,6N;6XG,AllFiveDisagree
MH492361,6N,6N,6XG,9318,6XG,636,6XG,5,,2,6N;6XG,AllFiveDisagree
MH492362,6N,6N,6XG,9318,6XG,636,6XG,5,,2,6N;6XG,AllFiveDisagree
MH562130,1B,1B,1B,280,1B,280,1A,5,,2,1A;1B,AllFiveDisagree
MH562131,1B,1B,1B,280,1B,280,1A,5,,2,1A;1B,AllFiveDisagree
MH562132,1B,1B,1B,280,1B,280,1A,5,,2,1A;1B,AllFiveDisagree
MH562133,1B,1B,1B,280,1B,280,1A,5,,2,1A;1B,AllFiveDisagree
MH562135,1B,1B,1B,280,1B,280,1A,5,,2,1A;1B,AllFiveDisagree
MH562136,1B,1B,1B,280,1B,280,1A,5,,2,1A;1B,AllFiveDisagree
