Accession,ClosestGenotype,ClosestGenotypePident,ClosestGenotypeAlignedNT,ClosestSubtype,ClosestSubtypePident,ClosestSubtypeAlignedNT,ReferenceOverlapAA,FullyCover
MW357797,1,79.756,410,1b,93.187,411,2111-2179,
MW357798,1,79.756,410,1b,93.187,411,2111-2179,
MW357799,1,78.293,410,1b,91.727,411,2111-2179,
MW357801,1,78.061,392,1b,91.071,392,2111-2179,
MW357802,1,78.049,410,1b,91.089,404,2111-2179,
MW357803,1,80.049,411,1b,91.707,410,2111-2179,
MW357804,1,78.832,411,1b,94.161,411,2111-2179,
MW357805,1,79.710,414,1b,93.431,411,2111-2179,
MW357806,1,78.049,410,1b,92.214,411,2111-2179,
MW357807,1,79.756,410,1b,93.674,411,2111-2179,
MW357808,1,78.293,410,1b,92.457,411,2111-2179,
MW357809,1,80.000,410,1b,93.917,411,2111-2179,
MW357810,1,78.986,414,1b,90.268,411,2111-2179,
MW357811,1,78.345,411,1b,93.187,411,2111-2179,
MW357812,1,78.676,408,1b,91.176,408,2111-2179,
MW357813,1,77.340,406,1b,92.840,405,2111-2179,
MW357814,1,79.319,411,1b,92.944,411,2111-2179,
MZ327730,3,93.619,9262,3a,92.183,9262,2111-2179,
MZ327731,1,91.981,9228,1a,91.959,9228,2111-2179,
MZ327732,1,94.367,9213,1a,94.302,9213,2111-2179,
MZ327733,1,91.605,9232,1a,91.389,9232,2111-2179,
MZ327734,1,92.979,9215,1a,92.675,9215,2111-2179,
MZ327735,3,93.577,7644,3a,92.089,7648,2111-2179,
MZ327736,1,91.549,9230,1a,91.769,9233,2111-2179,
MZ327737,1,93.317,9217,1a,93.067,9217,2111-2179,
MZ327738,3,94.188,9257,3a,92.376,9260,2111-2179,
MZ327739,1,93.281,9213,1a,92.923,9213,2111-2179,
MZ327740,1,92.838,9215,1a,92.447,9215,2111-2179,
MZ327741,1,91.627,9232,1a,91.518,9231,2111-2179,
MZ327742,1,92.024,9228,1a,91.797,9228,2111-2179,
MZ327744,1,91.959,9228,1a,91.634,9228,2111-2179,
MZ327745,3,92.903,9258,3a,92.539,9261,2111-2179,
MZ327746,1,91.515,9228,1a,91.114,9228,2111-2179,
MZ327747,1,95.246,9213,1a,95.162,9218,2111-2179,
MZ327748,3,93.594,9257,3a,92.883,9260,2111-2179,
MZ327749,1,93.402,9215,1a,93.196,9215,2111-2179,
MZ327750,3,93.811,9259,3a,92.432,9263,2111-2179,
MZ327751,1,93.086,9213,1a,92.749,9213,2111-2179,
MZ327752,4,80.377,9239,4d,94.922,9216,2111-2179,
MZ327753,1,79.160,9242,1b,90.942,9229,2111-2179,
MZ327754,3,93.994,9257,3a,92.333,9261,2111-2179,
MZ327755,2,76.899,9320,2b,91.527,9300,2111-2179,
MZ327756,3,93.034,9259,3a,92.429,9259,2111-2179,
MZ327757,3,92.925,9258,3a,92.213,9259,2111-2179,
MZ327758,1,91.981,9228,1a,91.688,9228,2111-2179,
MZ327759,3,93.077,9259,3a,92.584,9264,2111-2179,
MZ327760,1,93.816,9218,1a,93.480,9218,2111-2179,
MZ327761,1,93.934,9216,1a,93.771,9215,2111-2179,
MZ327762,1,91.349,9236,1a,91.175,9235,2111-2179,
MZ327763,1,92.716,5876,1a,92.495,5876,2111-2179,
MZ327764,3,93.118,9256,3a,92.353,9259,2111-2179,
MZ327765,1,91.791,9234,1a,91.700,9229,2111-2179,
MZ327766,1,92.683,9211,1a,92.400,9210,2111-2179,
MZ327767,1,94.128,9213,1a,93.922,9213,2111-2179,
MZ327768,1,91.785,9203,1a,91.882,9202,2111-2179,
MZ327769,1,79.226,9247,1b,90.603,9237,2111-2179,
MZ327770,1,93.403,9217,1a,93.045,9217,2111-2179,
MZ327771,1,91.495,9230,1a,91.334,9232,2111-2179,
MZ327772,3,92.752,9258,3a,92.203,9260,2111-2179,
MZ327773,3,93.468,9262,3a,92.191,9259,2111-2179,
MZ327774,1,78.467,9251,1b,91.032,9233,2111-2179,
MZ327775,1,78.959,9239,1b,90.853,9227,2111-2179,
MZ327776,1,93.413,9215,1a,93.250,9215,2111-2179,
MZ327777,1,91.334,9232,1a,91.205,9232,2111-2179,
MZ327778,1,94.530,9214,1a,94.346,9214,2111-2179,
MZ327779,3,92.460,9257,3a,91.773,9262,2111-2179,
MZ327780,3,92.762,9257,3a,92.041,9260,2111-2179,
MZ327781,3,93.745,9256,3a,92.084,9260,2111-2179,
MZ327782,1,94.267,9227,1a,94.188,9223,2111-2179,
MZ327783,3,92.418,9259,3a,91.946,9262,2111-2179,
MZ327784,2,77.054,9322,2b,92.107,9299,2111-2179,
MZ327785,1,94.323,9213,1a,94.367,9213,2111-2179,
MZ327786,3,93.258,9256,3a,92.613,9259,2111-2179,
MZ327787,1,95.789,9215,1a,95.323,9215,2111-2179,
MZ327788,1,92.273,9202,1a,92.091,9205,2111-2179,
MZ327789,3,92.382,9267,3a,91.766,9266,2111-2179,
MZ327790,1,91.927,9228,1a,91.645,9228,2111-2179,
MZ327791,1,79.254,9245,1b,90.184,9230,2111-2179,
MZ327792,1,93.359,9216,1a,93.348,9215,2111-2179,
MZ327793,1,93.701,6207,1a,93.862,6207,,
MZ327794,3,93.637,9257,3a,92.063,9261,2111-2179,
MZ327795,1,91.714,9232,1a,91.237,9232,2111-2179,
MZ327796,3,94.568,9260,3a,93.070,9264,2111-2179,
MZ327797,1,91.350,9237,1a,91.487,9233,2111-2179,
MZ327798,1,91.951,9231,1a,91.636,9230,2111-2179,
MZ327799,3,93.692,9258,3a,92.052,9260,2111-2179,
MZ327800,2,76.915,9322,2b,90.914,9300,2111-2179,
ON506742,1,90.418,741,1a,90.270,740,2111-2179,
ON506743,1,94.700,717,1a,94.979,717,2111-2179,
ON506744,1,93.234,739,1a,92.828,739,2111-2179,
ON506746,1,76.343,689,1b,91.761,704,2111-2179,
ON506748,1,91.655,719,1a,91.516,719,2111-2179,
ON506750,1,92.288,765,1a,92.157,765,2111-2179,
ON506751,3,90.517,696,3a,90.086,696,2111-2179,
ON506753,1,89.771,743,1a,89.367,743,2111-2179,
ON506755,1,75.867,663,1b,91.740,678,2111-2179,
ON506756,1,92.443,741,1a,92.173,741,2111-2179,
ON506757,4,89.262,745,4a,89.262,745,2111-2179,
ON506758,3,91.667,732,3a,89.495,733,2111-2179,
ON506759,4,88.889,756,4a,88.889,756,2111-2179,
ON506760,1,92.102,785,1a,91.847,785,2111-2179,
ON506761,1,92.740,730,1a,92.466,730,2111-2179,
ON506763,1,92.053,755,1a,91.523,755,2111-2179,
ON506764,1,74.633,749,1b,89.348,751,2111-2179,
ON506765,1,88.816,608,1a,88.816,608,2111-2179,
ON506766,1,93.146,642,1a,92.835,642,2111-2179,
ON506768,1,92.264,698,1a,91.834,698,2111-2179,
ON506769,1,90.099,707,1a,89.816,707,2111-2179,
ON506771,1,90.933,750,1a,90.800,750,2111-2179,
ON506772,1,90.793,782,1a,91.304,782,2111-2179,
ON506773,3,91.480,669,3a,90.327,672,2111-2179,
ON506774,1,76.299,789,1b,91.762,789,2111-2179,
ON506775,1,91.270,756,1a,91.138,756,2111-2179,
ON506776,1,91.822,807,1a,91.450,807,2111-2179,
ON506777,1,92.838,740,1a,92.703,740,2111-2179,
ON506778,4,88.626,633,4a,88.626,633,2111-2179,
ON506779,3,91.667,780,3a,91.154,780,2111-2179,
ON506780,1,76.667,750,1b,92.667,750,2111-2179,
ON506781,4,90.390,718,4a,90.390,718,2111-2179,
ON506782,3,90.771,791,3a,90.518,791,2111-2179,
ON506783,1,91.528,720,1a,91.250,720,2111-2179,
ON506784,3,93.020,788,3a,92.005,788,2111-2179,
ON506785,1,76.122,691,1b,91.304,690,2111-2179,
ON506786,1,91.069,627,1a,90.271,627,2111-2179,
ON506787,1,91.497,788,1a,91.244,788,2111-2179,
ON506788,1,91.875,800,1a,91.625,800,2111-2179,
ON506789,1,92.785,790,1a,92.532,790,2111-2179,
ON506790,3,90.933,772,3a,90.674,772,2111-2179,
ON506791,1,76.034,701,1b,92.418,699,2111-2179,
ON506794,3,91.282,780,3a,90.501,779,2111-2179,
ON506796,4,89.272,783,4a,89.272,783,2111-2179,
ON506797,1,94.670,788,1a,94.797,788,2111-2179,
ON506798,3,93.386,756,3a,92.989,756,2111-2179,
ON506799,4,80.289,761,4d,95.269,761,2111-2179,
ON506801,4,90.074,675,4a,90.074,675,2111-2179,
ON506802,1,76.115,762,1b,91.029,758,2111-2179,
ON506803,1,90.933,750,1a,91.467,750,2111-2179,
ON506804,1,91.957,746,1a,91.421,746,2111-2179,
ON506805,3,93.005,772,3a,91.839,772,2111-2179,
ON506806,1,76.040,793,1b,91.150,791,2111-2179,
ON506807,1,91.837,784,1a,92.219,784,2111-2179,
ON506809,1,91.899,753,1a,91.501,753,2111-2179,
ON506810,3,91.634,777,3a,91.248,777,2111-2179,
ON506811,1,91.834,796,1a,92.085,796,2111-2179,
ON506812,1,92.481,798,1a,91.980,798,2111-2179,
ON506813,3,91.990,799,3a,90.989,799,2111-2179,
ON506814,1,92.085,657,1a,91.324,657,2111-2179,
ON506815,3,92.259,788,3a,91.371,788,2111-2179,
ON506816,1,91.646,802,1a,91.022,802,2111-2179,
ON506817,4,79.851,804,4d,94.354,797,2111-2179,
ON506818,4,88.384,792,4a,88.384,792,2111-2179,
ON506819,4,80.195,717,4d,95.816,717,2111-2179,
ON506820,1,95.778,758,1a,95.515,758,2111-2179,
ON506821,1,91.215,683,1a,90.922,683,2111-2179,
ON506822,3,93.801,742,3a,92.857,742,2111-2179,
ON506823,1,93.076,751,1a,92.676,751,2111-2179,
ON506824,1,91.625,800,1a,91.625,800,2111-2179,
ON506825,3,91.294,804,3a,90.796,804,2111-2179,
ON314813,2,79.889,9174,2k,81.962,9175,2111-2179,
ON314814,2,78.814,9176,2q,82.015,9152,2111-2179,
ON314815,2,79.536,9187,2q,82.545,9172,2111-2179,
ON314816,2,79.177,9182,2d,80.887,9172,2111-2179,
ON314818,2,79.939,9182,2k,83.279,9174,2111-2179,
ON314819,2,79.926,9186,2q,83.659,9155,2111-2179,
ON314820,2,80.205,9184,2q,81.491,9174,2111-2179,
ON314822,2,80.233,5327,2q,83.324,5325,2111-2179,
ON314823,2,79.685,9382,2q,80.859,9357,2111-2179,
ON314824,2,79.432,9398,2q,83.678,9386,2111-2179,
ON314826,2,79.718,9422,2c,80.610,9443,2111-2179,
ON314827,2,79.820,9440,2q,83.222,9411,2111-2179,
ON314828,2,80.108,9471,2q,83.362,9460,2111-2179,
ON123736,1,76.465,1075,1b,90.455,1121,2112-2179,
PQ365497,1,92.557,9203,1a,92.258,9197,2111-2179,
PQ365498,3,92.494,7860,3a,91.389,7862,2111-2179,
PQ365499,1,93.027,9394,1a,92.612,9394,2111-2179,
PQ365502,3,93.294,9410,3a,91.938,9414,2111-2179,
PQ365503,1,92.477,9225,1a,92.226,9197,2111-2179,
PQ365505,3,78.154,9439,3b,88.745,9418,2111-2179,
PQ365506,3,92.377,9419,3a,90.914,9421,2111-2179,
PQ365507,1,92.279,9222,1a,91.932,9197,2111-2179,
PQ365508,3,92.959,9374,3a,91.460,9379,2111-2179,
PQ365509,3,93.000,9386,3a,91.981,9390,2111-2179,
PQ365510,1,79.269,3420,1b,88.706,3825,2111-2179,
PQ365511,3,93.362,9386,3a,92.120,9391,2111-2179,
PQ365512,3,92.908,9433,3a,91.608,9438,2111-2179,
PQ365513,3,79.645,7320,3d,82.780,7317,2111-2179,
PQ365514,3,92.677,9409,3a,91.246,9413,2111-2179,
PQ365516,1,91.469,9202,1a,91.291,9197,2111-2179,
PQ365518,3,92.201,9412,3a,90.686,9416,2111-2179,
PQ365519,3,93.431,9423,3a,91.588,9427,2111-2179,
PQ365520,3,92.812,9363,3a,92.089,9367,2111-2179,
PQ365521,3,92.936,9386,3a,91.790,9391,2111-2179,
PQ365522,3,93.299,9417,3a,91.890,9420,2111-2179,
PQ365523,3,92.567,9391,3a,91.021,9389,2111-2179,
PQ365526,3,92.839,9412,3a,91.507,9420,2111-2179,
PQ365527,1,92.848,9340,1a,92.441,9340,2111-2179,
PQ365528,3,92.122,7845,3a,90.939,7847,2111-2179,
PQ365529,3,93.050,9381,3a,91.922,9383,2111-2179,
PQ365530,3,93.082,9396,3a,91.436,9400,2111-2179,
PQ365531,3,92.861,9413,3a,91.823,9417,2111-2179,
PQ365532,3,93.044,9431,3a,91.966,9435,2111-2179,
PQ365533,1,92.796,9384,1a,92.402,9384,2111-2179,
PQ365535,3,93.087,9373,3a,91.809,9376,2111-2179,
PQ365536,3,93.276,9414,3a,91.859,9421,2111-2179,
PQ365537,3,93.168,7860,3a,92.050,7862,2111-2179,
PQ365538,3,93.260,9407,3a,91.777,9413,2111-2179,
PQ365539,3,83.237,1903,3g,92.170,1903,,
PQ365540,3,92.362,9256,3a,90.940,9260,2111-2179,
MT633133,7,67.415,1025,7b,75.187,1338,2111-2179,
MT863939,3,94.306,281,3a,92.527,281,2111-2179,
MT863941,3,94.306,281,3a,92.527,281,2111-2179,
MT863943,1,92.857,280,1a,92.143,280,2111-2179,
MT863945,1,95.374,281,1a,94.662,281,2111-2179,
MT863947,1,95.374,281,1a,94.662,281,2111-2179,
MT863949,1,95.374,281,1a,94.662,281,2111-2179,
MT863951,4,78.058,278,4d,93.594,281,2111-2170,
MT863953,4,79.496,278,4d,94.245,278,2111-2170,
MT863955,1,92.883,281,1a,91.459,281,2111-2179,
MT863957,4,78.388,273,4d,95.374,281,2111-2170,
MT863959,1,95.374,281,1a,94.662,281,2111-2179,
MT863961,3,93.594,281,3a,94.306,281,2111-2179,
MT863963,3,95.018,281,3a,94.306,281,2111-2179,
MT863965,4,78.777,278,4d,96.441,281,2111-2170,
MT863967,1,95.018,281,1a,93.594,281,2111-2179,
MT863969,4,78.417,278,4d,94.662,281,2111-2170,
MT863971,3,95.374,281,3a,93.594,281,2111-2179,
MT863973,1,94.662,281,1a,93.950,281,2111-2179,
MT863975,4,79.137,278,4d,96.085,281,2111-2170,
MT863977,1,94.624,279,1a,93.907,279,2111-2179,
MT863979,1,94.265,279,1a,93.907,279,2111-2179,
MT863981,1,96.085,281,1a,95.374,281,2111-2179,
MT863983,3,93.238,281,3a,90.747,281,2111-2179,
MT863985,3,94.306,281,3a,92.883,281,2111-2179,
MT863987,4,78.909,275,4d,93.950,281,2111-2169,
MT863989,1,94.306,281,1a,93.594,281,2111-2179,
MT863991,1,92.883,281,1a,92.171,281,2111-2179,
MT863993,1,89.606,279,1a,88.889,279,2111-2179,
MT863995,3,93.863,277,3a,91.697,277,2111-2179,
MT863997,3,95.374,281,3a,93.594,281,2111-2179,
MT863999,3,93.594,281,3a,91.459,281,2111-2179,
MT864001,3,93.238,281,3a,90.747,281,2111-2179,
MT864003,1,91.398,279,1a,91.039,279,2111-2179,
MT864005,3,92.171,281,3a,90.391,281,2111-2179,
MT893907,4,79.412,408,4r,93.381,423,2111-2179,
MT893908,4,84.689,418,4c,89.835,423,2111-2179,
MT893909,4,84.450,418,4c,89.598,423,2111-2179,
MT893910,4,78.302,424,4k,92.593,432,2111-2179,
MT893911,4,78.450,413,4r,93.333,420,2111-2179,
MT893912,4,85.784,408,4c,91.962,423,2111-2179,
MT893913,4,80.348,402,4r,91.847,417,2111-2179,
MT893914,4,78.155,412,4r,89.448,417,2111-2179,
MW041294,2,80.131,9432,2c,81.442,9430,2111-2179,
MW041295,2,79.458,9410,2v,100.000,9403,2111-2179,
MW041296,2,80.274,9414,2c,81.379,9414,2111-2179,
MW041297,2,80.141,9472,2v,90.703,9390,2111-2179,
MW041298,2,79.737,9426,2v,91.612,9359,2111-2179,
MW041299,2,80.173,9477,2v,89.883,9390,2111-2179,
ON630763,1,90.882,9158,1a,90.642,9158,2111-2179,
ON630764,1,91.743,9156,1a,91.557,9156,2111-2179,
ON630765,1,91.363,9158,1a,91.068,9158,2111-2179,
ON630766,1,94.649,9158,1a,94.245,9158,2111-2179,
ON630767,1,94.322,9158,1a,93.776,9158,2111-2179,
ON630768,1,94.113,9156,1a,93.665,9156,2111-2179,
ON630769,1,93.656,9158,1a,93.515,9159,2111-2179,
ON630770,1,94.922,9158,1a,94.366,9158,2111-2179,
ON630771,1,93.852,9158,1a,93.405,9158,2111-2179,
ON630772,1,93.481,9158,1a,93.154,9158,2111-2179,
ON630773,1,91.188,9158,1a,91.278,9161,2111-2179,
ON630774,1,91.843,9158,1a,91.647,9158,2111-2179,
ON630775,1,94.660,9158,1a,94.202,9158,2111-2179,
ON630776,1,94.999,9158,1a,94.573,9158,2111-2179,
ON630777,1,91.194,9164,1a,91.157,9160,2111-2179,
ON630778,1,94.573,9158,1a,94.224,9158,2111-2179,
ON630779,1,94.486,9158,1a,94.169,9158,2111-2179,
ON630780,1,94.626,9156,1a,94.190,9156,2111-2179,
ON630781,1,93.612,9158,1a,93.361,9158,2111-2179,
ON630782,1,93.699,9158,1a,93.306,9158,2111-2179,
ON630783,1,91.690,9158,1a,91.548,9158,2111-2179,
ON630784,1,94.475,9158,1a,94.060,9158,2111-2179,
ON630785,1,94.868,9158,1a,94.453,9158,2111-2179,
ON630786,1,91.516,9158,1a,91.286,9158,2111-2179,
ON630787,1,94.377,9158,1a,94.071,9158,2111-2179,
ON630788,1,94.726,9158,1a,94.191,9158,2111-2179,
ON630789,1,91.898,9158,1a,91.810,9158,2111-2179,
ON630790,1,91.821,9158,1a,91.647,9158,2111-2179,
ON630791,1,91.789,9158,1a,91.603,9158,2111-2179,
ON630792,1,93.547,9158,1a,93.416,9158,2111-2179,
ON630793,1,91.679,9158,1a,91.584,9161,2111-2179,
ON630794,1,93.645,9158,1a,93.274,9158,2111-2179,
ON630795,1,94.355,9158,1a,93.929,9158,2111-2179,
ON630796,1,91.002,9158,1a,91.002,9158,2111-2179,
ON630797,1,91.243,9158,1a,91.013,9158,2111-2179,
ON630798,1,91.494,9158,1a,91.203,9162,2111-2179,
ON630799,1,91.451,9159,1a,91.155,9158,2111-2179,
ON630800,1,91.133,9158,1a,91.106,9163,2111-2179,
ON630801,1,92.706,9158,1a,92.597,9158,2111-2179,
ON630802,1,91.002,9158,1a,91.057,9158,2111-2179,
ON630803,1,91.473,9159,1a,91.178,9159,2111-2179,
ON630804,1,94.813,9158,1a,94.387,9158,2111-2179,
ON630805,1,91.419,9160,1a,91.218,9166,2111-2179,
ON630806,1,94.060,9158,1a,94.016,9158,2111-2179,
ON630807,1,91.461,9158,1a,91.123,9158,2111-2179,
ON630808,1,93.831,9158,1a,93.416,9158,2111-2179,
ON630809,1,93.951,9158,1a,93.907,9158,2111-2179,
ON630810,1,94.759,9158,1a,94.289,9158,2111-2179,
ON630811,1,91.223,9160,1a,91.049,9161,2111-2179,
ON630812,1,91.275,9158,1a,91.079,9158,2111-2179,
ON630813,1,91.592,9158,1a,91.406,9158,2111-2179,
ON630814,1,91.581,9158,1a,91.484,9159,2111-2179,
ON630815,1,91.581,9158,1a,91.439,9158,2111-2179,
ON630816,1,95.392,9158,1a,94.966,9158,2111-2179,
ON630817,1,91.701,9158,1a,91.581,9158,2111-2179,
ON630818,1,91.461,9158,1a,91.123,9158,2111-2179,
ON630819,1,91.527,9158,1a,91.396,9158,2111-2179,
ON630820,1,94.595,9158,1a,94.125,9158,2111-2179,
ON630821,1,91.024,9158,1a,90.860,9158,2111-2179,
ON630822,1,94.791,9158,1a,94.344,9158,2111-2179,
ON630823,1,91.462,9159,1a,91.145,9159,2111-2179,
ON630824,1,92.957,9158,1a,92.608,9158,2111-2179,
ON630825,1,94.770,9158,1a,94.344,9158,2111-2179,
ON630826,1,94.540,9158,1a,94.114,9158,2111-2179,
ON630827,1,91.355,9161,1a,91.083,9162,2111-2179,
ON630828,1,91.112,9158,1a,91.035,9158,2111-2179,
ON630829,1,91.189,9159,1a,91.080,9159,2111-2179,
ON630830,1,95.075,9158,1a,94.606,9158,2111-2179,
ON630831,1,91.177,9158,1a,91.068,9158,2111-2179,
ON630832,1,95.097,9158,1a,94.628,9158,2111-2179,
ON630833,1,93.613,9159,1a,93.459,9158,2111-2179,
ON630834,1,94.781,9158,1a,94.333,9158,2111-2179,
ON630835,1,93.580,9159,1a,93.416,9158,2111-2179,
ON630836,1,94.377,9158,1a,93.940,9158,2111-2179,
ON630837,1,94.693,9158,1a,94.289,9158,2111-2179,
ON630838,1,94.857,9158,1a,94.453,9158,2111-2179,
ON630839,1,93.678,9158,1a,93.448,9158,2111-2179,
ON630840,1,93.328,9158,1a,93.044,9158,2111-2179,
ON630841,1,94.693,9158,1a,94.213,9158,2111-2179,
ON630842,1,94.573,9158,1a,94.071,9158,2111-2179,
ON630843,1,94.770,9158,1a,94.366,9158,2111-2179,
ON630844,1,93.743,9158,1a,93.536,9158,2111-2179,
ON630845,1,94.442,9158,1a,94.049,9158,2111-2179,
ON630846,1,94.497,9158,1a,94.060,9158,2111-2179,
ON630847,1,94.344,9158,1a,94.016,9158,2111-2179,
ON630848,1,94.224,9158,1a,93.983,9158,2111-2179,
ON630849,1,94.813,9158,1a,94.311,9158,2111-2179,
ON630850,1,91.428,9158,1a,91.221,9158,2111-2179,
ON630851,1,94.301,9159,1a,93.994,9158,2111-2179,
ON630852,1,94.890,9158,1a,94.409,9158,2111-2179,
ON630853,1,94.235,9158,1a,93.994,9158,2111-2179,
ON630854,1,93.931,9161,1a,93.503,9158,2111-2179,
ON630855,1,91.341,9158,1a,91.352,9158,2111-2179,
ON630856,1,91.057,9158,1a,90.697,9158,2111-2179,
ON630857,1,90.904,9158,1a,90.610,9159,2111-2179,
ON630858,1,92.062,9158,1a,91.974,9158,2111-2179,
ON630859,1,90.882,9158,1a,90.821,9162,2111-2179,
ON630860,1,93.787,9158,1a,93.481,9158,2111-2179,
ON630861,1,94.628,9158,1a,94.202,9158,2111-2179,
ON630862,1,91.559,9158,1a,91.319,9158,2111-2179,
ON630863,1,94.529,9158,1a,94.366,9158,2111-2179,
ON630864,1,94.715,9158,1a,94.289,9158,2111-2179,
ON630865,1,92.597,9158,1a,92.411,9158,2111-2179,
ON630866,1,91.723,9158,1a,91.450,9158,2111-2179,
ON630867,1,94.486,9158,1a,93.994,9158,2111-2179,
ON630868,1,94.912,9158,1a,94.802,9158,2111-2179,
ON630869,1,92.673,9158,1a,92.509,9158,2111-2179,
ON630870,4,80.072,9163,4d,94.051,9144,2111-2179,
ON630871,4,79.943,9159,4d,93.930,9144,2111-2179,
ON630872,4,79.884,9172,4d,93.952,9143,2111-2179,
ON630873,4,79.941,9163,4d,93.984,9143,2111-2179,
ON630874,4,80.061,9163,4d,93.799,9143,2111-2179,
ON630875,4,80.120,9165,4d,93.764,9141,2111-2179,
ON630876,4,79.983,9162,4d,93.701,9144,2111-2179,
ON630877,4,79.926,9161,4d,93.732,9141,2111-2179,
ON630878,4,79.969,9161,4d,93.677,9141,2111-2179,
ON630879,4,80.039,9163,4d,94.301,9142,2111-2179,
ON630880,4,80.138,9163,4d,94.246,9142,2111-2179,
ON630881,4,80.085,9159,4d,94.104,9142,2111-2179,
ON630882,4,80.310,9162,4d,94.203,9142,2111-2179,
ON630883,4,80.094,9168,4d,94.257,9141,2111-2179,
ON630884,4,79.967,9165,4d,94.192,9142,2111-2179,
ON630885,4,80.162,9164,4d,93.786,9141,2111-2179,
ON630886,4,80.089,9166,4d,93.973,9142,2111-2179,
ON630887,4,80.022,9165,4d,93.983,9141,2111-2179,
ON630888,4,80.120,9160,4d,93.941,9143,2111-2179,
ON630889,4,80.155,9161,4d,93.930,9143,2111-2179,
ON630890,4,80.009,9164,4d,93.983,9141,2111-2179,
ON630891,4,79.871,9161,4d,93.830,9141,2111-2179,
ON630892,4,79.980,9171,4d,94.071,9141,2111-2179,
ON630893,4,80.041,9164,4d,93.809,9142,2111-2179,
ON630894,4,80.037,9167,4d,93.994,9141,2111-2179,
ON630895,4,80.068,9166,4d,94.531,9142,2111-2179,
ON630896,4,79.900,9169,4d,93.733,9143,2111-2179,
ON630897,4,80.162,9164,4d,93.983,9141,2111-2179,
ON630898,4,80.037,9162,4d,93.688,9141,2111-2179,
ON630899,4,79.862,9162,4d,93.786,9141,2111-2179,
ON630900,4,78.953,7716,4d,93.865,7694,2111-2179,
MW675788,1,96.081,9033,1a,95.638,9033,2111-2179,
MW675790,1,91.389,9000,1a,91.289,9000,2111-2179,
MW675792,1,93.535,9033,1a,93.147,9033,2111-2179,
MW675793,1,91.611,9000,1a,91.367,9000,2111-2179,
MW675797,4,79.677,9039,4d,94.078,9017,2111-2179,
MN628574,3,93.701,9414,3a,92.237,9417,2111-2179,
MN628575,3,92.927,9416,3a,91.593,9421,2111-2179,
