Accession,ClosestGenotype,ClosestGenotypePident,ClosestGenotypeAlignedNT,ClosestSubtype,ClosestSubtypePident,ClosestSubtypeAlignedNT,ReferenceOverlapAA,FullyCover
MZ327793,1,93.701,6207,1a,93.862,6207,1175-1315,
MZ327794,3,93.637,9257,3a,92.063,9261,1175-1315,
MZ327795,1,91.714,9232,1a,91.237,9232,1175-1315,
MZ327796,3,94.568,9260,3a,93.070,9264,1175-1315,
MZ327797,1,91.350,9237,1a,91.487,9233,1175-1315,
MZ327798,1,91.951,9231,1a,91.636,9230,1175-1315,
MZ327799,3,93.692,9258,3a,92.052,9260,1175-1315,
MZ327800,2,76.915,9322,2b,90.914,9300,1175-1315,
ON314812,2,78.055,6407,2q,81.229,6393,1175-1315,
ON314815,2,79.536,9187,2q,82.545,9172,1175-1315,
ON314818,2,79.939,9182,2k,83.279,9174,1175-1315,
ON314824,2,79.432,9398,2q,83.678,9386,1175-1315,
ON314827,2,79.820,9440,2q,83.222,9411,1175-1315,
ON314828,2,80.108,9471,2q,83.362,9460,1175-1315,
PQ365497,1,92.557,9203,1a,92.258,9197,1175-1315,
PQ365498,3,92.494,7860,3a,91.389,7862,1175-1315,
PQ365499,1,93.027,9394,1a,92.612,9394,1175-1315,
PQ365500,1,93.336,9394,1a,92.932,9394,1175-1315,
PQ365501,3,92.855,9419,3a,91.361,9422,1175-1315,
PQ365502,3,93.294,9410,3a,91.938,9414,1175-1315,
PQ365503,1,92.477,9225,1a,92.226,9197,1175-1315,
PQ365505,3,78.154,9439,3b,88.745,9418,1175-1315,
PQ365507,1,92.279,9222,1a,91.932,9197,1175-1315,
PQ365508,3,92.959,9374,3a,91.460,9379,1175-1315,
PQ365509,3,93.000,9386,3a,91.981,9390,1175-1315,
PQ365510,1,79.269,3420,1b,88.706,3825,,
PQ365512,3,92.908,9433,3a,91.608,9438,1175-1315,
PQ365513,3,79.645,7320,3d,82.780,7317,1175-1315,
PQ365514,3,92.677,9409,3a,91.246,9413,1175-1315,
PQ365515,3,92.599,9404,3a,91.190,9410,1175-1315,
PQ365517,3,90.562,9419,3a,89.382,9427,1175-1315,
PQ365519,3,93.431,9423,3a,91.588,9427,1175-1315,
PQ365520,3,92.812,9363,3a,92.089,9367,1175-1315,
PQ365521,3,92.936,9386,3a,91.790,9391,1175-1315,
PQ365522,3,93.299,9417,3a,91.890,9420,1175-1315,
PQ365523,3,92.567,9391,3a,91.021,9389,1175-1315,
PQ365524,3,78.831,7870,3e,89.309,7857,1175-1315,
PQ365525,3,91.766,9376,3a,90.512,9380,1175-1315,
PQ365526,3,92.839,9412,3a,91.507,9420,1175-1315,
PQ365527,1,92.848,9340,1a,92.441,9340,1175-1315,
PQ365528,3,92.122,7845,3a,90.939,7847,1175-1315,
PQ365529,3,93.050,9381,3a,91.922,9383,1175-1315,
PQ365530,3,93.082,9396,3a,91.436,9400,1175-1315,
PQ365531,3,92.861,9413,3a,91.823,9417,1175-1315,
PQ365532,3,93.044,9431,3a,91.966,9435,1175-1315,
PQ365534,3,92.509,9385,3a,91.318,9387,1175-1315,
PQ365535,3,93.087,9373,3a,91.809,9376,1175-1315,
PQ365536,3,93.276,9414,3a,91.859,9421,1175-1315,
PQ365537,3,93.168,7860,3a,92.050,7862,1175-1315,
PQ365538,3,93.260,9407,3a,91.777,9413,1175-1315,
PQ365540,3,92.362,9256,3a,90.940,9260,1175-1315,
MT633132,7,71.325,1510,7b,79.934,1510,1175-1315,
MT893900,4,80.276,507,4c,91.321,507,1175-1300,
MT893901,4,80.620,516,4c,91.473,516,1175-1300,
MT893902,4,78.261,506,4k,92.520,508,1175-1299,
MT893904,4,83.613,537,4c,91.993,537,1175-1300,
MT893905,4,77.935,494,4r,92.063,504,1175-1298,
MT893906,4,77.935,494,4r,91.519,507,1175-1298,
MW041294,2,80.131,9432,2c,81.442,9430,1175-1315,
MW041295,2,79.458,9410,2v,100.000,9403,1175-1315,
MW041296,2,80.274,9414,2c,81.379,9414,1175-1315,
MW041297,2,80.141,9472,2v,90.703,9390,1175-1315,
MW041298,2,79.737,9426,2v,91.612,9359,1175-1315,
MW041299,2,80.173,9477,2v,89.883,9390,1175-1315,
ON630763,1,90.882,9158,1a,90.642,9158,1175-1315,
ON630764,1,91.743,9156,1a,91.557,9156,1175-1315,
ON630765,1,91.363,9158,1a,91.068,9158,1175-1315,
ON630766,1,94.649,9158,1a,94.245,9158,1175-1315,
ON630767,1,94.322,9158,1a,93.776,9158,1175-1315,
ON630768,1,94.113,9156,1a,93.665,9156,1175-1315,
ON630769,1,93.656,9158,1a,93.515,9159,1175-1315,
ON630770,1,94.922,9158,1a,94.366,9158,1175-1315,
ON630771,1,93.852,9158,1a,93.405,9158,1175-1315,
ON630772,1,93.481,9158,1a,93.154,9158,1175-1315,
ON630773,1,91.188,9158,1a,91.278,9161,1175-1315,
ON630774,1,91.843,9158,1a,91.647,9158,1175-1315,
ON630775,1,94.660,9158,1a,94.202,9158,1175-1315,
ON630776,1,94.999,9158,1a,94.573,9158,1175-1315,
ON630777,1,91.194,9164,1a,91.157,9160,1175-1315,
ON630778,1,94.573,9158,1a,94.224,9158,1175-1315,
ON630779,1,94.486,9158,1a,94.169,9158,1175-1315,
ON630780,1,94.626,9156,1a,94.190,9156,1175-1315,
ON630781,1,93.612,9158,1a,93.361,9158,1175-1315,
ON630782,1,93.699,9158,1a,93.306,9158,1175-1315,
ON630783,1,91.690,9158,1a,91.548,9158,1175-1315,
ON630784,1,94.475,9158,1a,94.060,9158,1175-1315,
ON630785,1,94.868,9158,1a,94.453,9158,1175-1315,
ON630786,1,91.516,9158,1a,91.286,9158,1175-1315,
ON630787,1,94.377,9158,1a,94.071,9158,1175-1315,
ON630788,1,94.726,9158,1a,94.191,9158,1175-1315,
ON630789,1,91.898,9158,1a,91.810,9158,1175-1315,
ON630790,1,91.821,9158,1a,91.647,9158,1175-1315,
ON630791,1,91.789,9158,1a,91.603,9158,1175-1315,
ON630792,1,93.547,9158,1a,93.416,9158,1175-1315,
ON630793,1,91.679,9158,1a,91.584,9161,1175-1315,
ON630794,1,93.645,9158,1a,93.274,9158,1175-1315,
ON630795,1,94.355,9158,1a,93.929,9158,1175-1315,
ON630796,1,91.002,9158,1a,91.002,9158,1175-1315,
ON630797,1,91.243,9158,1a,91.013,9158,1175-1315,
ON630798,1,91.494,9158,1a,91.203,9162,1175-1315,
ON630799,1,91.451,9159,1a,91.155,9158,1175-1315,
ON630800,1,91.133,9158,1a,91.106,9163,1175-1315,
ON630801,1,92.706,9158,1a,92.597,9158,1175-1315,
ON630802,1,91.002,9158,1a,91.057,9158,1175-1315,
ON630803,1,91.473,9159,1a,91.178,9159,1175-1315,
ON630804,1,94.813,9158,1a,94.387,9158,1175-1315,
ON630805,1,91.419,9160,1a,91.218,9166,1175-1315,
ON630806,1,94.060,9158,1a,94.016,9158,1175-1315,
ON630807,1,91.461,9158,1a,91.123,9158,1175-1315,
ON630808,1,93.831,9158,1a,93.416,9158,1175-1315,
ON630809,1,93.951,9158,1a,93.907,9158,1175-1315,
ON630810,1,94.759,9158,1a,94.289,9158,1175-1315,
ON630811,1,91.223,9160,1a,91.049,9161,1175-1315,
ON630812,1,91.275,9158,1a,91.079,9158,1175-1315,
ON630813,1,91.592,9158,1a,91.406,9158,1175-1315,
ON630814,1,91.581,9158,1a,91.484,9159,1175-1315,
ON630815,1,91.581,9158,1a,91.439,9158,1175-1315,
ON630816,1,95.392,9158,1a,94.966,9158,1175-1315,
ON630817,1,91.701,9158,1a,91.581,9158,1175-1315,
ON630818,1,91.461,9158,1a,91.123,9158,1175-1315,
ON630819,1,91.527,9158,1a,91.396,9158,1175-1315,
ON630820,1,94.595,9158,1a,94.125,9158,1175-1315,
ON630821,1,91.024,9158,1a,90.860,9158,1175-1315,
ON630822,1,94.791,9158,1a,94.344,9158,1175-1315,
ON630823,1,91.462,9159,1a,91.145,9159,1175-1315,
ON630824,1,92.957,9158,1a,92.608,9158,1175-1315,
ON630825,1,94.770,9158,1a,94.344,9158,1175-1315,
ON630826,1,94.540,9158,1a,94.114,9158,1175-1315,
ON630827,1,91.355,9161,1a,91.083,9162,1175-1315,
ON630828,1,91.112,9158,1a,91.035,9158,1175-1315,
ON630829,1,91.189,9159,1a,91.080,9159,1175-1315,
ON630830,1,95.075,9158,1a,94.606,9158,1175-1315,
ON630831,1,91.177,9158,1a,91.068,9158,1175-1315,
ON630832,1,95.097,9158,1a,94.628,9158,1175-1315,
ON630833,1,93.613,9159,1a,93.459,9158,1175-1315,
ON630834,1,94.781,9158,1a,94.333,9158,1175-1315,
ON630835,1,93.580,9159,1a,93.416,9158,1175-1315,
ON630836,1,94.377,9158,1a,93.940,9158,1175-1315,
ON630837,1,94.693,9158,1a,94.289,9158,1175-1315,
ON630838,1,94.857,9158,1a,94.453,9158,1175-1315,
ON630839,1,93.678,9158,1a,93.448,9158,1175-1315,
ON630840,1,93.328,9158,1a,93.044,9158,1175-1315,
ON630841,1,94.693,9158,1a,94.213,9158,1175-1315,
ON630842,1,94.573,9158,1a,94.071,9158,1175-1315,
ON630843,1,94.770,9158,1a,94.366,9158,1175-1315,
ON630844,1,93.743,9158,1a,93.536,9158,1175-1315,
ON630845,1,94.442,9158,1a,94.049,9158,1175-1315,
ON630846,1,94.497,9158,1a,94.060,9158,1175-1315,
ON630847,1,94.344,9158,1a,94.016,9158,1175-1315,
ON630848,1,94.224,9158,1a,93.983,9158,1175-1315,
ON630849,1,94.813,9158,1a,94.311,9158,1175-1315,
ON630850,1,91.428,9158,1a,91.221,9158,1175-1315,
ON630851,1,94.301,9159,1a,93.994,9158,1175-1315,
ON630852,1,94.890,9158,1a,94.409,9158,1175-1315,
ON630853,1,94.235,9158,1a,93.994,9158,1175-1315,
ON630854,1,93.931,9161,1a,93.503,9158,1175-1315,
ON630855,1,91.341,9158,1a,91.352,9158,1175-1315,
ON630856,1,91.057,9158,1a,90.697,9158,1175-1315,
ON630857,1,90.904,9158,1a,90.610,9159,1175-1315,
ON630858,1,92.062,9158,1a,91.974,9158,1175-1315,
ON630859,1,90.882,9158,1a,90.821,9162,1175-1315,
ON630860,1,93.787,9158,1a,93.481,9158,1175-1315,
ON630861,1,94.628,9158,1a,94.202,9158,1175-1315,
ON630862,1,91.559,9158,1a,91.319,9158,1175-1315,
ON630863,1,94.529,9158,1a,94.366,9158,1175-1315,
ON630864,1,94.715,9158,1a,94.289,9158,1175-1315,
ON630865,1,92.597,9158,1a,92.411,9158,1175-1315,
ON630866,1,91.723,9158,1a,91.450,9158,1175-1315,
ON630867,1,94.486,9158,1a,93.994,9158,1175-1315,
ON630868,1,94.912,9158,1a,94.802,9158,1175-1315,
ON630869,1,92.673,9158,1a,92.509,9158,1175-1315,
ON630870,4,80.072,9163,4d,94.051,9144,1175-1315,
ON630871,4,79.943,9159,4d,93.930,9144,1175-1315,
ON630872,4,79.884,9172,4d,93.952,9143,1175-1315,
ON630873,4,79.941,9163,4d,93.984,9143,1175-1315,
ON630874,4,80.061,9163,4d,93.799,9143,1175-1315,
ON630875,4,80.120,9165,4d,93.764,9141,1175-1315,
ON630876,4,79.983,9162,4d,93.701,9144,1175-1315,
ON630877,4,79.926,9161,4d,93.732,9141,1175-1315,
ON630878,4,79.969,9161,4d,93.677,9141,1175-1315,
ON630879,4,80.039,9163,4d,94.301,9142,1175-1315,
ON630880,4,80.138,9163,4d,94.246,9142,1175-1315,
ON630881,4,80.085,9159,4d,94.104,9142,1175-1315,
ON630882,4,80.310,9162,4d,94.203,9142,1175-1315,
ON630883,4,80.094,9168,4d,94.257,9141,1175-1315,
ON630884,4,79.967,9165,4d,94.192,9142,1175-1315,
ON630885,4,80.162,9164,4d,93.786,9141,1175-1315,
ON630886,4,80.089,9166,4d,93.973,9142,1175-1315,
ON630887,4,80.022,9165,4d,93.983,9141,1175-1315,
ON630888,4,80.120,9160,4d,93.941,9143,1175-1315,
ON630889,4,80.155,9161,4d,93.930,9143,1175-1315,
ON630890,4,80.009,9164,4d,93.983,9141,1175-1315,
ON630891,4,79.871,9161,4d,93.830,9141,1175-1315,
ON630892,4,79.980,9171,4d,94.071,9141,1175-1315,
ON630893,4,80.041,9164,4d,93.809,9142,1175-1315,
ON630894,4,80.037,9167,4d,93.994,9141,1175-1315,
ON630895,4,80.068,9166,4d,94.531,9142,1175-1315,
ON630896,4,79.900,9169,4d,93.733,9143,1175-1315,
ON630897,4,80.162,9164,4d,93.983,9141,1175-1315,
ON630898,4,80.037,9162,4d,93.688,9141,1175-1315,
ON630899,4,79.862,9162,4d,93.786,9141,1175-1315,
ON630900,4,78.953,7716,4d,93.865,7694,1175-1315,
ON603922,3,89.319,543,3a,89.871,543,1175-1315,
ON603923,3,89.319,543,3a,89.871,543,1175-1315,
ON603924,3,91.529,543,3a,91.713,543,1175-1315,
ON603925,3,90.424,543,3a,90.424,543,1175-1315,
ON603926,3,93.161,541,3a,92.222,540,1175-1315,
ON603927,3,95.028,543,3a,91.160,543,1175-1315,
ON603928,3,93.186,543,3a,91.713,543,1175-1315,
ON603929,3,93.370,543,3a,92.265,543,1175-1315,
ON603930,3,94.107,543,3a,92.081,543,1175-1315,
ON603931,3,92.081,543,3a,90.239,543,1175-1315,
ON603932,3,94.107,543,3a,94.475,543,1175-1315,
ON603933,3,92.989,542,3a,92.620,542,1175-1315,
ON603934,3,91.160,543,3a,90.608,543,1175-1315,
ON603935,3,92.634,543,3a,91.344,543,1175-1315,
ON603936,3,92.265,543,3a,92.081,543,1175-1315,
ON603937,3,93.002,543,3a,90.976,543,1175-1315,
ON603938,3,92.818,543,3a,92.081,543,1175-1315,
ON603939,3,94.843,543,3a,91.529,543,1175-1315,
ON603940,3,90.792,543,3a,90.424,543,1175-1315,
MN628574,3,93.701,9414,3a,92.237,9417,1175-1315,
MN628575,3,92.927,9416,3a,91.593,9421,1175-1315,
MN628576,3,93.122,9407,3a,91.733,9411,1175-1315,
MN628577,3,92.884,9416,3a,91.668,9421,1175-1315,
MN628578,3,92.651,9416,3a,91.421,9418,1175-1315,
MN628579,3,93.202,9444,3a,91.828,9447,1175-1315,
MN628580,1,92.147,9398,1a,91.846,9394,1175-1315,
MN628581,3,93.066,9418,3a,91.769,9416,1175-1315,
MN628582,3,93.318,9428,3a,91.846,9431,1175-1315,
MN628583,3,92.294,9149,3a,91.073,9152,1175-1315,
MN628584,3,92.904,9414,3a,91.408,9416,1175-1315,
MN628585,3,93.314,9452,3a,92.099,9455,1175-1315,
MN628586,3,93.242,9411,3a,91.675,9417,1175-1315,
MN628587,3,93.512,9418,3a,91.996,9420,1175-1315,
MN628588,3,92.384,9428,3a,91.029,9430,1175-1315,
MN628589,3,93.082,9410,3a,91.587,9414,1175-1315,
MN628590,3,93.319,9444,3a,91.703,9449,1175-1315,
MN628591,3,93.488,9414,3a,92.197,9419,1175-1315,
MN628592,1,93.791,9405,1a,94.123,9393,1175-1315,
MN628593,3,93.457,9399,3a,91.878,9406,1175-1315,
MN628594,3,93.346,9453,3a,91.676,9455,1175-1315,
MN628595,3,93.401,9426,3a,91.938,9427,1175-1315,
MN628596,3,93.368,9439,3a,91.897,9441,1175-1315,
MN628597,3,93.426,9416,3a,92.113,9420,1175-1315,
MN650758,1,95.556,540,1a,95.556,540,1175-1315,
MN650759,1,95.185,540,1a,95.185,540,1175-1315,
MN650762,1,95.000,540,1a,95.000,540,1175-1315,
MN650763,1,94.074,540,1a,93.704,540,1175-1315,
MN650764,1,95.185,540,1a,94.815,540,1175-1315,
MN650765,1,95.000,540,1a,95.000,540,1175-1315,
MN650768,1,94.444,540,1a,94.444,540,1175-1315,
MN650769,1,94.815,540,1a,94.815,540,1175-1315,
MN650770,1,94.815,540,1a,94.815,540,1175-1315,
MN650771,1,91.280,539,1a,91.111,540,1175-1315,
MN650772,1,93.321,539,1a,93.692,539,1175-1315,
MN650773,1,92.208,539,1a,93.519,540,1175-1315,
MN650774,1,91.651,539,1a,92.022,539,1175-1315,
MN650775,3,93.889,540,3a,92.963,540,1175-1315,
MN650776,3,95.185,540,3a,93.333,540,1175-1315,
MN650777,3,95.741,540,3a,94.074,540,1175-1315,
MN650778,3,93.889,540,3a,92.407,540,1175-1315,
MN650779,3,94.630,540,3a,92.778,540,1175-1315,
MN650780,3,93.889,540,3a,92.778,540,1175-1315,
MN650782,3,93.889,540,3a,91.667,540,1175-1315,
MN650783,3,94.815,540,3a,93.519,540,1175-1315,
MN650784,3,95.185,540,3a,94.259,540,1175-1315,
MN650785,3,93.519,540,3a,91.481,540,1175-1315,
MN650786,3,93.889,540,3a,92.037,540,1175-1315,
MN650787,3,94.259,540,3a,93.148,540,1175-1315,
MN650788,3,99.074,540,3a,92.778,540,1175-1315,
MN650789,3,100.000,535,3a,93.084,535,1175-1315,
MN650790,3,93.704,540,3a,90.370,540,1175-1315,
MN650791,3,94.259,540,3a,90.185,540,1175-1315,
MN650792,3,91.682,541,3a,90.203,541,1175-1315,
MN650793,3,91.667,540,3a,88.519,540,1175-1315,
MN650794,3,92.407,540,3a,91.296,540,1175-1315,
MN650795,3,93.704,540,3a,90.741,540,1175-1315,
MN650796,3,93.704,540,3a,92.222,540,1175-1315,
MN650797,3,90.000,540,3a,89.444,540,1175-1315,
MN650798,3,89.630,540,3a,91.215,535,1175-1315,
MN650799,4,77.365,539,4d,91.481,540,1175-1299,
MN650800,4,78.664,539,4d,90.926,540,1175-1299,
MN650801,4,79.035,539,4d,93.148,540,1175-1299,
MN650802,4,78.479,539,4d,92.407,540,1175-1299,
MN650804,4,79.035,539,4d,92.222,540,1175-1299,
MN650805,4,77.737,539,4d,92.222,540,1175-1299,
MN650806,4,78.293,539,4d,90.556,540,1175-1299,
MN650808,1,96.667,540,1a,96.481,540,1175-1315,
MN650809,1,93.889,540,1a,93.519,540,1175-1315,
MN650810,1,91.296,540,1a,92.393,539,1175-1315,
MN650811,1,94.085,541,1a,93.900,541,1175-1315,
MN650812,1,95.000,540,1a,95.000,540,1175-1315,
MN650813,1,92.208,539,1a,93.148,540,1175-1315,
MN650814,3,91.111,540,3a,88.889,540,1175-1315,
MN650815,4,79.221,539,4d,92.222,540,1175-1299,
MN650816,4,78.850,539,4d,91.852,540,1175-1299,
MN650817,4,78.108,539,4d,91.296,540,1175-1299,
MN650818,4,79.592,539,4d,91.481,540,1175-1299,
MN650819,3,95.000,540,3a,93.333,540,1175-1315,
PQ660823,1,94.456,9036,1a,93.935,9036,1175-1315,
PQ660824,1,94.112,9036,1a,93.670,9036,1175-1315,
PQ660825,1,94.245,9036,1a,93.769,9036,1175-1315,
PQ660826,1,94.400,9036,1a,94.047,9037,1175-1315,
PQ660827,1,94.522,9036,1a,94.112,9036,1175-1315,
PQ660828,1,94.245,9036,1a,93.780,9036,1175-1315,
PQ660829,1,94.190,9036,1a,93.736,9036,1175-1315,
PQ660830,4,90.240,9027,4a,90.240,9027,1175-1315,
PQ660831,1,94.013,9036,1a,93.670,9036,1175-1315,
PQ660832,1,94.356,9036,1a,93.913,9036,1175-1315,
PQ660833,1,94.201,9036,1a,93.726,9037,1175-1315,
PQ660834,1,94.168,9036,1a,93.769,9036,1175-1315,
PQ660836,1,93.758,9036,1a,93.360,9036,1175-1315,
PQ660837,4,90.246,7792,4a,90.246,7792,1175-1315,
PQ660838,1,93.769,9036,1a,93.459,9036,1175-1315,
PQ660839,4,90.415,8962,4a,90.415,8962,1175-1315,
PQ660840,4,89.928,9025,4a,89.928,9025,1175-1315,
PQ660841,1,94.644,9036,1a,94.345,9036,1175-1315,
PQ660842,1,94.411,9036,1a,94.013,9036,1175-1315,
PQ660843,1,94.057,9036,1a,93.681,9036,1175-1315,
PQ660844,1,93.825,9036,1a,93.482,9036,1175-1315,
PQ660845,1,93.980,9036,1a,93.559,9036,1175-1315,
PQ660846,1,93.836,9036,1a,93.504,9036,1175-1315,
PQ660847,4,90.451,8964,4a,90.451,8964,1175-1315,
PQ660848,4,90.387,7802,4a,90.387,7802,1175-1315,
PQ660849,1,91.467,9036,1a,91.191,9036,1175-1315,
PQ660850,1,94.312,9036,1a,93.780,9036,1175-1315,
PQ660851,1,94.531,9032,1a,94.010,9032,1175-1315,
PQ660854,1,94.301,9036,1a,93.803,9036,1175-1315,
PQ660856,4,90.564,9029,4a,90.564,9029,1175-1315,
PQ660858,1,93.825,9036,1a,93.404,9036,1175-1315,
PQ660859,4,90.176,9029,4a,90.176,9029,1175-1315,
ON228285,5,90.134,2311,5a,91.995,2311,1175-1315,
ON228288,5,91.492,1904,5a,92.283,1905,1175-1315,
MK327981,6,72.358,6794,6g,78.168,6802,1175-1315,
MK327982,6,73.110,4061,6g,80.044,4054,1175-1315,
MK327984,6,73.358,9470,6g,80.269,9447,1175-1315,
MK327985,6,73.172,9475,6g,77.700,9435,1175-1315,
MK327986,6,80.170,9435,6a,93.503,9358,1175-1315,
MK327987,6,72.543,9473,6g,77.486,9452,1175-1315,
MK327988,6,72.994,9461,6g,81.046,9428,1175-1315,
MK327989,6,72.846,9472,6xh,86.088,9057,1175-1315,
MK327990,6,73.788,7386,6n,74.123,9460,1175-1315,
MK327991,6,73.897,7367,6xa,74.314,9476,1175-1315,
MK327992,6,73.566,9484,6g,80.638,9441,1175-1315,
MK327993,6,73.937,9450,6xd,74.315,9449,1175-1315,
MK327996,6,72.731,9454,6xh,84.446,9059,1175-1315,
MK327997,6,73.110,9472,6g,80.464,9444,1175-1315,
MK327998,6,72.603,9479,6g,77.846,9452,1175-1315,
MK327999,6,72.356,9239,6g,77.266,9211,1175-1315,
MK328000,6,73.087,4548,6g,82.990,6602,1175-1315,
MK328001,6,73.664,9409,6xa,74.012,9416,1175-1315,
MK328002,6,72.912,9469,6xh,86.069,9059,1175-1315,
MK328003,6,72.588,9463,6xh,86.745,9061,1175-1315,
MK328004,6,74.621,3432,6b,74.621,3432,1175-1315,
MK328005,6,73.353,9472,6g,80.602,9429,1175-1315,
MK328006,6,72.693,9492,6xh,85.885,9061,1175-1315,
MK328007,6,71.970,9133,6g,77.017,9098,1175-1315,
MK328009,6,72.611,9482,6g,77.641,9455,1175-1315,
MK328010,6,72.340,9400,6xh,83.883,9059,1175-1315,
MK328012,6,73.830,9442,6d,73.930,9436,1175-1315,
MK328013,6,73.196,9480,6g,81.229,9435,1175-1315,
MK328014,6,71.657,5751,6g,77.027,7892,1175-1315,
MK328015,6,73.435,3482,6g,80.178,3491,1257-1315,
MK328018,6,71.594,5425,6g,75.546,5582,1175-1315,
MK328019,6,73.706,9470,6g,80.298,9451,1175-1315,
MK328020,6,72.992,9464,6g,77.535,9437,1175-1315,
MK328021,6,73.898,7394,6xa,74.005,9398,1175-1315,
MK328022,6,72.522,9473,6g,79.695,9446,1175-1315,
MK328023,6,74.340,9435,6l,74.268,9424,1175-1315,
MK328026,6,73.029,9488,6g,78.467,9446,1175-1315,
MK609550,1,90.156,640,1a,90.469,640,1175-1315,
MK609551,1,90.439,638,1a,90.752,638,1175-1315,
MK609552,1,76.168,642,1b,88.558,638,1175-1315,
MK609553,1,77.882,642,1b,89.812,638,1175-1315,
MK609554,1,78.997,638,1b,88.125,640,1175-1315,
MK609555,3,92.656,640,3a,93.750,640,1175-1315,
MK609556,3,92.969,640,3a,93.594,640,1175-1315,
MK609557,3,93.438,640,3a,94.531,640,1175-1315,
MK609558,3,91.406,640,3a,92.344,640,1175-1315,
MK609559,3,91.406,640,3a,92.344,640,1175-1315,
MK609560,3,91.094,640,3a,92.344,640,1175-1315,
MK609561,3,90.938,640,3a,92.500,640,1175-1315,
MK609562,3,91.250,640,3a,91.875,640,1175-1315,
