Accession,AssignedGenotype,Subtype2aDistance,Subtype2aDistance,Subtype2bDistance,Subtype2bDistance,Subtype2cDistance,Subtype2dDistance,Subtype2eDistance,Subtype2fDistance,Subtype2fDistance,Subtype2iDistance,Subtype2jDistance,Subtype2jDistance,Subtype2kDistance,Subtype2lDistance,Subtype2lDistance,Subtype2mDistance,Subtype2mDistance,Subtype2qDistance,Subtype2qDistance,Subtype2rDistance,Subtype2tDistance,Subtype2uDistance,Subtype2vDistance,FirstChoiceSubtype,FirstChoiceDistance,SecondChoiceSubtype,SecondChoiceDistance
ON314819,2,20.190,20.190,21.857,21.857,18.631,18.800,19.002,18.365,18.365,18.100,19.239,19.239,15.499,24.511,24.511,17.834,17.834,15.074,15.074,17.887,20.435,18.408,19.904,2q,15.074,2k,15.499
ON314820,2,19.556,19.556,21.817,21.817,18.747,18.631,18.640,18.322,18.322,18.853,18.605,18.605,16.516,24.246,24.246,17.738,17.738,16.729,16.729,18.534,20.871,18.684,19.437,2k,16.516,2q,16.729
ON314821,2,19.186,19.186,21.236,21.236,18.259,17.685,17.463,17.463,17.463,18.047,18.288,18.288,18.047,24.947,24.947,17.091,17.091,18.577,18.577,17.463,20.011,18.843,17.091,2v,17.091,2m,17.091
ON314822,2,19.900,19.900,20.868,20.868,20.468,19.983,18.881,20.134,20.134,19.382,20.965,20.965,16.040,23.987,23.987,19.549,19.549,16.541,16.541,18.379,19.783,19.048,21.220,2k,16.040,2q,16.541
ON314823,2,20.349,20.349,24.682,24.682,20.966,20.924,20.701,21.019,21.019,20.860,21.829,21.829,21.125,27.778,27.778,18.418,18.418,20.117,20.117,19.321,24.363,20.117,21.975,2m,18.418,2r,19.321
ON314824,2,19.767,19.767,21.712,21.712,18.684,18.322,18.100,18.843,18.843,19.268,19.025,19.025,15.552,25.265,25.265,18.896,18.896,14.703,14.703,18.153,21.513,19.523,19.745,2q,14.703,2k,15.552
ON314825,2,19.767,19.767,21.712,21.712,19.427,18.640,18.418,18.577,18.577,18.684,18.605,18.605,17.931,25.596,25.596,18.790,18.790,16.932,16.932,18.090,20.666,18.090,19.586,2q,16.932,2k,17.931
ON314826,2,19.345,19.345,22.134,22.134,17.887,19.268,19.586,19.841,19.841,19.363,18.225,18.225,19.374,24.907,24.907,18.631,18.631,18.206,18.206,18.524,21.656,19.851,20.212,2c,17.887,2j,18.225
ON314827,2,19.662,19.662,23.536,23.536,19.915,19.384,19.002,19.300,19.300,18.727,19.060,19.060,15.817,25.847,25.847,18.577,18.577,15.703,15.703,18.302,22.187,18.823,20.594,2q,15.703,2k,15.817
ON314828,2,19.662,19.662,23.666,23.666,19.809,19.278,18.790,19.310,19.310,18.674,18.955,18.955,15.711,25.794,25.794,18.524,18.524,15.650,15.650,18.196,22.028,18.823,20.488,2k,15.711,2q,15.650
MT995311,2,21.512,21.512,8.652,8.652,21.675,22.199,21.656,21.762,21.762,21.762,20.455,20.455,22.187,26.112,26.112,20.382,20.382,21.444,21.444,22.240,19.745,21.815,22.452,2b,8.652,2t,19.745
MT995312,2,21.512,21.512,8.546,8.546,21.622,22.199,21.656,21.762,21.762,21.762,20.455,20.455,22.240,26.112,26.112,20.382,20.382,21.497,21.497,22.240,19.798,21.868,22.452,2b,8.546,2t,19.798
MT995313,2,21.459,21.459,8.599,8.599,21.622,22.146,21.603,21.709,21.709,21.709,20.402,20.402,22.187,26.059,26.059,20.329,20.329,21.444,21.444,22.187,19.745,21.815,22.399,2b,8.599,2t,19.745
MT995314,2,21.512,21.512,8.652,8.652,21.675,22.199,21.656,21.762,21.762,21.762,20.455,20.455,22.187,26.112,26.112,20.382,20.382,21.444,21.444,22.240,19.745,21.815,22.452,2b,8.652,2t,19.745
MT995315,2,21.512,21.512,8.652,8.652,21.675,22.199,21.656,21.762,21.762,21.762,20.455,20.455,22.187,26.112,26.112,20.382,20.382,21.444,21.444,22.240,19.745,21.815,22.452,2b,8.652,2t,19.745
MT995336,2,21.829,21.829,8.611,8.611,22.134,21.986,21.656,22.228,22.228,21.868,20.296,20.296,22.399,26.073,26.073,21.220,21.220,21.485,21.485,22.175,20.648,22.069,22.240,2b,8.611,2j,20.296
MT995337,2,21.829,21.829,8.611,8.611,22.099,22.146,21.868,22.228,22.228,21.815,20.296,20.296,22.399,25.914,25.914,21.114,21.114,21.485,21.485,22.334,20.648,21.857,22.187,2b,8.611,2j,20.296
MT995338,2,21.829,21.829,8.611,8.611,22.134,21.986,21.656,22.228,22.228,21.868,20.296,20.296,22.399,26.073,26.073,21.220,21.220,21.485,21.485,22.175,20.648,22.069,22.240,2b,8.611,2j,20.296
MT995339,2,21.564,21.564,8.452,8.452,21.975,22.146,21.709,22.122,22.122,21.656,20.190,20.190,22.452,26.126,26.126,21.167,21.167,21.379,21.379,22.175,20.488,21.804,22.081,2b,8.452,2j,20.190
MT995340,2,21.829,21.829,8.611,8.611,22.134,21.986,21.656,22.228,22.228,21.868,20.296,20.296,22.399,26.073,26.073,21.220,21.220,21.485,21.485,22.175,20.648,22.069,22.240,2b,8.611,2j,20.296
MW041294,2,17.970,17.970,21.921,21.921,16.119,17.366,17.622,17.675,17.675,16.720,17.274,17.274,17.887,25.781,25.781,17.304,17.304,18.100,18.100,16.136,21.550,17.401,18.684,2r,16.136,2c,16.119
MW041295,2,21.089,21.089,22.375,22.375,19.214,18.534,19.480,18.471,18.471,19.427,19.546,19.546,20.011,24.722,24.722,19.321,19.321,20.648,20.648,18.790,22.641,19.745,0.000,2v,0.000,2d,18.534
MW041296,2,17.125,17.125,22.164,22.164,16.136,17.738,16.985,17.675,17.675,16.879,17.697,17.697,17.781,25.993,25.993,17.516,17.516,17.197,17.197,16.083,21.656,17.516,18.631,2r,16.083,2c,16.136
MW041297,2,20.613,20.613,22.252,22.252,19.639,17.525,18.737,18.312,18.312,18.886,18.522,18.522,19.374,24.788,24.788,18.843,18.843,19.745,19.745,17.675,22.099,19.161,9.395,2v,9.395,2d,17.525
MW041298,2,19.926,19.926,22.175,22.175,19.745,18.640,18.896,18.259,18.259,20.117,19.704,19.704,19.798,25.159,25.159,19.533,19.533,20.170,20.170,19.161,22.375,19.427,8.121,2v,8.121,2f,18.259
MW041299,2,20.349,20.349,21.934,21.934,19.586,17.047,19.268,17.887,17.887,18.577,19.123,19.123,19.586,24.563,24.563,18.471,18.471,18.949,18.949,18.631,22.057,18.259,9.076,2v,9.076,2d,17.047
PP372686,2,8.347,8.347,22.252,22.252,18.790,19.012,19.586,19.002,19.002,20.064,20.286,20.286,19.798,25.738,25.738,17.834,17.834,18.577,18.577,18.047,22.617,18.896,21.231,2a,8.347,2m,17.834
MW629119,2,8.192,8.192,21.459,21.459,18.206,18.269,18.843,18.896,18.896,19.214,19.449,19.449,18.896,25.265,25.265,17.622,17.622,17.144,17.144,18.259,21.537,18.949,20.754,2a,8.192,2q,17.144
MT416885,2,21.622,21.622,8.956,8.956,21.951,21.986,21.569,21.709,21.709,22.399,20.827,20.827,22.877,26.232,26.232,20.913,20.913,21.550,21.550,23.158,20.594,22.187,22.930,2b,8.956,2t,20.594
MT416886,2,21.622,21.622,8.956,8.956,21.951,21.986,21.569,21.709,21.709,22.399,20.827,20.827,22.877,26.232,26.232,20.913,20.913,21.550,21.550,23.158,20.594,22.187,22.930,2b,8.956,2t,20.594
MT416887,2,21.569,21.569,9.009,9.009,21.898,21.933,21.516,21.656,21.656,22.346,20.774,20.774,22.824,26.179,26.179,20.860,20.860,21.497,21.497,23.105,20.541,22.134,22.877,2b,9.009,2t,20.541
MT416888,2,21.622,21.622,8.903,8.903,21.898,21.933,21.622,21.656,21.656,22.346,20.774,20.774,22.877,26.179,26.179,20.913,20.913,21.550,21.550,23.105,20.541,22.134,22.877,2b,8.903,2t,20.541
MT416889,2,21.622,21.622,8.956,8.956,21.951,21.986,21.569,21.709,21.709,22.399,20.827,20.827,22.877,26.232,26.232,20.913,20.913,21.550,21.550,23.158,20.594,22.187,22.930,2b,8.956,2t,20.594
MT416890,2,21.622,21.622,8.956,8.956,21.951,21.986,21.569,21.709,21.709,22.399,20.827,20.827,22.877,26.232,26.232,20.913,20.913,21.550,21.550,23.158,20.594,22.187,22.930,2b,8.956,2t,20.594
MT416891,2,21.622,21.622,8.956,8.956,21.951,21.986,21.569,21.709,21.709,22.399,20.827,20.827,22.877,26.232,26.232,20.913,20.913,21.550,21.550,23.158,20.594,22.187,22.930,2b,8.956,2t,20.594
MT416892,2,21.652,21.652,9.062,9.062,22.057,22.092,21.675,21.815,21.815,22.505,20.933,20.933,22.983,26.338,26.338,20.913,20.913,21.656,21.656,23.264,20.701,22.293,23.036,2b,9.062,2t,20.701
MT416893,2,21.622,21.622,8.956,8.956,21.951,21.986,21.569,21.709,21.709,22.399,20.827,20.827,22.877,26.232,26.232,20.913,20.913,21.550,21.550,23.158,20.594,22.187,22.930,2b,8.956,2t,20.594
MT416894,2,21.622,21.622,8.956,8.956,21.951,21.986,21.569,21.709,21.709,22.399,20.827,20.827,22.877,26.232,26.232,20.913,20.913,21.550,21.550,23.158,20.594,22.187,22.930,2b,8.956,2t,20.594
MT416895,2,21.622,21.622,8.956,8.956,21.951,21.986,21.569,21.709,21.709,22.399,20.827,20.827,22.877,26.232,26.232,20.913,20.913,21.550,21.550,23.158,20.594,22.187,22.930,2b,8.956,2t,20.594
MT416896,2,21.622,21.622,8.956,8.956,21.951,21.986,21.569,21.709,21.709,22.399,20.827,20.827,22.877,26.232,26.232,20.913,20.913,21.550,21.550,23.158,20.594,22.187,22.930,2b,8.956,2t,20.594
MT416897,2,21.622,21.622,8.956,8.956,21.951,21.986,21.569,21.709,21.709,22.399,20.827,20.827,22.877,26.232,26.232,20.913,20.913,21.550,21.550,23.158,20.594,22.187,22.930,2b,8.956,2t,20.594
MT416898,2,21.728,21.728,9.115,9.115,22.110,22.039,21.622,21.815,21.815,22.452,20.880,20.880,22.983,26.338,26.338,20.860,20.860,21.656,21.656,23.211,20.648,22.240,23.036,2b,9.115,2t,20.648
MT416899,2,21.622,21.622,8.956,8.956,21.951,21.986,21.569,21.709,21.709,22.399,20.827,20.827,22.877,26.232,26.232,20.913,20.913,21.550,21.550,23.158,20.594,22.187,22.930,2b,8.956,2t,20.594
MT416900,2,21.622,21.622,8.956,8.956,21.951,21.986,21.569,21.709,21.709,22.399,20.827,20.827,22.877,26.232,26.232,20.913,20.913,21.550,21.550,23.158,20.594,22.187,22.930,2b,8.956,2t,20.594
MT416901,2,21.622,21.622,8.956,8.956,21.951,21.986,21.569,21.709,21.709,22.399,20.827,20.827,22.877,26.232,26.232,20.913,20.913,21.550,21.550,23.158,20.594,22.187,22.930,2b,8.956,2t,20.594
MT416902,2,21.569,21.569,8.903,8.903,22.004,21.933,21.516,21.656,21.656,22.346,20.774,20.774,22.824,26.179,26.179,20.860,20.860,21.603,21.603,23.105,20.541,22.134,22.877,2b,8.903,2t,20.541
MT416903,2,21.622,21.622,8.956,8.956,21.951,21.986,21.569,21.709,21.709,22.399,20.827,20.827,22.877,26.232,26.232,20.913,20.913,21.550,21.550,23.158,20.594,22.187,22.930,2b,8.956,2t,20.594
MT416904,2,21.622,21.622,8.956,8.956,21.951,21.986,21.569,21.709,21.709,22.399,20.827,20.827,22.877,26.232,26.232,20.913,20.913,21.550,21.550,23.158,20.594,22.187,22.930,2b,8.956,2t,20.594
MT416905,2,21.622,21.622,8.956,8.956,21.951,21.986,21.569,21.709,21.709,22.399,20.827,20.827,22.877,26.232,26.232,20.913,20.913,21.550,21.550,23.158,20.594,22.187,22.930,2b,8.956,2t,20.594
MT416906,2,21.622,21.622,8.956,8.956,21.951,21.986,21.569,21.709,21.709,22.399,20.827,20.827,22.877,26.232,26.232,20.913,20.913,21.550,21.550,23.158,20.594,22.187,22.930,2b,8.956,2t,20.594
MT416907,2,21.569,21.569,9.009,9.009,22.004,22.039,21.622,21.762,21.762,22.452,20.880,20.880,22.930,26.179,26.179,20.966,20.966,21.603,21.603,23.211,20.648,22.240,22.983,2b,9.009,2t,20.648
MT416908,2,21.569,21.569,9.009,9.009,21.898,21.933,21.516,21.656,21.656,22.346,20.880,20.880,22.824,26.179,26.179,20.860,20.860,21.497,21.497,23.105,20.541,22.134,22.877,2b,9.009,2t,20.541
MT416909,2,21.622,21.622,8.956,8.956,21.951,21.986,21.569,21.709,21.709,22.399,20.827,20.827,22.877,26.232,26.232,20.913,20.913,21.550,21.550,23.158,20.594,22.187,22.930,2b,8.956,2t,20.594
MT416910,2,21.675,21.675,9.009,9.009,22.110,22.039,21.675,21.762,21.762,22.452,20.880,20.880,22.983,26.285,26.285,20.966,20.966,21.603,21.603,23.317,20.648,22.240,23.036,2b,9.009,2t,20.648
MT416911,2,21.569,21.569,8.903,8.903,21.898,21.933,21.516,21.762,21.762,22.452,20.827,20.827,22.824,26.285,26.285,20.966,20.966,21.550,21.550,23.105,20.594,22.240,22.877,2b,8.903,2t,20.594
MT416912,2,21.622,21.622,8.956,8.956,21.951,21.986,21.569,21.709,21.709,22.399,20.827,20.827,22.877,26.232,26.232,20.913,20.913,21.550,21.550,23.158,20.594,22.187,22.930,2b,8.956,2t,20.594
MT416913,2,21.569,21.569,9.009,9.009,21.898,22.039,21.728,21.762,21.762,22.346,20.933,20.933,22.930,26.232,26.232,20.860,20.860,21.709,21.709,23.105,20.701,22.240,22.983,2b,9.009,2t,20.701
MT416914,2,21.675,21.675,9.009,9.009,22.004,22.039,21.622,21.762,21.762,22.452,20.880,20.880,22.930,26.285,26.285,20.860,20.860,21.603,21.603,23.211,20.648,22.240,22.983,2b,9.009,2t,20.648
MT416915,2,21.675,21.675,9.009,9.009,22.004,22.039,21.622,21.762,21.762,22.452,20.880,20.880,22.930,26.285,26.285,20.860,20.860,21.603,21.603,23.211,20.648,22.240,22.983,2b,9.009,2t,20.648
MT416916,2,21.622,21.622,8.956,8.956,21.951,21.986,21.569,21.709,21.709,22.399,20.827,20.827,22.877,26.232,26.232,20.913,20.913,21.550,21.550,23.158,20.594,22.187,22.930,2b,8.956,2t,20.594
MT416917,2,21.622,21.622,8.956,8.956,21.951,21.986,21.569,21.709,21.709,22.399,20.827,20.827,22.877,26.232,26.232,20.913,20.913,21.550,21.550,23.158,20.594,22.187,22.930,2b,8.956,2t,20.594
MT416918,2,21.622,21.622,8.956,8.956,21.951,21.986,21.569,21.709,21.709,22.399,20.827,20.827,22.877,26.232,26.232,20.913,20.913,21.550,21.550,23.158,20.594,22.187,22.930,2b,8.956,2t,20.594
MT416919,2,21.569,21.569,9.023,9.023,21.898,21.933,21.516,21.762,21.762,22.346,20.880,20.880,22.877,26.285,26.285,20.754,20.754,21.550,21.550,23.211,20.648,22.346,22.930,2b,9.023,2t,20.648
MT416920,2,21.622,21.622,8.956,8.956,21.951,21.986,21.569,21.709,21.709,22.399,20.827,20.827,22.877,26.338,26.338,20.807,20.807,21.550,21.550,23.158,20.701,22.187,23.036,2b,8.956,2t,20.701
MT416921,2,21.550,21.550,8.970,8.970,22.004,21.986,21.622,21.709,21.709,22.346,20.754,20.754,22.824,26.221,26.221,20.860,20.860,21.497,21.497,23.105,20.648,22.134,22.983,2b,8.970,2t,20.648
MT416922,2,21.569,21.569,8.903,8.903,22.004,21.933,21.516,21.656,21.656,22.346,20.774,20.774,22.824,26.179,26.179,20.860,20.860,21.603,21.603,23.105,20.541,22.134,22.877,2b,8.903,2t,20.541
MT416923,2,21.675,21.675,9.009,9.009,22.004,22.039,21.622,21.762,21.762,22.452,20.880,20.880,22.930,26.285,26.285,20.860,20.860,21.603,21.603,23.211,20.648,22.240,22.983,2b,9.009,2t,20.648
MT416924,2,21.622,21.622,8.956,8.956,21.951,21.986,21.569,21.709,21.709,22.399,20.827,20.827,22.877,26.232,26.232,20.913,20.913,21.550,21.550,23.158,20.594,22.187,22.930,2b,8.956,2t,20.594
MT416925,2,21.622,21.622,8.956,8.956,21.951,21.986,21.569,21.709,21.709,22.399,20.827,20.827,22.877,26.232,26.232,20.913,20.913,21.550,21.550,23.158,20.594,22.187,22.930,2b,8.956,2t,20.594
MT416926,2,21.622,21.622,8.956,8.956,21.951,21.986,21.569,21.709,21.709,22.399,20.827,20.827,22.877,26.232,26.232,20.913,20.913,21.550,21.550,23.158,20.594,22.187,22.930,2b,8.956,2t,20.594
MT416927,2,21.728,21.728,9.062,9.062,22.057,22.092,21.675,21.815,21.815,22.505,20.933,20.933,22.983,26.338,26.338,20.913,20.913,21.656,21.656,23.264,20.701,22.293,23.036,2b,9.062,2t,20.701
MT416928,2,21.622,21.622,8.956,8.956,21.951,21.986,21.569,21.709,21.709,22.399,20.827,20.827,22.877,26.232,26.232,20.913,20.913,21.550,21.550,23.158,20.594,22.187,22.930,2b,8.956,2t,20.594
MT416929,2,21.622,21.622,8.956,8.956,21.951,21.986,21.569,21.709,21.709,22.399,20.827,20.827,22.877,26.232,26.232,20.913,20.913,21.550,21.550,23.158,20.594,22.187,22.930,2b,8.956,2t,20.594
MT416930,2,21.622,21.622,8.956,8.956,21.951,21.986,21.569,21.709,21.709,22.399,20.827,20.827,22.877,26.232,26.232,20.913,20.913,21.550,21.550,23.158,20.594,22.187,22.930,2b,8.956,2t,20.594
MT416931,2,21.622,21.622,8.956,8.956,21.951,21.986,21.569,21.709,21.709,22.399,20.827,20.827,22.877,26.232,26.232,20.913,20.913,21.550,21.550,23.158,20.594,22.187,22.930,2b,8.956,2t,20.594
MT416932,2,21.569,21.569,8.903,8.903,22.004,22.039,21.516,21.656,21.656,22.346,20.774,20.774,22.930,26.179,26.179,20.860,20.860,21.603,21.603,23.211,20.648,22.134,22.877,2b,8.903,2t,20.648
MT416933,2,21.622,21.622,8.956,8.956,21.951,21.986,21.569,21.709,21.709,22.399,20.827,20.827,22.877,26.232,26.232,20.913,20.913,21.550,21.550,23.158,20.594,22.187,22.930,2b,8.956,2t,20.594
MT416934,2,21.516,21.516,9.062,9.062,21.845,21.933,21.569,21.656,21.656,22.399,20.721,20.721,22.877,26.179,26.179,21.019,21.019,21.550,21.550,23.052,20.594,22.134,22.824,2b,9.062,2t,20.594
MT416935,2,21.675,21.675,9.009,9.009,22.004,22.039,21.622,21.762,21.762,22.452,20.880,20.880,22.930,26.285,26.285,20.966,20.966,21.603,21.603,23.211,20.648,22.240,22.983,2b,9.009,2t,20.648
MT416936,2,21.622,21.622,8.956,8.956,21.951,21.986,21.569,21.709,21.709,22.399,20.827,20.827,22.877,26.232,26.232,20.913,20.913,21.550,21.550,23.158,20.594,22.187,22.930,2b,8.956,2t,20.594
MT632146,2,19.080,19.080,21.817,21.817,10.356,17.728,19.331,18.269,18.269,18.853,16.905,16.905,18.939,25.318,25.318,19.012,19.012,18.906,18.906,17.047,21.508,19.936,19.118,2c,10.356,2j,16.905
PQ799523,2,8.639,8.639,22.876,22.876,19.241,18.586,22.251,19.634,19.634,20.131,20.131,20.131,20.812,25.785,25.785,19.241,19.241,19.477,19.477,20.523,23.468,20.523,23.953,2a,8.639,2d,18.586
MK612020,2,9.509,9.509,21.882,21.882,18.471,19.118,18.684,18.471,18.471,18.896,19.926,19.926,19.798,25.132,25.132,18.312,18.312,17.463,17.463,18.524,22.134,18.206,20.860,2a,9.509,2q,17.463
MK962414,2,27.471,27.471,28.141,28.141,25.336,28.691,27.852,26.846,26.846,28.188,25.585,25.585,30.318,17.114,17.114,28.978,28.978,27.471,27.471,28.020,26.609,26.342,30.034,2l,17.114,2c,25.336
MK962420,2,18.493,18.493,22.603,22.603,19.178,19.007,19.863,18.322,18.322,18.836,17.637,17.637,20.205,27.179,27.179,19.521,19.521,16.952,16.952,17.979,24.532,19.863,21.575,2q,16.952,2j,17.637
MK990302,2,18.998,18.998,24.870,24.870,18.135,16.062,20.934,18.826,18.826,19.516,17.098,17.098,20.380,28.374,28.374,16.408,16.408,17.617,17.617,19.171,24.221,18.653,21.280,2d,16.062,2m,16.408
MK990303,2,19.171,19.171,26.079,26.079,21.416,20.553,22.280,19.862,19.862,20.725,21.071,21.071,20.380,27.855,27.855,22.453,22.453,20.553,20.553,19.689,27.336,19.171,21.280,2u,19.171,2a,19.171
MK990304,2,20.069,20.069,24.048,24.048,19.031,17.820,19.723,17.128,17.128,19.896,19.204,19.204,19.377,28.374,28.374,17.820,17.820,17.301,17.301,18.512,22.491,19.377,20.934,2f,17.128,2q,17.301
MK990305,2,20.898,20.898,25.907,25.907,19.344,19.516,21.280,18.653,18.653,19.171,18.826,18.826,18.135,28.201,28.201,20.207,20.207,18.135,18.135,19.689,23.529,18.480,21.972,2q,18.135,2k,18.135
MK990306,2,21.589,21.589,23.489,23.489,19.171,18.998,20.588,18.826,18.826,20.725,19.862,19.862,21.762,28.201,28.201,19.862,19.862,17.789,17.789,21.416,24.221,19.171,23.356,2q,17.789,2d,18.998
MK990307,2,18.480,18.480,25.561,25.561,17.617,17.789,19.031,17.617,17.617,17.444,17.444,17.444,18.998,27.509,27.509,19.516,19.516,18.998,18.998,17.789,25.606,18.998,20.588,2j,17.444,2i,17.444
MK990308,2,19.171,19.171,26.425,26.425,16.753,19.171,19.550,19.171,19.171,19.171,17.789,17.789,18.307,29.879,29.879,20.380,20.380,16.408,16.408,19.171,24.613,19.171,23.183,2q,16.408,2c,16.753
MN385563,2,22.516,22.516,10.085,10.085,21.815,21.721,21.762,21.762,21.762,21.550,20.972,20.972,21.656,25.755,25.755,21.762,21.762,21.125,21.125,21.357,20.117,21.868,21.338,2b,10.085,2t,20.117
MN385564,2,22.146,22.146,10.354,10.354,22.046,22.199,22.240,21.762,21.762,22.152,20.657,20.657,22.293,27.133,27.133,22.081,22.081,21.538,21.538,22.665,21.444,22.611,22.240,2b,10.354,2j,20.657
MG406987,2,0.000,0.000,22.399,22.399,19.798,20.393,20.159,19.480,19.480,19.798,20.509,20.509,20.541,26.698,26.698,18.577,18.577,19.002,19.002,20.170,22.446,18.843,21.516,2a,0.000,2m,18.577
MG406988,2,0.000,0.000,22.399,22.399,19.798,20.393,20.159,19.480,19.480,19.798,20.509,20.509,20.541,26.698,26.698,18.577,18.577,19.002,19.002,20.170,22.446,18.843,21.516,2a,0.000,2m,18.577
MG601771,2,19.188,19.188,25.000,25.000,7.366,17.495,18.635,18.785,18.785,21.013,17.528,17.528,20.151,27.068,27.068,19.557,19.557,18.635,18.635,18.969,25.275,20.480,20.074,2c,7.366,2d,17.495
MG601772,2,19.188,19.188,24.621,24.621,8.471,16.943,17.803,18.048,18.048,20.849,16.421,16.421,19.926,27.068,27.068,17.897,17.897,18.266,18.266,18.969,25.046,19.557,19.521,2c,8.471,2j,16.421
MG601773,2,18.635,18.635,24.242,24.242,8.103,16.575,17.235,17.680,17.680,20.480,17.712,17.712,19.926,26.504,26.504,18.266,18.266,19.004,19.004,19.521,25.230,19.373,20.442,2c,8.103,2d,16.575
MG601774,2,19.373,19.373,24.621,24.621,8.656,16.575,18.371,18.048,18.048,20.664,17.159,17.159,19.188,26.504,26.504,18.266,18.266,18.635,18.635,19.705,25.599,19.742,20.626,2c,8.656,2d,16.575
MH477423,2,18.552,18.552,20.701,20.701,17.516,18.375,18.259,18.737,18.737,18.843,18.644,18.644,18.790,24.377,24.377,17.091,17.091,18.684,18.684,17.357,20.804,16.932,19.374,2u,16.932,2m,17.091
MH477425,2,14.754,14.754,19.672,19.672,18.699,19.512,,20.325,20.325,22.764,15.447,15.447,,,,21.311,21.311,18.699,18.699,22.764,,19.512,,2a,14.754,2j,15.447
MH899137,2,9.370,9.370,23.850,23.850,20.613,19.250,20.954,19.250,19.250,22.487,19.591,19.591,22.317,27.598,27.598,20.443,20.443,18.910,18.910,20.613,27.257,19.250,24.532,2a,9.370,2q,18.910
MK170199,2,9.370,9.370,23.850,23.850,20.613,19.250,20.954,19.250,19.250,22.487,19.591,19.591,22.317,27.598,27.598,20.443,20.443,18.910,18.910,20.613,27.257,19.250,24.532,2a,9.370,2q,18.910
OK552903,2,20.772,20.772,9.878,9.878,21.391,21.668,21.675,21.921,21.921,21.391,21.504,21.504,22.759,25.993,25.993,20.648,20.648,21.656,21.656,21.834,20.690,22.134,21.975,2b,9.878,2m,20.648
OK552904,2,20.825,20.825,9.931,9.931,21.444,21.827,21.792,21.975,21.975,21.444,21.557,21.557,22.865,25.993,25.993,20.754,20.754,21.709,21.709,21.993,20.754,22.187,22.081,2b,9.931,2a,20.825
OK552905,2,20.666,20.666,9.773,9.773,21.285,21.668,21.686,21.815,21.815,21.285,21.398,21.398,22.759,25.887,25.887,20.648,20.648,21.550,21.550,21.834,20.701,22.028,21.975,2b,9.773,2a,20.666
OK552906,2,20.772,20.772,9.878,9.878,21.391,21.668,21.675,21.921,21.921,21.391,21.504,21.504,22.759,25.993,25.993,20.648,20.648,21.656,21.656,21.834,20.690,22.134,21.975,2b,9.878,2m,20.648
