Accession,ClosestSubtypeAlignedNT,Genotype1Distance,Genotype2Distance,Genotype3Distance,Genotype4Distance,Genotype5Distance,Genotype6Distance,Genotype7Distance,Genotype8Distance,FirstChoiceGenotype,FirstChoiceDistance,SecondChoiceGenotype,SecondChoiceDistance
MT893913,411,21.851,32.123,,19.652,29.381,28.969,,,4,19.652,1,21.851
MT893914,411,25.000,30.084,,21.845,30.100,30.362,30.605,30.233,4,21.845,1,25.000
MW531222,636,30.271,33.379,32.057,3.071,26.939,32.518,35.062,31.418,4,3.071,1,30.271
ON630870,630,29.734,30.748,30.899,23.949,29.809,31.067,35.397,28.764,4,23.949,1,29.734
ON630871,630,28.695,31.780,30.748,24.249,31.017,31.758,35.389,31.604,4,24.249,1,28.695
ON630872,630,26.867,30.650,30.606,23.331,30.140,31.504,33.287,31.262,4,23.331,1,26.867
ON630873,630,28.868,32.203,30.889,24.399,30.169,31.155,33.846,31.103,4,24.399,1,28.868
ON630874,630,29.438,31.497,30.465,23.874,31.439,31.315,34.815,30.791,4,23.874,1,29.438
ON630875,630,26.860,34.086,34.089,23.423,27.415,31.474,35.299,30.878,4,23.423,1,26.860
ON630876,630,28.695,32.062,31.312,24.024,30.916,30.842,35.121,30.508,4,24.024,1,28.695
ON630877,630,28.695,32.011,31.497,24.024,30.606,31.134,35.478,30.712,4,24.024,1,28.695
ON630878,630,27.740,31.874,31.356,23.949,30.202,31.227,33.566,30.805,4,23.949,1,27.740
ON630879,630,27.643,31.073,31.312,23.931,30.900,31.031,35.648,30.488,4,23.931,1,27.643
ON630880,630,26.770,31.356,30.606,23.538,29.605,31.031,35.695,30.733,4,23.538,1,26.770
ON630881,630,29.660,33.675,30.748,23.949,28.329,31.220,35.593,30.733,4,23.949,1,29.660
ON630882,630,27.449,31.921,31.030,23.198,30.539,31.434,33.287,29.977,4,23.198,1,27.449
ON630883,630,26.867,31.044,31.163,24.006,31.605,31.970,35.018,31.445,4,24.006,1,26.867
ON630884,630,28.176,32.606,31.030,24.288,30.614,31.002,34.126,30.849,4,24.288,1,28.176
ON630885,630,27.643,32.203,31.876,23.423,30.938,31.220,35.218,30.950,4,23.423,1,27.643
ON630886,630,27.158,32.242,30.748,23.423,29.452,31.220,34.031,29.795,4,23.423,1,27.158
ON630887,630,28.263,31.497,30.748,23.799,28.198,31.599,35.089,31.232,4,23.799,1,28.263
ON630888,630,27.837,32.203,31.171,24.099,30.483,31.504,33.986,30.508,4,24.099,1,27.837
ON630889,630,28.214,31.780,31.594,23.742,30.938,30.842,35.331,29.898,4,23.742,1,28.214
ON630890,630,28.349,31.638,30.889,24.024,30.739,31.315,35.179,32.292,4,24.024,1,28.349
ON630891,630,28.695,32.345,30.748,24.324,31.118,31.155,33.426,31.197,4,24.324,1,28.695
ON630892,630,27.546,30.748,30.899,24.174,30.816,31.044,35.747,31.791,4,24.174,1,27.546
ON630893,630,27.158,30.986,30.802,23.949,30.211,31.445,35.800,30.740,4,23.949,1,27.158
ON630894,630,28.090,31.356,30.889,23.874,31.038,31.410,35.179,30.979,4,23.874,1,28.090
ON630895,630,27.681,33.400,31.417,24.249,27.801,32.156,35.294,31.966,4,24.249,1,27.681
ON630896,630,27.352,31.215,31.030,23.874,30.661,31.404,32.962,31.504,4,23.874,1,27.352
ON630897,630,28.893,32.345,31.171,23.742,31.138,31.410,33.564,31.415,4,23.742,1,28.893
ON630898,630,28.781,31.638,31.453,23.574,30.916,30.907,34.978,30.451,4,23.574,1,28.781
ON630899,630,28.868,32.345,31.171,24.550,30.169,31.061,33.986,31.291,4,24.550,1,28.868
ON630900,630,28.436,31.921,31.735,23.799,31.219,31.410,35.394,30.320,4,23.799,1,28.436
MW629118,636,29.303,32.558,31.915,11.976,28.147,31.989,34.575,32.372,4,11.976,1,29.303
MW675797,630,27.837,31.139,30.932,23.688,30.404,31.221,33.147,30.805,4,23.688,1,27.837
MW675798,630,27.740,31.139,30.932,23.688,30.404,31.314,33.147,30.899,4,23.688,1,27.740
MW675799,630,27.837,31.139,30.932,23.688,30.404,31.221,33.147,30.805,4,23.688,1,27.837
MW675800,630,27.449,31.456,30.791,23.649,30.606,31.314,35.093,30.769,4,23.649,1,27.449
MN641959,309,24.359,30.769,28.571,19.614,29.699,28.996,28.521,29.455,4,19.614,1,24.359
MN641960,309,24.679,30.449,28.571,19.293,30.719,30.097,28.521,29.091,4,19.293,1,24.679
MN641961,309,25.000,31.090,28.772,20.579,30.392,29.368,28.470,29.455,4,20.579,1,25.000
MN641962,289,25.952,31.142,29.213,22.508,30.796,29.317,29.167,29.670,4,22.508,1,25.952
MN641963,309,24.042,29.210,31.022,21.222,27.891,29.210,28.881,28.727,4,21.222,1,24.042
MN641964,309,26.282,30.241,29.562,19.293,28.912,28.866,27.076,29.091,4,19.293,1,26.282
MN641965,309,25.321,29.808,30.314,19.293,30.392,30.421,27.113,29.091,4,19.293,1,25.321
MN641966,309,24.679,31.090,29.965,21.222,29.412,31.068,28.873,29.455,4,21.222,1,24.679
MN641967,309,23.693,30.449,30.662,21.290,30.392,29.450,28.873,,4,21.290,1,23.693
MN641968,309,25.397,29.712,29.965,20.645,28.205,31.392,29.225,29.091,4,20.645,1,25.397
MN641969,309,26.667,29.393,28.520,21.935,27.885,30.421,29.225,29.091,4,21.935,1,26.667
MN641970,309,24.762,29.553,29.927,20.968,29.487,30.241,28.881,29.455,4,20.968,1,24.762
MN641971,309,24.444,30.671,30.314,20.000,29.487,29.773,28.873,28.364,4,20.000,1,24.444
MN782309,631,29.252,33.651,31.364,11.562,27.581,32.136,34.441,33.395,4,11.562,1,29.252
MN782310,636,29.395,33.105,31.586,12.210,27.864,31.701,35.237,33.550,4,12.210,1,29.395
MN977326,635,30.141,33.287,32.011,11.892,27.723,31.288,34.840,33.551,4,11.892,1,30.141
MN977328,636,29.355,34.355,30.835,10.845,27.839,31.976,34.201,33.456,4,10.845,1,29.355
MN977329,631,29.252,33.651,31.364,11.562,27.581,32.136,34.441,33.395,4,11.562,1,29.252
MN977330,633,30.176,34.730,31.206,14.098,28.652,32.383,33.420,34.444,4,14.098,1,30.176
MT113073,,31.019,32.295,,27.628,28.205,32.930,,,4,27.628,1,31.019
MT113074,461,27.051,31.264,28.859,18.640,26.818,31.659,,31.507,4,18.640,1,27.051
MT113078,637,29.854,33.801,33.333,13.473,27.581,32.678,35.194,33.705,4,13.473,1,29.854
MT151159,348,25.072,30.199,29.293,22.063,27.907,30.000,28.014,,4,22.063,1,25.072
MT151162,347,26.724,31.174,30.370,22.923,28.530,30.199,28.309,30.395,4,22.923,1,26.724
MT151163,348,22.701,31.534,,20.344,29.855,28.775,,29.971,4,20.344,1,22.701
MT151164,349,25.575,30.124,25.333,18.571,26.765,26.437,30.496,28.994,4,18.571,1,25.575
MT151166,340,25.148,30.973,32.308,20.414,28.875,28.955,,28.909,4,20.414,1,25.148
MT151168,348,24.138,32.951,31.077,22.857,29.565,28.205,29.870,,4,22.857,1,24.138
MT151172,348,22.989,32.386,31.790,20.649,28.182,27.920,31.022,29.651,4,20.649,1,22.989
MT151174,348,22.989,32.955,29.818,22.350,30.303,29.060,32.384,,4,22.350,1,22.989
MT151175,352,27.011,30.838,26.421,17.143,25.072,29.830,28.826,29.971,4,17.143,5,25.072
MT151177,348,24.425,,32.209,21.239,28.485,28.490,31.752,,4,21.239,1,24.425
MT151178,348,23.563,32.286,30.072,22.350,29.275,29.630,31.338,,4,22.350,1,23.563
MT151179,349,24.260,30.841,28.428,20.000,28.529,28.161,29.562,30.769,4,20.000,1,24.260
MT151181,347,27.381,30.145,30.100,18.991,25.075,29.191,28.772,,4,18.991,5,25.075
MT151183,348,25.360,32.853,28.975,20.630,27.536,29.714,28.826,29.697,4,20.630,1,25.360
MT151184,349,25.444,31.366,26.421,17.714,27.811,28.977,28.467,29.586,4,17.714,1,25.444
MT151185,345,24.638,31.818,27.812,20.809,29.023,29.683,25.704,29.360,4,20.809,1,24.638
MT151190,345,25.145,31.402,29.283,20.809,28.161,28.818,26.545,28.116,4,20.809,1,25.145
MT151192,345,23.188,32.036,32.416,20.809,29.480,29.480,31.673,,4,20.809,1,23.188
MT151193,348,25.000,32.665,,21.203,28.530,29.060,31.317,30.814,4,21.203,1,25.000
MT151194,348,26.437,32.239,31.410,16.332,27.586,28.736,30.249,30.422,4,16.332,1,26.437
MT151196,348,25.287,32.386,30.887,21.714,29.565,28.205,,30.233,4,21.714,1,25.287
MT151198,349,26.036,31.250,26.421,18.571,26.765,27.299,30.292,30.178,4,18.571,1,26.036
MT151202,347,24.545,31.722,29.062,21.387,28.228,27.954,26.408,27.907,4,21.387,1,24.545
MT151203,348,25.575,30.255,29.097,20.344,27.628,,,27.964,4,20.344,1,25.575
MT151207,338,26.361,30.380,,22.000,28.242,31.054,28.261,27.711,4,22.000,1,26.361
MT151208,349,23.964,29.503,25.912,18.857,26.471,27.586,29.197,29.290,4,18.857,1,23.964
MT151209,348,25.575,32.353,29.283,22.286,26.801,27.350,26.408,27.907,4,22.286,1,25.575
MT151214,349,26.036,31.111,24.908,19.143,28.107,26.724,30.657,29.290,4,19.143,1,26.036
MT151215,347,26.036,30.218,25.912,18.625,28.402,26.667,30.657,29.290,4,18.625,1,26.036
MT151219,348,24.138,32.571,29.755,22.059,28.696,29.915,,29.819,4,22.059,1,24.138
MT151227,348,23.563,,32.121,20.649,29.091,29.345,,30.523,4,20.649,1,23.563
MT151230,348,24.138,32.102,32.209,22.063,29.855,29.345,32.028,29.787,4,22.063,1,24.138
MT151231,348,23.851,32.194,29.710,22.714,28.696,29.630,31.752,30.699,4,22.714,1,23.851
MT151232,348,22.989,32.258,32.714,21.490,29.275,29.345,31.317,,4,21.490,1,22.989
MT151233,348,26.074,30.539,28.309,20.798,26.506,29.310,29.537,31.503,4,20.798,1,26.074
MT151237,348,22.636,33.528,30.183,21.714,28.696,29.060,,,4,21.714,1,22.636
MT151239,347,24.928,33.238,32.923,23.410,29.023,28.986,29.870,29.683,4,23.410,1,24.928
MT151240,348,24.138,32.102,30.258,22.923,29.565,28.490,31.673,28.779,4,22.923,1,24.138
MT151245,348,24.069,31.778,31.288,22.063,28.902,29.060,,29.360,4,22.063,1,24.069
MT151248,348,24.355,33.528,31.402,22.647,30.725,29.630,,30.699,4,22.647,1,24.355
MT151250,348,23.669,30.476,30.769,17.765,26.269,29.226,27.798,29.179,4,17.765,1,23.669
MT151252,336,24.713,34.627,30.000,14.857,26.513,28.448,28.723,31.034,4,14.857,1,24.713
MT151253,348,22.571,32.353,32.416,20.882,29.395,29.060,,29.971,4,20.882,1,22.571
MT151257,348,22.989,,32.095,21.714,28.406,28.775,,30.233,4,21.714,1,22.989
MT151258,345,24.496,29.674,28.704,18.497,26.844,30.435,30.742,31.232,4,18.497,1,24.496
MT151259,348,23.851,,29.412,22.063,29.275,28.775,,29.651,4,22.063,1,23.851
MT151261,346,25.648,29.107,29.866,21.387,26.225,28.035,28.269,,4,21.387,1,25.648
MT151266,348,25.000,30.539,30.662,19.484,28.242,30.086,28.521,29.483,4,19.484,1,25.000
MT151268,348,25.000,33.429,33.437,21.829,30.303,28.775,,29.360,4,21.829,1,25.000
MT151270,348,25.000,34.848,31.173,16.332,29.429,31.609,31.560,32.229,4,16.332,1,25.000
MT151274,348,25.287,31.737,,21.714,27.826,29.060,27.817,28.198,4,21.714,1,25.287
MT151275,348,25.287,29.851,31.359,20.402,27.089,28.080,27.875,,4,20.402,1,25.287
MT151279,348,24.425,31.579,30.275,21.534,28.530,28.775,30.292,,4,21.534,1,24.425
MT151283,348,23.563,,31.595,16.272,28.698,29.598,29.078,31.268,4,16.272,1,23.563
MT151284,345,24.713,31.429,29.503,22.636,27.586,28.205,28.369,28.035,4,22.636,1,24.713
MT554099,,30.255,27.820,,2.041,24.427,,,28.877,4,2.041,1,30.255
PQ660830,635,30.973,34.347,30.222,11.244,27.927,34.427,37.303,34.968,4,11.244,1,30.973
PQ660837,635,30.469,34.320,30.748,11.319,28.169,32.998,35.086,32.254,4,11.319,1,30.469
PQ660839,635,30.027,34.413,30.748,11.169,28.068,34.159,34.429,34.499,4,11.169,1,30.027
PQ660840,635,29.982,34.264,30.889,11.544,28.912,32.926,34.828,32.653,4,11.544,1,29.982
PQ660847,635,30.292,34.198,31.030,11.394,28.912,32.863,35.000,34.381,4,11.394,1,30.292
PQ660848,635,30.292,34.291,30.932,11.019,28.780,32.964,35.000,34.601,4,11.019,1,30.292
PQ660852,635,28.787,35.294,34.544,12.444,28.511,33.401,34.605,34.875,4,12.444,1,28.787
PQ660856,635,30.558,34.694,30.324,11.319,28.117,34.402,34.575,34.473,4,11.319,1,30.558
PQ660857,635,30.115,34.198,30.932,11.094,29.045,33.065,35.000,34.566,4,11.094,1,30.115
PQ660859,635,30.027,35.009,31.210,12.144,29.032,32.692,34.516,34.566,4,12.144,1,30.027
MK252789,612,34.017,,32.709,29.043,30.148,30.413,33.793,33.502,4,29.043,6,30.413
MK252797,604,32.993,35.942,32.818,30.083,30.442,30.972,34.729,33.163,4,30.083,5,30.442
MK252810,602,32.313,,32.192,28.713,30.972,30.066,34.321,33.109,4,28.713,6,30.066
MK612039,636,29.303,32.558,31.915,11.976,28.147,31.989,34.575,32.372,4,11.976,1,29.303
MK799639,629,29.825,31.737,31.851,23.827,27.864,30.354,34.480,32.963,4,23.827,1,29.825
MK814770,428,24.021,31.787,30.445,18.415,25.882,28.852,28.169,27.603,4,18.415,1,24.021
MK814771,407,25.761,32.949,30.147,11.111,27.206,28.090,29.537,31.356,4,11.111,1,25.761
MK816411,559,27.715,32.222,31.515,20.357,27.860,29.945,33.635,30.826,4,20.357,5,27.860
LC773637,630,29.568,32.397,32.927,25.262,31.421,33.980,33.882,32.446,4,25.262,1,29.568
LC773638,621,27.152,35.140,32.322,28.327,30.455,28.321,32.977,29.770,4,28.327,1,27.152
LC773639,630,28.699,34.343,31.476,21.667,27.004,31.972,32.684,32.611,4,21.667,1,28.699
LC773640,630,28.869,32.236,29.255,20.410,27.298,31.696,35.049,33.584,4,20.410,1,28.869
MG000205,330,24.242,33.333,29.333,22.961,29.052,27.576,31.317,,4,22.961,1,24.242
MG000206,330,24.242,32.424,,21.752,29.664,29.730,,30.225,4,21.752,1,24.242
MG000207,329,24.620,33.333,,23.030,30.675,29.653,,31.190,4,23.030,1,24.620
MG000208,329,26.748,34.036,30.882,26.364,,31.546,,,4,26.364,1,26.748
MG000209,329,25.532,31.928,31.868,20.909,27.331,30.149,,28.981,4,20.909,1,25.532
MG000210,329,27.052,,32.103,25.758,31.902,32.132,,34.084,4,25.758,1,27.052
MG000211,330,24.242,34.234,,23.565,27.660,30.909,,,4,23.565,1,24.242
MG000212,330,24.848,,33.086,22.961,30.581,29.394,,31.193,4,22.961,1,24.848
MG000213,330,25.758,,32.353,25.076,29.969,30.330,32.740,,4,25.076,1,25.758
MG000214,330,23.030,33.934,31.683,22.054,27.052,28.788,31.673,30.606,4,22.054,1,23.030
MG000215,330,24.545,32.432,28.387,23.197,28.889,30.000,,,4,23.197,1,24.545
MG000216,330,26.061,,32.721,25.378,30.275,30.631,32.740,,4,25.378,1,26.061
MG000221,329,24.012,34.545,34.191,21.875,29.073,30.514,,,4,21.875,1,24.012
MG000222,330,24.545,32.831,29.520,22.659,30.699,30.892,,,4,22.659,1,24.545
MG000224,305,26.384,33.550,,25.000,30.375,29.870,,,4,25.000,1,26.384
MG000228,330,24.062,34.441,32.051,23.053,28.889,29.429,30.249,,4,23.053,1,24.062
MG000230,330,23.333,,,22.659,,29.450,,31.090,4,22.659,1,23.333
MG000231,330,24.545,,31.365,22.356,28.659,30.303,30.961,30.887,4,22.356,1,24.545
MG000232,330,24.848,34.139,32.107,23.364,30.887,,33.577,31.746,4,23.364,1,24.848
MG000233,329,26.140,,31.104,25.000,29.755,32.808,,32.770,4,25.000,1,26.140
MG000235,330,25.455,,32.667,22.741,29.969,29.841,30.686,,4,22.741,1,25.455
MG454773,637,29.656,32.385,31.638,12.874,27.723,32.553,34.892,33.765,4,12.874,1,29.656
MG454774,637,31.496,33.973,32.295,13.772,27.864,34.364,36.572,34.754,4,13.772,1,31.496
MG454777,637,30.709,35.761,31.549,10.778,28.289,33.333,34.987,33.549,4,10.778,1,30.709
MG454779,637,31.854,33.080,32.532,14.222,31.440,31.593,36.525,34.940,4,14.222,1,31.854
MG454780,628,30.294,34.540,34.557,25.132,30.297,32.717,35.148,34.597,4,25.132,1,30.294
MG454781,636,28.812,34.850,,12.051,27.864,32.620,34.662,32.747,4,12.051,1,28.812
MG454783,637,29.604,35.840,31.400,13.796,27.864,34.658,35.708,34.072,4,13.796,1,29.604
MG454791,627,28.913,33.949,33.994,22.498,28.612,33.144,35.714,33.030,4,22.498,1,28.913
MG454821,627,30.044,33.027,31.497,24.774,29.028,34.375,35.172,33.805,4,24.774,1,30.044
MG454850,636,30.009,34.675,32.249,11.910,27.542,33.333,35.518,33.549,4,11.910,1,30.009
MG454871,630,28.178,31.453,31.505,23.556,28.272,31.921,35.215,31.463,4,23.556,1,28.178
MG454872,630,26.763,31.053,30.567,23.481,27.706,31.662,32.964,30.361,4,23.481,1,26.763
MG454873,629,28.807,35.545,32.468,24.906,30.105,33.176,35.664,33.145,4,24.906,1,28.807
MG454912,637,30.439,33.469,31.825,13.398,27.401,32.822,35.976,34.877,4,13.398,1,30.439
MG454915,635,30.645,33.101,31.445,11.386,28.713,32.749,35.316,33.644,4,11.386,1,30.645
MG454938,630,27.255,32.923,30.889,23.423,28.272,30.907,33.939,32.455,4,23.423,1,27.255
MG454941,630,27.216,34.589,32.090,28.705,29.652,31.238,35.904,30.699,4,28.705,1,27.216
MG454947,636,29.886,33.653,32.295,12.500,28.289,33.519,35.128,32.963,4,12.500,1,29.886
MG454964,636,30.821,33.838,32.295,15.569,29.420,33.573,36.412,34.758,4,15.569,1,30.821
MG454973,635,30.496,33.926,32.203,11.536,27.966,33.272,34.853,33.395,4,11.536,1,30.496
MG454976,625,26.394,32.455,32.827,27.786,29.084,28.904,33.764,30.838,4,27.786,1,26.394
MG454981,630,30.135,32.329,33.767,24.793,28.551,32.026,36.557,34.036,4,24.793,1,30.135
MG454995,636,29.832,33.836,34.326,12.809,27.825,32.856,34.741,34.137,4,12.809,1,29.832
MG454998,631,29.047,33.425,31.445,11.805,27.440,31.767,34.767,33.457,4,11.805,1,29.047
MG455003,637,30.742,,31.303,13.174,27.864,33.950,35.795,33.056,4,13.174,1,30.742
MG455005,637,32.056,33.153,29.901,15.264,28.350,30.864,34.583,31.448,4,15.264,1,32.056
MG455008,635,31.322,36.108,32.436,12.584,29.661,33.672,35.969,34.360,4,12.584,1,31.322
MG455023,630,28.128,30.802,31.831,23.388,28.010,31.569,33.427,31.243,4,23.388,1,28.128
MG455029,630,26.369,33.153,30.332,26.869,29.154,30.605,34.807,30.977,4,26.869,1,26.369
MG455034,630,27.352,31.550,31.259,23.441,28.378,31.437,34.587,30.971,4,23.441,1,27.352
MG455041,636,30.250,33.470,30.932,11.685,27.542,33.333,34.760,33.581,4,11.685,1,30.250
MG455044,637,30.619,34.066,31.400,12.799,28.713,32.107,35.677,34.726,4,12.799,1,30.619
MG455049,636,29.521,,34.140,10.861,27.581,31.971,33.739,33.881,4,10.861,1,29.521
MG455057,635,32.358,,36.204,14.831,30.552,35.115,36.957,35.714,4,14.831,1,32.358
MG455059,636,29.756,,33.767,12.060,28.713,32.932,34.983,33.892,4,12.060,1,29.756
MG455060,630,27.522,31.083,31.549,24.213,28.222,31.981,33.566,31.707,4,24.213,1,27.522
MG455062,637,29.921,32.923,33.953,11.901,28.006,32.440,34.605,33.209,4,11.901,1,29.921
MG455065,614,28.404,35.626,32.766,20.962,28.693,32.007,34.783,31.930,4,20.962,1,28.404
MG455066,639,30.389,33.789,,13.144,28.769,34.286,35.126,34.569,4,13.144,1,30.389
MG455075,630,29.902,32.740,32.118,24.249,26.648,31.856,33.609,33.266,4,24.249,1,29.902
MG455087,636,31.593,,,14.007,29.379,34.013,35.532,34.907,4,14.007,1,31.593
