Accession,ClosestSubtypeAlignedNT,AssignedGenotype,Subtype4aDistance,Subtype4bDistance,Subtype4cDistance,Subtype4dDistance,Subtype4dDistance,Subtype4fDistance,Subtype4fDistance,Subtype4gDistance,Subtype4kDistance,Subtype4kDistance,Subtype4lDistance,Subtype4mDistance,Subtype4nDistance,Subtype4oDistance,Subtype4pDistance,Subtype4qDistance,Subtype4rDistance,Subtype4sDistance,Subtype4tDistance,Subtype4vDistance,Subtype4vDistance,Subtype4wDistance,Subtype4wDistance,FirstChoiceSubtype,FirstChoiceDistance,SecondChoiceSubtype,SecondChoiceDistance
MW205386,603,4,14.858,20.598,8.624,18.242,18.242,18.574,18.574,21.927,18.500,18.500,17.766,19.900,17.579,19.071,19.071,15.781,22.487,20.398,18.905,16.086,16.086,20.598,20.598,4c,8.624,4a,14.858
MW205387,612,4,14.052,20.131,7.026,17.157,17.157,19.771,19.771,19.739,18.555,18.555,15.526,18.464,16.830,17.647,18.301,15.712,20.949,20.261,17.484,14.869,14.869,20.033,20.033,4c,7.026,4a,14.052
MW205388,606,4,14.686,20.331,8.251,17.162,17.162,19.802,19.802,19.440,17.579,17.579,16.835,19.472,17.327,18.152,17.987,14.876,21.186,20.792,17.327,14.851,14.851,21.653,21.653,4c,8.251,4q,14.876
MW205389,573,4,17.431,22.552,11.169,19.197,19.197,21.815,21.815,22.513,20.426,20.426,20.143,21.990,20.244,20.244,20.942,19.406,23.160,23.560,20.593,17.801,17.801,23.211,23.211,4c,11.169,4v,17.801
MW205390,612,4,15.033,22.259,11.601,19.118,19.118,19.771,19.771,21.569,18.883,18.883,18.364,19.935,17.974,19.444,19.444,17.021,22.913,22.386,20.425,17.320,17.320,21.440,21.440,4c,11.601,4a,15.033
MW205391,612,4,21.732,22.386,17.974,19.444,19.444,20.752,20.752,21.604,20.724,20.724,18.687,20.098,17.810,18.627,15.196,16.203,21.812,20.261,10.294,16.013,16.013,22.422,22.422,4t,10.294,4p,15.196
MW205392,600,4,23.500,23.960,22.705,21.202,21.202,22.371,22.371,20.000,17.888,17.888,21.124,22.871,22.705,22.871,22.037,21.333,10.333,25.209,22.317,21.536,21.536,23.706,23.706,4r,10.333,4k,17.888
MW205393,606,4,21.875,22.405,20.165,20.792,20.792,21.122,21.122,18.317,15.993,15.993,19.562,22.149,20.627,21.653,20.132,19.605,9.406,23.597,21.549,19.472,19.472,21.122,21.122,4r,9.406,4k,15.993
MW205394,612,4,23.817,23.328,22.095,20.622,20.622,23.077,23.077,19.281,17.529,17.529,20.911,23.241,23.568,23.732,22.913,21.242,11.438,24.789,23.205,21.277,21.277,22.549,22.549,4r,11.438,4k,17.529
MW205395,611,4,23.856,23.039,21.895,21.078,21.078,22.386,22.386,20.622,18.197,18.197,19.398,22.549,22.876,21.569,20.261,20.458,9.329,23.039,20.425,19.118,19.118,21.732,21.732,4r,9.329,4k,18.197
MW205396,619,4,23.387,24.071,21.661,20.129,20.129,21.095,21.095,19.063,20.259,20.259,21.346,22.705,21.774,22.669,21.095,21.971,19.709,22.705,22.544,20.290,20.290,22.258,22.258,4g,19.063,4r,19.709
MW205397,610,4,22.750,24.178,20.492,18.197,18.197,21.148,21.148,18.852,18.719,18.719,17.845,21.875,21.875,21.346,20.328,19.508,19.344,21.346,19.737,19.672,19.672,21.711,21.711,4d,18.197,4l,17.845
MW205398,610,4,23.732,22.824,21.803,20.164,20.164,20.492,20.492,19.672,19.767,19.767,19.529,21.875,21.382,23.191,21.311,19.016,19.180,23.810,20.888,18.197,18.197,21.839,21.839,4v,18.197,4q,19.016
MW205399,615,4,22.940,22.654,20.915,19.287,19.287,20.746,20.746,16.181,10.407,10.407,18.667,21.232,19.256,20.555,19.611,20.261,19.417,21.521,21.277,20.259,20.259,20.908,20.908,4k,10.407,4g,16.181
MW205400,615,4,24.110,22.876,21.405,19.804,19.804,20.458,20.458,18.932,13.333,13.333,19.333,23.825,20.388,22.222,21.556,20.752,21.036,23.529,21.604,21.683,21.683,23.241,23.241,4k,13.333,4g,18.932
MW205401,615,4,24.473,21.217,20.328,19.016,19.016,19.672,19.672,16.071,9.106,9.106,18.865,21.824,19.381,20.230,18.506,17.705,18.937,20.202,19.243,18.801,18.801,21.053,21.053,4k,9.106,4g,16.071
MW205402,615,4,24.311,22.638,21.113,19.968,19.968,21.753,21.753,18.344,10.569,10.569,20.333,21.336,17.561,22.003,20.292,20.164,20.100,22.602,20.395,21.266,21.266,22.476,22.476,4k,10.569,4n,17.561
MW205403,603,4,22.442,21.262,19.669,17.550,17.550,21.358,21.358,16.391,7.960,7.960,18.151,20.266,18.242,20.232,19.040,18.046,20.033,21.259,18.272,18.377,18.377,20.930,20.930,4k,7.960,4g,16.391
MW205404,603,4,22.112,20.826,20.428,18.482,18.482,18.977,18.977,16.033,9.287,9.287,17.983,20.297,19.275,21.087,17.987,18.843,19.459,21.582,20.132,19.769,19.769,19.835,19.835,4k,9.287,4g,16.033
MW205405,622,4,21.865,22.742,19.870,18.810,18.810,9.325,9.325,22.061,21.683,21.683,20.034,19.293,21.095,20.767,21.061,18.985,23.306,20.129,21.895,19.453,19.453,20.934,20.934,4f,9.325,4d,18.810
MW205406,464,4,19.742,22.343,16.595,16.810,16.810,18.502,18.502,19.355,19.205,19.205,19.048,18.966,7.974,18.655,19.604,15.086,20.530,19.612,16.520,14.957,14.957,21.041,21.041,4n,7.974,4v,14.957
MW205407,461,4,19.523,20.961,16.558,15.835,15.835,18.655,18.655,20.824,18.777,18.777,16.993,17.787,6.941,17.249,18.404,13.232,21.041,18.655,15.521,14.935,14.935,20.087,20.087,4n,6.941,4q,13.232
MW205408,464,4,19.099,21.041,17.241,16.810,16.810,19.397,19.397,20.659,18.696,18.696,17.316,17.888,7.112,18.062,17.241,13.362,21.598,20.690,17.241,14.624,14.624,20.390,20.390,4n,7.112,4q,13.362
MW205409,466,4,20.128,21.336,17.634,18.240,18.240,21.145,21.145,21.030,19.205,19.205,19.222,18.502,9.442,18.655,18.884,15.880,22.296,20.386,17.982,14.894,14.894,22.944,22.944,4n,9.442,4v,14.894
MW205410,461,4,20.824,21.179,18.301,19.089,19.089,19.956,19.956,21.909,19.822,19.822,18.736,19.089,9.328,18.341,20.177,15.835,23.060,20.824,18.404,16.989,16.989,21.397,21.397,4n,9.328,4q,15.835
MW205411,460,4,18.954,20.306,16.100,16.739,16.739,19.348,19.348,20.133,17.249,17.249,16.558,16.304,8.043,19.069,17.686,15.652,19.869,17.467,17.467,15.000,15.000,20.087,20.087,4n,8.043,4v,15.000
MW205412,461,4,17.354,20.742,13.508,16.703,16.703,19.957,19.957,19.512,18.655,18.655,15.686,17.570,9.111,17.517,17.354,13.232,21.475,19.957,16.703,14.069,14.069,20.524,20.524,4n,9.111,4q,13.232
MW205413,461,4,19.089,23.144,17.865,17.570,17.570,18.655,18.655,20.575,17.904,17.904,18.519,18.438,8.894,18.847,19.523,17.354,20.390,19.957,19.306,17.100,17.100,20.087,20.087,4n,8.894,4v,17.100
MW205414,464,4,21.030,23.427,19.397,20.474,20.474,21.336,21.336,21.935,21.166,21.166,20.563,18.534,10.776,21.041,20.474,18.534,22.894,21.983,19.828,18.495,18.495,22.993,22.993,4n,10.776,4v,18.495
MW205416,417,4,29.976,30.288,27.317,26.619,26.619,31.894,31.894,30.238,29.017,29.017,27.970,28.846,29.736,28.883,26.277,29.268,31.010,30.048,29.756,29.512,29.512,31.971,31.971,4d,26.619,4p,26.277
MZ327752,630,4,20.317,20.194,18.254,5.556,5.556,18.413,18.413,20.317,18.269,18.269,15.909,17.880,18.095,17.065,17.619,13.672,20.668,18.413,18.730,14.762,14.762,20.255,20.255,4d,5.556,4q,13.672
ON506754,596,4,20.736,19.478,18.593,4.698,4.698,20.101,20.101,21.237,20.273,20.273,17.311,18.512,17.923,17.003,17.420,13.926,21.391,19.128,17.993,14.933,14.933,21.259,21.259,4d,4.698,4q,13.926
ON506757,603,4,11.443,20.742,13.621,18.272,18.272,18.937,18.937,20.724,21.026,21.026,16.000,18.946,17.608,16.694,17.667,17.617,23.588,18.792,19.601,16.252,16.252,22.371,22.371,4a,11.443,4c,13.621
ON506759,572,4,11.713,20.641,13.811,18.357,18.357,19.580,19.580,21.466,21.441,21.441,16.316,20.455,18.357,17.926,18.357,18.007,22.902,19.930,19.406,16.782,16.782,21.617,21.617,4a,11.713,4c,13.811
ON506778,558,4,12.545,20.111,13.975,17.967,17.967,20.145,20.145,22.645,21.715,21.715,17.668,19.928,18.693,18.066,19.056,17.604,23.230,18.340,19.964,16.697,16.697,22.628,22.628,4a,12.545,4c,13.975
ON506781,574,4,10.801,19.499,13.380,17.606,17.606,19.435,19.435,21.869,21.062,21.062,15.548,19.014,17.958,17.168,18.134,16.901,22.359,19.014,19.542,15.559,15.559,20.708,20.708,4a,10.801,4c,13.380
ON506793,570,4,19.825,19.258,17.926,4.737,4.737,18.805,18.805,21.053,18.021,18.021,17.637,17.926,17.750,17.138,17.223,14.587,21.090,18.453,17.750,15.114,15.114,19.611,19.611,4d,4.737,4q,14.587
ON506796,608,4,11.513,19.667,12.126,16.777,16.777,19.767,19.767,20.984,20.462,20.462,15.833,18.914,18.106,17.362,18.500,15.781,22.924,19.408,19.767,16.252,16.252,21.703,21.703,4a,11.513,4c,12.126
ON506799,582,4,19.588,18.512,17.556,4.811,4.811,18.417,18.417,21.134,19.790,19.790,16.753,18.244,17.384,16.955,17.556,13.081,21.891,18.761,18.589,14.458,14.458,20.665,20.665,4d,4.811,4q,13.081
ON506801,612,4,10.621,19.966,13.388,18.017,18.017,19.008,19.008,20.758,20.764,20.764,16.584,19.008,18.182,16.611,17.833,17.686,22.645,18.678,19.174,16.694,16.694,20.764,20.764,4a,10.621,4c,13.388
ON506808,602,4,20.564,18.166,18.605,5.482,5.482,18.605,18.605,20.730,19.199,19.199,15.667,19.103,18.272,18.197,18.167,14.618,21.429,19.237,18.106,14.784,14.784,20.500,20.500,4d,5.482,4q,14.618
ON506817,611,4,20.261,19.572,17.512,5.565,5.565,18.331,18.331,20.098,18.136,18.136,15.764,17.185,17.676,17.434,16.203,14.403,20.133,19.149,17.676,13.912,13.912,19.767,19.767,4d,5.565,4v,13.912
ON506818,612,4,12.745,20.000,13.554,18.347,18.347,19.174,19.174,21.217,19.868,19.868,17.413,19.275,18.017,17.940,17.833,17.521,22.975,19.174,20.000,17.185,17.185,21.262,21.262,4a,12.745,4c,13.554
ON506819,575,4,20.139,18.007,17.913,4.348,4.348,18.609,18.609,20.660,19.115,19.115,16.405,18.435,17.739,16.958,16.522,13.391,20.885,19.304,18.087,15.478,15.478,20.177,20.177,4d,4.348,4q,13.391
MT863944,281,4,21.223,20.641,17.082,4.982,4.982,17.314,17.314,21.352,17.438,17.438,16.370,19.217,17.082,16.370,17.794,14.591,20.285,19.929,19.573,16.370,16.370,19.217,19.217,4d,4.982,4q,14.591
MT863950,281,4,21.223,20.641,17.082,4.982,4.982,17.314,17.314,21.352,17.438,17.438,16.370,19.217,17.082,16.370,17.794,14.591,20.285,19.929,19.573,16.370,16.370,19.217,19.217,4d,4.982,4q,14.591
MT863951,281,4,21.942,19.217,18.861,6.406,6.406,18.861,18.861,21.908,18.861,18.861,16.726,20.285,17.794,18.861,16.370,16.014,20.996,20.641,19.217,18.440,18.440,20.285,20.285,4d,6.406,4q,16.014
MT863952,281,4,21.223,20.641,17.082,4.982,4.982,17.314,17.314,21.352,17.438,17.438,16.370,19.217,17.082,16.370,17.794,14.591,20.285,19.929,19.573,16.370,16.370,19.217,19.217,4d,4.982,4q,14.591
MT863953,278,4,20.504,21.352,16.726,5.755,5.755,18.861,18.861,21.986,15.302,15.302,16.014,18.505,17.082,15.302,18.149,13.167,20.285,18.505,18.149,16.014,16.014,20.285,20.285,4d,5.755,4q,13.167
MT863956,281,4,21.223,20.641,17.082,4.982,4.982,17.314,17.314,21.352,17.438,17.438,16.370,19.217,17.082,16.370,17.794,14.591,20.285,19.929,19.573,16.370,16.370,19.217,19.217,4d,4.982,4q,14.591
MT863957,281,4,21.612,18.861,18.505,4.626,4.626,18.505,18.505,20.755,16.726,16.726,16.370,18.149,17.438,17.438,17.082,15.658,20.285,17.794,17.438,16.014,16.014,18.505,18.505,4d,4.626,4q,15.658
MT863964,281,4,22.302,20.641,18.149,5.338,5.338,18.861,18.861,21.631,17.438,17.438,17.438,20.285,18.149,17.082,17.082,14.947,20.641,20.996,18.149,16.370,16.370,19.573,19.573,4d,5.338,4q,14.947
MT863965,281,4,21.223,19.929,17.794,3.559,3.559,18.149,18.149,22.695,16.370,16.370,16.014,18.505,17.438,16.014,17.082,13.879,19.573,18.861,18.149,16.370,16.370,20.285,20.285,4d,3.559,4q,13.879
MT863968,281,4,21.223,20.641,17.082,4.982,4.982,17.314,17.314,21.352,17.438,17.438,16.370,19.217,17.082,16.370,17.794,14.591,20.285,19.929,19.573,16.370,16.370,19.217,19.217,4d,4.982,4q,14.591
MT863969,281,4,21.583,20.996,17.438,5.338,5.338,17.668,17.668,21.708,17.794,17.794,16.726,19.573,17.438,16.726,18.149,14.947,20.641,20.285,19.929,16.726,16.726,19.573,19.573,4d,5.338,4q,14.947
MT863974,281,4,21.223,20.641,17.082,4.982,4.982,17.314,17.314,21.352,17.438,17.438,16.370,19.217,17.082,16.370,17.794,14.591,20.285,19.929,19.573,16.370,16.370,19.217,19.217,4d,4.982,4q,14.591
MT863975,281,4,20.863,18.861,17.794,3.915,3.915,18.149,18.149,22.340,18.149,18.149,16.370,20.285,16.726,17.082,16.370,14.947,20.641,20.285,17.438,16.370,16.370,19.573,19.573,4d,3.915,4q,14.947
MT863986,281,4,20.430,19.217,16.726,4.626,4.626,19.573,19.573,20.567,16.370,16.370,15.302,19.217,17.438,15.658,16.370,13.167,19.217,18.861,16.370,14.591,14.591,19.573,19.573,4d,4.626,4q,13.167
MT863987,281,4,21.091,19.424,15.827,6.050,6.050,17.626,17.626,20.789,17.626,17.626,13.669,18.345,17.626,15.468,15.827,12.230,18.705,19.424,15.827,13.669,13.669,18.705,18.705,4d,6.050,4q,12.230
MT893907,417,4,20.588,21.981,19.904,18.945,18.945,20.192,20.192,18.705,17.026,17.026,19.565,20.384,21.343,21.014,18.473,18.465,6.475,23.501,19.410,17.986,17.986,21.792,21.792,4r,6.475,4k,17.026
MT893908,405,4,15.311,19.518,9.136,16.547,16.547,19.231,19.231,22.302,19.298,19.298,14.493,18.225,17.026,16.667,16.827,16.307,19.902,20.384,18.225,14.388,14.388,19.458,19.458,4c,9.136,4v,14.388
MT893909,405,4,15.550,19.277,9.383,16.307,16.307,19.231,19.231,21.823,18.797,18.797,14.493,18.225,17.266,16.425,17.067,16.547,19.902,20.384,17.986,14.628,14.628,19.458,19.458,4c,9.383,4l,14.493
MT893910,425,4,21.698,22.059,19.268,16.462,16.462,19.608,19.608,18.632,7.059,7.059,19.128,20.853,16.908,19.431,19.905,17.690,16.548,20.098,18.118,19.370,19.370,20.393,20.393,4k,7.059,4r,16.548
MT893911,414,4,21.550,22.277,18.939,18.116,18.116,20.581,20.581,19.082,16.425,16.425,19.802,20.048,20.290,20.844,20.531,19.807,6.522,22.525,19.324,17.822,17.822,21.655,21.655,4r,6.522,4k,16.425
MT893912,417,4,14.216,18.795,7.914,16.547,16.547,18.510,18.510,21.770,19.424,19.424,14.010,18.705,15.827,17.150,16.827,14.388,19.664,17.986,16.462,13.669,13.669,19.370,19.370,4c,7.914,4v,13.669
MT893913,411,4,19.652,21.569,20.681,18.248,18.248,20.925,20.925,20.195,16.912,16.912,19.165,19.756,21.168,20.343,21.000,19.756,8.273,23.844,18.750,18.978,18.978,22.943,22.943,4r,8.273,4k,16.912
MT893914,411,4,21.845,21.446,20.102,19.951,19.951,21.602,21.602,21.168,17.892,17.892,21.078,20.732,23.192,21.197,20.976,20.000,10.706,25.061,21.951,19.175,19.175,25.735,25.735,4r,10.706,4k,17.892
MW531222,636,4,3.459,20.645,10.440,17.170,17.170,19.237,19.237,19.516,18.910,18.910,15.909,19.555,16.852,17.093,16.216,16.190,22.540,20.679,17.965,16.508,16.508,21.725,21.725,4a,3.459,4c,10.440
ON630870,630,4,19.365,18.850,17.143,4.921,4.921,17.460,17.460,21.519,18.831,18.831,16.396,17.937,17.302,15.898,16.825,13.355,20.517,19.206,18.571,14.286,14.286,19.516,19.516,4d,4.921,4q,13.355
ON630871,630,4,19.841,19.808,17.778,5.238,5.238,19.048,19.048,20.602,18.669,18.669,16.234,17.619,17.302,15.949,17.302,13.831,21.163,18.889,17.778,14.127,14.127,21.325,21.325,4d,5.238,4q,13.831
ON630872,630,4,19.524,19.010,16.508,4.603,4.603,18.413,18.413,19.683,18.476,18.476,15.584,18.095,17.143,15.949,17.302,12.560,21.002,18.730,18.413,13.492,13.492,20.000,20.000,4d,4.603,4q,12.560
ON630873,630,4,18.889,19.169,17.619,4.444,4.444,18.254,18.254,20.476,18.506,18.506,16.071,17.619,17.143,15.949,16.190,13.355,20.840,18.413,17.778,13.968,13.968,19.677,19.677,4d,4.444,4q,13.355
ON630874,630,4,19.048,18.690,17.778,4.762,4.762,18.254,18.254,20.000,18.831,18.831,15.584,18.571,17.143,15.949,16.667,12.878,20.517,18.413,17.460,13.492,13.492,19.355,19.355,4d,4.762,4q,12.878
ON630875,630,4,18.889,18.530,17.143,4.921,4.921,18.413,18.413,20.635,18.506,18.506,15.422,17.143,17.302,15.630,16.799,12.719,21.002,19.048,17.460,13.175,13.175,19.516,19.516,4d,4.921,4q,12.719
ON630876,630,4,19.048,19.808,17.619,5.238,5.238,18.413,18.413,20.668,18.669,18.669,16.396,17.619,17.937,16.268,16.984,13.672,20.840,19.206,17.937,14.286,14.286,19.839,19.839,4d,5.238,4q,13.672
ON630877,630,4,18.413,19.649,17.460,5.079,5.079,18.254,18.254,20.159,18.344,18.344,15.909,17.460,17.302,16.108,16.190,13.514,20.355,19.365,17.460,13.810,13.810,19.839,19.839,4d,5.079,4q,13.514
ON630878,630,4,18.571,19.489,17.302,5.238,5.238,18.413,18.413,20.317,18.506,18.506,15.747,17.302,17.143,16.268,16.349,13.672,20.355,19.206,17.302,13.968,13.968,19.677,19.677,4d,5.238,4q,13.672
ON630879,630,4,19.524,19.010,17.778,4.127,4.127,18.413,18.413,20.952,18.182,18.182,15.747,17.619,16.825,16.108,16.825,13.196,20.840,19.048,17.619,14.286,14.286,20.323,20.323,4d,4.127,4q,13.196
ON630880,630,4,19.048,18.690,17.143,4.286,4.286,17.460,17.460,20.476,18.019,18.019,15.260,17.460,16.825,15.630,16.349,12.719,20.032,17.937,17.619,13.175,13.175,19.516,19.516,4d,4.286,4q,12.719
ON630881,630,4,19.683,19.329,17.619,4.444,4.444,18.254,18.254,20.952,18.019,18.019,15.909,17.460,16.984,16.108,16.825,13.037,20.840,18.413,17.778,13.492,13.492,20.323,20.323,4d,4.444,4q,13.037
ON630882,630,4,18.571,18.690,16.825,4.127,4.127,17.619,17.619,19.365,17.695,17.695,14.773,16.349,16.349,15.311,16.190,12.560,20.517,18.413,16.984,12.857,12.857,19.355,19.355,4d,4.127,4q,12.560
ON630883,630,4,19.365,19.386,17.152,4.127,4.127,18.730,18.730,20.161,18.459,18.459,15.584,17.302,17.460,15.949,17.143,13.831,20.986,17.903,17.937,13.968,13.968,20.415,20.415,4d,4.127,4q,13.831
ON630884,630,4,19.048,19.010,17.619,4.603,4.603,18.413,18.413,19.683,17.857,17.857,15.909,18.095,17.143,15.789,16.190,13.514,20.355,19.048,17.460,14.127,14.127,19.871,19.871,4d,4.603,4q,13.514
ON630885,630,4,18.254,19.489,17.619,5.238,5.238,18.730,18.730,20.191,17.208,17.208,15.747,16.984,17.302,15.789,16.667,13.355,20.355,18.730,17.143,13.968,13.968,19.032,19.032,4d,5.238,4q,13.355
ON630886,630,4,18.889,19.329,17.460,5.238,5.238,18.254,18.254,20.317,18.831,18.831,15.422,17.937,17.143,16.268,16.190,13.037,20.679,18.889,17.302,13.810,13.810,20.323,20.323,4d,5.238,4q,13.037
ON630887,630,4,19.048,19.489,17.937,5.397,5.397,18.413,18.413,20.159,18.669,18.669,15.909,17.619,17.143,16.108,16.508,13.990,21.002,19.683,18.254,14.127,14.127,20.161,20.161,4d,5.397,4q,13.990
ON630888,630,4,18.889,19.329,17.778,5.397,5.397,18.254,18.254,20.000,18.344,18.344,16.234,18.095,17.460,16.108,16.667,13.831,21.002,18.889,17.460,13.810,13.810,20.000,20.000,4d,5.397,4q,13.831
ON630889,630,4,18.730,18.530,17.143,4.762,4.762,18.413,18.413,19.841,17.370,17.370,15.422,16.984,16.667,15.630,15.714,12.719,20.194,18.571,16.508,13.333,13.333,18.710,18.710,4d,4.762,4q,12.719
ON630890,630,4,19.365,19.649,17.937,5.397,5.397,18.571,18.571,19.841,18.506,18.506,15.584,17.460,17.302,15.789,16.508,13.990,20.517,19.365,18.254,13.651,13.651,20.323,20.323,4d,5.397,4v,13.651
ON630891,630,4,18.730,19.329,17.460,4.603,4.603,18.254,18.254,20.635,18.344,18.344,15.909,17.778,17.302,16.108,16.349,13.514,21.002,18.254,17.619,14.127,14.127,19.677,19.677,4d,4.603,4q,13.514
ON630892,630,4,19.683,19.329,17.778,5.079,5.079,17.619,17.619,21.587,18.831,18.831,16.558,18.254,16.825,16.906,17.143,13.196,20.517,18.889,18.571,14.444,14.444,20.161,20.161,4d,5.079,4q,13.196
ON630893,630,4,18.730,19.010,17.302,5.238,5.238,17.778,17.778,20.952,18.182,18.182,15.747,17.460,17.143,15.311,16.508,12.083,19.871,18.413,18.413,13.968,13.968,19.677,19.677,4d,5.238,4q,12.083
ON630894,630,4,19.048,19.489,17.619,5.238,5.238,18.413,18.413,19.841,18.344,18.344,15.584,17.619,16.825,15.789,16.825,13.831,21.002,19.524,17.937,14.127,14.127,20.323,20.323,4d,5.238,4q,13.831
ON630895,630,4,20.476,18.578,17.937,5.397,5.397,18.095,18.095,21.429,19.583,19.583,15.584,18.413,17.619,18.341,16.825,13.672,21.622,18.889,18.571,14.286,14.286,20.574,20.574,4d,5.397,4q,13.672
ON630896,630,4,19.206,19.329,17.302,5.079,5.079,18.413,18.413,20.317,18.506,18.506,15.747,18.254,18.571,16.268,17.302,13.355,20.840,19.524,18.254,14.286,14.286,20.484,20.484,4d,5.079,4q,13.355
ON630897,630,4,18.889,19.489,17.619,4.603,4.603,18.571,18.571,20.476,18.019,18.019,15.747,17.778,17.460,15.630,16.825,13.355,20.645,18.571,17.460,13.968,13.968,19.163,19.163,4d,4.603,4q,13.355
ON630898,630,4,19.206,19.169,17.937,5.397,5.397,17.302,17.302,19.683,18.344,18.344,16.558,17.460,17.460,15.949,16.825,13.037,20.679,19.048,16.984,14.127,14.127,18.548,18.548,4d,5.397,4q,13.037
ON630899,630,4,18.730,19.010,17.460,4.286,4.286,18.095,18.095,20.317,18.344,18.344,15.909,17.460,16.984,15.789,16.190,13.196,20.679,18.254,17.778,13.810,13.810,19.516,19.516,4d,4.286,4q,13.196
ON630900,630,4,19.048,19.808,18.413,4.921,4.921,19.206,19.206,20.794,18.344,18.344,16.071,18.413,18.254,16.108,17.460,14.467,21.002,19.524,17.460,14.444,14.444,20.484,20.484,4d,4.921,4q,14.467
MW629118,636,4,11.321,19.871,12.540,17.778,17.778,19.683,19.683,21.622,19.904,19.904,15.584,18.413,17.302,16.587,17.937,16.852,23.290,19.524,18.730,15.723,15.723,21.086,21.086,4a,11.321,4c,12.540
MW675797,630,4,19.683,19.649,17.937,4.603,4.603,18.413,18.413,20.794,18.344,18.344,16.071,17.302,16.984,16.108,17.302,13.990,21.163,19.206,19.048,13.968,13.968,20.806,20.806,4d,4.603,4q,13.990
MW675798,630,4,19.683,19.649,17.937,4.762,4.762,18.413,18.413,20.952,18.506,18.506,16.071,17.460,16.825,16.268,17.460,13.990,21.002,19.206,19.048,13.968,13.968,20.645,20.645,4d,4.762,4q,13.990
MW675799,630,4,19.683,19.649,17.937,4.603,4.603,18.413,18.413,20.794,18.344,18.344,16.071,17.302,16.984,16.108,17.302,13.990,21.163,19.206,19.048,13.968,13.968,20.806,20.806,4d,4.603,4q,13.990
MW675800,630,4,19.683,19.489,17.937,4.603,4.603,18.413,18.413,20.794,18.344,18.344,15.909,17.302,16.984,16.268,17.302,13.831,20.840,19.048,18.889,13.810,13.810,20.484,20.484,4d,4.603,4q,13.831
MN641959,309,4,19.614,19.064,16.835,4.854,4.854,18.006,18.006,21.405,17.974,17.974,17.590,19.094,17.152,16.993,17.476,14.887,21.359,18.729,18.770,16.879,16.879,19.608,19.608,4d,4.854,4q,14.887
MN641960,309,4,19.293,18.729,16.498,4.531,4.531,17.685,17.685,21.070,17.647,17.647,17.264,18.770,16.828,16.667,17.152,14.563,21.036,19.064,18.447,16.561,16.561,19.281,19.281,4d,4.531,4q,14.563
