Accession,ClosestSubtypeAlignedNT,AssignedGenotype,Subtype6aDistance,Subtype6aDistance,Subtype6bDistance,Subtype6cDistance,Subtype6dDistance,Subtype6eDistance,Subtype6fDistance,Subtype6gDistance,Subtype6hDistance,Subtype6iDistance,Subtype6jDistance,Subtype6kDistance,Subtype6lDistance,Subtype6mDistance,Subtype6nDistance,Subtype6nDistance,Subtype6oDistance,Subtype6pDistance,Subtype6qDistance,Subtype6rDistance,Subtype6sDistance,Subtype6tDistance,Subtype6tDistance,Subtype6uDistance,Subtype6vDistance,Subtype6vDistance,Subtype6wDistance,Subtype6wDistance,Subtype6xaDistance,Subtype6xaDistance,Subtype6xbDistance,Subtype6xbDistance,Subtype6xcDistance,Subtype6xdDistance,Subtype6xdDistance,Subtype6xeDistance,Subtype6xeDistance,Subtype6xfDistance,Subtype6xfDistance,Subtype6xgDistance,Subtype6xgDistance,Subtype6xhDistance,Subtype6xiDistance,Subtype6xiDistance,Subtype6xjDistance,FirstChoiceSubtype,FirstChoiceDistance,SecondChoiceSubtype,SecondChoiceDistance
MK327996,1892,6,23.613,23.613,24.604,22.650,23.113,24.433,24.023,24.828,24.683,24.987,25.820,24.169,25.793,25.000,24.049,24.049,24.262,23.247,24.162,24.881,24.921,22.674,22.674,24.840,24.207,24.207,24.393,24.393,26.057,26.057,24.934,24.934,25.000,23.719,23.719,25.000,25.000,25.145,25.145,24.538,24.538,16.173,24.471,24.471,24.789,6xh,16.173,6t,22.674
MK327997,1893,6,24.749,24.749,24.921,24.453,24.340,25.409,23.837,19.176,25.502,24.934,26.133,25.132,24.433,25.554,24.987,24.987,24.353,24.460,25.398,24.142,24.749,25.410,25.410,25.607,26.435,26.435,25.198,25.198,25.092,25.092,25.529,25.529,25.475,25.621,25.621,25.092,25.092,24.789,24.789,25.594,25.594,24.815,25.304,25.304,26.227,6g,19.176,6f,23.837
MK327998,1894,6,25.449,25.449,25.383,22.927,23.171,24.194,24.076,21.225,24.618,25.304,24.684,24.324,25.502,24.038,24.446,24.446,24.049,24.287,23.860,22.598,25.013,23.171,23.171,23.812,24.895,24.895,23.825,23.825,25.646,25.646,25.689,25.689,25.360,24.287,24.287,25.238,25.238,24.194,24.194,25.119,25.119,24.446,24.430,24.430,26.505,6g,21.225,6r,22.598
MK327999,1893,6,25.554,25.554,25.422,23.418,24.129,24.340,25.791,21.553,26.016,26.296,26.793,26.202,26.241,26.041,24.921,24.921,24.710,24.684,25.409,23.827,24.234,24.116,24.116,24.364,25.897,25.897,24.354,24.354,26.066,26.066,25.290,25.290,24.921,25.303,25.303,25.251,25.251,24.974,24.974,25.251,25.251,24.750,26.202,26.202,26.610,6g,21.553,6c,23.418
MK328000,1893,6,24.353,24.353,23.865,23.567,23.825,25.621,24.063,17.063,25.370,25.740,26.034,25.198,24.828,25.633,25.145,25.145,23.772,24.063,25.990,25.092,23.748,24.524,24.524,25.040,25.304,25.304,24.406,24.406,25.132,25.132,25.607,25.607,24.670,23.666,23.666,25.938,25.938,24.670,24.670,26.360,26.360,23.734,25.621,25.621,25.791,6g,17.063,6xd,23.666
MK328001,1892,6,23.732,23.732,23.085,23.838,22.516,24.524,23.483,25.224,25.370,25.476,25.981,24.774,25.185,25.383,23.244,23.244,23.719,23.126,23.573,23.772,23.966,23.877,23.877,23.203,24.523,24.523,24.406,24.406,24.789,24.789,25.674,25.674,23.626,22.939,22.939,24.353,24.353,24.194,24.194,24.300,24.300,24.683,24.313,24.313,25.145,6d,22.516,6xd,22.939
MK328002,1893,6,24.657,24.657,25.106,23.718,23.815,24.697,23.825,24.300,25.449,26.046,25.503,25.198,25.568,25.053,24.710,24.710,24.038,23.418,24.868,25.184,24.695,23.256,23.256,24.006,25.779,25.779,23.827,23.827,26.360,26.360,26.004,26.004,24.881,24.723,24.723,25.369,25.369,24.287,24.287,25.053,25.053,14.316,24.551,24.551,24.789,6xh,14.316,6t,23.256
MK328003,1893,6,24.446,24.446,26.004,23.504,23.601,24.800,24.101,24.089,25.198,25.769,24.907,25.541,25.936,24.960,24.194,24.194,24.670,23.641,24.327,25.013,25.370,23.517,23.517,24.536,25.672,25.672,25.409,25.409,25.515,25.515,24.617,24.617,24.880,24.406,24.406,25.224,25.224,24.511,24.511,25.304,25.304,12.625,24.038,24.038,25.409,6xh,12.625,6p,23.641
MK328004,1892,6,22.357,22.357,22.569,23.467,23.719,23.520,24.564,25.924,24.894,25.822,25.040,24.207,25.343,24.222,23.442,23.442,24.485,24.023,24.207,23.377,24.036,23.613,23.613,23.436,24.894,24.894,24.420,24.420,25.053,25.053,25.396,25.396,24.260,22.252,22.252,25.132,25.132,25.106,25.106,24.393,24.393,23.996,24.498,24.498,24.564,6xd,22.252,6a,22.357
MK328005,1893,6,24.632,24.632,25.026,23.514,24.921,24.142,24.670,19.863,25.515,25.423,25.543,25.251,24.649,25.040,24.604,24.604,23.722,24.091,25.214,24.511,25.504,24.023,24.023,24.131,26.073,26.073,24.076,24.076,25.132,25.132,25.488,25.488,24.828,24.697,24.697,25.686,25.686,24.533,24.533,25.752,25.752,25.488,24.841,24.841,25.449,6g,19.863,6c,23.514
MK328006,1893,6,24.934,24.934,25.846,22.970,23.393,24.320,25.198,24.775,25.476,26.087,25.503,25.711,26.016,24.974,24.194,24.194,24.354,22.902,24.498,25.277,25.530,23.944,23.944,24.072,26.344,26.344,24.881,24.881,25.515,25.515,25.409,25.409,24.412,24.723,24.723,26.096,26.096,24.525,24.525,25.949,25.949,13.259,24.775,24.775,25.422,6xh,13.259,6p,22.902
MK328007,1893,6,25.356,25.356,25.316,24.006,24.011,24.420,24.987,21.553,25.553,26.018,26.266,25.699,24.380,25.869,24.763,24.763,24.498,24.671,24.498,23.933,24.512,24.842,24.842,24.537,26.530,26.530,23.759,23.759,25.738,25.738,24.841,24.841,25.396,24.775,24.775,25.514,25.514,24.028,24.028,25.883,25.883,24.974,24.934,24.934,26.041,6g,21.553,6w,23.759
MK328008,797,6,22.093,22.093,22.739,21.483,25.930,25.216,22.868,17.315,25.309,23.688,21.323,21.931,23.305,22.346,21.111,21.111,22.951,22.208,22.816,21.192,23.058,21.975,21.975,24.328,26.398,26.398,22.179,22.179,24.722,24.722,23.333,23.333,22.564,22.323,22.323,22.469,22.469,23.727,23.727,22.195,22.195,22.373,23.077,23.077,23.576,6g,17.315,6n,21.111
MK328009,1895,6,25.198,25.198,24.802,23.495,23.772,24.313,24.658,21.425,25.013,24.868,25.936,25.066,25.172,25.686,24.051,24.051,23.654,24.447,23.878,22.773,24.207,23.049,23.049,23.810,25.212,25.212,23.706,23.706,25.832,25.832,25.199,25.199,25.291,24.590,24.590,26.135,26.135,24.038,24.038,24.947,24.947,24.063,24.855,24.855,26.138,6g,21.425,6r,22.773
MK328010,1893,6,24.934,24.934,25.581,23.344,23.020,24.960,25.000,24.367,25.779,25.689,24.960,25.672,25.619,24.671,23.958,23.958,25.409,23.008,24.209,25.238,25.317,24.425,24.425,25.133,25.211,25.211,25.832,25.832,24.617,24.617,25.554,25.554,25.040,24.775,24.775,25.541,25.541,24.828,24.828,25.752,25.752,16.218,24.329,24.329,26.544,6xh,16.218,6p,23.008
MK328011,414,6,22.222,22.222,21.065,19.946,20.290,23.077,20.773,23.501,21.563,22.911,23.798,24.879,21.563,20.755,21.343,21.343,21.780,22.222,20.506,22.717,22.118,20.913,20.913,21.176,22.464,22.464,22.248,22.248,21.362,21.362,22.469,22.469,21.256,19.565,19.565,19.429,19.429,21.635,21.635,22.911,22.911,23.653,23.002,23.002,22.911,6xd,19.565,6d,20.290
MK328012,1893,6,24.881,24.881,24.366,24.260,23.455,25.000,25.949,26.280,25.211,25.490,25.357,24.406,24.947,25.224,24.511,24.511,25.026,24.974,25.357,24.617,23.996,24.828,24.828,24.629,25.265,25.265,25.290,25.290,23.626,23.626,25.105,25.105,24.771,24.247,24.247,25.092,25.092,25.159,25.159,24.049,24.049,24.407,24.511,24.511,25.713,6d,23.455,6xa,23.626
MK328013,1893,6,24.036,24.036,25.502,23.588,24.380,24.564,23.772,17.697,25.621,25.172,25.409,25.185,25.963,25.013,23.881,23.881,23.061,24.631,25.369,24.459,24.234,24.142,24.142,24.385,25.701,25.701,23.970,23.970,25.541,25.541,25.938,25.938,25.752,24.446,24.446,24.947,24.947,24.908,24.908,25.172,25.172,24.433,24.710,24.710,27.033,6g,17.697,6o,23.061
MK328014,1893,6,25.607,25.607,25.383,23.101,22.603,24.474,23.867,20.814,25.066,24.419,25.198,24.749,25.092,24.987,23.892,23.892,23.020,23.353,23.614,22.603,24.750,22.708,22.708,24.377,26.371,26.371,23.458,23.458,25.040,25.040,24.578,24.578,24.499,24.908,24.908,24.644,24.644,23.933,23.933,23.892,23.892,24.142,23.722,23.722,24.895,6g,20.814,6r,22.603
MK328015,1562,6,24.776,24.776,24.824,23.047,23.672,24.023,24.440,18.502,24.182,25.435,26.282,24.136,25.288,26.184,24.904,24.904,24.615,23.269,25.608,25.240,23.718,24.872,24.872,24.041,25.080,25.080,23.190,23.190,26.440,26.440,25.675,25.675,25.096,24.151,24.151,24.919,24.919,24.312,24.312,25.544,25.544,23.382,24.920,24.920,26.090,6g,18.502,6c,23.047
MK328016,1655,6,27.251,27.251,26.174,24.924,26.058,25.559,26.258,20.363,26.993,26.405,26.313,26.421,26.767,27.768,26.735,26.735,24.713,26.453,26.667,26.179,25.982,26.449,26.449,25.559,25.271,25.271,24.758,24.758,26.329,26.329,28.882,28.882,27.009,26.274,26.274,26.659,26.659,25.906,25.906,26.932,26.932,25.845,25.106,25.106,27.966,6g,20.363,6w,24.758
MK328017,1091,6,22.640,22.640,25.848,22.344,23.535,22.548,22.161,18.698,25.549,24.267,25.322,24.212,25.733,25.573,24.290,24.290,22.161,23.810,22.640,23.373,24.125,23.443,23.443,23.281,26.243,26.243,21.815,21.815,26.489,26.489,24.656,24.656,24.015,22.456,22.456,24.748,24.748,23.465,23.465,25.206,25.206,23.740,23.556,23.556,25.372,6g,18.698,6w,21.815
MK328018,1893,6,25.488,25.488,24.406,23.681,23.588,24.670,24.710,20.972,25.515,25.371,25.238,24.762,26.621,25.686,23.865,23.865,23.551,23.852,25.040,23.613,24.538,23.178,23.178,25.265,25.648,25.648,24.340,24.340,25.990,25.990,25.304,25.304,25.040,25.290,25.290,25.672,25.672,25.026,25.026,24.433,24.433,23.508,25.250,25.250,26.424,6g,20.972,6t,23.178
MK328019,1894,6,24.736,24.736,25.132,23.932,23.536,24.300,25.237,19.694,25.567,25.875,26.016,25.053,26.188,26.385,25.461,25.461,24.974,24.485,25.441,25.264,24.934,24.604,24.604,25.106,26.151,26.151,23.918,23.918,25.778,25.778,26.765,26.765,24.841,24.512,24.512,26.582,26.582,25.475,25.475,26.889,26.889,24.670,25.053,25.053,26.280,6g,19.694,6d,23.536
MK328020,1893,6,24.420,24.420,24.710,23.669,23.508,25.000,24.710,21.289,25.475,26.371,25.859,25.738,25.461,25.632,23.709,23.709,24.842,24.684,25.443,24.091,23.545,24.222,24.222,24.645,26.163,26.163,23.511,23.511,25.659,25.659,25.435,25.435,24.459,25.079,25.079,25.316,25.316,25.316,25.316,24.881,24.881,24.658,25.686,25.686,25.198,6g,21.289,6d,23.508
MK328021,1886,6,24.419,24.419,24.366,23.560,23.996,24.471,24.842,26.064,23.402,24.708,24.920,24.683,25.106,25.892,23.455,23.455,24.604,23.560,24.644,24.247,23.012,23.799,23.799,24.417,24.788,24.788,24.934,24.934,24.471,24.471,24.182,24.182,25.172,23.626,23.626,24.894,24.894,25.211,25.211,24.089,24.089,25.594,24.247,24.247,25.000,6s,23.012,6n,23.455
MK328022,1891,6,25.172,25.172,25.357,24.693,25.489,25.714,24.749,19.989,25.738,26.069,26.544,25.926,24.696,26.638,24.841,24.841,25.026,24.815,25.641,24.868,25.755,24.828,24.828,24.801,27.225,27.225,24.987,24.987,27.522,27.522,27.460,27.460,24.841,25.832,25.832,25.317,25.317,26.004,26.004,25.701,25.701,24.868,26.071,26.071,26.413,6g,19.989,6l,24.696
MK328023,1892,6,23.837,23.837,23.495,24.934,24.182,24.789,25.066,27.114,25.702,26.073,25.000,24.617,25.793,26.360,24.446,24.446,25.422,25.554,26.004,24.287,25.581,24.921,24.921,24.483,24.828,24.828,26.110,26.110,25.106,25.106,25.396,25.396,25.159,23.362,23.362,25.515,25.515,25.198,25.198,25.449,25.449,26.174,24.683,24.683,25.938,6xd,23.362,6b,23.495
MK328024,1893,6,25.554,25.554,25.740,25.627,25.290,26.572,26.135,21.289,25.990,27.100,27.119,26.082,27.205,27.138,26.202,26.202,24.815,26.082,25.908,26.846,25.543,25.938,25.938,26.082,27.701,27.701,25.238,25.238,26.927,26.927,27.148,27.148,26.596,26.135,26.135,26.804,26.804,26.913,26.913,27.153,27.153,26.135,25.832,25.832,27.402,6g,21.289,6o,24.815
MK328025,1479,6,27.414,27.414,26.455,24.983,24.612,26.419,25.778,22.515,26.456,25.275,27.298,25.726,27.179,27.515,25.961,25.961,25.575,26.402,25.676,25.017,26.248,25.575,25.575,27.178,27.175,27.175,24.742,24.742,28.055,28.055,26.823,26.823,25.989,26.707,26.707,26.640,26.640,25.963,25.963,26.721,26.721,26.653,27.391,27.391,28.661,6g,22.515,6w,24.742
MK328026,1893,6,24.316,24.316,24.710,23.888,23.681,24.421,24.314,20.814,25.013,24.841,25.594,25.013,24.947,25.237,23.272,23.272,23.601,24.078,24.103,22.878,24.183,23.393,23.393,23.837,26.185,26.185,23.787,23.787,24.947,24.947,25.580,25.580,24.697,24.276,24.276,24.645,24.645,24.188,24.188,24.487,24.487,24.460,24.803,24.803,25.514,6g,20.814,6r,22.878
MK468926,1892,6,25.634,25.634,25.554,23.301,25.053,24.260,23.970,19.080,26.466,24.974,25.543,24.683,24.524,25.687,24.514,24.514,23.802,24.194,24.092,24.683,24.166,24.670,24.670,24.894,25.477,25.477,23.890,23.890,25.092,25.092,26.568,26.568,24.142,25.370,25.370,24.591,24.591,24.853,24.853,25.793,25.793,24.353,24.789,24.789,25.529,6g,19.080,6c,23.301
MK468927,1893,6,25.198,25.198,26.004,23.455,24.353,24.406,23.837,18.859,25.462,24.247,25.119,25.515,24.247,26.016,24.564,24.564,23.470,24.101,24.247,24.194,24.419,24.313,24.313,24.705,25.887,25.887,23.930,23.930,25.343,25.343,26.374,26.374,24.116,25.515,25.515,25.145,25.145,25.066,25.066,25.462,25.462,25.145,24.247,24.247,25.858,6g,18.859,6c,23.455
MK468928,1893,6,25.621,25.621,25.660,23.451,25.462,24.974,24.207,19.546,26.241,25.053,26.536,24.828,24.247,26.332,25.568,25.568,23.601,24.142,24.775,23.654,24.422,24.577,24.577,25.409,25.900,25.900,23.495,23.495,25.475,25.475,25.846,25.846,25.079,25.145,25.145,24.538,24.538,24.723,24.723,25.726,25.726,25.198,24.631,24.631,25.805,6g,19.546,6w,23.495
MN240359,1892,6,24.775,24.775,24.657,23.876,24.156,24.577,25.250,25.290,23.719,25.504,25.449,24.300,24.274,25.396,23.405,23.405,25.554,24.723,24.511,25.224,24.947,25.357,25.357,24.059,24.735,24.735,25.594,25.594,21.882,21.882,24.736,24.736,23.837,24.260,24.260,24.274,24.274,25.290,25.290,23.613,23.613,25.079,23.442,23.442,24.723,6xa,21.882,6xi,23.442
MF683840,1893,6,6.973,6.973,19.027,24.153,24.380,25.145,25.211,25.621,24.617,25.832,25.080,23.759,25.409,24.194,23.560,23.560,24.471,24.551,26.149,25.026,24.178,25.581,25.581,24.987,25.914,25.914,24.974,24.974,24.182,24.182,25.211,25.211,25.568,18.172,18.172,24.934,24.934,26.174,26.174,24.194,24.194,24.881,24.577,24.577,24.670,6a,6.973,6xd,18.172
MG437050,1893,6,23.666,23.666,24.234,23.918,24.011,24.036,24.103,25.276,20.243,20.877,22.110,20.127,20.285,18.172,4.068,4.068,24.419,24.802,23.385,24.327,25.610,23.414,23.414,24.023,25.515,25.515,24.613,24.613,23.918,23.918,19.767,19.767,23.495,24.564,24.564,14.580,14.580,24.485,24.485,14.210,14.210,23.983,19.334,19.334,20.127,6n,4.068,6xg,14.210
MG717925,1893,6,4.015,4.015,19.662,24.653,24.340,24.828,25.515,25.674,23.983,25.554,25.239,23.759,25.145,25.092,23.085,23.085,24.366,24.247,25.674,24.076,24.761,25.423,25.423,25.145,24.960,24.960,24.710,24.710,24.551,24.551,24.630,24.630,25.515,18.595,18.595,24.670,24.670,25.844,25.844,23.402,23.402,24.881,24.670,24.670,24.300,6a,4.015,6xd,18.595
MG717926,1893,6,3.909,3.909,19.609,24.546,24.234,24.775,25.409,25.621,23.877,25.449,25.133,23.706,25.040,24.987,23.032,23.032,24.260,24.142,25.568,23.970,24.655,25.317,25.317,25.040,24.907,24.907,24.604,24.604,24.446,24.446,24.524,24.524,25.409,18.489,18.489,24.617,24.617,25.791,25.791,23.296,23.296,24.828,24.564,24.564,24.194,6a,3.909,6xd,18.489
MG717927,1893,6,4.226,4.226,19.926,24.867,24.551,24.987,25.726,25.938,24.194,25.713,25.398,23.918,25.357,25.304,23.349,23.349,24.471,24.353,25.726,24.287,24.973,25.634,25.634,25.251,25.225,25.225,24.815,24.815,24.762,24.762,24.841,24.841,25.621,18.806,18.806,24.934,24.934,26.002,26.002,23.613,23.613,25.092,24.828,24.828,24.511,6a,4.226,6xd,18.806
MG717928,1893,6,4.226,4.226,19.239,24.226,24.287,24.987,24.987,26.043,24.459,25.766,25.398,24.129,25.145,24.775,23.455,23.455,24.736,24.300,24.987,24.129,24.443,25.423,25.423,25.092,25.277,25.277,24.393,24.393,24.657,24.657,24.736,24.736,24.564,18.648,18.648,24.881,24.881,25.224,25.224,23.772,23.772,25.040,24.353,24.353,24.617,6a,4.226,6xd,18.648
MG717929,1893,6,4.226,4.226,19.239,24.226,24.287,24.987,24.987,26.043,24.459,25.766,25.398,24.129,25.145,24.775,23.455,23.455,24.736,24.300,24.987,24.129,24.443,25.423,25.423,25.092,25.277,25.277,24.393,24.393,24.657,24.657,24.736,24.736,24.564,18.648,18.648,24.881,24.881,25.224,25.224,23.772,23.772,25.040,24.353,24.353,24.617,6a,4.226,6xd,18.648
MG717930,1893,6,4.490,4.490,19.503,24.493,24.551,25.145,25.251,26.307,24.723,25.977,25.610,24.287,25.409,25.040,23.719,23.719,24.894,24.459,25.092,24.393,24.708,25.687,25.687,25.251,25.541,25.541,24.498,24.498,24.921,24.921,25.000,25.000,24.723,18.912,18.912,25.145,25.145,25.383,25.383,24.036,24.036,25.251,24.564,24.564,24.881,6a,4.490,6xd,18.912
PP101888,1893,6,24.881,24.881,24.763,20.972,21.712,20.708,21.712,23.970,23.548,23.476,24.815,23.272,23.772,23.804,22.228,22.228,21.047,20.772,6.286,21.817,23.665,20.085,20.085,20.814,24.735,24.735,24.340,24.340,24.327,24.327,23.719,23.719,21.236,24.359,24.359,23.652,23.652,20.338,20.338,23.865,23.865,24.485,22.345,22.345,24.300,6q,6.286,6t,20.085
PP101889,1893,6,24.723,24.723,24.921,21.395,21.976,21.553,21.553,24.868,22.967,23.244,24.352,23.495,24.406,24.493,22.281,22.281,21.272,21.353,8.241,22.187,23.759,20.940,20.940,21.130,24.258,24.258,23.918,23.918,23.747,23.747,24.142,24.142,21.659,24.412,24.412,22.756,22.756,21.236,21.236,23.825,23.825,23.852,23.032,23.032,24.723,6q,8.241,6u,21.130
PP101890,1893,6,24.142,24.142,24.207,21.395,21.410,22.293,17.230,25.977,24.617,25.214,25.119,24.340,25.145,24.182,23.073,23.073,21.723,21.882,21.870,6.075,24.015,22.516,22.516,21.553,26.452,26.452,24.182,24.182,24.234,24.234,25.832,25.832,23.455,23.812,23.812,25.092,25.092,21.923,21.923,24.446,24.446,24.663,24.433,24.433,25.449,6r,6.075,6f,17.230
