Accession,AssignedGenotype,Subtype1aDistance,Subtype1aDistance,Subtype1bDistance,Subtype1bDistance,Subtype1cDistance,Subtype1cDistance,Subtype1dDistance,Subtype1eDistance,Subtype1eDistance,Subtype1gDistance,Subtype1gDistance,Subtype1hDistance,Subtype1hDistance,Subtype1iDistance,Subtype1jDistance,Subtype1kDistance,Subtype1lDistance,Subtype1lDistance,Subtype1mDistance,Subtype1mDistance,Subtype1nDistance,Subtype1nDistance,Subtype1oDistance,Subtype1oDistance,FirstChoiceSubtype,FirstChoiceDistance,SecondChoiceSubtype,SecondChoiceDistance
MZ327797,1,8.082,8.082,19.345,19.345,18.922,18.922,22.316,21.794,21.794,21.712,21.712,20.402,20.402,20.708,15.954,15.848,19.926,19.926,14.474,14.474,15.478,15.478,20.349,20.349,1a,8.082,1m,14.474
MZ327798,1,8.399,8.399,19.556,19.556,18.763,18.763,21.512,21.911,21.911,21.183,21.183,21.089,21.089,20.475,15.584,15.425,19.609,19.609,14.633,14.633,15.681,15.681,20.772,20.772,1a,8.399,1m,14.633
PQ365497,1,6.762,6.762,20.032,20.032,19.767,19.767,21.934,22.780,22.780,21.764,21.764,21.617,21.617,21.266,15.954,15.531,20.772,20.772,14.474,14.474,15.637,15.637,19.979,19.979,1a,6.762,1m,14.474
PQ365499,1,7.184,7.184,20.877,20.877,19.027,19.027,23.069,22.639,22.639,22.293,22.293,21.089,21.089,21.383,16.270,16.799,21.882,21.882,15.742,15.742,16.315,16.315,20.961,20.961,1a,7.184,1m,15.742
PQ365500,1,6.656,6.656,20.349,20.349,18.922,18.922,22.646,22.890,22.890,21.976,21.976,21.108,21.108,21.225,16.059,16.429,21.353,21.353,15.637,15.637,16.526,16.526,20.803,20.803,1a,6.656,1m,15.637
PQ365503,1,6.709,6.709,19.662,19.662,19.926,19.926,21.999,22.240,22.240,21.753,21.753,20.719,20.719,20.528,15.637,15.320,20.877,20.877,14.105,14.105,15.901,15.901,20.772,20.772,1a,6.709,1m,14.105
PQ365507,1,7.079,7.079,20.085,20.085,19.915,19.915,22.146,22.375,22.375,21.753,21.753,21.195,21.195,21.108,15.689,15.478,20.877,20.877,14.580,14.580,15.478,15.478,21.353,21.353,1a,7.079,1m,14.580
PQ365510,1,19.842,19.842,10.935,10.935,22.627,22.627,18.254,21.383,21.383,23.362,23.362,19.926,19.926,18.331,20.983,20.983,19.715,19.715,20.507,20.507,19.450,19.450,20.285,20.285,1b,10.935,1d,18.254
PQ365516,1,8.505,8.505,20.950,20.950,21.142,21.142,22.739,23.061,23.061,22.650,22.650,21.987,21.987,22.152,16.799,17.063,21.829,21.829,16.165,16.165,16.535,16.535,21.564,21.564,1a,8.505,1m,16.165
PQ365527,1,7.132,7.132,20.422,20.422,18.763,18.763,22.715,22.996,22.996,21.764,21.764,20.950,20.950,21.560,16.270,16.640,21.530,21.530,15.531,15.531,16.209,16.209,21.003,21.003,1a,7.132,1m,15.531
PQ365533,1,7.554,7.554,20.613,20.613,19.027,19.027,23.069,23.430,23.430,22.345,22.345,21.478,21.478,21.595,16.535,16.799,21.829,21.829,15.954,15.954,16.367,16.367,21.300,21.300,1a,7.554,1m,15.954
PQ419893,1,26.789,26.789,27.256,27.256,26.606,26.606,28.257,10.478,10.478,23.063,23.063,25.599,25.599,27.022,26.874,25.688,26.838,26.838,26.374,26.374,26.103,26.103,25.321,25.321,1e,10.478,1g,23.063
PQ419894,1,25.967,25.967,25.505,25.505,25.505,25.505,27.306,20.849,20.849,6.618,6.618,24.954,24.954,26.015,26.151,26.422,24.170,24.170,25.783,25.783,25.368,25.368,25.607,25.607,1g,6.618,1e,20.849
MT863874,1,6.280,6.280,18.228,18.228,19.753,19.753,23.951,25.990,25.990,25.917,25.917,21.235,21.235,20.588,17.476,17.456,22.963,22.963,17.079,17.079,17.647,17.647,23.058,23.058,1a,6.280,1m,17.079
MT863875,1,6.280,6.280,18.228,18.228,19.753,19.753,23.951,25.990,25.990,25.917,25.917,21.235,21.235,20.588,17.476,17.456,22.963,22.963,17.079,17.079,17.647,17.647,23.058,23.058,1a,6.280,1m,17.079
MT863876,1,7.246,7.246,17.975,17.975,20.200,20.200,22.556,22.928,22.928,26.683,26.683,20.802,20.802,23.039,20.098,18.519,24.812,24.812,18.500,18.500,18.337,18.337,23.786,23.786,1a,7.246,1k,18.519
MT863877,1,7.729,7.729,19.202,19.202,20.698,20.698,23.691,25.124,25.124,27.451,27.451,21.481,21.481,23.775,21.117,18.953,25.935,25.935,19.652,19.652,18.564,18.564,24.272,24.272,1a,7.729,1k,18.953
MT863878,1,6.763,6.763,18.272,18.272,20.247,20.247,22.716,24.257,24.257,26.225,26.225,20.247,20.247,22.794,20.146,17.706,24.938,24.938,18.564,18.564,17.604,17.604,23.544,23.544,1a,6.763,1n,17.604
MT863879,1,6.763,6.763,18.272,18.272,20.247,20.247,22.963,24.257,24.257,25.672,25.672,20.494,20.494,23.284,19.903,17.456,24.938,24.938,18.812,18.812,18.337,18.337,23.058,23.058,1a,6.763,1k,17.456
MT863880,1,7.005,7.005,18.296,18.296,20.698,20.698,22.807,22.928,22.928,26.683,26.683,20.551,20.551,23.529,20.588,18.272,25.063,25.063,19.000,19.000,18.337,18.337,23.786,23.786,1a,7.005,1k,18.272
MT863881,1,6.522,6.522,18.045,18.045,20.200,20.200,22.556,22.376,22.376,26.185,26.185,20.050,20.050,23.039,20.098,17.778,24.812,24.812,18.500,18.500,17.848,17.848,23.544,23.544,1a,6.522,1k,17.778
MT863886,1,6.522,6.522,18.045,18.045,20.200,20.200,22.556,22.376,22.376,26.185,26.185,20.050,20.050,23.039,20.098,17.778,24.812,24.812,18.500,18.500,17.848,17.848,23.544,23.544,1a,6.522,1k,17.778
MT863887,1,6.522,6.522,18.045,18.045,20.200,20.200,22.556,22.376,22.376,26.185,26.185,20.050,20.050,23.039,20.098,17.778,24.812,24.812,18.500,18.500,17.848,17.848,23.544,23.544,1a,6.522,1k,17.778
MT863890,1,8.738,8.738,19.847,19.847,21.696,21.696,23.810,24.451,24.451,26.368,26.368,21.554,21.554,22.059,17.955,18.703,22.807,22.807,18.382,18.382,18.313,18.313,21.429,21.429,1a,8.738,1m,18.382
MT863891,1,8.010,8.010,19.847,19.847,20.948,20.948,23.559,25.686,25.686,26.185,26.185,21.053,21.053,22.059,16.958,17.955,22.556,22.556,17.892,17.892,17.831,17.831,21.235,21.235,1a,8.010,1j,16.958
MT863898,1,7.488,7.488,18.797,18.797,20.948,20.948,23.308,22.928,22.928,27.182,27.182,20.802,20.802,23.775,20.833,18.272,24.668,24.668,19.250,19.250,18.826,18.826,22.432,22.432,1a,7.488,1k,18.272
MT863899,1,6.522,6.522,18.045,18.045,20.200,20.200,22.556,22.376,22.376,26.185,26.185,20.050,20.050,23.039,20.098,17.778,24.812,24.812,18.500,18.500,17.848,17.848,23.544,23.544,1a,6.522,1k,17.778
MT863904,1,6.280,6.280,19.747,19.747,21.481,21.481,25.432,26.485,26.485,26.895,26.895,21.975,21.975,22.304,18.204,17.955,23.951,23.951,17.327,17.327,18.582,18.582,23.786,23.786,1a,6.280,1m,17.327
MT863905,1,5.556,5.556,18.987,18.987,20.741,20.741,24.691,25.743,25.743,26.161,26.161,21.235,21.235,21.569,17.476,17.207,23.210,23.210,16.584,16.584,17.848,17.848,23.058,23.058,1a,5.556,1m,16.584
MT863908,1,7.246,7.246,21.805,21.805,21.569,21.569,26.368,25.876,25.876,28.180,28.180,22.556,22.556,23.775,19.608,18.519,25.815,25.815,18.500,18.500,18.978,18.978,22.432,22.432,1a,7.246,1k,18.519
MT863909,1,6.522,6.522,21.053,21.053,21.324,21.324,25.373,24.798,24.798,27.930,27.930,21.554,21.554,22.794,18.873,18.025,25.564,25.564,17.500,17.500,18.978,18.978,21.622,21.622,1a,6.522,1m,17.500
MT863910,1,6.522,6.522,21.303,21.303,21.569,21.569,25.622,25.337,25.337,28.180,28.180,21.805,21.805,23.039,19.118,18.272,25.815,25.815,17.750,17.750,19.221,19.221,21.892,21.892,1a,6.522,1m,17.750
MT863911,1,5.797,5.797,20.551,20.551,20.833,20.833,24.876,24.528,24.528,27.431,27.431,21.053,21.053,22.304,18.382,17.531,25.063,25.063,17.000,17.000,18.491,18.491,21.081,21.081,1a,5.797,1m,17.000
MT863912,1,6.039,6.039,19.747,19.747,21.728,21.728,25.185,26.733,26.733,27.139,27.139,21.728,21.728,22.059,18.447,17.706,24.198,24.198,17.574,17.574,18.826,18.826,24.029,24.029,1a,6.039,1m,17.574
MT863913,1,5.314,5.314,18.987,18.987,20.988,20.988,24.444,25.990,25.990,26.406,26.406,20.988,20.988,21.324,17.718,16.958,23.457,23.457,16.832,16.832,18.093,18.093,23.301,23.301,1a,5.314,1m,16.832
MT863916,1,6.763,6.763,18.296,18.296,20.449,20.449,22.807,22.652,22.652,26.434,26.434,20.301,20.301,23.284,20.343,18.025,25.063,25.063,18.750,18.750,18.093,18.093,23.786,23.786,1a,6.763,1k,18.025
MT863917,1,6.522,6.522,18.045,18.045,20.200,20.200,22.556,22.376,22.376,26.185,26.185,20.050,20.050,23.039,20.098,17.778,24.812,24.812,18.500,18.500,17.848,17.848,23.544,23.544,1a,6.522,1k,17.778
MT863920,1,5.797,5.797,19.048,19.048,20.698,20.698,23.810,23.481,23.481,26.434,26.434,20.802,20.802,23.775,19.608,18.272,25.313,25.313,18.250,18.250,18.337,18.337,23.544,23.544,1a,5.797,1k,18.272
MT863921,1,5.556,5.556,18.797,18.797,20.449,20.449,23.559,23.204,23.204,26.185,26.185,20.551,20.551,23.529,19.363,18.025,25.063,25.063,18.000,18.000,18.093,18.093,23.301,23.301,1a,5.556,1k,18.025
MT863922,1,6.280,6.280,19.549,19.549,20.698,20.698,23.810,23.757,23.757,27.182,27.182,21.554,21.554,24.510,20.833,18.765,26.316,26.316,20.000,20.000,19.315,19.315,24.272,24.272,1a,6.280,1k,18.765
MT863923,1,5.797,5.797,19.048,19.048,20.449,20.449,23.559,23.481,23.481,26.933,26.933,21.053,21.053,24.020,20.343,18.765,25.815,25.815,19.500,19.500,18.826,18.826,23.786,23.786,1a,5.797,1k,18.765
MT863924,1,6.522,6.522,18.481,18.481,20.000,20.000,24.198,26.238,26.238,26.161,26.161,21.481,21.481,20.833,17.718,17.706,23.210,23.210,17.327,17.327,17.892,17.892,23.301,23.301,1a,6.522,1m,17.327
MT863925,1,6.522,6.522,18.481,18.481,20.000,20.000,24.198,26.238,26.238,26.161,26.161,21.481,21.481,20.833,17.718,17.706,23.210,23.210,17.327,17.327,17.892,17.892,23.301,23.301,1a,6.522,1m,17.327
MT863934,1,6.763,6.763,20.000,20.000,21.481,21.481,25.432,25.990,25.990,27.384,27.384,21.975,21.975,21.814,18.204,18.204,23.704,23.704,17.574,17.574,18.826,18.826,24.029,24.029,1a,6.763,1m,17.574
MT863935,1,5.556,5.556,19.084,19.084,20.741,20.741,24.691,25.495,25.495,26.161,26.161,21.235,21.235,21.569,17.476,17.456,23.210,23.210,16.832,16.832,18.093,18.093,22.816,22.816,1a,5.556,1m,16.832
MT995341,1,20.000,20.000,8.615,8.615,20.622,20.622,17.302,21.436,21.436,22.146,22.146,18.552,18.552,16.095,20.602,20.391,19.261,19.261,20.116,20.116,19.694,19.694,19.768,19.768,1b,8.615,1i,16.095
MT995342,1,19.947,19.947,8.562,8.562,20.570,20.570,17.249,21.383,21.383,22.093,22.093,18.605,18.605,16.042,20.549,20.338,19.208,19.208,20.063,20.063,19.747,19.747,19.715,19.715,1b,8.562,1i,16.042
MT995343,1,20.000,20.000,8.774,8.774,20.622,20.622,17.302,21.383,21.383,22.093,22.093,18.605,18.605,16.042,20.602,20.444,19.208,19.208,20.063,20.063,19.799,19.799,19.715,19.715,1b,8.774,1i,16.042
MT995344,1,20.106,20.106,8.668,8.668,20.728,20.728,17.143,21.278,21.278,22.040,22.040,18.710,18.710,16.095,20.761,20.655,19.357,19.357,20.169,20.169,19.799,19.799,19.821,19.821,1b,8.668,1i,16.095
MT995345,1,20.158,20.158,8.879,8.879,20.781,20.781,17.090,21.489,21.489,21.987,21.987,18.763,18.763,16.042,20.761,20.761,19.357,19.357,20.116,20.116,19.799,19.799,19.768,19.768,1b,8.879,1i,16.042
MT995351,1,7.343,7.343,20.455,20.455,18.975,18.975,21.934,21.391,21.391,20.855,20.855,21.342,21.342,20.739,16.799,16.006,19.958,19.958,14.897,14.897,16.112,16.112,20.402,20.402,1a,7.343,1m,14.897
MT995352,1,7.290,7.290,20.402,20.402,18.922,18.922,21.882,21.338,21.338,20.803,20.803,21.289,21.289,20.686,16.746,15.954,19.905,19.905,14.844,14.844,16.059,16.059,20.349,20.349,1a,7.290,1m,14.844
MT995353,1,7.343,7.343,20.455,20.455,18.975,18.975,22.040,21.338,21.338,20.697,20.697,21.395,21.395,20.792,16.693,15.901,19.958,19.958,14.897,14.897,16.112,16.112,20.402,20.402,1a,7.343,1m,14.897
MT995354,1,7.448,7.448,20.560,20.560,19.027,19.027,21.987,21.444,21.444,20.803,20.803,21.447,21.447,20.792,16.852,16.059,19.905,19.905,14.897,14.897,16.165,16.165,20.455,20.455,1a,7.448,1m,14.897
MT995355,1,7.501,7.501,20.455,20.455,19.027,19.027,21.829,21.338,21.338,20.803,20.803,21.236,21.236,20.739,16.746,15.954,20.116,20.116,15.055,15.055,16.270,16.270,20.243,20.243,1a,7.501,1m,15.055
ON630763,1,8.611,8.611,19.926,19.926,19.556,19.556,22.222,21.753,21.753,21.553,21.553,20.772,20.772,21.014,16.640,16.429,20.391,20.391,15.637,15.637,15.417,15.417,20.825,20.825,1a,8.611,1n,15.417
ON630764,1,7.713,7.713,19.757,19.757,18.965,18.965,21.670,21.297,21.297,20.961,20.961,20.507,20.507,21.289,16.693,16.376,19.799,19.799,15.055,15.055,16.156,16.156,20.549,20.549,1a,7.713,1m,15.055
ON630765,1,8.082,8.082,19.715,19.715,19.186,19.186,21.534,21.824,21.824,21.911,21.911,20.560,20.560,20.972,16.852,16.904,20.877,20.877,15.584,15.584,15.312,15.312,20.433,20.433,1a,8.082,1n,15.312
ON630766,1,5.335,5.335,19.397,19.397,19.186,19.186,21.735,21.278,21.278,21.500,21.500,20.402,20.402,20.433,15.320,15.425,19.863,19.863,14.263,14.263,15.153,15.153,20.011,20.011,1a,5.335,1m,14.263
ON630767,1,5.917,5.917,20.011,20.011,19.767,19.767,21.946,21.953,21.953,21.806,21.806,20.772,20.772,21.225,16.957,16.429,21.014,21.014,15.478,15.478,15.364,15.364,20.591,20.591,1a,5.917,1n,15.364
ON630768,1,6.128,6.128,19.556,19.556,19.546,19.546,21.470,21.512,21.512,21.776,21.776,20.243,20.243,20.497,16.587,15.901,19.556,19.556,14.527,14.527,15.417,15.417,19.958,19.958,1a,6.128,1m,14.527
ON630769,1,5.917,5.917,19.237,19.237,19.237,19.237,21.769,21.769,21.769,21.557,21.557,20.774,20.774,21.133,16.270,16.110,20.201,20.201,15.214,15.214,15.628,15.628,20.222,20.222,1a,5.917,1m,15.214
ON630770,1,5.494,5.494,20.296,20.296,19.662,19.662,23.004,22.216,22.216,21.436,21.436,21.089,21.089,21.172,16.587,16.376,21.459,21.459,15.108,15.108,15.259,15.259,20.085,20.085,1a,5.494,1m,15.108
ON630771,1,6.022,6.022,19.166,19.166,19.292,19.292,21.999,21.829,21.829,21.436,21.436,20.011,20.011,20.539,16.218,15.742,20.296,20.296,13.893,13.893,14.520,14.520,20.190,20.190,1a,6.022,1m,13.893
ON630772,1,6.075,6.075,19.767,19.767,19.503,19.503,21.893,21.617,21.617,21.606,21.606,21.036,21.036,20.919,16.270,15.637,20.697,20.697,15.003,15.003,15.839,15.839,19.397,19.397,1a,6.075,1m,15.003
ON630773,1,8.294,8.294,20.285,20.285,19.820,19.820,22.034,21.214,21.214,21.436,21.436,20.761,20.761,20.591,16.482,16.119,20.222,20.222,15.584,15.584,16.315,16.315,21.142,21.142,1a,8.294,1m,15.584
ON630774,1,7.554,7.554,19.503,19.503,18.922,18.922,21.787,21.929,21.929,20.708,20.708,20.296,20.296,20.285,15.425,15.848,19.979,19.979,14.527,14.527,14.791,14.791,20.243,20.243,1a,7.554,1m,14.527
ON630775,1,5.811,5.811,19.503,19.503,19.133,19.133,21.893,22.005,22.005,21.331,21.331,21.142,21.142,20.539,16.376,15.689,20.560,20.560,15.055,15.055,15.628,15.628,19.503,19.503,1a,5.811,1m,15.055
ON630776,1,5.018,5.018,20.085,20.085,19.926,19.926,22.105,21.425,21.425,21.372,21.372,20.983,20.983,21.342,16.429,15.848,19.926,19.926,14.633,14.633,14.950,14.950,19.641,19.641,1a,5.018,1m,14.633
ON630777,1,7.660,7.660,20.085,20.085,19.503,19.503,21.617,21.613,21.613,20.855,20.855,21.089,21.089,21.055,17.327,16.218,20.190,20.190,14.633,14.633,15.312,15.312,20.296,20.296,1a,7.660,1m,14.633
ON630778,1,5.758,5.758,19.397,19.397,19.345,19.345,21.946,21.741,21.741,22.504,22.504,21.142,21.142,21.172,16.201,16.270,20.877,20.877,15.055,15.055,15.998,15.998,20.190,20.190,1a,5.758,1m,15.055
