Accession,AssignedGenotype,Subtype4aDistance,Subtype4bDistance,Subtype4cDistance,Subtype4dDistance,Subtype4dDistance,Subtype4fDistance,Subtype4fDistance,Subtype4gDistance,Subtype4kDistance,Subtype4kDistance,Subtype4lDistance,Subtype4mDistance,Subtype4nDistance,Subtype4oDistance,Subtype4pDistance,Subtype4qDistance,Subtype4rDistance,Subtype4sDistance,Subtype4tDistance,Subtype4vDistance,Subtype4vDistance,Subtype4wDistance,Subtype4wDistance,FirstChoiceSubtype,FirstChoiceDistance,SecondChoiceSubtype,SecondChoiceDistance
MW205259,4,15.339,20.414,14.749,15.044,15.044,14.497,14.497,18.584,12.684,12.684,14.159,15.044,19.527,19.174,14.749,17.109,6.490,17.211,16.562,16.814,16.814,20.414,20.414,4r,6.490,4k,12.684
MW205260,4,17.456,23.304,17.500,14.953,14.953,16.265,16.265,20.536,16.564,16.564,14.201,14.953,8.850,16.568,15.680,18.047,17.751,18.398,17.771,14.642,14.642,19.469,19.469,4n,8.850,4l,14.201
MW205261,4,20.710,20.414,18.447,15.858,15.858,19.881,19.881,21.429,18.343,18.343,17.751,20.118,18.639,7.692,14.901,17.751,17.160,19.585,17.476,16.568,16.568,18.935,18.935,4o,7.692,4v,16.568
MW205265,4,17.994,20.710,19.469,17.109,17.109,18.935,18.935,19.764,18.879,18.879,16.814,18.289,19.527,7.965,16.118,18.879,17.699,18.101,18.447,17.699,17.699,19.231,19.231,4o,7.965,4l,16.814
MW205266,4,18.343,23.304,18.343,17.751,17.751,17.404,17.404,22.917,18.750,18.750,14.497,16.272,9.145,18.343,15.680,18.047,18.047,19.881,17.081,15.680,15.680,22.124,22.124,4n,9.145,4l,14.497
MW205267,4,16.814,20.710,17.994,15.625,15.625,15.625,15.625,15.929,7.080,7.080,15.634,16.250,19.174,20.059,14.062,18.584,13.569,19.585,18.125,16.875,16.875,18.639,18.639,4k,7.080,4r,13.569
MW205268,4,17.109,20.944,17.994,12.461,12.461,14.375,14.375,14.861,6.490,6.490,15.634,14.688,17.941,18.879,15.929,17.994,14.159,18.991,16.250,17.188,17.188,17.751,17.751,4k,6.490,4r,14.159
MW205272,4,17.404,20.414,18.584,15.634,15.634,17.804,17.804,20.354,16.519,16.519,15.929,17.404,18.343,7.375,14.474,18.529,16.814,17.507,16.556,16.814,16.814,18.047,18.047,4o,7.375,4d,15.634
MW205273,4,11.799,20.710,4.720,15.044,15.044,17.804,17.804,19.277,17.699,17.699,15.634,15.634,17.456,20.649,17.994,19.174,16.519,18.694,17.665,14.749,14.749,21.239,21.239,4c,4.720,4a,11.799
MW205274,4,10.324,23.669,6.785,14.454,14.454,18.047,18.047,19.880,18.879,18.879,15.044,14.749,19.527,20.354,16.814,20.059,16.224,18.694,16.766,16.224,16.224,20.710,20.710,4c,6.785,4a,10.324
MW205275,4,17.404,21.302,15.634,15.634,15.634,18.047,18.047,18.879,16.814,16.814,8.260,15.044,17.751,18.584,14.454,14.454,17.404,14.540,13.438,12.094,12.094,19.822,19.822,4l,8.260,4v,12.094
MW205276,4,19.288,20.312,19.003,14.062,14.062,16.875,16.875,16.099,6.528,6.528,16.617,15.938,19.512,19.079,16.250,19.585,16.617,17.431,17.812,16.875,16.875,18.692,18.692,4k,6.528,4d,14.062
MW205280,4,17.404,23.669,18.879,14.953,14.953,17.500,17.500,15.929,7.375,7.375,15.339,15.625,19.469,18.584,15.938,20.354,14.749,18.101,18.438,17.188,17.188,19.003,19.003,4k,7.375,4r,14.749
MW205283,4,17.404,18.935,17.994,16.224,16.224,18.047,18.047,15.634,12.389,12.389,13.274,17.812,17.699,19.764,18.584,16.814,14.454,17.507,17.500,15.938,15.938,20.354,20.354,4k,12.389,4l,13.274
MW205289,4,19.174,20.414,19.174,16.224,16.224,15.000,15.000,15.929,10.914,10.914,15.634,16.875,18.289,17.404,16.224,16.814,14.159,18.398,17.812,15.938,15.938,16.814,16.814,4k,10.914,4r,14.159
MW205290,4,18.584,22.189,19.469,15.929,15.929,19.231,19.231,21.471,18.584,18.584,13.274,18.879,17.751,18.289,14.749,7.965,17.109,19.881,14.715,12.979,12.979,19.822,19.822,4q,7.965,4v,12.979
MW205291,4,18.475,18.584,18.289,16.272,16.272,8.309,8.309,18.125,18.209,18.209,16.864,16.864,20.649,22.189,15.315,19.527,17.456,19.881,18.380,17.160,17.160,19.764,19.764,4f,8.309,4p,15.315
MW205294,4,16.814,21.893,17.994,19.174,19.174,19.277,19.277,21.534,18.584,18.584,16.224,18.584,18.639,8.260,16.447,19.118,17.994,21.662,19.417,19.469,19.469,19.231,19.231,4o,8.260,4l,16.224
MW205295,4,16.562,20.938,17.757,15.888,15.888,18.438,18.438,15.339,7.965,7.965,17.994,15.938,19.876,21.829,16.562,20.186,16.814,19.505,18.750,17.500,17.500,20.249,20.249,4k,7.965,4g,15.339
MW205296,4,17.109,22.189,17.500,14.953,14.953,17.804,17.804,14.861,7.375,7.375,16.224,17.699,20.944,20.354,15.888,21.239,15.044,18.991,17.757,19.174,19.174,18.750,18.750,4k,7.375,4r,15.044
MW205299,4,18.639,19.764,18.639,18.343,18.343,8.850,8.850,19.277,18.047,18.047,18.935,17.456,20.059,20.354,18.619,21.302,16.814,20.118,21.562,18.935,18.935,20.944,20.944,4f,8.850,4r,16.814
MW205301,4,16.817,19.820,17.665,14.970,14.970,17.066,17.066,18.438,16.875,16.875,14.062,15.868,19.219,21.321,13.514,16.875,18.018,15.265,7.375,14.671,14.671,21.321,21.321,4t,7.375,4p,13.514
MW205302,4,16.224,21.893,20.059,16.374,16.374,18.619,18.619,19.048,15.894,15.894,15.339,17.404,16.272,12.979,17.109,17.994,18.289,16.556,15.858,17.404,17.404,21.598,21.598,4o,12.979,4l,15.339
MW205303,4,16.224,22.485,17.994,15.634,15.634,17.456,17.456,18.750,16.447,16.447,12.979,16.224,15.680,10.619,14.474,16.814,17.404,16.320,17.417,14.159,14.159,20.710,20.710,4o,10.619,4l,12.979
MW205304,4,18.548,18.776,19.758,12.903,12.903,16.599,16.599,16.935,10.887,10.887,16.129,14.170,18.474,19.574,15.789,16.532,16.129,17.742,17.551,16.599,16.599,19.758,19.758,4k,10.887,4d,12.903
MW205305,4,15.976,19.469,13.213,15.015,15.015,15.634,15.634,19.375,15.976,15.976,11.834,14.715,17.109,17.751,14.201,16.864,14.793,16.024,14.953,14.715,14.715,17.699,17.699,4l,11.834,4c,13.213
MW205306,4,15.339,23.373,16.814,15.044,15.044,16.864,16.864,19.375,17.500,17.500,12.684,14.454,16.519,18.289,16.224,12.979,16.814,16.617,15.569,4.720,4.720,21.534,21.534,4v,4.720,4l,12.684
MW205307,4,16.867,19.880,15.361,15.625,15.625,14.458,14.458,19.003,14.953,14.953,11.145,15.361,14.458,17.434,11.562,14.759,16.216,17.117,14.375,13.253,13.253,17.702,17.702,4l,11.145,4p,11.562
MW205310,4,17.507,20.710,18.694,16.024,16.024,18.398,18.398,22.188,19.062,19.062,13.056,16.320,16.320,20.475,16.320,15.134,17.507,18.694,18.619,10.682,10.682,20.118,20.118,4v,10.682,4l,13.056
MW205315,4,15.976,20.944,14.201,13.905,13.905,15.312,15.312,18.380,17.445,17.445,13.314,15.089,15.634,17.751,15.089,15.385,16.568,17.500,15.015,12.684,12.684,18.421,18.421,4v,12.684,4l,13.314
MW205360,4,19.427,21.019,22.293,17.516,17.516,15.924,15.924,17.516,13.487,13.487,16.561,17.516,19.683,18.750,15.924,18.471,14.331,19.737,18.650,17.105,17.105,21.019,21.019,4k,13.487,4r,14.331
MW221786,4,16.287,19.178,16.287,3.909,3.909,16.554,16.554,20.339,11.525,11.525,14.237,14.984,18.305,16.846,14.426,16.552,16.938,16.612,15.101,14.851,14.851,18.627,18.627,4d,3.909,4k,11.525
MW221798,4,15.635,17.808,14.332,4.560,4.560,15.878,15.878,18.644,12.881,12.881,14.237,14.658,15.932,18.919,14.754,16.207,17.264,16.938,14.430,15.512,15.512,16.993,16.993,4d,4.560,4k,12.881
MW221799,4,9.901,21.242,13.201,15.120,15.120,15.512,15.512,18.089,17.726,17.726,14.901,14.527,18.771,18.213,15.517,17.915,16.172,18.212,18.557,16.287,16.287,18.836,18.836,4a,9.901,4c,13.201
MW221800,4,9.241,20.068,12.211,16.172,16.172,16.172,16.172,18.482,17.785,17.785,14.238,14.191,18.812,18.812,16.225,18.893,15.842,18.543,17.182,16.938,16.938,18.771,18.771,4a,9.241,4c,12.211
MW221809,4,15.309,17.466,14.332,3.909,3.909,15.541,15.541,18.983,10.847,10.847,12.881,14.007,14.915,16.892,13.443,14.828,15.961,16.287,13.758,13.531,13.531,16.993,16.993,4d,3.909,4k,10.847
MW221817,4,9.571,18.983,12.541,15.842,15.842,14.145,14.145,17.466,18.493,18.493,16.225,15.512,20.137,17.143,16.207,19.544,16.151,18.874,19.728,17.590,17.590,20.408,20.408,4a,9.571,4c,12.541
MW221818,4,15.961,18.151,15.635,4.560,4.560,16.216,16.216,20.339,11.525,11.525,12.881,13.029,16.271,17.905,14.754,15.172,17.264,16.938,13.758,14.851,14.851,16.993,16.993,4d,4.560,4k,11.525
MW307936,4,18.158,21.842,18.110,16.798,16.798,19.737,19.737,19.685,18.635,18.635,16.273,17.895,18.110,6.037,17.585,16.842,17.848,20.735,20.472,16.053,16.053,20.472,20.472,4o,6.037,4v,16.053
MZ327752,4,15.660,19.731,13.431,5.161,5.161,15.592,15.592,18.592,16.224,16.224,13.842,14.370,15.894,16.012,15.718,14.839,18.640,15.777,15.073,14.076,14.076,18.757,18.757,4d,5.161,4c,13.431
PP484706,4,18.881,19.014,17.483,16.000,16.000,6.690,6.690,20.290,18.116,18.116,14.685,14.909,18.662,18.919,16.084,19.231,15.679,18.246,18.545,15.636,15.636,19.565,19.565,4f,6.690,4l,14.685
PP484711,4,19.231,17.254,17.832,18.116,18.116,9.859,9.859,21.091,17.455,17.455,17.483,16.197,20.423,22.101,16.783,18.881,16.783,19.366,20.652,17.606,17.606,20.000,20.000,4f,9.859,4m,16.197
PP484713,4,18.662,21.377,17.606,16.197,16.197,16.197,16.197,20.364,17.091,17.091,13.455,15.845,19.580,20.463,11.620,14.545,18.310,16.197,7.692,12.676,12.676,20.357,20.357,4t,7.692,4p,11.620
PP484714,4,17.832,17.754,17.483,14.685,14.685,16.364,16.364,18.116,13.406,13.406,13.043,13.380,16.968,20.727,8.042,15.734,17.483,17.455,13.380,13.732,13.732,17.133,17.133,4p,8.042,4m,13.380
PP484716,4,17.133,17.091,17.133,13.287,13.287,14.545,14.545,16.667,13.043,13.043,11.957,11.871,16.245,20.280,8.042,13.406,14.909,16.000,11.972,10.714,10.714,16.783,16.783,4p,8.042,4v,10.714
PP484717,4,16.901,20.217,16.549,14.789,14.789,18.310,18.310,17.818,17.091,17.091,14.545,16.549,18.881,22.887,13.028,16.000,17.254,17.606,9.091,13.028,13.028,20.357,20.357,4t,9.091,4v,13.028
PP484720,4,17.832,15.845,16.434,15.942,15.942,7.394,7.394,17.455,16.727,16.727,13.986,16.901,17.958,19.305,13.287,18.182,15.035,16.901,17.029,15.845,15.845,20.727,20.727,4f,7.394,4p,13.287
PP484721,4,17.133,16.487,15.580,16.304,16.304,8.099,8.099,17.832,16.364,16.364,15.035,13.768,17.606,19.164,11.957,16.434,13.589,19.565,18.478,15.217,15.217,19.273,19.273,4f,8.099,4p,11.957
PP484722,4,16.783,20.070,18.478,13.455,13.455,14.437,14.437,20.290,17.029,17.029,16.084,12.727,17.958,20.557,15.273,18.531,17.073,18.545,17.818,16.000,16.000,18.841,18.841,4m,12.727,4f,14.437
PP484723,4,18.531,22.101,16.783,17.483,17.483,19.366,19.366,17.422,18.909,18.909,15.734,17.254,20.070,18.182,17.483,17.455,16.783,19.014,18.214,16.901,16.901,22.028,22.028,4l,15.734,4r,16.783
PP484725,4,18.881,15.845,16.000,16.667,16.667,6.338,6.338,18.909,17.455,17.455,17.483,16.667,19.366,20.463,15.217,20.280,15.942,18.116,19.273,17.754,17.754,20.364,20.364,4f,6.338,4b,15.845
PP484726,4,16.901,15.845,17.091,15.580,15.580,6.993,6.993,18.545,16.727,16.727,13.028,14.685,15.493,17.375,13.380,16.197,16.549,16.434,17.391,15.734,15.734,18.545,18.545,4f,6.993,4l,13.028
PP484730,4,19.930,17.958,17.133,17.391,17.391,8.099,8.099,20.629,18.545,18.545,17.832,16.549,20.775,21.678,15.035,20.979,16.783,19.718,21.014,17.958,17.958,18.909,18.909,4f,8.099,4p,15.035
PP484733,4,19.580,16.549,18.118,18.841,18.841,7.042,7.042,20.727,18.545,18.545,17.133,17.606,21.127,21.790,17.133,20.629,17.483,20.423,19.928,18.310,18.310,21.818,21.818,4f,7.042,4b,16.549
PP484734,4,16.434,16.197,17.483,16.304,16.304,3.169,3.169,17.455,18.182,18.182,15.385,15.141,19.014,18.841,15.385,17.483,15.035,19.014,18.841,14.789,14.789,18.545,18.545,4f,3.169,4v,14.789
PP484736,4,17.133,16.487,15.580,16.304,16.304,8.099,8.099,17.832,16.364,16.364,15.035,13.768,17.606,19.164,11.957,16.434,13.589,19.565,18.478,15.217,15.217,19.273,19.273,4f,8.099,4p,11.957
PP484739,4,17.832,16.197,16.084,17.029,17.029,6.338,6.338,18.909,17.818,17.818,16.783,16.197,17.254,19.305,16.084,18.182,16.084,19.366,19.928,16.197,16.197,20.000,20.000,4f,6.338,4r,16.084
PP484740,4,18.051,20.567,18.909,16.071,16.071,17.029,17.029,21.091,18.182,18.182,14.909,15.357,19.784,18.919,15.108,17.455,17.754,19.928,15.884,15.884,15.884,18.116,18.116,4m,15.357,4p,15.108
PP484741,4,16.783,20.070,18.478,13.455,13.455,14.437,14.437,20.290,17.029,17.029,16.084,12.727,17.958,20.557,15.273,18.531,17.073,18.545,17.818,16.000,16.000,18.841,18.841,4m,12.727,4f,14.437
PP484742,4,20.629,19.366,21.329,17.391,17.391,8.803,8.803,21.091,20.000,20.000,17.832,17.254,20.070,21.012,17.133,20.629,19.930,17.958,19.565,17.958,17.958,21.818,21.818,4f,8.803,4p,17.133
PP484743,4,19.231,16.197,17.832,18.841,18.841,8.451,8.451,20.364,18.545,18.545,17.483,17.254,19.718,22.464,17.133,20.280,18.182,20.070,19.565,17.958,17.958,19.273,19.273,4f,8.451,4b,16.197
PP484744,4,16.783,20.357,19.930,16.084,16.084,17.254,17.254,19.636,14.545,14.545,15.035,14.440,17.606,17.391,12.587,17.133,17.754,17.391,17.690,14.801,14.801,19.231,19.231,4p,12.587,4l,15.035
PP484747,4,16.901,20.290,16.197,14.789,14.789,14.789,14.789,17.455,17.818,17.818,13.091,16.197,18.310,21.479,12.676,15.636,18.662,15.493,7.857,11.972,11.972,20.141,20.141,4t,7.857,4v,11.972
PP484752,4,17.483,18.909,19.580,13.636,13.636,16.549,16.549,18.478,14.130,14.130,14.336,14.085,16.549,19.691,9.441,15.385,17.483,17.818,12.950,12.324,12.324,18.531,18.531,4p,9.441,4v,12.324
PP484754,4,17.986,19.565,18.929,15.468,15.468,17.029,17.029,17.091,17.091,17.091,15.636,17.266,18.909,19.844,13.028,16.727,18.116,18.116,9.091,15.714,15.714,19.366,19.366,4t,9.091,4p,13.028
PP484755,4,20.280,17.958,19.636,14.130,14.130,9.859,9.859,19.164,18.909,18.909,18.182,15.580,20.070,20.979,17.391,20.629,18.478,17.391,19.928,15.942,15.942,17.818,17.818,4f,9.859,4d,14.130
PP484760,4,17.993,15.141,17.832,14.855,14.855,9.507,9.507,18.545,17.091,17.091,15.035,17.606,19.366,20.077,13.986,17.483,16.084,18.310,18.116,16.549,16.549,19.636,19.636,4f,9.507,4p,13.986
PP484761,4,18.531,17.254,18.182,15.942,15.942,6.690,6.690,18.545,18.545,18.545,17.483,15.845,21.479,19.691,15.385,20.629,17.133,20.070,19.928,18.662,18.662,20.000,20.000,4f,6.690,4p,15.385
PP484762,4,18.182,19.565,17.133,14.685,14.685,16.901,16.901,21.329,16.364,16.364,11.538,11.972,17.254,19.930,15.035,12.727,17.832,17.606,12.143,13.380,13.380,19.231,19.231,4l,11.538,4m,11.972
PP484765,4,18.881,16.901,17.832,17.029,17.029,8.803,8.803,21.091,17.818,17.818,16.783,15.845,20.423,21.377,15.734,19.231,15.734,20.775,19.565,18.662,18.662,21.818,21.818,4f,8.803,4r,15.734
PP484768,4,16.549,19.928,16.901,14.789,14.789,16.901,16.901,18.909,17.818,17.818,12.727,15.845,18.881,22.008,11.972,14.545,16.197,16.197,8.042,13.380,13.380,19.643,19.643,4t,8.042,4p,11.972
PP484772,4,18.531,18.310,18.182,18.478,18.478,8.451,8.451,20.727,17.091,17.091,18.182,17.254,20.070,21.377,16.434,,17.133,19.366,21.739,17.254,17.254,19.636,19.636,4f,8.451,4p,16.434
PP484775,4,18.531,19.928,17.483,15.035,15.035,17.254,17.254,21.329,16.727,16.727,11.888,12.324,17.606,20.280,15.385,12.727,18.182,17.958,12.500,13.380,13.380,19.580,19.580,4l,11.888,4m,12.324
PP484782,4,17.483,19.203,19.231,14.685,14.685,13.768,13.768,18.545,14.909,14.909,13.091,14.085,17.455,18.919,4.545,15.035,15.734,18.841,12.324,13.732,13.732,18.881,18.881,4p,4.545,4t,12.324
PP484788,4,18.531,16.364,14.130,14.909,14.909,7.746,7.746,17.754,16.304,16.304,14.336,13.455,19.366,19.691,14.336,16.783,13.937,17.091,17.091,14.545,14.545,18.841,18.841,4f,7.746,4m,13.455
PP484791,4,20.629,20.070,18.182,17.818,17.818,9.507,9.507,21.377,21.014,21.014,16.783,17.818,20.070,18.919,16.434,19.930,17.422,17.544,21.818,16.727,16.727,20.290,20.290,4f,9.507,4p,16.434
PP484796,4,18.705,22.101,18.571,15.468,15.468,17.029,17.029,21.091,18.182,18.182,13.455,15.827,18.909,19.691,13.380,15.273,17.029,15.217,8.042,14.286,14.286,21.479,21.479,4t,8.042,4p,13.380
PP484798,4,19.014,19.928,19.014,16.197,16.197,17.606,17.606,19.273,18.545,18.545,14.182,16.549,21.831,23.944,13.028,16.727,19.366,18.310,12.143,13.380,13.380,19.643,19.643,4t,12.143,4p,13.028
PP484799,4,17.133,17.818,16.783,13.986,13.986,13.818,13.818,17.133,14.493,14.493,13.287,12.324,16.549,18.919,8.392,13.406,16.084,17.091,12.143,10.915,10.915,19.580,19.580,4p,8.392,4v,10.915
PP484801,4,19.930,17.254,17.133,15.580,15.580,7.042,7.042,20.364,17.455,17.455,17.133,15.141,19.718,20.077,17.133,18.182,13.986,19.014,19.928,15.845,15.845,18.909,18.909,4f,7.042,4r,13.986
PP484802,4,12.937,20.290,12.238,15.035,15.035,15.141,15.141,18.531,13.091,13.091,13.986,14.085,16.197,19.580,13.287,15.636,12.937,17.606,14.286,13.732,13.732,20.979,20.979,4c,12.238,4r,12.937
PP484804,4,17.832,17.254,18.531,18.841,18.841,8.803,8.803,19.273,17.818,17.818,18.182,18.662,19.366,24.275,16.434,19.930,18.881,20.070,19.203,18.310,18.310,17.818,17.818,4f,8.803,4p,16.434
PP484806,4,18.662,19.231,19.014,15.108,15.108,17.391,17.391,20.364,18.182,18.182,13.818,17.254,20.280,22.183,13.214,15.636,19.366,16.667,6.294,14.789,14.789,20.423,20.423,4t,6.294,4p,13.214
PP484808,4,21.678,22.183,19.930,20.290,20.290,11.268,11.268,22.182,20.364,20.364,21.329,20.423,20.775,22.394,19.930,22.028,19.930,21.127,22.464,20.775,20.775,20.727,20.727,4f,11.268,4r,19.930
PP484810,4,17.483,19.928,14.685,14.685,14.685,19.718,19.718,16.304,15.636,15.636,13.986,15.493,16.901,17.754,15.385,16.000,16.783,17.958,16.547,14.789,14.789,20.629,20.629,4l,13.986,4d,14.685
PP484811,4,20.979,19.014,18.182,16.364,16.364,9.507,9.507,22.101,17.754,17.754,18.182,16.364,19.014,20.463,18.531,19.930,17.073,18.246,21.818,18.182,18.182,19.134,19.134,4f,9.507,4m,16.364
PP484812,4,20.629,18.571,17.091,18.841,18.841,10.211,10.211,20.727,21.818,21.818,18.182,17.754,20.775,21.739,18.531,20.979,18.841,18.478,22.464,19.203,19.203,22.909,22.909,4f,10.211,4c,17.091
PP484814,4,17.483,18.310,15.734,16.364,16.364,7.394,7.394,20.652,18.085,18.085,16.783,14.545,17.606,20.463,15.734,16.783,14.286,21.053,20.727,14.545,14.545,20.290,20.290,4f,7.394,4r,14.286
PP484818,4,19.366,19.930,20.423,16.547,16.547,16.732,16.732,20.000,18.182,18.182,16.364,17.254,19.930,22.887,15.357,16.364,19.718,18.478,6.294,15.493,15.493,21.479,21.479,4t,6.294,4v,15.493
PP484821,4,15.636,18.545,17.958,13.455,13.455,13.287,13.287,18.310,14.539,14.539,12.676,12.238,17.606,20.423,6.545,14.440,15.141,17.483,11.636,12.587,12.587,17.754,17.754,4p,6.545,4m,12.238
PP484823,4,17.483,17.254,17.133,16.304,16.304,7.042,7.042,21.091,17.818,17.818,13.986,15.845,17.254,19.565,16.434,18.182,16.434,15.845,17.391,15.845,15.845,20.364,20.364,4f,7.042,4l,13.986
PP484826,4,17.832,18.909,18.531,13.986,13.986,13.818,13.818,18.841,13.406,13.406,11.232,11.151,17.329,20.629,9.441,14.493,16.364,14.909,11.268,12.500,12.500,16.783,16.783,4p,9.441,4t,11.268
PP484827,4,14.386,20.290,17.193,17.254,17.254,16.901,16.901,20.364,16.727,16.727,14.909,13.732,17.483,20.070,17.254,17.091,16.549,17.606,18.182,13.028,13.028,19.573,19.573,4v,13.028,4m,13.732
PP484832,4,17.832,19.014,18.531,16.304,16.304,4.930,4.930,18.545,17.818,17.818,15.385,15.493,18.310,19.203,16.084,18.531,16.434,17.606,19.203,16.901,16.901,18.545,18.545,4f,4.930,4l,15.385
PP484834,4,17.133,19.366,17.133,16.667,16.667,9.859,9.859,21.091,20.727,20.727,17.832,16.901,21.127,21.739,17.483,21.329,17.133,20.423,22.464,18.662,18.662,22.545,22.545,4f,9.859,4m,16.901
PP484839,4,18.531,18.310,17.832,17.029,17.029,7.042,7.042,19.273,18.182,18.182,16.783,15.141,20.423,20.077,16.084,20.629,15.734,19.014,19.565,17.958,17.958,18.909,18.909,4f,7.042,4m,15.141
PP484841,4,17.626,21.014,18.929,14.388,14.388,15.942,15.942,20.364,17.455,17.455,14.545,16.187,17.818,18.992,12.676,14.545,17.029,16.667,5.245,12.857,12.857,21.127,21.127,4t,5.245,4p,12.676
PP484854,4,17.483,17.958,15.385,15.273,15.273,7.746,7.746,18.841,16.304,16.304,16.084,14.909,16.549,18.545,15.734,17.483,15.734,18.909,17.818,14.909,14.909,18.478,18.478,4f,7.746,4c,15.385
PP484855,4,17.483,22.101,15.734,17.483,17.483,18.662,18.662,16.725,16.727,16.727,13.986,15.493,19.014,18.531,17.133,17.818,17.832,17.254,18.214,15.493,15.493,19.930,19.930,4l,13.986,4m,15.493
PP484856,4,16.028,18.662,16.783,16.667,16.667,6.690,6.690,18.182,18.182,18.182,15.385,15.845,19.014,18.533,15.385,19.930,15.734,18.310,19.928,16.197,16.197,21.091,21.091,4f,6.690,4p,15.385
PP484857,4,17.958,18.310,16.364,16.667,16.667,5.944,5.944,18.545,16.727,16.727,16.197,15.035,18.310,18.533,16.197,17.606,14.789,19.231,19.928,15.385,15.385,18.909,18.909,4f,5.944,4m,15.035
PP484858,4,18.531,17.958,18.881,17.029,17.029,8.451,8.451,20.364,18.545,18.545,16.084,17.254,19.718,18.919,14.685,19.231,16.783,17.606,18.841,17.606,17.606,18.909,18.909,4f,8.451,4p,14.685
PP484860,4,16.725,18.662,17.483,17.391,17.391,6.690,6.690,18.182,18.182,18.182,16.084,15.845,19.718,19.305,15.385,19.580,15.734,19.014,19.928,16.901,16.901,21.455,21.455,4f,6.690,4p,15.385
PP484863,4,20.415,18.310,18.881,17.455,17.455,8.099,8.099,19.928,18.841,18.841,17.483,18.545,18.662,21.012,17.483,20.280,18.118,17.193,19.273,16.364,16.364,20.652,20.652,4f,8.099,4v,16.364
PP484866,4,17.832,18.310,17.483,15.942,15.942,5.986,5.986,18.909,17.455,17.455,16.084,15.845,17.958,20.077,16.084,19.580,16.783,17.958,20.652,16.901,16.901,19.636,19.636,4f,5.986,4m,15.845
PP484870,4,17.483,15.845,17.483,16.667,16.667,5.282,5.282,18.815,18.214,18.214,14.336,15.493,17.958,21.014,15.035,17.133,16.084,19.718,18.116,16.197,16.197,19.273,19.273,4f,5.282,4l,14.336
PP484875,4,19.580,15.845,17.133,18.116,18.116,8.451,8.451,20.000,19.636,19.636,17.832,19.366,20.775,21.739,17.133,18.881,17.832,21.479,20.652,16.901,16.901,20.000,20.000,4f,8.451,4b,15.845
PP583868,4,20.805,20.134,19.799,17.450,17.450,19.463,19.463,19.118,17.216,17.216,15.101,16.779,20.470,24.161,15.101,18.121,19.128,18.947,10.067,16.443,16.443,22.148,22.148,4t,10.067,4p,15.101
