Accession,ClosestSubtypeAlignedNT,AssignedGenotype,Subtype6aDistance,Subtype6aDistance,Subtype6bDistance,Subtype6cDistance,Subtype6dDistance,Subtype6eDistance,Subtype6fDistance,Subtype6gDistance,Subtype6hDistance,Subtype6iDistance,Subtype6jDistance,Subtype6kDistance,Subtype6lDistance,Subtype6mDistance,Subtype6nDistance,Subtype6nDistance,Subtype6oDistance,Subtype6pDistance,Subtype6qDistance,Subtype6rDistance,Subtype6sDistance,Subtype6tDistance,Subtype6tDistance,Subtype6uDistance,Subtype6vDistance,Subtype6vDistance,Subtype6wDistance,Subtype6wDistance,Subtype6xaDistance,Subtype6xaDistance,Subtype6xbDistance,Subtype6xbDistance,Subtype6xcDistance,Subtype6xdDistance,Subtype6xdDistance,Subtype6xeDistance,Subtype6xeDistance,Subtype6xfDistance,Subtype6xfDistance,Subtype6xgDistance,Subtype6xgDistance,Subtype6xhDistance,Subtype6xiDistance,Subtype6xiDistance,Subtype6xjDistance,FirstChoiceSubtype,FirstChoiceDistance,SecondChoiceSubtype,SecondChoiceDistance
MT185686,639,6,4.538,4.538,21.609,27.539,31.935,28.391,30.218,31.270,28.481,26.741,29.794,28.595,27.778,29.002,31.587,31.587,27.027,27.663,28.393,30.047,29.356,26.719,26.719,28.986,28.323,28.323,29.160,29.160,30.635,30.635,29.606,29.606,28.685,21.940,21.940,27.861,27.861,27.616,27.616,30.586,30.586,30.332,29.048,29.048,29.022,6a,4.538,6b,21.609
MK252774,600,6,31.000,31.000,29.489,29.474,29.900,27.926,27.740,28.475,23.333,26.167,26.131,23.000,19.339,22.000,4.667,4.667,30.116,27.216,27.454,29.522,31.514,28.295,28.295,27.641,28.619,28.619,27.000,27.000,28.833,28.833,21.000,21.000,29.725,28.785,28.785,15.000,15.000,26.910,26.910,14.050,14.050,29.592,21.333,21.333,24.000,6n,4.667,6xg,14.050
MK252779,600,6,31.281,31.281,29.819,29.503,30.546,29.097,28.889,28.814,24.000,26.333,26.801,24.833,19.669,21.833,3.667,3.667,30.629,28.811,27.787,29.693,31.356,27.241,27.241,27.574,28.286,28.286,28.333,28.333,29.088,29.088,21.167,21.167,29.210,28.952,28.952,15.667,15.667,27.778,27.778,14.215,14.215,29.592,21.667,21.667,24.333,6n,3.667,6xg,14.215
MK252786,600,6,30.565,30.565,29.325,27.719,29.451,27.592,27.304,28.136,23.333,25.500,26.131,23.333,18.678,21.167,4.500,4.500,29.305,28.141,25.790,29.181,30.123,27.944,27.944,26.620,27.768,27.768,26.667,26.667,28.833,28.833,20.667,20.667,28.302,28.120,28.120,14.545,14.545,26.863,26.863,13.509,13.509,28.912,21.167,21.167,23.500,6n,4.500,6xg,13.509
MK252788,612,6,29.058,29.058,29.805,29.112,30.130,28.571,29.527,29.452,27.805,26.500,27.880,25.829,29.593,27.732,29.739,29.739,28.805,26.273,27.496,28.922,29.655,26.202,26.202,26.961,5.882,5.882,28.059,28.059,24.756,24.756,27.101,27.101,29.236,27.931,27.931,28.455,28.455,29.721,29.721,28.780,28.780,29.364,26.408,26.408,26.587,6v,5.882,6xa,24.756
MK252799,558,6,31.250,31.250,30.171,28.172,30.373,28.235,28.877,28.807,23.477,25.627,26.667,24.324,20.782,22.442,3.943,3.943,28.544,27.672,26.476,29.715,30.075,27.961,27.961,27.406,28.829,28.829,28.571,28.571,28.463,28.463,21.185,21.185,29.149,29.803,29.803,16.846,16.846,28.108,28.108,15.221,15.221,30.018,22.022,22.022,24.417,6n,3.943,6xg,15.221
MK252800,288,6,27.682,27.682,28.720,27.622,,26.573,25.517,27.536,24.306,27.778,24.561,22.917,17.065,23.958,3.125,3.125,27.682,25.614,26.298,31.379,28.417,26.978,26.978,24.199,26.736,26.736,25.694,25.694,26.389,26.389,21.875,21.875,26.667,26.573,26.573,16.382,16.382,26.408,26.408,12.969,12.969,26.715,20.486,20.486,23.693,6n,3.125,6xg,12.969
MK252801,600,6,29.950,29.950,29.325,28.319,29.725,29.431,27.649,28.475,23.000,25.833,25.963,23.167,19.142,23.167,4.333,4.333,28.276,28.643,27.148,29.281,30.998,27.768,27.768,28.196,28.694,28.694,27.454,27.454,28.500,28.500,21.333,21.333,28.473,28.286,28.286,15.333,15.333,27.083,27.083,14.876,14.876,30.102,21.500,21.500,23.960,6n,4.333,6xg,14.876
MK252802,600,6,31.500,31.500,29.984,27.895,29.587,29.097,28.082,28.305,23.667,26.000,26.298,24.000,19.504,21.500,4.000,4.000,29.022,28.476,26.789,29.744,30.106,26.889,26.889,27.496,28.450,28.450,27.000,27.000,27.833,27.833,20.833,20.833,29.210,28.286,28.286,15.167,15.167,27.431,27.431,14.498,14.498,28.741,21.500,21.500,23.667,6n,4.000,6xg,14.498
MK252811,600,6,30.616,30.616,30.083,29.123,29.636,27.926,28.034,28.305,23.667,25.333,25.628,23.667,19.008,22.500,3.000,3.000,28.926,28.476,26.456,30.085,30.648,28.120,28.120,27.400,28.790,28.790,27.333,27.333,28.667,28.667,21.000,21.000,28.302,29.215,29.215,14.500,14.500,27.083,27.083,14.003,14.003,30.272,21.667,21.667,24.167,6n,3.000,6xg,14.003
MK252822,294,6,31.271,31.271,27.458,27.915,23.891,24.028,26.174,26.481,26.441,26.190,28.866,24.830,26.962,28.622,25.939,25.939,28.470,24.828,23.311,27.703,26.621,23.154,23.154,26.207,25.850,25.850,22.695,22.695,2.721,2.721,25.170,25.170,24.101,24.727,24.727,25.939,25.939,27.241,27.241,23.208,23.208,26.962,24.014,24.014,26.132,6xa,2.721,6t,23.154
MK255952,329,6,6.687,6.687,24.308,25.263,,29.467,27.900,30.323,32.372,25.697,29.371,29.012,30.247,30.462,30.990,30.990,27.331,26.948,28.485,31.861,30.159,26.780,26.780,27.076,27.698,27.698,27.875,27.875,31.329,31.329,31.173,31.173,28.571,23.125,23.125,29.231,29.231,,,29.755,29.755,27.875,31.173,31.173,31.833,6a,6.687,6xd,23.125
MK255953,330,6,6.061,6.061,24.308,24.912,,29.781,28.716,32.423,31.834,26.625,30.070,29.630,31.790,28.374,30.903,30.903,27.653,27.273,30.303,31.132,30.903,27.797,27.797,28.623,27.574,27.574,28.223,28.223,33.544,33.544,29.321,29.321,30.844,25.000,25.000,30.450,30.450,29.630,29.630,31.077,31.077,28.223,31.481,31.481,31.010,6a,6.061,6b,24.308
MK255954,329,6,4.255,4.255,24.000,23.860,,29.154,28.527,33.226,30.450,26.316,29.720,29.012,31.481,29.066,30.903,30.903,27.653,27.018,28.182,30.721,30.990,26.780,26.780,28.261,28.417,28.417,28.754,28.754,32.911,32.911,29.012,29.012,29.371,22.812,22.812,28.374,28.374,26.923,26.923,,,28.571,30.104,30.104,31.707,6a,4.255,6xd,22.812
MK255955,330,6,5.758,5.758,22.769,23.860,31.529,28.213,27.414,31.511,30.796,27.010,30.420,28.395,32.099,29.755,32.292,32.292,25.559,26.667,28.182,30.721,31.511,27.458,27.458,27.536,29.242,29.242,27.875,27.875,31.579,31.579,29.630,29.630,29.808,23.750,23.750,30.104,30.104,27.972,27.972,33.231,33.231,27.875,28.966,28.966,31.010,6a,5.758,6b,22.769
MK255956,330,6,4.242,4.242,23.077,24.561,,29.154,28.378,30.323,30.796,25.077,28.322,29.938,30.864,28.374,31.250,31.250,27.974,28.571,,33.123,29.514,27.119,27.119,27.899,29.412,29.412,27.389,27.389,31.646,31.646,30.247,30.247,28.571,23.125,23.125,27.914,27.914,26.056,26.056,31.077,31.077,28.571,29.630,29.630,30.314,6a,4.242,6b,23.077
MK255957,330,6,5.152,5.152,22.154,23.913,30.435,27.798,27.273,29.677,31.142,25.000,31.469,29.938,31.790,28.413,31.250,31.250,27.090,25.614,28.750,31.132,30.351,25.085,25.085,28.421,29.310,29.310,27.881,27.881,32.639,32.639,28.472,28.472,28.520,21.562,21.562,29.231,29.231,27.622,27.622,,,27.526,29.412,29.412,31.010,6a,5.152,6xd,21.562
MK255958,329,6,6.687,6.687,24.000,24.912,30.255,27.273,27.640,31.190,30.690,26.923,28.671,28.704,30.864,30.769,29.758,29.758,26.433,25.614,27.576,30.530,32.154,27.119,27.119,27.536,29.496,29.496,28.344,28.344,32.508,32.508,28.704,28.704,28.205,22.500,22.500,28.028,28.028,27.178,27.178,31.077,31.077,28.125,31.597,31.597,31.597,6a,6.687,6xd,22.500
MK255959,330,6,5.152,5.152,24.615,24.211,,29.467,27.458,31.190,29.655,24.913,29.021,29.012,31.173,28.028,30.208,30.208,27.083,26.667,27.119,30.952,30.208,26.441,26.441,28.803,27.240,27.240,26.897,26.897,31.250,31.250,28.704,28.704,28.391,23.125,23.125,29.231,29.231,27.273,27.273,32.000,32.000,28.223,30.104,30.104,31.707,6a,5.152,6xd,23.125
MK255960,330,6,5.455,5.455,24.615,23.509,,28.527,27.329,30.225,29.655,24.359,29.021,28.704,32.099,30.368,30.796,30.796,26.433,26.667,26.667,30.000,29.904,26.780,26.780,27.076,27.798,27.798,27.389,27.389,31.269,31.269,30.556,30.556,28.526,23.750,23.750,28.374,28.374,26.829,26.829,32.615,32.615,26.389,28.966,28.966,31.597,6a,5.455,6xd,23.750
MK255961,330,6,5.152,5.152,24.000,23.509,,29.375,27.726,30.868,29.758,25.080,28.571,28.704,30.864,30.769,30.208,30.208,27.796,24.561,28.182,31.034,31.511,28.136,28.136,29.348,28.417,28.417,27.389,27.389,32.508,32.508,29.321,29.321,30.128,23.438,23.438,27.682,27.682,26.573,26.573,32.000,32.000,28.571,30.104,30.104,32.056,6a,5.152,6xd,23.438
MK255962,330,6,6.061,6.061,23.692,23.860,30.794,29.467,29.062,31.833,30.345,25.962,31.119,29.321,31.790,29.231,30.556,30.556,26.837,27.832,28.788,30.938,30.868,26.441,26.441,30.072,29.032,29.032,29.268,29.268,32.372,32.372,29.321,29.321,29.720,22.812,22.812,29.321,29.321,25.524,25.524,31.692,31.692,27.526,28.374,28.374,32.753,6a,6.061,6xd,22.812
MK255963,329,6,4.255,4.255,23.385,22.807,,28.840,27.723,31.833,29.412,26.688,30.769,28.704,31.212,29.538,29.861,29.861,26.198,26.316,28.182,31.348,30.547,25.260,25.260,28.623,28.276,28.276,28.571,28.571,32.817,32.817,29.321,29.321,28.846,23.438,23.438,28.000,28.000,26.573,26.573,31.420,31.420,27.875,29.412,29.412,29.965,6a,4.255,6b,23.385
MK255964,330,6,4.848,4.848,24.000,24.912,,30.094,28.041,31.613,30.104,25.347,30.769,29.167,31.790,28.720,31.250,31.250,27.010,25.614,27.797,30.847,28.472,28.136,28.136,28.986,29.856,29.856,29.617,29.617,32.248,32.248,29.514,29.514,27.273,22.188,22.188,29.012,29.012,26.224,26.224,32.615,32.615,28.223,29.066,29.066,32.404,6a,4.848,6xd,22.188
MK255965,329,6,5.471,5.471,21.538,23.711,,29.781,27.900,30.034,30.351,24.383,29.897,29.630,29.012,29.231,29.487,29.487,26.045,25.172,26.970,30.599,27.796,26.333,26.333,28.826,27.338,27.338,28.231,28.231,30.380,30.380,29.538,29.538,25.890,22.500,22.500,26.380,26.380,27.564,27.564,29.321,29.321,27.244,27.304,27.304,32.056,6a,5.471,6b,21.538
MK255966,329,6,3.951,3.951,24.000,23.860,,29.781,28.840,31.935,29.412,26.316,30.769,30.247,30.864,29.066,29.861,29.861,25.402,26.667,28.788,32.492,30.351,26.441,26.441,28.261,29.310,29.310,28.223,28.223,33.544,33.544,30.864,30.864,26.573,23.750,23.750,27.692,27.692,27.273,27.273,32.716,32.716,27.875,30.104,30.104,29.965,6a,3.951,6b,24.000
MK255967,329,6,3.951,3.951,23.385,23.509,,28.750,28.438,32.154,28.276,25.000,28.571,28.086,30.247,29.755,29.861,29.861,27.157,25.614,28.485,31.975,31.190,26.780,26.780,28.261,27.599,27.599,27.070,27.070,32.508,32.508,29.012,29.012,29.167,22.812,22.812,28.308,28.308,26.056,26.056,32.308,32.308,28.223,30.104,30.104,31.707,6a,3.951,6xd,22.812
MK255968,330,6,5.152,5.152,23.692,24.211,29.167,28.213,27.586,29.677,30.450,25.077,30.526,28.395,30.247,28.621,29.861,29.861,25.080,25.965,27.576,30.599,29.073,26.102,26.102,27.536,29.348,29.348,28.223,28.223,30.063,30.063,28.125,28.125,25.175,21.875,21.875,27.077,27.077,26.923,26.923,30.556,30.556,26.132,27.431,27.431,30.662,6a,5.152,6xd,21.875
MK255969,329,6,7.903,7.903,26.154,23.427,32.063,30.625,31.034,,30.345,26.852,30.556,29.938,31.902,28.966,,,28.296,28.896,29.394,32.075,29.712,27.458,27.458,28.881,29.032,29.032,,,31.962,31.962,,,30.662,23.750,23.750,28.615,28.615,27.622,27.622,32.000,32.000,29.514,30.104,30.104,33.449,6a,7.903,6xd,23.750
MK255970,329,6,6.079,6.079,24.615,22.727,,29.781,28.527,32.903,29.310,26.543,31.930,29.012,29.938,28.720,29.861,29.861,27.653,27.241,27.879,31.546,29.712,26.780,26.780,28.986,29.310,29.310,28.571,28.571,32.278,32.278,28.615,28.615,29.126,24.375,24.375,28.528,28.528,26.545,26.545,31.481,31.481,27.431,30.375,30.375,31.010,6a,6.079,6b,24.615
MK255971,330,6,6.364,6.364,24.923,22.727,,29.781,29.874,33.226,30.000,27.160,30.662,29.321,30.556,28.028,30.208,30.208,27.331,27.018,27.576,32.808,31.629,27.119,27.119,28.623,29.210,29.210,28.223,28.223,32.595,32.595,29.846,29.846,27.526,24.375,24.375,27.914,27.914,26.909,26.909,31.385,31.385,27.778,30.104,30.104,32.404,6a,6.364,6xd,24.375
MK255972,330,6,8.182,8.182,24.923,23.509,30.573,28.438,27.103,30.225,28.966,25.879,32.632,28.395,30.247,30.675,30.556,30.556,27.157,26.667,26.970,30.094,28.939,26.441,26.441,27.076,27.076,27.076,27.244,27.244,30.449,30.449,30.556,30.556,28.526,23.438,23.438,29.066,29.066,25.175,25.175,31.790,31.790,28.223,29.066,29.066,29.965,6a,8.182,6xd,23.438
MK255973,330,6,6.667,6.667,23.692,23.509,,30.503,27.797,31.935,31.142,26.316,30.769,28.704,30.864,30.208,29.861,29.861,25.723,26.623,28.571,30.612,29.861,28.231,28.231,27.076,28.881,28.881,27.875,27.875,31.646,31.646,30.247,30.247,29.545,23.125,23.125,28.923,28.923,26.543,26.543,32.099,32.099,28.920,31.579,31.579,32.292,6a,6.667,6xd,23.125
MK255974,329,6,5.167,5.167,24.000,22.378,,,28.213,32.082,29.310,25.926,31.228,28.704,29.938,27.682,29.514,29.514,26.688,26.667,27.576,31.230,30.032,27.119,27.119,28.623,28.309,28.309,28.223,28.223,31.962,31.962,28.615,28.615,26.481,23.125,23.125,27.607,27.607,26.224,26.224,30.864,30.864,26.042,29.514,29.514,31.359,6a,5.167,6xd,23.125
MK255975,329,6,5.471,5.471,22.462,24.759,,29.375,28.037,31.529,30.351,25.347,29.268,29.630,30.208,30.675,29.514,29.514,26.837,25.965,28.931,32.288,30.868,26.102,26.102,30.000,28.777,28.777,28.662,28.662,32.692,32.692,29.938,29.938,28.155,23.438,23.438,28.526,28.526,,,32.526,32.526,29.617,31.481,31.481,32.716,6a,5.471,6b,22.462
MK255976,330,6,4.848,4.848,24.615,24.912,,30.175,28.136,31.164,29.758,23.958,31.469,29.938,30.864,28.819,31.597,31.597,25.694,26.316,28.875,32.492,29.514,26.871,26.871,27.899,28.777,28.777,27.931,27.931,31.597,31.597,30.208,30.208,26.923,22.812,22.812,28.308,28.308,26.573,26.573,32.615,32.615,27.875,28.720,28.720,30.208,6a,4.848,6xd,22.812
MK255977,330,6,5.152,5.152,23.692,25.965,31.250,29.154,27.900,,29.412,26.006,,30.556,31.173,30.796,30.903,30.903,26.045,25.614,27.576,30.915,30.032,26.441,26.441,28.986,30.576,30.576,29.965,29.965,32.595,32.595,29.514,29.514,26.923,22.500,22.500,27.077,27.077,26.573,26.573,30.462,30.462,26.829,29.066,29.066,31.359,6a,5.152,6xd,22.500
MK255978,329,6,5.167,5.167,24.000,23.509,,28.840,28.037,31.190,29.412,25.080,29.371,29.630,32.407,29.755,31.250,31.250,25.879,25.965,29.091,30.721,30.547,25.763,25.763,28.623,27.798,27.798,27.875,27.875,31.269,31.269,30.864,30.864,28.846,24.375,24.375,30.462,30.462,27.972,27.972,32.615,32.615,28.920,30.000,30.000,33.101,6a,5.167,6b,24.000
MK255979,329,6,5.775,5.775,23.692,24.912,,30.094,28.814,31.613,28.966,24.383,29.021,29.012,31.481,27.682,31.597,31.597,26.688,25.974,29.091,31.293,29.861,27.119,27.119,27.536,27.240,27.240,26.481,26.481,30.696,30.696,31.173,31.173,29.221,22.535,22.535,30.462,30.462,27.885,27.885,31.692,31.692,29.617,31.173,31.173,31.359,6a,5.775,6b,23.692
MK255980,330,6,5.455,5.455,22.769,23.509,30.903,28.322,28.378,,29.758,25.387,30.420,29.321,31.481,29.066,31.597,31.597,25.000,26.316,27.273,29.968,30.032,25.424,25.424,27.899,28.276,28.276,28.571,28.571,31.250,31.250,29.514,29.514,27.972,23.125,23.125,28.000,28.000,25.874,25.874,30.769,30.769,27.526,29.066,29.066,32.056,6a,5.455,6b,22.769
MK255981,329,6,5.471,5.471,24.923,23.509,,29.781,28.972,32.797,30.104,25.402,29.720,28.704,31.481,29.538,30.208,30.208,27.157,26.667,28.182,31.975,31.190,26.780,26.780,27.536,28.417,28.417,28.662,28.662,32.372,32.372,29.630,29.630,30.128,23.438,23.438,29.012,29.012,25.874,25.874,31.385,31.385,28.571,29.412,29.412,31.010,6a,5.471,6xd,23.438
MK255982,329,6,5.775,5.775,24.615,23.158,,29.375,28.716,32.903,29.655,27.245,31.469,30.556,30.556,29.066,30.556,30.556,25.723,27.018,27.879,30.272,30.351,26.102,26.102,28.261,28.621,28.621,29.333,29.333,32.911,32.911,30.864,30.864,29.545,24.062,24.062,29.321,29.321,26.224,26.224,31.692,31.692,28.571,31.481,31.481,31.359,6a,5.775,6xd,24.062
MK255983,324,6,5.247,5.247,24.383,23.158,,28.840,28.904,32.581,30.796,27.245,30.420,28.704,30.368,28.374,29.897,29.897,26.688,27.368,27.469,,31.310,25.952,25.952,27.798,27.586,27.586,28.571,28.571,32.595,32.595,29.938,29.938,29.371,23.438,23.438,29.012,29.012,26.545,26.545,,,27.875,29.412,29.412,30.662,6a,5.247,6xd,23.438
MK255984,330,6,6.667,6.667,25.538,24.912,,31.132,30.508,32.258,30.345,25.617,30.769,30.864,32.099,29.066,32.639,32.639,27.653,28.571,30.303,33.673,31.250,28.571,28.571,28.986,29.897,29.897,28.571,28.571,33.228,33.228,31.173,31.173,29.870,24.375,24.375,29.538,29.538,29.012,29.012,32.308,32.308,30.314,31.790,31.790,32.056,6a,6.667,6xd,24.375
MK255985,329,6,6.991,6.991,22.769,24.211,30.072,27.812,27.365,31.613,29.758,27.245,,29.321,32.099,28.966,,,26.367,25.939,27.879,29.252,,26.780,26.780,27.622,28.966,28.966,26.578,26.578,31.329,31.329,29.514,29.514,28.896,23.125,23.125,28.000,28.000,27.778,27.778,30.462,30.462,27.526,31.046,31.046,32.056,6a,6.991,6b,22.769
MK255986,329,6,8.207,8.207,24.923,22.807,30.903,28.479,27.458,31.290,31.034,25.321,30.175,28.472,30.247,28.966,30.208,30.208,24.759,26.623,26.441,30.508,29.514,27.458,27.458,28.261,27.798,27.798,28.571,28.571,30.284,30.284,30.247,30.247,27.922,22.887,22.887,28.028,28.028,27.564,27.564,31.173,31.173,26.481,29.747,29.747,29.965,6a,8.207,6b,24.923
MK255987,330,6,6.061,6.061,24.308,24.912,29.514,29.245,27.193,,31.142,26.625,31.119,30.864,32.099,29.514,31.597,31.597,26.688,27.368,28.267,30.599,30.032,27.211,27.211,29.137,28.309,28.309,29.617,29.617,31.597,31.597,31.173,31.173,26.573,23.438,23.438,28.308,28.308,26.573,26.573,31.173,31.173,27.526,29.412,29.412,33.449,6a,6.061,6xd,23.438
MK255988,330,6,7.576,7.576,25.538,24.476,30.892,30.189,29.730,30.182,28.522,23.529,29.371,29.630,32.099,29.231,31.410,31.410,27.778,28.421,30.000,32.492,30.556,25.510,25.510,29.348,,,28.920,28.920,31.962,31.962,28.720,28.720,,23.438,23.438,28.000,28.000,27.273,27.273,29.846,29.846,28.819,30.556,30.556,,6a,7.576,6xd,23.438
MK255989,330,6,4.242,4.242,23.077,25.263,,30.721,29.154,31.511,28.522,25.617,30.208,29.630,30.864,29.412,30.903,30.903,27.653,27.018,28.485,31.861,29.618,27.119,27.119,29.710,29.210,29.210,29.268,29.268,32.595,32.595,30.462,30.462,27.972,23.125,23.125,27.523,27.523,27.972,27.972,31.077,31.077,27.083,29.066,29.066,32.056,6a,4.242,6b,23.077
MK255990,330,6,6.667,6.667,24.615,24.561,,30.189,28.671,32.154,30.175,26.129,30.070,28.793,32.508,30.841,30.877,30.877,26.774,27.832,28.571,31.973,30.515,26.812,26.812,29.450,28.058,28.058,28.296,28.296,31.988,31.988,29.595,29.595,29.167,24.615,24.615,29.630,29.630,27.431,27.431,31.922,31.922,27.675,31.677,31.677,31.469,6a,6.667,6xd,24.615
MK255991,330,6,8.788,8.788,26.462,25.614,,31.661,30.068,31.613,31.724,27.160,32.168,32.407,33.333,29.758,32.639,32.639,28.939,27.719,,,31.949,,,31.522,30.241,30.241,30.351,30.351,34.177,34.177,32.000,32.000,29.545,26.875,26.875,27.914,27.914,,,32.308,32.308,30.208,31.481,31.481,33.101,6a,8.788,6b,26.462
MK255992,329,6,4.863,4.863,25.312,24.211,31.833,29.467,28.710,31.773,28.920,26.562,29.021,30.218,32.087,29.514,30.175,30.175,26.129,26.667,29.394,31.132,30.169,24.910,24.910,28.986,27.698,27.698,28.387,28.387,,,29.412,29.412,29.021,24.062,24.062,29.193,29.193,27.778,27.778,31.270,31.270,,31.228,31.228,30.855,6a,4.863,6xd,24.062
MK255993,330,6,4.242,4.242,24.615,25.614,,29.825,28.814,30.034,29.210,24.221,29.617,30.864,32.099,29.514,30.903,30.903,26.389,27.018,29.179,30.503,28.374,26.871,26.871,30.797,29.137,29.137,28.223,28.223,31.597,31.597,30.208,30.208,28.322,24.375,24.375,28.028,28.028,25.874,25.874,32.615,32.615,28.571,29.412,29.412,32.404,6a,4.242,6xd,24.375
