Accession,ClosestGenotype,ClosestGenotypePident,ClosestSubtype,ClosestSubtypePident,ReferenceOverlapAA,FullyCover
MW205310,4,82.493,4v,89.318,226-321,
MW205311,2,84.570,2j,85.546,226-321,
MW205312,2,85.460,2v,88.201,226-321,
MW205313,2,86.053,2v,87.906,226-321,
MW205314,2,85.460,2a,87.240,226-321,
MW205315,4,84.024,4v,87.316,226-321,
MW205316,2,84.416,2a,85.390,228-321,
MW205317,1,84.366,1g,94.690,226-321,
MW205318,1,84.956,1g,94.395,226-321,
MW205319,1,84.956,1g,97.050,226-321,
MW205320,1,85.251,1g,95.575,226-321,
MW205321,1,83.936,1g,96.787,241-321,
MW205322,1,84.950,1g,94.040,232-321,
MW205323,1,83.186,1g,92.625,226-321,
MW205324,1,83.481,1g,93.805,226-321,
MW205325,2,83.481,2i,93.510,226-321,
MW205326,2,82.301,2i,93.510,226-321,
MW205327,2,81.711,2i,93.510,226-321,
MW205328,2,83.481,2i,92.330,226-321,
MW205329,2,84.118,2f,90.560,226-321,
MW205330,2,82.301,2f,89.086,226-321,
MW205331,2,84.412,2f,92.878,226-321,
MW205332,2,83.824,2f,94.985,226-321,
MW205333,2,85.546,2f,90.855,226-321,
MW205334,2,80.531,2f,89.971,226-321,
MW205335,2,82.789,2d,85.757,226-321,
MW205336,2,82.596,2d,85.841,226-321,
MW205337,2,82.789,2m,84.866,226-321,
MW205338,2,84.866,2u,86.053,226-321,
MW205339,2,85.546,2j,86.647,226-321,
MW205340,2,83.481,2k,84.273,226-321,
MW205341,2,82.196,2f,84.071,226-321,
MW205342,2,83.680,2m,86.350,226-321,
MW205343,2,82.891,2m,84.661,226-321,
MW205344,2,86.310,2a,87.202,227-321,
MW205345,2,84.570,2m,85.460,226-321,
MW205346,2,83.766,2j,84.488,228-321,
MW205347,2,81.416,2m,84.071,226-321,
MW205348,2,82.891,2e,92.035,226-321,
MW205349,2,84.071,2e,92.625,226-321,
MW205350,2,82.493,2f,86.053,226-321,
MW205351,2,84.071,2f,87.834,226-321,
MW205352,2,82.249,2u,84.615,226-321,
MW205353,2,82.301,2d,82.891,226-321,
MW205354,2,82.493,2f,86.136,226-321,
MW205355,2,82.196,2k,85.841,226-321,
MW205356,2,83.383,2j,86.944,226-321,
MW205357,2,79.525,2j,85.841,226-321,
MW205358,2,82.493,2j,84.956,226-321,
MW205359,2,81.306,2d,84.866,226-321,
MW205360,4,80.573,4k,86.513,226-321,
MW205361,2,82.493,2v,85.546,226-321,
MW205362,2,82.789,2v,86.431,226-321,
MW205363,2,81.306,2v,85.546,226-321,
MW205364,2,82.493,2v,84.956,226-321,
MW205365,2,83.086,2f,85.251,226-321,
MW205366,2,82.493,2u,86.350,226-321,
MW205367,2,82.301,2j,86.982,226-321,
MW205368,2,82.301,2k,86.810,226-321,
MW205369,2,85.163,2k,86.095,226-321,
MW205370,2,77.231,2r,78.698,226-321,
MW205371,6,72.189,6e,94.379,226-321,
MW205372,6,71.006,6e,92.604,226-321,
MW205373,6,70.206,6e,88.166,226-321,
MW205374,1,70.710,1a,71.006,226-321,
MW205375,8,73.913,8a,73.913,254-321,
MW205376,,,,,,
MW205377,,,,,,
MW205378,,,,,,
MW205379,,,,,,
MW205380,,,,,,
MW205381,,,,,,
MW205382,,,,,,
MW205383,,,,,,
MW205384,,,,,,
MW205385,,,,,,
MW205386,,,,,,
MW205387,,,,,,
MW205388,,,,,,
MW205389,,,,,,
MW205390,,,,,,
MW205391,,,,,,
MW205392,,,,,,
MW205393,,,,,,
MW205394,,,,,,
MW205395,,,,,,
MW205396,,,,,,
MW205397,,,,,,
MW205398,,,,,,
MW205399,,,,,,
MW205400,,,,,,
MW205401,,,,,,
MW205402,,,,,,
MW205403,,,,,,
MW205404,,,,,,
MW205405,,,,,,
MW205406,,,,,,
MW205407,,,,,,
MW205408,,,,,,
MW205409,,,,,,
MW205410,,,,,,
MW205411,,,,,,
MW205412,,,,,,
MW205413,,,,,,
MW205414,,,,,,
MW205415,,,,,,
MW205416,,,,,,
MW205417,,,,,,
MW205418,,,,,,
MW205419,,,,,,
MW205420,,,,,,
MW205421,,,,,,
MW205422,,,,,,
MW205423,,,,,,
MW205424,,,,,,
MW205425,,,,,,
MW205426,,,,,,
MW205427,,,,,,
MW205428,,,,,,
MW205429,,,,,,
MW205430,,,,,,
MW205431,,,,,,
MW205432,,,,,,
MW205433,,,,,,
MW205434,,,,,,
MW205435,,,,,,
MW205436,,,,,,
MW205437,,,,,,
MW205438,,,,,,
MW205439,,,,,,
MW205440,,,,,,
MW205441,,,,,,
MW205442,,,,,,
MW205443,,,,,,
MW205444,,,,,,
MW205445,,,,,,
MW205446,,,,,,
MW205447,,,,,,
MW205448,,,,,,
MW205449,,,,,,
MW205450,,,,,,
MW205451,,,,,,
MW205452,,,,,,
MW205453,,,,,,
MW205454,,,,,,
MW205455,,,,,,
MW205456,,,,,,
MW205457,,,,,,
MW205458,,,,,,
MW205459,,,,,,
MW205460,,,,,,
MW205461,,,,,,
MW205462,,,,,,
MW205463,,,,,,
MW205464,,,,,,
MW205465,,,,,,
MW205466,,,,,,
MW205467,2,82.887,2c,83.905,150-321,Yes
MW205468,2,82.292,2v,83.756,150-321,Yes
MW205469,2,82.414,2v,84.328,150-321,Yes
MW205470,2,83.360,2v,83.520,150-321,Yes
MW205471,2,84.673,2u,86.140,150-321,Yes
MW205472,2,82.362,2c,83.832,150-321,Yes
MW205473,2,84.418,2k,85.930,150-321,Yes
MW205474,2,83.159,2k,92.399,150-321,Yes
MW205475,2,83.159,2k,84.948,150-321,Yes
MW205476,2,85.097,2j,86.736,150-321,Yes
MW205477,2,83.159,2u,84.352,150-321,Yes
MW205478,2,83.036,2j,85.268,150-321,Yes
MW205479,2,84.054,2a,85.991,150-321,Yes
MW205480,2,80.838,2f,89.820,150-321,Yes
MW205481,2,83.186,2f,95.126,150-321,Yes
MW205482,2,82.861,2f,87.034,150-321,Yes
MW205483,2,82.256,2d,86.917,150-321,Yes
MW205484,2,81.763,2d,85.866,150-321,Yes
MW205485,2,82.116,2r,91.654,150-321,Yes
MW205486,2,82.036,2r,89.970,150-321,Yes
MW205487,2,83.308,2q,84.948,150-321,Yes
MW205488,2,83.159,2k,86.289,150-321,Yes
MW205489,2,83.131,2v,85.562,150-321,Yes
MW205490,2,80.861,2v,83.308,150-321,Yes
MW205491,2,81.915,2e,90.274,150-321,Yes
MW205492,2,82.635,2c,93.114,150-321,Yes
MW205493,2,81.371,2c,91.654,150-321,Yes
MW205494,2,81.571,2r,83.384,150-321,Yes
MW205495,2,83.435,2i,91.489,150-321,Yes
MW205496,2,82.712,2i,91.952,150-321,Yes
MW205497,2,82.219,2i,90.578,150-321,Yes
MW205498,2,83.458,2i,90.760,150-321,Yes
MW205499,3,81.833,3b,90.671,150-321,Yes
MW205500,3,82.787,3b,90.164,150-321,Yes
MW205501,3,82.430,3b,93.103,150-321,Yes
MW205502,3,81.848,3b,93.679,150-321,Yes
MW205503,3,82.658,3b,91.086,150-321,Yes
MW205504,3,81.506,3b,92.308,150-321,Yes
MW205505,3,82.947,3b,92.219,150-321,Yes
MW205506,3,82.701,3b,92.109,150-321,Yes
MW205507,3,82.028,3b,90.798,150-321,Yes
MW221786,4,83.713,4d,96.091,234-321,
MW221787,3,95.440,3a,90.584,234-321,
MW221788,3,96.091,3a,92.532,234-321,
MW221789,3,95.114,3a,90.909,234-321,
MW221790,3,95.765,3a,90.909,234-321,
MW221791,1,95.114,1a,94.463,234-321,
MW221792,3,95.765,3a,90.909,234-321,
MW221793,3,94.788,3a,90.584,234-321,
MW221794,3,95.114,3a,90.909,234-321,
MW221795,3,96.417,3a,91.883,234-321,
MW221796,3,96.091,3a,91.883,234-321,
MW221797,3,95.765,3a,90.909,234-321,
MW221798,4,84.365,4d,95.440,234-321,
MW221799,4,90.099,4a,90.099,235-321,
MW221800,4,90.759,4a,90.759,235-321,
MW221801,3,95.440,3a,90.260,234-321,
MW221802,3,94.137,3a,90.541,234-321,
MW221803,3,94.137,3a,91.234,234-321,
MW221804,3,94.788,3a,90.584,234-321,
MW221805,3,95.765,3a,90.909,234-321,
MW221806,3,95.765,3a,92.208,234-321,
MW221807,1,96.417,1a,95.765,234-321,
MW221808,3,95.440,3a,91.234,234-321,
MW221809,4,84.691,4d,96.091,234-321,
MW221810,3,92.182,3a,87.987,234-321,
MW221811,3,93.485,3a,90.260,234-321,
MW221812,3,92.508,3a,88.961,234-321,
MW221813,3,95.114,3a,91.234,234-321,
MW221814,1,94.788,1a,94.137,234-321,
MW221815,1,94.788,1a,94.137,234-321,
MW221816,3,93.811,3a,89.935,234-321,
MW221817,4,90.429,4a,90.429,235-321,
MW221818,4,84.039,4d,95.440,234-321,
MW221819,3,94.463,3a,90.228,234-321,
MW221820,1,81.788,1b,94.788,236-321,
MW221821,3,93.811,3a,89.286,234-321,
MW234382,2,80.000,2b,94.534,218-321,
MW234383,2,80.000,2b,93.248,218-321,
MW234384,3,92.208,3a,89.644,219-321,
MW234385,3,94.249,3a,91.401,217-321,
MW234386,3,92.857,3a,89.968,219-321,
MW234387,3,92.605,3a,89.423,217-320,
MW234388,3,92.971,3a,89.490,217-321,
MW234389,2,81.290,2b,93.569,218-321,
MW234390,3,93.791,3a,91.205,218-319,
MW234391,2,80.968,2b,94.855,218-321,
MW234392,3,94.551,3a,93.291,217-321,
MW234393,3,92.926,3a,89.103,218-321,
MW234394,3,93.291,3a,90.127,217-321,
MW234395,3,80.519,3b,91.234,219-321,
MW234396,3,93.248,3a,91.346,218-321,
MW234397,3,91.693,3a,90.446,217-321,
MW234398,3,80.000,3b,92.027,218-321,
MW234399,3,92.652,3a,89.490,217-321,
MW234400,3,93.688,3a,90.759,221-321,
MW234401,2,78.205,2b,92.926,217-321,
MW234402,2,80.449,2b,95.498,217-321,
MW234403,3,80.519,3b,91.722,219-321,
MW234404,2,81.935,2b,93.248,218-321,
MW234405,3,91.857,3a,88.179,217-319,
MW234406,3,91.987,3a,89.457,217-321,
MW281563,1,96.234,1a,95.397,150-221,
MW307936,4,81.842,4o,93.963,219-321,
MW357752,1,79.934,1b,92.974,150-314,
MW357753,1,79.934,1b,92.974,150-314,
MW357754,1,79.255,1b,90.829,150-299,
MW357755,1,79.934,1b,92.157,150-314,
MW357756,1,79.822,1b,92.464,150-321,Yes
MW357757,1,80.592,1b,92.974,150-314,
MW357758,1,80.921,1b,94.118,150-314,
MW357759,1,80.428,1b,92.647,150-314,
MW357760,1,80.592,1b,92.647,150-314,
MW357761,1,81.086,1b,91.830,150-314,
MW357762,1,81.414,1b,94.281,150-314,
MW357763,1,80.438,1b,93.114,150-319,
MW357764,1,80.099,1b,92.484,150-314,
MW357765,1,80.428,1b,91.830,150-314,
MW357766,1,81.743,1b,92.810,150-314,
MW357767,1,80.757,1b,91.503,150-314,
MW357768,1,79.868,1b,92.459,150-314,
MW357769,1,78.489,1b,91.148,150-314,
MW357770,1,81.172,1b,91.319,150-299,
MW357771,1,80.488,1b,92.683,150-321,Yes
MW357772,1,80.592,1b,92.974,150-314,
MW357773,1,79.938,1b,92.000,150-319,
MW357774,1,80.680,1b,93.509,150-319,
MW357775,1,80.592,1b,91.830,150-314,
MW357776,1,80.921,1b,91.830,150-314,
MW357777,1,80.401,1b,92.462,150-319,
MW357778,1,80.788,1b,92.647,150-314,
MW357779,1,79.934,1b,92.647,150-314,
MW357780,1,81.086,1b,91.830,150-314,
MW357781,1,80.921,1b,93.791,150-314,
MW357782,1,79.812,1b,92.391,150-319,
MW357783,1,80.345,1b,92.321,150-305,
MW357784,1,80.331,1b,92.611,150-313,
MW357785,1,80.921,1b,92.320,150-314,
MW357786,1,80.597,1b,92.484,150-314,
MW357787,1,80.865,1b,93.719,150-312,
MW357788,1,81.250,1b,91.830,150-314,
MW357789,1,79.636,1b,91.283,150-313,
MW357790,1,81.289,1b,93.458,150-315,
MW357791,1,79.338,1b,93.849,150-314,
MW357792,1,80.639,1b,92.871,150-289,
MW357793,,,,,,
MW357794,,,,,,
MW357795,,,,,,
MW357796,,,,,,
MW357797,,,,,,
MW357798,,,,,,
MW357799,,,,,,
MW357800,,,,,,
MW357801,,,,,,
MW357802,,,,,,
MW357803,,,,,,
MW357804,,,,,,
MW357805,,,,,,
MW357806,,,,,,
MW357807,,,,,,
MW357808,,,,,,
MW357809,,,,,,
MW357810,,,,,,
MW357811,,,,,,
MW357812,,,,,,
MW357813,,,,,,
MW357814,,,,,,
MZ325443,3,94.131,3a,92.616,150-321,Yes
MZ325444,3,94.074,3a,92.559,150-321,Yes
MZ327730,3,95.361,3a,93.721,150-321,Yes
MZ327731,1,94.245,1a,93.541,150-321,Yes
MZ327732,1,95.655,1a,95.068,150-321,Yes
MZ327733,1,93.673,1a,93.087,150-321,Yes
MZ327734,1,94.663,1a,94.135,150-321,Yes
MZ327735,3,95.356,3a,93.909,150-321,Yes
MZ327736,1,93.658,1a,93.776,150-321,Yes
MZ327737,1,94.025,1a,94.083,150-321,Yes
MZ327738,3,96.418,3a,94.131,150-321,Yes
MZ327739,1,95.009,1a,94.128,150-321,Yes
MZ327740,1,93.900,1a,93.138,150-321,Yes
MZ327741,1,93.776,1a,93.188,150-321,Yes
MZ327742,1,94.363,1a,94.069,150-321,Yes
MZ327743,1,87.140,1b,88.328,150-321,Yes
MZ327744,1,93.600,1a,93.247,150-321,Yes
MZ327745,3,94.891,3a,93.721,150-321,Yes
MZ327746,1,94.422,1a,93.776,150-321,Yes
MZ327747,1,96.947,1a,96.242,150-321,Yes
MZ327748,3,94.715,3a,93.545,150-321,Yes
MZ327749,1,94.663,1a,93.724,150-321,Yes
MZ327750,3,95.068,3a,93.721,150-321,Yes
MZ327751,1,95.126,1a,94.245,150-321,Yes
MZ327752,4,84.340,4d,94.839,150-321,Yes
MZ327753,1,81.679,1b,93.431,150-321,Yes
MZ327754,3,95.655,3a,93.192,150-321,Yes
MZ327755,2,81.429,2b,94.252,150-321,Yes
MZ327756,3,95.068,3a,94.308,150-321,Yes
MZ327757,3,94.480,3a,93.603,150-321,Yes
MZ327758,1,94.187,1a,93.600,150-321,Yes
MZ327759,3,95.302,3a,93.838,150-321,Yes
MZ327760,1,95.073,1a,94.311,150-321,Yes
MZ327761,1,95.662,1a,95.015,150-321,Yes
MZ327762,1,93.724,1a,93.255,150-321,Yes
MZ327763,1,94.259,1a,93.556,150-321,Yes
MZ327764,3,94.950,3a,93.545,150-321,Yes
MZ327765,1,94.069,1a,93.541,150-321,Yes
MZ327766,1,94.715,1a,93.834,150-321,Yes
MZ327767,1,95.890,1a,95.479,150-321,Yes
MZ327768,1,94.370,1a,93.783,150-321,Yes
MZ327769,1,82.619,1b,93.255,150-321,Yes
MZ327770,1,94.845,1a,93.907,150-321,Yes
MZ327771,1,93.372,1a,93.196,150-321,Yes
MZ327772,3,95.361,3a,93.779,150-321,Yes
MZ327773,3,94.950,3a,93.075,150-321,Yes
MZ327774,1,80.035,1b,92.493,150-321,Yes
MZ327775,1,81.562,1b,93.196,150-321,Yes
MZ327776,1,94.956,1a,94.076,150-321,Yes
MZ327777,1,93.196,1a,92.962,150-321,Yes
MZ327778,1,95.479,1a,95.009,150-321,Yes
MZ327779,3,94.363,3a,93.075,150-321,Yes
MZ327780,3,94.245,3a,93.310,150-321,Yes
MZ327781,3,95.361,3a,93.545,150-321,Yes
MZ327782,1,94.715,1a,94.245,150-321,Yes
MZ327783,3,94.422,3a,93.779,150-321,Yes
MZ327784,2,81.839,2b,94.545,150-321,Yes
MZ327785,1,96.124,1a,95.537,150-321,Yes
MZ327786,3,95.244,3a,93.897,150-321,Yes
MZ327787,1,96.422,1a,95.543,150-321,Yes
MZ327788,1,94.487,1a,94.076,150-321,Yes
MZ327789,3,95.068,3a,93.545,150-321,Yes
MZ327790,1,94.245,1a,93.776,150-321,Yes
MZ327791,1,81.797,1b,92.786,150-321,Yes
MZ327792,1,95.543,1a,95.073,150-321,Yes
MZ327793,1,96.359,1a,95.596,150-321,Yes
MZ327794,3,95.713,3a,93.838,150-321,Yes
MZ327795,1,93.790,1a,92.853,150-321,Yes
MZ327796,3,96.888,3a,94.660,150-321,Yes
MZ327797,1,93.071,1a,92.895,150-321,Yes
MZ327798,1,94.897,1a,94.018,150-321,Yes
MZ327799,3,95.302,3a,93.310,150-321,Yes
MZ327800,2,81.136,2b,92.727,150-321,Yes
MZ356313,1,81.373,1b,94.771,231-321,
MZ356314,2,90.909,2a,91.212,225-321,
MZ356315,1,82.410,1d,94.175,231-321,
MZ356316,1,80.921,1d,92.763,231-321,
MZ356317,2,82.012,2i,93.902,228-321,
MZ356318,1,82.188,1d,93.168,230-321,
MZ356319,1,84.000,1d,93.688,230-321,
MZ356320,1,79.495,1b,93.060,230-321,
MZ356321,2,76.603,2l,86.859,230-321,
MZ356322,3,95.033,3a,90.429,233-321,
MZ356323,1,82.903,1d,95.484,232-321,
MZ356324,1,82.692,1d,94.231,230-321,
MZ356325,2,81.731,2i,91.987,232-321,
MZ356326,2,82.353,2i,94.481,232-321,
MZ356327,1,79.288,1b,92.880,232-321,
MZ356328,2,83.442,2i,90.584,233-321,
MZ356329,1,81.875,1d,92.835,230-321,
MZ356330,1,82.581,1b,93.548,233-321,
MZ356331,2,83.828,2i,90.554,233-321,
PP457742,2,92.183,2a,93.801,239-321,
PP457743,2,91.467,2a,92.800,238-321,
PP457744,2,90.064,2a,92.903,239-321,
PP457745,2,91.560,2a,92.583,239-321,
PP457746,2,91.467,2a,92.533,238-321,
PP457747,2,91.560,2a,92.583,239-321,
PP457748,2,90.127,2a,92.675,238-321,
PP457749,2,92.188,2a,92.288,241-321,
PP457750,2,91.645,2a,92.408,239-321,
PP457751,2,91.718,2a,92.331,238-321,
PP457752,2,92.013,2a,92.971,239-321,
PP457753,2,90.997,2a,93.226,239-321,
PP457754,2,90.354,2a,92.581,239-321,
PP457755,2,92.434,2a,93.421,241-321,
PP457756,2,92.605,2a,93.871,239-321,
PP457757,2,91.318,2a,92.258,239-321,
PP457758,2,88.026,2a,89.968,239-321,
PP457759,2,92.063,2a,93.333,238-321,
PP457760,2,92.381,2a,93.458,241-321,
PP457761,2,91.884,2a,92.754,227-321,
PP457762,2,91.531,2a,92.308,241-321,
PP457763,2,91.103,2a,92.171,244-321,
PP457764,2,91.148,2a,92.208,241-321,
PP457765,2,91.554,2a,92.568,243-321,
PP457766,2,91.935,2a,91.935,239-321,
PP457767,2,92.053,2a,93.160,241-321,
PP457768,2,91.176,2a,90.554,241-321,
PP457769,2,90.909,2a,91.374,241-321,
PP457770,2,92.105,2a,93.506,241-321,
PP457771,2,91.776,2a,92.857,241-321,
PP457772,2,92.013,2a,92.971,239-321,
PP457773,2,92.068,2a,92.635,226-321,
PP457774,2,91.919,2a,93.243,244-321,
PP457775,2,90.997,2a,91.613,239-321,
PP457776,2,92.642,2a,93.624,243-321,
PP457777,2,91.111,2a,91.720,238-321,
PP457778,2,92.308,2a,93.871,239-321,
PP457779,2,92.105,2a,93.464,241-321,
PP457780,2,91.083,2a,92.994,239-321,
PP457781,2,90.970,2a,92.977,244-321,
PP457782,2,91.054,2a,92.652,239-321,
PP457783,2,91.892,2a,93.243,243-321,
PP457784,2,89.235,2a,90.085,226-321,
PP457785,2,92.532,2a,92.857,241-321,
PP457786,2,90.476,2a,89.206,239-321,
PP457787,2,91.722,2a,93.046,243-321,
PP457788,2,91.883,2a,92.926,241-321,
PP457789,2,92.182,2a,92.628,241-321,
PP457790,2,92.027,2a,92.027,243-321,
PP457791,2,91.640,2a,92.903,239-321,
PP457792,2,91.611,2a,92.953,243-321,
PP457793,2,90.643,2a,91.813,223-321,
PP457794,2,89.241,2a,90.190,239-321,
PP457795,2,90.159,2a,91.429,239-321,
PP457796,2,90.288,2a,93.165,244-321,
PP457797,2,91.586,2a,93.528,239-321,
PP457798,2,90.190,2a,92.405,238-321,
PP457799,2,92.105,2a,93.182,241-321,
PP457800,2,91.054,2a,90.415,239-321,
PP457801,2,89.068,2a,91.318,239-321,
PP457802,2,92.351,2a,92.351,226-321,
PP484706,4,81.119,4f,93.310,241-321,
PP484707,2,84.155,2u,88.339,241-321,
PP484708,1,81.469,1d,87.762,241-321,
PP484709,1,85.612,1l,86.282,241-321,
PP484710,2,84.452,2u,87.279,242-321,
PP484711,4,80.769,4f,90.141,241-321,
PP484712,2,81.690,2u,86.926,241-321,
PP484713,4,81.338,4t,92.308,241-321,
PP484714,4,82.168,4p,91.958,241-321,
PP484715,2,85.211,2u,89.046,241-321,
PP484716,4,82.867,4p,91.958,241-321,
PP484717,4,83.099,4t,90.909,241-321,
PP484718,1,81.338,1h,93.662,241-321,
PP484719,2,82.394,2u,86.572,241-321,
PP484720,4,82.168,4f,92.606,241-321,
PP484721,4,82.867,4f,91.901,241-321,
PP484722,4,83.217,4m,87.273,241-321,
PP484723,4,81.469,4l,84.266,241-321,
PP484724,2,85.211,2u,88.339,241-321,
PP484725,4,81.119,4f,93.662,241-321,
PP484726,4,83.099,4f,93.007,241-321,
PP484727,1,84.266,1e,92.308,241-321,
PP484728,1,86.364,1e,93.007,241-321,
PP484729,2,84.155,2a,85.211,241-321,
PP484730,4,80.070,4f,91.901,241-321,
PP484731,2,84.507,2u,87.633,241-321,
PP484732,2,85.563,2u,87.986,241-321,
PP484733,4,80.420,4f,92.958,241-321,
PP484734,4,83.566,4f,96.831,241-321,
PP484735,1,85.664,1e,94.056,241-321,
PP484736,4,82.867,4f,91.901,241-321,
PP484737,2,85.211,2u,88.339,241-321,
PP484738,1,83.217,1e,95.105,241-321,
PP484739,4,82.168,4f,93.662,241-321,
PP484740,4,81.949,4m,84.643,241-321,
PP484741,4,83.217,4m,87.273,241-321,
PP484742,4,79.371,4f,91.197,241-321,
PP484743,4,80.769,4f,91.549,241-321,
PP484744,4,83.217,4p,87.413,241-321,
PP484745,1,80.427,1o,84.342,241-321,
PP484746,1,83.746,1o,84.698,241-321,
PP484747,4,83.099,4t,92.143,241-321,
PP484748,1,83.566,1e,93.357,241-321,
PP484749,1,84.266,1l,94.755,241-321,
PP484750,2,86.219,2u,93.007,242-321,
PP484751,1,84.342,1e,95.730,241-321,
PP484752,4,82.517,4p,90.559,241-321,
PP484753,2,83.803,2u,87.633,241-321,
PP484754,4,82.014,4t,90.909,241-321,
PP484755,4,79.720,4f,90.141,241-321,
PP484756,2,79.245,2u,82.264,248-321,
PP484757,2,84.452,2u,95.105,242-321,
PP484758,1,84.266,1e,95.804,241-321,
PP484759,1,85.315,1e,94.056,241-321,
PP484760,4,82.007,4f,90.493,241-321,
PP484761,4,81.469,4f,93.310,241-321,
PP484762,4,81.818,4l,88.462,241-321,
PP484763,1,84.266,1e,94.406,241-321,
PP484764,1,83.566,1e,92.308,241-321,
PP484765,4,81.119,4f,91.197,241-321,
PP484766,1,83.217,1e,93.706,241-321,
PP484767,1,85.765,1l,92.657,241-321,
PP484768,4,83.451,4t,91.958,241-321,
PP484769,2,85.211,2u,87.279,241-321,
PP484770,1,83.566,1e,92.657,241-321,
PP484771,2,85.211,2r,85.664,241-321,
PP484772,4,81.469,4f,91.549,241-321,
PP484773,1,84.615,1l,96.503,241-321,
PP484774,1,85.664,1l,94.406,241-321,
PP484775,4,81.469,4l,88.112,241-321,
PP484776,1,81.469,1c,85.091,241-321,
PP484777,2,83.099,2u,86.219,241-321,
PP484778,1,84.615,1e,93.357,241-321,
PP484779,2,84.266,2u,95.105,242-321,
PP484780,1,86.833,1l,96.113,241-321,
PP484781,1,85.053,1l,94.755,241-321,
PP484782,4,82.517,4p,95.455,241-321,
PP484783,1,84.266,1e,93.706,241-321,
PP484784,1,85.053,1l,94.406,241-321,
PP484785,2,82.394,2u,86.926,241-321,
PP484786,2,83.803,2u,86.219,241-321,
PP484787,1,84.965,1l,94.056,241-321,
PP484788,4,81.469,4f,92.254,241-321,
PP484789,1,83.916,1e,93.357,241-321,
PP484790,2,84.507,2u,87.986,241-321,
PP484791,4,79.371,4f,90.493,241-321,
PP484792,1,84.615,1l,94.755,241-321,
PP484793,1,84.698,1e,93.238,241-321,
PP484794,2,83.099,2u,86.926,241-321,
PP484795,2,86.268,2u,87.063,241-321,
PP484796,4,81.295,4t,91.958,241-321,
PP484797,1,84.965,1e,93.357,241-321,
PP484798,4,80.986,4t,87.857,241-321,
PP484799,4,82.867,4p,91.608,241-321,
PP484800,1,80.070,1h,93.357,241-321,
PP484801,4,80.070,4f,92.958,241-321,
PP484802,4,87.063,4c,87.762,241-321,
PP484803,2,84.211,2u,86.364,241-321,
PP484804,4,82.168,4f,91.197,241-321,
