Accession,AssignedGenotype,Subtype4aDistance,Subtype4bDistance,Subtype4cDistance,Subtype4dDistance,Subtype4dDistance,Subtype4fDistance,Subtype4fDistance,Subtype4gDistance,Subtype4kDistance,Subtype4kDistance,Subtype4lDistance,Subtype4mDistance,Subtype4nDistance,Subtype4oDistance,Subtype4pDistance,Subtype4qDistance,Subtype4rDistance,Subtype4sDistance,Subtype4tDistance,Subtype4vDistance,Subtype4vDistance,Subtype4wDistance,Subtype4wDistance,FirstChoiceSubtype,FirstChoiceDistance,SecondChoiceSubtype,SecondChoiceDistance
MT863906,4,21.359,22.494,20.488,5.797,5.797,21.359,21.359,26.650,21.951,21.951,19.024,17.778,21.130,19.277,18.932,19.118,21.602,22.947,18.932,19.268,19.268,22.359,22.359,4d,5.797,4m,17.778
MT863907,4,22.330,23.472,20.732,6.280,6.280,21.845,21.845,26.396,22.195,22.195,19.512,18.765,21.867,19.759,19.175,20.098,21.845,23.188,18.689,19.268,19.268,23.096,23.096,4d,6.280,4t,18.689
MT863918,4,20.339,21.027,19.756,0.966,0.966,20.097,20.097,24.304,21.707,21.707,17.805,17.574,20.885,18.204,17.476,18.627,20.631,22.222,16.505,17.561,17.561,21.130,21.130,4d,0.966,4t,16.505
MT863919,4,18.932,20.782,18.537,3.865,3.865,19.903,19.903,25.316,21.951,21.951,17.805,17.574,21.622,17.718,17.961,17.402,21.117,22.222,17.476,18.049,18.049,21.130,21.130,4d,3.865,4t,17.476
MT893899,4,21.601,21.179,18.250,19.557,19.557,21.229,21.229,18.819,18.266,18.266,19.153,21.218,20.810,20.664,21.033,20.111,6.852,24.723,21.415,20.111,20.111,21.229,21.229,4r,6.852,4k,18.266
MT893900,4,19.724,23.482,8.679,18.036,18.036,17.589,17.589,22.133,20.990,20.990,19.368,20.356,19.170,19.208,18.182,17.589,19.919,19.960,17.391,17.984,17.984,19.115,19.115,4c,8.679,4t,17.391
MT893901,4,19.380,23.482,8.527,18.641,18.641,17.670,17.670,22.524,21.165,21.165,19.612,20.388,19.223,19.223,18.058,17.476,20.238,19.806,17.476,18.058,18.058,19.612,19.612,4c,8.527,4q,17.476
MT893902,4,21.739,22.379,19.368,20.833,20.833,22.134,22.134,15.717,7.480,7.480,21.063,23.425,20.276,19.450,17.913,22.835,19.527,24.803,19.565,19.960,19.960,22.530,22.530,4k,7.480,4g,15.717
MT893903,4,20.857,21.956,18.994,20.074,20.074,21.731,21.731,19.153,18.600,18.600,20.849,20.074,21.218,20.626,20.442,20.810,6.446,24.125,22.099,20.074,20.074,21.788,21.788,4r,6.446,4k,18.600
MT893904,4,16.387,23.164,8.007,19.181,19.181,18.657,18.657,22.575,21.642,21.642,19.590,20.522,19.590,17.351,17.844,19.517,19.774,21.828,17.472,19.776,19.776,20.896,20.896,4c,8.007,4a,16.387
MT893905,4,22.065,21.869,19.838,21.881,21.881,22.266,22.266,18.849,18.164,18.164,21.443,21.869,22.846,20.400,22.200,22.088,7.937,24.750,24.400,21.800,21.800,23.494,23.494,4r,7.937,4k,18.164
MT893906,4,22.065,22.863,18.563,20.158,20.158,21.400,21.400,18.343,18.164,18.164,20.751,20.907,21.643,21.600,21.302,20.316,8.481,22.880,22.880,20.800,20.800,22.555,22.555,4r,8.481,4g,18.343
MW531222,4,1.637,20.930,14.852,18.965,18.965,18.869,18.869,20.666,19.292,19.292,17.706,19.820,19.535,18.585,18.658,17.855,20.137,19.397,18.743,17.706,17.706,20.032,20.032,4a,1.637,4c,14.852
ON630870,4,18.965,20.814,18.816,5.864,5.864,18.700,18.700,20.708,20.180,20.180,16.957,18.542,18.710,18.436,16.490,17.485,19.229,20.169,18.658,18.004,18.004,19.345,19.345,4d,5.864,4p,16.490
ON630871,4,18.806,20.761,19.080,6.075,6.075,18.595,18.595,20.655,20.180,20.180,16.904,18.806,18.816,18.700,16.860,17.591,19.757,20.486,18.816,17.951,17.951,19.027,19.027,4d,6.075,4p,16.860
ON630872,4,19.493,21.025,19.239,5.917,5.917,19.493,19.493,21.447,20.180,20.180,17.169,18.965,18.975,19.017,17.072,17.750,20.761,20.961,19.080,18.321,18.321,19.450,19.450,4d,5.917,4p,17.072
ON630873,4,18.912,20.180,18.710,6.181,6.181,18.595,18.595,20.866,20.127,20.127,16.799,18.225,18.763,18.436,16.543,17.274,19.863,20.275,18.658,18.163,18.163,18.816,18.816,4d,6.181,4p,16.543
ON630874,4,19.282,20.497,18.499,6.339,6.339,18.489,18.489,20.866,19.968,19.968,17.221,18.384,18.816,18.648,16.860,17.697,20.602,19.842,18.605,17.793,17.793,19.133,19.133,4d,6.339,4p,16.860
ON630875,4,19.176,20.549,18.975,5.811,5.811,18.479,18.479,20.761,19.810,19.810,17.274,18.436,18.763,18.436,16.860,17.380,19.694,20.697,18.710,17.951,17.951,19.027,19.027,4d,5.811,4p,16.860
ON630876,4,19.060,20.655,18.816,6.498,6.498,18.595,18.595,21.183,20.285,20.285,17.221,18.489,18.922,18.859,16.913,17.591,19.810,20.327,18.763,18.268,18.268,18.975,18.975,4d,6.498,4p,16.913
ON630877,4,18.806,20.602,18.658,6.392,6.392,18.489,18.489,20.919,20.285,20.285,16.799,18.331,18.922,18.436,16.385,17.591,19.810,20.011,18.605,18.067,18.067,18.975,18.975,4d,6.392,4p,16.385
ON630878,4,18.859,20.708,18.816,6.339,6.339,18.648,18.648,21.025,20.180,20.180,17.063,18.489,18.975,18.700,16.649,17.750,19.968,20.011,18.869,18.331,18.331,19.080,19.080,4d,6.339,4p,16.649
ON630879,4,18.648,20.972,18.552,5.441,5.441,18.542,18.542,20.866,19.704,19.704,16.852,18.119,18.869,18.489,16.596,17.327,19.810,20.116,18.763,17.899,17.899,19.133,19.133,4d,5.441,4p,16.596
ON630880,4,18.859,20.444,18.869,5.705,5.705,18.436,18.436,20.919,20.391,20.391,16.957,18.172,18.340,18.595,16.860,17.697,19.915,20.539,18.446,18.479,18.479,19.133,19.133,4d,5.705,4p,16.860
ON630881,4,19.176,20.444,18.869,5.864,5.864,18.225,18.225,21.130,20.074,20.074,17.010,18.119,18.552,18.859,16.913,17.327,19.863,20.063,18.605,18.268,18.268,19.292,19.292,4d,5.864,4p,16.913
ON630882,4,19.070,20.338,18.393,5.811,5.811,18.542,18.542,20.708,19.810,19.810,16.587,17.961,18.340,18.172,16.490,17.169,19.651,20.275,18.552,17.899,17.899,19.080,19.080,4d,5.811,4p,16.490
ON630883,4,18.965,20.180,18.235,5.705,5.705,18.278,18.278,21.078,19.757,19.757,16.746,18.067,18.763,18.542,16.649,17.433,19.915,20.486,18.393,18.321,18.321,18.763,18.763,4d,5.705,4p,16.649
ON630884,4,19.387,20.655,18.763,6.233,6.233,18.384,18.384,21.183,20.444,20.444,17.063,18.912,18.816,19.070,16.913,17.697,20.021,20.327,18.922,18.427,18.427,19.027,19.027,4d,6.233,4p,16.913
ON630885,4,18.700,20.285,18.235,6.445,6.445,18.436,18.436,20.655,20.021,20.021,16.799,18.004,18.499,18.384,16.649,17.380,19.651,20.011,18.288,17.899,17.899,18.552,18.552,4d,6.445,4p,16.649
ON630886,4,19.070,20.549,18.869,5.917,5.917,18.648,18.648,20.919,20.074,20.074,17.063,18.331,18.605,18.618,16.543,17.169,19.863,20.380,18.658,18.004,18.004,18.975,18.975,4d,5.917,4p,16.543
ON630887,4,19.017,20.602,18.658,5.864,5.864,18.436,18.436,21.130,20.338,20.338,17.221,19.070,19.133,18.700,17.178,17.538,19.810,20.380,18.975,18.163,18.163,18.975,18.975,4d,5.864,4p,17.178
ON630888,4,19.070,20.655,18.340,6.339,6.339,18.384,18.384,20.497,20.444,20.444,16.746,18.384,18.658,18.753,16.438,17.327,20.127,20.338,18.446,18.163,18.163,19.080,19.080,4d,6.339,4p,16.438
ON630889,4,18.859,20.127,18.288,6.233,6.233,18.859,18.859,20.761,20.021,20.021,17.010,18.014,18.393,18.489,16.490,17.327,19.651,19.947,18.288,18.215,18.215,19.027,19.027,4d,6.233,4p,16.490
ON630890,4,19.123,20.708,19.080,6.233,6.233,18.648,18.648,20.972,19.915,19.915,17.485,18.691,19.133,18.700,17.230,17.802,19.915,20.644,19.027,18.215,18.215,19.027,19.027,4d,6.233,4p,17.230
ON630891,4,18.859,20.127,18.658,6.286,6.286,18.753,18.753,20.972,20.232,20.232,16.799,18.331,18.816,18.331,16.596,17.327,19.863,20.380,18.763,18.321,18.321,18.816,18.816,4d,6.286,4p,16.596
ON630892,4,18.796,20.602,18.816,5.917,5.917,18.595,18.595,20.750,20.074,20.074,16.834,18.806,18.700,18.618,16.429,17.591,19.176,20.317,18.763,18.321,18.321,19.450,19.450,4d,5.917,4p,16.429
ON630893,4,19.017,20.549,18.763,6.128,6.128,18.753,18.753,21.183,20.444,20.444,17.221,18.489,18.975,18.700,16.596,17.750,19.493,20.433,18.753,18.004,18.004,19.556,19.556,4d,6.128,4p,16.596
ON630894,4,18.700,20.180,18.763,5.917,5.917,18.542,18.542,20.708,20.021,20.021,17.327,18.753,18.922,18.700,17.072,17.433,19.863,20.433,18.869,17.951,17.951,18.816,18.816,4d,5.917,4p,17.072
ON630895,4,19.641,20.285,19.556,5.018,5.018,18.648,18.648,20.275,19.704,19.704,17.529,18.225,19.282,17.880,17.538,17.855,20.021,21.014,19.345,18.384,18.384,19.239,19.239,4d,5.018,4l,17.529
ON630896,4,19.219,20.972,18.816,5.758,5.758,18.691,18.691,20.866,20.074,20.074,17.116,18.331,18.763,18.806,16.808,17.538,19.546,20.169,18.446,18.427,18.427,19.292,19.292,4d,5.758,4p,16.808
ON630897,4,18.806,20.761,18.288,6.550,6.550,18.436,18.436,21.183,20.655,20.655,17.010,18.331,18.816,18.225,16.860,17.591,19.863,20.433,18.763,18.374,18.374,19.080,19.080,4d,6.550,4p,16.860
ON630898,4,18.700,20.497,18.288,6.445,6.445,18.753,18.753,20.866,20.338,20.338,16.904,18.542,18.763,18.753,16.438,17.485,19.915,20.327,18.605,18.215,18.215,18.869,18.869,4d,6.445,4p,16.438
ON630899,4,18.912,20.180,18.710,6.286,6.286,18.700,18.700,20.972,20.232,20.232,16.799,18.225,18.816,18.542,16.438,17.221,19.863,20.169,18.605,18.215,18.215,18.816,18.816,4d,6.286,4p,16.438
ON630900,4,19.334,20.444,18.658,6.233,6.233,18.489,18.489,20.708,19.757,19.757,16.693,18.384,18.658,18.542,16.913,17.802,19.599,20.327,18.393,18.278,18.278,18.763,18.763,4d,6.233,4l,16.693
MW629118,4,10.407,20.919,14.165,17.591,17.591,17.548,17.548,19.926,19.820,19.820,16.702,19.450,18.489,18.076,18.076,18.172,20.137,19.820,18.552,18.235,18.235,19.609,19.609,4a,10.407,4c,14.165
MW675797,4,18.965,20.761,18.393,5.494,5.494,18.436,18.436,20.972,20.021,20.021,16.746,18.067,18.552,18.384,16.649,17.538,19.863,20.275,18.605,18.057,18.057,18.753,18.753,4d,5.494,4p,16.649
MW675798,4,18.965,20.761,18.393,5.494,5.494,18.436,18.436,20.972,20.021,20.021,16.746,18.067,18.552,18.384,16.649,17.538,19.863,20.275,18.605,18.057,18.057,18.753,18.753,4d,5.494,4p,16.649
MW675799,4,19.017,20.708,18.340,5.547,5.547,18.489,18.489,20.919,19.968,19.968,16.799,18.119,18.499,18.331,16.702,17.591,19.810,20.327,18.552,18.004,18.004,18.700,18.700,4d,5.547,4p,16.702
MW675800,4,19.070,20.866,18.446,5.600,5.600,18.436,18.436,20.972,20.021,20.021,16.746,17.961,18.605,18.384,16.755,17.538,19.915,20.275,18.499,18.163,18.163,18.753,18.753,4d,5.600,4l,16.746
MN650799,4,22.635,23.704,21.150,8.519,8.519,21.892,21.892,25.926,21.667,21.667,20.370,20.000,22.222,20.442,19.630,20.556,22.037,23.148,20.594,20.594,20.594,22.449,22.449,4d,8.519,4p,19.630
MN650800,4,21.336,23.704,20.965,9.074,9.074,21.521,21.521,25.741,20.741,20.741,19.630,20.926,22.407,19.890,19.815,20.741,21.481,23.333,20.408,20.926,20.926,22.263,22.263,4d,9.074,4l,19.630
MN650801,4,20.965,23.148,21.150,6.852,6.852,19.710,19.710,25.556,21.481,21.481,20.185,20.741,22.963,20.000,19.630,20.000,22.037,23.704,19.852,20.295,20.295,22.263,22.263,4d,6.852,4p,19.630
MN650802,4,21.521,23.148,21.521,7.593,7.593,20.124,20.124,25.741,21.667,21.667,20.741,21.481,22.963,20.370,20.370,20.741,22.037,24.444,20.223,20.480,20.480,22.635,22.635,4d,7.593,4o,20.370
MN650803,4,21.150,22.222,20.594,8.148,8.148,19.295,19.295,25.556,21.296,21.296,19.259,20.185,22.222,19.815,18.519,19.815,21.852,22.963,19.109,20.594,20.594,21.707,21.707,4d,8.148,4p,18.519
MN650804,4,20.965,21.852,20.223,7.778,7.778,20.965,20.965,24.630,21.111,21.111,18.889,20.370,21.667,19.074,18.704,19.074,22.222,22.407,19.295,20.223,20.223,20.779,20.779,4d,7.778,4p,18.704
MN650805,4,22.263,22.778,20.037,7.778,7.778,21.336,21.336,25.000,20.926,20.926,19.444,19.815,22.037,19.153,18.148,19.630,21.481,23.148,19.295,20.185,20.185,21.336,21.336,4d,7.778,4p,18.148
MN650806,4,21.707,23.519,21.150,9.444,9.444,22.820,22.820,25.185,21.111,21.111,20.556,20.370,22.222,20.626,19.259,20.926,22.778,23.148,20.779,22.078,22.078,22.635,22.635,4d,9.444,4p,19.259
MN650815,4,20.779,21.111,19.109,7.778,7.778,21.336,21.336,23.148,20.370,20.370,18.704,19.630,22.037,19.890,17.963,19.630,20.185,22.593,18.553,20.000,20.000,20.965,20.965,4d,7.778,4p,17.963
MN650816,4,21.150,21.481,19.481,8.148,8.148,21.707,21.707,23.519,20.741,20.741,19.074,19.815,22.407,20.258,18.333,20.000,20.556,22.963,18.738,20.370,20.370,21.336,21.336,4d,8.148,4p,18.333
MN650817,4,21.892,22.778,20.408,8.704,8.704,20.965,20.965,24.630,20.926,20.926,20.000,19.630,21.667,19.705,19.074,20.185,20.926,22.963,19.852,20.408,20.408,22.263,22.263,4d,8.704,4p,19.074
MN650818,4,20.408,21.296,20.037,8.519,8.519,20.779,20.779,24.444,21.111,21.111,19.074,19.630,21.852,19.444,18.333,19.815,20.926,22.407,18.738,20.408,20.408,21.521,21.521,4d,8.519,4p,18.333
MN782309,4,10.401,21.236,14.799,18.235,18.235,18.014,18.014,19.979,19.810,19.810,17.072,20.032,19.186,18.763,18.023,18.129,20.190,19.229,19.070,18.023,18.023,20.137,20.137,4a,10.401,4c,14.799
MN782310,4,11.035,21.036,15.592,19.493,19.493,17.389,17.389,20.666,20.243,20.243,17.495,19.440,19.186,18.129,18.182,18.427,20.772,20.222,18.965,18.605,18.605,20.190,20.190,4a,11.035,4c,15.592
MN977326,4,9.451,20.719,13.319,18.076,18.076,17.653,17.653,19.450,19.345,19.345,16.808,18.384,17.706,17.476,18.023,17.063,19.715,19.166,18.427,18.129,18.129,19.767,19.767,4a,9.451,4c,13.319
MN977328,4,9.509,21.459,14.535,17.389,17.389,17.706,17.706,20.190,18.922,18.922,16.913,18.076,18.163,17.706,17.970,17.178,20.243,19.186,18.869,17.706,17.706,20.243,20.243,4a,9.509,4c,14.535
MN977329,4,10.401,21.236,14.799,18.235,18.235,18.014,18.014,19.979,19.810,19.810,17.072,20.032,19.186,18.763,18.023,18.129,20.190,19.229,19.070,18.023,18.023,20.137,20.137,4a,10.401,4c,14.799
MN977330,4,10.248,20.549,15.433,18.753,18.753,17.389,17.389,20.032,20.243,20.243,16.755,19.027,18.869,18.427,17.812,16.957,20.402,19.926,18.763,17.812,17.812,20.085,20.085,4a,10.248,4c,15.433
MT113074,4,18.280,20.024,19.116,15.909,15.909,18.236,18.236,20.977,19.666,19.666,5.840,19.458,18.160,18.559,18.877,17.282,21.516,17.237,18.951,15.614,15.614,18.377,18.377,4l,5.840,4v,15.614
MT113075,4,17.698,20.780,16.828,16.731,16.731,16.795,16.795,18.762,20.890,20.890,6.093,20.309,15.764,17.795,16.634,15.280,18.859,19.342,17.505,15.280,15.280,19.246,19.246,4l,6.093,4q,15.280
MT113079,4,10.739,21.284,15.029,18.960,18.960,17.841,17.841,20.903,20.370,20.370,17.735,19.224,19.017,17.882,18.671,17.620,20.566,19.538,18.555,18.266,18.266,20.730,20.730,4a,10.739,4c,15.029
PQ660830,4,9.355,20.666,15.108,18.648,18.648,18.965,18.965,20.560,19.027,19.027,17.063,19.757,18.278,18.384,19.080,17.327,20.127,20.285,19.387,18.014,18.014,19.757,19.757,4a,9.355,4c,15.108
PQ660837,4,8.932,20.137,13.999,18.384,18.384,17.802,17.802,19.186,19.292,19.292,17.063,18.384,17.750,17.591,17.706,17.116,20.021,19.440,18.163,17.433,17.433,19.757,19.757,4a,8.932,4c,13.999
PQ660839,4,8.721,20.190,14.105,18.163,18.163,17.750,17.750,18.912,19.239,19.239,16.587,18.172,17.538,17.908,17.178,16.746,19.863,19.123,18.057,17.116,17.116,19.757,19.757,4a,8.721,4c,14.105
PQ660840,4,9.302,20.507,13.893,18.859,18.859,17.908,17.908,19.450,19.292,19.292,17.380,18.542,17.750,18.014,17.548,17.221,20.232,19.704,18.110,17.485,17.485,19.915,19.915,4a,9.302,4c,13.893
PQ660847,4,8.827,20.032,13.788,18.436,18.436,17.485,17.485,18.816,19.133,19.133,16.957,18.331,17.380,17.697,17.125,17.116,19.599,19.387,18.004,17.221,17.221,19.282,19.282,4a,8.827,4c,13.788
PQ660848,4,9.038,20.032,13.418,18.340,18.340,17.750,17.750,19.027,19.080,19.080,16.852,18.489,17.538,17.591,17.600,17.010,20.021,19.599,17.846,17.380,17.380,19.546,19.546,4a,9.038,4c,13.418
PQ660852,4,9.619,20.549,14.369,18.215,18.215,18.585,18.585,19.070,19.229,19.229,16.895,18.436,18.384,18.014,18.119,17.371,20.127,19.968,18.427,17.697,17.697,20.021,20.021,4a,9.619,4c,14.369
PQ660856,4,8.721,20.137,13.418,18.119,18.119,17.750,17.750,18.975,18.869,18.869,16.429,18.014,18.014,18.172,17.019,16.693,19.704,19.334,18.057,17.274,17.274,19.387,19.387,4a,8.721,4c,13.418
PQ660857,4,9.937,20.349,14.739,18.340,18.340,18.014,18.014,18.922,19.133,19.133,17.485,18.542,17.855,17.908,17.759,17.750,20.021,20.338,18.321,17.635,17.635,19.968,19.968,4a,9.937,4c,14.739
PQ660859,4,9.408,20.032,13.629,18.975,18.975,17.538,17.538,19.345,19.239,19.239,16.852,18.436,17.591,17.995,17.865,16.852,19.493,19.599,18.489,17.221,17.221,19.915,19.915,4a,9.408,4c,13.629
MK612038,4,10.407,20.919,14.165,17.591,17.591,17.548,17.548,19.926,19.820,19.820,16.702,19.450,18.489,18.076,18.076,18.172,20.137,19.820,18.552,18.235,18.235,19.609,19.609,4a,10.407,4c,14.165
MK799639,4,18.935,21.183,17.274,18.340,18.340,17.970,17.970,18.499,18.393,18.393,16.808,18.532,6.550,17.433,18.278,16.332,19.556,18.975,18.076,17.274,17.274,19.123,19.123,4n,6.550,4q,16.332
MK962405,4,22.145,23.183,21.107,22.069,22.069,21.799,21.799,15.544,8.824,8.824,22.491,23.529,21.107,19.310,19.204,23.875,19.031,25.087,20.553,21.280,21.280,21.934,21.934,4k,8.824,4g,15.544
MK962406,4,19.344,23.702,8.117,19.689,19.689,18.653,18.653,22.971,22.107,22.107,19.689,20.898,21.244,20.069,18.480,21.416,20.553,21.416,19.862,19.171,19.171,20.207,20.207,4c,8.117,4p,18.480
MK962407,4,16.696,22.609,5.565,18.783,18.783,17.739,17.739,22.261,21.913,21.913,19.304,19.130,18.435,17.739,17.913,18.087,19.652,20.870,17.739,18.087,18.087,20.174,20.174,4c,5.565,4a,16.696
MK962408,4,22.127,24.185,20.482,22.127,22.127,23.328,23.328,20.069,18.010,18.010,21.784,20.755,21.955,21.098,21.784,21.784,9.605,25.214,23.499,21.515,21.515,22.719,22.719,4r,9.605,4k,18.010
MK962409,4,21.107,20.761,21.280,21.626,21.626,21.107,21.107,15.917,7.266,7.266,20.934,22.491,19.723,18.793,19.550,21.626,19.550,24.221,20.588,20.761,20.761,21.626,21.626,4k,7.266,4g,15.917
MK962410,4,22.031,20.310,18.244,20.482,20.482,21.515,21.515,19.105,18.761,18.761,19.449,19.277,20.998,19.966,21.170,19.966,7.229,23.580,22.375,20.654,20.654,23.580,23.580,4r,7.229,4c,18.244
MK962411,4,23.932,23.932,20.513,23.630,23.630,21.538,21.538,18.120,18.151,18.151,22.393,24.144,21.918,23.248,21.747,21.918,22.089,24.486,21.709,20.855,20.855,23.077,23.077,4k,18.151,4g,18.120
MK962412,4,22.204,21.536,21.703,21.703,21.703,20.701,20.701,16.861,9.182,9.182,22.371,23.205,21.870,20.534,18.197,22.204,20.200,24.040,21.369,20.200,20.200,22.371,22.371,4k,9.182,4g,16.861
MK962413,4,22.318,21.972,22.664,21.626,21.626,20.761,20.761,17.271,7.958,7.958,20.934,23.356,21.799,21.343,20.588,21.972,19.723,25.779,21.107,20.242,20.242,21.799,21.799,4k,7.958,4g,17.271
MK962415,4,21.141,22.260,21.644,21.644,21.644,22.651,22.651,17.420,8.725,8.725,21.644,23.826,20.302,21.441,20.302,20.973,19.799,24.497,22.148,20.638,20.638,21.477,21.477,4k,8.725,4g,17.420
MK962417,4,16.952,23.288,8.562,19.692,19.692,19.007,19.007,22.945,21.918,21.918,19.692,19.692,17.808,19.178,17.123,18.664,21.062,20.034,16.952,18.836,18.836,20.377,20.377,4c,8.562,4a,16.952
MK962418,4,25.444,25.344,22.404,22.189,22.189,19.764,19.764,18.750,17.439,17.439,19.364,20.710,21.526,23.497,20.548,19.767,21.370,23.964,22.951,19.364,19.364,25.000,25.000,4k,17.439,4g,18.750
MK962419,4,23.183,18.858,22.145,20.588,20.588,20.761,20.761,22.145,22.145,22.145,20.415,22.491,22.491,20.242,20.761,20.242,22.664,24.221,21.280,20.588,20.588,20.761,20.761,4b,18.858,4q,20.242
LC773637,4,19.123,21.741,18.076,17.908,17.908,8.347,8.347,20.497,20.011,20.011,17.063,18.965,18.658,17.951,17.125,16.904,21.289,19.599,17.283,16.852,16.852,19.334,19.334,4f,8.347,4q,16.904
LC773638,4,19.450,19.915,20.137,19.651,19.651,19.968,19.968,16.051,7.501,7.501,19.546,20.486,18.816,19.166,19.715,20.338,19.070,22.017,19.810,19.662,19.662,19.292,19.292,4k,7.501,4g,16.051
LC773639,4,18.163,20.908,16.843,18.278,18.278,16.860,16.860,19.503,19.842,19.842,17.485,19.704,18.110,18.215,18.912,17.697,20.666,19.334,19.123,18.384,18.384,20.486,20.486,4f,16.860,4c,16.843
LC773640,4,17.476,21.677,15.645,17.951,17.951,18.225,18.225,20.011,20.475,20.475,18.004,19.324,17.802,19.535,18.605,18.436,20.369,18.902,19.027,18.605,18.605,20.750,20.750,4c,15.645,4a,17.476
MG764159,4,13.023,19.139,15.217,17.925,17.925,18.261,18.261,17.391,19.130,19.130,18.310,7.623,18.261,14.747,14.554,15.652,18.696,20.870,15.278,14.286,14.286,16.522,16.522,4m,7.623,4a,13.023
MG983415,4,12.454,21.229,14.870,16.729,16.729,17.100,17.100,23.606,21.561,21.561,16.543,21.004,18.618,17.844,18.030,17.472,21.415,21.933,18.773,19.703,19.703,23.420,23.420,4a,12.454,4c,14.870
MG983416,4,13.469,21.587,14.760,16.790,16.790,17.159,17.159,23.432,21.956,21.956,16.236,21.402,18.450,18.819,18.450,17.897,21.229,22.325,18.266,20.295,20.295,23.247,23.247,4a,13.469,4c,14.760
MG983421,4,19.203,20.471,18.875,4.348,4.348,19.601,19.601,24.270,20.871,20.871,17.967,18.693,20.871,18.841,17.967,17.967,20.475,21.779,18.297,18.149,18.149,20.145,20.145,4d,4.348,4q,17.967
MG983422,4,19.565,20.833,19.238,4.710,4.710,19.782,19.782,24.453,21.234,21.234,18.330,19.056,21.053,19.022,18.330,18.330,20.658,21.779,18.659,18.330,18.330,20.508,20.508,4d,4.710,4q,18.330
MG983430,4,19.245,20.189,19.434,3.752,3.752,20.000,20.000,22.702,20.113,20.113,18.386,18.421,21.241,19.434,18.609,17.736,20.532,22.097,17.481,17.736,17.736,20.075,20.075,4d,3.752,4t,17.481
MG983436,4,20.189,20.189,19.057,4.135,4.135,19.811,19.811,24.340,21.429,21.429,18.233,18.233,20.865,18.679,18.233,17.925,21.033,21.805,18.233,17.547,17.547,20.489,20.489,4d,4.135,4v,17.547
MG983438,4,13.208,23.774,17.137,19.397,19.397,18.267,18.267,24.528,23.540,23.540,17.358,22.264,20.729,18.644,19.774,19.057,21.281,22.599,19.397,19.962,19.962,23.774,23.774,4a,13.208,4c,17.137
