Accession,ClosestSubtypeAlignedNT,AssignedGenotype,Subtype5aDistance,Subtype5bDistance,FirstChoiceSubtype,FirstChoiceDistance,SecondChoiceSubtype,SecondChoiceDistance
MG453465,1772,5,8.070,20.034,5a,8.070,5b,20.034
MG453477,1772,5,8.634,20.135,5a,8.634,5b,20.135
MG453504,1772,5,8.691,21.715,5a,8.691,5b,21.715
MG453505,1772,5,10.102,21.275,5a,10.102,5b,21.275
MG453510,1772,5,9.989,22.561,5a,9.989,5b,22.561
MG453514,336,5,5.952,21.131,5a,5.952,5b,21.131
MG453533,1772,5,8.747,20.462,5a,8.747,5b,20.462
MG453545,1772,5,7.393,19.426,5a,7.393,5b,19.426
MG453558,1772,5,9.650,21.364,5a,9.650,5b,21.364
MG453575,336,5,5.357,19.345,5a,5.357,5b,19.345
MG453576,1772,5,7.731,20.361,5a,7.731,5b,20.361
MG453577,336,5,6.845,20.299,5a,6.845,5b,20.299
MG453582,1772,5,10.102,21.915,5a,10.102,5b,21.915
MG453588,1772,5,9.312,21.082,5a,9.312,5b,21.082
MG453589,1772,5,8.860,21.207,5a,8.860,5b,21.207
MG453596,1772,5,6.603,19.718,5a,6.603,5b,19.718
PQ899567,1772,5,13.262,21.251,5a,13.262,5b,21.251
PQ899568,1773,5,20.417,0.000,5b,0.000,5a,20.417
MH427314,1772,5,7.619,20.079,5a,7.619,5b,20.079
MH427315,1772,5,5.982,20.225,5a,5.982,5b,20.225
MH427316,1772,5,6.490,20.000,5a,6.490,5b,20.000
MH427317,1772,5,7.111,20.732,5a,7.111,5b,20.732
D14213,336,5,5.655,18.182,5a,5.655,5b,18.182
D50467,1090,5,6.055,17.371,5a,6.055,5b,17.371
DQ164538,340,5,7.353,21.471,5a,7.353,5b,21.471
DQ164539,340,5,5.000,19.118,5a,5.000,5b,19.118
DQ164540,340,5,6.176,19.706,5a,6.176,5b,19.706
DQ164541,340,5,3.824,20.000,5a,3.824,5b,20.000
DQ164542,340,5,4.118,20.294,5a,4.118,5b,20.294
DQ164543,340,5,5.000,18.788,5a,5.000,5b,18.788
DQ164544,340,5,5.294,19.118,5a,5.294,5b,19.118
DQ333614,389,5,6.684,18.462,5a,6.684,5b,18.462
DQ333615,389,5,5.656,18.718,5a,5.656,5b,18.718
DQ333616,389,5,6.170,19.487,5a,6.170,5b,19.487
DQ333617,389,5,8.483,18.462,5a,8.483,5b,18.462
DQ333618,389,5,5.398,18.205,5a,5.398,5b,18.205
DQ333619,389,5,5.913,17.949,5a,5.913,5b,17.949
DQ333620,389,5,7.455,18.205,5a,7.455,5b,18.205
DQ333621,389,5,6.427,18.974,5a,6.427,5b,18.974
DQ333622,389,5,6.170,18.718,5a,6.170,5b,18.718
DQ333623,389,5,7.969,19.744,5a,7.969,5b,19.744
DQ333624,389,5,7.712,19.744,5a,7.712,5b,19.744
DQ333625,389,5,7.198,20.000,5a,7.198,5b,20.000
DQ333626,389,5,4.370,17.692,5a,4.370,5b,17.692
DQ333627,389,5,5.913,17.692,5a,5.913,5b,17.692
DQ333628,389,5,7.198,18.718,5a,7.198,5b,18.718
DQ333629,389,5,6.684,18.205,5a,6.684,5b,18.205
DQ333630,389,5,6.684,18.205,5a,6.684,5b,18.205
DQ333631,389,5,5.398,18.718,5a,5.398,5b,18.718
DQ333632,389,5,7.712,18.462,5a,7.712,5b,18.462
DQ333633,389,5,6.684,17.949,5a,6.684,5b,17.949
DQ333634,389,5,7.455,17.949,5a,7.455,5b,17.949
DQ333635,389,5,7.455,20.513,5a,7.455,5b,20.513
DQ333636,389,5,6.684,18.205,5a,6.684,5b,18.205
DQ333637,389,5,5.398,18.462,5a,5.398,5b,18.462
DQ333638,389,5,6.684,17.692,5a,6.684,5b,17.692
DQ333639,389,5,5.398,18.974,5a,5.398,5b,18.974
DQ333640,389,5,7.198,18.462,5a,7.198,5b,18.462
DQ333641,389,5,6.941,17.949,5a,6.941,5b,17.949
DQ333642,389,5,6.427,18.205,5a,6.427,5b,18.205
DQ333643,389,5,6.427,17.949,5a,6.427,5b,17.949
DQ333644,389,5,5.656,20.256,5a,5.656,5b,20.256
DQ333645,389,5,6.427,18.974,5a,6.427,5b,18.974
DQ333646,389,5,6.684,20.000,5a,6.684,5b,20.000
DQ333647,389,5,7.198,18.462,5a,7.198,5b,18.462
DQ333648,389,5,7.712,18.718,5a,7.712,5b,18.718
DQ333649,389,5,5.656,19.231,5a,5.656,5b,19.231
DQ333650,389,5,7.198,19.231,5a,7.198,5b,19.231
DQ333651,389,5,5.398,18.974,5a,5.398,5b,18.974
DQ333652,389,5,7.198,19.744,5a,7.198,5b,19.744
DQ333653,389,5,6.427,19.744,5a,6.427,5b,19.744
DQ333654,389,5,7.712,17.692,5a,7.712,5b,17.692
DQ333655,389,5,7.712,20.000,5a,7.712,5b,20.000
DQ333656,389,5,5.141,18.462,5a,5.141,5b,18.462
DQ333657,389,5,8.740,19.487,5a,8.740,5b,19.487
DQ333658,389,5,7.969,20.000,5a,7.969,5b,20.000
DQ333659,389,5,4.370,18.462,5a,4.370,5b,18.462
DQ333660,389,5,5.398,19.487,5a,5.398,5b,19.487
DQ333661,389,5,6.170,18.718,5a,6.170,5b,18.718
DQ333663,389,5,7.198,17.692,5a,7.198,5b,17.692
DQ333664,389,5,4.884,18.974,5a,4.884,5b,18.974
DQ333665,389,5,5.656,17.436,5a,5.656,5b,17.436
DQ333666,389,5,6.427,18.205,5a,6.427,5b,18.205
DQ333667,389,5,7.712,18.718,5a,7.712,5b,18.718
DQ333668,389,5,7.198,17.949,5a,7.198,5b,17.949
DQ333669,389,5,5.913,18.462,5a,5.913,5b,18.462
DQ333670,389,5,5.141,18.718,5a,5.141,5b,18.718
DQ333671,389,5,5.398,18.205,5a,5.398,5b,18.205
DQ333672,389,5,5.913,18.718,5a,5.913,5b,18.718
DQ333673,389,5,5.398,18.718,5a,5.398,5b,18.718
DQ333674,389,5,6.170,18.462,5a,6.170,5b,18.462
DQ333675,389,5,5.398,17.692,5a,5.398,5b,17.692
DQ333676,389,5,4.627,18.462,5a,4.627,5b,18.462
DQ333677,389,5,5.398,18.462,5a,5.398,5b,18.462
DQ333678,389,5,6.684,17.949,5a,6.684,5b,17.949
DQ333679,389,5,6.170,18.205,5a,6.170,5b,18.205
DQ333680,389,5,3.856,17.179,5a,3.856,5b,17.179
DQ333681,389,5,4.627,18.718,5a,4.627,5b,18.718
DQ333682,389,5,7.712,18.974,5a,7.712,5b,18.974
DQ333683,389,5,8.483,18.462,5a,8.483,5b,18.462
DQ333684,389,5,5.398,17.949,5a,5.398,5b,17.949
DQ333685,389,5,5.656,17.692,5a,5.656,5b,17.692
DQ333686,389,5,7.969,19.487,5a,7.969,5b,19.487
DQ333687,389,5,6.684,18.718,5a,6.684,5b,18.718
DQ333688,389,5,5.398,17.436,5a,5.398,5b,17.436
DQ333689,389,5,5.913,19.487,5a,5.913,5b,19.487
DQ333690,389,5,6.427,18.718,5a,6.427,5b,18.718
EF026073,1651,5,21.442,21.602,5a,21.442,5b,21.602
EF136859,623,5,7.705,18.211,5a,7.705,5b,18.211
EF523600,1710,5,7.544,20.514,5a,7.544,5b,20.514
PX934580,126,5,23.016,31.559,5a,23.016,5b,31.559
U31274,223,5,11.659,23.529,5a,11.659,5b,23.529
Y13184,1772,5,7.393,20.000,5a,7.393,5b,20.000
AB204662,331,5,6.949,20.606,5a,6.949,5b,20.606
AB204663,331,5,5.438,21.212,5a,5.438,5b,21.212
AB204664,331,5,5.136,19.394,5a,5.136,5b,19.394
AB204665,331,5,5.136,20.909,5a,5.136,5b,20.909
AB204666,331,5,6.647,20.303,5a,6.647,5b,20.303
AB204667,331,5,6.344,19.444,5a,6.344,5b,19.444
AB204668,331,5,5.438,20.000,5a,5.438,5b,20.000
AB204669,331,5,6.647,20.000,5a,6.647,5b,20.000
AB204670,331,5,4.834,19.697,5a,4.834,5b,19.697
AB204671,331,5,6.949,20.606,5a,6.949,5b,20.606
AB204672,331,5,6.647,20.303,5a,6.647,5b,20.303
AB204673,331,5,6.042,20.909,5a,6.042,5b,20.909
AB204674,331,5,6.042,20.606,5a,6.042,5b,20.606
AB204675,331,5,5.136,19.394,5a,5.136,5b,19.394
AB204676,331,5,4.532,20.000,5a,4.532,5b,20.000
AB204677,331,5,5.438,19.697,5a,5.438,5b,19.697
AB204678,331,5,5.740,20.606,5a,5.740,5b,20.606
AB204679,330,5,4.545,19.394,5a,4.545,5b,19.394
AB204680,331,5,0.000,19.394,5a,0.000,5b,19.394
AB204681,331,5,6.042,20.606,5a,6.042,5b,20.606
AB204682,331,5,6.042,20.606,5a,6.042,5b,20.606
AB204683,331,5,6.042,21.515,5a,6.042,5b,21.515
AB204684,331,5,6.344,19.394,5a,6.344,5b,19.394
AB204685,331,5,6.647,20.000,5a,6.647,5b,20.000
AF064490,1772,5,0.000,20.417,5a,0.000,5b,20.417
AF515976,339,5,6.490,20.944,5a,6.490,5b,20.944
AF515977,339,5,8.260,20.606,5a,8.260,5b,20.606
AF516046,339,5,5.310,20.944,5a,5.310,5b,20.944
AF516051,339,5,6.785,20.059,5a,6.785,5b,20.059
AJ291281,331,5,6.042,19.091,5a,6.042,5b,19.091
AJ608776,381,5,4.724,17.585,5a,4.724,5b,17.585
AJ608777,381,5,6.824,18.110,5a,6.824,5b,18.110
AJ608778,381,5,4.462,18.373,5a,4.462,5b,18.373
AJ608779,381,5,5.249,18.898,5a,5.249,5b,18.898
AJ608780,381,5,5.512,18.373,5a,5.512,5b,18.373
AJ608781,381,5,4.987,18.898,5a,4.987,5b,18.898
AJ608782,381,5,5.774,19.160,5a,5.774,5b,19.160
AJ608783,381,5,6.037,18.898,5a,6.037,5b,18.898
AJ608784,381,5,6.562,18.898,5a,6.562,5b,18.898
AJ608785,379,5,5.805,18.997,5a,5.805,5b,18.997
AJ626926,356,5,5.056,18.258,5a,5.056,5b,18.258
AJ626990,356,5,3.933,18.820,5a,3.933,5b,18.820
AJ626991,356,5,5.618,18.539,5a,5.618,5b,18.539
AJ626992,356,5,5.337,20.225,5a,5.337,5b,20.225
AJ626993,356,5,7.022,21.629,5a,7.022,5b,21.629
AJ626994,356,5,6.742,20.225,5a,6.742,5b,20.225
AJ626995,356,5,5.337,20.787,5a,5.337,5b,20.787
AJ626996,356,5,6.742,21.348,5a,6.742,5b,21.348
AJ626997,356,5,5.618,19.663,5a,5.618,5b,19.663
AJ626998,356,5,5.337,18.820,5a,5.337,5b,18.820
AJ880694,336,5,8.333,21.131,5a,8.333,5b,21.131
AJ880747,336,5,7.738,19.345,5a,7.738,5b,19.345
AM408911,1651,5,21.442,21.602,5a,21.442,5b,21.602
AY373466,380,5,5.789,19.211,5a,5.789,5b,19.211
AY373467,389,5,6.170,19.744,5a,6.170,5b,19.744
AY373468,389,5,5.913,18.205,5a,5.913,5b,18.205
AY373469,380,5,8.158,19.737,5a,8.158,5b,19.737
AY373470,389,5,5.913,18.462,5a,5.913,5b,18.462
AY373471,389,5,7.198,20.051,5a,7.198,5b,20.051
AY373472,318,5,5.031,18.553,5a,5.031,5b,18.553
AY373473,389,5,6.684,18.205,5a,6.684,5b,18.205
AY373474,389,5,8.226,20.256,5a,8.226,5b,20.256
AY373475,354,5,7.627,20.339,5a,7.627,5b,20.339
AY373476,380,5,9.474,20.526,5a,9.474,5b,20.526
AY373477,389,5,7.455,18.462,5a,7.455,5b,18.462
AY373478,389,5,5.656,19.487,5a,5.656,5b,19.487
AY373479,389,5,7.455,18.205,5a,7.455,5b,18.205
AY373480,371,5,7.817,19.137,5a,7.817,5b,19.137
AY373481,311,5,6.752,19.293,5a,6.752,5b,19.293
AY373482,389,5,7.198,17.949,5a,7.198,5b,17.949
AY373483,389,5,5.656,18.974,5a,5.656,5b,18.974
AY373484,394,5,8.629,18.228,5a,8.629,5b,18.228
AY373485,381,5,5.249,19.948,5a,5.249,5b,19.948
AY373486,390,5,21.538,22.051,5a,21.538,5b,22.051
AY373487,389,5,7.969,18.974,5a,7.969,5b,18.974
AY373488,389,5,5.656,18.718,5a,5.656,5b,18.718
AY373489,389,5,6.170,17.692,5a,6.170,5b,17.692
AY373490,389,5,5.913,18.462,5a,5.913,5b,18.462
AY373491,389,5,7.712,20.256,5a,7.712,5b,20.256
AY597258,247,5,4.858,19.758,5a,4.858,5b,19.758
HM107696,1710,5,6.667,20.690,5a,6.667,5b,20.690
HM566121,1769,5,7.914,20.045,5a,7.914,5b,20.045
HQ385855,338,5,7.101,19.412,5a,7.101,5b,19.412
HQ385856,361,5,7.479,19.391,5a,7.479,5b,19.391
HQ385857,348,5,5.460,18.966,5a,5.460,5b,18.966
HQ385858,338,5,7.101,20.354,5a,7.101,5b,20.354
HQ385859,371,5,5.930,19.946,5a,5.930,5b,19.946
HQ385860,356,5,9.270,18.258,5a,9.270,5b,18.258
HQ385861,356,5,4.775,19.101,5a,4.775,5b,19.101
HQ385862,356,5,7.584,19.663,5a,7.584,5b,19.663
HQ385863,356,5,5.899,19.944,5a,5.899,5b,19.944
HQ385864,353,5,6.799,18.980,5a,6.799,5b,18.980
HQ385866,359,5,6.407,18.384,5a,6.407,5b,18.384
HQ385868,356,5,7.022,18.820,5a,7.022,5b,18.820
HQ385869,353,5,6.799,18.980,5a,6.799,5b,18.980
HQ385870,356,5,6.742,21.348,5a,6.742,5b,21.348
HQ385871,356,5,9.270,20.225,5a,9.270,5b,20.225
HQ385872,356,5,8.989,19.663,5a,8.989,5b,19.663
JN116564,358,5,10.056,19.553,5a,10.056,5b,19.553
JN116565,364,5,7.692,20.330,5a,7.692,5b,20.330
JN116566,352,5,5.966,18.927,5a,5.966,5b,18.927
JQ318453,340,5,6.471,20.588,5a,6.471,5b,20.588
JQ318516,340,5,6.176,20.882,5a,6.176,5b,20.882
JQ318557,340,5,7.059,20.294,5a,7.059,5b,20.294
PX387001,1760,5,7.670,20.238,5a,7.670,5b,20.238
PX387002,1772,5,8.070,20.744,5a,8.070,5b,20.744
EU558516,338,5,7.988,21.239,5a,7.988,5b,21.239
EU684638,404,5,5.693,19.753,5a,5.693,5b,19.753
FJ872356,1759,5,6.254,19.318,5a,6.254,5b,19.318
FJ872357,1769,5,8.084,20.294,5a,8.084,5b,20.294
FJ872358,1759,5,7.732,20.568,5a,7.732,5b,20.568
FJ872359,1759,5,6.993,19.886,5a,6.993,5b,19.886
FJ872360,1758,5,7.395,20.466,5a,7.395,5b,20.466
FJ872361,1758,5,8.646,20.921,5a,8.646,5b,20.921
FJ872362,1766,5,6.795,19.943,5a,6.795,5b,19.943
FJ872363,1766,5,7.758,19.683,5a,7.758,5b,19.683
FJ872364,1766,5,7.361,20.305,5a,7.361,5b,20.305
FJ872365,1766,5,7.871,20.113,5a,7.871,5b,20.113
FJ872366,1766,5,7.248,20.543,5a,7.248,5b,20.543
FJ872367,1769,5,7.914,19.718,5a,7.914,5b,19.718
FJ872368,1759,5,7.447,20.352,5a,7.447,5b,20.352
FJ872369,1758,5,7.679,20.580,5a,7.679,5b,20.580
FJ872370,1758,5,7.850,20.239,5a,7.850,5b,20.239
FN553283,327,5,4.281,19.136,5a,4.281,5b,19.136
FN553284,327,5,6.116,20.062,5a,6.116,5b,20.062
FN553285,327,5,5.199,20.679,5a,5.199,5b,20.679
FN553286,327,5,4.281,19.136,5a,4.281,5b,19.136
FN553287,327,5,6.728,20.679,5a,6.728,5b,20.679
FN553288,327,5,5.810,20.062,5a,5.810,5b,20.062
FN553289,327,5,6.422,19.753,5a,6.422,5b,19.753
FN553290,327,5,4.281,20.370,5a,4.281,5b,20.370
FN553291,327,5,5.810,20.679,5a,5.810,5b,20.679
FN553292,327,5,5.505,20.370,5a,5.505,5b,20.370
FN553293,327,5,5.505,20.370,5a,5.505,5b,20.370
FN553294,327,5,5.199,21.296,5a,5.199,5b,21.296
FN553295,327,5,4.893,20.062,5a,4.893,5b,20.062
FN553296,327,5,3.670,20.679,5a,3.670,5b,20.679
FN553297,327,5,4.587,18.827,5a,4.587,5b,18.827
FN553298,327,5,5.810,20.370,5a,5.810,5b,20.370
FN553299,327,5,4.893,20.988,5a,4.893,5b,20.988
FN553300,327,5,5.505,20.370,5a,5.505,5b,20.370
FN553301,327,5,3.976,19.136,5a,3.976,5b,19.136
FN553302,327,5,4.893,18.827,5a,4.893,5b,18.827
FN553303,327,5,5.199,20.062,5a,5.199,5b,20.062
FN553304,327,5,5.199,20.679,5a,5.199,5b,20.679
FN553305,327,5,4.893,20.370,5a,4.893,5b,20.370
FN553306,327,5,7.645,20.679,5a,7.645,5b,20.679
FN553307,327,5,3.976,18.210,5a,3.976,5b,18.210
FN553308,327,5,5.505,20.370,5a,5.505,5b,20.370
FN553309,327,5,5.199,20.679,5a,5.199,5b,20.679
FN553310,327,5,5.505,19.136,5a,5.505,5b,19.136
FN553311,327,5,5.505,20.062,5a,5.505,5b,20.062
FN553312,327,5,5.505,20.679,5a,5.505,5b,20.679
FN553313,327,5,6.116,20.988,5a,6.116,5b,20.988
FN553314,327,5,4.281,19.136,5a,4.281,5b,19.136
FN553315,327,5,6.422,20.370,5a,6.422,5b,20.370
FN553316,327,5,5.199,19.444,5a,5.199,5b,19.444
FN553317,327,5,4.893,19.753,5a,4.893,5b,19.753
FN553318,327,5,4.893,20.370,5a,4.893,5b,20.370
FN553319,327,5,5.199,19.444,5a,5.199,5b,19.444
FN553320,327,5,5.199,20.370,5a,5.199,5b,20.370
FN553321,327,5,6.116,20.988,5a,6.116,5b,20.988
FN553322,327,5,4.587,19.753,5a,4.587,5b,19.753
FN553323,327,5,4.893,20.370,5a,4.893,5b,20.370
FN553324,327,5,5.505,19.444,5a,5.505,5b,19.444
FN553325,327,5,6.116,19.753,5a,6.116,5b,19.753
FN553326,327,5,4.587,20.679,5a,4.587,5b,20.679
FN553327,327,5,5.505,20.062,5a,5.505,5b,20.062
FN553328,327,5,5.505,18.827,5a,5.505,5b,18.827
FN553329,327,5,7.034,20.370,5a,7.034,5b,20.370
FN553330,327,5,4.587,19.136,5a,4.587,5b,19.136
FN553331,327,5,4.893,20.062,5a,4.893,5b,20.062
FN553332,327,5,4.281,19.444,5a,4.281,5b,19.444
FN553333,327,5,4.281,20.062,5a,4.281,5b,20.062
FN553334,327,5,3.976,19.444,5a,3.976,5b,19.444
FN553335,327,5,4.281,19.753,5a,4.281,5b,19.753
FN553336,327,5,6.116,20.370,5a,6.116,5b,20.370
FN553337,327,5,4.893,20.062,5a,4.893,5b,20.062
FN553338,327,5,4.587,20.062,5a,4.587,5b,20.062
FN553339,327,5,6.116,20.370,5a,6.116,5b,20.370
FN553340,327,5,5.199,19.753,5a,5.199,5b,19.753
FN553341,327,5,4.587,19.444,5a,4.587,5b,19.444
FN553342,327,5,4.281,19.753,5a,4.281,5b,19.753
FN553343,327,5,3.670,19.136,5a,3.670,5b,19.136
FN553344,327,5,5.199,20.679,5a,5.199,5b,20.679
FN553345,327,5,6.116,20.062,5a,6.116,5b,20.062
FN553346,327,5,4.893,19.444,5a,4.893,5b,19.444
FN553347,327,5,4.893,18.827,5a,4.893,5b,18.827
FN553348,327,5,6.728,20.062,5a,6.728,5b,20.062
FN553349,327,5,3.364,19.753,5a,3.364,5b,19.753
FN553350,327,5,4.587,19.753,5a,4.587,5b,19.753
FN553351,327,5,4.587,19.444,5a,4.587,5b,19.444
FN553352,327,5,3.976,19.136,5a,3.976,5b,19.136
FN553353,327,5,4.587,20.062,5a,4.587,5b,20.062
FN553354,327,5,6.728,20.370,5a,6.728,5b,20.370
FN553355,327,5,7.951,22.222,5a,7.951,5b,22.222
FN553356,327,5,6.728,20.062,5a,6.728,5b,20.062
FN553357,327,5,5.199,19.753,5a,5.199,5b,19.753
FN553358,327,5,6.116,20.062,5a,6.116,5b,20.062
FN553359,327,5,4.893,20.062,5a,4.893,5b,20.062
FN553360,327,5,5.505,20.062,5a,5.505,5b,20.062
FN553361,327,5,6.116,20.370,5a,6.116,5b,20.370
FN553362,325,5,6.769,19.814,5a,6.769,5b,19.814
FN553363,327,5,5.810,19.136,5a,5.810,5b,19.136
FN553364,327,5,7.034,20.679,5a,7.034,5b,20.679
FN553365,327,5,5.505,20.062,5a,5.505,5b,20.062
FN553366,327,5,3.976,18.210,5a,3.976,5b,18.210
FN553367,327,5,5.505,20.679,5a,5.505,5b,20.679
FN553368,327,5,6.422,19.444,5a,6.422,5b,19.444
FN553369,327,5,4.893,19.444,5a,4.893,5b,19.444
FN553370,327,5,7.339,20.370,5a,7.339,5b,20.370
FN553371,327,5,6.728,20.062,5a,6.728,5b,20.062
FN553372,327,5,7.951,18.210,5a,7.951,5b,18.210
FN553373,327,5,5.505,20.062,5a,5.505,5b,20.062
FN553374,327,5,5.505,20.370,5a,5.505,5b,20.370
FN553375,327,5,5.505,19.136,5a,5.505,5b,19.136
FN553376,327,5,3.976,20.679,5a,3.976,5b,20.679
FN553377,327,5,6.422,20.370,5a,6.422,5b,20.370
FN553378,327,5,4.893,19.136,5a,4.893,5b,19.136
FN553379,327,5,3.670,18.519,5a,3.670,5b,18.519
FN553380,327,5,7.034,19.136,5a,7.034,5b,19.136
FN553381,327,5,7.645,21.296,5a,7.645,5b,21.296
FN553382,327,5,5.810,19.753,5a,5.810,5b,19.753
FN553383,327,5,7.339,19.753,5a,7.339,5b,19.753
FN553384,327,5,5.199,20.370,5a,5.199,5b,20.370
FN553385,327,5,5.810,18.210,5a,5.810,5b,18.210
FN553386,327,5,5.199,18.827,5a,5.199,5b,18.827
FN553387,327,5,6.116,20.988,5a,6.116,5b,20.988
FN553388,327,5,6.728,19.444,5a,6.728,5b,19.444
FN553389,327,5,6.116,20.062,5a,6.116,5b,20.062
FN553390,327,5,7.034,18.827,5a,7.034,5b,18.827
FN553391,327,5,6.728,18.827,5a,6.728,5b,18.827
FN553392,327,5,6.116,20.062,5a,6.116,5b,20.062
FN553393,327,5,5.199,18.210,5a,5.199,5b,18.210
FN553394,327,5,3.976,19.444,5a,3.976,5b,19.444
FN553395,327,5,6.116,20.062,5a,6.116,5b,20.062
FN553396,327,5,6.422,19.753,5a,6.422,5b,19.753
FN553397,327,5,6.422,18.210,5a,6.422,5b,18.210
FN553398,327,5,7.034,22.531,5a,7.034,5b,22.531
FN553399,327,5,8.257,20.062,5a,8.257,5b,20.062
FN553400,327,5,6.116,19.444,5a,6.116,5b,19.444
FN553401,327,5,7.951,19.444,5a,7.951,5b,19.444
FN553402,327,5,4.893,19.444,5a,4.893,5b,19.444
FN553403,327,5,7.951,20.062,5a,7.951,5b,20.062
FN553404,327,5,4.587,19.444,5a,4.587,5b,19.444
FN553405,327,5,4.893,18.827,5a,4.893,5b,18.827
FN553406,327,5,5.505,20.370,5a,5.505,5b,20.370
FN553407,327,5,6.422,20.370,5a,6.422,5b,20.370
FN553408,327,5,6.116,19.444,5a,6.116,5b,19.444
FN553409,327,5,6.422,20.988,5a,6.422,5b,20.988
FN553410,327,5,6.422,20.062,5a,6.422,5b,20.062
FN553411,327,5,5.505,19.136,5a,5.505,5b,19.136
FN553412,327,5,5.810,20.370,5a,5.810,5b,20.370
FN553413,327,5,6.116,20.062,5a,6.116,5b,20.062
FN553414,327,5,7.645,19.444,5a,7.645,5b,19.444
FN553415,327,5,7.645,19.753,5a,7.645,5b,19.753
FN553416,327,5,6.116,19.444,5a,6.116,5b,19.444
FN553417,327,5,5.199,19.136,5a,5.199,5b,19.136
FN553418,327,5,4.893,18.519,5a,4.893,5b,18.519
FN553419,326,5,6.748,20.988,5a,6.748,5b,20.988
FN553420,327,5,7.951,21.605,5a,7.951,5b,21.605
FN553421,327,5,6.116,20.988,5a,6.116,5b,20.988
FN553422,327,5,5.199,20.062,5a,5.199,5b,20.062
FN553423,327,5,7.034,20.370,5a,7.034,5b,20.370
FN553424,327,5,7.339,21.605,5a,7.339,5b,21.605
FN553425,327,5,5.810,19.136,5a,5.810,5b,19.136
FN553426,327,5,5.505,19.444,5a,5.505,5b,19.444
FN553427,327,5,7.951,21.296,5a,7.951,5b,21.296
FN553428,327,5,6.116,20.062,5a,6.116,5b,20.062
FN553429,327,5,4.893,19.753,5a,4.893,5b,19.753
FN553430,327,5,5.505,20.062,5a,5.505,5b,20.062
FN553431,325,5,7.385,19.939,5a,7.385,5b,19.939
FN553432,327,5,6.728,20.679,5a,6.728,5b,20.679
GU049372,,5,,,,,,
JX677480,377,5,5.305,19.098,5a,5.305,5b,19.098
KC767829,1482,5,7.355,21.496,5a,7.355,5b,21.496
KC767830,1479,5,6.964,20.662,5a,6.964,5b,20.662
KC767831,1484,5,7.817,21.024,5a,7.817,5b,21.024
KC767832,1484,5,6.671,20.741,5a,6.671,5b,20.741
KC767833,1437,5,7.864,21.766,5a,7.864,5b,21.766
KC767834,1473,5,6.925,20.570,5a,6.925,5b,20.570
KC844046,1772,5,6.998,20.406,5a,6.998,5b,20.406
KF373567,1772,5,7.562,19.775,5a,7.562,5b,19.775
KF524082,362,5,7.182,20.994,5a,7.182,5b,20.994
KF793343,350,5,6.000,19.373,5a,6.000,5b,19.373
