Accession,AssignedGenotype,Subtype6aDistance,Subtype6aDistance,Subtype6bDistance,Subtype6cDistance,Subtype6dDistance,Subtype6eDistance,Subtype6fDistance,Subtype6gDistance,Subtype6hDistance,Subtype6iDistance,Subtype6jDistance,Subtype6kDistance,Subtype6lDistance,Subtype6mDistance,Subtype6nDistance,Subtype6nDistance,Subtype6oDistance,Subtype6pDistance,Subtype6qDistance,Subtype6rDistance,Subtype6sDistance,Subtype6tDistance,Subtype6tDistance,Subtype6uDistance,Subtype6vDistance,Subtype6vDistance,Subtype6wDistance,Subtype6wDistance,Subtype6xaDistance,Subtype6xaDistance,Subtype6xbDistance,Subtype6xbDistance,Subtype6xcDistance,Subtype6xdDistance,Subtype6xdDistance,Subtype6xeDistance,Subtype6xeDistance,Subtype6xfDistance,Subtype6xfDistance,Subtype6xgDistance,Subtype6xgDistance,Subtype6xhDistance,Subtype6xiDistance,Subtype6xiDistance,Subtype6xjDistance,FirstChoiceSubtype,FirstChoiceDistance,SecondChoiceSubtype,SecondChoiceDistance
ON125367,6,24.749,24.749,25.753,23.333,22.000,20.333,23.588,,27.243,25.581,28.763,29.000,27.000,25.084,21.333,21.333,23.333,21.000,28.000,26.667,28.472,24.667,24.667,22.924,25.581,25.581,27.667,27.667,3.000,3.000,29.333,29.333,24.585,24.415,24.415,23.920,23.920,25.694,25.694,25.084,25.084,27.333,28.763,28.763,30.000,6xa,3.000,6e,20.333
ON125368,6,24.252,24.252,25.418,24.000,22.667,21.667,24.315,28.333,28.239,26.910,30.100,29.667,27.667,25.753,22.000,22.000,24.667,21.667,29.000,26.667,28.417,26.000,26.000,23.588,25.914,25.914,27.241,27.241,3.333,3.333,28.667,28.667,25.249,23.746,23.746,24.315,24.315,26.619,26.619,26.087,26.087,26.224,30.100,30.100,29.210,6xa,3.333,6p,21.667
ON125369,6,27.000,27.000,27.575,22.074,22.408,23.333,25.667,27.090,24.080,22.074,24.333,22.074,19.732,18.667,5.351,5.351,22.408,20.598,25.084,26.000,28.819,24.000,24.000,26.421,27.425,27.425,25.753,25.753,18.937,18.937,23.746,23.746,25.333,25.333,25.333,14.000,14.000,22.300,22.300,12.667,12.667,23.140,22.667,22.667,24.000,6n,5.351,6xg,12.667
MW629116,6,23.226,23.226,24.457,23.398,23.619,23.353,23.529,24.093,21.273,21.298,21.652,16.118,5.588,19.882,18.989,18.989,23.377,22.647,22.469,22.634,24.896,24.463,24.463,23.032,22.561,22.561,23.705,23.705,21.484,21.484,16.471,16.471,24.585,24.075,24.075,19.647,19.647,22.679,22.679,18.647,18.647,22.963,16.882,16.882,17.274,6l,5.588,6k,16.118
MN807683,6,28.818,28.818,28.490,23.429,24.286,24.857,25.143,26.286,22.715,23.546,23.546,20.499,18.935,19.114,4.709,4.709,22.857,21.083,23.055,25.356,27.011,25.429,25.429,25.429,27.147,27.147,24.496,24.496,20.917,20.917,22.000,22.000,26.286,26.748,26.748,12.465,12.465,24.167,24.167,11.357,11.357,27.429,21.714,21.714,24.100,6n,4.709,6xg,11.357
MT032265,6,27.301,27.301,27.795,22.291,23.639,25.545,24.106,26.398,22.791,21.584,21.529,21.329,20.556,18.915,4.019,4.019,23.832,24.728,23.292,25.350,25.617,26.128,26.128,24.728,28.349,28.349,23.832,23.832,23.484,23.484,20.930,20.930,25.816,27.145,27.145,13.447,13.447,24.649,24.649,13.292,13.292,24.417,21.273,21.273,22.411,6n,4.019,6xg,13.292
MT032268,6,26.365,26.365,27.950,23.245,22.621,25.117,22.933,25.389,21.705,20.652,21.217,21.329,19.165,17.364,3.400,3.400,23.401,23.988,23.292,24.766,26.235,26.053,26.053,23.988,27.769,27.769,23.869,23.869,22.084,22.084,20.031,20.031,25.429,27.145,27.145,12.674,12.674,24.493,24.493,12.056,12.056,25.273,20.807,20.807,21.947,6n,3.400,6xg,12.056
MT032271,6,27.301,27.301,27.399,22.153,23.557,26.365,24.337,25.585,21.705,20.497,22.465,21.484,19.938,18.760,4.173,4.173,24.611,24.261,23.292,25.701,26.389,26.053,26.053,24.766,27.726,27.726,23.209,23.209,23.017,23.017,20.652,20.652,25.585,26.989,26.989,12.983,12.983,24.493,24.493,13.138,13.138,25.389,21.584,21.584,22.581,6n,4.173,6xe,12.983
MT032274,6,26.822,26.822,28.067,22.430,22.586,25.273,24.299,25.966,22.551,20.529,21.053,20.529,19.345,19.440,4.173,4.173,23.802,24.299,23.602,25.350,25.966,25.078,25.078,25.078,28.037,28.037,23.988,23.988,22.933,22.933,20.995,20.995,26.324,27.259,27.259,12.597,12.597,23.401,23.401,12.753,12.753,24.337,21.894,21.894,21.947,6n,4.173,6xe,12.597
MT032277,6,26.905,26.905,28.305,22.586,23.364,26.209,24.143,26.053,22.326,20.963,22.465,21.175,20.093,19.070,4.328,4.328,24.417,24.417,24.224,26.128,26.543,25.857,25.857,24.883,27.726,27.726,22.481,22.481,23.869,23.869,21.429,21.429,26.636,27.259,27.259,13.601,13.601,24.143,24.143,12.828,12.828,25.078,21.584,21.584,22.566,6n,4.328,6xg,12.828
MT032281,6,23.401,23.401,25.350,23.401,21.184,21.429,23.493,24.961,25.117,24.961,26.324,23.676,21.841,23.401,22.153,22.153,22.777,23.053,24.493,25.542,25.234,23.994,23.994,23.648,24.805,24.805,24.805,24.805,2.164,2.164,22.621,22.621,24.379,23.184,23.184,24.337,24.337,24.728,24.728,22.621,22.621,24.575,22.897,22.897,24.572,6xa,2.164,6e,21.429
MT032282,6,23.869,23.869,24.728,23.089,21.495,21.373,23.602,24.805,25.350,25.234,26.324,23.676,22.777,23.401,22.933,22.933,21.841,23.209,24.649,25.350,25.078,23.950,23.950,22.981,25.273,25.273,26.365,26.365,2.318,2.318,22.777,22.777,23.447,22.566,22.566,24.261,24.261,24.572,24.572,22.777,22.777,24.068,22.897,22.897,24.883,6xa,2.318,6e,21.373
MT032283,6,23.839,23.839,25.701,25.389,24.106,23.364,24.883,22.118,26.636,25.701,24.922,24.337,23.245,25.429,25.741,25.741,24.805,24.730,24.806,26.439,25.851,26.168,26.168,23.869,25.429,25.429,25.117,25.117,15.611,15.611,23.713,23.713,23.209,23.101,23.101,26.833,26.833,25.697,25.697,25.429,25.429,25.972,24.181,24.181,24.649,6xa,15.611,6g,22.118
MT032284,6,25.741,25.741,27.216,28.326,26.977,28.992,26.087,24.922,27.259,28.660,29.953,25.701,25.545,26.791,28.505,28.505,28.149,28.505,27.427,26.863,28.705,30.078,30.078,29.612,2.628,2.628,27.907,27.907,25.273,25.273,26.480,26.480,28.062,27.372,27.372,28.972,28.972,26.006,26.006,27.882,27.882,27.613,26.012,26.012,29.283,6v,2.628,6g,24.922
MT032285,6,25.897,25.897,27.613,29.108,27.442,28.837,26.863,25.545,27.414,28.193,29.329,26.480,26.168,26.480,27.726,27.726,27.372,28.972,27.202,27.795,28.861,28.992,28.992,29.457,4.019,4.019,27.975,27.975,25.429,25.429,26.439,26.439,28.992,27.527,27.527,28.660,28.660,26.006,26.006,27.259,27.259,26.833,26.168,26.168,28.972,6v,4.019,6xa,25.429
MT032286,6,22.551,22.551,25.039,23.245,21.807,21.061,22.981,24.649,25.234,24.611,26.324,24.143,21.373,23.557,22.777,22.777,22.309,23.053,23.988,25.701,25.234,23.484,23.484,22.205,24.611,24.611,24.805,24.805,1.855,1.855,22.465,22.465,23.639,23.184,23.184,23.950,23.950,24.106,24.106,22.933,22.933,23.913,22.741,22.741,24.883,6xa,1.855,6e,21.061
MT032287,6,22.465,22.465,24.728,23.245,21.340,21.217,22.981,24.649,24.922,25.545,26.324,23.364,22.153,23.557,22.777,22.777,21.997,22.741,24.961,25.194,24.611,23.639,23.639,22.981,24.805,24.805,25.897,25.897,2.009,2.009,22.621,22.621,23.758,22.411,22.411,24.417,24.417,24.106,24.106,22.777,22.777,23.447,22.897,22.897,24.883,6xa,2.009,6e,21.217
MT032288,6,23.401,23.401,24.883,22.933,21.963,21.217,23.137,24.805,24.922,25.234,26.324,23.869,22.777,24.025,22.621,22.621,22.465,22.933,24.649,25.194,24.922,23.795,23.795,23.447,24.961,24.961,25.741,25.741,1.855,1.855,23.401,23.401,23.758,22.875,22.875,23.950,23.950,24.455,24.455,23.089,23.089,23.913,23.713,23.713,25.389,6xa,1.855,6e,21.217
MT032289,6,23.557,23.557,25.039,23.557,21.807,21.373,23.292,25.117,25.234,24.922,26.168,23.988,22.777,23.401,23.137,23.137,22.309,22.897,24.299,25.972,25.234,23.950,23.950,23.292,24.961,24.961,25.897,25.897,2.164,2.164,23.089,23.089,24.261,23.648,23.648,24.417,24.417,24.883,24.883,22.777,22.777,24.224,23.053,23.053,25.350,6xa,2.164,6e,21.373
MT032290,6,22.309,22.309,24.572,22.274,21.340,20.437,23.137,24.805,24.766,24.922,26.905,23.364,22.153,23.401,22.309,22.309,22.621,22.741,24.493,25.505,25.078,23.328,23.328,23.639,24.611,24.611,25.117,25.117,2.318,2.318,22.153,22.153,23.758,22.875,22.875,24.261,24.261,25.078,25.078,22.777,22.777,23.447,23.364,23.364,24.417,6xa,2.318,6e,20.437
MT032291,6,23.364,23.364,24.961,22.862,20.963,20.684,22.910,25.117,25.389,25.234,26.989,24.611,23.401,23.713,23.401,23.401,22.465,23.520,24.534,25.776,24.766,24.805,24.805,23.364,24.766,24.766,25.897,25.897,2.628,2.628,23.869,23.869,24.143,22.720,22.720,25.194,25.194,24.379,24.379,23.401,23.401,23.602,24.299,24.299,25.505,6xa,2.628,6e,20.684
MT032292,6,22.933,22.933,24.728,23.869,21.184,21.061,22.981,24.805,25.585,25.429,26.480,23.988,22.153,23.869,22.621,22.621,22.153,23.676,25.117,25.039,25.545,24.261,24.261,22.981,24.961,24.961,25.429,25.429,2.318,2.318,23.089,23.089,24.224,23.338,23.338,25.117,25.117,24.572,24.572,23.869,23.869,23.913,23.364,23.364,25.194,6xa,2.318,6e,21.061
MT032293,6,23.401,23.401,25.039,23.401,21.340,21.217,22.826,25.585,25.389,25.389,26.947,24.455,23.089,23.713,22.933,22.933,22.153,23.364,25.234,25.701,25.078,23.795,23.795,23.328,24.455,24.455,25.273,25.273,2.164,2.164,22.586,22.586,24.728,23.648,23.648,24.883,24.883,25.039,25.039,23.557,23.557,24.224,23.364,23.364,25.857,6xa,2.164,6e,21.217
MT032294,6,22.933,22.933,25.350,23.245,20.872,20.905,22.981,24.805,24.922,24.922,26.012,23.676,22.309,23.557,22.777,22.777,22.621,23.053,25.117,25.194,24.922,24.106,24.106,22.981,24.455,24.455,25.273,25.273,1.546,1.546,22.621,22.621,24.068,22.720,22.720,24.106,24.106,24.417,24.417,22.777,22.777,23.758,22.741,22.741,24.728,6xa,1.546,6e,20.905
MT032295,6,22.777,22.777,25.039,23.328,22.118,21.373,23.447,24.649,25.234,25.234,26.594,24.337,22.933,23.401,23.245,23.245,22.465,23.401,25.117,26.636,25.078,24.106,24.106,23.758,24.805,24.805,25.273,25.273,2.473,2.473,23.869,23.869,23.913,22.875,22.875,24.572,24.572,24.261,24.261,23.401,23.401,24.689,23.557,23.557,26.012,6xa,2.473,6e,21.373
MT032296,6,23.245,23.245,24.883,23.401,21.184,21.529,23.137,25.117,24.766,24.922,26.168,23.988,22.777,23.713,22.621,22.621,22.465,23.053,24.922,25.039,25.078,24.261,24.261,22.981,24.805,24.805,25.273,25.273,1.546,1.546,22.465,22.465,23.795,23.184,23.184,24.572,24.572,24.572,24.572,22.777,22.777,23.758,23.053,23.053,25.039,6xa,1.546,6d,21.184
MT032297,6,23.520,23.520,25.350,23.676,21.651,21.841,23.137,25.273,24.922,25.545,26.168,24.922,22.465,24.025,21.997,21.997,23.245,23.832,24.922,26.283,24.611,24.572,24.572,23.137,25.741,25.741,24.961,24.961,2.937,2.937,23.245,23.245,24.572,23.338,23.338,23.994,23.994,24.883,24.883,22.777,22.777,24.379,23.053,23.053,25.389,6xa,2.937,6e,21.841
MT032298,6,22.706,22.706,25.350,23.089,21.807,20.905,22.826,24.961,25.234,24.455,26.480,23.832,21.997,23.869,22.309,22.309,22.777,22.430,24.805,25.972,25.545,24.261,24.261,23.137,24.455,24.455,24.337,24.337,2.782,2.782,22.621,22.621,23.913,23.184,23.184,23.795,23.795,25.039,25.039,23.713,23.713,24.379,23.832,23.832,24.572,6xa,2.782,6e,20.905
MT032299,6,22.706,22.706,25.505,23.089,21.651,20.905,22.671,24.805,25.234,24.455,26.480,23.832,21.997,23.713,22.309,22.309,22.777,22.586,24.805,25.816,25.389,24.106,24.106,23.137,24.299,24.299,24.337,24.337,2.473,2.473,22.465,22.465,23.913,23.184,23.184,23.950,23.950,24.883,24.883,23.713,23.713,24.379,23.988,23.988,24.417,6xa,2.473,6e,20.905
MT032300,6,22.309,22.309,24.728,23.557,21.184,20.905,22.826,24.181,25.078,24.611,26.012,24.337,22.153,23.713,22.621,22.621,22.621,23.089,25.273,25.389,25.078,23.950,23.950,23.292,24.493,24.493,24.805,24.805,1.700,1.700,22.777,22.777,23.913,22.720,22.720,24.106,24.106,24.261,24.261,23.245,23.245,23.602,23.869,23.869,24.922,6xa,1.700,6e,20.905
MT032301,6,23.089,23.089,25.039,23.401,21.651,21.529,22.981,24.961,24.261,24.766,26.324,24.143,21.685,24.337,21.841,21.841,22.309,22.430,24.299,24.728,25.078,23.950,23.950,22.981,24.961,24.961,25.273,25.273,2.009,2.009,21.997,21.997,23.950,23.184,23.184,23.795,23.795,24.611,24.611,23.089,23.089,24.068,23.053,23.053,24.728,6xa,2.009,6e,21.529
MT032302,6,21.362,21.362,24.805,25.701,24.068,23.950,25.542,23.089,25.857,25.078,24.805,23.676,22.741,24.181,24.181,24.181,24.181,25.117,24.106,26.398,25.581,25.741,25.741,24.025,24.961,24.961,24.805,24.805,15.147,15.147,24.649,24.649,23.209,22.342,22.342,25.816,25.816,24.379,24.379,25.117,25.117,23.876,24.025,24.025,25.117,6xa,15.147,6a,21.362
MT032303,6,23.401,23.401,24.883,23.557,21.340,21.685,22.981,24.961,24.922,25.078,26.012,23.832,22.933,23.869,22.465,22.465,22.621,23.209,24.766,24.883,25.078,24.106,24.106,23.137,24.961,24.961,25.273,25.273,1.700,1.700,22.309,22.309,23.950,23.184,23.184,24.417,24.417,24.572,24.572,22.777,22.777,23.411,22.897,22.897,24.883,6xa,1.700,6d,21.340
MT032304,6,22.706,22.706,24.341,23.557,21.651,21.841,23.292,24.961,24.922,25.545,26.791,23.713,22.153,23.401,21.997,21.997,22.621,24.025,25.117,25.389,24.845,24.417,24.417,23.292,24.572,24.572,25.117,25.117,2.937,2.937,22.933,22.933,24.379,22.566,22.566,24.417,24.417,25.350,25.350,22.933,22.933,23.721,23.089,23.089,25.585,6xa,2.937,6e,21.841
MT032305,6,23.089,23.089,25.039,23.245,22.430,21.529,23.292,24.493,25.429,25.273,26.480,23.832,22.153,23.557,22.309,22.309,22.153,22.741,24.766,25.701,24.766,24.261,24.261,23.292,24.611,24.611,25.273,25.273,2.628,2.628,22.465,22.465,24.261,23.338,23.338,24.493,24.493,25.505,25.505,22.933,22.933,24.224,23.328,23.328,24.728,6xa,2.628,6e,21.529
MT185686,6,4.620,4.620,16.929,22.943,22.604,24.775,24.621,22.374,23.939,23.038,24.560,23.592,23.081,23.081,22.753,22.753,23.133,23.596,24.529,24.466,24.716,24.011,24.011,23.549,22.675,22.675,24.550,24.550,21.130,21.130,23.986,23.986,23.683,16.023,16.023,24.253,24.253,25.085,25.085,22.681,22.681,23.016,23.748,23.748,24.211,6a,4.620,6xd,16.023
MT428262,6,26.513,26.513,24.629,19.477,19.130,20.000,3.768,22.965,28.448,29.513,28.076,27.463,26.488,28.696,24.638,24.638,20.580,21.221,20.640,16.812,27.089,19.828,19.828,19.710,26.377,26.377,22.674,22.674,23.145,23.145,25.145,25.145,22.543,25.602,25.602,26.163,26.163,23.276,23.276,27.035,27.035,24.138,27.536,27.536,27.907,6f,3.768,6r,16.812
MT428270,6,27.326,27.326,26.801,22.965,24.058,26.377,25.797,27.907,23.768,23.478,25.291,22.319,21.493,20.290,5.217,5.217,22.899,22.899,24.419,24.638,26.801,26.377,26.377,25.079,26.957,26.957,26.163,26.163,22.543,22.543,22.899,22.899,26.453,27.027,27.027,13.953,13.953,25.581,25.581,10.465,10.465,25.217,24.638,24.638,25.581,6n,5.217,6xg,10.465
MT428271,6,27.907,27.907,29.107,23.547,24.638,22.543,24.638,26.453,24.058,22.609,24.419,22.029,20.299,20.870,4.348,4.348,22.899,21.676,25.000,23.988,26.957,24.855,24.855,26.087,27.536,27.536,24.419,24.419,21.449,21.449,22.899,22.899,25.581,26.349,26.349,12.791,12.791,24.128,24.128,12.500,12.500,25.797,23.768,23.768,25.000,6n,4.348,6xg,12.500
MT428272,6,27.616,27.616,28.818,23.547,24.058,23.121,24.638,26.744,24.348,22.899,24.128,22.029,20.299,20.580,4.348,4.348,22.319,21.676,25.000,23.988,26.667,24.855,24.855,26.377,26.957,26.957,24.419,24.419,22.029,22.029,23.478,23.478,25.581,26.032,26.032,13.372,13.372,24.419,24.419,12.500,12.500,25.797,24.058,24.058,25.000,6n,4.348,6xg,12.500
MT428273,6,27.168,27.168,25.816,20.349,20.580,21.449,4.348,25.291,29.799,29.143,28.448,29.080,27.083,28.324,24.928,24.928,21.159,21.802,21.802,16.232,29.598,20.461,20.461,21.159,27.826,27.826,24.207,24.207,24.926,24.926,27.457,27.457,22.543,26.807,26.807,27.326,27.326,23.476,23.476,27.326,27.326,25.648,29.565,29.565,25.322,6f,4.348,6r,16.232
MT428274,6,28.035,28.035,25.519,20.640,21.449,20.870,5.217,25.581,29.226,29.429,27.874,29.552,26.488,28.902,25.217,25.217,21.449,22.674,22.093,16.522,29.769,21.614,21.614,20.000,28.406,28.406,24.496,24.496,25.223,25.223,26.879,26.879,23.121,27.108,27.108,26.453,26.453,22.866,22.866,27.616,27.616,26.225,28.406,28.406,25.751,6f,5.217,6r,16.522
MT428275,6,26.744,26.744,27.003,18.841,20.870,19.420,6.667,26.453,29.855,28.613,28.525,29.794,28.274,28.902,25.217,25.217,20.290,20.930,22.674,18.261,28.488,20.000,20.000,19.420,28.696,28.696,25.581,25.581,24.629,24.629,28.035,28.035,21.387,26.807,26.807,27.326,27.326,23.853,23.853,,,23.768,29.565,29.565,25.751,6f,6.667,6r,18.261
MT428296,6,26.744,26.744,25.223,20.640,20.870,20.580,4.638,25.291,30.145,29.191,28.406,29.254,28.274,28.324,24.928,24.928,20.290,21.221,23.256,15.652,28.779,21.739,21.739,20.000,27.246,27.246,23.547,23.547,24.036,24.036,27.168,27.168,22.832,27.711,27.711,26.453,26.453,23.547,23.547,27.907,27.907,24.928,28.986,28.986,29.070,6f,4.638,6r,15.652
MT428299,6,26.744,26.744,27.378,23.837,24.058,25.507,24.638,27.035,23.478,22.899,23.547,21.739,20.299,20.290,2.319,2.319,22.899,21.159,24.419,24.566,25.797,25.797,25.797,26.032,28.406,28.406,24.709,24.709,22.965,22.965,21.676,21.676,26.744,24.324,24.324,12.209,12.209,25.000,25.000,11.047,11.047,25.507,24.638,24.638,22.384,6n,2.319,6xg,11.047
MT428318,6,27.381,27.381,25.915,18.605,18.841,20.000,4.348,25.291,30.145,29.480,29.855,29.254,26.380,28.902,24.058,24.058,20.580,20.349,21.098,17.681,28.779,20.580,20.580,20.000,26.377,26.377,22.965,22.965,23.030,23.030,26.590,26.590,22.254,27.439,27.439,28.198,28.198,22.324,22.324,27.035,27.035,24.348,29.275,29.275,30.233,6f,4.348,6r,17.681
MT428319,6,25.444,25.444,24.332,20.058,18.841,20.749,4.348,25.291,29.799,29.429,28.889,28.116,26.567,28.736,24.355,24.355,20.870,21.512,21.676,16.232,28.242,20.977,20.977,22.126,25.000,25.000,22.393,22.393,23.988,23.988,25.298,25.298,22.561,24.699,24.699,26.163,26.163,22.701,22.701,27.011,27.011,23.851,28.060,28.060,29.552,6f,4.348,6r,16.232
MT428320,6,28.358,28.358,27.666,22.609,25.217,24.762,24.348,26.380,23.188,23.768,24.128,22.609,20.000,19.420,3.768,3.768,23.188,20.290,23.547,23.121,26.377,25.217,25.217,26.349,27.826,27.826,25.291,25.291,20.930,20.930,22.029,22.029,24.771,27.327,27.327,13.081,13.081,25.076,25.076,10.756,10.756,26.377,22.609,22.609,23.837,6n,3.768,6xg,10.756
MT428322,6,27.811,27.811,26.113,19.767,20.000,21.449,5.507,26.163,28.367,28.571,27.044,28.986,26.844,27.299,24.348,24.348,22.029,21.802,22.543,16.522,29.395,20.977,20.977,22.029,27.439,27.439,24.848,24.848,24.855,24.855,26.765,26.765,21.951,26.506,26.506,26.744,26.744,23.563,23.563,27.035,27.035,25.862,29.254,29.254,25.893,6f,5.507,6r,16.522
PQ533731,6,7.097,7.097,20.130,24.194,25.161,26.837,26.367,26.780,25.385,26.115,29.299,28.803,27.124,27.564,28.526,28.526,27.419,22.903,27.974,26.214,27.419,27.331,27.331,23.701,25.163,25.163,25.974,25.974,22.258,22.258,25.869,25.869,25.974,19.032,19.032,29.167,29.167,29.487,29.487,29.355,29.355,24.919,28.065,28.065,25.483,6a,7.097,6xd,19.032
PQ533732,6,4.839,4.839,17.254,26.129,25.484,27.476,26.837,26.441,28.188,26.198,29.393,,28.105,26.774,29.355,29.355,25.806,24.516,28.896,26.214,26.129,28.435,28.435,24.818,24.430,24.430,24.351,24.351,21.613,21.613,28.244,28.244,28.571,18.710,18.710,29.355,29.355,29.572,29.572,28.065,28.065,23.718,28.754,28.754,28.105,6a,4.839,6xd,18.710
PQ533733,6,7.097,7.097,20.070,27.419,27.419,28.754,28.344,26.102,26.174,24.759,27.331,26.861,26.471,27.419,30.645,30.645,26.774,26.129,29.221,27.508,26.774,27.707,27.707,27.273,23.856,23.856,23.701,23.701,23.548,23.548,25.475,25.475,29.870,20.323,20.323,29.032,29.032,30.128,30.128,28.710,28.710,24.038,26.518,26.518,26.255,6a,7.097,6xd,20.323
PQ533734,6,4.575,4.575,20.714,26.471,26.144,27.832,26.578,26.441,27.181,25.733,28.477,28.115,26.452,27.778,30.392,30.392,26.144,24.837,28.664,26.059,27.632,25.097,25.097,26.885,24.092,24.092,25.081,25.081,20.077,20.077,27.099,27.099,29.412,19.935,19.935,29.739,29.739,27.626,27.626,30.405,30.405,24.194,28.435,28.435,29.032,6a,4.575,6xd,19.935
PQ533735,6,3.871,3.871,20.070,26.452,26.129,26.837,27.070,28.136,27.308,26.518,29.712,28.803,27.362,28.065,29.487,29.487,26.774,25.161,29.870,27.508,27.742,27.070,27.070,27.273,26.471,26.471,24.595,24.595,23.226,23.226,27.099,27.099,29.221,19.677,19.677,29.808,29.808,29.808,29.808,30.000,30.000,24.290,27.863,27.863,26.641,6a,3.871,6xd,19.677
