Accession,AssignedGenotype,Subtype2aDistance,Subtype2aDistance,Subtype2bDistance,Subtype2bDistance,Subtype2cDistance,Subtype2dDistance,Subtype2eDistance,Subtype2fDistance,Subtype2fDistance,Subtype2iDistance,Subtype2jDistance,Subtype2jDistance,Subtype2kDistance,Subtype2lDistance,Subtype2lDistance,Subtype2mDistance,Subtype2mDistance,Subtype2qDistance,Subtype2qDistance,Subtype2rDistance,Subtype2tDistance,Subtype2uDistance,Subtype2vDistance,FirstChoiceSubtype,FirstChoiceDistance,SecondChoiceSubtype,SecondChoiceDistance
PP457742,2,6.199,6.199,16.757,16.757,16.944,16.486,16.389,15.278,15.278,15.278,14.286,14.286,16.712,21.023,21.023,14.555,14.555,14.286,14.286,13.477,18.106,15.633,15.364,2a,6.199,2r,13.477
PP457743,2,7.200,7.200,16.845,16.845,17.067,14.706,15.556,15.282,15.282,14.667,12.800,12.800,16.267,21.984,21.984,14.667,14.667,14.400,14.400,14.400,17.914,14.933,15.200,2a,7.200,2j,12.800
PP457744,2,7.097,7.097,18.269,18.269,17.276,15.064,17.057,14.570,14.570,15.282,13.871,13.871,16.667,21.769,21.769,15.705,15.705,13.782,13.782,14.744,18.937,15.484,15.385,2a,7.097,2q,13.782
PP457745,2,7.417,7.417,16.113,16.113,16.754,15.090,15.486,15.405,15.405,14.136,11.765,11.765,15.345,20.375,20.375,12.788,12.788,15.601,15.601,14.834,16.754,14.834,14.834,2a,7.417,2j,11.765
PP457746,2,7.467,7.467,17.112,17.112,17.600,15.775,16.944,15.508,15.508,16.000,14.933,14.933,17.067,22.252,22.252,15.733,15.733,14.400,14.400,14.933,16.992,16.267,15.556,2a,7.467,2q,14.400
PP457747,2,7.417,7.417,15.345,15.345,16.842,14.322,16.579,14.436,14.436,14.737,12.788,12.788,17.391,21.716,21.716,14.066,14.066,15.090,15.090,14.322,17.105,13.555,14.578,2a,7.417,2j,12.788
PP457748,2,7.325,7.325,16.879,16.879,17.834,16.879,18.060,16.879,16.879,16.242,14.331,14.331,17.197,22.930,22.930,14.013,14.013,15.605,15.605,14.968,21.019,14.968,15.605,2a,7.325,2m,14.013
PP457749,2,7.712,7.712,16.710,16.710,15.969,16.452,17.585,15.666,15.666,14.921,14.099,14.099,15.938,20.375,20.375,15.424,15.424,14.139,14.139,13.111,15.969,14.396,14.660,2a,7.712,2r,13.111
PP457750,2,7.592,7.592,15.666,15.666,15.860,15.144,15.591,15.282,15.282,13.710,12.010,12.010,17.755,20.219,20.219,14.360,14.360,14.621,14.621,14.621,18.011,14.099,13.838,2a,7.592,2j,12.010
PP457751,2,7.669,7.669,16.258,16.258,17.737,14.724,17.363,15.902,15.902,16.049,13.150,13.150,15.951,22.936,22.936,14.724,14.724,14.985,14.985,13.804,18.960,14.373,15.291,2a,7.669,2j,13.150
PP457752,2,7.029,7.029,17.891,17.891,17.105,17.252,18.482,15.738,15.738,15.789,15.974,15.974,15.974,21.695,21.695,15.655,15.655,15.016,15.016,13.099,18.092,15.655,15.655,2a,7.029,2r,13.099
PP457753,2,6.774,6.774,16.399,16.399,17.667,15.113,16.722,14.618,14.618,14.333,13.226,13.226,16.720,21.502,21.502,14.148,14.148,14.791,14.791,14.469,18.000,14.516,15.113,2a,6.774,2j,13.226
