Accession,AssignedGenotype,Subtype3aDistance,Subtype3bDistance,Subtype3dDistance,Subtype3eDistance,Subtype3gDistance,Subtype3gDistance,Subtype3hDistance,Subtype3iDistance,Subtype3iDistance,Subtype3kDistance,Subtype3kDistance,FirstChoiceSubtype,FirstChoiceDistance,SecondChoiceSubtype,SecondChoiceDistance
PQ365522,3,7.814,20.911,19.915,20.507,21.693,21.693,28.888,21.493,21.493,24.194,24.194,3a,7.814,3d,19.915
PQ365523,3,8.923,21.599,19.229,20.232,21.946,21.946,28.398,21.599,21.599,25.066,25.066,3a,8.923,3d,19.229
PQ365524,3,20.032,23.592,20.085,10.095,22.657,22.657,29.551,22.816,22.816,24.536,24.536,3e,10.095,3d,20.085
PQ365525,3,8.654,21.916,20.655,21.183,22.992,22.992,29.077,23.333,23.333,25.067,25.067,3a,8.654,3d,20.655
PQ365526,3,8.338,20.487,19.915,20.602,21.976,21.976,28.526,22.381,22.381,24.946,24.946,3a,8.338,3d,19.915
PQ365528,3,8.078,21.652,20.232,21.130,22.475,22.475,28.391,21.893,21.893,24.484,24.484,3a,8.078,3d,20.232
PQ365529,3,7.546,19.799,18.912,21.078,20.888,20.888,28.188,21.852,21.852,24.825,24.825,3a,7.546,3d,18.912
PQ365530,3,7.757,21.228,20.285,20.825,22.080,22.080,27.880,21.893,21.893,24.933,24.933,3a,7.757,3d,20.285
PQ365531,3,7.973,20.805,19.863,20.602,22.122,22.122,27.992,22.275,22.275,24.907,24.907,3a,7.973,3d,19.863
PQ365532,3,7.599,20.169,19.493,21.172,21.893,21.893,28.534,22.022,22.022,23.966,23.966,3a,7.599,3d,19.493
PQ365534,3,8.399,21.334,20.497,21.512,22.593,22.593,28.835,22.381,22.381,25.040,25.040,3a,8.399,3d,20.497
PQ365535,3,8.184,20.752,20.655,20.074,22.347,22.347,28.278,22.287,22.287,24.603,24.603,3a,8.184,3e,20.074
PQ365536,3,7.550,20.064,19.546,20.402,21.429,21.429,28.105,20.858,20.858,24.194,24.194,3a,7.550,3d,19.546
PQ365537,3,7.441,20.222,20.127,21.195,21.693,21.693,28.368,21.905,21.905,24.430,24.430,3a,7.441,3d,20.127
PQ365538,3,7.652,20.222,19.176,21.342,21.162,21.162,27.909,21.016,21.016,24.664,24.664,3a,7.652,3d,19.176
PQ365539,3,21.141,20.306,22.285,23.771,9.420,9.420,27.653,20.451,20.451,24.414,24.414,3g,9.420,3b,20.306
PQ365540,3,8.391,20.646,19.810,19.968,20.941,20.941,28.692,21.005,21.005,23.875,23.875,3a,8.391,3d,19.810
MT863870,3,8.354,17.476,17.604,21.250,22.850,22.850,28.676,20.792,20.792,23.833,23.833,3a,8.354,3b,17.476
MT863871,3,8.354,17.476,17.604,21.250,22.850,22.850,28.676,20.792,20.792,23.833,23.833,3a,8.354,3b,17.476
MT863872,3,9.223,16.990,17.604,20.773,22.906,22.906,28.571,19.701,19.701,23.383,23.383,3a,9.223,3b,16.990
MT863873,3,9.223,16.990,17.604,20.773,22.906,22.906,28.571,19.701,19.701,23.383,23.383,3a,9.223,3b,16.990
MT863892,3,6.098,18.293,18.582,22.705,22.195,22.195,29.238,20.449,20.449,23.529,23.529,3a,6.098,3b,18.293
MT863893,3,6.098,18.293,18.582,22.705,22.195,22.195,29.238,20.449,20.449,23.529,23.529,3a,6.098,3b,18.293
MT863894,3,8.354,17.476,17.604,21.250,22.850,22.850,28.676,20.792,20.792,23.833,23.833,3a,8.354,3b,17.476
MT863895,3,6.068,17.718,18.582,21.739,22.573,22.573,28.889,19.701,19.701,23.039,23.039,3a,6.068,3b,17.718
MT863902,3,5.097,18.204,18.582,22.464,22.330,22.330,28.501,20.449,20.449,24.020,24.020,3a,5.097,3b,18.204
MT863903,3,6.311,18.689,19.315,21.739,21.117,21.117,29.975,19.950,19.950,23.529,23.529,3a,6.311,3b,18.689
MT863914,3,6.553,19.903,19.315,22.705,22.573,22.573,28.642,21.197,21.197,24.510,24.510,3a,6.553,3d,19.315
MT863915,3,6.295,19.128,19.024,22.410,22.276,22.276,28.818,19.403,19.403,23.716,23.716,3a,6.295,3d,19.024
MT863926,3,6.796,19.417,21.271,23.671,22.816,22.816,29.877,20.698,20.698,24.818,24.818,3a,6.796,3b,19.417
MT863927,3,6.068,18.689,20.538,22.947,22.087,22.087,29.383,19.950,19.950,24.088,24.088,3a,6.068,3b,18.689
MT863928,3,6.553,17.476,20.049,22.222,22.573,22.573,,20.698,20.698,24.265,24.265,3a,6.553,3b,17.476
MT863929,3,6.068,17.233,19.560,21.981,22.330,22.330,29.484,20.449,20.449,24.020,24.020,3a,6.068,3b,17.233
MT863930,3,6.553,19.903,19.315,22.705,22.573,22.573,28.642,21.197,21.197,24.510,24.510,3a,6.553,3d,19.315
MT863931,3,7.039,20.388,19.804,23.188,23.058,23.058,28.889,21.696,21.696,25.000,25.000,3a,7.039,3d,19.804
MT863932,3,8.537,19.756,18.337,22.947,22.772,22.772,28.501,23.192,23.192,24.510,24.510,3a,8.537,3d,18.337
MT863933,3,8.537,19.756,18.337,22.947,22.772,22.772,28.501,23.192,23.192,24.510,24.510,3a,8.537,3d,18.337
MT863936,3,5.583,18.689,19.315,23.786,22.167,22.167,28.501,19.603,19.603,24.816,24.816,3a,5.583,3b,18.689
MT863937,3,5.854,18.537,19.560,22.330,21.707,21.707,29.484,19.451,19.451,24.020,24.020,3a,5.854,3b,18.537
MT995316,3,6.072,20.540,20.232,20.455,21.376,21.376,27.962,21.810,21.810,24.462,24.462,3a,6.072,3d,20.232
MT995317,3,6.125,20.646,20.285,20.455,21.323,21.323,28.120,22.075,22.075,24.355,24.355,3a,6.125,3d,20.285
MT995318,3,6.125,20.646,20.285,20.455,21.323,21.323,28.120,22.075,22.075,24.355,24.355,3a,6.125,3d,20.285
MT995319,3,6.230,20.540,20.074,20.296,21.323,21.323,27.909,21.916,21.916,24.677,24.677,3a,6.230,3d,20.074
MT995320,3,6.547,21.122,20.127,20.825,21.629,21.629,27.646,22.075,22.075,24.907,24.907,3a,6.547,3d,20.127
MT995321,3,5.969,20.646,20.085,20.507,21.364,21.364,28.602,21.758,21.758,24.591,24.591,3a,5.969,3d,20.085
MT995322,3,6.022,20.646,20.085,20.455,21.364,21.364,28.602,21.758,21.758,24.591,24.591,3a,6.022,3d,20.085
MT995323,3,6.022,20.646,20.085,20.455,21.364,21.364,28.602,21.758,21.758,24.591,24.591,3a,6.022,3d,20.085
MT995324,3,6.022,20.646,20.085,20.455,21.364,21.364,28.602,21.758,21.758,24.591,24.591,3a,6.022,3d,20.085
MT995325,3,6.233,20.540,19.979,20.560,21.376,21.376,28.519,21.863,21.863,24.644,24.644,3a,6.233,3d,19.979
MT995326,3,6.177,20.805,20.074,20.296,21.323,21.323,28.428,21.599,21.599,24.630,24.630,3a,6.177,3d,20.074
MT995327,3,6.125,20.752,20.021,20.349,21.323,21.323,28.428,21.546,21.546,24.630,24.630,3a,6.125,3d,20.021
MT995328,3,6.125,20.752,20.021,20.349,21.323,21.323,28.428,21.546,21.546,24.630,24.630,3a,6.125,3d,20.021
MT995329,3,5.913,20.911,20.021,20.455,21.481,21.481,28.112,21.916,21.916,25.000,25.000,3a,5.913,3d,20.021
MT995330,3,6.392,20.805,20.021,20.349,21.429,21.429,27.954,21.758,21.758,24.723,24.723,3a,6.392,3d,20.021
MT995331,3,5.966,20.699,20.180,20.719,21.376,21.376,28.647,21.746,21.746,24.772,24.772,3a,5.966,3d,20.180
MT995332,3,5.966,20.699,20.232,20.719,21.429,21.429,28.647,21.799,21.799,24.610,24.610,3a,5.966,3d,20.232
MT995333,3,5.966,20.699,20.232,20.719,21.429,21.429,28.647,21.799,21.799,24.610,24.610,3a,5.966,3d,20.232
MT995334,3,6.072,20.805,20.232,20.719,21.429,21.429,28.647,21.746,21.746,24.503,24.503,3a,6.072,3d,20.232
MT995335,3,6.125,20.752,20.285,20.666,21.376,21.376,28.699,21.693,21.693,24.449,24.449,3a,6.125,3d,20.285
MT995346,3,6.758,21.122,19.968,20.560,21.481,21.481,27.637,22.499,22.499,24.815,24.815,3a,6.758,3d,19.968
MT995347,3,6.705,21.069,19.915,20.560,21.429,21.429,27.637,22.446,22.446,24.815,24.815,3a,6.705,3d,19.915
MT995348,3,6.705,21.069,19.915,20.560,21.429,21.429,27.637,22.446,22.446,24.815,24.815,3a,6.705,3d,19.915
MT995349,3,6.864,21.016,19.968,20.666,21.481,21.481,27.570,22.605,22.605,24.921,24.921,3a,6.864,3d,19.968
MT995350,3,6.705,21.069,19.915,20.560,21.429,21.429,27.637,22.446,22.446,24.815,24.815,3a,6.705,3d,19.915
ON376995,3,10.129,18.574,19.153,20.849,21.296,21.296,29.834,20.777,20.777,26.199,26.199,3a,10.129,3b,18.574
ON603922,3,10.129,18.574,19.153,20.849,21.296,21.296,29.834,20.777,20.777,26.199,26.199,3a,10.129,3b,18.574
ON603923,3,10.129,18.574,19.153,20.849,21.296,21.296,29.834,20.777,20.777,26.199,26.199,3a,10.129,3b,18.574
ON603924,3,8.287,19.325,19.705,19.926,22.778,22.778,30.018,19.806,19.806,25.092,25.092,3a,8.287,3d,19.705
ON603925,3,9.576,18.148,17.490,20.664,21.707,21.707,27.808,21.553,21.553,24.539,24.539,3a,9.576,3d,17.490
ON603926,3,7.778,18.889,18.669,22.222,21.111,21.111,28.545,21.359,21.359,25.974,25.974,3a,7.778,3d,18.669
ON603927,3,8.840,19.259,18.821,22.694,22.407,22.407,28.729,20.583,20.583,24.908,24.908,3a,8.840,3d,18.821
ON603928,3,8.287,19.259,18.969,22.509,22.222,22.222,28.913,20.777,20.777,25.092,25.092,3a,8.287,3d,18.969
ON603929,3,7.735,18.704,19.337,21.771,21.296,21.296,28.545,20.971,20.971,24.723,24.723,3a,7.735,3b,18.704
ON603930,3,7.919,19.074,19.153,21.587,21.852,21.852,28.330,20.388,20.388,24.354,24.354,3a,7.919,3d,19.153
ON603931,3,9.761,17.037,18.821,21.402,20.926,20.926,27.757,21.359,21.359,25.277,25.277,3a,9.761,3b,17.037
ON603932,3,5.525,18.519,19.772,21.033,20.741,20.741,29.282,20.971,20.971,25.092,25.092,3a,5.525,3b,18.519
ON603933,3,7.380,19.109,19.355,22.836,21.707,21.707,30.074,21.899,21.899,24.862,24.862,3a,7.380,3b,19.109
ON603934,3,9.392,17.222,20.626,20.849,20.185,20.185,29.963,19.806,19.806,23.801,23.801,3a,9.392,3b,17.222
ON603935,3,8.656,18.889,20.114,21.956,20.777,20.777,29.650,20.971,20.971,24.908,24.908,3a,8.656,3b,18.889
ON603936,3,7.919,17.222,19.521,21.587,21.667,21.667,29.466,20.583,20.583,24.723,24.723,3a,7.919,3b,17.222
ON603937,3,9.024,18.148,19.705,21.771,22.037,22.037,28.309,21.748,21.748,25.046,25.046,3a,9.024,3b,18.148
ON603938,3,7.919,19.074,18.969,20.849,22.222,22.222,27.993,20.388,20.388,23.985,23.985,3a,7.919,3d,18.969
ON603939,3,8.471,19.630,19.962,22.140,23.148,23.148,29.650,21.748,21.748,25.461,25.461,3a,8.471,3b,19.630
ON603940,3,9.576,18.333,19.705,21.033,21.296,21.296,28.177,22.524,22.524,23.801,23.801,3a,9.576,3b,18.333
MN628574,3,7.181,20.752,19.070,20.190,21.217,21.217,28.368,22.075,22.075,24.498,24.498,3a,7.181,3d,19.070
MN628575,3,8.127,21.440,19.968,20.825,21.587,21.587,28.301,22.063,22.063,24.974,24.974,3a,8.127,3d,19.968
MN628576,3,8.232,21.546,19.915,20.349,21.564,21.564,28.202,21.693,21.693,24.815,24.815,3a,8.232,3d,19.915
MN628577,3,7.071,21.334,19.387,19.979,21.512,21.512,28.278,21.916,21.916,24.709,24.709,3a,7.071,3d,19.387
MN628578,3,8.448,22.181,19.915,20.666,22.169,22.169,28.609,22.234,22.234,24.802,24.802,3a,8.448,3d,19.915
MN628579,3,7.652,21.069,19.176,20.296,21.693,21.693,28.097,22.022,22.022,24.551,24.551,3a,7.652,3d,19.176
MN628581,3,7.810,21.175,19.334,20.455,21.640,21.640,28.301,22.657,22.657,25.066,25.066,3a,7.810,3d,19.334
MN628582,3,7.493,21.228,19.546,20.560,20.899,20.899,28.120,22.011,22.011,24.762,24.762,3a,7.493,3d,19.546
MN628583,3,9.235,23.081,21.183,21.934,23.386,23.386,30.190,24.299,24.299,26.716,26.716,3a,9.235,3d,21.183
MN628584,3,7.652,21.281,18.912,20.296,21.670,21.670,28.361,22.605,22.605,25.198,25.198,3a,7.652,3d,18.912
MN628585,3,7.493,21.069,19.176,20.613,21.587,21.587,27.985,22.340,22.340,24.802,24.802,3a,7.493,3d,19.176
MN628586,3,7.652,21.281,19.968,20.391,21.512,21.512,28.466,22.075,22.075,25.185,25.185,3a,7.652,3d,19.968
MN628587,3,7.392,20.858,18.595,20.402,21.546,21.546,28.474,22.075,22.075,24.815,24.815,3a,7.392,3d,18.595
MN628588,3,7.916,21.175,19.651,20.560,21.164,21.164,28.196,22.116,22.116,24.974,24.974,3a,7.916,3d,19.651
MN628589,3,7.810,21.599,19.493,20.930,21.799,21.799,28.308,22.181,22.181,24.868,24.868,3a,7.810,3d,19.493
MN628590,3,7.599,21.440,19.493,20.825,21.829,21.829,28.308,22.181,22.181,24.815,24.815,3a,7.599,3d,19.493
MN628591,3,7.230,21.652,19.493,20.190,21.534,21.534,28.211,22.075,22.075,24.815,24.815,3a,7.230,3d,19.493
MN628593,3,7.761,21.281,19.599,20.772,21.481,21.481,28.255,22.499,22.499,24.828,24.828,3a,7.761,3d,19.599
MN628594,3,7.603,21.705,19.282,20.137,22.169,22.169,27.909,21.863,21.863,24.671,24.671,3a,7.603,3d,19.282
MN628595,3,7.181,20.381,18.648,20.402,21.429,21.429,28.368,22.022,22.022,24.657,24.657,3a,7.181,3d,18.648
MN628596,3,7.550,21.599,19.334,20.137,21.852,21.852,28.188,22.287,22.287,24.868,24.868,3a,7.550,3d,19.334
MN628597,3,7.599,21.175,19.546,20.507,21.640,21.640,28.196,22.393,22.393,24.855,24.855,3a,7.599,3d,19.546
MN650775,3,7.037,18.045,19.924,23.889,21.748,21.748,29.259,21.165,21.165,25.974,25.974,3a,7.037,3b,18.045
MN650776,3,6.667,18.421,20.342,22.778,21.974,21.974,30.258,21.165,21.165,25.468,25.468,3a,6.667,3b,18.421
MN650777,3,5.926,17.857,19.582,22.037,22.905,22.905,29.336,20.583,20.583,25.417,25.417,3a,5.926,3b,17.857
MN650778,3,7.593,19.361,19.772,23.704,21.601,21.601,28.967,22.330,22.330,25.468,25.468,3a,7.593,3b,19.361
MN650779,3,7.222,18.045,18.975,22.407,21.601,21.601,29.074,20.000,20.000,24.490,24.490,3a,7.222,3b,18.045
MN650780,3,7.222,18.421,20.152,22.222,22.533,22.533,29.074,20.000,20.000,24.675,24.675,3a,7.222,3b,18.421
MN650781,3,7.407,18.079,18.251,22.222,21.788,21.788,29.268,20.777,20.777,23.704,23.704,3a,7.407,3b,18.079
MN650782,3,8.333,18.797,19.392,21.296,23.464,23.464,29.259,21.359,21.359,25.417,25.417,3a,8.333,3b,18.797
MN650783,3,6.481,18.233,18.631,22.593,21.974,21.974,27.963,20.583,20.583,23.748,23.748,3a,6.481,3b,18.233
MN650784,3,5.741,18.797,18.182,22.407,21.415,21.415,29.705,21.359,21.359,25.603,25.603,3a,5.741,3d,18.182
MN650785,3,8.519,19.181,19.582,22.963,21.601,21.601,29.554,20.777,20.777,24.719,24.719,3a,8.519,3b,19.181
MN650786,3,7.963,18.622,19.202,22.963,21.415,21.415,29.368,20.583,20.583,24.719,24.719,3a,7.963,3b,18.622
MN650787,3,6.852,18.045,19.582,22.407,21.601,21.601,28.967,21.553,21.553,25.603,25.603,3a,6.852,3b,18.045
MN650788,3,7.222,19.173,18.939,22.963,22.160,22.160,28.967,21.165,21.165,25.788,25.788,3a,7.222,3d,18.939
MN650789,3,6.916,18.476,18.654,22.991,21.680,21.680,28.358,20.898,20.898,25.655,25.655,3a,6.916,3b,18.476
MN650790,3,9.630,20.113,19.772,24.815,24.952,24.952,28.545,22.868,22.868,26.186,26.186,3a,9.630,3d,19.772
MN650791,3,9.815,20.113,19.772,22.963,21.881,21.881,29.259,21.553,21.553,25.232,25.232,3a,9.815,3d,19.772
MN650792,3,9.797,21.764,21.483,24.444,23.256,23.256,29.228,23.256,23.256,27.273,27.273,3a,9.797,3d,21.483
MN650793,3,11.481,21.053,22.243,22.593,24.568,24.568,30.741,25.049,25.049,26.716,26.716,3a,11.481,3b,21.053
MN650794,3,8.704,19.173,19.582,22.778,22.346,22.346,28.598,22.136,22.136,26.902,26.902,3a,8.704,3b,19.173
MN650795,3,9.259,18.985,19.392,21.852,22.905,22.905,28.598,20.971,20.971,24.490,24.490,3a,9.259,3b,18.985
MN650796,3,7.778,19.549,19.962,23.889,21.788,21.788,29.151,22.524,22.524,25.655,25.655,3a,7.778,3b,19.549
MN650797,3,10.556,19.361,19.084,21.509,21.165,21.165,27.963,20.583,20.583,24.861,24.861,3a,10.556,3d,19.084
MN650798,3,8.785,19.623,18.251,22.778,20.858,20.858,30.712,21.637,21.637,24.953,24.953,3a,8.785,3d,18.251
MN650814,3,11.111,21.229,21.293,25.660,24.209,24.209,29.834,23.288,23.288,26.848,26.848,3a,11.111,3b,21.229
MN650819,3,6.667,18.251,20.342,24.074,23.048,23.048,30.443,22.718,22.718,26.345,26.345,3a,6.667,3b,18.251
MN970193,3,14.054,24.494,23.646,27.223,26.335,26.335,32.054,27.112,27.112,30.270,30.270,3a,14.054,3d,23.646
MN970194,3,28.144,17.871,29.880,31.697,26.626,26.626,,25.873,25.873,30.849,30.849,3b,17.871,3i,25.873
MT113067,3,27.569,26.735,26.997,28.052,26.876,26.876,26.491,26.369,26.369,29.087,29.087,3i,26.369,3h,26.491
MT254535,3,6.681,18.004,19.612,23.276,20.607,20.607,28.062,19.523,19.523,25.862,25.862,3a,6.681,3b,18.004
MT632158,3,7.022,20.805,19.546,20.349,21.799,21.799,28.211,21.799,21.799,24.744,24.744,3a,7.022,3d,19.546
MT632162,3,8.131,21.175,20.085,20.560,21.481,21.481,28.699,22.128,22.128,24.180,24.180,3a,8.131,3d,20.085
MT632170,3,7.181,21.069,20.021,19.820,22.328,22.328,28.240,21.693,21.693,24.525,24.525,3a,7.181,3e,19.820
MT632172,3,7.445,21.599,20.444,19.979,21.758,21.758,28.677,21.440,21.440,24.286,24.286,3a,7.445,3e,19.979
MT632179,3,7.973,20.275,20.444,20.666,21.587,21.587,28.662,21.705,21.705,24.379,24.379,3a,7.973,3d,20.444
MT632180,3,7.237,20.487,20.074,20.085,22.063,22.063,28.127,22.393,22.393,23.940,23.940,3a,7.237,3d,20.074
MT632186,3,8.822,21.599,19.599,20.137,21.934,21.934,27.675,21.175,21.175,24.395,24.395,3a,8.822,3d,19.599
MT632194,3,7.181,20.222,19.863,20.560,22.222,22.222,27.684,21.852,21.852,24.631,24.631,3a,7.181,3d,19.863
PQ799512,3,8.006,17.680,18.539,21.818,21.398,21.398,27.630,21.972,21.972,24.022,24.022,3a,8.006,3b,17.680
PQ799529,3,6.320,19.095,18.820,20.845,21.499,21.499,27.723,22.285,22.285,23.769,23.769,3a,6.320,3d,18.820
PQ799531,3,7.778,18.908,19.247,21.339,22.129,22.129,27.654,22.517,22.517,24.930,24.930,3a,7.778,3b,18.908
PQ799537,3,8.204,19.122,19.602,19.943,22.397,22.397,28.491,23.438,23.438,24.328,24.328,3a,8.204,3b,19.122
PQ799540,3,8.146,19.236,19.663,19.859,22.489,22.489,28.511,23.272,23.272,24.366,24.366,3a,8.146,3b,19.236
PQ799542,3,8.056,19.608,18.968,22.036,21.429,21.429,27.514,21.709,21.709,25.802,25.802,3a,8.056,3d,18.968
PQ799550,3,8.788,18.569,19.879,22.914,22.104,22.104,28.939,23.100,23.100,24.387,24.387,3a,8.788,3b,18.569
PQ799554,3,7.051,20.192,20.488,20.000,22.003,22.003,27.496,21.138,21.138,24.065,24.065,3a,7.051,3b,20.192
PQ799557,3,7.317,19.512,19.465,21.130,22.113,22.113,28.293,22.439,22.439,23.951,23.951,3a,7.317,3d,19.465
PQ799566,3,9.105,20.283,19.195,22.520,23.447,23.447,28.549,24.031,24.031,24.842,24.842,3a,9.105,3d,19.195
MK291242,3,7.513,20.945,19.125,20.935,21.850,21.850,28.153,22.075,22.075,24.469,24.469,3a,7.513,3d,19.125
MK609555,3,6.250,18.740,20.000,21.406,20.408,20.408,27.969,22.100,22.100,23.824,23.824,3a,6.250,3b,18.740
MK609556,3,6.406,19.528,18.281,21.875,21.417,21.417,28.125,21.003,21.003,24.295,24.295,3a,6.406,3d,18.281
MK609557,3,5.469,18.740,19.531,21.094,22.205,22.205,27.683,22.727,22.727,24.295,24.295,3a,5.469,3b,18.740
MK609558,3,7.656,20.472,19.531,19.688,20.630,20.630,28.281,22.920,22.920,24.138,24.138,3a,7.656,3d,19.531
MK609559,3,7.656,20.472,18.750,22.812,21.575,21.575,28.906,21.630,21.630,24.922,24.922,3a,7.656,3d,18.750
MK609560,3,7.656,20.157,19.062,22.344,21.417,21.417,28.438,21.787,21.787,24.922,24.922,3a,7.656,3d,19.062
MK609561,3,7.500,19.843,18.906,22.188,21.575,21.575,27.969,21.821,21.821,24.765,24.765,3a,7.500,3d,18.906
MK609562,3,8.125,19.685,21.094,21.875,21.575,21.575,27.656,22.449,22.449,23.197,23.197,3a,8.125,3b,19.685
MK609563,3,7.344,20.315,18.906,22.656,21.575,21.575,28.750,21.630,21.630,24.608,24.608,3a,7.344,3d,18.906
MK612005,3,7.493,19.640,20.444,20.560,22.011,22.011,28.624,22.593,22.593,24.708,24.708,3a,7.493,3b,19.640
MK612011,3,7.396,20.752,19.915,19.979,21.587,21.587,28.120,21.493,21.493,24.377,24.377,3a,7.396,3d,19.915
MK612017,3,7.388,20.540,19.810,21.036,22.063,22.063,27.886,22.657,22.657,24.449,24.449,3a,7.388,3d,19.810
