Accession,PerGeneGenotype,PerGeneSubtype,FullGenomeGenotype,FullGenomeSubtype,CometPerGeneGenotype,CometPerGeneSubtype,CometFullGenomeGenotype,CometFullGenomeSubtype,GenBankGenotype,GenBankSubtype
MW205487,2,2q,2,2q,2,2j,2,2j,2,
MW205488,2,2k,2,2k,2,2j,2,2j,2,
MW205489,2,2v,2,2v,2,2j,2,2j,2,
MW205490,2,2v,2,2v,2,2j,2,2j,2,
MW205491,2,2e,2,2e,2,2e,2,2e,2,2e
MW205492,2,2c,2,2c,2,2c,2,2c,2,2o
MW205493,2,2c,2,2c,2,2c,2,2c,2,2o
MW205494,2,2r,2,2r,2,2j,2,2j,2,
MW205495,2,2i,2,2i,2,2i,2,2i,2,2i
MW205496,2,2i,2,2i,2,2i,2,2i,2,2i
MW205497,2,2i,2,2i,2,2i,2,2i,2,2i
MW205498,2,2i,2,2i,2,2i,2,2i,2,2i
MW205499,3,3b,3,3b,3,3b,3,3b,3,3b
MW205500,3,3b,3,3b,3,3b,3,3b,3,3b
MW205501,3,3b,3,3b,3,3b,3,3b,3,3b
MW205502,3,3b,3,3b,3,3b,3,3b,3,3b
MW205503,3,3b,3,3b,3,3b,3,3b,3,3b
MW205504,3,3b,3,3b,3,3b,3,3b,3,3b
MW205505,3,3b,3,3b,3,3b,3,3b,3,3b
MW205506,3,3b,3,3b,3,3b,3,3b,2,2f
MW205507,3,3b,3,3b,3,3b,3,3b,3,3b
MW221786,4,4d,4,4d,4,4d,4,4d,4,4d
MW221787,3,3a,3,3a,3,3a,3,3a,3,3a
MW221788,3,3a,3,3a,3,3a,3,3a,3,3a
MW221789,3,3a,3,3a,3,3a,3,3a,3,3a
MW221790,3,3a,3,3a,3,3a,3,3a,3,3a
MW221791,1,1a,1,1a,1,1a,1,1a,1,1a
MW221792,3,3a,3,3a,3,3a,3,3a,3,3a
MW221793,3,3a,3,3a,3,3a,3,3a,3,3a
MW221794,3,3a,3,3a,3,3a,3,3a,3,3a
MW221795,3,3a,3,3a,3,3a,3,3a,3,3a
MW221796,3,3a,3,3a,3,3a,3,3a,3,3a
MW221797,3,3a,3,3a,3,3a,3,3a,3,3a
MW221798,4,4d,4,4d,4,4d,4,4d,4,4d
MW221799,4,4a,4,4a,4,4a,4,4a,4,4a
MW221800,4,4a,4,4a,4,4a,4,4a,4,4a
MW221801,3,3a,3,3a,3,3a,3,3a,3,3a
MW221802,3,3a,3,3a,3,3a,3,3a,3,3a
MW221803,3,3a,3,3a,3,3a,3,3a,3,3a
MW221804,3,3a,3,3a,3,3a,3,3a,3,3a
MW221805,3,3a,3,3a,3,3a,3,3a,3,3a
MW221806,3,3a,3,3a,3,3a,3,3a,3,3a
MW221807,1,1a,1,1a,1,1a,1,1a,1,1a
MW221808,3,3a,3,3a,3,3a,3,3a,3,3a
MW221809,4,4d,4,4d,4,4d,4,4d,4,4d
MW221810,3,3a,3,3a,3,3a,3,3a,3,3a
MW221811,3,3a,3,3a,3,3a,3,3a,3,3a
MW221812,3,3a,3,3a,3,3a,3,3a,3,3a
MW221813,3,3a,3,3a,3,3a,3,3a,3,3a
MW221814,1,1a,1,1a,1,1a,1,1a,1,
MW221815,1,1a,1,1a,1,1a,1,1a,1,
MW221816,3,3a,3,3a,3,3a,3,3a,3,3a
MW221817,4,4a,4,4a,4,4a,4,4a,4,4a
MW221818,4,4d,4,4d,4,4d,4,4d,4,4d
MW221819,3,3a,3,3a,3,3a,3,3a,3,3a
MW221820,1,1b,1,1b,1,1b,1,1b,1,1b
MW221821,3,3a,3,3a,3,3a,3,3a,3,3a
MW234382,2,2b,2,2b,2,2b,2,2b,,
MW234383,2,2b,2,2b,2,2b,2,2b,,
MW234384,3,3a,3,3a,3,3a,3,3a,,
MW234385,3,3a,3,3a,3,3a,3,3a,,
MW234386,3,3a,3,3a,3,3a,3,3a,,
MW234387,3,3a,3,3a,3,3a,3,3a,,
MW234388,3,3a,3,3a,3,3a,3,3a,,
MW234389,2,2b,2,2b,2,2b,2,2b,,
MW234390,3,3a,3,3a,3,3a,3,3a,,
MW234391,2,2b,2,2b,2,2b,2,2b,,
MW234392,3,3a,3,3a,3,3a,3,3a,,
MW234393,3,3a,3,3a,3,3a,3,3a,,
MW234394,3,3a,3,3a,3,3a,3,3a,,
MW234395,3,3b,3,3b,3,3b,3,3b,,
MW234396,3,3a,3,3a,3,3a,3,3a,,
MW234397,3,3a,3,3a,3,3a,3,3a,,
MW234398,3,3b,3,3b,3,3b,3,3b,,
MW234399,3,3a,3,3a,3,3a,3,3a,,
MW234400,3,3a,3,3a,3,3a,3,3a,,
MW234401,2,2b,2,2b,2,2b,2,2b,,
MW234402,2,2b,2,2b,2,2b,2,2b,,
MW234403,3,3b,3,3b,3,3b,3,3b,,
MW234404,2,2b,2,2b,2,2b,2,2b,,
MW234405,3,3a,3,3a,3,3a,3,3a,,
MW234406,3,3a,3,3a,3,3a,3,3a,,
MW357752,1,1b,1,1b,1,1b,1,1b,,
MW357753,1,1b,1,1b,1,1b,1,1b,,
MW357754,1,1b,1,1b,1,1b,1,1b,,
MW357755,1,1b,1,1b,1,1b,1,1b,,
MW357756,1,1b,1,1b,1,1b,1,1b,,
MW357757,1,1b,1,1b,1,1b,1,1b,,
MW357758,1,1b,1,1b,1,1b,1,1b,,
MW357759,1,1b,1,1b,1,1b,1,1b,,
MW357760,1,1b,1,1b,1,1b,1,1b,,
MW357761,1,1b,1,1b,1,1b,1,1b,,
MW357762,1,1b,1,1b,1,1b,1,1b,,
MW357763,1,1b,1,1b,1,1b,1,1b,,
MW357764,1,1b,1,1b,1,1b,1,1b,,
MW357765,1,1b,1,1b,1,1b,1,1b,,
MW357766,1,1b,1,1b,1,1b,1,1b,,
MW357767,1,1b,1,1b,1,1b,1,1b,,
MW357768,1,1b,1,1b,1,1b,1,1b,,
MW357769,1,1b,1,1b,1,1b,1,1b,,
MW357770,1,1b,1,1b,1,1b,1,1b,,
MW357771,1,1b,1,1b,1,1b,1,1b,,
MW357772,1,1b,1,1b,1,1b,1,1b,,
MW357773,1,1b,1,1b,1,1b,1,1b,,
MW357774,1,1b,1,1b,1,1b,1,1b,,
MW357775,1,1b,1,1b,1,1b,1,1b,,
MW357776,1,1b,1,1b,1,1b,1,1b,,
MW357777,1,1b,1,1b,1,1b,1,1b,,
MW357778,1,1b,1,1b,1,1b,1,1b,,
MW357779,1,1b,1,1b,1,1b,1,1b,,
MW357780,1,1b,1,1b,1,1b,1,1b,,
MW357781,1,1b,1,1b,1,1b,1,1b,,
MW357782,1,1b,1,1b,1,1b,1,1b,,
MW357783,1,1b,1,1b,1,1b,1,1b,,
MW357784,1,1b,1,1b,1,1b,1,1b,,
MW357785,1,1b,1,1b,1,1b,1,1b,,
MW357786,1,1b,1,1b,1,1b,1,1b,,
MW357787,1,1b,1,1b,1,1b,1,1b,,
MW357788,1,1b,1,1b,1,1b,1,1b,,
MW357789,1,1b,1,1b,1,1b,1,1b,,
MW357790,1,1b,1,1b,1,1b,1,1b,,
MW357791,1,1b,1,1b,1,1b,1,1b,,
MW357792,1,1b,1,1b,1,1b,1,1b,,
MZ327730,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327731,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327732,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327733,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327734,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327735,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327736,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327737,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327738,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327739,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327740,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327741,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327742,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327743,1,1b,1,1a,,"unassigned_1, 1b-1a",,"unassigned_1, 1a-1b",1,1a
MZ327744,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327745,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327746,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327747,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327748,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327749,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327750,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327751,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327752,4,4d,4,4d,4,4d,4,4d,4,4d
MZ327753,1,1b,1,1b,1,1b,1,1b,1,1b
MZ327754,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327755,2,2b,2,2b,2,2b,2,2b,2,2b
MZ327756,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327757,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327758,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327759,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327760,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327761,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327762,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327763,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327764,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327765,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327766,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327767,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327768,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327769,1,1b,1,1b,1,1b,1,1b,1,1b
MZ327770,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327771,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327772,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327773,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327774,1,1b,1,1b,1,1b,1,1b,1,1b
MZ327775,1,1b,1,1b,1,1b,1,1b,1,1b
MZ327776,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327777,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327778,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327779,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327780,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327781,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327782,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327783,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327784,2,2b,2,2b,2,2b,2,2b,2,2b
MZ327785,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327786,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327787,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327788,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327789,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327790,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327791,1,1b,1,1b,1,1b,1,1b,1,1b
MZ327792,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327793,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327794,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327795,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327796,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327797,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327798,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327799,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327800,2,2b,2,2b,2,2b,2,2b,2,2b
PP457742,2,2a,2,2a,2,2a,2,2a,2,2a
PP457743,2,2a,2,2a,2,2a,2,2a,2,2a
PP457744,2,2a,2,2a,2,2a,2,2a,2,2a
PP457745,2,2a,2,2a,2,2a,2,2a,2,2a
PP457746,2,2a,2,2a,2,2a,2,2a,2,2a
PP457747,2,2a,2,2a,2,2a,2,2a,2,2a
PP457748,2,2a,2,2a,2,2a,2,2a,2,2a
PP457749,2,2a,2,2a,2,2a,2,2a,2,2a
PP457750,2,2a,2,2a,2,2a,2,2a,2,2a
PP457751,2,2a,2,2a,2,2a,2,2a,2,2a
PP457752,2,2a,2,2a,2,2a,2,2a,2,2a
PP457753,2,2a,2,2a,2,2a,2,2a,2,2a
PP457754,2,2a,2,2a,2,2a,2,2a,2,2a
PP457755,2,2a,2,2a,2,2a,2,2a,2,2a
PP457756,2,2a,2,2a,2,2a,2,2a,2,2a
PP457757,2,2a,2,2a,2,2a,2,2a,2,2a
PP457758,2,2a,2,2a,2,2a,2,2a,2,2a
PP457759,2,2a,2,2a,2,2a,2,2a,2,2a
PP457760,2,2a,2,2a,2,2a,2,2a,2,2a
PP457761,2,2a,2,2a,2,2a,2,2a,2,2a
PP457762,2,2a,2,2a,2,2a,2,2a,2,2a
PP457763,2,2a,2,2a,2,2a,2,2a,2,2a
PP457764,2,2a,2,2a,2,2a,2,2a,2,2a
PP457765,2,2a,2,2a,2,2a,2,2a,2,2a
PP457766,2,2a,2,2a,2,2a,2,2a,2,2a
PP457767,2,2a,2,2a,2,2a,2,2a,2,2a
PP457768,2,2a,2,2a,2,2a,2,2a,2,2a
PP457769,2,2a,2,2a,2,2a,2,2a,2,2a
PP457770,2,2a,2,2a,2,2a,2,2a,2,2a
PP457771,2,2a,2,2a,2,2a,2,2a,2,2a
PP457772,2,2a,2,2a,2,2a,2,2a,2,2a
PP457773,2,2a,2,2a,2,2a,2,2a,2,2a
PP457774,2,2a,2,2a,2,2a,2,2a,2,2a
PP457775,2,2a,2,2a,2,2a,2,2a,2,2a
PP457776,2,2a,2,2a,2,2a,2,2a,2,2a
PP457777,2,2a,2,2a,2,2a,2,2a,2,2a
PP457778,2,2a,2,2a,2,2a,2,2a,2,2a
PP457779,2,2a,2,2a,2,2a,2,2a,2,2a
PP457780,2,2a,2,2a,2,2a,2,2a,2,2a
PP457781,2,2a,2,2a,2,2a,2,2a,2,2a
PP457782,2,2a,2,2a,2,2a,2,2a,2,2a
PP457783,2,2a,2,2a,2,2a,2,2a,2,2a
PP457784,2,2a,2,2a,2,2a,2,2a,2,2a
PP457785,2,2a,2,2a,2,2a,2,2a,2,2a
PP457786,2,2a,2,2a,2,2a,2,2a,2,2a
PP457787,2,2a,2,2a,2,2a,2,2a,2,2a
PP457788,2,2a,2,2a,2,2a,2,2a,2,2a
PP457789,2,2a,2,2a,2,2a,2,2a,2,2a
PP457790,2,2a,2,2a,2,2a,2,2a,2,2a
PP457791,2,2a,2,2a,2,2a,2,2a,2,2a
PP457792,2,2a,2,2a,2,2a,2,2a,2,2a
PP457793,2,2a,2,2a,2,2a,2,2a,2,2a
PP457794,2,2a,2,2a,2,2a,2,2a,2,2a
PP457795,2,2a,2,2a,2,2a,2,2a,2,2a
PP457796,2,2a,2,2a,2,2a,2,2a,2,2a
PP457797,2,2a,2,2a,2,2a,2,2a,2,2a
PP457798,2,2a,2,2a,2,2a,2,2a,2,2a
PP457799,2,2a,2,2a,2,2a,2,2a,2,2a
PP457800,2,2a,2,2a,2,2a,2,2a,2,2a
PP457801,2,2a,2,2a,2,2a,2,2a,2,2a
PP457802,2,2a,2,2a,2,2a,2,2a,2,2a
PP484706,4,4f,4,4f,4,4f,4,4f,4,4f
PP484707,2,2u,2,2u,2,2q,2,2b,2,
PP484708,1,1d,1,1d,1,1c,1,1c,1,
PP484709,1,1l,1,1l,1,1c,1,1c,1,
PP484710,2,2u,2,2u,2,2m,2,2m,2,
PP484711,4,4f,4,4f,4,4f,4,4f,4,4f
PP484712,2,2u,2,2u,2,2j,2,2j,2,
PP484713,4,4t,4,4t,4,4t,4,4t,4,4t
PP484714,4,4p,4,4p,4,4p,4,4p,4,4p
PP484715,2,2u,2,2u,2,2a,2,2a,2,
PP484716,4,4p,4,4p,4,4d,4,4d,4,
PP484717,4,4t,4,4t,4,4t,4,4t,4,4t
PP484718,1,1h,1,1h,1,1h,1,1h,1,1h
PP484719,2,2u,2,2u,2,2a,2,2a,2,
PP484720,4,4f,4,4f,4,4f,4,4f,4,4f
PP484721,4,4f,4,4f,4,4f,4,4f,4,4f
PP484722,4,4m,4,4m,4,4f,4,4f,4,
PP484723,4,4l,4,4l,4,4v,4,4v,4,
PP484724,2,2u,2,2u,2,2q,2,2q,2,
PP484725,4,4f,4,4f,4,4f,4,4f,4,4f
PP484726,4,4f,4,4f,4,4f,4,4f,4,4f
PP484727,1,1e,1,1e,1,1e,1,1e,1,1e
PP484728,1,1e,1,1e,1,1e,1,1e,1,1e
PP484729,2,2a,2,2a,2,2j,2,2j,2,
PP484730,4,4f,4,4f,4,4f,4,4f,4,4f
PP484731,2,2u,2,2u,2,2m,2,2m,2,
PP484732,2,2u,2,2u,2,2q,2,2q,2,
PP484733,4,4f,4,4f,4,4f,4,4f,4,4f
PP484734,4,4f,4,4f,4,4f,4,4f,4,4f
PP484735,1,1e,1,1e,1,1e,1,1e,1,1e
PP484736,4,4f,4,4f,4,4f,4,4f,4,4f
PP484737,2,2u,2,2u,2,2q,2,2q,2,
PP484738,1,1e,1,1e,1,1e,1,1e,1,1e
PP484739,4,4f,4,4f,4,4f,4,4f,4,4f
PP484740,4,4m,4,4m,4,4k,4,4k,4,
PP484741,4,4m,4,4m,4,4f,4,4f,4,
PP484742,4,4f,4,4f,4,4f,4,4f,4,4f
PP484743,4,4f,4,4f,4,4f,4,4f,4,4f
PP484744,4,4p,4,4p,4,4r,4,4r,4,
PP484745,1,1o,1,1o,1,1b,1,1b,1,
PP484746,1,1o,1,1o,1,1b,1,1b,1,
PP484747,4,4t,4,4t,4,4t,4,4t,4,4t
PP484748,1,1e,1,1e,1,1e,1,1e,1,1e
PP484749,1,1l,1,1l,1,1l,1,1l,1,1l
PP484750,2,2u,2,2u,2,2m,2,2m,2,
PP484751,1,1e,1,1e,1,1e,1,1e,1,1e
PP484752,4,4p,4,4p,4,4p,4,4d,4,
PP484753,2,2u,2,2u,2,2q,2,2q,2,
PP484754,4,4t,4,4t,4,4t,4,4t,4,4t
PP484755,4,4f,4,4f,4,4f,4,4f,4,4f
PP484756,2,2u,2,2u,2,2m,2,2m,2,
PP484757,2,2u,2,2u,2,2j,2,2m,2,
PP484758,1,1e,1,1e,1,1e,1,1e,1,1e
PP484759,1,1e,1,1e,1,1e,1,1e,1,1e
PP484760,4,4f,4,4f,4,4f,4,4f,4,4f
PP484761,4,4f,4,4f,4,4f,4,4f,4,4f
PP484762,4,4l,4,4l,4,4f,4,4f,4,4t
PP484763,1,1e,1,1e,1,1e,1,1e,1,1e
PP484764,1,1e,1,1e,1,1e,1,1e,1,1e
