Accession,PerGeneGenotype,PerGeneSubtype,FullGenomeGenotype,FullGenomeSubtype,CometPerGeneGenotype,CometPerGeneSubtype,CometFullGenomeGenotype,CometFullGenomeSubtype,GenBankGenotype,GenBankSubtype
MZ327794,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327795,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327796,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327797,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327798,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327799,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327800,2,2b,2,2b,2,2b,2,2b,2,2b
ON314812,2,2k,2,2q,2,2j,2,2k,2,
ON314813,2,2q,2,2k,2,2k,2,2k,2,
ON314814,2,2q,2,2q,2,2q,2,2q,2,
ON314815,2,2q,2,2q,2,2k,2,2j,2,
ON314816,2,2d,2,2d,2,2j,2,2j,2,
ON314817,2,2q,2,2q,2,2q,2,2k,2,
ON314818,2,2q,2,2k,2,2k,2,2k,2,
ON314819,2,2q,2,2q,2,2k,2,2q,2,
ON314820,2,2k,2,2q,2,2k,2,2j,2,
ON314821,2,2v,2,2d,2,2j,2,2j,2,
ON314823,2,2m,2,2q,2,2m,2,2j,2,
ON314824,2,2q,2,2q,2,2q,2,2q,2,
ON314825,2,2q,2,2q,2,2q,2,2j,2,
ON314826,2,2c,2,2c,2,2j,2,2j,2,
ON314827,2,2q,2,2q,2,2k,2,2q,2,
ON314828,2,2k,2,2q,2,2k,2,2q,2,
PQ365497,1,1a,1,1a,1,1a,1,1a,1,1a
PQ365498,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365499,1,1a,1,1a,1,1a,1,1a,1,1a
PQ365500,1,1a,1,1a,1,1a,1,1a,1,1a
PQ365501,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365502,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365503,1,1a,1,1a,1,1a,1,1a,1,1a
PQ365504,3,3i,3,3i,3,3i,3,3i,3,3i
PQ365505,3,3b,3,3b,3,3b,3,3b,3,3b
PQ365506,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365507,1,1a,1,1a,1,1a,1,1a,1,1a
PQ365508,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365509,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365510,1,1b,1,1b,1,1b,1,1b,1,1b
PQ365511,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365512,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365513,3,3d,3,3d,3,3a,3,3a,3,3d
PQ365514,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365515,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365516,1,1a,1,1a,1,1a,1,1a,1,1a
PQ365517,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365518,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365519,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365520,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365521,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365522,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365523,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365524,3,3e,3,3e,3,3a,3,3a,3,3e
PQ365525,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365526,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365527,1,1a,1,1a,1,1a,1,1a,1,1a
PQ365528,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365529,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365530,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365531,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365532,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365533,1,1a,1,1a,1,1a,1,1a,1,1a
PQ365534,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365535,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365536,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365537,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365538,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365540,3,3a,3,3a,3,3a,3,3a,3,3a
MT633132,7,7b,7,7b,1,1b,1,1b,7,7b
MT863870,3,3a,3,3a,3,3a,3,3a,,
MT863871,3,3a,3,3a,3,3a,3,3a,,
MT863872,3,3a,3,3a,3,3a,3,3a,,
MT863873,3,3a,3,3a,3,3a,3,3a,,
MT863874,1,1a,1,1a,1,1a,1,1a,,
MT863875,1,1a,1,1a,1,1a,1,1a,,
MT863876,1,1a,1,1a,1,1a,1,1a,,
MT863877,1,1a,1,1a,1,1a,1,1a,,
MT863878,1,1a,1,1a,1,1a,1,1a,,
MT863879,1,1a,1,1a,1,1a,1,1a,,
MT863880,1,1a,1,1a,1,1a,1,1a,,
MT863881,1,1a,1,1a,1,1a,1,1a,,
MT863882,4,4d,4,4d,4,4d,4,4d,,
MT863883,4,4d,4,4d,4,4d,4,4d,,
MT863884,4,4d,4,4d,4,4d,4,4d,,
MT863885,4,4d,4,4d,4,4d,4,4d,,
MT863886,1,1a,1,1a,1,1a,1,1a,,
MT863887,1,1a,1,1a,1,1a,1,1a,,
MT863888,4,4d,4,4d,4,4d,4,4d,,
MT863889,4,4d,4,4d,4,4d,4,4d,,
MT863890,1,1a,1,1a,1,1a,1,1a,,
MT863891,1,1a,1,1a,1,1a,1,1a,,
MT863892,3,3a,3,3a,3,3a,3,3a,,
MT863893,3,3a,3,3a,3,3a,3,3a,,
MT863894,3,3a,3,3a,3,3a,3,3a,,
MT863895,3,3a,3,3a,3,3a,3,3a,,
MT863896,4,4d,4,4d,4,4d,4,4d,,
MT863897,4,4d,4,4d,4,4d,4,4d,,
MT863898,1,1a,1,1a,1,1a,1,1a,,
MT863899,1,1a,1,1a,1,1a,1,1a,,
MT863900,4,4d,4,4d,4,4d,4,4d,,
MT863901,4,4d,4,4d,4,4d,4,4d,,
MT863902,3,3a,3,3a,3,3a,3,3a,,
MT863903,3,3a,3,3a,3,3a,3,3a,,
MT863904,1,1a,1,1a,1,1a,1,1a,,
MT863905,1,1a,1,1a,1,1a,1,1a,,
MT863906,4,4d,4,4d,4,4d,4,4d,,
MT863907,4,4d,4,4d,4,4d,4,4d,,
MT863908,1,1a,1,1a,1,1a,1,1a,,
MT863909,1,1a,1,1a,1,1a,1,1a,,
MT863910,1,1a,1,1a,1,1a,1,1a,,
MT863911,1,1a,1,1a,1,1a,1,1a,,
MT863912,1,1a,1,1a,1,1a,1,1a,,
MT863913,1,1a,1,1a,1,1a,1,1a,,
MT863914,3,3a,3,3a,3,3a,3,3a,,
MT863915,3,3a,3,3a,3,3a,3,3a,,
MT863916,1,1a,1,1a,1,1a,1,1a,,
MT863917,1,1a,1,1a,1,1a,1,1a,,
MT863918,4,4d,4,4d,4,4d,4,4d,,
MT863919,4,4d,4,4d,4,4d,4,4d,,
MT863920,1,1a,1,1a,1,1a,1,1a,,
MT863921,1,1a,1,1a,1,1a,1,1a,,
MT863922,1,1a,1,1a,1,1a,1,1a,,
MT863923,1,1a,1,1a,1,1a,1,1a,,
MT863924,1,1a,1,1a,1,1a,1,1a,,
MT863925,1,1a,1,1a,1,1a,1,1a,,
MT863926,3,3a,3,3a,3,3a,3,3a,,
MT863927,3,3a,3,3a,3,3a,3,3a,,
MT863928,3,3a,3,3a,3,3a,3,3a,,
MT863929,3,3a,3,3a,3,3a,3,3a,,
MT863930,3,3a,3,3a,3,3a,3,3a,,
MT863931,3,3a,3,3a,3,3a,3,3a,,
MT863932,3,3a,3,3a,3,3a,3,3a,,
MT863933,3,3a,3,3a,3,3a,3,3a,,
MT863934,1,1a,1,1a,1,1a,1,1a,,
MT863935,1,1a,1,1a,1,1a,1,1a,,
MT863936,3,3a,3,3a,3,3a,3,3a,,
MT863937,3,3a,3,3a,3,3a,3,3a,,
MT893899,4,4r,4,4r,4,4r,4,4r,4,4r
MT893900,4,4c,4,4c,4,4c,4,4c,4,4c
MT893901,4,4c,4,4c,4,4c,4,4c,4,4c
MT893902,4,4k,4,4k,4,4k,4,4k,4,4k
MT893903,4,4r,4,4r,4,4r,4,4r,4,4r
MT893904,4,4c,4,4c,4,4c,4,4c,4,4c
MT893905,4,4r,4,4r,4,4r,4,4r,4,4r
MT893906,4,4r,4,4r,4,4r,4,4r,4,4r
MW041294,2,2r,2,2c,2,2j,2,2j,2,
MW041295,2,2v,2,2v,2,2j,2,2j,2,
MW041296,2,2r,2,2c,2,2c,2,2j,2,
MW041297,2,2v,2,2v,2,2j,2,2j,2,
MW041298,2,2v,2,2v,2,2a,2,2j,2,
MW041299,2,2v,2,2v,2,2j,2,2j,2,
ON630763,1,1a,1,1a,1,1a,1,1a,1,
ON630764,1,1a,1,1a,1,1a,1,1a,1,
ON630765,1,1a,1,1a,1,1a,1,1a,1,
ON630766,1,1a,1,1a,1,1a,1,1a,1,
ON630767,1,1a,1,1a,1,1a,1,1a,1,
ON630768,1,1a,1,1a,1,1a,1,1a,1,
ON630769,1,1a,1,1a,1,1a,1,1a,1,
ON630770,1,1a,1,1a,1,1a,1,1a,1,
ON630771,1,1a,1,1a,1,1a,1,1a,1,
ON630772,1,1a,1,1a,1,1a,1,1a,1,
ON630773,1,1a,1,1a,1,1a,1,1a,1,
ON630774,1,1a,1,1a,1,1a,1,1a,1,
ON630775,1,1a,1,1a,1,1a,1,1a,1,
ON630776,1,1a,1,1a,1,1a,1,1a,1,
ON630777,1,1a,1,1a,1,1a,1,1a,1,
ON630778,1,1a,1,1a,1,1a,1,1a,1,
ON630779,1,1a,1,1a,1,1a,1,1a,1,
ON630780,1,1a,1,1a,1,1a,1,1a,1,
ON630781,1,1a,1,1a,1,1a,1,1a,1,
ON630782,1,1a,1,1a,1,1a,1,1a,1,
ON630783,1,1a,1,1a,1,1a,1,1a,1,
ON630784,1,1a,1,1a,1,1a,1,1a,1,
ON630785,1,1a,1,1a,1,1a,1,1a,1,
ON630786,1,1a,1,1a,1,1a,1,1a,1,
ON630787,1,1a,1,1a,1,1a,1,1a,1,
ON630788,1,1a,1,1a,1,1a,1,1a,1,
ON630789,1,1a,1,1a,1,1a,1,1a,1,
ON630790,1,1a,1,1a,1,1a,1,1a,1,
ON630791,1,1a,1,1a,1,1a,1,1a,1,
ON630792,1,1a,1,1a,1,1a,1,1a,1,
ON630793,1,1a,1,1a,1,1a,1,1a,1,
ON630794,1,1a,1,1a,1,1a,1,1a,1,
ON630795,1,1a,1,1a,1,1a,1,1a,1,
ON630796,1,1a,1,1a,1,1a,1,1a,1,
ON630797,1,1a,1,1a,1,1a,1,1a,1,
ON630798,1,1a,1,1a,1,1a,1,1a,1,
ON630799,1,1a,1,1a,1,1a,1,1a,1,
ON630800,1,1a,1,1a,1,1a,1,1a,1,
ON630801,1,1a,1,1a,1,1a,1,1a,1,
ON630802,1,1a,1,1a,1,1a,1,1a,1,
ON630803,1,1a,1,1a,1,1a,1,1a,1,
ON630804,1,1a,1,1a,1,1a,1,1a,1,
ON630805,1,1a,1,1a,1,1a,1,1a,1,
ON630806,1,1a,1,1a,1,1a,1,1a,1,
ON630807,1,1a,1,1a,1,1a,1,1a,1,
ON630808,1,1a,1,1a,1,1a,1,1a,1,
ON630809,1,1a,1,1a,1,1a,1,1a,1,
ON630810,1,1a,1,1a,1,1a,1,1a,1,
ON630811,1,1a,1,1a,1,1a,1,1a,1,
ON630812,1,1a,1,1a,1,1a,1,1a,1,
ON630813,1,1a,1,1a,1,1a,1,1a,1,
ON630814,1,1a,1,1a,1,1a,1,1a,1,
ON630815,1,1a,1,1a,1,1a,1,1a,1,
ON630816,1,1a,1,1a,1,1a,1,1a,1,
ON630817,1,1a,1,1a,1,1a,1,1a,1,
ON630818,1,1a,1,1a,1,1a,1,1a,1,
ON630819,1,1a,1,1a,1,1a,1,1a,1,
ON630820,1,1a,1,1a,1,1a,1,1a,1,
ON630821,1,1a,1,1a,1,1a,1,1a,1,
ON630822,1,1a,1,1a,1,1a,1,1a,1,
ON630823,1,1a,1,1a,1,1a,1,1a,1,
ON630824,1,1a,1,1a,1,1a,1,1a,1,
ON630825,1,1a,1,1a,1,1a,1,1a,1,
ON630826,1,1a,1,1a,1,1a,1,1a,1,
ON630827,1,1a,1,1a,1,1a,1,1a,1,
ON630828,1,1a,1,1a,1,1a,1,1a,1,
ON630829,1,1a,1,1a,1,1a,1,1a,1,
ON630830,1,1a,1,1a,1,1a,1,1a,1,
ON630831,1,1a,1,1a,1,1a,1,1a,1,
ON630832,1,1a,1,1a,1,1a,1,1a,1,
ON630833,1,1a,1,1a,1,1a,1,1a,1,
ON630834,1,1a,1,1a,1,1a,1,1a,1,
ON630835,1,1a,1,1a,1,1a,1,1a,1,
ON630836,1,1a,1,1a,1,1a,1,1a,1,
ON630837,1,1a,1,1a,1,1a,1,1a,1,
ON630838,1,1a,1,1a,1,1a,1,1a,1,
ON630839,1,1a,1,1a,1,1a,1,1a,1,
ON630840,1,1a,1,1a,1,1a,1,1a,1,
ON630841,1,1a,1,1a,1,1a,1,1a,1,
ON630842,1,1a,1,1a,1,1a,1,1a,1,
ON630843,1,1a,1,1a,1,1a,1,1a,1,
ON630844,1,1a,1,1a,1,1a,1,1a,1,
ON630845,1,1a,1,1a,1,1a,1,1a,1,
ON630846,1,1a,1,1a,1,1a,1,1a,1,
ON630847,1,1a,1,1a,1,1a,1,1a,1,
ON630848,1,1a,1,1a,1,1a,1,1a,1,
ON630849,1,1a,1,1a,1,1a,1,1a,1,
ON630850,1,1a,1,1a,1,1a,1,1a,1,
ON630851,1,1a,1,1a,1,1a,1,1a,1,
ON630852,1,1a,1,1a,1,1a,1,1a,1,
ON630853,1,1a,1,1a,1,1a,1,1a,1,
ON630854,1,1a,1,1a,1,1a,1,1a,1,
ON630855,1,1a,1,1a,1,1a,1,1a,1,
ON630856,1,1a,1,1a,1,1a,1,1a,1,
ON630857,1,1a,1,1a,1,1a,1,1a,1,
ON630858,1,1a,1,1a,1,1a,1,1a,1,
ON630859,1,1a,1,1a,1,1a,1,1a,1,
ON630860,1,1a,1,1a,1,1a,1,1a,1,
ON630861,1,1a,1,1a,1,1a,1,1a,1,
ON630862,1,1a,1,1a,1,1a,1,1a,1,
ON630863,1,1a,1,1a,1,1a,1,1a,1,
ON630864,1,1a,1,1a,1,1a,1,1a,1,
ON630865,1,1a,1,1a,1,1a,1,1a,1,
ON630866,1,1a,1,1a,1,1a,1,1a,1,
ON630867,1,1a,1,1a,1,1a,1,1a,1,
ON630868,1,1a,1,1a,1,1a,1,1a,1,
ON630869,1,1a,1,1a,1,1a,1,1a,1,
ON630870,4,4d,4,4d,4,4d,4,4d,4,
ON630871,4,4d,4,4d,4,4d,4,4d,4,
ON630872,4,4d,4,4d,4,4d,4,4d,4,
ON630873,4,4d,4,4d,4,4d,4,4d,4,
ON630874,4,4d,4,4d,4,4d,4,4d,4,
ON630875,4,4d,4,4d,4,4d,4,4d,4,
ON630876,4,4d,4,4d,4,4d,4,4d,4,
ON630877,4,4d,4,4d,4,4d,4,4d,4,
ON630878,4,4d,4,4d,4,4d,4,4d,4,
ON630879,4,4d,4,4d,4,4d,4,4d,4,
ON630880,4,4d,4,4d,4,4d,4,4d,4,
ON630881,4,4d,4,4d,4,4d,4,4d,4,
ON630882,4,4d,4,4d,4,4d,4,4d,4,
ON630883,4,4d,4,4d,4,4d,4,4d,4,
ON630884,4,4d,4,4d,4,4d,4,4d,4,
ON630885,4,4d,4,4d,4,4d,4,4d,4,
ON630886,4,4d,4,4d,4,4d,4,4d,4,
ON630887,4,4d,4,4d,4,4d,4,4d,4,
ON630888,4,4d,4,4d,4,4d,4,4d,4,
ON630889,4,4d,4,4d,4,4d,4,4d,4,
ON630890,4,4d,4,4d,4,4d,4,4d,4,
ON630891,4,4d,4,4d,4,4d,4,4d,4,
ON630892,4,4d,4,4d,4,4d,4,4d,4,
ON630893,4,4d,4,4d,4,4d,4,4d,4,
ON630894,4,4d,4,4d,4,4d,4,4d,4,
ON630895,4,4d,4,4d,4,4d,4,4d,4,
ON630896,4,4d,4,4d,4,4d,4,4d,4,
ON630897,4,4d,4,4d,4,4d,4,4d,4,
ON630898,4,4d,4,4d,4,4d,4,4d,4,
ON630899,4,4d,4,4d,4,4d,4,4d,4,
ON630900,4,4d,4,4d,4,4d,4,4d,4,
ON603922,3,3a,3,3a,3,3a,3,3a,3,3a
ON603923,3,3a,3,3a,3,3a,3,3a,3,3a
ON603924,3,3a,3,3a,3,3a,3,3a,3,3a
ON603925,3,3a,3,3a,3,3a,3,3a,3,3a
ON603926,3,3a,3,3a,3,3a,3,3a,3,3a
ON603927,3,3a,3,3a,3,3a,3,3a,3,3a
ON603928,3,3a,3,3a,3,3a,3,3a,3,3a
ON603929,3,3a,3,3a,3,3a,3,3a,3,3a
ON603930,3,3a,3,3a,3,3a,3,3a,3,3a
ON603931,3,3a,3,3a,3,3a,3,3a,3,3a
ON603932,3,3a,3,3a,3,3a,3,3a,3,3a
ON603933,3,3a,3,3a,3,3a,3,3a,3,3a
ON603934,3,3a,3,3a,3,3a,3,3a,3,3a
ON603935,3,3a,3,3a,3,3a,3,3a,3,3a
ON603936,3,3a,3,3a,3,3a,3,3a,3,3a
ON603937,3,3a,3,3a,3,3a,3,3a,3,3a
ON603938,3,3a,3,3a,3,3a,3,3a,3,3a
ON603939,3,3a,3,3a,3,3a,3,3a,3,3a
ON603940,3,3a,3,3a,3,3a,3,3a,3,3a
MN628574,3,3a,3,3a,3,3a,3,3a,3,3a
MN628575,3,3a,3,3a,3,3a,3,3a,3,3a
MN628576,3,3a,3,3a,3,3a,3,3a,3,3a
MN628577,3,3a,3,3a,3,3a,3,3a,3,3a
MN628578,3,3a,3,3a,3,3a,3,3a,3,3a
MN628579,3,3a,3,3a,3,3a,3,3a,3,3a
MN628580,1,1a,1,1a,1,1a,1,1a,3,3a
MN628581,3,3a,3,3a,3,3a,3,3a,1,1a
MN628582,3,3a,3,3a,3,3a,3,3a,3,3a
MN628583,3,3a,3,3a,3,3a,3,3a,3,3a
MN628584,3,3a,3,3a,3,3a,3,3a,3,3a
MN628585,3,3a,3,3a,3,3a,3,3a,3,3a
MN628586,3,3a,3,3a,3,3a,3,3a,3,3a
MN628587,3,3a,3,3a,3,3a,3,3a,3,3a
MN628588,3,3a,3,3a,3,3a,3,3a,3,3a
MN628589,3,3a,3,3a,3,3a,3,3a,3,3a
MN628590,3,3a,3,3a,3,3a,3,3a,3,3a
MN628591,3,3a,3,3a,3,3a,3,3a,3,3a
MN628592,1,1a,1,1a,1,1a,1,1a,1,1a
MN628593,3,3a,3,3a,3,3a,3,3a,3,3a
MN628594,3,3a,3,3a,3,3a,3,3a,3,3a
MN628595,3,3a,3,3a,3,3a,3,3a,3,3a
MN628596,3,3a,3,3a,3,3a,3,3a,3,3a
MN628597,3,3a,3,3a,3,3a,3,3a,3,3a
MN650758,1,1a,1,1a,1,1a,1,1a,,
MN650759,1,1a,1,1a,1,1a,1,1a,,
MN650760,1,1a,1,1a,1,1a,1,1a,,
MN650761,1,1a,1,1a,1,1a,1,1a,,
MN650762,1,1a,1,1a,1,1a,1,1a,,
MN650763,1,1a,1,1a,1,1a,1,1a,,
MN650764,1,1a,1,1a,1,1a,1,1a,,
MN650765,1,1a,1,1a,1,1a,1,1a,,
MN650766,1,1a,1,1a,1,1a,1,1a,,
MN650767,1,1a,1,1a,1,1a,1,1a,,
MN650768,1,1a,1,1a,1,1a,1,1a,,
MN650769,1,1a,1,1a,1,1a,1,1a,,
MN650770,1,1a,1,1a,1,1a,1,1a,,
MN650771,1,1a,1,1a,1,1a,1,1a,,
MN650772,1,1a,1,1a,1,1a,1,1a,,
MN650773,1,1a,1,1a,1,1a,1,1a,,
MN650774,1,1a,1,1a,1,1a,1,1a,,
MN650775,3,3a,3,3a,3,3a,3,3a,,
MN650776,3,3a,3,3a,3,3a,3,3a,,
MN650777,3,3a,3,3a,3,3a,3,3a,,
MN650778,3,3a,3,3a,3,3a,3,3a,,
MN650779,3,3a,3,3a,3,3a,3,3a,,
MN650780,3,3a,3,3a,3,3a,3,3a,,
MN650781,3,3a,3,3a,3,3a,3,3a,,
MN650782,3,3a,3,3a,3,3a,3,3a,,
MN650783,3,3a,3,3a,3,3a,3,3a,,
MN650784,3,3a,3,3a,3,3a,3,3a,,
MN650785,3,3a,3,3a,3,3a,3,3a,,
MN650786,3,3a,3,3a,3,3a,3,3a,,
MN650787,3,3a,3,3a,3,3a,3,3a,,
MN650788,3,3a,3,3a,3,3a,3,3a,,
MN650789,3,3a,3,3a,3,3a,3,3a,,
MN650790,3,3a,3,3a,3,3a,3,3a,,
MN650791,3,3a,3,3a,3,3a,3,3a,,
MN650792,3,3a,3,3a,3,3a,3,3a,,
MN650793,3,3a,3,3a,3,3a,3,3a,,
MN650794,3,3a,3,3a,3,3a,3,3a,,
MN650795,3,3a,3,3a,3,3a,3,3a,,
MN650796,3,3a,3,3a,3,3a,3,3a,,
MN650797,3,3a,3,3a,3,3a,3,3a,,
MN650798,3,3a,3,3a,3,3a,3,3a,,
MN650799,4,4d,4,4d,4,4d,4,4d,,
MN650800,4,4d,4,4d,4,4d,4,4d,,
MN650801,4,4d,4,4d,4,4d,4,4d,,
MN650802,4,4d,4,4d,4,4d,4,4d,,
MN650803,4,4d,4,4d,4,4d,4,4d,,
MN650804,4,4d,4,4d,4,4d,4,4d,,
MN650805,4,4d,4,4d,4,4d,4,4d,,
MN650806,4,4d,4,4d,4,4d,4,4d,,
MN650807,1,1a,1,1a,,"unassigned_1, 1a-4d",,"unassigned_1, 1a-4d",,
MN650808,1,1a,1,1a,1,1a,1,1a,,
MN650809,1,1a,1,1a,1,1a,1,1a,,
MN650810,1,1a,1,1a,1,1a,1,1a,,
MN650811,1,1a,1,1a,1,1a,1,1a,,
MN650812,1,1a,1,1a,1,1a,1,1a,,
MN650813,1,1a,1,1a,1,1a,1,1a,,
MN650814,3,3a,3,3a,3,3a,3,3a,,
MN650815,4,4d,4,4d,4,4d,4,4d,,
MN650816,4,4d,4,4d,4,4d,4,4d,,
MN650817,4,4d,4,4d,4,4d,4,4d,,
MN650818,4,4d,4,4d,4,4d,4,4d,,
MN650819,3,3a,3,3a,3,3a,3,3a,,
PQ660823,1,1a,1,1a,1,1a,1,1a,1,1a
PQ660824,1,1a,1,1a,1,1a,1,1a,1,1a
PQ660825,1,1a,1,1a,1,1a,1,1a,1,1a
PQ660826,1,1a,1,1a,1,1a,1,1a,1,1a
PQ660827,1,1a,1,1a,1,1a,1,1a,1,1a
PQ660828,1,1a,1,1a,1,1a,1,1a,1,1a
PQ660829,1,1a,1,1a,1,1a,1,1a,1,1a
PQ660830,4,4a,4,4a,4,4a,4,4a,4,4a
PQ660831,1,1a,1,1a,1,1a,1,1a,1,1a
PQ660832,1,1a,1,1a,1,1a,1,1a,1,1a
PQ660833,1,1a,1,1a,1,1a,1,1a,1,1a
PQ660834,1,1a,1,1a,1,1a,1,1a,1,1a
PQ660835,1,1a,1,1a,,"unassigned_1, 1a-4a",,"unassigned_1, 1a-4a-4v",1,1a
PQ660836,1,1a,1,1a,1,1a,1,1a,1,1a
PQ660837,4,4a,4,4a,4,4a,4,4a,4,4a
PQ660838,1,1a,1,1a,1,1a,1,1a,1,1a
PQ660839,4,4a,4,4a,4,4a,4,4a,4,4a
PQ660840,4,4a,4,4a,4,4a,4,4a,4,4a
PQ660841,1,1a,1,1a,1,1a,1,1a,1,1a
