Accession,ClosestGenotype,ClosestSubtype,ReferenceOverlapAA,FullyCover
MW234385,3,3a,217-321,
MW234386,3,3a,219-321,
MW234387,3,3a,217-320,
MW234388,3,3a,217-321,
MW234389,2,2b,218-321,
MW234390,3,3a,218-319,
MW234391,2,2b,218-321,
MW234392,3,3a,217-321,
MW234393,3,3a,218-321,
MW234394,3,3a,217-321,
MW234395,3,3b,219-321,
MW234396,3,3a,218-321,
MW234397,3,3a,217-321,
MW234398,3,3b,218-321,
MW234399,3,3a,217-321,
MW234400,3,3a,221-321,
MW234401,2,2b,217-321,
MW234402,2,2b,217-321,
MW234403,3,3b,219-321,
MW234404,2,2b,218-321,
MW234405,3,3a,217-319,
MW234406,3,3a,217-321,
MW281563,1,1a,150-221,
MW307936,4,4o,219-321,
MW357752,1,1b,150-314,
MW357753,1,1b,150-314,
MW357754,1,1b,150-299,
MW357755,1,1b,150-314,
MW357756,1,1b,150-321,Yes
MW357757,1,1b,150-314,
MW357758,1,1b,150-314,
MW357759,1,1b,150-314,
MW357760,1,1b,150-314,
MW357761,1,1b,150-314,
MW357762,1,1b,150-314,
MW357763,1,1b,150-319,
MW357764,1,1b,150-314,
MW357765,1,1b,150-314,
MW357766,1,1b,150-314,
MW357767,1,1b,150-314,
MW357768,1,1b,150-314,
MW357769,1,1b,150-314,
MW357770,1,1b,150-299,
MW357771,1,1b,150-321,Yes
MW357772,1,1b,150-314,
MW357773,1,1b,150-319,
MW357774,1,1b,150-319,
MW357775,1,1b,150-314,
MW357776,1,1b,150-314,
MW357777,1,1b,150-319,
MW357778,1,1b,150-314,
MW357779,1,1b,150-314,
MW357780,1,1b,150-314,
MW357781,1,1b,150-314,
MW357782,1,1b,150-319,
MW357783,1,1b,150-305,
MW357784,1,1b,150-313,
MW357785,1,1b,150-314,
MW357786,1,1b,150-314,
MW357787,1,1b,150-312,
MW357788,1,1b,150-314,
MW357789,1,1b,150-313,
MW357790,1,1b,150-315,
MW357791,1,1b,150-314,
MW357792,1,1b,150-289,
MW357793,,,,
MW357794,,,,
MW357795,,,,
MW357796,,,,
MW357797,,,,
MW357798,,,,
MW357799,,,,
MW357800,,,,
MW357801,,,,
MW357802,,,,
MW357803,,,,
MW357804,,,,
MW357805,,,,
MW357806,,,,
MW357807,,,,
MW357808,,,,
MW357809,,,,
MW357810,,,,
MW357811,,,,
MW357812,,,,
MW357813,,,,
MW357814,,,,
MZ325443,3,3a,150-321,Yes
MZ325444,3,3a,150-321,Yes
MZ327730,3,3a,150-321,Yes
MZ327731,1,1a,150-321,Yes
MZ327732,1,1a,150-321,Yes
MZ327733,1,1a,150-321,Yes
MZ327734,1,1a,150-321,Yes
MZ327735,3,3a,150-321,Yes
MZ327736,1,1a,150-321,Yes
MZ327737,1,1a,150-321,Yes
MZ327738,3,3a,150-321,Yes
MZ327739,1,1a,150-321,Yes
MZ327740,1,1a,150-321,Yes
MZ327741,1,1a,150-321,Yes
MZ327742,1,1a,150-321,Yes
MZ327743,1,1a,150-321,Yes
MZ327744,1,1a,150-321,Yes
MZ327745,3,3a,150-321,Yes
MZ327746,1,1a,150-321,Yes
MZ327747,1,1a,150-321,Yes
MZ327748,3,3a,150-321,Yes
MZ327749,1,1a,150-321,Yes
MZ327750,3,3a,150-321,Yes
MZ327751,1,1a,150-321,Yes
MZ327752,4,4a,150-321,Yes
MZ327753,1,1b,150-321,Yes
MZ327754,3,3a,150-321,Yes
MZ327755,2,2b,150-321,Yes
MZ327756,3,3a,150-321,Yes
MZ327757,3,3a,150-321,Yes
MZ327758,1,1a,150-321,Yes
MZ327759,3,3a,150-321,Yes
MZ327760,1,1a,150-321,Yes
MZ327761,1,1a,150-321,Yes
MZ327762,1,1a,150-321,Yes
MZ327763,1,1a,150-321,Yes
MZ327764,3,3a,150-321,Yes
MZ327765,1,1a,150-321,Yes
MZ327766,1,1a,150-321,Yes
MZ327767,1,1a,150-321,Yes
MZ327768,1,1a,150-321,Yes
MZ327769,1,1b,150-321,Yes
MZ327770,1,1a,150-321,Yes
MZ327771,1,1a,150-321,Yes
MZ327772,3,3a,150-321,Yes
MZ327773,3,3a,150-321,Yes
MZ327774,1,1b,150-321,Yes
MZ327775,1,1b,150-321,Yes
MZ327776,1,1a,150-321,Yes
MZ327777,1,1a,150-321,Yes
MZ327778,1,1a,150-321,Yes
MZ327779,3,3a,150-321,Yes
MZ327780,3,3a,150-321,Yes
MZ327781,3,3a,150-321,Yes
MZ327782,1,1a,150-321,Yes
MZ327783,3,3a,150-321,Yes
MZ327784,2,2b,150-321,Yes
MZ327785,1,1a,150-321,Yes
MZ327786,3,3a,150-321,Yes
MZ327787,1,1a,150-321,Yes
MZ327788,1,1a,150-321,Yes
MZ327789,3,3a,150-321,Yes
MZ327790,1,1a,150-321,Yes
MZ327791,1,1b,150-321,Yes
MZ327792,1,1a,150-321,Yes
MZ327793,1,1a,150-321,Yes
MZ327794,3,3a,150-321,Yes
MZ327795,1,1a,150-321,Yes
MZ327796,3,3a,150-321,Yes
MZ327797,1,1a,150-321,Yes
MZ327798,1,1a,150-321,Yes
MZ327799,3,3a,150-321,Yes
MZ327800,2,2b,150-321,Yes
MZ356313,1,1b,231-321,
MZ356314,2,2a,225-321,
MZ356315,1,1d,231-321,
MZ356316,1,1d,231-321,
MZ356317,2,2i,228-321,
MZ356318,1,1d,230-321,
MZ356319,1,1d,230-321,
MZ356320,1,1b,230-321,
MZ356321,2,2l,230-321,
MZ356322,3,3a,233-321,
MZ356323,1,1d,232-321,
MZ356324,1,1d,230-321,
MZ356325,2,2i,232-321,
MZ356326,2,2i,232-321,
MZ356327,1,1b,232-321,
MZ356328,2,2i,233-321,
MZ356329,1,1d,230-321,
MZ356330,1,1b,233-321,
MZ356331,2,2i,233-321,
PP457742,2,2a,239-321,
PP457743,2,2a,238-321,
PP457744,2,2a,239-321,
PP457745,2,2a,239-321,
PP457746,2,2a,238-321,
PP457747,2,2a,239-321,
PP457748,2,2a,238-321,
PP457749,2,2a,241-321,
PP457750,2,2a,239-321,
PP457751,2,2a,238-321,
PP457752,2,2a,239-321,
PP457753,2,2a,239-321,
PP457754,2,2a,239-321,
PP457755,2,2a,241-321,
PP457756,2,2a,239-321,
PP457757,2,2a,239-321,
PP457758,2,2a,239-321,
PP457759,2,2a,238-321,
PP457760,2,2a,241-321,
PP457761,2,2a,227-321,
PP457762,2,2a,241-321,
PP457763,2,2a,244-321,
PP457764,2,2a,241-321,
PP457765,2,2a,243-321,
PP457766,2,2a,239-321,
PP457767,2,2a,241-321,
PP457768,2,2a,241-321,
PP457769,2,2a,241-321,
PP457770,2,2a,241-321,
PP457771,2,2a,241-321,
PP457772,2,2a,239-321,
PP457773,2,2a,226-321,
PP457774,2,2a,244-321,
PP457775,2,2a,239-321,
PP457776,2,2a,243-321,
PP457777,2,2a,238-321,
PP457778,2,2a,239-321,
PP457779,2,2a,241-321,
PP457780,2,2a,239-321,
PP457781,2,2a,244-321,
PP457782,2,2a,239-321,
PP457783,2,2a,243-321,
PP457784,2,2a,226-321,
PP457785,2,2a,241-321,
PP457786,2,2a,239-321,
PP457787,2,2a,243-321,
PP457788,2,2a,241-321,
PP457789,2,2a,241-321,
PP457790,2,2a,243-321,
PP457791,2,2a,239-321,
PP457792,2,2a,243-321,
PP457793,2,2a,223-321,
PP457794,2,2a,239-321,
PP457795,2,2a,239-321,
PP457796,2,2a,244-321,
PP457797,2,2a,239-321,
PP457798,2,2a,238-321,
PP457799,2,2a,241-321,
PP457800,2,2a,239-321,
PP457801,2,2a,239-321,
PP457802,2,2a,226-321,
PP484706,4,4f,241-321,
PP484707,2,2u,241-321,
PP484708,1,1d,241-321,
PP484709,1,1l,241-321,
PP484710,2,2u,242-321,
PP484711,4,4f,241-321,
PP484712,2,2u,241-321,
PP484713,4,4t,241-321,
PP484714,4,4p,241-321,
PP484715,2,2u,241-321,
PP484716,4,4p,241-321,
PP484717,4,4t,241-321,
PP484718,1,1h,241-321,
PP484719,2,2u,241-321,
PP484720,4,4f,241-321,
PP484721,4,4f,241-321,
PP484722,4,4m,241-321,
PP484723,4,4l,241-321,
PP484724,2,2u,241-321,
PP484725,4,4f,241-321,
PP484726,4,4f,241-321,
PP484727,1,1e,241-321,
PP484728,1,1e,241-321,
PP484729,2,2a,241-321,
PP484730,4,4f,241-321,
PP484731,2,2u,241-321,
PP484732,2,2u,241-321,
PP484733,4,4f,241-321,
PP484734,4,4f,241-321,
PP484735,1,1e,241-321,
PP484736,4,4f,241-321,
PP484737,2,2u,241-321,
PP484738,1,1e,241-321,
PP484739,4,4f,241-321,
PP484740,4,4m,241-321,
PP484741,4,4m,241-321,
PP484742,4,4f,241-321,
PP484743,4,4f,241-321,
PP484744,4,4p,241-321,
PP484745,1,1o,241-321,
PP484746,1,1o,241-321,
PP484747,4,4t,241-321,
PP484748,1,1e,241-321,
PP484749,1,1l,241-321,
PP484750,2,2u,242-321,
PP484751,1,1e,241-321,
PP484752,4,4p,241-321,
PP484753,2,2u,241-321,
PP484754,4,4t,241-321,
PP484755,4,4f,241-321,
PP484756,2,2u,248-321,
PP484757,2,2u,242-321,
PP484758,1,1e,241-321,
PP484759,1,1e,241-321,
PP484760,4,4f,241-321,
PP484761,4,4f,241-321,
PP484762,4,4l,241-321,
PP484763,1,1e,241-321,
PP484764,1,1e,241-321,
PP484765,4,4f,241-321,
PP484766,1,1e,241-321,
PP484767,1,1l,241-321,
PP484768,4,4t,241-321,
PP484769,2,2u,241-321,
PP484770,1,1e,241-321,
PP484771,2,2r,241-321,
PP484772,4,4f,241-321,
PP484773,1,1l,241-321,
PP484774,1,1l,241-321,
PP484775,4,4l,241-321,
PP484776,1,1c,241-321,
PP484777,2,2u,241-321,
PP484778,1,1e,241-321,
PP484779,2,2u,242-321,
PP484780,1,1l,241-321,
PP484781,1,1l,241-321,
PP484782,4,4p,241-321,
PP484783,1,1e,241-321,
PP484784,1,1l,241-321,
PP484785,2,2u,241-321,
PP484786,2,2u,241-321,
PP484787,1,1l,241-321,
PP484788,4,4f,241-321,
PP484789,1,1e,241-321,
PP484790,2,2u,241-321,
PP484791,4,4f,241-321,
PP484792,1,1l,241-321,
PP484793,1,1e,241-321,
PP484794,2,2u,241-321,
PP484795,2,2u,241-321,
PP484796,4,4t,241-321,
PP484797,1,1e,241-321,
PP484798,4,4t,241-321,
PP484799,4,4p,241-321,
PP484800,1,1h,241-321,
PP484801,4,4f,241-321,
PP484802,4,4c,241-321,
PP484803,2,2u,241-321,
PP484804,4,4f,241-321,
PP484805,1,1o,241-321,
PP484806,4,4t,241-321,
PP484807,2,2u,241-321,
PP484808,4,4f,241-321,
PP484809,1,1l,241-321,
PP484810,4,4l,241-321,
PP484811,4,4f,241-321,
PP484812,4,4f,241-321,
PP484813,2,2u,241-321,
PP484814,4,4f,241-321,
PP484815,1,1e,241-321,
PP484816,1,1l,241-321,
PP484817,1,1l,241-321,
PP484818,4,4t,241-321,
PP484819,1,1l,241-321,
PP484820,1,1e,241-321,
PP484821,4,4p,241-321,
PP484822,2,2u,242-321,
PP484823,4,4f,241-321,
PP484824,1,1o,241-321,
PP484825,2,2u,241-321,
PP484826,4,4p,241-321,
PP484827,4,4v,241-321,
PP484828,2,2u,242-321,
PP484829,1,1l,241-321,
PP484830,1,1l,241-321,
PP484831,2,2u,241-321,
PP484832,4,4f,241-321,
PP484833,1,1e,241-321,
PP484834,4,4f,241-321,
PP484835,1,1e,241-321,
PP484836,2,2u,241-321,
PP484837,1,1e,241-321,
PP484838,1,1e,241-321,
PP484839,4,4f,241-321,
PP484840,1,1e,241-321,
PP484841,4,4t,241-321,
PP484842,2,2u,241-321,
PP484843,2,2u,241-321,
PP484844,2,2u,241-321,
PP484845,2,2u,242-321,
PP484846,1,1e,241-321,
PP484847,2,2u,241-321,
PP484848,2,2u,241-321,
PP484849,1,1l,241-321,
PP484850,1,1l,241-321,
PP484851,2,2u,241-321,
PP484852,1,1e,241-321,
PP484853,2,2m,241-321,
PP484854,4,4f,241-321,
PP484855,4,4l,241-321,
PP484856,4,4f,241-321,
PP484857,4,4f,241-321,
PP484858,4,4f,241-321,
PP484859,1,1e,241-321,
PP484860,4,4f,241-321,
PP484861,1,1h,241-321,
PP484862,1,1e,241-321,
PP484863,4,4f,241-321,
PP484864,2,2u,241-321,
PP484865,1,1h,241-321,
PP484866,4,4f,241-321,
PP484867,1,1l,241-321,
PP484868,1,1e,241-321,
PP484869,2,2t,251-321,
PP484870,4,4f,241-321,
PP484871,2,2u,242-321,
PP484872,2,2u,241-321,
PP484873,1,1l,241-321,
PP484874,1,1e,241-321,
PP484875,4,4f,241-321,
PP484876,1,1e,241-321,
PP484877,1,1e,241-321,
PP583866,2,2u,242-321,
PP583867,1,1e,243-321,
PP583868,4,4t,242-321,
PP583869,1,1e,242-321,
PP583870,1,1l,242-321,
PP583871,4,4l,242-321,
PP583872,4,4f,242-321,
PP583873,1,1e,242-321,
PP583874,2,2u,242-321,
PP583875,4,4t,242-321,
PP583876,2,2u,242-321,
PP583877,2,2u,242-321,
PP583878,1,1h,242-321,
PP583879,4,4p,242-321,
PP583880,2,2u,242-321,
PP583881,1,1e,242-321,
PP583882,2,2u,242-321,
PP583883,1,1e,242-321,
PP583884,2,2u,242-321,
PP583885,4,4c,242-321,
PP583886,4,4f,242-321,
PP583887,1,1o,242-321,
PP583888,4,4f,242-321,
PP583889,1,1e,242-321,
PP583890,4,4p,242-321,
PP583891,2,2u,242-321,
PP583892,2,2u,242-321,
PP583893,4,4l,242-321,
PP583894,4,4f,242-321,
PP583895,4,4f,242-321,
PP583896,1,1e,242-321,
PP583897,4,4l,242-321,
PP583898,1,1h,242-321,
PP583899,1,1h,242-321,
PP583900,1,1e,242-321,
PP583901,1,1l,242-321,
PP583902,1,1l,242-321,
PP583903,4,4f,242-321,
PP583904,2,2u,242-321,
PP583905,2,2u,242-321,
PP583906,4,4f,242-321,
PP583907,1,1h,242-321,
PP583908,4,4f,242-321,
PP583909,4,4f,242-321,
PP583910,4,4f,242-321,
PP583911,4,4f,242-321,
PP583912,1,1l,242-321,
PP583913,4,4f,242-321,
PP583914,1,1l,242-321,
PP583915,1,1l,242-321,
PP583916,4,4p,242-321,
PP583917,4,4c,242-321,
PP583918,2,2u,242-321,
PP583919,4,4f,242-321,
PP583920,4,4l,242-321,
PP583921,4,4p,242-321,
PP583922,1,1e,242-321,
PP583923,1,1e,242-321,
PP583924,4,4f,242-321,
PP583925,4,4f,242-321,
PP583926,1,1e,242-321,
PP583927,4,4p,242-321,
PP583928,2,2u,242-321,
PP583929,1,1e,242-321,
PP583930,4,4f,242-321,
PP583931,2,2u,242-321,
PP583932,4,4p,242-321,
PP583933,1,1l,242-321,
PP583934,4,4f,242-321,
PP583935,1,1l,242-321,
PP583936,1,1h,242-321,
PP583937,2,2u,242-321,
PP583938,1,1e,242-321,
PP583939,4,4f,242-321,
PP583940,4,4f,242-321,
PP583941,4,4f,242-321,
PP583942,2,2a,242-321,
PP583943,4,4f,242-321,
PP583944,4,4f,242-321,
PP583945,1,1e,242-321,
PP583946,4,4m,242-321,
PP583947,1,1l,242-321,
PP583948,2,2q,242-321,
PP583949,2,2u,242-321,
PP583950,1,1l,242-321,
PP583951,4,4f,242-321,
PP583952,1,1e,242-321,
PP583953,2,2u,245-321,
PP583954,4,4f,242-321,
PP583955,4,4f,242-321,
PP583956,1,1e,242-321,
PP583957,2,2u,242-321,
PP583958,4,4t,242-321,
PP583959,2,2u,242-321,
PP583960,1,1e,242-321,
PP583961,4,4f,242-321,
PP583962,1,1g,242-321,
PP583963,1,1h,242-321,
PP583964,4,4t,242-321,
PP583965,2,2u,242-321,
PP583966,1,1e,242-321,
PP583967,4,4f,242-321,
PP583968,4,4p,242-321,
PP583969,2,2j,242-321,
PP583970,1,1e,242-321,
PP583971,4,4f,242-321,
PP583972,1,1l,242-321,
PP583973,1,1o,242-321,
PP583974,4,4c,242-321,
PP583975,1,1h,242-321,
PP583976,2,2u,242-321,
PP583977,1,1e,242-321,
PP583978,4,4f,242-321,
PP583979,2,2u,242-321,
PP583980,1,1l,242-321,
PP583981,2,2r,242-321,
PP583982,4,4f,242-321,
PP583983,1,1l,242-321,
PP583984,1,1e,242-321,
PP583985,1,1l,242-321,
PP583986,1,1l,242-321,
PP583987,1,1l,242-321,
PP583988,4,4f,242-321,
PP583989,1,1e,242-321,
PP583990,4,4f,242-321,
PP583991,2,2u,242-321,
PP583992,1,1e,242-321,
PP583993,1,1l,242-321,
PP583994,4,4t,242-321,
PP583995,4,4c,242-321,
PP583996,1,1l,242-321,
PP583997,2,2u,242-321,
PP583998,1,1l,242-321,
PP583999,2,2u,242-321,
PP584000,1,1l,242-321,
PP584001,4,4f,242-321,
PP584002,4,4f,242-321,
PP584003,4,4t,242-321,
PP584004,1,1l,242-321,
PP584005,1,1e,242-321,
PP584006,4,4f,242-321,
PP584007,1,1l,242-321,
PP584008,4,4t,242-321,
PP584009,2,2u,242-321,
PP584010,1,1l,242-321,
PP584011,4,4f,242-321,
PP584012,4,4t,242-321,
PP584013,4,4f,242-321,
PP584014,1,1e,242-321,
PQ212854,1,1a,219-321,
PQ212855,1,1a,219-321,
PQ212856,1,1a,219-321,
PQ212857,1,1a,219-321,
PQ212858,1,1a,219-321,
PQ212859,1,1a,219-321,
PQ212860,1,1a,219-321,
PQ320121,3,3b,210-321,
PQ320122,3,3a,150-321,Yes
PQ320123,1,1a,237-321,
PQ320124,1,1a,150-321,Yes
PQ320125,3,3b,163-321,
PQ320126,1,1a,150-321,Yes
PQ320127,3,3b,171-321,
PQ320128,1,1a,150-321,Yes
PQ320129,3,3b,150-321,Yes
PQ320130,1,1b,150-321,Yes
PQ335035,1,1a,150-321,Yes
PQ335036,1,1a,150-321,Yes
PQ335037,1,1a,150-321,Yes
PQ335038,1,1a,150-321,Yes
PQ335039,1,1a,150-321,Yes
PQ335040,1,1a,150-321,Yes
PQ335041,1,1a,150-321,Yes
PQ335042,1,1a,150-321,Yes
PQ335043,1,1a,,
PQ335044,1,1a,,
PQ335045,1,1a,150-321,Yes
PQ335046,1,1a,150-321,Yes
PQ335047,1,1a,218-321,
PQ335048,1,1a,150-321,Yes
PQ335049,1,1a,150-321,Yes
PQ335050,1,1a,246-321,
PQ335051,1,1a,150-321,Yes
PQ335052,1,1a,150-321,Yes
PQ335053,1,1a,150-321,Yes
PQ335054,1,1a,150-321,Yes
PQ335055,1,1a,150-321,Yes
PQ335056,1,1a,150-321,Yes
PQ335057,1,1a,150-321,Yes
PQ335058,1,1a,150-321,Yes
PQ335059,1,1a,150-321,Yes
PQ335060,1,1a,290-321,
PQ335061,1,1a,150-321,Yes
PQ335062,1,1a,150-321,Yes
PQ335063,1,1a,150-222,
PQ335064,1,1a,150-321,Yes
PQ335065,1,1a,150-321,Yes
PQ335066,1,1a,150-321,Yes
PQ335067,1,1a,150-321,Yes
PQ335068,1,1a,150-321,Yes
PQ335069,1,1a,,
PQ335070,1,1a,150-321,Yes
PQ335071,1,1a,150-321,Yes
PQ335072,1,1a,150-321,Yes
PQ335073,1,1a,150-321,Yes
PQ335074,1,1a,150-321,Yes
PQ335075,1,1a,150-321,Yes
PQ335076,1,1a,150-321,Yes
PQ335077,1,1a,150-321,Yes
PQ335078,1,1a,150-321,Yes
PQ335079,1,1a,150-321,Yes
PQ335080,1,1a,242-321,
PQ335081,1,1a,150-321,Yes
PQ335082,1,1a,150-321,Yes
PQ335083,1,1a,,
