Accession,ClosestGenotype,ClosestGenotypePident,ClosestGenotypeAlignedNT,ClosestSubtype,ClosestSubtypePident,ClosestSubtypeAlignedNT,ReferenceOverlapAA,FullyCover
MW205287,3,79.056,339,3b,90.855,339,2769-2855,
MW205288,3,75.221,339,3k,91.740,339,2769-2855,
MW205289,4,80.826,339,4k,89.086,339,2736-2848,
MW205290,4,81.416,339,4q,92.035,339,2736-2848,
MW205291,4,81.525,341,4f,91.691,337,2736-2848,
MW205292,3,78.171,339,3b,90.265,339,2769-2855,
MW205293,3,78.466,339,3b,88.791,339,2769-2855,
MW205294,4,83.186,339,4o,91.740,339,2736-2848,
MW205295,4,83.438,320,4k,92.035,339,2736-2842,
MW205296,4,82.891,339,4k,92.625,339,2736-2848,
MW205297,3,73.964,338,3k,91.740,339,2769-2855,
MW205298,1,81.121,339,1c,92.920,339,2759-2855,
MW205299,4,81.361,338,4f,91.150,339,2736-2848,
MW205300,2,81.416,339,2k,91.071,336,2781-2855,
MW205301,4,83.183,333,4t,92.625,339,2736-2846,
MW205302,4,83.776,339,4o,87.021,339,2736-2848,
MW205303,4,83.776,339,4o,89.381,339,2736-2848,
MW205304,4,81.452,248,4k,89.113,248,2759-2841,
MW205305,4,84.024,338,4l,88.166,338,2736-2848,
MW205306,4,84.661,339,4v,95.280,339,2736-2848,
MW205307,4,83.133,332,4l,88.855,332,2736-2846,
MW205308,2,84.273,337,2k,88.496,339,2781-2855,
MW205309,2,84.956,339,2j,86.944,337,2781-2855,
MW205310,4,82.493,337,4v,89.318,337,2736-2848,
MW205311,2,84.570,337,2j,85.546,339,2781-2855,
MW205312,2,85.460,337,2v,88.201,339,2781-2855,
MW205313,2,86.053,337,2v,87.906,339,2781-2855,
MW205314,2,85.460,337,2a,87.240,337,2781-2855,
MW205315,4,84.024,338,4v,87.316,339,2736-2848,
MW205316,2,84.416,308,2a,85.390,308,2783-2855,
MW205317,1,84.366,339,1g,94.690,339,2759-2855,
MW205318,1,84.956,339,1g,94.395,339,2759-2855,
MW205319,1,84.956,339,1g,97.050,339,2759-2855,
MW205320,1,85.251,339,1g,95.575,339,2759-2855,
MW205321,1,83.936,249,1g,96.787,249,2774-2855,
MW205322,1,84.950,299,1g,94.040,302,2765-2855,
MW205323,1,83.186,339,1g,92.625,339,2759-2855,
MW205324,1,83.481,339,1g,93.805,339,2759-2855,
MW205325,2,83.481,339,2i,93.510,339,2781-2855,
MW205326,2,82.301,339,2i,93.510,339,2781-2855,
MW205327,2,81.711,339,2i,93.510,339,2781-2855,
MW205328,2,83.481,339,2i,92.330,339,2781-2855,
MW205329,2,84.118,340,2f,90.560,339,2781-2855,
MW205330,2,82.301,339,2f,89.086,339,2781-2855,
MW205331,2,84.412,340,2f,92.878,337,2781-2855,
MW205332,2,83.824,340,2f,94.985,339,2781-2855,
MW205333,2,85.546,339,2f,90.855,339,2781-2855,
MW205334,2,80.531,339,2f,89.971,339,2781-2855,
MW205335,2,82.789,337,2d,85.757,337,2781-2855,
MW205336,2,82.596,339,2d,85.841,339,2781-2855,
MW205337,2,82.789,337,2m,84.866,337,2781-2855,
MW205338,2,84.866,337,2u,86.053,337,2781-2855,
MW205339,2,85.546,339,2j,86.647,337,2781-2855,
MW205340,2,83.481,339,2k,84.273,337,2781-2855,
MW205341,2,82.196,337,2f,84.071,339,2781-2855,
MW205342,2,83.680,337,2m,86.350,337,2781-2855,
MW205343,2,82.891,339,2m,84.661,339,2781-2855,
MW205344,2,86.310,336,2a,87.202,336,2782-2855,
MW205345,2,84.570,337,2m,85.460,337,2781-2855,
MW205346,2,83.766,308,2j,84.488,303,2783-2855,
MW205347,2,81.416,339,2m,84.071,339,2781-2855,
MW205348,2,82.891,339,2e,92.035,339,2781-2855,
MW205349,2,84.071,339,2e,92.625,339,2781-2855,
MW205350,2,82.493,337,2f,86.053,337,2781-2855,
MW205351,2,84.071,339,2f,87.834,337,2781-2855,
MW205352,2,82.249,338,2u,84.615,338,2781-2855,
MW205353,2,82.301,339,2d,82.891,339,2781-2855,
MW205354,2,82.493,337,2f,86.136,339,2781-2855,
MW205355,2,82.196,337,2k,85.841,339,2781-2855,
MW205356,2,83.383,337,2j,86.944,337,2781-2855,
MW205357,2,79.525,337,2j,85.841,339,2781-2855,
MW205358,2,82.493,337,2j,84.956,339,2781-2855,
MW205359,2,81.306,337,2d,84.866,337,2781-2855,
MW205360,4,80.573,314,4k,86.513,304,2736-2840,
MW205361,2,82.493,337,2v,85.546,339,2781-2855,
MW205362,2,82.789,337,2v,86.431,339,2781-2855,
MW205363,2,81.306,337,2v,85.546,339,2781-2855,
MW205364,2,82.493,337,2v,84.956,339,2781-2855,
MW205365,2,83.086,337,2f,85.251,339,2781-2855,
MW205366,2,82.493,337,2u,86.350,337,2781-2855,
MW205367,2,82.301,339,2j,86.982,338,2781-2855,
MW205368,2,82.301,339,2k,86.810,326,2781-2855,
MW205369,2,85.163,337,2k,86.095,338,2781-2855,
MW205370,2,77.231,325,2r,78.698,338,2781-2855,
MW205371,6,72.189,338,6e,94.379,338,2768-2855,
MW205372,6,71.006,338,6e,92.604,338,2768-2855,
MW205373,6,70.206,339,6e,88.166,338,2768-2855,
MW205374,1,70.710,338,1a,71.006,338,2759-2855,
MW205375,8,73.913,253,8a,73.913,253,2792-2855,
MW205376,4,78.898,635,4v,87.717,635,,
MW205377,4,79.817,654,4v,93.750,656,,
MW205378,4,78.914,626,4q,85.167,627,,
MW205379,4,80.581,654,4l,85.559,644,,
MW205380,4,78.378,666,4q,83.158,665,,
MW205381,4,81.561,602,4o,91.523,637,,
MW205382,4,80.265,679,4o,91.728,677,,
MW205383,4,81.536,677,4o,90.251,677,,
MW205384,4,78.746,654,4q,83.384,662,,
MW205385,4,77.863,655,4v,82.628,662,,
MW205386,4,83.832,668,4c,90.936,673,,
MW205387,4,85.094,691,4c,92.735,702,,
MW205388,4,84.938,644,4c,91.446,643,,
MW205389,4,82.126,621,4c,89.352,648,,
MW205390,4,84.370,691,4c,88.746,702,,
MW205391,4,77.844,668,4t,89.505,667,,
MW205392,4,75.804,653,4r,89.740,653,,
MW205393,4,77.458,661,4r,90.592,659,,
MW205394,4,75.771,681,4r,88.416,682,,
MW205395,4,75.477,681,4r,90.469,682,,
MW205396,4,77.083,672,4g,80.149,670,,
MW205397,4,77.266,673,4l,81.353,665,,
MW205398,4,76.054,664,4k,80.514,662,,
MW205399,4,76.712,657,4k,89.458,664,,
MW205400,4,75.923,623,4k,86.414,633,,
MW205401,4,75.190,657,4k,90.677,665,,
MW205402,4,74.926,678,4k,90.118,678,,
MW205403,4,76.702,661,4k,91.654,659,,
MW205404,4,77.519,645,4k,90.578,658,,
MW205405,4,77.419,682,4f,90.455,681,,
MW205406,4,80.258,466,4n,92.128,470,,
MW205407,4,80.477,461,4n,92.934,467,,
MW205408,4,80.901,466,4n,92.979,470,,
MW205409,4,79.872,467,4n,90.678,472,,
MW205410,4,79.176,461,4n,90.792,467,,
MW205411,4,81.046,459,4n,91.863,467,,
MW205412,4,82.646,461,4n,91.006,467,,
MW205413,4,80.911,461,4n,91.221,467,,
MW205414,4,78.970,466,4n,89.149,470,,
MW205415,6,71.329,286,6f,76.868,281,,
MW205416,4,70.024,417,4d,73.381,417,,
MW205417,6,76.443,1074,6e,81.765,1031,,
MW205418,6,72.356,416,6e,91.346,416,,
MW205419,6,72.530,415,6e,92.736,413,,
MW205420,6,69.903,412,6e,90.534,412,,
MW205421,6,72.222,414,6e,85.437,412,,
MW205422,6,75.232,323,6a,93.538,325,,
MW205423,6,76.757,370,6a,93.750,368,,
MW205424,6,74.405,336,6a,92.560,336,,
MW205425,6,77.419,341,6a,95.342,365,,
MW205426,1,79.302,430,1g,92.326,430,,
MW205427,1,79.817,436,1g,92.202,436,,
MW205428,1,80.275,436,1g,92.202,436,,
MW205429,1,76.279,430,1g,89.535,430,,
MW205430,3,74.174,333,3b,85.185,351,,
MW205431,3,72.549,357,3b,87.328,363,,
MW205432,3,74.652,359,3b,86.685,368,,
MW205433,3,73.720,293,3b,84.566,311,,
MW205434,3,71.886,281,3b,88.291,316,,
MW205435,3,71.913,737,3k,90.508,748,,
MW205436,2,82.175,331,2i,84.592,331,,
MW205437,2,80.374,428,2i,83.747,443,,
MW205438,2,83.988,331,2i,84.592,331,,
MW205439,2,78.540,452,2v,82.522,452,,
MW205440,2,83.082,331,2u,83.587,329,,
MW205441,2,80.174,459,2i,83.514,461,,
MW205442,2,74.755,408,2d,79.756,410,,
MW205443,2,77.778,432,2v,82.063,446,,
MW205444,2,82.558,344,2e,90.173,346,,
MW205445,2,79.956,459,2u,83.224,459,,
MW205446,2,81.882,425,2i,91.375,429,,
MW205447,2,84.870,423,2i,91.943,422,,
MW205448,2,84.688,320,2i,91.250,320,,
MW205449,2,81.004,458,2i,88.865,458,,
MW205450,2,80.706,425,2i,84.000,425,,
MW205451,2,79.680,438,2c,88.356,438,,
MW205452,2,79.266,463,2c,89.655,464,,
MW205453,2,78.478,460,2c,87.284,464,,
MW205454,2,81.779,461,2r,91.361,463,,
MW205455,2,80.952,462,2r,90.713,463,,
MW205456,2,82.393,443,2f,83.973,443,,
MW205457,2,80.126,317,2q,83.175,315,,
MW205458,2,80.952,462,2f,86.853,464,,
MW205459,2,78.139,462,2f,89.224,464,,
MW205460,2,81.798,456,2f,85.934,455,,
MW205461,2,80.952,462,2i,82.505,463,,
MW205462,2,78.994,338,2q,83.436,326,,
MW205463,2,77.419,434,2u,79.032,434,,
MW205464,2,78.556,457,2q,81.739,460,,
MW205465,2,77.027,444,2i,81.279,438,,
MW205466,2,76.573,461,2k,86.422,464,,
MW205467,2,82.887,672,2c,83.905,671,2683-2855,
MW205468,2,82.292,672,2v,83.756,671,2683-2855,
MW205469,2,82.414,671,2v,84.328,670,2683-2855,
MW205470,2,83.360,625,2v,83.520,625,2691-2855,
MW205471,2,84.673,672,2u,86.140,671,2683-2855,
MW205472,2,82.362,669,2c,83.832,668,2683-2855,
MW205473,2,84.418,661,2k,85.930,661,2683-2855,
MW205474,2,83.159,671,2k,92.399,671,2683-2855,
MW205475,2,83.159,671,2k,84.948,671,2683-2855,
MW205476,2,85.097,671,2j,86.736,671,2683-2855,
MW205477,2,83.159,671,2u,84.352,671,2683-2855,
MW205478,2,83.036,672,2j,85.268,672,2683-2855,
MW205479,2,84.054,671,2a,85.991,671,2683-2855,
MW205480,2,80.838,668,2f,89.820,668,2683-2855,
MW205481,2,83.186,678,2f,95.126,677,2683-2855,
MW205482,2,82.861,671,2f,87.034,671,2683-2855,
MW205483,2,82.256,665,2d,86.917,665,2683-2855,
MW205484,2,81.763,658,2d,85.866,658,2683-2855,
MW205485,2,82.116,671,2r,91.654,671,2683-2855,
MW205486,2,82.036,668,2r,89.970,668,2683-2855,
MW205487,2,83.308,671,2q,84.948,671,2683-2855,
MW205488,2,83.159,671,2k,86.289,671,2683-2855,
MW205489,2,83.131,658,2v,85.562,658,2683-2855,
MW205490,2,80.861,674,2v,83.308,671,2683-2855,
MW205491,2,81.915,658,2e,90.274,658,2683-2855,
MW205492,2,82.635,668,2c,93.114,668,2683-2855,
MW205493,2,81.371,671,2c,91.654,671,2683-2855,
MW205494,2,81.571,662,2r,83.384,662,2683-2855,
MW205495,2,83.435,658,2i,91.489,658,2683-2855,
MW205496,2,82.712,671,2i,91.952,671,2683-2855,
MW205497,2,82.219,658,2i,90.578,658,2683-2855,
MW205498,2,83.458,671,2i,90.760,671,2683-2855,
MW205499,3,81.833,611,3b,90.671,611,2684-2855,
MW205500,3,82.787,610,3b,90.164,610,2684-2855,
MW205501,3,82.430,609,3b,93.103,609,2684-2855,
MW205502,3,81.848,617,3b,93.679,617,2684-2855,
MW205503,3,82.658,617,3b,91.086,617,2684-2855,
MW205504,3,81.506,611,3b,92.308,611,2684-2855,
MW205505,3,82.947,604,3b,92.219,604,2686-2855,
MW205506,3,82.701,659,3b,92.109,659,2683-2855,
MW205507,3,82.028,651,3b,90.798,652,2683-2855,
MW221786,4,83.713,307,4d,96.091,307,2744-2846,
MW221787,3,95.440,307,3a,90.584,308,2777-2855,
MW221788,3,96.091,307,3a,92.532,308,2777-2855,
MW221789,3,95.114,307,3a,90.909,308,2777-2855,
MW221790,3,95.765,307,3a,90.909,308,2777-2855,
MW221791,1,95.114,307,1a,94.463,307,2768-2855,
MW221792,3,95.765,307,3a,90.909,308,2777-2855,
MW221793,3,94.788,307,3a,90.584,308,2777-2855,
MW221794,3,95.114,307,3a,90.909,308,2777-2855,
MW221795,3,96.417,307,3a,91.883,308,2777-2855,
MW221796,3,96.091,307,3a,91.883,308,2777-2855,
MW221797,3,95.765,307,3a,90.909,308,2777-2855,
MW221798,4,84.365,307,4d,95.440,307,2744-2846,
MW221799,4,90.099,303,4a,90.099,303,2745-2846,
MW221800,4,90.759,303,4a,90.759,303,2745-2846,
MW221801,3,95.440,307,3a,90.260,308,2777-2855,
MW221802,3,94.137,307,3a,90.541,296,2777-2855,
MW221803,3,94.137,307,3a,91.234,308,2777-2855,
MW221804,3,94.788,307,3a,90.584,308,2777-2855,
MW221805,3,95.765,307,3a,90.909,308,2777-2855,
MW221806,3,95.765,307,3a,92.208,308,2777-2855,
MW221807,1,96.417,307,1a,95.765,307,2768-2855,
MW221808,3,95.440,307,3a,91.234,308,2777-2855,
MW221809,4,84.691,307,4d,96.091,307,2744-2846,
MW221810,3,92.182,307,3a,87.987,308,2777-2855,
MW221811,3,93.485,307,3a,90.260,308,2777-2855,
MW221812,3,92.508,307,3a,88.961,308,2777-2855,
MW221813,3,95.114,307,3a,91.234,308,2777-2855,
MW221814,1,94.788,307,1a,94.137,307,2768-2855,
MW221815,1,94.788,307,1a,94.137,307,2768-2855,
MW221816,3,93.811,307,3a,89.935,308,2777-2855,
MW221817,4,90.429,303,4a,90.429,303,2745-2846,
MW221818,4,84.039,307,4d,95.440,307,2744-2846,
MW221819,3,94.463,307,3a,90.228,307,2777-2855,
MW221820,1,81.788,302,1b,94.788,307,2769-2855,
MW221821,3,93.811,307,3a,89.286,308,2777-2855,
MW234382,2,80.000,310,2b,94.534,311,2773-2855,
MW234383,2,80.000,310,2b,93.248,311,2773-2855,
MW234384,3,92.208,308,3a,89.644,309,2762-2855,
MW234385,3,94.249,313,3a,91.401,314,2760-2855,
MW234386,3,92.857,308,3a,89.968,309,2762-2855,
MW234387,3,92.605,311,3a,89.423,312,2760-2855,
MW234388,3,92.971,313,3a,89.490,314,2760-2855,
MW234389,2,81.290,310,2b,93.569,311,2773-2855,
MW234390,3,93.791,306,3a,91.205,307,2761-2855,
MW234391,2,80.968,310,2b,94.855,311,2773-2855,
MW234392,3,94.551,312,3a,93.291,313,2760-2855,
MW234393,3,92.926,311,3a,89.103,312,2761-2855,
MW234394,3,93.291,313,3a,90.127,314,2760-2855,
MW234395,3,80.519,308,3b,91.234,308,2762-2855,
MW234396,3,93.248,311,3a,91.346,312,2761-2855,
MW234397,3,91.693,313,3a,90.446,314,2760-2855,
MW234398,3,80.000,310,3b,92.027,301,2761-2855,
MW234399,3,92.652,313,3a,89.490,314,2760-2855,
MW234400,3,93.688,301,3a,90.759,303,2764-2855,
MW234401,2,78.205,312,2b,92.926,311,2773-2855,
MW234402,2,80.449,312,2b,95.498,311,2773-2855,
MW234403,3,80.519,308,3b,91.722,302,2762-2855,
MW234404,2,81.935,310,2b,93.248,311,2773-2855,
MW234405,3,91.857,307,3a,88.179,313,2760-2855,
MW234406,3,91.987,312,3a,89.457,313,2760-2855,
MW281563,1,96.234,239,1a,95.397,239,2683-2755,
MW307936,4,81.842,380,4o,93.963,381,2729-2855,
MW357752,1,79.934,608,1b,92.974,612,2683-2848,
MW357753,1,79.934,608,1b,92.974,612,2683-2848,
MW357754,1,79.255,564,1b,90.829,567,2683-2833,
MW357755,1,79.934,608,1b,92.157,612,2683-2848,
MW357756,1,79.822,674,1b,92.464,690,2683-2855,
MW357757,1,80.592,608,1b,92.974,612,2683-2848,
MW357758,1,80.921,608,1b,94.118,612,2683-2848,
MW357759,1,80.428,608,1b,92.647,612,2683-2848,
MW357760,1,80.592,608,1b,92.647,612,2683-2848,
MW357761,1,81.086,608,1b,91.830,612,2683-2848,
MW357762,1,81.414,608,1b,94.281,612,2683-2848,
MW357763,1,80.438,639,1b,93.114,639,2683-2853,
MW357764,1,80.099,608,1b,92.484,612,2683-2848,
MW357765,1,80.428,608,1b,91.830,612,2683-2848,
MW357766,1,81.743,608,1b,92.810,612,2683-2848,
MW357767,1,80.757,608,1b,91.503,612,2683-2848,
MW357768,1,79.868,606,1b,92.459,610,2683-2847,
MW357769,1,78.489,609,1b,91.148,610,2683-2848,
MW357770,1,81.172,563,1b,91.319,576,2683-2833,
MW357771,1,80.488,656,1b,92.683,656,2683-2855,
MW357772,1,80.592,608,1b,92.974,612,2683-2848,
MW357773,1,79.938,648,1b,92.000,650,2683-2853,
MW357774,1,80.680,647,1b,93.509,647,2683-2853,
MW357775,1,80.592,608,1b,91.830,612,2683-2848,
MW357776,1,80.921,608,1b,91.830,612,2683-2848,
MW357777,1,80.401,648,1b,92.462,650,2683-2853,
MW357778,1,80.788,609,1b,92.647,612,2683-2848,
MW357779,1,79.934,608,1b,92.647,612,2683-2848,
MW357780,1,81.086,608,1b,91.830,612,2683-2848,
MW357781,1,80.921,608,1b,93.791,612,2683-2848,
MW357782,1,79.812,639,1b,92.391,644,2683-2853,
MW357783,1,80.345,580,1b,92.321,586,2683-2839,
MW357784,1,80.331,605,1b,92.611,609,2683-2847,
MW357785,1,80.921,608,1b,92.320,612,2683-2848,
MW357786,1,80.597,603,1b,92.484,612,2683-2848,
MW357787,1,80.865,601,1b,93.719,605,2683-2846,
MW357788,1,81.250,608,1b,91.830,612,2683-2848,
MW357789,1,79.636,604,1b,91.283,608,2683-2847,
MW357790,1,81.289,636,1b,93.458,642,2683-2849,
MW357791,1,79.338,634,1b,93.849,634,2683-2848,
MW357792,1,80.639,532,1b,92.871,533,2683-2823,
MW357793,1,76.829,410,1b,90.754,411,,
MW357794,1,78.832,411,1b,91.241,411,,
MW357795,1,78.589,411,1b,92.457,411,,
MW357796,1,78.780,410,1b,91.241,411,,
MW357797,1,79.756,410,1b,93.187,411,,
MW357798,1,79.756,410,1b,93.187,411,,
MW357799,1,78.293,410,1b,91.727,411,,
MW357800,1,78.378,407,1b,93.857,407,,
MW357801,1,78.061,392,1b,91.071,392,,
MW357802,1,78.049,410,1b,91.089,404,,
MW357803,1,80.049,411,1b,91.707,410,,
MW357804,1,78.832,411,1b,94.161,411,,
MW357805,1,79.710,414,1b,93.431,411,,
MW357806,1,78.049,410,1b,92.214,411,,
MW357807,1,79.756,410,1b,93.674,411,,
MW357808,1,78.293,410,1b,92.457,411,,
MW357809,1,80.000,410,1b,93.917,411,,
MW357810,1,78.986,414,1b,90.268,411,,
MW357811,1,78.345,411,1b,93.187,411,,
MW357812,1,78.676,408,1b,91.176,408,,
MW357813,1,77.340,406,1b,92.840,405,,
MW357814,1,79.319,411,1b,92.944,411,,
MZ325443,3,92.871,9455,3a,92.103,9459,2683-2855,
MZ325444,3,92.850,9455,3a,92.082,9459,2683-2855,
MZ327730,3,93.619,9262,3a,92.183,9262,2683-2855,
MZ327731,1,91.981,9228,1a,91.959,9228,2683-2855,
MZ327732,1,94.367,9213,1a,94.302,9213,2683-2855,
MZ327733,1,91.605,9232,1a,91.389,9232,2683-2855,
MZ327734,1,92.979,9215,1a,92.675,9215,2683-2855,
MZ327735,3,93.577,7644,3a,92.089,7648,,
MZ327736,1,91.549,9230,1a,91.769,9233,2683-2855,
MZ327737,1,93.317,9217,1a,93.067,9217,2683-2855,
MZ327738,3,94.188,9257,3a,92.376,9260,2683-2855,
MZ327739,1,93.281,9213,1a,92.923,9213,2683-2855,
MZ327740,1,92.838,9215,1a,92.447,9215,2683-2855,
MZ327741,1,91.627,9232,1a,91.518,9231,2683-2855,
MZ327742,1,92.024,9228,1a,91.797,9228,2683-2855,
MZ327743,1,87.474,9229,1a,87.654,9234,2683-2855,
MZ327744,1,91.959,9228,1a,91.634,9228,2683-2855,
MZ327745,3,92.903,9258,3a,92.539,9261,2683-2855,
MZ327746,1,91.515,9228,1a,91.114,9228,2683-2855,
MZ327747,1,95.246,9213,1a,95.162,9218,2683-2855,
MZ327748,3,93.594,9257,3a,92.883,9260,2683-2855,
MZ327749,1,93.402,9215,1a,93.196,9215,2683-2855,
MZ327750,3,93.811,9259,3a,92.432,9263,2683-2855,
MZ327751,1,93.086,9213,1a,92.749,9213,2683-2855,
MZ327752,4,80.377,9239,4d,94.922,9216,2683-2855,
MZ327753,1,79.160,9242,1b,90.942,9229,2683-2855,
MZ327754,3,93.994,9257,3a,92.333,9261,2683-2855,
MZ327755,2,76.899,9320,2b,91.527,9300,2683-2855,
MZ327756,3,93.034,9259,3a,92.429,9259,2683-2855,
MZ327757,3,92.925,9258,3a,92.213,9259,2683-2855,
MZ327758,1,91.981,9228,1a,91.688,9228,2683-2855,
MZ327759,3,93.077,9259,3a,92.584,9264,2683-2855,
MZ327760,1,93.816,9218,1a,93.480,9218,2683-2855,
MZ327761,1,93.934,9216,1a,93.771,9215,2683-2855,
MZ327762,1,91.349,9236,1a,91.175,9235,2683-2855,
MZ327763,1,92.716,5876,1a,92.495,5876,2683-2855,
MZ327764,3,93.118,9256,3a,92.353,9259,2683-2855,
MZ327765,1,91.791,9234,1a,91.700,9229,2683-2855,
MZ327766,1,92.683,9211,1a,92.400,9210,2683-2855,
MZ327767,1,94.128,9213,1a,93.922,9213,2683-2855,
MZ327768,1,91.785,9203,1a,91.882,9202,2683-2855,
MZ327769,1,79.226,9247,1b,90.603,9237,2683-2855,
MZ327770,1,93.403,9217,1a,93.045,9217,2683-2855,
MZ327771,1,91.495,9230,1a,91.334,9232,2683-2855,
MZ327772,3,92.752,9258,3a,92.203,9260,2683-2855,
MZ327773,3,93.468,9262,3a,92.191,9259,2683-2855,
MZ327774,1,78.467,9251,1b,91.032,9233,2683-2855,
MZ327775,1,78.959,9239,1b,90.853,9227,2683-2855,
MZ327776,1,93.413,9215,1a,93.250,9215,2683-2855,
MZ327777,1,91.334,9232,1a,91.205,9232,2683-2855,
MZ327778,1,94.530,9214,1a,94.346,9214,2683-2855,
MZ327779,3,92.460,9257,3a,91.773,9262,2683-2855,
MZ327780,3,92.762,9257,3a,92.041,9260,2683-2855,
MZ327781,3,93.745,9256,3a,92.084,9260,2683-2855,
MZ327782,1,94.267,9227,1a,94.188,9223,2683-2855,
MZ327783,3,92.418,9259,3a,91.946,9262,2683-2855,
MZ327784,2,77.054,9322,2b,92.107,9299,2683-2855,
MZ327785,1,94.323,9213,1a,94.367,9213,2683-2855,
MZ327786,3,93.258,9256,3a,92.613,9259,2683-2855,
MZ327787,1,95.789,9215,1a,95.323,9215,2683-2855,
MZ327788,1,92.273,9202,1a,92.091,9205,2683-2855,
MZ327789,3,92.382,9267,3a,91.766,9266,2683-2855,
MZ327790,1,91.927,9228,1a,91.645,9228,2683-2855,
MZ327791,1,79.254,9245,1b,90.184,9230,2683-2855,
MZ327792,1,93.359,9216,1a,93.348,9215,2683-2855,
MZ327793,1,93.701,6207,1a,93.862,6207,,
MZ327794,3,93.637,9257,3a,92.063,9261,2683-2855,
MZ327795,1,91.714,9232,1a,91.237,9232,2683-2855,
MZ327796,3,94.568,9260,3a,93.070,9264,2683-2855,
MZ327797,1,91.350,9237,1a,91.487,9233,2683-2855,
MZ327798,1,91.951,9231,1a,91.636,9230,2683-2855,
MZ327799,3,93.692,9258,3a,92.052,9260,2683-2855,
MZ327800,2,76.915,9322,2b,90.914,9300,2683-2855,
MZ356313,1,81.373,306,1b,94.771,306,2765-2855,
MZ356314,2,90.909,330,2a,91.212,330,2780-2855,
MZ356315,1,82.410,307,1d,94.175,309,2765-2855,
MZ356316,1,80.921,304,1d,92.763,304,2765-2855,
MZ356317,2,82.012,328,2i,93.902,328,2783-2855,
MZ356318,1,82.188,320,1d,93.168,322,2763-2855,
MZ356319,1,84.000,300,1d,93.688,301,2763-2855,
MZ356320,1,79.495,317,1b,93.060,317,2763-2855,
MZ356321,2,76.603,312,2l,86.859,312,2785-2855,
MZ356322,3,95.033,302,3a,90.429,303,2776-2855,
MZ356323,1,82.903,310,1d,95.484,310,2765-2855,
MZ356324,1,82.692,312,1d,94.231,312,2763-2855,
MZ356325,2,81.731,312,2i,91.987,312,2787-2855,
MZ356326,2,82.353,306,2i,94.481,308,2787-2855,
MZ356327,1,79.288,309,1b,92.880,309,2765-2855,
MZ356328,2,83.442,308,2i,90.584,308,2788-2855,
MZ356329,1,81.875,320,1d,92.835,321,2763-2855,
MZ356330,1,82.581,310,1b,93.548,310,2766-2855,
MZ356331,2,83.828,303,2i,90.554,307,2788-2855,
PP457742,2,92.183,371,2a,93.801,371,2794-2855,
PP457743,2,91.467,375,2a,92.800,375,2793-2855,
PP457744,2,90.064,312,2a,92.903,310,2794-2855,
PP457745,2,91.560,391,2a,92.583,391,2794-2855,
