Accession,AssignedGenotype,Subtype2aDistance,Subtype2aDistance,Subtype2bDistance,Subtype2bDistance,Subtype2cDistance,Subtype2dDistance,Subtype2eDistance,Subtype2fDistance,Subtype2fDistance,Subtype2iDistance,Subtype2jDistance,Subtype2jDistance,Subtype2kDistance,Subtype2lDistance,Subtype2lDistance,Subtype2mDistance,Subtype2mDistance,Subtype2qDistance,Subtype2qDistance,Subtype2rDistance,Subtype2tDistance,Subtype2uDistance,Subtype2vDistance,FirstChoiceSubtype,FirstChoiceDistance,SecondChoiceSubtype,SecondChoiceDistance
MW205485,2,16.692,16.692,20.654,20.654,18.304,15.499,19.494,17.735,17.735,18.182,16.048,16.048,16.542,23.477,23.477,18.452,18.452,15.201,15.201,8.346,20.268,16.667,17.288,2r,8.346,2q,15.201
MW205486,2,16.766,16.766,20.597,20.597,18.087,16.467,20.628,17.814,17.814,18.563,16.766,16.766,16.916,22.388,22.388,16.891,16.891,15.719,15.719,10.030,20.210,17.066,15.868,2r,10.030,2q,15.719
MW205487,2,16.244,16.244,19.494,19.494,17.735,15.201,18.778,17.411,17.411,17.288,15.499,15.499,15.179,21.280,21.280,16.095,16.095,15.052,15.052,15.946,19.225,15.946,15.201,2q,15.052,2d,15.201
MW205488,2,16.692,16.692,21.694,21.694,16.220,17.884,18.750,16.542,16.542,16.841,14.754,14.754,13.711,22.470,22.470,17.735,17.735,15.625,15.625,16.542,20.417,15.476,15.774,2k,13.711,2j,14.754
MW205489,2,16.261,16.261,19.213,19.213,15.957,17.021,17.173,15.781,15.781,17.021,14.590,14.590,15.046,22.003,22.003,17.173,17.173,15.198,15.198,16.413,19.272,15.198,14.438,2v,14.438,2j,14.590
MW205490,2,18.871,18.871,20.417,20.417,17.979,17.735,19.970,18.601,18.601,19.672,18.425,18.425,17.735,23.994,23.994,17.884,17.884,17.735,17.735,16.990,20.119,17.139,16.692,2v,16.692,2r,16.990
MW205491,2,17.325,17.325,22.121,22.121,18.085,19.301,9.726,17.781,17.781,19.272,17.325,17.325,17.629,23.333,23.333,19.272,19.272,18.845,18.845,18.209,21.244,16.717,15.957,2e,9.726,2v,15.957
MW205492,2,16.592,16.592,16.418,16.418,6.886,16.317,19.012,17.515,17.515,16.317,15.419,15.419,15.868,21.257,21.257,15.994,15.994,17.964,17.964,17.365,19.283,17.515,16.317,2c,6.886,2j,15.419
MW205493,2,17.735,17.735,17.682,17.682,8.346,17.288,18.182,17.884,17.884,16.692,15.946,15.946,16.518,23.065,23.065,17.262,17.262,16.990,16.990,18.480,21.280,18.331,16.692,2c,8.346,2j,15.946
MW205494,2,18.127,18.127,19.608,19.608,16.944,18.154,19.365,19.940,19.940,18.580,17.398,17.398,16.767,24.206,24.206,19.184,19.184,17.095,17.095,16.616,22.542,18.513,18.154,2r,16.616,2k,16.767
MW205495,2,15.957,15.957,20.000,20.000,15.326,16.413,19.301,18.389,18.389,8.511,16.717,16.717,18.237,23.182,23.182,16.413,16.413,18.693,18.693,17.477,20.973,17.173,18.058,2i,8.511,2c,15.326
MW205496,2,16.841,16.841,20.208,20.208,16.220,17.288,18.899,16.542,16.542,8.048,17.288,17.288,16.841,22.288,22.288,15.648,15.648,18.033,18.033,17.288,19.881,17.262,16.518,2i,8.048,2m,15.648
