Accession,ClosestSubtypeAlignedNT,Genotype1Distance,Genotype2Distance,Genotype3Distance,Genotype4Distance,Genotype5Distance,Genotype6Distance,Genotype7Distance,Genotype8Distance,FirstChoiceGenotype,FirstChoiceDistance,SecondChoiceGenotype,SecondChoiceDistance
MW205283,339,31.889,,32.087,17.404,31.321,,31.438,30.315,4,17.404,1,31.889
MW205289,339,31.173,31.325,29.283,19.174,30.769,,32.492,,4,19.174,3,29.283
MW205290,339,30.031,28.085,30.041,18.584,30.579,31.250,30.844,,4,18.584,1,30.031
MW205291,337,30.422,,31.858,18.475,30.000,,,,4,18.475,1,30.422
MW205294,339,32.000,30.859,30.435,16.814,31.746,,,,4,16.814,3,30.435
MW205295,339,32.099,,30.435,16.562,,33.230,29.874,,4,16.562,3,30.435
MW205296,339,30.247,31.871,27.027,17.109,31.518,30.612,32.188,,4,17.109,1,30.247
MW205299,339,31.420,,30.000,18.639,31.034,,,,4,18.639,3,30.000
MW205301,339,29.193,26.761,30.312,16.817,27.749,,,27.660,4,16.817,1,29.193
MW205302,339,30.330,,31.366,16.224,21.818,30.544,30.667,,4,16.224,1,30.330
MW205303,339,29.503,,30.678,16.224,28.063,28.033,31.879,27.064,4,16.224,1,29.503
MW205304,248,28.696,,,18.548,,33.475,,,4,18.548,1,28.696
MW205305,338,29.940,29.961,28.571,15.976,29.762,,,25.106,4,15.976,8,25.106
MW205306,339,26.398,27.586,26.522,15.339,30.450,,30.599,27.311,4,15.339,1,26.398
MW205307,332,24.662,29.870,30.149,16.867,26.877,,29.448,26.267,4,16.867,1,24.662
MW205310,337,28.660,,32.188,17.507,31.395,33.125,30.960,27.273,4,17.507,1,28.660
MW205315,339,29.283,,27.059,15.976,31.418,32.780,,28.794,4,15.976,3,27.059
MW205360,304,30.952,27.586,27.984,19.427,31.502,33.333,,29.493,4,19.427,3,27.984
MW205376,635,29.291,31.767,31.240,21.102,28.326,31.496,33.270,33.124,4,21.102,5,28.326
MW205377,656,29.057,32.367,30.113,20.183,28.267,29.421,34.091,32.067,4,20.183,5,28.267
MW205378,627,29.984,31.569,31.010,21.086,28.250,29.372,34.470,32.962,4,21.086,5,28.250
MW205379,644,27.690,32.733,30.609,19.419,27.357,29.948,,31.288,4,19.419,5,27.357
MW205380,665,30.124,32.887,32.047,21.622,27.055,31.101,35.357,34.478,4,21.622,5,27.055
MW205381,637,26.365,32.949,31.933,18.439,25.912,31.397,32.008,31.513,4,18.439,1,26.365
MW205382,677,26.883,32.689,32.406,19.735,27.354,31.649,33.565,30.133,4,19.735,1,26.883
MW205383,677,27.803,31.111,30.906,18.464,26.431,31.343,33.276,31.805,4,18.464,1,27.803
MW205384,662,28.615,31.960,31.402,21.254,26.546,30.090,33.490,31.390,4,21.254,5,26.546
MW205385,662,29.421,32.481,31.889,22.137,26.697,30.838,32.551,31.839,4,22.137,5,26.697
MW205386,673,26.355,35.207,31.845,16.168,29.061,29.955,33.593,31.454,4,16.168,1,26.355
MW205387,702,26.676,,30.824,14.906,26.743,28.959,32.017,30.925,4,14.906,1,26.676
MW205388,643,28.458,34.812,31.153,15.062,29.767,29.853,33.779,30.901,4,15.062,1,28.458
MW205389,648,30.139,,32.026,17.874,29.276,31.433,35.023,32.873,4,17.874,5,29.276
MW205390,702,27.532,35.177,,15.630,28.876,30.670,34.043,30.159,4,15.630,1,27.532
MW205391,667,31.334,33.681,30.819,22.156,26.987,30.285,35.155,31.343,4,22.156,5,26.987
MW205392,653,26.502,33.747,30.885,24.196,27.412,32.012,35.171,31.659,4,24.196,1,26.502
MW205393,659,25.000,33.837,30.719,22.542,25.870,29.680,34.705,31.411,4,22.542,1,25.000
MW205394,682,26.246,,32.263,24.229,28.382,31.711,34.543,31.433,4,24.229,1,26.246
MW205395,682,25.877,32.653,32.018,24.523,27.353,31.259,34.982,31.618,4,24.523,1,25.877
MW205396,670,28.680,33.740,31.804,22.917,28.006,29.642,31.716,30.104,4,22.917,5,28.006
MW205397,665,29.061,32.689,30.758,22.734,26.975,31.055,31.972,31.111,4,22.734,5,26.975
MW205398,662,29.607,34.049,33.233,23.946,28.550,31.086,32.327,30.330,4,23.946,5,28.550
MW205399,664,26.466,32.727,30.534,23.288,28.659,30.144,32.441,31.373,4,23.288,1,26.466
MW205400,633,28.849,34.127,30.819,24.077,26.861,30.463,32.769,30.551,4,24.077,5,26.861
MW205401,665,27.314,32.170,31.061,24.810,27.744,28.872,31.975,30.194,4,24.810,1,27.314
MW205402,678,28.372,33.431,31.306,25.074,28.018,28.614,32.812,30.454,4,25.074,5,28.018
MW205403,659,26.803,32.829,31.108,23.298,27.921,29.198,32.881,30.560,4,23.298,1,26.803
MW205404,658,25.669,,29.878,22.481,26.982,29.116,31.300,29.027,4,22.481,1,25.669
MW205405,681,30.104,31.865,30.312,22.581,27.571,31.019,33.869,31.556,4,22.581,5,27.571
MW205406,470,29.718,32.618,28.726,19.742,26.608,29.741,,31.767,4,19.742,5,26.608
MW205407,467,28.160,33.333,29.083,19.523,27.455,29.718,32.969,33.184,4,19.523,5,27.455
MW205408,470,28.355,32.688,29.590,19.099,26.906,28.448,32.969,31.385,4,19.099,5,26.906
MW205409,472,28.416,34.194,29.490,20.128,28.188,30.323,,33.113,4,20.128,5,28.188
MW205410,467,29.718,,30.201,20.824,27.991,28.633,33.843,33.333,4,20.824,6,28.633
MW205411,467,28.384,31.897,27.826,18.954,26.030,28.166,33.621,32.321,4,18.954,5,26.030
MW205412,467,27.766,30.258,28.913,17.354,27.088,29.067,33.406,32.181,4,17.354,5,27.088
MW205413,467,27.983,33.482,30.501,19.089,26.862,28.200,,32.880,4,19.089,5,26.862
MW205414,470,28.850,34.234,29.333,21.030,27.354,29.095,35.973,32.819,4,21.030,5,27.354
MW205416,417,30.657,,,29.976,33.575,29.825,,33.432,4,29.976,1,30.657
MW221786,307,28.767,,,16.287,,32.500,29.658,,4,16.287,1,28.767
MW221798,307,27.055,,,15.635,31.330,,,,4,15.635,1,27.055
MW221799,303,28.315,26.512,30.208,9.901,27.083,30.612,,,4,9.901,1,28.315
MW221800,303,28.231,26.636,29.831,9.241,27.225,,,,4,9.241,1,28.231
MW221809,307,27.304,29.572,30.508,15.309,30.303,34.021,,,4,15.309,1,27.304
MW221817,303,29.391,28.037,28.814,9.571,30.000,,,,4,9.571,3,28.814
MW221818,307,29.110,,,15.961,30.932,33.793,,,4,15.961,1,29.110
MW307936,381,29.504,31.332,28.084,18.158,30.990,31.759,29.283,31.937,4,18.158,3,28.084
MZ327752,9216,26.856,27.000,30.797,19.623,28.994,30.050,33.188,29.812,4,19.623,1,26.856
PP484706,284,29.021,28.448,,18.881,29.644,,,32.453,4,18.881,1,29.021
PP484711,284,29.720,29.915,28.788,19.231,,,,30.508,4,19.231,1,29.720
PP484713,286,28.800,28.692,32.000,18.662,24.479,,,29.924,4,18.662,5,24.479
PP484714,286,29.710,31.092,31.408,17.832,28.125,,,,4,17.832,1,29.710
PP484716,286,26.812,29.870,28.920,17.133,27.919,,,25.847,4,17.133,1,26.812
PP484717,286,28.881,30.380,30.545,16.901,26.705,,,28.409,4,16.901,8,28.409
PP484720,284,28.322,,,17.832,,,,,4,17.832,1,28.322
PP484721,284,29.371,,27.798,17.133,,,,,4,17.133,3,27.798
PP484722,275,28.017,28.571,32.331,16.783,26.636,29.185,33.452,28.390,4,16.783,1,28.017
PP484723,286,27.273,28.077,29.603,18.531,28.740,,29.278,,4,18.531,1,27.273
PP484725,284,29.371,,,18.881,,,,31.707,4,18.881,1,29.371
PP484726,286,27.178,29.185,28.571,16.901,25.146,26.846,,28.936,4,16.901,1,27.178
PP484730,284,30.070,,30.075,19.930,28.235,,30.882,30.943,4,19.930,1,30.070
PP484733,284,27.875,,,19.580,26.744,,,,4,19.580,1,27.875
PP484734,284,27.622,,31.522,16.434,30.435,,,30.303,4,16.434,1,27.622
PP484736,284,29.371,,27.798,17.133,,,,,4,17.133,3,27.798
PP484739,284,28.671,,30.435,17.832,32.143,,,29.362,4,17.832,1,28.671
PP484740,280,28.881,30.303,31.317,18.051,28.125,,,,4,18.051,1,28.881
PP484741,275,28.017,28.571,32.331,16.783,26.636,29.185,33.452,28.390,4,16.783,1,28.017
PP484742,284,29.021,,,20.629,27.326,,,,4,20.629,1,29.021
PP484743,284,30.420,,30.072,19.231,31.621,,,30.932,4,19.231,1,30.420
PP484744,286,29.603,29.004,30.712,16.783,28.169,30.370,,28.085,4,16.783,1,29.603
PP484747,280,29.603,29.114,29.818,16.901,28.854,29.167,,29.787,4,16.901,3,29.818
PP484752,286,29.348,30.342,29.730,17.483,29.537,30.833,,,4,17.483,1,29.348
PP484754,286,28.000,27.966,29.682,17.986,31.076,,32.593,26.809,4,17.986,8,26.809
PP484755,284,29.964,,32.734,20.280,28.302,,,,4,20.280,1,29.964
PP484760,284,28.322,,30.545,17.993,,27.815,,30.682,4,17.993,1,28.322
PP484761,284,27.972,29.614,,18.531,28.646,,31.250,29.057,4,18.531,1,27.972
PP484762,286,30.450,32.061,27.841,18.182,29.249,28.870,,25.106,4,18.182,8,25.106
PP484765,284,29.720,30.901,,18.881,30.830,,33.005,,4,18.881,1,29.720
PP484768,286,28.000,29.958,31.636,16.549,27.604,,,28.030,4,16.549,8,28.030
PP484772,284,30.070,28.326,30.435,18.531,32.016,,30.515,31.356,4,18.531,1,30.070
PP484775,286,30.796,32.061,28.409,18.531,29.249,29.289,,25.532,4,18.531,8,25.532
PP484782,286,28.881,29.832,31.884,17.483,30.000,,,,4,17.483,1,28.881
PP484788,284,28.727,,30.686,18.531,30.830,,,30.566,4,18.531,1,28.727
PP484791,284,28.322,,,20.629,30.040,27.273,,,4,20.629,1,28.322
PP484796,286,29.200,27.570,30.742,18.705,25.521,30.000,,29.924,4,18.705,5,25.521
PP484798,280,28.986,,30.909,19.014,,,,28.151,4,19.014,1,28.986
PP484799,286,29.455,,31.047,17.133,29.091,,32.258,,4,17.133,1,29.455
PP484801,284,30.420,29.437,27.273,19.930,28.235,,,28.511,4,19.930,1,30.420
PP484802,286,26.224,28.736,31.359,12.937,27.559,,30.769,,4,12.937,1,26.224
PP484804,284,29.617,,,17.832,27.059,,,32.319,4,17.832,1,29.617
PP484806,286,28.000,30.508,32.000,18.662,28.295,,,27.234,4,18.662,8,27.234
PP484808,284,29.617,29.915,,21.678,26.316,,32.721,31.579,4,21.678,1,29.617
PP484810,286,27.076,28.755,30.314,17.483,28.458,,28.846,27.778,4,17.483,1,27.076
PP484811,284,31.359,,31.461,20.979,26.316,,,30.415,4,20.979,5,26.316
PP484812,284,30.070,30.043,30.216,20.629,30.172,,32.967,,4,20.629,1,30.070
PP484814,284,29.021,28.448,31.408,17.483,32.540,33.146,,30.189,4,17.483,1,29.021
PP484818,286,31.727,,,19.366,30.159,30.417,,28.085,4,19.366,8,28.085
PP484821,275,28.322,,31.047,15.636,29.070,29.876,,27.615,4,15.636,1,28.322
PP484823,284,28.671,,,17.483,28.270,26.667,,30.601,4,17.483,1,28.671
PP484826,286,29.091,31.169,31.250,17.832,28.682,27.917,,29.487,4,17.832,1,29.091
PP484827,284,28.261,29.615,30.686,14.386,29.508,31.330,31.474,28.936,4,14.386,1,28.261
PP484832,284,27.622,,,17.832,29.249,,,,4,17.832,1,27.622
PP484834,284,27.526,,,17.133,28.488,,,,4,17.133,1,27.526
PP484839,284,30.070,,29.964,18.531,30.830,,,32.197,4,18.531,1,30.070
PP484841,286,27.600,28.037,31.449,17.626,26.562,,33.460,,4,17.626,1,27.600
PP484854,284,29.455,27.586,29.964,17.483,29.437,,,,4,17.483,1,29.455
PP484855,286,25.714,28.571,30.662,17.483,26.378,,30.000,28.030,4,17.483,1,25.714
PP484856,284,28.322,27.897,,16.028,29.508,,,32.197,4,16.028,1,28.322
PP484857,286,28.421,,30.325,17.958,30.952,,,29.237,4,17.958,1,28.421
PP484858,284,28.472,29.185,,18.531,25.146,25.166,,,4,18.531,1,28.472
PP484860,284,28.671,28.326,,16.725,30.040,,,32.197,4,16.725,1,28.671
PP484863,284,29.268,,31.159,20.415,30.328,,,30.932,4,20.415,1,29.268
PP484866,284,29.371,,31.955,17.832,31.225,,,29.508,4,17.832,1,29.371
PP484870,284,28.671,,,17.483,31.621,,,31.818,4,17.483,1,28.671
PP484875,284,29.371,,31.522,19.580,33.333,,,26.630,4,19.580,1,29.371
PP583868,298,29.562,30.516,30.872,20.805,29.762,,,27.542,4,20.805,3,30.872
PP583871,298,27.000,29.297,30.537,16.107,27.160,27.386,,29.661,4,16.107,1,27.000
PP583872,298,31.229,,30.464,19.799,26.316,,,,4,19.799,3,30.464
PP583875,298,28.205,32.685,30.233,19.128,28.409,,,27.660,4,19.128,1,28.205
PP583879,294,28.102,28.448,32.313,21.088,29.319,,,,4,21.088,1,28.102
PP583885,298,26.756,30.357,29.000,18.792,29.054,,,29.811,4,18.792,1,26.756
PP583886,298,30.769,,31.599,20.470,25.731,26.490,,31.959,4,20.470,1,30.769
PP583888,298,29.097,,30.375,17.114,31.225,,,29.048,4,17.114,1,29.097
PP583890,298,29.412,30.888,32.667,16.443,29.614,30.833,,27.969,4,16.443,8,27.969
PP583893,298,27.152,30.000,30.100,19.463,28.859,30.364,28.016,28.464,4,19.463,1,27.152
PP583894,298,27.723,29.457,30.333,17.785,27.326,,,,4,17.785,1,27.723
PP583895,298,28.094,30.620,30.435,18.121,29.508,,,29.795,4,18.121,1,28.094
PP583897,298,,26.872,28.667,17.785,20.000,29.297,28.682,29.502,4,17.785,3,28.667
PP583903,298,28.094,,30.769,16.443,29.310,,,32.646,4,16.443,1,28.094
PP583906,298,29.667,,31.333,19.463,26.316,,,32.990,4,19.463,1,29.667
PP583908,298,29.766,,32.107,17.785,30.556,,,33.588,4,17.785,1,29.766
PP583909,298,29.667,,,20.470,28.824,,30.556,29.885,4,20.470,1,29.667
PP583910,298,28.428,,30.100,16.779,30.159,,,30.584,4,16.779,1,28.428
PP583911,298,28.667,,,18.792,25.000,26.000,32.174,30.479,4,18.792,1,28.667
PP583913,298,31.126,,30.769,18.792,31.225,28.477,,31.507,4,18.792,3,30.769
PP583916,298,30.769,,30.769,17.450,24.545,,,30.418,4,17.450,3,30.769
PP583917,298,26.421,29.688,29.766,11.745,28.716,31.301,30.041,29.661,4,11.745,1,26.421
PP583919,298,28.094,,30.435,18.121,30.380,,,30.822,4,18.121,1,28.094
PP583920,298,31.773,30.469,31.353,19.463,,,31.559,31.801,4,19.463,2,30.469
PP583921,298,28.428,29.572,29.766,17.114,27.797,,31.186,,4,17.114,1,28.428
PP583924,298,30.435,29.845,30.435,19.463,31.780,,,30.038,4,19.463,3,30.435
PP583925,298,28.000,27.907,30.435,16.443,28.070,,,31.615,4,16.443,1,28.000
PP583927,298,28.904,31.128,31.773,16.779,28.125,30.252,,26.820,4,16.779,8,26.820
PP583930,298,28.333,32.422,31.438,17.785,28.488,,,31.615,4,17.785,1,28.333
PP583932,298,29.097,31.250,32.886,19.463,28.696,,33.103,,4,19.463,1,29.097
PP583934,298,29.667,,,17.450,30.952,,,31.959,4,17.450,1,29.667
PP583939,298,29.000,30.233,,19.128,26.901,,,31.849,4,19.128,1,29.000
PP583940,298,27.759,,32.107,17.785,28.655,,,30.584,4,17.785,1,27.759
PP583941,298,28.808,29.845,31.773,18.121,29.918,,,30.534,4,18.121,1,28.808
PP583943,298,30.100,29.730,31.734,21.812,27.485,,31.169,30.717,4,21.812,1,30.100
PP583944,298,27.000,29.845,30.100,16.107,30.435,31.667,,29.210,4,16.107,1,27.000
PP583946,298,30.667,31.250,29.667,15.772,29.688,,31.439,30.000,4,15.772,3,29.667
PP583951,298,28.667,,32.215,21.477,27.485,,32.061,31.164,4,21.477,1,28.667
PP583954,298,29.097,,29.431,17.114,25.882,,30.112,30.534,4,17.114,1,29.097
PP583955,298,26.821,29.688,31.104,18.792,30.435,,,28.897,4,18.792,1,26.821
PP583958,298,26.721,28.814,31.438,17.450,25.381,,,27.234,4,17.450,1,26.721
PP583961,298,28.667,31.679,27.759,19.463,22.137,,,30.451,4,19.463,3,27.759
PP583964,298,28.340,29.661,30.100,18.792,26.178,,,26.891,4,18.792,8,26.891
PP583967,298,29.900,,,19.463,27.485,,,31.849,4,19.463,1,29.900
PP583968,298,27.667,29.572,28.333,14.430,27.350,,,,4,14.430,1,27.667
PP583971,298,27.243,,,18.121,25.000,31.970,32.468,29.389,4,18.121,1,27.243
PP583974,298,31.104,30.249,29.000,17.785,28.968,30.705,30.584,30.651,4,17.785,3,29.000
PP583978,298,29.097,,,18.792,30.040,31.687,,30.038,4,18.792,1,29.097
PP583982,298,28.904,30.620,31.000,18.121,,,,30.928,4,18.121,1,28.904
PP583988,298,,,31.507,18.121,31.349,,,30.622,4,18.121,3,31.507
PP583990,298,29.766,,31.104,18.456,30.830,27.815,,31.615,4,18.456,1,29.766
PP583994,298,28.226,28.505,29.866,18.792,27.604,,,27.660,4,18.792,3,29.866
PP583995,298,27.425,30.859,30.537,15.436,25.714,,30.522,28.409,4,15.436,1,27.425
PP584001,298,27.333,30.233,32.550,19.799,30.380,,32.567,31.615,4,19.799,1,27.333
PP584002,298,28.428,,,18.121,31.621,,,,4,18.121,1,28.428
PP584003,298,29.268,28.814,29.431,19.463,29.249,,,,4,19.463,3,29.431
PP584006,298,29.667,29.730,31.104,19.463,30.040,,,30.822,4,19.463,1,29.667
PP584008,298,29.568,29.536,29.431,17.450,28.448,,32.857,,4,17.450,3,29.431
PP584011,298,29.766,30.116,30.100,19.128,29.193,,31.739,31.061,4,19.128,1,29.766
PP584012,298,29.333,29.958,28.571,16.443,26.136,,,29.434,4,16.443,3,28.571
PP584013,298,31.104,,,19.064,30.040,,,31.034,4,19.064,1,31.104
PQ335089,823,25.251,29.289,28.848,8.262,24.914,23.711,30.769,23.580,4,8.262,1,25.251
PQ335090,769,23.238,28.158,23.569,6.242,24.967,25.132,31.516,23.556,4,6.242,1,23.238
PQ335091,1322,25.320,28.754,26.807,7.716,26.697,28.109,30.120,26.806,4,7.716,1,25.320
PQ335092,1322,25.208,28.754,26.260,7.564,26.792,28.033,29.917,26.821,4,7.564,1,25.208
PQ335093,1320,26.189,28.916,26.491,7.197,27.732,28.485,30.346,27.163,4,7.197,1,26.189
PQ335094,1639,25.245,29.896,27.239,8.176,28.370,27.907,31.273,27.578,4,8.176,1,25.245
PQ335095,347,22.063,26.706,21.037,6.916,18.750,24.348,28.431,21.970,4,6.916,5,18.750
PQ335096,348,21.429,27.300,21.264,6.609,18.750,25.287,27.778,23.396,4,6.609,5,18.750
PQ335097,1293,25.637,29.099,26.405,7.966,27.427,27.878,30.023,26.661,4,7.966,1,25.637
PQ335098,563,25.133,28.986,22.363,9.236,23.555,23.312,30.739,22.573,4,9.236,3,22.363
PQ335099,745,24.364,28.773,29.278,8.859,17.560,28.709,31.551,27.754,4,8.859,1,24.364
PQ335100,1322,24.830,28.625,26.938,6.884,26.491,27.703,30.520,26.164,4,6.884,1,24.830
PQ335101,745,24.566,28.914,29.122,8.591,18.155,28.571,31.952,27.817,4,8.591,1,24.566
PQ335102,792,25.441,28.914,24.122,9.470,25.000,23.323,30.895,23.427,4,9.470,1,25.441
PQ335103,317,20.063,26.198,21.136,6.625,18.910,25.000,27.619,22.422,4,6.625,5,18.910
PQ335104,1322,25.132,29.088,26.752,7.489,26.677,27.979,30.346,27.025,4,7.489,1,25.132
PQ335105,333,21.231,25.545,21.922,7.808,18.018,24.316,27.124,22.358,4,7.808,5,18.018
PQ335106,354,21.972,26.479,21.186,8.245,19.345,24.859,27.358,22.878,4,8.245,5,19.345
PQ335107,1322,24.830,28.840,26.848,7.564,26.169,27.925,30.173,26.544,4,7.564,1,24.830
PQ335108,1262,24.678,29.365,27.070,8.003,27.510,28.504,30.624,26.205,4,8.003,1,24.678
PQ335109,333,20.597,26.727,21.538,6.607,18.266,25.225,28.710,22.358,4,6.607,5,18.266
PQ335110,297,21.405,26.042,21.886,7.407,19.529,26.351,28.283,22.430,4,7.407,5,19.529
PQ335111,1322,24.755,28.850,26.185,7.489,26.094,27.648,30.120,26.143,4,7.489,1,24.755
PQ335112,1105,26.373,29.650,29.035,9.231,30.251,30.380,31.475,29.496,4,9.231,1,26.373
PQ335113,905,26.029,29.967,28.366,8.508,29.888,29.780,30.033,29.025,4,8.508,1,26.029
PQ335114,791,25.095,28.592,28.608,8.850,18.654,28.406,30.479,28.223,4,8.850,1,25.095
PQ335115,823,24.654,29.988,23.188,8.748,22.244,24.863,31.095,27.754,4,8.748,1,24.654
PQ335116,318,19.375,26.019,21.069,6.604,18.553,24.528,28.025,22.979,4,6.604,5,18.553
PQ335117,745,25.033,28.773,24.206,8.591,24.924,23.824,30.800,23.529,4,8.591,1,25.033
PQ335118,1322,25.132,28.775,26.130,7.867,26.662,27.732,30.241,26.741,4,7.867,1,25.132
PQ335119,1322,25.509,28.604,26.732,7.186,26.395,27.807,30.196,26.485,4,7.186,1,25.509
PQ335120,1687,24.852,29.318,26.698,7.350,27.771,27.814,31.055,27.047,4,7.350,1,24.852
PQ335121,1321,25.171,29.345,26.225,7.192,26.742,27.828,29.917,26.164,4,7.192,1,25.171
PQ335122,660,22.926,28.205,24.508,5.152,24.508,23.976,31.467,23.875,4,5.152,1,22.926
PQ335123,352,23.864,29.830,25.212,5.114,28.249,22.599,,24.716,4,5.114,6,22.599
PQ335124,654,24.049,29.680,25.191,6.269,26.067,25.305,32.012,25.175,4,6.269,1,24.049
PQ335125,340,21.239,26.706,20.588,6.176,18.750,25.369,28.616,22.568,4,6.176,5,18.750
PQ335126,1322,25.320,28.711,26.672,7.640,26.697,28.184,29.774,26.544,4,7.640,1,25.320
PQ335127,1687,24.808,29.440,27.364,6.817,28.024,28.033,31.037,27.685,4,6.817,1,24.808
PQ335128,1322,24.981,29.076,26.471,7.489,26.491,27.753,30.330,26.021,4,7.489,1,24.981
PQ335129,1322,25.288,28.916,26.502,7.791,26.546,28.658,30.196,26.784,4,7.791,1,25.288
PQ335130,789,25.411,28.491,28.571,8.112,29.143,29.630,30.265,28.183,4,8.112,1,25.411
PQ335131,966,24.845,28.047,25.903,6.729,25.983,26.509,30.705,25.974,4,6.729,1,24.845
PQ335132,1687,24.720,29.127,27.009,7.350,28.040,27.998,31.014,27.623,4,7.350,1,24.720
PQ335133,1322,25.208,28.711,26.506,6.808,26.300,28.109,30.045,26.624,4,6.808,1,25.208
PQ335134,823,24.906,30.233,28.848,8.384,30.760,28.447,30.645,29.576,4,8.384,1,24.906
PQ335135,349,21.143,27.429,20.917,6.590,19.266,24.069,28.344,23.308,4,6.590,5,19.266
PQ335136,1322,25.211,28.840,26.597,7.867,26.538,28.507,30.143,26.938,4,7.867,1,25.211
PQ335137,320,22.118,29.283,21.250,6.875,19.672,23.549,28.622,22.015,4,6.875,5,19.672
PQ335138,1389,24.713,28.170,26.399,7.703,27.017,27.221,30.316,26.484,4,7.703,1,24.713
PQ335139,356,22.000,26.409,20.973,7.865,18.960,25.424,28.302,22.878,4,7.865,5,18.960
PQ335140,1322,24.981,29.248,26.712,7.867,26.074,27.991,30.422,26.667,4,7.867,1,24.981
PQ335141,827,25.503,29.657,28.245,9.069,30.927,28.551,30.731,29.612,4,9.069,1,25.503
PQ335142,790,24.716,28.955,29.209,8.734,17.737,27.826,30.759,27.754,4,8.734,1,24.716
PQ335143,666,24.798,28.672,23.582,5.706,24.701,24.551,30.389,23.973,4,5.706,1,24.798
PQ335144,1687,24.661,28.941,27.246,7.706,28.083,27.880,31.232,27.453,4,7.706,1,24.661
PQ335145,1322,25.509,28.829,26.883,7.337,26.621,28.109,30.120,26.806,4,7.337,1,25.509
PQ335146,1322,25.434,28.679,26.807,7.262,26.471,27.882,30.271,26.565,4,7.262,1,25.434
PQ335147,1305,25.439,29.049,26.392,7.663,26.926,27.864,29.870,26.341,4,7.663,1,25.439
PQ335148,337,20.944,27.003,20.365,6.825,19.266,24.036,28.344,23.171,4,6.825,5,19.266
PQ335149,967,24.948,28.371,25.800,6.929,26.163,26.480,31.141,25.799,4,6.929,1,24.948
PQ335150,642,23.721,28.837,24.106,6.698,25.776,25.311,31.487,24.364,4,6.698,3,24.106
PQ335151,1322,24.906,28.850,26.336,7.489,26.566,27.765,30.219,26.565,4,7.489,1,24.906
PQ335152,1322,25.434,28.625,26.431,7.337,26.792,27.979,30.068,26.581,4,7.337,1,25.434
PQ335153,1322,25.208,28.507,26.471,6.808,26.471,28.302,29.970,26.383,4,6.808,1,25.208
PQ335154,1322,25.358,29.323,26.411,7.867,26.471,28.024,30.422,26.544,4,7.867,1,25.358
PQ335155,326,20.186,26.498,20.615,6.442,18.266,25.000,28.387,21.951,4,6.442,5,18.266
PQ335156,960,25.830,28.308,25.441,7.604,25.969,26.898,31.078,25.943,4,7.604,3,25.441
PQ335157,1687,25.222,28.790,26.982,7.291,28.024,28.496,31.232,27.685,4,7.291,1,25.222
PQ335158,666,22.422,28.102,24.474,6.306,24.850,23.688,30.539,23.459,4,6.306,1,22.422
ON055298,312,28.669,30.739,29.431,15.756,31.602,34.483,,,4,15.756,1,28.669
ON055304,312,28.328,29.183,30.537,14.148,32.468,,27.757,,4,14.148,1,28.328
ON055311,312,26.962,,,16.720,30.085,,29.658,,4,16.720,1,26.962
ON506754,760,29.451,32.524,30.667,20.134,29.023,30.738,34.091,31.046,4,20.134,5,29.023
