Accession,AssignedGenotype,Subtype3aDistance,Subtype3bDistance,Subtype3dDistance,Subtype3eDistance,Subtype3gDistance,Subtype3gDistance,Subtype3hDistance,Subtype3iDistance,Subtype3iDistance,Subtype3kDistance,Subtype3kDistance,FirstChoiceSubtype,FirstChoiceDistance,SecondChoiceSubtype,SecondChoiceDistance
MZ325443,3,7.897,21.702,19.763,20.732,21.740,21.740,27.936,20.594,20.594,25.085,25.085,3a,7.897,3d,19.763
MZ325444,3,7.918,21.723,19.784,20.753,21.781,21.781,27.805,20.615,20.615,25.137,25.137,3a,7.918,3d,19.784
MZ327730,3,7.817,22.047,20.162,20.847,21.071,21.071,27.486,21.083,21.083,25.089,25.089,3a,7.817,3d,20.162
MZ327735,3,7.911,22.624,20.465,21.065,21.819,21.819,28.410,21.502,21.502,25.492,25.492,3a,7.911,3d,20.465
MZ327738,3,7.624,21.637,19.670,20.427,21.117,21.117,27.670,21.165,21.165,24.653,24.653,3a,7.624,3d,19.670
MZ327745,3,7.461,21.896,19.301,20.422,20.821,20.821,27.754,20.585,20.585,24.787,24.787,3a,7.461,3d,19.301
MZ327748,3,7.117,21.841,19.400,20.360,21.031,21.031,27.670,20.725,20.725,24.944,24.944,3a,7.117,3d,19.400
MZ327750,3,7.568,21.741,20.093,20.606,20.742,20.742,27.600,21.250,21.250,24.580,24.580,3a,7.568,3d,20.093
MZ327754,3,7.667,21.696,19.531,20.628,20.888,20.888,27.503,20.639,20.639,24.739,24.739,3a,7.667,3d,19.531
MZ327756,3,7.571,21.916,19.431,20.603,21.025,21.025,27.624,20.498,20.498,25.116,25.116,3a,7.571,3d,19.431
MZ327757,3,7.787,21.773,19.737,20.710,20.973,20.973,27.514,20.889,20.889,24.965,24.965,3a,7.787,3d,19.737
MZ327759,3,7.416,22.123,19.840,20.468,20.966,20.966,27.731,20.822,20.822,24.841,24.841,3a,7.416,3d,19.840
MZ327764,3,7.647,21.469,19.769,20.121,20.770,20.770,27.581,20.546,20.546,24.925,24.925,3a,7.647,3d,19.769
MZ327772,3,7.797,22.106,19.767,20.282,20.832,20.832,27.715,20.377,20.377,24.696,24.696,3a,7.797,3d,19.767
MZ327773,3,7.809,21.984,19.946,20.683,20.845,20.845,27.926,20.884,20.884,25.024,25.024,3a,7.809,3d,19.946
MZ327779,3,8.227,21.764,20.281,20.420,20.945,20.945,27.513,20.712,20.712,24.844,24.844,3a,8.227,3d,20.281
MZ327780,3,7.959,22.046,19.812,20.500,21.167,21.167,27.632,21.237,21.237,25.032,25.032,3a,7.959,3d,19.812
MZ327781,3,7.916,21.762,19.771,20.798,21.252,21.252,27.658,21.156,21.156,25.054,25.054,3a,7.916,3d,19.771
MZ327783,3,8.054,21.576,19.642,20.739,21.169,21.169,27.593,20.300,20.300,24.610,24.610,3a,8.054,3d,19.642
MZ327786,3,7.387,21.817,19.745,20.308,20.939,20.939,27.508,20.917,20.917,24.814,24.814,3a,7.387,3d,19.745
MZ327789,3,8.234,22.071,20.091,20.599,21.294,21.294,28.224,21.097,21.097,25.105,25.105,3a,8.234,3d,20.091
MZ327794,3,7.937,21.640,19.695,20.427,20.799,20.799,27.526,20.716,20.716,24.607,24.607,3a,7.937,3d,19.695
MZ327796,3,6.930,21.312,19.648,20.140,20.651,20.651,27.601,20.814,20.814,24.470,24.470,3a,6.930,3d,19.648
MZ327799,3,7.948,21.485,19.793,20.673,21.033,21.033,27.523,20.827,20.827,25.153,25.153,3a,7.948,3d,19.793
MZ356322,3,9.571,24.422,17.763,20.598,21.192,21.192,26.293,21.739,21.739,27.759,27.759,3a,9.571,3d,17.763
PQ320121,3,19.199,0.707,15.882,18.996,16.490,16.490,21.790,15.485,15.485,19.412,19.412,3b,0.707,3i,15.485
PQ320122,3,5.514,17.312,15.076,17.299,16.109,16.109,23.806,17.299,17.299,21.336,21.336,3a,5.514,3d,15.076
PQ320125,3,19.164,0.815,16.395,19.776,17.023,17.023,21.878,16.208,16.208,19.857,19.857,3b,0.815,3i,16.208
PQ320127,3,19.092,1.032,16.392,19.608,16.512,16.512,22.577,16.202,16.202,19.897,19.897,3b,1.032,3i,16.202
PQ320129,3,19.415,2.339,16.650,19.883,16.959,16.959,23.304,16.277,16.277,19.646,19.646,3b,2.339,3i,16.277
ON055295,3,8.946,21.865,17.949,19.614,20.513,20.513,24.082,21.154,21.154,22.047,22.047,3a,8.946,3d,17.949
ON055301,3,10.543,24.038,17.949,20.382,19.551,19.551,24.490,21.474,21.474,26.174,26.174,3a,10.543,3d,17.949
ON055312,3,10.863,23.077,20.513,19.108,21.795,21.795,27.347,21.795,21.795,26.510,26.510,3a,10.863,3e,19.108
ON506751,3,9.914,26.437,21.552,21.980,23.270,23.270,28.767,26.763,26.763,27.532,27.532,3a,9.914,3d,21.552
ON506758,3,10.505,25.546,19.346,21.038,24.761,24.761,29.635,24.863,24.863,27.310,27.310,3a,10.505,3d,19.346
ON506762,3,8.719,25.251,22.025,21.660,23.455,23.455,29.484,26.022,26.022,26.200,26.200,3a,8.719,3d,22.025
ON506773,3,9.673,27.381,20.444,21.131,22.913,22.913,31.148,26.398,26.398,27.976,27.976,3a,9.673,3e,21.131
ON506779,3,8.846,25.608,20.128,20.844,24.072,24.072,28.699,25.641,25.641,26.726,26.726,3a,8.846,3d,20.128
ON506782,3,9.482,25.769,21.113,20.480,24.840,24.840,28.409,25.385,25.385,26.410,26.410,3a,9.482,3e,20.480
ON506784,3,7.995,24.619,19.797,20.506,22.687,22.687,27.975,23.985,23.985,25.158,25.158,3a,7.995,3d,19.797
ON506790,3,9.326,24.870,20.984,21.189,23.873,23.873,28.608,25.130,25.130,26.194,26.194,3a,9.326,3d,20.984
ON506794,3,9.499,25.032,20.796,20.487,23.620,23.620,29.502,24.390,24.390,26.376,26.376,3a,9.499,3e,20.487
ON506798,3,7.011,24.863,20.106,20.027,22.193,22.193,28.856,22.751,22.751,25.661,25.661,3a,7.011,3d,20.106
ON506800,3,9.371,25.546,20.769,20.999,21.854,21.854,27.934,23.877,23.877,26.829,26.829,3a,9.371,3d,20.769
ON506805,3,8.161,26.357,20.855,20.801,24.968,24.968,29.510,25.259,25.259,27.132,27.132,3a,8.161,3e,20.801
ON506810,3,8.752,25.321,20.721,21.825,22.252,22.252,28.809,23.037,23.037,26.437,26.437,3a,8.752,3d,20.721
ON506813,3,9.011,25.540,20.651,20.275,24.239,24.239,28.446,24.492,24.492,25.761,25.761,3a,9.011,3e,20.275
ON506815,3,8.629,26.845,22.208,19.873,23.828,23.828,29.873,25.381,25.381,27.353,27.353,3a,8.629,3e,19.873
ON506822,3,7.143,24.095,20.592,19.028,22.642,22.642,28.302,23.482,23.482,26.819,26.819,3a,7.143,3e,19.028
ON506825,3,9.204,26.269,21.277,20.771,23.329,23.329,27.980,23.707,23.707,25.696,25.696,3a,9.204,3e,20.771
PQ365498,3,8.611,22.019,20.463,21.019,21.854,21.854,28.350,21.499,21.499,25.431,25.431,3a,8.611,3d,20.463
PQ365501,3,8.639,21.891,19.877,20.617,21.293,21.293,27.790,21.095,21.095,24.865,24.865,3a,8.639,3d,19.877
PQ365502,3,8.062,21.892,19.877,20.785,21.097,21.097,27.951,21.102,21.102,24.955,24.955,3a,8.062,3d,19.877
PQ365504,3,22.504,20.479,22.227,22.904,20.077,20.077,27.679,6.962,6.962,25.249,25.249,3i,6.962,3g,20.077
PQ365505,3,22.050,11.255,21.706,22.884,20.092,20.092,27.354,19.404,19.404,24.743,24.743,3b,11.255,3i,19.404
PQ365506,3,9.086,22.305,20.537,21.220,21.400,21.400,28.265,21.340,21.340,25.259,25.259,3a,9.086,3d,20.537
PQ365508,3,8.540,22.232,20.224,21.032,21.735,21.735,28.195,21.283,21.283,25.109,25.109,3a,8.540,3d,20.224
PQ365509,3,8.019,21.389,19.325,20.255,21.170,21.170,27.610,20.751,20.751,24.828,24.828,3a,8.019,3d,19.325
PQ365511,3,7.880,21.499,19.494,20.285,21.179,21.179,27.664,20.892,20.892,24.833,24.833,3a,7.880,3d,19.494
PQ365512,3,8.392,22.127,19.805,21.079,21.377,21.377,27.877,21.479,21.479,25.148,25.148,3a,8.392,3d,19.805
PQ365513,3,20.483,22.529,17.220,21.489,22.620,22.620,30.643,22.453,22.453,26.355,26.355,3d,17.220,3a,20.483
PQ365514,3,8.754,21.837,19.703,20.645,21.555,21.555,27.569,20.933,20.933,24.849,24.849,3a,8.754,3d,19.703
PQ365515,3,8.810,22.081,20.032,21.014,21.854,21.854,27.887,21.211,21.211,25.154,25.154,3a,8.810,3d,20.032
PQ365517,3,10.618,21.414,19.223,20.769,20.750,20.750,27.712,21.053,21.053,24.958,24.958,3a,10.618,3d,19.223
PQ365518,3,9.314,22.868,20.596,21.675,22.252,22.252,28.579,22.155,22.155,25.624,25.624,3a,9.314,3d,20.596
PQ365519,3,8.412,21.757,19.413,20.227,21.204,21.204,27.334,21.174,21.174,24.757,24.757,3a,8.412,3d,19.413
PQ365520,3,7.911,21.386,19.522,20.727,21.113,21.113,27.932,20.996,20.996,25.597,25.597,3a,7.911,3d,19.522
PQ365521,3,8.210,21.486,19.655,20.671,21.034,21.034,27.815,21.386,21.386,24.865,24.865,3a,8.210,3d,19.655
PQ365522,3,8.110,21.842,19.701,20.598,20.801,20.801,27.889,20.751,20.751,25.064,25.064,3a,8.110,3d,19.701
PQ365523,3,8.979,21.973,19.821,20.761,21.019,21.019,27.633,20.636,20.636,24.804,24.804,3a,8.979,3d,19.821
PQ365524,3,21.245,23.699,20.275,10.691,22.981,22.981,29.277,22.410,22.410,25.885,25.885,3e,10.691,3d,20.275
PQ365525,3,9.488,22.640,20.541,21.448,22.236,22.236,28.605,21.865,21.865,25.423,25.423,3a,9.488,3d,20.541
PQ365526,3,8.493,21.269,19.386,20.560,21.283,21.283,27.774,20.928,20.928,24.764,24.764,3a,8.493,3d,19.386
PQ365528,3,9.061,22.645,20.578,21.527,22.013,22.013,28.235,21.803,21.803,25.651,25.651,3a,9.061,3d,20.578
PQ365529,3,8.078,21.383,19.382,20.510,20.868,20.868,27.653,21.174,21.174,24.742,24.742,3a,8.078,3d,19.382
PQ365530,3,8.564,21.625,19.775,20.544,21.044,21.044,27.463,20.952,20.952,24.756,24.756,3a,8.564,3d,19.775
PQ365531,3,8.177,21.206,19.548,20.356,20.980,20.980,27.480,20.802,20.802,24.663,24.663,3a,8.177,3d,19.548
PQ365532,3,8.034,21.232,19.610,20.360,21.112,21.112,27.081,20.772,20.772,24.488,24.488,3a,8.034,3d,19.610
PQ365534,3,8.682,22.104,20.032,20.987,21.413,21.413,27.962,21.194,21.194,25.473,25.473,3a,8.682,3d,20.032
PQ365535,3,8.191,21.683,19.727,20.504,21.075,21.075,27.393,21.110,21.110,24.923,24.923,3a,8.191,3d,19.727
PQ365536,3,8.141,21.197,19.339,20.453,20.502,20.502,27.338,20.469,20.469,24.449,24.449,3a,8.141,3d,19.339
PQ365537,3,7.950,21.864,19.855,21.263,21.403,21.403,28.606,21.574,21.574,25.479,25.479,3a,7.950,3d,19.855
PQ365538,3,8.223,21.567,19.473,21.178,21.167,21.167,27.381,21.000,21.000,24.804,24.804,3a,8.223,3d,19.473
PQ365539,3,16.859,15.239,16.387,19.233,7.830,7.830,24.068,14.976,14.976,21.125,21.125,3g,7.830,3i,14.976
PQ365540,3,9.060,22.031,20.285,21.468,21.600,21.600,28.345,21.610,21.610,25.229,25.229,3a,9.060,3d,20.285
PQ424136,3,11.144,22.287,18.529,19.231,20.588,20.588,27.193,18.529,18.529,24.556,24.556,3a,11.144,3i,18.529
PQ424137,3,7.670,23.304,18.047,17.353,18.935,18.935,27.114,19.231,19.231,25.294,25.294,3a,7.670,3e,17.353
PQ424138,3,11.437,20.528,15.882,15.976,19.706,19.706,27.697,18.129,18.129,24.340,24.340,3a,11.437,3d,15.882
PQ424139,3,10.850,22.059,15.882,16.568,20.294,20.294,28.280,17.836,17.836,24.633,24.633,3a,10.850,3d,15.882
PQ424140,3,10.850,22.059,15.882,16.568,20.294,20.294,28.280,17.836,17.836,24.633,24.633,3a,10.850,3d,15.882
PQ424141,3,10.850,22.059,15.882,16.568,20.294,20.294,28.280,17.836,17.836,24.633,24.633,3a,10.850,3d,15.882
PQ424142,3,10.850,22.059,15.882,16.568,20.294,20.294,28.280,17.836,17.836,24.633,24.633,3a,10.850,3d,15.882
PQ424143,3,11.144,21.408,18.235,18.343,20.588,20.588,27.485,18.824,18.824,24.556,24.556,3a,11.144,3d,18.235
PQ424144,3,11.144,21.408,18.235,18.343,20.588,20.588,27.485,18.824,18.824,24.556,24.556,3a,11.144,3d,18.235
PQ424145,3,10.264,23.235,18.529,18.529,20.235,20.235,28.655,20.175,20.175,24.375,24.375,3a,10.264,3d,18.529
PQ424146,3,10.264,23.235,18.529,18.529,20.235,20.235,28.655,20.175,20.175,24.375,24.375,3a,10.264,3d,18.529
MT863870,3,8.354,17.476,17.604,21.250,22.850,22.850,28.676,20.792,20.792,23.833,23.833,3a,8.354,3b,17.476
MT863871,3,8.354,17.476,17.604,21.250,22.850,22.850,28.676,20.792,20.792,23.833,23.833,3a,8.354,3b,17.476
MT863872,3,9.223,16.990,17.604,20.773,22.906,22.906,28.571,19.701,19.701,23.383,23.383,3a,9.223,3b,16.990
MT863873,3,9.223,16.990,17.604,20.773,22.906,22.906,28.571,19.701,19.701,23.383,23.383,3a,9.223,3b,16.990
MT863892,3,6.098,18.293,18.582,22.705,22.195,22.195,29.238,20.449,20.449,23.529,23.529,3a,6.098,3b,18.293
MT863893,3,6.098,18.293,18.582,22.705,22.195,22.195,29.238,20.449,20.449,23.529,23.529,3a,6.098,3b,18.293
MT863894,3,8.354,17.476,17.604,21.250,22.850,22.850,28.676,20.792,20.792,23.833,23.833,3a,8.354,3b,17.476
MT863895,3,6.068,17.718,18.582,21.739,22.573,22.573,28.889,19.701,19.701,23.039,23.039,3a,6.068,3b,17.718
MT863902,3,5.097,18.204,18.582,22.464,22.330,22.330,28.501,20.449,20.449,24.020,24.020,3a,5.097,3b,18.204
MT863903,3,6.311,18.689,19.315,21.739,21.117,21.117,29.975,19.950,19.950,23.529,23.529,3a,6.311,3b,18.689
MT863914,3,6.553,19.903,19.315,22.705,22.573,22.573,28.642,21.197,21.197,24.510,24.510,3a,6.553,3d,19.315
MT863915,3,6.295,19.128,19.024,22.410,22.276,22.276,28.818,19.403,19.403,23.716,23.716,3a,6.295,3d,19.024
MT863926,3,6.796,19.417,21.271,23.671,22.816,22.816,29.877,20.698,20.698,24.818,24.818,3a,6.796,3b,19.417
MT863927,3,6.068,18.689,20.538,22.947,22.087,22.087,29.383,19.950,19.950,24.088,24.088,3a,6.068,3b,18.689
MT863928,3,6.553,17.476,20.049,22.222,22.573,22.573,,20.698,20.698,24.265,24.265,3a,6.553,3b,17.476
MT863929,3,6.068,17.233,19.560,21.981,22.330,22.330,29.484,20.449,20.449,24.020,24.020,3a,6.068,3b,17.233
MT863930,3,6.553,19.903,19.315,22.705,22.573,22.573,28.642,21.197,21.197,24.510,24.510,3a,6.553,3d,19.315
MT863931,3,7.039,20.388,19.804,23.188,23.058,23.058,28.889,21.696,21.696,25.000,25.000,3a,7.039,3d,19.804
MT863932,3,8.537,19.756,18.337,22.947,22.772,22.772,28.501,23.192,23.192,24.510,24.510,3a,8.537,3d,18.337
MT863933,3,8.537,19.756,18.337,22.947,22.772,22.772,28.501,23.192,23.192,24.510,24.510,3a,8.537,3d,18.337
MT863936,3,5.583,18.689,19.315,23.786,22.167,22.167,28.501,19.603,19.603,24.816,24.816,3a,5.583,3b,18.689
MT863937,3,5.854,18.537,19.560,22.330,21.707,21.707,29.484,19.451,19.451,24.020,24.020,3a,5.854,3b,18.537
MT863938,3,7.473,26.104,23.137,20.217,22.727,22.727,23.077,27.451,27.451,25.681,25.681,3a,7.473,3e,20.217
MT863939,3,7.473,26.104,23.137,20.217,22.727,22.727,23.077,27.451,27.451,25.681,25.681,3a,7.473,3e,20.217
MT863940,3,9.843,25.381,,17.788,24.303,24.303,25.126,27.982,27.982,23.858,23.858,3a,9.843,3e,17.788
MT863941,3,7.473,26.104,23.137,20.217,22.727,22.727,23.077,27.451,27.451,25.681,25.681,3a,7.473,3e,20.217
MT863960,3,5.694,24.597,22.835,19.134,22.344,22.344,24.696,24.280,24.280,26.070,26.070,3a,5.694,3e,19.134
MT863961,3,5.694,24.597,22.835,19.134,22.344,22.344,24.696,24.280,24.280,26.070,26.070,3a,5.694,3e,19.134
MT863962,3,5.694,24.597,23.228,19.856,22.344,22.344,24.291,24.691,24.691,24.903,24.903,3a,5.694,3e,19.856
MT863963,3,5.694,24.597,23.228,19.856,22.344,22.344,24.291,24.691,24.691,24.903,24.903,3a,5.694,3e,19.856
MT863970,3,9.253,27.016,23.228,20.217,21.887,21.887,25.217,25.417,25.417,27.820,27.820,3a,9.253,3e,20.217
MT863971,3,6.406,23.387,22.835,20.217,20.000,20.000,23.887,23.868,23.868,25.000,25.000,3a,6.406,3e,20.217
MT863982,3,9.253,24.194,21.654,19.495,20.800,20.800,25.911,23.868,23.868,26.692,26.692,3a,9.253,3e,19.495
MT863983,3,9.253,24.194,21.654,19.495,20.800,20.800,25.911,23.868,23.868,26.692,26.692,3a,9.253,3e,19.495
MT863985,3,7.117,25.806,22.047,20.939,22.305,22.305,24.696,23.431,23.431,26.070,26.070,3a,7.117,3e,20.939
MT863994,3,9.747,25.000,22.177,20.714,23.293,23.293,27.126,25.833,25.833,25.000,25.000,3a,9.747,3e,20.714
MT863995,3,8.303,23.790,21.260,19.643,22.727,22.727,26.316,25.000,25.000,24.194,24.194,3a,8.303,3e,19.643
MT863996,3,9.253,27.016,23.228,20.217,21.887,21.887,25.217,25.417,25.417,27.820,27.820,3a,9.253,3e,20.217
MT863997,3,6.406,23.387,22.835,20.217,20.000,20.000,23.887,23.868,23.868,25.000,25.000,3a,6.406,3e,20.217
MT863998,3,10.676,26.210,20.079,20.217,23.843,23.843,23.482,25.197,25.197,26.316,26.316,3a,10.676,3e,20.217
MT863999,3,8.541,24.194,20.866,20.221,20.000,20.000,23.887,24.706,24.706,24.903,24.903,3a,8.541,3e,20.221
MT864000,3,10.676,27.823,23.790,21.033,22.000,22.000,26.087,26.250,26.250,28.571,28.571,3a,10.676,3e,21.033
MT864001,3,9.253,27.016,23.228,20.217,21.887,21.887,25.217,25.417,25.417,27.820,27.820,3a,9.253,3e,20.217
MT864004,3,9.609,24.597,22.835,18.824,19.600,19.600,24.464,,,27.016,27.016,3a,9.609,3e,18.824
MT864005,3,9.609,24.597,22.835,18.824,19.600,19.600,24.464,,,27.016,27.016,3a,9.609,3e,18.824
MT897522,3,9.416,22.697,19.142,19.608,20.195,20.195,27.869,20.195,20.195,24.803,24.803,3a,9.416,3d,19.142
MT897523,3,7.792,24.172,18.212,19.205,20.847,20.847,25.203,21.498,21.498,26.441,26.441,3a,7.792,3d,18.212
