Accession,ClosestSubtypeAlignedNT,AssignedGenotype,Subtype1aDistance,Subtype1aDistance,Subtype1bDistance,Subtype1bDistance,Subtype1cDistance,Subtype1cDistance,Subtype1dDistance,Subtype1eDistance,Subtype1eDistance,Subtype1gDistance,Subtype1gDistance,Subtype1hDistance,Subtype1hDistance,Subtype1iDistance,Subtype1jDistance,Subtype1kDistance,Subtype1lDistance,Subtype1lDistance,Subtype1mDistance,Subtype1mDistance,Subtype1nDistance,Subtype1nDistance,Subtype1oDistance,Subtype1oDistance,FirstChoiceSubtype,FirstChoiceDistance,SecondChoiceSubtype,SecondChoiceDistance
MW357757,612,1,20.066,20.066,7.026,7.026,21.018,21.018,14.542,19.737,19.737,20.588,20.588,20.425,20.425,14.379,19.079,22.204,19.868,19.868,19.243,19.243,19.243,19.243,20.724,20.724,1b,7.026,1d,14.542
MW357758,612,1,19.408,19.408,5.882,5.882,20.236,20.236,13.235,20.230,20.230,19.281,19.281,20.718,20.718,16.013,18.750,22.039,19.333,19.333,19.408,19.408,18.586,18.586,21.546,21.546,1b,5.882,1d,13.235
MW357759,612,1,19.408,19.408,7.353,7.353,20.361,20.361,13.889,20.230,20.230,19.771,19.771,19.576,19.576,14.542,19.243,20.525,20.066,20.066,19.243,19.243,18.092,18.092,20.230,20.230,1b,7.353,1d,13.889
MW357760,612,1,19.408,19.408,7.353,7.353,20.820,20.820,15.196,19.476,19.476,19.771,19.771,20.915,20.915,16.340,17.763,21.546,19.371,19.371,18.421,18.421,18.750,18.750,19.737,19.737,1b,7.353,1d,15.196
MW357761,612,1,19.408,19.408,8.170,8.170,20.820,20.820,15.033,21.875,21.875,21.242,21.242,20.098,20.098,14.052,18.421,22.039,19.426,19.426,18.586,18.586,18.914,18.914,20.724,20.724,1b,8.170,1i,14.052
MW357762,612,1,18.914,18.914,5.719,5.719,20.984,20.984,13.725,19.901,19.901,18.923,18.923,20.555,20.555,15.850,18.750,21.546,19.595,19.595,18.257,18.257,18.586,18.586,21.546,21.546,1b,5.719,1d,13.725
MW357763,639,1,19.562,19.562,6.886,6.886,20.000,20.000,14.085,20.717,20.717,20.031,20.031,19.298,19.298,15.493,18.936,22.222,20.657,20.657,19.092,19.092,19.092,19.092,19.875,19.875,1b,6.886,1d,14.085
MW357764,612,1,20.395,20.395,7.516,7.516,21.148,21.148,13.889,20.395,20.395,20.425,20.425,20.261,20.261,15.033,19.572,22.533,20.101,20.101,18.586,18.586,18.750,18.750,21.217,21.217,1b,7.516,1d,13.889
MW357765,612,1,19.737,19.737,8.170,8.170,21.803,21.803,14.869,21.053,21.053,20.588,20.588,21.569,21.569,16.667,18.750,21.875,19.257,19.257,18.914,18.914,19.737,19.737,21.382,21.382,1b,8.170,1d,14.869
MW357766,612,1,18.750,18.750,7.190,7.190,20.690,20.690,13.399,20.230,20.230,20.098,20.098,20.718,20.718,15.523,18.421,21.546,19.500,19.500,18.257,18.257,19.737,19.737,19.737,19.737,1b,7.190,1d,13.399
MW357767,612,1,19.572,19.572,8.497,8.497,21.148,21.148,14.542,20.230,20.230,20.098,20.098,20.395,20.395,16.340,19.079,21.382,19.702,19.702,18.750,18.750,19.737,19.737,19.572,19.572,1b,8.497,1d,14.542
MW357768,610,1,20.792,20.792,7.541,7.541,21.382,21.382,14.918,20.297,20.297,20.820,20.820,20.627,20.627,15.574,20.132,23.102,20.466,20.466,19.802,19.802,20.132,20.132,20.593,20.593,1b,7.541,1d,14.918
MW357769,610,1,21.839,21.839,8.852,8.852,21.585,21.585,16.066,22.989,22.989,22.295,22.295,22.496,22.496,17.213,20.690,23.481,21.333,21.333,20.197,20.197,21.018,21.018,23.077,23.077,1b,8.852,1d,16.066
MW357770,576,1,18.828,18.828,8.681,8.681,22.339,22.339,14.757,21.314,21.314,20.459,20.459,20.624,20.624,15.451,19.406,22.202,20.360,20.360,18.861,18.861,18.182,18.182,20.280,20.280,1b,8.681,1d,14.757
MW357771,656,1,19.665,19.665,7.317,7.317,20.732,20.732,12.957,19.512,19.512,20.153,20.153,20.579,20.579,15.701,18.721,22.034,21.037,21.037,19.055,19.055,19.695,19.695,21.037,21.037,1b,7.317,1d,12.957
MW357772,612,1,20.066,20.066,7.026,7.026,21.018,21.018,14.542,19.737,19.737,20.588,20.588,20.425,20.425,14.379,19.079,22.204,19.868,19.868,19.243,19.243,19.243,19.243,20.724,20.724,1b,7.026,1d,14.542
MW357773,650,1,19.907,19.907,8.000,8.000,20.276,20.276,12.615,19.055,19.055,19.907,19.907,19.969,19.969,15.385,18.210,21.231,19.846,19.846,18.056,18.056,19.385,19.385,19.538,19.538,1b,8.000,1d,12.615
MW357774,647,1,19.938,19.938,6.491,6.491,19.444,19.444,14.374,20.866,20.866,20.247,20.247,20.525,20.525,14.683,17.311,21.175,20.062,20.062,17.774,17.774,19.320,19.320,21.484,21.484,1b,6.491,1d,14.374
MW357775,612,1,19.572,19.572,8.170,8.170,20.328,20.328,14.706,21.711,21.711,20.588,20.588,19.281,19.281,15.359,19.901,21.875,18.874,18.874,18.421,18.421,19.737,19.737,20.395,20.395,1b,8.170,1d,14.706
MW357776,612,1,19.737,19.737,8.170,8.170,20.164,20.164,14.706,19.572,19.572,20.098,20.098,21.078,21.078,16.013,19.408,21.875,19.371,19.371,18.914,18.914,19.408,19.408,20.888,20.888,1b,8.170,1d,14.706
MW357777,650,1,19.444,19.444,7.538,7.538,19.816,19.816,12.462,20.000,20.000,20.062,20.062,20.123,20.123,15.077,18.210,20.769,19.692,19.692,17.284,17.284,18.462,18.462,19.846,19.846,1b,7.538,1d,12.462
MW357778,612,1,19.376,19.376,7.353,7.353,20.197,20.197,13.866,20.395,20.395,19.935,19.935,19.544,19.544,14.542,19.243,20.361,20.066,20.066,19.048,19.048,18.092,18.092,20.724,20.724,1b,7.353,1d,13.866
MW357779,612,1,20.066,20.066,7.353,7.353,21.148,21.148,15.850,19.804,19.804,20.425,20.425,21.569,21.569,16.340,18.421,22.204,19.088,19.088,19.079,19.079,19.079,19.079,20.395,20.395,1b,7.353,1d,15.850
MW357780,612,1,19.408,19.408,8.170,8.170,20.820,20.820,15.033,21.875,21.875,21.242,21.242,20.098,20.098,14.052,18.421,22.039,19.426,19.426,18.586,18.586,18.914,18.914,20.724,20.724,1b,8.170,1i,14.052
MW357781,612,1,19.408,19.408,6.209,6.209,21.475,21.475,14.216,20.395,20.395,19.413,19.413,21.044,21.044,16.340,19.243,22.039,20.101,20.101,18.750,18.750,19.079,19.079,22.039,22.039,1b,6.209,1d,14.216
MW357782,644,1,20.188,20.188,7.609,7.609,20.465,20.465,14.286,21.175,21.175,20.657,20.657,19.720,19.720,15.839,19.718,22.465,21.277,21.277,19.757,19.757,19.657,19.657,20.031,20.031,1b,7.609,1d,14.286
MW357783,586,1,20.172,20.172,7.679,7.679,21.575,21.575,13.823,20.862,20.862,20.890,20.890,20.137,20.137,15.411,19.138,22.241,19.755,19.755,18.276,18.276,18.448,18.448,20.926,20.926,1b,7.679,1d,13.823
MW357784,609,1,19.835,19.835,7.389,7.389,20.923,20.923,14.614,20.992,20.992,20.033,20.033,19.016,19.016,15.271,18.347,21.782,20.300,20.300,19.339,19.339,18.182,18.182,21.452,21.452,1b,7.389,1d,14.614
MW357785,612,1,19.572,19.572,7.680,7.680,20.820,20.820,14.706,21.217,21.217,19.281,19.281,20.261,20.261,14.706,18.914,22.039,20.695,20.695,19.408,19.408,17.928,17.928,20.395,20.395,1b,7.680,1d,14.706
MW357786,612,1,19.900,19.900,7.516,7.516,20.911,20.911,15.196,19.932,19.932,19.595,19.595,18.992,18.992,15.850,20.067,22.934,20.270,20.270,18.919,18.919,20.232,20.232,19.966,19.966,1b,7.516,1d,15.196
MW357787,605,1,19.634,19.634,6.281,6.281,20.930,20.930,13.719,20.632,20.632,19.339,19.339,20.133,20.133,15.372,18.636,21.797,19.692,19.692,17.304,17.304,18.802,18.802,20.266,20.266,1b,6.281,1d,13.719
MW357788,612,1,19.408,19.408,8.170,8.170,20.164,20.164,13.072,20.559,20.559,19.118,19.118,19.444,19.444,16.176,18.092,21.053,18.377,18.377,18.586,18.586,18.421,18.421,19.408,19.408,1b,8.170,1d,13.072
MW357789,608,1,20.695,20.695,8.717,8.717,20.627,20.627,14.803,20.695,20.695,20.066,20.066,21.298,21.298,16.941,19.371,22.848,20.333,20.333,19.868,19.868,20.033,20.033,21.157,21.157,1b,8.717,1d,14.803
MW357790,642,1,19.182,19.182,6.542,6.542,20.597,20.597,13.396,19.843,19.843,19.969,19.969,20.565,20.565,15.409,18.396,21.384,20.315,20.315,18.553,18.553,18.868,18.868,20.126,20.126,1b,6.542,1d,13.396
MW357791,634,1,20.978,20.978,6.151,6.151,20.945,20.945,13.407,20.032,20.032,20.347,20.347,19.528,19.528,14.511,18.770,21.767,19.874,19.874,18.770,18.770,18.454,18.454,20.695,20.695,1b,6.151,1d,13.407
MW357792,533,1,19.361,19.361,7.129,7.129,21.576,21.576,13.696,20.638,20.638,20.638,20.638,20.787,20.787,15.572,18.949,21.388,20.644,20.644,17.669,17.669,18.386,18.386,19.887,19.887,1b,7.129,1d,13.696
MW357793,411,1,22.683,22.683,9.246,9.246,22.525,22.525,16.545,22.871,22.871,20.631,20.631,20.195,20.195,11.192,23.114,22.141,21.602,21.602,23.902,23.902,20.681,20.681,21.078,21.078,1b,9.246,1i,11.192
MW357794,411,1,21.707,21.707,8.759,8.759,23.515,23.515,15.815,21.446,21.446,17.961,17.961,19.951,19.951,12.895,22.871,22.141,20.581,20.581,23.058,23.058,22.384,22.384,22.439,22.439,1b,8.759,1i,12.895
MW357795,411,1,22.195,22.195,7.543,7.543,22.772,22.772,16.058,22.871,22.871,21.117,21.117,20.681,20.681,11.922,22.384,21.168,20.339,20.339,23.590,23.590,21.898,21.898,21.951,21.951,1b,7.543,1i,11.922
MW357796,411,1,21.707,21.707,8.759,8.759,22.850,22.850,17.032,21.696,21.696,19.660,19.660,18.978,18.978,14.355,22.141,18.978,21.602,21.602,23.671,23.671,19.465,19.465,20.488,20.488,1b,8.759,1i,14.355
MW357797,411,1,20.976,20.976,6.813,6.813,22.113,22.113,14.112,22.384,22.384,18.447,18.447,19.221,19.221,13.139,22.628,19.951,21.602,21.602,22.330,22.330,20.438,20.438,21.220,21.220,1b,6.813,1i,13.139
MW357798,411,1,20.732,20.732,6.813,6.813,21.376,21.376,16.302,20.925,20.925,18.447,18.447,20.195,20.195,13.139,21.845,20.925,21.117,21.117,20.776,20.776,21.898,21.898,20.732,20.732,1b,6.813,1i,13.139
MW357799,411,1,21.220,21.220,8.273,8.273,22.850,22.850,17.762,23.358,23.358,19.175,19.175,19.708,19.708,13.625,22.384,20.925,24.029,24.029,23.058,23.058,20.681,20.681,21.463,21.463,1b,8.273,1i,13.625
MW357800,407,1,20.885,20.885,6.143,6.143,21.182,21.182,17.690,21.696,21.696,20.098,20.098,20.639,20.639,14.005,22.525,20.393,22.549,22.549,22.549,22.549,20.393,20.393,20.833,20.833,1b,6.143,1i,14.005
MW357801,392,1,22.449,22.449,8.929,8.929,20.725,20.725,16.279,21.173,21.173,19.593,19.593,19.133,19.133,14.541,22.704,21.939,22.646,22.646,21.875,21.875,20.413,20.413,20.833,20.833,1b,8.929,1i,14.541
MW357802,404,1,21.463,21.463,8.911,8.911,23.472,23.472,16.545,21.655,21.655,19.903,19.903,20.925,20.925,13.382,22.141,19.951,24.029,24.029,21.964,21.964,20.925,20.925,21.393,21.393,1b,8.911,1i,13.382
MW357803,410,1,21.220,21.220,8.293,8.293,23.096,23.096,16.585,22.276,22.276,20.925,20.925,19.465,19.465,14.146,23.114,21.951,23.544,23.544,23.002,23.002,20.732,20.732,22.494,22.494,1b,8.293,1i,14.146
MW357804,411,1,21.951,21.951,5.839,5.839,21.867,21.867,16.545,22.141,22.141,18.932,18.932,19.708,19.708,12.409,23.058,20.681,22.573,22.573,23.544,23.544,20.681,20.681,20.732,20.732,1b,5.839,1i,12.409
MW357805,411,1,21.220,21.220,6.569,6.569,21.622,21.622,16.058,22.384,22.384,19.175,19.175,20.195,20.195,14.112,21.602,21.655,22.139,22.139,21.951,21.951,20.681,20.681,20.488,20.488,1b,6.569,1i,14.112
MW357806,411,1,22.439,22.439,7.786,7.786,22.738,22.738,18.248,23.114,23.114,17.718,17.718,21.168,21.168,14.599,23.601,21.898,21.845,21.845,24.515,24.515,21.898,21.898,22.927,22.927,1b,7.786,1i,14.599
MW357807,411,1,20.732,20.732,6.326,6.326,21.040,21.040,13.869,23.114,23.114,17.961,17.961,18.491,18.491,14.112,22.628,21.898,22.573,22.573,23.544,23.544,21.898,21.898,20.000,20.000,1b,6.326,1d,13.869
MW357808,411,1,22.439,22.439,7.543,7.543,22.525,22.525,14.599,22.141,22.141,18.689,18.689,19.708,19.708,14.599,22.384,21.655,23.301,23.301,23.058,23.058,21.898,21.898,22.195,22.195,1b,7.543,1d,14.599
MW357809,411,1,20.488,20.488,6.083,6.083,22.113,22.113,15.815,20.681,20.681,18.204,18.204,18.005,18.005,11.436,21.655,19.708,21.602,21.602,22.573,22.573,19.708,19.708,20.976,20.976,1b,6.083,1i,11.436
MW357810,411,1,21.739,21.739,9.732,9.732,22.359,22.359,17.032,23.913,23.913,20.146,20.146,18.735,18.735,15.085,24.088,23.358,21.550,21.550,24.638,24.638,22.628,22.628,22.195,22.195,1b,9.732,1i,15.085
MW357811,411,1,21.951,21.951,6.813,6.813,21.684,21.684,13.869,22.871,22.871,20.631,20.631,19.221,19.221,12.165,21.168,21.168,21.550,21.550,23.544,23.544,20.681,20.681,20.000,20.000,1b,6.813,1i,12.165
MW357812,408,1,22.059,22.059,8.824,8.824,23.441,23.441,16.912,22.693,22.693,19.154,19.154,20.343,20.343,14.706,22.693,21.945,22.693,22.693,21.516,21.516,21.569,21.569,22.167,22.167,1b,8.824,1i,14.706
MW357813,405,1,22.469,22.469,7.160,7.160,22.139,22.139,15.556,21.945,21.945,18.765,18.765,19.950,19.950,12.593,21.836,20.792,22.660,22.660,23.250,23.250,20.741,20.741,20.297,20.297,1b,7.160,1i,12.593
MW357814,411,1,21.411,21.411,7.056,7.056,22.030,22.030,15.085,23.114,23.114,21.168,21.168,19.951,19.951,13.625,21.655,20.925,23.301,23.301,22.938,22.938,20.925,20.925,19.512,19.512,1b,7.056,1i,13.625
MZ327731,9228,1,8.041,8.041,21.460,21.460,20.299,20.299,21.578,21.761,21.761,21.929,21.929,21.273,21.273,21.434,17.169,16.613,21.782,21.782,16.573,16.573,16.530,16.530,20.279,20.279,1a,8.041,1n,16.530
MZ327732,9213,1,5.698,5.698,20.999,20.999,20.143,20.143,21.828,21.988,21.988,21.939,21.939,21.233,21.233,21.526,16.963,16.741,22.050,22.050,16.845,16.845,16.157,16.157,20.357,20.357,1a,5.698,1n,16.157
MZ327733,9232,1,8.611,8.611,21.754,21.754,20.311,20.311,21.929,21.959,21.959,21.887,21.887,21.402,21.402,21.396,17.066,16.605,21.703,21.703,16.735,16.735,16.548,16.548,20.372,20.372,1a,8.611,1k,16.605
MZ327734,9215,1,7.325,7.325,21.192,21.192,19.909,19.909,21.771,22.187,22.187,21.644,21.644,21.466,21.466,21.633,16.929,16.576,21.266,21.266,16.943,16.943,16.095,16.095,20.550,20.550,1a,7.325,1n,16.095
MZ327736,9233,1,8.231,8.231,21.483,21.483,20.266,20.266,21.932,22.059,22.059,22.033,22.033,21.586,21.586,21.650,17.278,16.230,21.600,21.600,16.503,16.503,16.203,16.203,20.778,20.778,1a,8.231,1k,16.230
MZ327737,9217,1,6.933,6.933,21.311,21.311,20.173,20.173,21.920,22.348,22.348,21.695,21.695,21.425,21.425,21.556,16.791,16.370,21.563,21.563,16.430,16.430,16.175,16.175,20.450,20.450,1a,6.933,1n,16.175
MZ327739,9213,1,7.077,7.077,21.268,21.268,20.189,20.189,21.835,22.252,22.252,22.012,22.012,21.464,21.464,21.310,16.869,16.533,21.347,21.347,16.945,16.945,15.960,15.960,20.671,20.671,1a,7.077,1n,15.960
MZ327740,9215,1,7.553,7.553,21.295,21.295,20.496,20.496,21.715,22.226,22.226,22.144,22.144,21.508,21.508,21.544,16.934,16.696,21.649,21.649,16.789,16.789,16.387,16.387,20.472,20.472,1a,7.553,1n,16.387
MZ327741,9231,1,8.482,8.482,21.722,21.722,20.288,20.288,21.924,22.025,22.025,21.827,21.827,21.541,21.541,21.479,17.026,16.352,21.649,21.649,16.786,16.786,16.515,16.515,20.610,20.610,1a,8.482,1k,16.352
MZ327742,9228,1,8.203,8.203,21.589,21.589,20.197,20.197,21.823,21.878,21.878,21.814,21.814,21.296,21.296,21.682,16.910,16.560,21.539,21.539,16.335,16.335,16.080,16.080,20.225,20.225,1a,8.203,1n,16.080
MZ327743,9234,1,12.346,12.346,17.350,17.350,20.660,20.660,19.952,22.023,22.023,21.437,21.437,20.560,20.560,19.449,18.297,17.655,21.547,21.547,17.911,17.911,17.311,17.311,20.519,20.519,1a,12.346,1n,17.311
MZ327744,9228,1,8.366,8.366,21.459,21.459,20.288,20.288,21.514,22.047,22.047,21.699,21.699,21.356,21.356,21.272,16.993,16.161,21.671,21.671,16.439,16.439,16.344,16.344,20.573,20.573,1a,8.366,1k,16.161
MZ327746,9228,1,8.886,8.886,21.614,21.614,20.206,20.206,21.780,22.220,22.220,21.674,21.674,21.364,21.364,21.594,17.210,16.688,21.785,21.785,16.712,16.712,16.622,16.622,20.058,20.058,1a,8.886,1n,16.622
MZ327747,9218,1,4.838,4.838,20.854,20.854,20.015,20.015,21.704,22.181,22.181,22.014,22.014,21.168,21.168,21.227,16.891,16.367,21.759,21.759,16.618,16.618,16.052,16.052,20.374,20.374,1a,4.838,1n,16.052
MZ327749,9215,1,6.804,6.804,21.233,21.233,20.381,20.381,21.896,22.096,22.096,21.800,21.800,21.533,21.533,21.517,16.564,16.441,21.327,21.327,16.732,16.732,16.119,16.119,20.517,20.517,1a,6.804,1n,16.119
MZ327751,9213,1,7.251,7.251,21.128,21.128,20.304,20.304,21.599,22.059,22.059,21.982,21.982,21.451,21.451,21.656,16.694,16.544,21.437,21.437,16.724,16.724,16.062,16.062,20.347,20.347,1a,7.251,1n,16.062
MZ327753,9229,1,21.045,21.045,9.058,9.058,21.436,21.436,16.488,21.993,21.993,21.507,21.507,19.589,19.589,15.850,21.256,20.792,21.383,21.383,21.091,21.091,20.644,20.644,21.280,21.280,1b,9.058,1i,15.850
MZ327758,9228,1,8.312,8.312,21.454,21.454,20.123,20.123,21.509,22.019,22.019,21.640,21.640,21.391,21.391,21.565,17.149,16.555,21.613,21.613,16.567,16.567,16.358,16.358,20.605,20.605,1a,8.312,1n,16.358
MZ327760,9218,1,6.520,6.520,21.494,21.494,20.269,20.269,21.937,21.875,21.875,21.778,21.778,21.464,21.464,21.296,17.372,16.793,21.770,21.770,16.202,16.202,16.123,16.123,20.463,20.463,1a,6.520,1n,16.123
MZ327761,9215,1,6.229,6.229,21.395,21.395,20.204,20.204,21.717,22.221,22.221,22.161,22.161,21.559,21.559,21.412,17.164,16.862,21.727,21.727,16.786,16.786,16.482,16.482,20.294,20.294,1a,6.229,1n,16.482
MZ327762,9235,1,8.825,8.825,21.729,21.729,20.396,20.396,21.984,22.022,22.022,22.118,22.118,21.380,21.380,21.550,17.374,16.677,21.861,21.861,17.210,17.210,16.382,16.382,20.588,20.588,1a,8.825,1n,16.382
MZ327763,5876,1,7.505,7.505,20.521,20.521,19.660,19.660,20.701,21.246,21.246,21.439,21.439,21.054,21.054,20.799,16.465,15.918,21.075,21.075,16.383,16.383,15.421,15.421,20.139,20.139,1a,7.505,1n,15.421
MZ327765,9229,1,8.300,8.300,21.409,21.409,20.333,20.333,21.837,21.786,21.786,21.916,21.916,21.457,21.457,21.606,17.268,16.849,21.629,21.629,16.670,16.670,16.026,16.026,20.380,20.380,1a,8.300,1n,16.026
