Accession,AssignedGenotype,Subtype4aDistance,Subtype4bDistance,Subtype4cDistance,Subtype4dDistance,Subtype4dDistance,Subtype4fDistance,Subtype4fDistance,Subtype4gDistance,Subtype4kDistance,Subtype4kDistance,Subtype4lDistance,Subtype4mDistance,Subtype4nDistance,Subtype4oDistance,Subtype4pDistance,Subtype4qDistance,Subtype4rDistance,Subtype4sDistance,Subtype4tDistance,Subtype4vDistance,Subtype4vDistance,Subtype4wDistance,Subtype4wDistance,FirstChoiceSubtype,FirstChoiceDistance,SecondChoiceSubtype,SecondChoiceDistance
MW205259,4,15.339,20.414,14.749,15.044,15.044,14.497,14.497,18.584,12.684,12.684,14.159,15.044,19.527,19.174,14.749,17.109,6.490,17.211,16.562,16.814,16.814,20.414,20.414,4r,6.490,4k,12.684
MW205260,4,17.456,23.304,17.500,14.953,14.953,16.265,16.265,20.536,16.564,16.564,14.201,14.953,8.850,16.568,15.680,18.047,17.751,18.398,17.771,14.642,14.642,19.469,19.469,4n,8.850,4l,14.201
MW205261,4,20.710,20.414,18.447,15.858,15.858,19.881,19.881,21.429,18.343,18.343,17.751,20.118,18.639,7.692,14.901,17.751,17.160,19.585,17.476,16.568,16.568,18.935,18.935,4o,7.692,4v,16.568
MW205265,4,17.994,20.710,19.469,17.109,17.109,18.935,18.935,19.764,18.879,18.879,16.814,18.289,19.527,7.965,16.118,18.879,17.699,18.101,18.447,17.699,17.699,19.231,19.231,4o,7.965,4l,16.814
MW205266,4,18.343,23.304,18.343,17.751,17.751,17.404,17.404,22.917,18.750,18.750,14.497,16.272,9.145,18.343,15.680,18.047,18.047,19.881,17.081,15.680,15.680,22.124,22.124,4n,9.145,4l,14.497
MW205267,4,16.814,20.710,17.994,15.625,15.625,15.625,15.625,15.929,7.080,7.080,15.634,16.250,19.174,20.059,14.062,18.584,13.569,19.585,18.125,16.875,16.875,18.639,18.639,4k,7.080,4r,13.569
MW205268,4,17.109,20.944,17.994,12.461,12.461,14.375,14.375,14.861,6.490,6.490,15.634,14.688,17.941,18.879,15.929,17.994,14.159,18.991,16.250,17.188,17.188,17.751,17.751,4k,6.490,4r,14.159
MW205272,4,17.404,20.414,18.584,15.634,15.634,17.804,17.804,20.354,16.519,16.519,15.929,17.404,18.343,7.375,14.474,18.529,16.814,17.507,16.556,16.814,16.814,18.047,18.047,4o,7.375,4d,15.634
MW205273,4,11.799,20.710,4.720,15.044,15.044,17.804,17.804,19.277,17.699,17.699,15.634,15.634,17.456,20.649,17.994,19.174,16.519,18.694,17.665,14.749,14.749,21.239,21.239,4c,4.720,4a,11.799
MW205274,4,10.324,23.669,6.785,14.454,14.454,18.047,18.047,19.880,18.879,18.879,15.044,14.749,19.527,20.354,16.814,20.059,16.224,18.694,16.766,16.224,16.224,20.710,20.710,4c,6.785,4a,10.324
MW205275,4,17.404,21.302,15.634,15.634,15.634,18.047,18.047,18.879,16.814,16.814,8.260,15.044,17.751,18.584,14.454,14.454,17.404,14.540,13.438,12.094,12.094,19.822,19.822,4l,8.260,4v,12.094
MW205276,4,19.288,20.312,19.003,14.062,14.062,16.875,16.875,16.099,6.528,6.528,16.617,15.938,19.512,19.079,16.250,19.585,16.617,17.431,17.812,16.875,16.875,18.692,18.692,4k,6.528,4d,14.062
MW205280,4,17.404,23.669,18.879,14.953,14.953,17.500,17.500,15.929,7.375,7.375,15.339,15.625,19.469,18.584,15.938,20.354,14.749,18.101,18.438,17.188,17.188,19.003,19.003,4k,7.375,4r,14.749
MW205283,4,17.404,18.935,17.994,16.224,16.224,18.047,18.047,15.634,12.389,12.389,13.274,17.812,17.699,19.764,18.584,16.814,14.454,17.507,17.500,15.938,15.938,20.354,20.354,4k,12.389,4l,13.274
MW205289,4,19.174,20.414,19.174,16.224,16.224,15.000,15.000,15.929,10.914,10.914,15.634,16.875,18.289,17.404,16.224,16.814,14.159,18.398,17.812,15.938,15.938,16.814,16.814,4k,10.914,4r,14.159
MW205290,4,18.584,22.189,19.469,15.929,15.929,19.231,19.231,21.471,18.584,18.584,13.274,18.879,17.751,18.289,14.749,7.965,17.109,19.881,14.715,12.979,12.979,19.822,19.822,4q,7.965,4v,12.979
MW205291,4,18.475,18.584,18.289,16.272,16.272,8.309,8.309,18.125,18.209,18.209,16.864,16.864,20.649,22.189,15.315,19.527,17.456,19.881,18.380,17.160,17.160,19.764,19.764,4f,8.309,4p,15.315
MW205294,4,16.814,21.893,17.994,19.174,19.174,19.277,19.277,21.534,18.584,18.584,16.224,18.584,18.639,8.260,16.447,19.118,17.994,21.662,19.417,19.469,19.469,19.231,19.231,4o,8.260,4l,16.224
MW205295,4,16.562,20.938,17.757,15.888,15.888,18.438,18.438,15.339,7.965,7.965,17.994,15.938,19.876,21.829,16.562,20.186,16.814,19.505,18.750,17.500,17.500,20.249,20.249,4k,7.965,4g,15.339
MW205296,4,17.109,22.189,17.500,14.953,14.953,17.804,17.804,14.861,7.375,7.375,16.224,17.699,20.944,20.354,15.888,21.239,15.044,18.991,17.757,19.174,19.174,18.750,18.750,4k,7.375,4r,15.044
MW205299,4,18.639,19.764,18.639,18.343,18.343,8.850,8.850,19.277,18.047,18.047,18.935,17.456,20.059,20.354,18.619,21.302,16.814,20.118,21.562,18.935,18.935,20.944,20.944,4f,8.850,4r,16.814
MW205301,4,16.817,19.820,17.665,14.970,14.970,17.066,17.066,18.438,16.875,16.875,14.062,15.868,19.219,21.321,13.514,16.875,18.018,15.265,7.375,14.671,14.671,21.321,21.321,4t,7.375,4p,13.514
MW205302,4,16.224,21.893,20.059,16.374,16.374,18.619,18.619,19.048,15.894,15.894,15.339,17.404,16.272,12.979,17.109,17.994,18.289,16.556,15.858,17.404,17.404,21.598,21.598,4o,12.979,4l,15.339
MW205303,4,16.224,22.485,17.994,15.634,15.634,17.456,17.456,18.750,16.447,16.447,12.979,16.224,15.680,10.619,14.474,16.814,17.404,16.320,17.417,14.159,14.159,20.710,20.710,4o,10.619,4l,12.979
MW205304,4,18.548,18.776,19.758,12.903,12.903,16.599,16.599,16.935,10.887,10.887,16.129,14.170,18.474,19.574,15.789,16.532,16.129,17.742,17.551,16.599,16.599,19.758,19.758,4k,10.887,4d,12.903
MW205305,4,15.976,19.469,13.213,15.015,15.015,15.634,15.634,19.375,15.976,15.976,11.834,14.715,17.109,17.751,14.201,16.864,14.793,16.024,14.953,14.715,14.715,17.699,17.699,4l,11.834,4c,13.213
MW205306,4,15.339,23.373,16.814,15.044,15.044,16.864,16.864,19.375,17.500,17.500,12.684,14.454,16.519,18.289,16.224,12.979,16.814,16.617,15.569,4.720,4.720,21.534,21.534,4v,4.720,4l,12.684
MW205307,4,16.867,19.880,15.361,15.625,15.625,14.458,14.458,19.003,14.953,14.953,11.145,15.361,14.458,17.434,11.562,14.759,16.216,17.117,14.375,13.253,13.253,17.702,17.702,4l,11.145,4p,11.562
MW205310,4,17.507,20.710,18.694,16.024,16.024,18.398,18.398,22.188,19.062,19.062,13.056,16.320,16.320,20.475,16.320,15.134,17.507,18.694,18.619,10.682,10.682,20.118,20.118,4v,10.682,4l,13.056
MW205315,4,15.976,20.944,14.201,13.905,13.905,15.312,15.312,18.380,17.445,17.445,13.314,15.089,15.634,17.751,15.089,15.385,16.568,17.500,15.015,12.684,12.684,18.421,18.421,4v,12.684,4l,13.314
MW205360,4,19.427,21.019,22.293,17.516,17.516,15.924,15.924,17.516,13.487,13.487,16.561,17.516,19.683,18.750,15.924,18.471,14.331,19.737,18.650,17.105,17.105,21.019,21.019,4k,13.487,4r,14.331
MW205376,4,21.102,20.912,16.484,16.693,16.693,19.843,19.843,20.283,22.992,22.992,14.173,19.370,19.055,19.055,18.082,14.646,21.102,18.583,17.480,12.283,12.283,22.484,22.484,4v,12.283,4l,14.173
MW205377,4,20.183,21.646,17.378,15.701,15.701,19.665,19.665,20.548,21.951,21.951,15.091,20.427,16.006,18.140,17.226,13.110,20.884,19.207,18.902,6.250,6.250,21.494,21.494,4v,6.250,4q,13.110
MW205378,4,21.086,21.497,17.412,17.093,17.093,19.422,19.422,21.246,20.800,20.800,16.613,18.690,19.169,20.767,17.384,14.833,22.400,19.968,19.808,15.630,15.630,22.524,22.524,4q,14.833,4v,15.630
MW205379,4,19.419,21.605,16.539,16.080,16.080,21.440,21.440,20.642,21.254,21.254,14.441,20.061,17.002,19.938,15.926,15.008,20.216,18.070,17.929,14.660,14.660,22.102,22.102,4l,14.441,4v,14.660
MW205380,4,21.622,21.654,18.018,18.045,18.045,21.353,21.353,22.455,23.423,23.423,17.825,20.150,19.699,19.248,16.967,16.842,22.857,20.721,19.850,18.346,18.346,23.158,23.158,4q,16.842,4p,16.967
MW205381,4,18.439,21.575,16.184,18.053,18.053,19.055,19.055,22.484,21.260,21.260,17.896,19.623,19.213,8.477,18.210,17.111,22.520,22.205,20.094,17.425,17.425,21.909,21.909,4o,8.477,4q,17.111
MW205382,4,19.735,21.154,18.060,16.987,16.987,18.289,18.289,21.681,19.527,19.527,17.725,18.907,18.935,8.272,18.021,15.828,22.337,21.006,18.907,16.224,16.224,20.562,20.562,4o,8.272,4q,15.828
MW205383,4,18.464,21.208,15.764,18.195,18.195,19.527,19.527,22.206,21.355,21.355,16.839,20.562,17.308,9.749,18.021,15.868,23.225,22.041,18.021,15.419,15.419,21.598,21.598,4o,9.749,4v,15.419
MW205384,4,21.254,20.091,17.825,17.069,17.069,21.450,21.450,21.362,21.142,21.142,19.033,20.846,19.940,17.372,18.127,16.616,22.508,20.695,19.637,17.069,17.069,21.752,21.752,4q,16.616,4v,17.069
MW205385,4,22.137,22.205,19.637,18.580,18.580,21.903,21.903,22.810,21.719,21.719,18.278,23.263,19.486,17.976,18.127,17.771,23.263,21.299,19.486,17.372,17.372,21.601,21.601,4v,17.372,4q,17.771
MW205386,4,16.168,21.311,9.064,18.722,18.722,19.316,19.316,22.585,18.425,18.425,18.871,20.417,18.182,20.268,19.168,16.990,23.031,21.162,20.119,17.437,17.437,21.013,21.013,4c,9.064,4a,16.168
MW205387,4,14.906,21.113,7.265,18.376,18.376,20.370,20.370,20.341,18.803,18.803,15.857,19.116,17.521,19.116,18.402,16.976,21.541,20.655,18.830,16.833,16.833,20.970,20.970,4c,7.265,4a,14.906
MW205388,4,15.062,20.331,8.554,17.885,17.885,20.218,20.218,19.690,17.885,17.885,16.796,19.596,17.785,18.877,18.351,15.708,22.551,20.218,17.785,15.552,15.552,21.928,21.928,4c,8.554,4a,15.062
MW205389,4,17.874,23.765,10.648,19.599,19.599,21.914,21.914,23.313,21.484,21.484,20.370,21.914,20.833,21.451,21.020,20.062,24.575,23.457,21.142,18.981,18.981,23.148,23.148,4c,10.648,4a,17.874
MW205390,4,15.630,23.680,11.254,19.231,19.231,20.228,20.228,21.937,19.943,19.943,18.286,19.686,18.803,20.399,19.401,17.689,24.108,21.795,20.970,18.260,18.260,22.254,22.254,4c,11.254,4a,15.630
MW205391,4,22.156,22.939,18.891,20.090,20.090,21.805,21.805,22.857,20.746,20.746,19.365,20.390,18.647,19.790,16.042,17.241,23.759,21.053,10.495,17.091,17.091,23.077,23.077,4t,10.495,4p,16.042
MW205392,4,24.196,25.076,23.242,22.052,22.052,22.511,22.511,20.827,18.989,18.989,22.205,23.890,23.277,23.890,22.358,21.593,10.260,25.574,23.628,21.899,21.899,24.349,24.349,4r,10.260,4k,18.989
MW205393,4,22.542,23.636,21.093,21.212,21.212,21.515,21.515,19.272,17.121,17.121,20.637,23.065,21.364,22.610,20.606,19.697,9.408,23.939,22.727,20.000,20.000,21.818,21.818,4r,9.408,4k,17.121
MW205394,4,24.229,23.935,22.141,21.176,21.176,23.021,23.021,20.528,18.622,18.622,21.450,23.852,23.887,24.412,22.727,21.765,11.584,24.926,24.305,21.765,21.765,22.907,22.907,4r,11.584,4k,18.622
MW205395,4,24.523,24.376,22.287,20.882,20.882,22.287,22.287,21.408,19.062,19.062,20.117,22.963,22.997,22.206,20.381,20.441,9.531,23.145,21.176,19.706,19.706,21.618,21.618,4r,9.531,4k,19.062
MW205396,4,22.917,24.776,21.536,20.633,20.633,21.759,21.759,19.851,20.211,20.211,21.311,22.951,22.537,23.363,21.396,22.090,20.448,22.951,23.214,21.461,21.461,22.003,22.003,4g,19.851,4r,20.448
MW205397,4,22.734,25.484,21.013,19.523,19.523,22.255,22.255,19.523,19.672,19.672,18.647,22.355,23.442,22.321,21.311,20.417,20.566,21.875,20.536,21.013,21.013,22.355,22.355,4l,18.647,4k,19.672
MW205398,4,23.946,23.982,22.308,21.116,21.116,21.601,21.601,19.637,19.486,19.486,20.274,22.961,21.382,24.471,21.903,19.789,19.637,24.284,21.719,19.335,19.335,22.427,22.427,4k,19.486,4v,19.335
MW205399,4,23.288,23.263,21.548,19.880,19.880,21.739,21.739,16.616,10.542,10.542,19.512,21.687,20.150,21.212,19.729,20.213,19.428,22.172,21.394,20.633,20.633,21.084,21.084,4k,10.542,4g,16.616
MW205400,4,24.077,22.876,21.521,19.804,19.804,20.706,20.706,18.927,13.586,13.586,19.449,23.878,20.388,22.488,21.669,20.746,21.327,23.463,21.718,21.795,21.795,23.642,23.642,4k,13.586,4g,18.927
MW205401,4,24.810,22.307,20.941,19.727,19.727,20.486,20.486,16.541,9.323,9.323,19.757,22.556,19.850,20.941,18.797,18.361,19.850,21.364,19.449,19.219,19.219,21.700,21.700,4k,9.323,4g,16.541
MW205402,4,25.074,23.304,21.694,20.029,20.029,22.157,22.157,18.584,9.882,9.882,21.131,21.976,18.409,22.619,20.501,20.715,20.796,22.861,21.545,21.386,21.386,22.861,22.861,4k,9.882,4g,18.584
MW205403,4,23.298,22.307,20.455,18.968,18.968,22.307,22.307,17.147,8.346,8.346,19.394,21.244,19.091,20.909,19.575,18.816,20.030,22.576,19.727,18.816,18.816,21.396,21.396,4k,8.346,4g,17.147
MW205404,4,22.481,21.884,20.789,18.750,18.750,19.817,19.817,16.159,9.422,9.422,18.721,20.732,19.635,21.309,18.445,19.055,20.091,21.700,21.037,19.635,19.635,19.970,19.970,4k,9.422,4g,16.159
MW205405,4,22.581,23.971,20.654,19.383,19.383,9.545,9.545,22.907,22.353,22.353,20.602,19.971,21.471,21.314,21.439,20.268,23.971,20.147,22.653,19.530,19.530,21.618,21.618,4f,9.545,4d,19.383
MW205406,4,19.742,22.343,16.809,16.810,16.810,18.502,18.502,19.321,19.205,19.205,19.048,18.925,7.872,18.655,19.604,15.203,21.109,19.528,17.131,14.957,14.957,21.041,21.041,4n,7.872,4v,14.957
MW205407,4,19.523,20.961,16.558,15.835,15.835,18.630,18.630,20.734,18.777,18.777,17.345,17.749,7.066,17.249,18.404,13.333,21.041,18.630,16.129,14.935,14.935,20.087,20.087,4n,7.066,4q,13.333
MW205408,4,19.099,21.041,17.447,16.810,16.810,19.397,19.397,21.019,18.977,18.977,17.316,17.849,7.021,18.062,17.241,13.490,21.748,20.601,17.345,14.624,14.624,20.390,20.390,4n,7.021,4q,13.490
MW205409,4,20.128,21.336,17.834,18.240,18.240,21.459,21.459,20.975,19.205,19.205,19.222,18.925,9.322,18.615,18.884,15.991,22.814,20.299,18.550,14.894,14.894,22.944,22.944,4n,9.322,4v,14.894
MW205410,4,20.824,21.179,18.495,19.089,19.089,19.956,19.956,21.842,20.343,20.343,18.736,19.048,9.208,18.341,20.177,15.948,23.555,20.734,18.966,16.989,16.989,21.397,21.397,4n,9.208,4q,15.948
MW205411,4,18.954,20.306,16.100,16.739,16.739,19.438,19.438,20.726,17.354,17.354,16.916,16.304,8.137,19.069,17.849,15.652,19.869,17.467,17.467,15.000,15.000,20.087,20.087,4n,8.137,4v,15.000
MW205412,4,17.354,20.742,13.763,16.703,16.703,19.957,19.957,19.914,18.630,18.630,15.686,17.532,8.994,17.517,17.354,13.362,21.627,19.870,16.810,14.069,14.069,20.524,20.524,4n,8.994,4q,13.362
MW205413,4,19.089,23.144,18.065,17.570,17.570,18.655,18.655,20.940,18.201,18.201,18.519,18.398,8.779,18.847,19.523,17.457,20.557,19.870,19.397,17.100,17.100,20.087,20.087,4n,8.779,4v,17.100
MW205414,4,21.030,23.427,19.397,20.474,20.474,21.277,21.277,21.842,21.075,21.075,20.851,18.495,10.851,21.041,20.474,18.590,22.894,21.915,19.872,18.495,18.495,22.993,22.993,4n,10.851,4q,18.590
MW205416,4,29.976,30.288,27.317,26.619,26.619,31.894,31.894,30.238,29.017,29.017,27.970,28.846,29.736,28.883,26.277,29.268,31.010,30.048,29.756,29.512,29.512,31.971,31.971,4d,26.619,4p,26.277
MW221786,4,16.287,19.178,16.287,3.909,3.909,16.554,16.554,20.339,11.525,11.525,14.237,14.984,18.305,16.846,14.426,16.552,16.938,16.612,15.101,14.851,14.851,18.627,18.627,4d,3.909,4k,11.525
MW221798,4,15.635,17.808,14.332,4.560,4.560,15.878,15.878,18.644,12.881,12.881,14.237,14.658,15.932,18.919,14.754,16.207,17.264,16.938,14.430,15.512,15.512,16.993,16.993,4d,4.560,4k,12.881
MW221799,4,9.901,21.242,13.201,15.120,15.120,15.512,15.512,18.089,17.726,17.726,14.901,14.527,18.771,18.213,15.517,17.915,16.172,18.212,18.557,16.287,16.287,18.836,18.836,4a,9.901,4c,13.201
MW221800,4,9.241,20.068,12.211,16.172,16.172,16.172,16.172,18.482,17.785,17.785,14.238,14.191,18.812,18.812,16.225,18.893,15.842,18.543,17.182,16.938,16.938,18.771,18.771,4a,9.241,4c,12.211
MW221809,4,15.309,17.466,14.332,3.909,3.909,15.541,15.541,18.983,10.847,10.847,12.881,14.007,14.915,16.892,13.443,14.828,15.961,16.287,13.758,13.531,13.531,16.993,16.993,4d,3.909,4k,10.847
MW221817,4,9.571,18.983,12.541,15.842,15.842,14.145,14.145,17.466,18.493,18.493,16.225,15.512,20.137,17.143,16.207,19.544,16.151,18.874,19.728,17.590,17.590,20.408,20.408,4a,9.571,4c,12.541
MW221818,4,15.961,18.151,15.635,4.560,4.560,16.216,16.216,20.339,11.525,11.525,12.881,13.029,16.271,17.905,14.754,15.172,17.264,16.938,13.758,14.851,14.851,16.993,16.993,4d,4.560,4k,11.525
MW307936,4,18.158,21.842,18.110,16.798,16.798,19.737,19.737,19.685,18.635,18.635,16.273,17.895,18.110,6.037,17.585,16.842,17.848,20.735,20.472,16.053,16.053,20.472,20.472,4o,6.037,4v,16.053
MZ327752,4,19.623,21.879,18.910,5.078,5.078,19.517,19.517,21.826,20.819,20.819,18.125,19.311,19.801,19.220,19.400,18.401,21.384,20.236,19.989,18.654,18.654,21.598,21.598,4d,5.078,4l,18.125
PP484706,4,18.881,19.014,17.483,16.000,16.000,6.690,6.690,20.290,18.116,18.116,14.685,14.909,18.662,18.919,16.084,19.231,15.679,18.246,18.545,15.636,15.636,19.565,19.565,4f,6.690,4l,14.685
PP484711,4,19.231,17.254,17.832,18.116,18.116,9.859,9.859,21.091,17.455,17.455,17.483,16.197,20.423,22.101,16.783,18.881,16.783,19.366,20.652,17.606,17.606,20.000,20.000,4f,9.859,4m,16.197
PP484713,4,18.662,21.377,17.606,16.197,16.197,16.197,16.197,20.364,17.091,17.091,13.455,15.845,19.580,20.463,11.620,14.545,18.310,16.197,7.692,12.676,12.676,20.357,20.357,4t,7.692,4p,11.620
PP484714,4,17.832,17.754,17.483,14.685,14.685,16.364,16.364,18.116,13.406,13.406,13.043,13.380,16.968,20.727,8.042,15.734,17.483,17.455,13.380,13.732,13.732,17.133,17.133,4p,8.042,4m,13.380
PP484716,4,17.133,17.091,17.133,13.287,13.287,14.545,14.545,16.667,13.043,13.043,11.957,11.871,16.245,20.280,8.042,13.406,14.909,16.000,11.972,10.714,10.714,16.783,16.783,4p,8.042,4v,10.714
PP484717,4,16.901,20.217,16.549,14.789,14.789,18.310,18.310,17.818,17.091,17.091,14.545,16.549,18.881,22.887,13.028,16.000,17.254,17.606,9.091,13.028,13.028,20.357,20.357,4t,9.091,4v,13.028
PP484720,4,17.832,15.845,16.434,15.942,15.942,7.394,7.394,17.455,16.727,16.727,13.986,16.901,17.958,19.305,13.287,18.182,15.035,16.901,17.029,15.845,15.845,20.727,20.727,4f,7.394,4p,13.287
PP484721,4,17.133,16.487,15.580,16.304,16.304,8.099,8.099,17.832,16.364,16.364,15.035,13.768,17.606,19.164,11.957,16.434,13.589,19.565,18.478,15.217,15.217,19.273,19.273,4f,8.099,4p,11.957
PP484722,4,16.783,20.070,18.478,13.455,13.455,14.437,14.437,20.290,17.029,17.029,16.084,12.727,17.958,20.557,15.273,18.531,17.073,18.545,17.818,16.000,16.000,18.841,18.841,4m,12.727,4f,14.437
PP484723,4,18.531,22.101,16.783,17.483,17.483,19.366,19.366,17.422,18.909,18.909,15.734,17.254,20.070,18.182,17.483,17.455,16.783,19.014,18.214,16.901,16.901,22.028,22.028,4l,15.734,4r,16.783
PP484725,4,18.881,15.845,16.000,16.667,16.667,6.338,6.338,18.909,17.455,17.455,17.483,16.667,19.366,20.463,15.217,20.280,15.942,18.116,19.273,17.754,17.754,20.364,20.364,4f,6.338,4b,15.845
PP484726,4,16.901,15.845,17.091,15.580,15.580,6.993,6.993,18.545,16.727,16.727,13.028,14.685,15.493,17.375,13.380,16.197,16.549,16.434,17.391,15.734,15.734,18.545,18.545,4f,6.993,4l,13.028
PP484730,4,19.930,17.958,17.133,17.391,17.391,8.099,8.099,20.629,18.545,18.545,17.832,16.549,20.775,21.678,15.035,20.979,16.783,19.718,21.014,17.958,17.958,18.909,18.909,4f,8.099,4p,15.035
PP484733,4,19.580,16.549,18.118,18.841,18.841,7.042,7.042,20.727,18.545,18.545,17.133,17.606,21.127,21.790,17.133,20.629,17.483,20.423,19.928,18.310,18.310,21.818,21.818,4f,7.042,4b,16.549
PP484734,4,16.434,16.197,17.483,16.304,16.304,3.169,3.169,17.455,18.182,18.182,15.385,15.141,19.014,18.841,15.385,17.483,15.035,19.014,18.841,14.789,14.789,18.545,18.545,4f,3.169,4v,14.789
PP484736,4,17.133,16.487,15.580,16.304,16.304,8.099,8.099,17.832,16.364,16.364,15.035,13.768,17.606,19.164,11.957,16.434,13.589,19.565,18.478,15.217,15.217,19.273,19.273,4f,8.099,4p,11.957
PP484739,4,17.832,16.197,16.084,17.029,17.029,6.338,6.338,18.909,17.818,17.818,16.783,16.197,17.254,19.305,16.084,18.182,16.084,19.366,19.928,16.197,16.197,20.000,20.000,4f,6.338,4r,16.084
PP484740,4,18.051,20.567,18.909,16.071,16.071,17.029,17.029,21.091,18.182,18.182,14.909,15.357,19.784,18.919,15.108,17.455,17.754,19.928,15.884,15.884,15.884,18.116,18.116,4m,15.357,4p,15.108
PP484741,4,16.783,20.070,18.478,13.455,13.455,14.437,14.437,20.290,17.029,17.029,16.084,12.727,17.958,20.557,15.273,18.531,17.073,18.545,17.818,16.000,16.000,18.841,18.841,4m,12.727,4f,14.437
PP484742,4,20.629,19.366,21.329,17.391,17.391,8.803,8.803,21.091,20.000,20.000,17.832,17.254,20.070,21.012,17.133,20.629,19.930,17.958,19.565,17.958,17.958,21.818,21.818,4f,8.803,4p,17.133
PP484743,4,19.231,16.197,17.832,18.841,18.841,8.451,8.451,20.364,18.545,18.545,17.483,17.254,19.718,22.464,17.133,20.280,18.182,20.070,19.565,17.958,17.958,19.273,19.273,4f,8.451,4b,16.197
PP484744,4,16.783,20.357,19.930,16.084,16.084,17.254,17.254,19.636,14.545,14.545,15.035,14.440,17.606,17.391,12.587,17.133,17.754,17.391,17.690,14.801,14.801,19.231,19.231,4p,12.587,4l,15.035
PP484747,4,16.901,20.290,16.197,14.789,14.789,14.789,14.789,17.455,17.818,17.818,13.091,16.197,18.310,21.479,12.676,15.636,18.662,15.493,7.857,11.972,11.972,20.141,20.141,4t,7.857,4v,11.972
PP484752,4,17.483,18.909,19.580,13.636,13.636,16.549,16.549,18.478,14.130,14.130,14.336,14.085,16.549,19.691,9.441,15.385,17.483,17.818,12.950,12.324,12.324,18.531,18.531,4p,9.441,4v,12.324
PP484754,4,17.986,19.565,18.929,15.468,15.468,17.029,17.029,17.091,17.091,17.091,15.636,17.266,18.909,19.844,13.028,16.727,18.116,18.116,9.091,15.714,15.714,19.366,19.366,4t,9.091,4p,13.028
PP484755,4,20.280,17.958,19.636,14.130,14.130,9.859,9.859,19.164,18.909,18.909,18.182,15.580,20.070,20.979,17.391,20.629,18.478,17.391,19.928,15.942,15.942,17.818,17.818,4f,9.859,4d,14.130
PP484760,4,17.993,15.141,17.832,14.855,14.855,9.507,9.507,18.545,17.091,17.091,15.035,17.606,19.366,20.077,13.986,17.483,16.084,18.310,18.116,16.549,16.549,19.636,19.636,4f,9.507,4p,13.986
PP484761,4,18.531,17.254,18.182,15.942,15.942,6.690,6.690,18.545,18.545,18.545,17.483,15.845,21.479,19.691,15.385,20.629,17.133,20.070,19.928,18.662,18.662,20.000,20.000,4f,6.690,4p,15.385
