Accession,CometFullSeqGenotype,CometPerGeneGenotype,FullSeqGenotype,PerGeneGenotype,GenBankGenotype,PresentMethodCount,BlankMethods,DistinctGenotypeCount,GenotypesObserved,AgreementStatus
AY070171,,1,2,1,,3,CometFullSeq;GenBank,2,1;2,AvailableCallsDisagree
AY070172,,1,2,1,,3,CometFullSeq;GenBank,2,1;2,AvailableCallsDisagree
AY070214,,1,2,1,,3,CometFullSeq;GenBank,2,1;2,AvailableCallsDisagree
AY070215,,1,2,1,,3,CometFullSeq;GenBank,2,1;2,AvailableCallsDisagree
HQ537005,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
HQ537006,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
HQ623282,5,5,2,2,2,5,,2,2;5,AllFiveDisagree
HQ623283,6,6,2,2,2,5,,2,2;6,AllFiveDisagree
HQ623293,6,6,2,2,2,5,,2,2;6,AllFiveDisagree
HQ623295,4,4,2,2,2,5,,2,2;4,AllFiveDisagree
HQ623340,2,3,3,3,3,5,,2,2;3,AllFiveDisagree
JF735121,3,3,3,8,3,5,,2,3;8,AllFiveDisagree
JF735124,,2,3,3,3,4,CometFullSeq,2,2;3,AvailableCallsDisagree
PX376056,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
PX376057,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
PX376058,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
PX386968,,3,1,3,3,4,CometFullSeq,2,1;3,AvailableCallsDisagree
PX446221,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
PX446960,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
JX183549,6,6,8,6,6,5,,2,6;8,AllFiveDisagree
JX183554,6,6,8,6,6,5,,2,6;8,AllFiveDisagree
KC844039,6,2,6,6,6,5,,2,2;6,AllFiveDisagree
KC844040,6,2,6,6,6,5,,2,2;6,AllFiveDisagree
KJ470624,6,1,6,6,6,5,,2,1;6,AllFiveDisagree
KJ470625,6,1,6,6,6,5,,2,1;6,AllFiveDisagree
KM102760,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
KM102761,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
KM102762,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
KM102763,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
KM102764,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
KM102765,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
KM102766,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
KM102767,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
KM102768,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
KM102769,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
KM102770,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
KM252793,6,6,1,6,,4,GenBank,2,1;6,AvailableCallsDisagree
KM252796,6,6,1,6,,4,GenBank,2,1;6,AvailableCallsDisagree
KM252798,6,1,8,6,,4,GenBank,3,1;6;8,AvailableCallsDisagree
KM504112,1,1,6,6,,4,GenBank,2,1;6,AvailableCallsDisagree
KM504118,6,1,6,6,,4,GenBank,2,1;6,AvailableCallsDisagree
KM504120,6,2,6,6,,4,GenBank,2,2;6,AvailableCallsDisagree
KM504123,6,6,1,6,6,5,,2,1;6,AllFiveDisagree
KM504124,6,6,1,6,6,5,,2,1;6,AllFiveDisagree
KP162427,1,1,1,1,3,5,,2,1;3,AllFiveDisagree
KY083764,2,2,2,2,4,5,,2,2;4,AllFiveDisagree
LC435024,6,6,1,6,,4,GenBank,2,1;6,AvailableCallsDisagree
KR870888,,1,1,1,4,4,CometFullSeq,2,1;4,AvailableCallsDisagree
KT233290,6,6,6,6,1,5,,2,1;6,AllFiveDisagree
KT233292,3,3,3,3,1,5,,2,1;3,AllFiveDisagree
KT233293,3,3,3,3,1,5,,2,1;3,AllFiveDisagree
KT233294,4,4,4,4,1,5,,2,1;4,AllFiveDisagree
KT233295,6,6,6,6,1,5,,2,1;6,AllFiveDisagree
KT233299,6,6,6,6,1,5,,2,1;6,AllFiveDisagree
KT233300,6,6,6,6,1,5,,2,1;6,AllFiveDisagree
KT595242,5,2,5,5,5,5,,2,2;5,AllFiveDisagree
KU861171,2,1,7,5,7,5,,4,1;2;5;7,AllFiveDisagree
KX092342,2,2,7,1,,4,GenBank,3,1;2;7,AvailableCallsDisagree
KX172138,2,1,7,7,7,5,,3,1;2;7,AllFiveDisagree
ON841576,3,3,3,3,1,5,,2,1;3,AllFiveDisagree
ON841584,1,1,1,1,3,5,,2,1;3,AllFiveDisagree
