Accession,CometFullSeqGenotype,CometPerGeneGenotype,FullSeqGenotype,PerGeneGenotype,GenBankGenotype,PresentMethodCount,BlankMethods,DistinctGenotypeCount,GenotypesObserved,AgreementStatus
MF986939,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
MF986940,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
MF986947,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
PP164867,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
PP164868,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
PP164869,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
PP164870,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
PP164871,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
PP164872,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
PP164873,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
PP164874,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
PP164908,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
PP164962,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
PP092205,6,3,8,8,,4,GenBank,3,3;6;8,AvailableCallsDisagree
PP092206,6,3,8,8,,4,GenBank,3,3;6;8,AvailableCallsDisagree
PP092207,6,6,5,6,,4,GenBank,2,5;6,AvailableCallsDisagree
PP092208,6,3,8,8,,4,GenBank,3,3;6;8,AvailableCallsDisagree
MG878999,1,6,6,6,,4,GenBank,2,1;6,AvailableCallsDisagree
MH192045,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MH192060,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MH192069,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MH192090,2,2,2,2,3,5,,2,2;3,AllFiveDisagree
MH192111,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MH192112,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MH192120,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MH192159,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MH192177,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MH192201,1,1,1,1,6,5,,2,1;6,AllFiveDisagree
MH192208,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MH192266,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MH192279,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MH192281,6,6,7,7,6,5,,2,6;7,AllFiveDisagree
MH192308,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MH298133,6,6,7,7,6,5,,2,6;7,AllFiveDisagree
MH298134,6,6,7,7,6,5,,2,6;7,AllFiveDisagree
MH298136,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MH298137,4,4,8,8,6,5,,3,4;6;8,AllFiveDisagree
MH298138,6,6,7,7,6,5,,2,6;7,AllFiveDisagree
MH298139,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MH298141,6,6,7,7,6,5,,2,6;7,AllFiveDisagree
MH298142,6,6,7,7,6,5,,2,6;7,AllFiveDisagree
MH298143,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MH298144,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MH298145,6,6,7,7,6,5,,2,6;7,AllFiveDisagree
MH298149,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MH298150,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MH298152,6,6,7,7,6,5,,2,6;7,AllFiveDisagree
MH298153,6,6,7,7,6,5,,2,6;7,AllFiveDisagree
MH298155,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MH298156,6,6,7,7,6,5,,2,6;7,AllFiveDisagree
MH298158,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MH298159,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MH298162,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MH298164,6,6,7,7,6,5,,2,6;7,AllFiveDisagree
MH298167,4,4,8,8,6,5,,3,4;6;8,AllFiveDisagree
MH298170,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MH298175,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MH298176,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MH298178,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MH298179,6,6,3,3,6,5,,2,3;6,AllFiveDisagree
MH298182,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MH298184,6,6,7,7,6,5,,2,6;7,AllFiveDisagree
MH298185,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MH298186,6,6,7,7,6,5,,2,6;7,AllFiveDisagree
MH298187,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MH298189,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MH298190,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MH590698,,6,8,8,8,4,CometFullSeq,2,6;8,AvailableCallsDisagree
MH590699,,6,8,8,8,4,CometFullSeq,2,6;8,AvailableCallsDisagree
MH590700,,2,8,8,8,4,CometFullSeq,2,2;8,AvailableCallsDisagree
MH590701,,6,8,8,8,4,CometFullSeq,2,6;8,AvailableCallsDisagree
MH607770,3,3,3,3,4,5,,2,3;4,AllFiveDisagree
MH940292,3,3,7,7,7,5,,2,3;7,AllFiveDisagree
D17494,6,6,7,7,,4,GenBank,2,6;7,AvailableCallsDisagree
D84263,6,6,8,6,,4,GenBank,2,6;8,AvailableCallsDisagree
DQ001201,3,3,3,3,1,5,,2,1;3,AllFiveDisagree
DQ155521,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
DQ155526,6,6,7,7,,4,GenBank,2,6;7,AvailableCallsDisagree
DQ155541,6,6,8,8,,4,GenBank,2,6;8,AvailableCallsDisagree
DQ155542,6,6,8,8,,4,GenBank,2,6;8,AvailableCallsDisagree
DQ155551,6,6,7,7,,4,GenBank,2,6;7,AvailableCallsDisagree
DQ155560,,6,2,6,2,4,CometFullSeq,2,2;6,AvailableCallsDisagree
DQ179117,6,6,3,3,6,5,,2,3;6,AllFiveDisagree
DQ220945,4,4,2,2,2,5,,2,2;4,AllFiveDisagree
DQ333662,3,3,3,3,5,5,,2,3;5,AllFiveDisagree
DQ364460,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
DQ417439,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
DQ417440,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
DQ417441,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
DQ417442,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
DQ417443,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
DQ417444,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
DQ417445,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
DQ417446,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
DQ417447,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
DQ417448,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
DQ417449,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
DQ417450,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
DQ417451,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
DQ417452,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
DQ640366,6,6,1,1,,4,GenBank,2,1;6,AvailableCallsDisagree
