Accession,CometFullSeqGenotype,CometPerGeneGenotype,FullSeqGenotype,PerGeneGenotype,GenBankGenotype,PresentMethodCount,BlankMethods,DistinctGenotypeCount,GenotypesObserved,AgreementStatus
MK252814,6,6,5,5,,4,GenBank,2,5;6,AvailableCallsDisagree
MK252815,6,6,5,5,,4,GenBank,2,5;6,AvailableCallsDisagree
MK252819,6,6,5,5,,4,GenBank,2,5;6,AvailableCallsDisagree
MK252823,6,6,5,5,,4,GenBank,2,5;6,AvailableCallsDisagree
MK327981,6,1,6,6,6,5,,2,1;6,AllFiveDisagree
MK327987,6,1,6,6,6,5,,2,1;6,AllFiveDisagree
MK327988,6,6,6,5,6,5,,2,5;6,AllFiveDisagree
MK327990,6,3,6,6,6,5,,2,3;6,AllFiveDisagree
MK327993,1,4,6,6,6,5,,3,1;4;6,AllFiveDisagree
MK327995,6,6,6,5,6,5,,2,5;6,AllFiveDisagree
MK327998,6,6,6,5,6,5,,2,5;6,AllFiveDisagree
MK327999,6,1,6,6,6,5,,2,1;6,AllFiveDisagree
MK328001,6,1,6,6,6,5,,2,1;6,AllFiveDisagree
MK328004,6,1,6,6,6,5,,2,1;6,AllFiveDisagree
MK328008,6,6,8,6,6,5,,2,6;8,AllFiveDisagree
MK328012,1,2,6,6,6,5,,3,1;2;6,AllFiveDisagree
MK328020,6,1,6,6,6,5,,2,1;6,AllFiveDisagree
MK328021,6,3,6,6,6,5,,2,3;6,AllFiveDisagree
MK328025,6,1,6,6,6,5,,2,1;6,AllFiveDisagree
MK328026,6,4,6,6,6,5,,2,4;6,AllFiveDisagree
MK548362,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
MK548363,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
MK548364,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
MK548365,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
MK548366,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
MK548367,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
MK548368,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
MK548369,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
MN240359,6,4,6,6,6,5,,2,4;6,AllFiveDisagree
MG000203,4,4,1,1,4,5,,2,1;4,AllFiveDisagree
MG000204,4,4,1,1,4,5,,2,1;4,AllFiveDisagree
MG000217,4,4,1,1,4,5,,2,1;4,AllFiveDisagree
MG000218,4,4,1,1,4,5,,2,1;4,AllFiveDisagree
MG000219,4,4,1,1,4,5,,2,1;4,AllFiveDisagree
MG000220,4,4,1,1,4,5,,2,1;4,AllFiveDisagree
MG000223,4,4,1,1,4,5,,2,1;4,AllFiveDisagree
MG000225,4,4,1,1,4,5,,2,1;4,AllFiveDisagree
MG000226,4,4,1,1,4,5,,2,1;4,AllFiveDisagree
MG000227,4,4,1,1,4,5,,2,1;4,AllFiveDisagree
MG000229,4,4,1,1,4,5,,2,1;4,AllFiveDisagree
MG000234,4,4,1,1,4,5,,2,1;4,AllFiveDisagree
PP092205,6,2,8,8,,4,GenBank,3,2;6;8,AvailableCallsDisagree
PP092206,6,3,8,8,,4,GenBank,3,3;6;8,AvailableCallsDisagree
PP092207,6,1,5,6,,4,GenBank,3,1;5;6,AvailableCallsDisagree
PP092208,6,4,8,5,,4,GenBank,4,4;5;6;8,AvailableCallsDisagree
MG878999,1,1,6,6,,4,GenBank,2,1;6,AvailableCallsDisagree
MH562227,3,4,3,3,3,5,,2,3;4,AllFiveDisagree
MH590698,,2,8,8,8,4,CometFullSeq,2,2;8,AvailableCallsDisagree
MH590699,,3,8,8,8,4,CometFullSeq,2,3;8,AvailableCallsDisagree
MH590700,,4,8,8,8,4,CometFullSeq,2,4;8,AvailableCallsDisagree
MH590701,,2,8,8,8,4,CometFullSeq,2,2;8,AvailableCallsDisagree
MH703668,6,6,4,4,6,5,,2,4;6,AllFiveDisagree
MH703669,6,6,4,4,6,5,,2,4;6,AllFiveDisagree
MH703670,6,6,5,5,6,5,,2,5;6,AllFiveDisagree
MH703676,6,6,8,8,6,5,,2,6;8,AllFiveDisagree
MH703678,6,6,5,5,6,5,,2,5;6,AllFiveDisagree
MH703683,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MH703684,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MH703686,6,6,4,4,6,5,,2,4;6,AllFiveDisagree
MH703689,6,6,5,5,6,5,,2,5;6,AllFiveDisagree
MH703691,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MH703693,6,6,5,5,6,5,,2,5;6,AllFiveDisagree
MH703694,6,6,4,4,6,5,,2,4;6,AllFiveDisagree
MH703702,6,6,4,4,6,5,,2,4;6,AllFiveDisagree
MH703703,6,6,1,1,6,5,,2,1;6,AllFiveDisagree
MH742361,4,4,4,1,4,5,,2,1;4,AllFiveDisagree
MH743151,4,4,4,1,4,5,,2,1;4,AllFiveDisagree
MH940291,7,2,7,7,7,5,,2,2;7,AllFiveDisagree
D84263,6,6,8,6,,4,GenBank,2,6;8,AvailableCallsDisagree
DQ155560,,6,2,6,2,4,CometFullSeq,2,2;6,AvailableCallsDisagree
DQ364460,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
DQ835767,6,6,8,6,6,5,,2,6;8,AllFiveDisagree
EF026073,2,6,5,5,,4,GenBank,3,2;5;6,AvailableCallsDisagree
OR497849,4,4,4,1,4,5,,2,1;4,AllFiveDisagree
OR497876,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
AM408911,2,6,5,5,,4,GenBank,3,2;5;6,AvailableCallsDisagree
HQ537005,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
HQ537006,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
JF779679,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
PX376056,1,1,1,1,2,5,,2,1;2,AllFiveDisagree
PX376057,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
PX376058,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
PX386968,,6,1,3,3,4,CometFullSeq,3,1;3;6,AvailableCallsDisagree
PX386999,4,4,4,1,4,5,,2,1;4,AllFiveDisagree
PX445002,,1,1,1,4,4,CometFullSeq,2,1;4,AvailableCallsDisagree
PX445004,,1,1,1,4,4,CometFullSeq,2,1;4,AvailableCallsDisagree
PX446221,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
PX446959,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
PX446960,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
EU408331,6,6,6,1,6,5,,2,1;6,AllFiveDisagree
EU408332,6,6,6,1,6,5,,2,1;6,AllFiveDisagree
JX183549,6,6,8,6,6,5,,2,6;8,AllFiveDisagree
JX183554,6,6,8,6,6,5,,2,6;8,AllFiveDisagree
KC844039,6,1,6,6,6,5,,2,1;6,AllFiveDisagree
KC844040,6,4,6,6,6,5,,2,4;6,AllFiveDisagree
KJ470622,6,6,6,5,6,5,,2,5;6,AllFiveDisagree
KJ470623,6,4,6,6,6,5,,2,4;6,AllFiveDisagree
KJ567646,6,4,6,6,6,5,,2,4;6,AllFiveDisagree
KJ567647,6,1,6,6,6,5,,2,1;6,AllFiveDisagree
KJ567648,6,1,6,6,6,5,,2,1;6,AllFiveDisagree
KM102760,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
KM102761,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
KM102762,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
KM102763,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
KM102764,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
KM102765,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
KM102766,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
KM102767,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
KM102768,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
KM102769,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
KM102770,,1,1,1,2,4,CometFullSeq,2,1;2,AvailableCallsDisagree
KM252793,6,4,1,6,,4,GenBank,3,1;4;6,AvailableCallsDisagree
KM252794,6,1,6,6,,4,GenBank,2,1;6,AvailableCallsDisagree
KM252796,6,6,1,6,,4,GenBank,2,1;6,AvailableCallsDisagree
KM252798,6,4,8,6,,4,GenBank,3,4;6;8,AvailableCallsDisagree
KM504112,1,6,6,6,,4,GenBank,2,1;6,AvailableCallsDisagree
KM504123,6,6,1,6,6,5,,2,1;6,AllFiveDisagree
KM504124,6,6,1,6,6,5,,2,1;6,AllFiveDisagree
KY083759,4,4,1,1,4,5,,2,1;4,AllFiveDisagree
KY083760,4,4,1,1,4,5,,2,1;4,AllFiveDisagree
LC368421,6,1,6,6,,4,GenBank,2,1;6,AvailableCallsDisagree
LC435024,6,6,1,6,,4,GenBank,2,1;6,AvailableCallsDisagree
KR870888,,1,1,1,4,4,CometFullSeq,2,1;4,AvailableCallsDisagree
KU861171,2,4,7,7,7,5,,3,2;4;7,AllFiveDisagree
KX092342,2,3,7,7,,4,GenBank,3,2;3;7,AvailableCallsDisagree
KX172138,2,4,7,1,7,5,,4,1;2;4;7,AllFiveDisagree
MZ171127,6,4,6,6,6,5,,2,4;6,AllFiveDisagree
