name,virus,subtype,bootstrap support
PQ335093|geneNS5B|query1-1317|h77_aa123-561|extracted_nt1317|aligned_aa439|pident77.904,HCV,4a,100.0
PQ335082|geneNS5B|query1-1695|h77_aa1-565|extracted_nt1695|aligned_aa565|pident86.195,HCV,1a,100.0
PQ335085|geneNS5B|query1-1695|h77_aa1-565|extracted_nt1695|aligned_aa565|pident97.345,HCV,1a,100.0
PQ335057|geneNS5B|query1-1113|h77_aa1-371|extracted_nt1113|aligned_aa371|pident80.054,HCV,1a,100.0
PQ335118|geneNS5B|query1-1320|h77_aa123-562|extracted_nt1320|aligned_aa440|pident79.091,HCV,4a,100.0
MW205492|geneNS5B|query4-669|h77_aa122-343|extracted_nt666|aligned_aa222|pident78.829,HCV,2c,100.0
MW205494|geneNS5B|query1-660|h77_aa124-343|extracted_nt660|aligned_aa220|pident78.636,HCV,2j,54.0
MW205493|geneNS5B|query1-669|h77_aa121-343|extracted_nt669|aligned_aa223|pident79.372,HCV,2c,100.0
MW357771|geneNS5B|query4-657|h77_aa105-322|extracted_nt654|aligned_aa218|pident87.615,HCV,1b,100.0
MW357756|geneNS5B|query1-675|h77_aa104-328|extracted_nt675|aligned_aa225|pident88.444,HCV,1b,100.0
MZ327737|geneNS5B|query7511-9217|h77_aa1-569|extracted_nt1707|aligned_aa569|pident96.661,HCV,1a,100.0
MZ327742|geneNS5B|query7526-9226|h77_aa1-567|extracted_nt1701|aligned_aa567|pident97.178,HCV,1a,100.0
MZ327739|geneNS5B|query7511-9211|h77_aa1-567|extracted_nt1701|aligned_aa567|pident97.531,HCV,1a,100.0
MZ327738|geneNS5B|query7556-9256|h77_aa1-567|extracted_nt1701|aligned_aa567|pident75.132,HCV,3a,100.0
MZ327732|geneNS5B|query7511-9211|h77_aa1-567|extracted_nt1701|aligned_aa567|pident96.825,HCV,1a,100.0
MZ327748|geneNS5B|query7556-9256|h77_aa1-567|extracted_nt1701|aligned_aa567|pident76.014,HCV,3a,100.0
MZ327745|geneNS5B|query7553-9253|h77_aa1-567|extracted_nt1701|aligned_aa567|pident76.014,HCV,3a,100.0
MZ327750|geneNS5B|query7556-9256|h77_aa1-567|extracted_nt1701|aligned_aa567|pident75.485,HCV,3a,100.0
MZ327754|geneNS5B|query7556-9256|h77_aa1-567|extracted_nt1701|aligned_aa567|pident76.014,HCV,3a,100.0
MZ327763|geneNS5B|query7671-9377|h77_aa1-569|extracted_nt1707|aligned_aa569|pident97.715,HCV,1a,100.0
MZ327772|geneNS5B|query7553-9253|h77_aa1-567|extracted_nt1701|aligned_aa567|pident75.838,HCV,3a,100.0
MZ327773|geneNS5B|query7551-9251|h77_aa1-567|extracted_nt1701|aligned_aa567|pident75.485,HCV,3a,100.0
MZ327780|geneNS5B|query7554-9254|h77_aa1-567|extracted_nt1701|aligned_aa567|pident75.485,HCV,3a,100.0
MZ327782|geneNS5B|query7521-9221|h77_aa1-567|extracted_nt1701|aligned_aa567|pident97.707,HCV,1a,100.0
MZ327781|geneNS5B|query7556-9256|h77_aa1-567|extracted_nt1701|aligned_aa567|pident75.485,HCV,3a,100.0
MZ327783|geneNS5B|query7554-9254|h77_aa1-567|extracted_nt1701|aligned_aa567|pident76.367,HCV,3a,100.0
MZ327733|geneNS5B|query7526-9232|h77_aa1-569|extracted_nt1707|aligned_aa569|pident97.188,HCV,1a,100.0
MZ327741|geneNS5B|query7526-9226|h77_aa1-567|extracted_nt1701|aligned_aa567|pident97.178,HCV,1a,100.0
MZ327764|geneNS5B|query7556-9256|h77_aa1-567|extracted_nt1701|aligned_aa567|pident76.014,HCV,3a,100.0
MZ327770|geneNS5B|query7511-9217|h77_aa1-569|extracted_nt1707|aligned_aa569|pident96.485,HCV,1a,100.0
MZ327779|geneNS5B|query7554-9254|h77_aa1-567|extracted_nt1701|aligned_aa567|pident75.132,HCV,3a,100.0
MZ327785|geneNS5B|query7511-9211|h77_aa1-567|extracted_nt1701|aligned_aa567|pident98.236,HCV,1a,100.0
MZ327778|geneNS5B|query7511-9211|h77_aa1-567|extracted_nt1701|aligned_aa567|pident97.707,HCV,1a,100.0
MZ327796|geneNS5B|query7557-9257|h77_aa1-567|extracted_nt1701|aligned_aa567|pident75.838,HCV,3a,100.0
MZ327794|geneNS5B|query7553-9253|h77_aa1-567|extracted_nt1701|aligned_aa567|pident75.132,HCV,3a,100.0
MZ327786|geneNS5B|query7554-9254|h77_aa1-567|extracted_nt1701|aligned_aa567|pident75.309,HCV,3a,100.0
MZ327756|geneNS5B|query7556-9256|h77_aa1-567|extracted_nt1701|aligned_aa567|pident75.661,HCV,3a,100.0
PQ335086|geneNS5B|query1-1692|h77_aa1-564|extracted_nt1692|aligned_aa564|pident98.050,HCV,1a,100.0
PQ335128|geneNS5B|query1-1320|h77_aa123-562|extracted_nt1320|aligned_aa440|pident78.636,HCV,4a,100.0
PQ335133|geneNS5B|query1-1320|h77_aa123-562|extracted_nt1320|aligned_aa440|pident78.864,HCV,4a,100.0
PQ335136|geneNS5B|query1-1320|h77_aa123-562|extracted_nt1320|aligned_aa440|pident78.182,HCV,4a,100.0
PQ335145|geneNS5B|query1-1320|h77_aa123-562|extracted_nt1320|aligned_aa440|pident78.182,HCV,4a,100.0
PQ335153|geneNS5B|query1-1320|h77_aa123-562|extracted_nt1320|aligned_aa440|pident78.182,HCV,4a,100.0
PQ335154|geneNS5B|query1-1320|h77_aa123-562|extracted_nt1320|aligned_aa440|pident77.727,HCV,4a,100.0
PQ335138|geneNS5B|query2-1387|h77_aa101-562|extracted_nt1386|aligned_aa462|pident79.004,HCV,4a,100.0
PQ365505|geneNS5B|query7627-9399|h77_aa1-591|extracted_nt1773|aligned_aa591|pident76.311,HCV,3b,100.0
PQ365500|geneNS5B|query7595-9367|h77_aa1-591|extracted_nt1773|aligned_aa591|pident95.601,HCV,1a,100.0
PQ365504|geneNS5B|query7546-9318|h77_aa1-591|extracted_nt1773|aligned_aa591|pident76.311,HCV,3i,100.0
PQ365501|geneNS5B|query7622-9394|h77_aa1-591|extracted_nt1773|aligned_aa591|pident75.465,HCV,3a,100.0
PQ365497|geneNS5B|query7399-9171|h77_aa1-591|extracted_nt1773|aligned_aa591|pident96.954,HCV,1a,100.0
PQ365506|geneNS5B|query7622-9394|h77_aa1-591|extracted_nt1773|aligned_aa591|pident74.450,HCV,3a,100.0
PQ365509|geneNS5B|query7589-9361|h77_aa1-591|extracted_nt1773|aligned_aa591|pident75.127,HCV,3a,100.0
PQ365508|geneNS5B|query7589-9361|h77_aa1-591|extracted_nt1773|aligned_aa591|pident73.942,HCV,3a,100.0
PQ365503|geneNS5B|query7399-9171|h77_aa1-591|extracted_nt1773|aligned_aa591|pident95.262,HCV,1a,100.0
PQ365515|geneNS5B|query7622-9394|h77_aa1-591|extracted_nt1773|aligned_aa591|pident74.958,HCV,3a,100.0
PQ365511|geneNS5B|query7589-9361|h77_aa1-591|extracted_nt1773|aligned_aa591|pident74.788,HCV,3a,100.0
PQ365519|geneNS5B|query7618-9390|h77_aa1-591|extracted_nt1773|aligned_aa591|pident74.450,HCV,3a,100.0
PQ365521|geneNS5B|query7591-9363|h77_aa1-591|extracted_nt1773|aligned_aa591|pident74.450,HCV,3a,100.0
PQ365514|geneNS5B|query7615-9387|h77_aa1-591|extracted_nt1773|aligned_aa591|pident75.127,HCV,3a,100.0
PQ365522|geneNS5B|query7620-9392|h77_aa1-591|extracted_nt1773|aligned_aa591|pident74.788,HCV,3a,100.0
PQ365527|geneNS5B|query7545-9317|h77_aa1-591|extracted_nt1773|aligned_aa591|pident96.447,HCV,1a,100.0
PQ365526|geneNS5B|query7615-9387|h77_aa1-591|extracted_nt1773|aligned_aa591|pident74.619,HCV,3a,100.0
PQ365528|geneNS5B|query7603-9375|h77_aa1-591|extracted_nt1773|aligned_aa591|pident74.958,HCV,3a,100.0
PQ365523|geneNS5B|query7589-9361|h77_aa1-591|extracted_nt1773|aligned_aa591|pident74.958,HCV,3a,100.0
PQ365532|geneNS5B|query7620-9392|h77_aa1-591|extracted_nt1773|aligned_aa591|pident74.788,HCV,3a,100.0
PQ365524|geneNS5B|query7618-9390|h77_aa1-591|extracted_nt1773|aligned_aa591|pident76.481,HCV,3a,100.0
PQ365525|geneNS5B|query7582-9354|h77_aa1-591|extracted_nt1773|aligned_aa591|pident74.788,HCV,3a,100.0
PQ365529|geneNS5B|query7584-9356|h77_aa1-591|extracted_nt1773|aligned_aa591|pident74.619,HCV,3a,100.0
PQ365507|geneNS5B|query7399-9171|h77_aa1-591|extracted_nt1773|aligned_aa591|pident96.277,HCV,1a,100.0
MW205468|geneNS5B|query1-669|h77_aa121-343|extracted_nt669|aligned_aa223|pident76.233,HCV,2j,85.0
MW205469|geneNS5B|query1-669|h77_aa121-343|extracted_nt669|aligned_aa223|pident77.130,HCV,2b,57.0
MW205467|geneNS5B|query1-669|h77_aa121-343|extracted_nt669|aligned_aa223|pident77.130,HCV,2j,64.0
MW205471|geneNS5B|query1-669|h77_aa121-343|extracted_nt669|aligned_aa223|pident77.130,HCV,2j,99.0
MW205473|geneNS5B|query1-660|h77_aa124-343|extracted_nt660|aligned_aa220|pident76.818,HCV,2k,52.0
MW205477|geneNS5B|query1-669|h77_aa121-343|extracted_nt669|aligned_aa223|pident78.027,HCV,2j,72.0
MW205479|geneNS5B|query1-669|h77_aa121-343|extracted_nt669|aligned_aa223|pident78.475,HCV,2j,59.0
MW205480|geneNS5B|query1-666|h77_aa122-343|extracted_nt666|aligned_aa222|pident78.378,HCV,2b,51.0
MW205485|geneNS5B|query1-669|h77_aa121-343|extracted_nt669|aligned_aa223|pident73.991,HCV,2r,100.0
MW205484|geneNS5B|query1-657|h77_aa125-343|extracted_nt657|aligned_aa219|pident76.256,HCV,2j,89.0
MW205483|geneNS5B|query1-663|h77_aa123-343|extracted_nt663|aligned_aa221|pident77.828,HCV,2j,56.0
MW205482|geneNS5B|query1-669|h77_aa121-343|extracted_nt669|aligned_aa223|pident77.578,HCV,2j,52.0
MW205488|geneNS5B|query1-669|h77_aa121-343|extracted_nt669|aligned_aa223|pident76.233,HCV,2j,98.0
MW205489|geneNS5B|query1-657|h77_aa125-343|extracted_nt657|aligned_aa219|pident75.342,HCV,2j,91.0
MW205490|geneNS5B|query1-669|h77_aa121-343|extracted_nt669|aligned_aa223|pident75.785,HCV,2j,41.0
MW205500|geneNS5B|query1-609|h77_aa141-343|extracted_nt609|aligned_aa203|pident76.847,HCV,3b,100.0
MW205495|geneNS5B|query1-657|h77_aa125-343|extracted_nt657|aligned_aa219|pident76.712,HCV,2i,100.0
MW205496|geneNS5B|query1-669|h77_aa121-343|extracted_nt669|aligned_aa223|pident77.578,HCV,2i,100.0
MW205504|geneNS5B|query1-609|h77_aa141-343|extracted_nt609|aligned_aa203|pident75.862,HCV,3b,100.0
MW205497|geneNS5B|query1-657|h77_aa125-343|extracted_nt657|aligned_aa219|pident77.626,HCV,2i,100.0
MW205501|geneNS5B|query1-609|h77_aa141-343|extracted_nt609|aligned_aa203|pident76.355,HCV,3b,100.0
MW205506|geneNS5B|query1-657|h77_aa125-343|extracted_nt657|aligned_aa219|pident77.626,HCV,3b,100.0
MW205499|geneNS5B|query1-609|h77_aa141-343|extracted_nt609|aligned_aa203|pident75.862,HCV,3b,100.0
MW205505|geneNS5B|query1-603|h77_aa143-343|extracted_nt603|aligned_aa201|pident77.114,HCV,3b,100.0
MW205498|geneNS5B|query1-669|h77_aa121-343|extracted_nt669|aligned_aa223|pident77.130,HCV,2i,91.0
PQ335097|geneNS5B|query1-1290|h77_aa123-552|extracted_nt1290|aligned_aa430|pident79.070,HCV,4a,100.0
PQ335112|geneNS5B|query3-1106|h77_aa2-369|extracted_nt1104|aligned_aa368|pident79.076,HCV,4a,100.0
PQ335108|geneNS5B|query2-1261|h77_aa144-563|extracted_nt1260|aligned_aa420|pident79.286,HCV,4a,100.0
PQ335111|geneNS5B|query1-1320|h77_aa123-562|extracted_nt1320|aligned_aa440|pident78.864,HCV,4a,100.0
PQ335074|geneNS5B|query1-1695|h77_aa1-565|extracted_nt1695|aligned_aa565|pident98.584,HCV,1a,100.0
PQ335070|geneNS5B|query1-1671|h77_aa1-557|extracted_nt1671|aligned_aa557|pident97.666,HCV,1a,100.0
PQ335091|geneNS5B|query1-1320|h77_aa123-562|extracted_nt1320|aligned_aa440|pident77.955,HCV,4a,100.0
PQ335087|geneNS5B|query1-1698|h77_aa1-566|extracted_nt1698|aligned_aa566|pident96.466,HCV,1a,100.0
MW205470|geneNS5B|query1-624|h77_aa136-343|extracted_nt624|aligned_aa208|pident77.404,HCV,2j,100.0
MZ327793|geneNS5B|query7884-9584|h77_aa1-567|extracted_nt1701|aligned_aa567|pident98.236,HCV,1a,100.0
PQ335127|geneNS5B|query3-1688|h77_aa2-563|extracted_nt1686|aligned_aa562|pident78.826,HCV,4a,100.0
PQ335140|geneNS5B|query1-1320|h77_aa123-562|extracted_nt1320|aligned_aa440|pident77.727,HCV,4a,100.0
PQ335132|geneNS5B|query3-1688|h77_aa2-563|extracted_nt1686|aligned_aa562|pident78.826,HCV,4a,100.0
PQ335152|geneNS5B|query1-1320|h77_aa123-562|extracted_nt1320|aligned_aa440|pident78.409,HCV,4a,100.0
PQ335144|geneNS5B|query3-1688|h77_aa2-563|extracted_nt1686|aligned_aa562|pident78.470,HCV,4a,100.0
PQ335129|geneNS5B|query1-1320|h77_aa123-562|extracted_nt1320|aligned_aa440|pident78.409,HCV,4a,100.0
PQ335147|geneNS5B|query1-1296|h77_aa123-554|extracted_nt1296|aligned_aa432|pident78.472,HCV,4a,100.0
PQ335157|geneNS5B|query3-1688|h77_aa2-563|extracted_nt1686|aligned_aa562|pident78.470,HCV,4a,100.0
PQ335146|geneNS5B|query1-1320|h77_aa123-562|extracted_nt1320|aligned_aa440|pident78.409,HCV,4a,100.0
MZ327730|geneNS5B|query7557-9257|h77_aa1-567|extracted_nt1701|aligned_aa567|pident75.132,HCV,3a,100.0
MZ327731|geneNS5B|query7526-9226|h77_aa1-567|extracted_nt1701|aligned_aa567|pident97.002,HCV,1a,100.0
MZ327757|geneNS5B|query7556-9256|h77_aa1-567|extracted_nt1701|aligned_aa567|pident75.309,HCV,3a,100.0
MZ327759|geneNS5B|query7557-9257|h77_aa1-567|extracted_nt1701|aligned_aa567|pident75.485,HCV,3a,100.0
MZ327789|geneNS5B|query7558-9258|h77_aa1-567|extracted_nt1701|aligned_aa567|pident75.661,HCV,3a,100.0
MZ327795|geneNS5B|query7526-9232|h77_aa1-569|extracted_nt1707|aligned_aa569|pident96.309,HCV,1a,100.0
PQ335088|geneNS5B|query1-1413|h77_aa1-471|extracted_nt1413|aligned_aa471|pident96.603,HCV,1a,100.0
MZ327790|geneNS5B|query7526-9226|h77_aa1-567|extracted_nt1701|aligned_aa567|pident97.002,HCV,1a,100.0
MZ327799|geneNS5B|query7554-9254|h77_aa1-567|extracted_nt1701|aligned_aa567|pident75.838,HCV,3a,100.0
PQ335151|geneNS5B|query1-1320|h77_aa123-562|extracted_nt1320|aligned_aa440|pident79.091,HCV,4a,100.0
PQ365499|geneNS5B|query7595-9367|h77_aa1-591|extracted_nt1773|aligned_aa591|pident95.431,HCV,1a,100.0
PQ365510|geneNS5B|query7528-9300|h77_aa1-591|extracted_nt1773|aligned_aa591|pident87.648,HCV,1b,100.0
PQ365498|geneNS5B|query7619-9391|h77_aa1-591|extracted_nt1773|aligned_aa591|pident75.296,HCV,3a,100.0
PQ365520|geneNS5B|query7575-9347|h77_aa1-591|extracted_nt1773|aligned_aa591|pident75.635,HCV,3a,100.0
PQ365530|geneNS5B|query7599-9371|h77_aa1-591|extracted_nt1773|aligned_aa591|pident74.788,HCV,3a,100.0
PQ365534|geneNS5B|query7589-9361|h77_aa1-591|extracted_nt1773|aligned_aa591|pident74.281,HCV,3a,100.0
PQ365535|geneNS5B|query7575-9347|h77_aa1-591|extracted_nt1773|aligned_aa591|pident74.619,HCV,3a,100.0
PQ365536|geneNS5B|query7617-9389|h77_aa1-591|extracted_nt1773|aligned_aa591|pident74.619,HCV,3a,100.0
PQ365533|geneNS5B|query7590-9362|h77_aa1-591|extracted_nt1773|aligned_aa591|pident96.447,HCV,1a,100.0
ON630767|geneNS5B|query7484-9157|h77_aa1-558|extracted_nt1674|aligned_aa558|pident98.208,HCV,1a,100.0
ON630763|geneNS5B|query7484-9157|h77_aa1-558|extracted_nt1674|aligned_aa558|pident95.699,HCV,1a,100.0
ON630772|geneNS5B|query7484-9157|h77_aa1-558|extracted_nt1674|aligned_aa558|pident96.953,HCV,1a,100.0
ON630769|geneNS5B|query7484-9157|h77_aa1-558|extracted_nt1674|aligned_aa558|pident97.312,HCV,1a,100.0
ON630777|geneNS5B|query7484-9157|h77_aa1-558|extracted_nt1674|aligned_aa558|pident97.133,HCV,1a,100.0
ON630776|geneNS5B|query7484-9157|h77_aa1-558|extracted_nt1674|aligned_aa558|pident96.595,HCV,1a,100.0
ON630774|geneNS5B|query7484-9157|h77_aa1-558|extracted_nt1674|aligned_aa558|pident96.595,HCV,1a,100.0
ON630773|geneNS5B|query7484-9157|h77_aa1-558|extracted_nt1674|aligned_aa558|pident96.416,HCV,1a,100.0
ON630766|geneNS5B|query7484-9157|h77_aa1-558|extracted_nt1674|aligned_aa558|pident97.670,HCV,1a,100.0
ON630775|geneNS5B|query7484-9157|h77_aa1-558|extracted_nt1674|aligned_aa558|pident97.670,HCV,1a,100.0
ON630784|geneNS5B|query7484-9157|h77_aa1-558|extracted_nt1674|aligned_aa558|pident96.774,HCV,1a,100.0
ON630786|geneNS5B|query7484-9157|h77_aa1-558|extracted_nt1674|aligned_aa558|pident97.670,HCV,1a,100.0
ON630783|geneNS5B|query7484-9157|h77_aa1-558|extracted_nt1674|aligned_aa558|pident97.312,HCV,1a,100.0
ON630782|geneNS5B|query7484-9157|h77_aa1-558|extracted_nt1674|aligned_aa558|pident96.774,HCV,1a,100.0
ON630788|geneNS5B|query7484-9157|h77_aa1-558|extracted_nt1674|aligned_aa558|pident96.595,HCV,1a,100.0
ON630785|geneNS5B|query7484-9157|h77_aa1-558|extracted_nt1674|aligned_aa558|pident96.774,HCV,1a,100.0
ON630787|geneNS5B|query7484-9157|h77_aa1-558|extracted_nt1674|aligned_aa558|pident97.849,HCV,1a,100.0
ON630798|geneNS5B|query7484-9157|h77_aa1-558|extracted_nt1674|aligned_aa558|pident96.953,HCV,1a,100.0
ON630800|geneNS5B|query7484-9157|h77_aa1-558|extracted_nt1674|aligned_aa558|pident97.133,HCV,1a,100.0
ON630802|geneNS5B|query7484-9157|h77_aa1-558|extracted_nt1674|aligned_aa558|pident97.849,HCV,1a,100.0
ON630779|geneNS5B|query7484-9157|h77_aa1-558|extracted_nt1674|aligned_aa558|pident97.491,HCV,1a,100.0
ON630791|geneNS5B|query7484-9157|h77_aa1-558|extracted_nt1674|aligned_aa558|pident98.029,HCV,1a,100.0
ON630792|geneNS5B|query7484-9157|h77_aa1-558|extracted_nt1674|aligned_aa558|pident97.491,HCV,1a,100.0
ON630796|geneNS5B|query7484-9157|h77_aa1-558|extracted_nt1674|aligned_aa558|pident98.387,HCV,1a,100.0
ON630801|geneNS5B|query7484-9157|h77_aa1-558|extracted_nt1674|aligned_aa558|pident96.416,HCV,1a,100.0
ON630807|geneNS5B|query7484-9157|h77_aa1-558|extracted_nt1674|aligned_aa558|pident98.208,HCV,1a,100.0
ON630805|geneNS5B|query7484-9157|h77_aa1-558|extracted_nt1674|aligned_aa558|pident98.208,HCV,1a,100.0
ON630812|geneNS5B|query7484-9157|h77_aa1-558|extracted_nt1674|aligned_aa558|pident97.491,HCV,1a,100.0
ON630814|geneNS5B|query7484-9157|h77_aa1-558|extracted_nt1674|aligned_aa558|pident97.849,HCV,1a,100.0
ON630811|geneNS5B|query7484-9157|h77_aa1-558|extracted_nt1674|aligned_aa558|pident97.133,HCV,1a,100.0
ON630806|geneNS5B|query7484-9157|h77_aa1-558|extracted_nt1674|aligned_aa558|pident98.208,HCV,1a,100.0
ON630818|geneNS5B|query7484-9157|h77_aa1-558|extracted_nt1674|aligned_aa558|pident96.416,HCV,1a,100.0
ON630809|geneNS5B|query7484-9157|h77_aa1-558|extracted_nt1674|aligned_aa558|pident98.029,HCV,1a,100.0
ON630827|geneNS5B|query7484-9157|h77_aa1-558|extracted_nt1674|aligned_aa558|pident97.491,HCV,1a,100.0
ON630816|geneNS5B|query7484-9157|h77_aa1-558|extracted_nt1674|aligned_aa558|pident98.746,HCV,1a,100.0
ON630822|geneNS5B|query7484-9157|h77_aa1-558|extracted_nt1674|aligned_aa558|pident97.849,HCV,1a,100.0
ON630817|geneNS5B|query7484-9157|h77_aa1-558|extracted_nt1674|aligned_aa558|pident97.312,HCV,1a,100.0
ON630795|geneNS5B|query7484-9157|h77_aa1-558|extracted_nt1674|aligned_aa558|pident97.670,HCV,1a,100.0
ON630804|geneNS5B|query7484-9157|h77_aa1-558|extracted_nt1674|aligned_aa558|pident97.312,HCV,1a,100.0
ON630829|geneNS5B|query7484-9157|h77_aa1-558|extracted_nt1674|aligned_aa558|pident97.312,HCV,1a,100.0
ON630824|geneNS5B|query7484-9157|h77_aa1-558|extracted_nt1674|aligned_aa558|pident97.312,HCV,1a,100.0
ON630831|geneNS5B|query7484-9157|h77_aa1-558|extracted_nt1674|aligned_aa558|pident98.208,HCV,1a,100.0
ON630820|geneNS5B|query7484-9157|h77_aa1-558|extracted_nt1674|aligned_aa558|pident96.774,HCV,1a,100.0
ON630840|geneNS5B|query7484-9157|h77_aa1-558|extracted_nt1674|aligned_aa558|pident96.595,HCV,1a,100.0
ON630826|geneNS5B|query7484-9157|h77_aa1-558|extracted_nt1674|aligned_aa558|pident96.595,HCV,1a,100.0
ON630837|geneNS5B|query7484-9157|h77_aa1-558|extracted_nt1674|aligned_aa558|pident96.774,HCV,1a,100.0
ON630843|geneNS5B|query7484-9157|h77_aa1-558|extracted_nt1674|aligned_aa558|pident96.595,HCV,1a,100.0
ON630834|geneNS5B|query7484-9157|h77_aa1-558|extracted_nt1674|aligned_aa558|pident96.416,HCV,1a,100.0
