name,virus,subtype,bootstrap support
MW205383|geneNS5A|query10-648|h77_aa9-221|extracted_nt639|aligned_aa213|pident79.812,HCV,4o,100.0
MW205405|geneNS5A|query13-651|h77_aa9-221|extracted_nt639|aligned_aa213|pident77.934,HCV,4f,100.0
ON630818|geneNS5A|query6140-7483|h77_aa1-448|extracted_nt1344|aligned_aa448|pident92.411,HCV,1a,100.0
ON630834|geneNS5A|query6140-7483|h77_aa1-448|extracted_nt1344|aligned_aa448|pident95.982,HCV,1a,100.0
ON630837|geneNS5A|query6140-7483|h77_aa1-448|extracted_nt1344|aligned_aa448|pident94.866,HCV,1a,100.0
MN628583|geneNS5A|query6069-7424|h77_aa1-448|extracted_nt1356|aligned_aa455|pident69.670,HCV,3a,100.0
MN628585|geneNS5A|query6271-7626|h77_aa1-448|extracted_nt1356|aligned_aa455|pident70.110,HCV,3a,100.0
MN628586|geneNS5A|query6259-7614|h77_aa1-448|extracted_nt1356|aligned_aa455|pident70.330,HCV,3a,100.0
MN628582|geneNS5A|query6293-7648|h77_aa1-448|extracted_nt1356|aligned_aa455|pident70.110,HCV,3a,100.0
MN628587|geneNS5A|query6266-7621|h77_aa1-448|extracted_nt1356|aligned_aa455|pident69.890,HCV,3a,100.0
MN628588|geneNS5A|query6267-7622|h77_aa1-448|extracted_nt1356|aligned_aa455|pident69.890,HCV,3a,100.0
MN628590|geneNS5A|query6275-7630|h77_aa1-448|extracted_nt1356|aligned_aa455|pident70.330,HCV,3a,100.0
MN628591|geneNS5A|query6280-7635|h77_aa1-448|extracted_nt1356|aligned_aa455|pident70.110,HCV,3a,100.0
MN641936|geneNS5A|query1-315|h77_aa1-105|extracted_nt315|aligned_aa105|pident72.381,HCV,3a,100.0
MN641934|geneNS5A|query1-315|h77_aa1-105|extracted_nt315|aligned_aa105|pident72.381,HCV,1a,100.0
MN641937|geneNS5A|query1-315|h77_aa1-105|extracted_nt315|aligned_aa105|pident74.286,HCV,3a,100.0
MN641935|geneNS5A|query1-315|h77_aa1-105|extracted_nt315|aligned_aa105|pident78.095,HCV,3a,100.0
MN641940|geneNS5A|query1-315|h77_aa1-105|extracted_nt315|aligned_aa105|pident76.190,HCV,3a,100.0
MN641941|geneNS5A|query1-315|h77_aa1-105|extracted_nt315|aligned_aa105|pident76.190,HCV,3a,100.0
MN641970|geneNS5A|query1-315|h77_aa1-105|extracted_nt315|aligned_aa105|pident80.000,HCV,4d,100.0
MN641972|geneNS5A|query1-315|h77_aa1-105|extracted_nt315|aligned_aa105|pident73.333,HCV,4d,100.0
MN641975|geneNS5A|query1-315|h77_aa1-105|extracted_nt315|aligned_aa105|pident98.095,HCV,1a,100.0
MN641976|geneNS5A|query1-315|h77_aa1-105|extracted_nt315|aligned_aa105|pident99.048,HCV,1a,100.0
MN641969|geneNS5A|query1-315|h77_aa1-105|extracted_nt315|aligned_aa105|pident76.190,HCV,4d,100.0
MN641977|geneNS5A|query1-315|h77_aa1-105|extracted_nt315|aligned_aa105|pident89.524,HCV,1a,100.0
MN641978|geneNS5A|query1-315|h77_aa1-105|extracted_nt315|aligned_aa105|pident78.095,HCV,3a,100.0
MN641973|geneNS5A|query1-315|h77_aa1-105|extracted_nt315|aligned_aa105|pident99.048,HCV,1a,100.0
MN641979|geneNS5A|query1-315|h77_aa1-105|extracted_nt315|aligned_aa105|pident70.476,HCV,3a,100.0
MN641971|geneNS5A|query1-315|h77_aa1-105|extracted_nt315|aligned_aa105|pident80.000,HCV,4d,100.0
MT151167|geneNS5A|query1-354|h77_aa1-118|extracted_nt354|aligned_aa118|pident79.661,HCV,1l,100.0
MT151165|geneNS5A|query1-354|h77_aa1-118|extracted_nt354|aligned_aa118|pident67.797,HCV,2j,100.0
MT151169|geneNS5A|query1-354|h77_aa1-118|extracted_nt354|aligned_aa118|pident80.508,HCV,1l,100.0
MT151200|geneNS5A|query1-354|h77_aa1-118|extracted_nt354|aligned_aa118|pident92.373,HCV,1a,100.0
MT151199|geneNS5A|query1-354|h77_aa1-118|extracted_nt354|aligned_aa118|pident83.051,HCV,1b,100.0
MT151203|geneNS5A|query7-354|h77_aa3-118|extracted_nt348|aligned_aa116|pident79.310,HCV,4d,100.0
MT151201|geneNS5A|query1-354|h77_aa1-118|extracted_nt354|aligned_aa118|pident81.356,HCV,1b,100.0
MT151234|geneNS5A|query1-354|h77_aa1-118|extracted_nt354|aligned_aa118|pident81.356,HCV,1g,100.0
MT151232|geneNS5A|query7-354|h77_aa3-118|extracted_nt348|aligned_aa116|pident76.724,HCV,4r,100.0
MT151280|geneNS5A|query1-354|h77_aa1-118|extracted_nt354|aligned_aa118|pident81.356,HCV,1b,100.0
MT151285|geneNS5A|query1-354|h77_aa1-118|extracted_nt354|aligned_aa118|pident80.508,HCV,1b,100.0
MT151281|geneNS5A|query1-354|h77_aa1-118|extracted_nt354|aligned_aa118|pident73.729,HCV,3a,100.0
MT151286|geneNS5A|query1-354|h77_aa1-118|extracted_nt354|aligned_aa118|pident69.492,HCV,3h,100.0
MW205418|geneNS5A|query1-414|h77_aa7-144|extracted_nt414|aligned_aa138|pident71.014,HCV,6e,100.0
MW205379|geneNS5A|query1-636|h77_aa10-221|extracted_nt636|aligned_aa212|pident78.774,HCV,4v,50.0
MW205458|geneNS5A|query1-462|h77_aa1-154|extracted_nt462|aligned_aa154|pident65.584,HCV,2j,65.0
MZ327761|geneNS5A|query6170-7510|h77_aa2-448|extracted_nt1341|aligned_aa447|pident93.736,HCV,1a,100.0
MZ327772|geneNS5A|query6200-7552|h77_aa1-448|extracted_nt1353|aligned_aa456|pident70.175,HCV,3a,100.0
MZ327783|geneNS5A|query6198-7553|h77_aa1-448|extracted_nt1356|aligned_aa455|pident70.549,HCV,3a,100.0
MZ327775|geneNS5A|query6182-7522|h77_aa1-448|extracted_nt1341|aligned_aa448|pident80.134,HCV,1b,100.0
MZ327749|geneNS5A|query6167-7510|h77_aa1-448|extracted_nt1344|aligned_aa448|pident93.973,HCV,1a,100.0
MZ327786|geneNS5A|query6198-7553|h77_aa1-448|extracted_nt1356|aligned_aa456|pident69.956,HCV,3a,100.0
MZ327791|geneNS5A|query6183-7523|h77_aa1-448|extracted_nt1341|aligned_aa448|pident79.911,HCV,1b,100.0
MZ327788|geneNS5A|query6154-7497|h77_aa1-448|extracted_nt1344|aligned_aa448|pident93.973,HCV,1a,100.0
MZ327784|geneNS5A|query6194-7591|h77_aa1-448|extracted_nt1398|aligned_aa472|pident58.475,HCV,2b,100.0
MZ327800|geneNS5A|query6194-7591|h77_aa1-448|extracted_nt1398|aligned_aa472|pident58.686,HCV,2b,100.0
MZ327792|geneNS5A|query6167-7510|h77_aa1-448|extracted_nt1344|aligned_aa448|pident95.089,HCV,1a,100.0
MZ327799|geneNS5A|query6198-7553|h77_aa1-448|extracted_nt1356|aligned_aa456|pident68.860,HCV,3a,100.0
MZ327798|geneNS5A|query6182-7525|h77_aa1-448|extracted_nt1344|aligned_aa448|pident94.866,HCV,1a,100.0
ON506748|geneNS5A|query112-717|h77_aa1-202|extracted_nt606|aligned_aa202|pident93.564,HCV,1a,100.0
ON506760|geneNS5A|query175-783|h77_aa1-203|extracted_nt609|aligned_aa203|pident94.089,HCV,1a,100.0
ON506780|geneNS5A|query134-751|h77_aa1-206|extracted_nt618|aligned_aa206|pident80.583,HCV,1b,100.0
ON506799|geneNS5A|query180-761|h77_aa3-196|extracted_nt582|aligned_aa194|pident78.866,HCV,4d,100.0
ON506801|geneNS5A|query64-672|h77_aa1-203|extracted_nt609|aligned_aa203|pident78.818,HCV,4a,100.0
ON506805|geneNS5A|query167-778|h77_aa1-204|extracted_nt612|aligned_aa204|pident75.490,HCV,3a,100.0
MN628574|geneNS5A|query6262-7617|h77_aa1-448|extracted_nt1356|aligned_aa455|pident70.110,HCV,3a,100.0
MN628575|geneNS5A|query6265-7620|h77_aa1-448|extracted_nt1356|aligned_aa455|pident70.549,HCV,3a,100.0
MN628576|geneNS5A|query6311-7666|h77_aa1-448|extracted_nt1356|aligned_aa456|pident70.175,HCV,3a,100.0
MN628581|geneNS5A|query6270-7625|h77_aa1-448|extracted_nt1356|aligned_aa455|pident69.890,HCV,3a,100.0
MN628580|geneNS5A|query6251-7594|h77_aa1-448|extracted_nt1344|aligned_aa448|pident94.196,HCV,1a,100.0
MN628579|geneNS5A|query6262-7617|h77_aa1-448|extracted_nt1356|aligned_aa455|pident70.989,HCV,3a,100.0
MN628577|geneNS5A|query6263-7618|h77_aa1-448|extracted_nt1356|aligned_aa456|pident69.298,HCV,3a,100.0
MN628593|geneNS5A|query6221-7576|h77_aa1-448|extracted_nt1356|aligned_aa455|pident69.670,HCV,3a,100.0
MN628594|geneNS5A|query6277-7632|h77_aa1-448|extracted_nt1356|aligned_aa455|pident70.769,HCV,3a,100.0
MN628592|geneNS5A|query6251-7594|h77_aa1-448|extracted_nt1344|aligned_aa448|pident95.759,HCV,1a,100.0
MN628596|geneNS5A|query6407-7762|h77_aa1-448|extracted_nt1356|aligned_aa456|pident69.737,HCV,3a,100.0
MN641919|geneNS5A|query1-315|h77_aa1-105|extracted_nt315|aligned_aa105|pident98.095,HCV,1a,100.0
MN641923|geneNS5A|query1-315|h77_aa1-105|extracted_nt315|aligned_aa105|pident98.095,HCV,1a,100.0
MN641921|geneNS5A|query1-315|h77_aa1-105|extracted_nt315|aligned_aa105|pident97.143,HCV,1a,100.0
MN641922|geneNS5A|query1-315|h77_aa1-105|extracted_nt315|aligned_aa105|pident99.048,HCV,1a,100.0
MN641925|geneNS5A|query1-315|h77_aa1-105|extracted_nt315|aligned_aa105|pident90.476,HCV,1a,100.0
MN641926|geneNS5A|query1-315|h77_aa1-105|extracted_nt315|aligned_aa105|pident89.524,HCV,1a,100.0
MN641954|geneNS5A|query1-315|h77_aa1-105|extracted_nt315|aligned_aa105|pident77.143,HCV,3a,100.0
MN641956|geneNS5A|query1-315|h77_aa1-105|extracted_nt315|aligned_aa105|pident76.190,HCV,3a,100.0
MN641955|geneNS5A|query1-315|h77_aa1-105|extracted_nt315|aligned_aa105|pident76.190,HCV,3a,100.0
MN641960|geneNS5A|query1-315|h77_aa1-105|extracted_nt315|aligned_aa105|pident79.048,HCV,4d,100.0
MN641962|geneNS5A|query1-315|h77_aa1-105|extracted_nt315|aligned_aa105|pident76.190,HCV,4d,100.0
MN641959|geneNS5A|query1-315|h77_aa1-105|extracted_nt315|aligned_aa105|pident79.048,HCV,4d,100.0
MT151160|geneNS5A|query1-354|h77_aa1-118|extracted_nt354|aligned_aa118|pident88.983,HCV,1a,100.0
MT151158|geneNS5A|query1-354|h77_aa1-118|extracted_nt354|aligned_aa118|pident81.356,HCV,1b,87.0
MT151156|geneNS5A|query1-354|h77_aa1-118|extracted_nt354|aligned_aa118|pident65.254,HCV,2a,100.0
MT151162|geneNS5A|query7-354|h77_aa3-118|extracted_nt348|aligned_aa116|pident79.310,HCV,4f,84.0
MT151161|geneNS5A|query1-354|h77_aa1-118|extracted_nt354|aligned_aa118|pident79.661,HCV,1b,100.0
MT151184|geneNS5A|query7-354|h77_aa3-118|extracted_nt348|aligned_aa116|pident79.310,HCV,4v,100.0
MT151187|geneNS5A|query1-354|h77_aa1-118|extracted_nt354|aligned_aa118|pident74.576,HCV,3a,100.0
MT151182|geneNS5A|query1-354|h77_aa1-118|extracted_nt354|aligned_aa118|pident84.746,HCV,1h,77.0
MT151185|geneNS5A|query7-354|h77_aa3-118|extracted_nt348|aligned_aa116|pident75.862,HCV,4k,100.0
MT151218|geneNS5A|query1-354|h77_aa1-118|extracted_nt354|aligned_aa118|pident97.458,HCV,1a,100.0
MT151217|geneNS5A|query1-354|h77_aa1-118|extracted_nt354|aligned_aa118|pident80.508,HCV,1b,100.0
MT151220|geneNS5A|query1-354|h77_aa1-118|extracted_nt354|aligned_aa118|pident83.051,HCV,1b,100.0
MT151251|geneNS5A|query1-354|h77_aa1-118|extracted_nt354|aligned_aa118|pident95.763,HCV,1a,100.0
MT151249|geneNS5A|query4-354|h77_aa2-118|extracted_nt351|aligned_aa117|pident68.376,HCV,3h,90.0
MT151254|geneNS5A|query1-354|h77_aa1-118|extracted_nt354|aligned_aa118|pident96.610,HCV,1a,100.0
MT151265|geneNS5A|query1-354|h77_aa1-118|extracted_nt354|aligned_aa118|pident96.610,HCV,1a,100.0
MT151267|geneNS5A|query1-354|h77_aa1-118|extracted_nt354|aligned_aa118|pident97.458,HCV,1a,100.0
MT151271|geneNS5A|query1-354|h77_aa1-118|extracted_nt354|aligned_aa118|pident81.356,HCV,1b,100.0
MT233452|geneNS5A|query1-684|h77_aa1-228|extracted_nt684|aligned_aa228|pident96.491,HCV,1a,100.0
MT233454|geneNS5A|query1-663|h77_aa1-221|extracted_nt663|aligned_aa221|pident95.928,HCV,1a,100.0
MT233453|geneNS5A|query1-612|h77_aa1-204|extracted_nt612|aligned_aa204|pident95.098,HCV,1a,100.0
MT233461|geneNS5A|query1-672|h77_aa1-224|extracted_nt672|aligned_aa224|pident95.982,HCV,1a,100.0
MT233460|geneNS5A|query1-711|h77_aa1-237|extracted_nt711|aligned_aa237|pident95.781,HCV,1a,100.0
MT233457|geneNS5A|query1-663|h77_aa1-221|extracted_nt663|aligned_aa221|pident95.023,HCV,1a,100.0
MW205396|geneNS5A|query4-648|h77_aa7-221|extracted_nt645|aligned_aa215|pident79.535,HCV,4g,33.0
MW205378|geneNS5A|query1-615|h77_aa17-221|extracted_nt615|aligned_aa205|pident78.049,HCV,4v,100.0
MW205380|geneNS5A|query1-636|h77_aa10-221|extracted_nt636|aligned_aa212|pident75.943,HCV,4v,80.0
MW357804|geneNS5A|query1-411|h77_aa1-137|extracted_nt411|aligned_aa137|pident81.022,HCV,1b,100.0
MW205447|geneNS5A|query1-423|h77_aa8-148|extracted_nt423|aligned_aa141|pident65.248,HCV,2i,99.0
MW357810|geneNS5A|query1-411|h77_aa1-137|extracted_nt411|aligned_aa137|pident81.022,HCV,1b,100.0
MW357809|geneNS5A|query1-411|h77_aa1-137|extracted_nt411|aligned_aa137|pident81.752,HCV,1b,100.0
MW357805|geneNS5A|query1-411|h77_aa1-137|extracted_nt411|aligned_aa137|pident82.482,HCV,1b,100.0
MW205448|geneNS5A|query1-318|h77_aa8-113|extracted_nt318|aligned_aa106|pident65.094,HCV,2i,70.0
MW357811|geneNS5A|query1-411|h77_aa1-137|extracted_nt411|aligned_aa137|pident81.022,HCV,1b,100.0
MW205455|geneNS5A|query4-462|h77_aa2-154|extracted_nt459|aligned_aa153|pident64.706,HCV,2r,100.0
MZ327751|geneNS5A|query6167-7510|h77_aa1-448|extracted_nt1344|aligned_aa448|pident92.188,HCV,1a,100.0
MZ327748|geneNS5A|query6200-7555|h77_aa1-448|extracted_nt1356|aligned_aa456|pident70.395,HCV,3a,100.0
MZ327735|geneNS5A|query6198-7553|h77_aa1-448|extracted_nt1356|aligned_aa456|pident70.175,HCV,3a,100.0
MZ327758|geneNS5A|query6182-7525|h77_aa1-448|extracted_nt1344|aligned_aa448|pident94.643,HCV,1a,100.0
MZ327733|geneNS5A|query6182-7525|h77_aa1-448|extracted_nt1344|aligned_aa448|pident93.973,HCV,1a,100.0
MZ327732|geneNS5A|query6167-7510|h77_aa1-448|extracted_nt1344|aligned_aa448|pident94.420,HCV,1a,100.0
MZ327747|geneNS5A|query6167-7510|h77_aa1-448|extracted_nt1344|aligned_aa448|pident95.536,HCV,1a,100.0
MZ327759|geneNS5A|query6201-7556|h77_aa1-448|extracted_nt1356|aligned_aa456|pident70.175,HCV,3a,100.0
MZ327774|geneNS5A|query6183-7523|h77_aa1-448|extracted_nt1341|aligned_aa449|pident80.846,HCV,1b,100.0
MZ327782|geneNS5A|query6177-7520|h77_aa1-448|extracted_nt1344|aligned_aa448|pident95.982,HCV,1a,100.0
MZ327736|geneNS5A|query6184-7527|h77_aa1-448|extracted_nt1344|aligned_aa448|pident93.973,HCV,1a,100.0
MZ327760|geneNS5A|query6170-7513|h77_aa1-448|extracted_nt1344|aligned_aa448|pident96.205,HCV,1a,100.0
MZ327773|geneNS5A|query6195-7550|h77_aa1-448|extracted_nt1356|aligned_aa455|pident69.231,HCV,3a,100.0
MZ327785|geneNS5A|query6167-7510|h77_aa1-448|extracted_nt1344|aligned_aa448|pident94.420,HCV,1a,100.0
MZ327787|geneNS5A|query6167-7510|h77_aa1-448|extracted_nt1344|aligned_aa448|pident96.205,HCV,1a,100.0
MZ327794|geneNS5A|query6197-7552|h77_aa1-448|extracted_nt1356|aligned_aa456|pident69.737,HCV,3a,100.0
MZ327797|geneNS5A|query6184-7527|h77_aa1-448|extracted_nt1344|aligned_aa448|pident93.527,HCV,1a,100.0
MZ327750|geneNS5A|query6200-7555|h77_aa1-448|extracted_nt1356|aligned_aa455|pident69.231,HCV,3a,100.0
ON506789|geneNS5A|query173-790|h77_aa1-206|extracted_nt618|aligned_aa206|pident96.117,HCV,1a,100.0
ON506784|geneNS5A|query183-794|h77_aa1-204|extracted_nt612|aligned_aa204|pident75.980,HCV,3a,100.0
ON506790|geneNS5A|query167-775|h77_aa1-203|extracted_nt609|aligned_aa203|pident75.862,HCV,3a,100.0
ON506824|geneNS5A|query192-800|h77_aa1-203|extracted_nt609|aligned_aa203|pident93.103,HCV,1a,100.0
ON506825|geneNS5A|query188-802|h77_aa1-205|extracted_nt615|aligned_aa205|pident77.073,HCV,3a,100.0
ON506819|geneNS5A|query143-715|h77_aa3-193|extracted_nt573|aligned_aa191|pident79.058,HCV,4d,100.0
ON506822|geneNS5A|query170-742|h77_aa1-191|extracted_nt573|aligned_aa191|pident75.393,HCV,3a,100.0
ON506821|geneNS5A|query143-682|h77_aa1-180|extracted_nt540|aligned_aa180|pident93.333,HCV,1a,100.0
ON314814|geneNS5A|query5992-7389|h77_aa1-448|extracted_nt1398|aligned_aa472|pident59.958,HCV,2q,88.0
ON314820|geneNS5A|query5994-7391|h77_aa1-448|extracted_nt1398|aligned_aa472|pident57.839,HCV,2q,59.0
ON506816|geneNS5A|query186-800|h77_aa1-205|extracted_nt615|aligned_aa205|pident96.098,HCV,1a,100.0
ON314826|geneNS5A|query6249-7646|h77_aa1-448|extracted_nt1398|aligned_aa472|pident59.110,HCV,2q,50.0
ON314827|geneNS5A|query6255-7652|h77_aa1-448|extracted_nt1398|aligned_aa472|pident58.051,HCV,2q,99.0
ON314828|geneNS5A|query6255-7652|h77_aa1-448|extracted_nt1398|aligned_aa472|pident58.263,HCV,2q,99.0
ON123736|geneNS5A|query2-1114|h77_aa24-394|extracted_nt1113|aligned_aa371|pident81.402,HCV,1b,100.0
PQ365505|geneNS5A|query6271-7626|h77_aa1-448|extracted_nt1356|aligned_aa453|pident68.874,HCV,3b,100.0
PQ365498|geneNS5A|query6263-7618|h77_aa1-448|extracted_nt1356|aligned_aa455|pident68.571,HCV,3a,100.0
ON314824|geneNS5A|query6210-7607|h77_aa1-448|extracted_nt1398|aligned_aa472|pident60.381,HCV,2j,81.0
PQ365509|geneNS5A|query6242-7588|h77_aa4-448|extracted_nt1347|aligned_aa452|pident69.469,HCV,3a,100.0
PQ365516|geneNS5A|query6055-7398|h77_aa1-448|extracted_nt1344|aligned_aa448|pident92.857,HCV,1a,100.0
PQ365503|geneNS5A|query6055-7398|h77_aa1-448|extracted_nt1344|aligned_aa448|pident93.304,HCV,1a,100.0
PQ365514|geneNS5A|query6259-7614|h77_aa1-448|extracted_nt1356|aligned_aa456|pident69.737,HCV,3a,100.0
PQ365508|geneNS5A|query6233-7588|h77_aa1-448|extracted_nt1356|aligned_aa456|pident68.860,HCV,3a,100.0
PQ365506|geneNS5A|query6266-7621|h77_aa1-448|extracted_nt1356|aligned_aa455|pident69.670,HCV,3a,100.0
PQ365518|geneNS5A|query6259-7614|h77_aa1-448|extracted_nt1356|aligned_aa456|pident70.395,HCV,3a,100.0
PQ365526|geneNS5A|query6259-7614|h77_aa1-448|extracted_nt1356|aligned_aa456|pident69.737,HCV,3a,100.0
PQ365523|geneNS5A|query6233-7588|h77_aa1-448|extracted_nt1356|aligned_aa455|pident70.330,HCV,3a,100.0
PQ365527|geneNS5A|query6201-7544|h77_aa1-448|extracted_nt1344|aligned_aa448|pident93.750,HCV,1a,100.0
PQ365522|geneNS5A|query6264-7619|h77_aa1-448|extracted_nt1356|aligned_aa456|pident69.956,HCV,3a,100.0
PQ365520|geneNS5A|query6219-7574|h77_aa1-448|extracted_nt1356|aligned_aa456|pident69.956,HCV,3a,100.0
PQ365528|geneNS5A|query6247-7602|h77_aa1-448|extracted_nt1356|aligned_aa455|pident69.670,HCV,3a,100.0
PQ365531|geneNS5A|query6260-7615|h77_aa1-448|extracted_nt1356|aligned_aa455|pident70.330,HCV,3a,100.0
PQ365529|geneNS5A|query6228-7583|h77_aa1-448|extracted_nt1356|aligned_aa456|pident68.860,HCV,3a,100.0
PQ365537|geneNS5A|query6237-7592|h77_aa1-448|extracted_nt1356|aligned_aa456|pident69.298,HCV,3a,100.0
MT863959|geneNS5A|query1-279|h77_aa12-104|extracted_nt279|aligned_aa93|pident98.925,HCV,1a,100.0
MT863955|geneNS5A|query1-279|h77_aa12-104|extracted_nt279|aligned_aa93|pident97.849,HCV,1a,100.0
MT863963|geneNS5A|query1-279|h77_aa12-104|extracted_nt279|aligned_aa93|pident76.344,HCV,3a,100.0
MT863991|geneNS5A|query1-279|h77_aa12-104|extracted_nt279|aligned_aa93|pident95.699,HCV,1a,100.0
MW041294|geneNS5A|query6269-7669|h77_aa1-448|extracted_nt1401|aligned_aa473|pident60.254,HCV,2j,58.0
ON630770|geneNS5A|query6140-7483|h77_aa1-448|extracted_nt1344|aligned_aa448|pident95.759,HCV,1a,100.0
MW041299|geneNS5A|query6270-7667|h77_aa1-448|extracted_nt1398|aligned_aa473|pident60.465,HCV,2j,100.0
ON630766|geneNS5A|query6140-7483|h77_aa1-448|extracted_nt1344|aligned_aa448|pident96.652,HCV,1a,100.0
