OldFileName,SheetName,GeneName,RefID,NumPtsValue,CurrentIncludedRefsCheck,FilterInformation,FilterResultFile,FilterResultCreation
HCV_BlastHists_Apr29.xlsx,NS3_PtGT0_Check,NS3,2168,Check,Present,source_isolate contains pre,temp/hcv-ns3-comet-build-workflow/run_ns3_pipeline/refid_metadata/RefID_2168_metadata.csv,"Step 5 reads rows with RefID 2168 from included_accessions_metadata.csv, keeps rows where source_isolate contains pre, and writes the retained full metadata rows to FilterResultFile."
HCV_BlastHists_Apr29.xlsx,NS3_PtGT0_Check,NS3,1356,Check,Present,source_isolate does not contain IC,temp/hcv-ns3-comet-build-workflow/run_ns3_pipeline/refid_metadata/RefID_1356_metadata.csv,"Step 5 reads rows with RefID 1356 from included_accessions_metadata.csv, keeps rows where source_isolate does not contain IC, and writes the retained full metadata rows to FilterResultFile."
HCV_BlastHists_Apr29.xlsx,NS3_PtGT0_Check,NS3,123,Check,Present,No RefID-specific filter configured in the current workflow,,No FilterResultFile is created because this RefID has no configured RefID-specific filter.
HCV_BlastHists_Apr29.xlsx,NS3_PtGT0_Check,NS3,192,Check,Present,source_isolate contains day 1,temp/hcv-ns3-comet-build-workflow/run_ns3_pipeline/refid_metadata/RefID_192_metadata.csv,"Step 5 reads rows with RefID 192 from included_accessions_metadata.csv, keeps rows where source_isolate contains day 1, and writes the retained full metadata rows to FilterResultFile."
HCV_BlastHists_Apr29.xlsx,NS3_PtGT0_Check,NS3,2138,Check,Present,source_isolate contains Week 0,temp/hcv-ns3-comet-build-workflow/run_ns3_pipeline/refid_metadata/RefID_2138_metadata.csv,"Step 5 reads rows with RefID 2138 from included_accessions_metadata.csv, keeps rows where source_isolate contains Week 0, and writes the retained full metadata rows to FilterResultFile."
HCV_BlastHists_Apr29.xlsx,NS3_PtGT0_Check,NS3,346,Check,Present,source_isolate contains baseline/D0,temp/hcv-ns3-comet-build-workflow/run_ns3_pipeline/refid_metadata/RefID_346_metadata.csv,"Step 5 reads rows with RefID 346 from included_accessions_metadata.csv, keeps rows where source_isolate contains baseline/D0, and writes the retained full metadata rows to FilterResultFile."
HCV_BlastHists_Apr29.xlsx,NS5A_PtGT0_Check,NS5A,110,Check,Present,No RefID-specific filter configured in the current workflow,,No FilterResultFile is created because this RefID has no configured RefID-specific filter.
HCV_BlastHists_Apr29.xlsx,NS5A_PtGT0_Check,NS5A,29,Check,Present,source_isolate contains SCRN,temp/hcv-ns5a-comet-build-workflow/run_ns5a_pipeline/refid_metadata/RefID_29_metadata.csv,"Step 5 reads rows with RefID 29 from included_accessions_metadata.csv, keeps rows where source_isolate contains SCRN, and writes the retained full metadata rows to FilterResultFile."
HCV_BlastHists_Apr29.xlsx,NS5A_PtGT0_Check,NS5A,600,Check,Present,source_isolate does not contain failure,temp/hcv-ns5a-comet-build-workflow/run_ns5a_pipeline/refid_metadata/RefID_600_metadata.csv,"Step 5 reads rows with RefID 600 from included_accessions_metadata.csv, keeps rows where source_isolate does not contain failure, and writes the retained full metadata rows to FilterResultFile."
HCV_BlastHists_Apr29.xlsx,NS5A_PtGT0_Check,NS5A,535,Check,Present,Accession membership list: temp/hcv-ns5a-comet-build-workflow/run_ns5a_pipeline/535.csv,temp/hcv-ns5a-comet-build-workflow/run_ns5a_pipeline/refid_metadata/RefID_535_metadata.csv,"Step 5 reads rows with RefID 535 from included_accessions_metadata.csv, keeps rows where Accession membership list: temp/hcv-ns5a-comet-build-workflow/run_ns5a_pipeline/535.csv, and writes the retained full metadata rows to FilterResultFile."
HCV_BlastHists_Apr29.xlsx,NS5A_PtGT0_Check,NS5A,377,Check,Present,No RefID-specific filter configured in the current workflow,,No FilterResultFile is created because this RefID has no configured RefID-specific filter.
HCV_BlastHists_Apr29.xlsx,NS5A_PtGT0_Check,NS5A,661,Check,Present,source_isolation_source equals plasma,temp/hcv-ns5a-comet-build-workflow/run_ns5a_pipeline/refid_metadata/RefID_661_metadata.csv,"Step 5 reads rows with RefID 661 from included_accessions_metadata.csv, keeps rows where source_isolation_source equals plasma, and writes the retained full metadata rows to FilterResultFile."
HCV_BlastHists_Apr29.xlsx,NS5A_PtGT0_Check,NS5A,123,Check,Present,source_isolate does not contain TF,temp/hcv-ns5a-comet-build-workflow/run_ns5a_pipeline/refid_metadata/RefID_123_metadata.csv,"Step 5 reads rows with RefID 123 from included_accessions_metadata.csv, keeps rows where source_isolate does not contain TF, and writes the retained full metadata rows to FilterResultFile."
HCV_BlastHists_Apr29.xlsx,NS5A_PtGT0_Check,NS5A,50,Check,Present,source_isolate contains week 0,temp/hcv-ns5a-comet-build-workflow/run_ns5a_pipeline/refid_metadata/RefID_50_metadata.csv,"Step 5 reads rows with RefID 50 from included_accessions_metadata.csv, keeps rows where source_isolate contains week 0, and writes the retained full metadata rows to FilterResultFile."
HCV_BlastHists_Apr29.xlsx,NS5A_PtGT0_Check,NS5A,192,Check,Present,source_isolate contains day1,temp/hcv-ns5a-comet-build-workflow/run_ns5a_pipeline/refid_metadata/RefID_192_metadata.csv,"Step 5 reads rows with RefID 192 from included_accessions_metadata.csv, keeps rows where source_isolate contains day1, and writes the retained full metadata rows to FilterResultFile."
HCV_BlastHists_Apr29.xlsx,NS5A_PtGT0_Check,NS5A,142,Check,Present,source_isolate contains baseline,temp/hcv-ns5a-comet-build-workflow/run_ns5a_pipeline/refid_metadata/RefID_142_metadata.csv,"Step 5 reads rows with RefID 142 from included_accessions_metadata.csv, keeps rows where source_isolate contains baseline, and writes the retained full metadata rows to FilterResultFile."
HCV_BlastHists_Apr29.xlsx,NS5A_PtGT0_Check,NS5A,17,Check,Present,Accession membership list: temp/hcv-ns5a-comet-build-workflow/run_ns5a_pipeline/17.csv,temp/hcv-ns5a-comet-build-workflow/run_ns5a_pipeline/refid_metadata/RefID_17_metadata.csv,"Step 5 reads rows with RefID 17 from included_accessions_metadata.csv, keeps rows where Accession membership list: temp/hcv-ns5a-comet-build-workflow/run_ns5a_pipeline/17.csv, and writes the retained full metadata rows to FilterResultFile."
HCV_BlastHists_Apr29.xlsx,NS5A_PtGT0_Check,NS5A,288,Check,Present,source_isolate contains pre,temp/hcv-ns5a-comet-build-workflow/run_ns5a_pipeline/refid_metadata/RefID_288_metadata.csv,"Step 5 reads rows with RefID 288 from included_accessions_metadata.csv, keeps rows where source_isolate contains pre, and writes the retained full metadata rows to FilterResultFile."
HCV_BlastHists_Apr29.xlsx,NS5A_PtGT0_Check,NS5A,346,Check,Present,source_isolate contains baseline/D0,temp/hcv-ns5a-comet-build-workflow/run_ns5a_pipeline/refid_metadata/RefID_346_metadata.csv,"Step 5 reads rows with RefID 346 from included_accessions_metadata.csv, keeps rows where source_isolate contains baseline/D0, and writes the retained full metadata rows to FilterResultFile."
HCV_BlastHists_Apr29.xlsx,NS5B_PtGT0_Check,NS5B,891,Check,Present,source_isolate contains token Ha01 through Ha97,temp/hcv-ns5b-comet-build-workflow/run_ns5b_pipeline/refid_metadata/RefID_891_metadata.csv,"Step 5 reads rows with RefID 891 from included_accessions_metadata.csv, keeps rows where source_isolate contains token Ha01 through Ha97, and writes the retained full metadata rows to FilterResultFile."
HCV_BlastHists_Apr29.xlsx,NS5B_PtGT0_Check,NS5B,30,Check,Present,source_isolate contains day1,temp/hcv-ns5b-comet-build-workflow/run_ns5b_pipeline/refid_metadata/RefID_30_metadata.csv,"Step 5 reads rows with RefID 30 from included_accessions_metadata.csv, keeps rows where source_isolate contains day1, and writes the retained full metadata rows to FilterResultFile."
HCV_BlastHists_Apr29.xlsx,NS5B_PtGT0_Check,NS5B,943,Check,Present,source_isolate contains day 1,temp/hcv-ns5b-comet-build-workflow/run_ns5b_pipeline/refid_metadata/RefID_943_metadata.csv,"Step 5 reads rows with RefID 943 from included_accessions_metadata.csv, keeps rows where source_isolate contains day 1, and writes the retained full metadata rows to FilterResultFile."
HCV_BlastHists_Apr29.xlsx,NS5B_PtGT0_Check,NS5B,1051,Check,Present,source_isolate contains token 1a through 51a,temp/hcv-ns5b-comet-build-workflow/run_ns5b_pipeline/refid_metadata/RefID_1051_metadata.csv,"Step 5 reads rows with RefID 1051 from included_accessions_metadata.csv, keeps rows where source_isolate contains token 1a through 51a, and writes the retained full metadata rows to FilterResultFile."
HCV_BlastHists_Apr29.xlsx,NS5B_PtGT0_Check,NS5B,192,Check,Present,source_isolate contains day1,temp/hcv-ns5b-comet-build-workflow/run_ns5b_pipeline/refid_metadata/RefID_192_metadata.csv,"Step 5 reads rows with RefID 192 from included_accessions_metadata.csv, keeps rows where source_isolate contains day1, and writes the retained full metadata rows to FilterResultFile."
HCV_BlastHists_Apr29.xlsx,NS5B_PtGT0_Check,NS5B,17,Check,Present,Accession membership list: temp/hcv-ns5b-comet-build-workflow/run_ns5b_pipeline/17.csv,temp/hcv-ns5b-comet-build-workflow/run_ns5b_pipeline/refid_metadata/RefID_17_metadata.csv,"Step 5 reads rows with RefID 17 from included_accessions_metadata.csv, keeps rows where Accession membership list: temp/hcv-ns5b-comet-build-workflow/run_ns5b_pipeline/17.csv, and writes the retained full metadata rows to FilterResultFile."
HCV_BlastHists_Apr29.xlsx,NS5B_PtGT0_Check,NS5B,346,Check,Present,source_isolate contains baseline,temp/hcv-ns5b-comet-build-workflow/run_ns5b_pipeline/refid_metadata/RefID_346_metadata.csv,"Step 5 reads rows with RefID 346 from included_accessions_metadata.csv, keeps rows where source_isolate contains baseline, and writes the retained full metadata rows to FilterResultFile."
