Accession,ClosestGenotype,ClosestGenotypePident,ClosestGenotypeAlignedNT,ClosestSubtype,ClosestSubtypePident,ClosestSubtypeAlignedNT,ReferenceOverlapAA,FullyCover
MW205287,3,79.056,339,3b,90.855,339,2769-2855,
MW205288,3,75.221,339,3k,91.740,339,2769-2855,
MW205289,4,80.826,339,4k,89.086,339,2736-2848,
MW205290,4,81.416,339,4q,92.035,339,2736-2848,
MW205291,4,81.525,341,4f,91.691,337,2736-2848,
MW205292,3,78.171,339,3b,90.265,339,2769-2855,
MW205293,3,78.466,339,3b,88.791,339,2769-2855,
MW205294,4,83.186,339,4o,91.740,339,2736-2848,
MW205295,4,83.438,320,4k,92.035,339,2736-2842,
MW205296,4,82.891,339,4k,92.625,339,2736-2848,
MW205297,3,73.964,338,3k,91.740,339,2769-2855,
MW205298,1,81.121,339,1c,92.920,339,2759-2855,
MW205299,4,81.361,338,4f,91.150,339,2736-2848,
MW205300,2,81.416,339,2k,91.071,336,2781-2855,
MW205301,4,83.183,333,4t,92.625,339,2736-2846,
MW205302,4,83.776,339,4o,87.021,339,2736-2848,
MW205303,4,83.776,339,4o,89.381,339,2736-2848,
MW205304,4,81.452,248,4k,89.113,248,2759-2841,
MW205305,4,84.024,338,4l,88.166,338,2736-2848,
MW205306,4,84.661,339,4v,95.280,339,2736-2848,
MW205307,4,83.133,332,4l,88.855,332,2736-2846,
MW205308,2,84.273,337,2k,88.496,339,2781-2855,
MW205309,2,84.956,339,2j,86.944,337,2781-2855,
MW205310,4,82.493,337,4v,89.318,337,2736-2848,
MW205311,2,84.570,337,2j,85.546,339,2781-2855,
MW205312,2,85.460,337,2v,88.201,339,2781-2855,
MW205313,2,86.053,337,2v,87.906,339,2781-2855,
MW205314,2,85.460,337,2a,87.240,337,2781-2855,
MW205315,4,84.024,338,4v,87.316,339,2736-2848,
MW205316,2,84.416,308,2a,85.390,308,2783-2855,
MW205317,1,84.366,339,1g,94.690,339,2759-2855,
MW205318,1,84.956,339,1g,94.395,339,2759-2855,
MW205319,1,84.956,339,1g,97.050,339,2759-2855,
MW205320,1,85.251,339,1g,95.575,339,2759-2855,
MW205321,1,83.936,249,1g,96.787,249,2774-2855,
MW205322,1,84.950,299,1g,94.040,302,2765-2855,
MW205323,1,83.186,339,1g,92.625,339,2759-2855,
MW205324,1,83.481,339,1g,93.805,339,2759-2855,
MW205325,2,83.481,339,2i,93.510,339,2781-2855,
MW205326,2,82.301,339,2i,93.510,339,2781-2855,
MW205327,2,81.711,339,2i,93.510,339,2781-2855,
MW205328,2,83.481,339,2i,92.330,339,2781-2855,
MW205329,2,84.118,340,2f,90.560,339,2781-2855,
MW205330,2,82.301,339,2f,89.086,339,2781-2855,
MW205331,2,84.412,340,2f,92.878,337,2781-2855,
MW205332,2,83.824,340,2f,94.985,339,2781-2855,
MW205333,2,85.546,339,2f,90.855,339,2781-2855,
MW205334,2,80.531,339,2f,89.971,339,2781-2855,
MW205335,2,82.789,337,2d,85.757,337,2781-2855,
MW205336,2,82.596,339,2d,85.841,339,2781-2855,
MW205337,2,82.789,337,2m,84.866,337,2781-2855,
MW205338,2,84.866,337,2u,86.053,337,2781-2855,
MW205339,2,85.546,339,2j,86.647,337,2781-2855,
MW205340,2,83.481,339,2k,84.273,337,2781-2855,
MW205341,2,82.196,337,2f,84.071,339,2781-2855,
MW205342,2,83.680,337,2m,86.350,337,2781-2855,
MW205343,2,82.891,339,2m,84.661,339,2781-2855,
MW205344,2,86.310,336,2a,87.202,336,2782-2855,
MW205345,2,84.570,337,2m,85.460,337,2781-2855,
MW205346,2,83.766,308,2j,84.488,303,2783-2855,
MW205347,2,81.416,339,2m,84.071,339,2781-2855,
MW205348,2,82.891,339,2e,92.035,339,2781-2855,
MW205349,2,84.071,339,2e,92.625,339,2781-2855,
MW205350,2,82.493,337,2f,86.053,337,2781-2855,
MW205351,2,84.071,339,2f,87.834,337,2781-2855,
MW205352,2,82.249,338,2u,84.615,338,2781-2855,
MW205353,2,82.301,339,2d,82.891,339,2781-2855,
MW205354,2,82.493,337,2f,86.136,339,2781-2855,
MW205355,2,82.196,337,2k,85.841,339,2781-2855,
MW205356,2,83.383,337,2j,86.944,337,2781-2855,
MW205357,2,79.525,337,2j,85.841,339,2781-2855,
MW205358,2,82.493,337,2j,84.956,339,2781-2855,
MW205359,2,81.306,337,2d,84.866,337,2781-2855,
MW205360,4,80.573,314,4k,86.513,304,2736-2840,
MW205361,2,82.493,337,2v,85.546,339,2781-2855,
MW205362,2,82.789,337,2v,86.431,339,2781-2855,
MW205363,2,81.306,337,2v,85.546,339,2781-2855,
MW205364,2,82.493,337,2v,84.956,339,2781-2855,
MW205365,2,83.086,337,2f,85.251,339,2781-2855,
MW205366,2,82.493,337,2u,86.350,337,2781-2855,
MW205367,2,82.301,339,2j,86.982,338,2781-2855,
MW205368,2,82.301,339,2k,86.810,326,2781-2855,
MW205369,2,85.163,337,2k,86.095,338,2781-2855,
MW205370,2,77.231,325,2r,78.698,338,2781-2855,
MW205371,6,72.189,338,6e,94.379,338,2768-2855,
MW205372,6,71.006,338,6e,92.604,338,2768-2855,
MW205373,6,70.206,339,6e,88.166,338,2768-2855,
MW205374,1,70.710,338,1a,71.006,338,2759-2855,
MW205375,8,73.913,253,8a,73.913,253,2792-2855,
MW205467,2,82.887,672,2c,83.905,671,2683-2855,
MW205468,2,82.292,672,2v,83.756,671,2683-2855,
MW205469,2,82.414,671,2v,84.328,670,2683-2855,
MW205470,2,83.360,625,2v,83.520,625,2691-2855,
MW205471,2,84.673,672,2u,86.140,671,2683-2855,
MW205472,2,82.362,669,2c,83.832,668,2683-2855,
MW205473,2,84.418,661,2k,85.930,661,2683-2855,
MW205474,2,83.159,671,2k,92.399,671,2683-2855,
MW205475,2,83.159,671,2k,84.948,671,2683-2855,
MW205476,2,85.097,671,2j,86.736,671,2683-2855,
MW205477,2,83.159,671,2u,84.352,671,2683-2855,
MW205478,2,83.036,672,2j,85.268,672,2683-2855,
MW205479,2,84.054,671,2a,85.991,671,2683-2855,
MW205480,2,80.838,668,2f,89.820,668,2683-2855,
MW205481,2,83.186,678,2f,95.126,677,2683-2855,
MW205482,2,82.861,671,2f,87.034,671,2683-2855,
MW205483,2,82.256,665,2d,86.917,665,2683-2855,
MW205484,2,81.763,658,2d,85.866,658,2683-2855,
MW205485,2,82.116,671,2r,91.654,671,2683-2855,
MW205486,2,82.036,668,2r,89.970,668,2683-2855,
MW205487,2,83.308,671,2q,84.948,671,2683-2855,
MW205488,2,83.159,671,2k,86.289,671,2683-2855,
MW205489,2,83.131,658,2v,85.562,658,2683-2855,
MW205490,2,80.861,674,2v,83.308,671,2683-2855,
MW205491,2,81.915,658,2e,90.274,658,2683-2855,
MW205492,2,82.635,668,2c,93.114,668,2683-2855,
MW205493,2,81.371,671,2c,91.654,671,2683-2855,
MW205494,2,81.571,662,2r,83.384,662,2683-2855,
MW205495,2,83.435,658,2i,91.489,658,2683-2855,
MW205496,2,82.712,671,2i,91.952,671,2683-2855,
MW205497,2,82.219,658,2i,90.578,658,2683-2855,
MW205498,2,83.458,671,2i,90.760,671,2683-2855,
MW205499,3,81.833,611,3b,90.671,611,2684-2855,
MW205500,3,82.787,610,3b,90.164,610,2684-2855,
MW205501,3,82.430,609,3b,93.103,609,2684-2855,
MW205502,3,81.848,617,3b,93.679,617,2684-2855,
MW205503,3,82.658,617,3b,91.086,617,2684-2855,
MW205504,3,81.506,611,3b,92.308,611,2684-2855,
MW205505,3,82.947,604,3b,92.219,604,2686-2855,
MW205506,3,82.701,659,3b,92.109,659,2683-2855,
MW205507,3,82.028,651,3b,90.798,652,2683-2855,
MW221786,4,83.713,307,4d,96.091,307,2744-2846,
MW221787,3,95.440,307,3a,90.584,308,2777-2855,
MW221788,3,96.091,307,3a,92.532,308,2777-2855,
MW221789,3,95.114,307,3a,90.909,308,2777-2855,
MW221790,3,95.765,307,3a,90.909,308,2777-2855,
MW221791,1,95.114,307,1a,94.463,307,2768-2855,
MW221792,3,95.765,307,3a,90.909,308,2777-2855,
MW221793,3,94.788,307,3a,90.584,308,2777-2855,
MW221794,3,95.114,307,3a,90.909,308,2777-2855,
MW221795,3,96.417,307,3a,91.883,308,2777-2855,
MW221796,3,96.091,307,3a,91.883,308,2777-2855,
MW221797,3,95.765,307,3a,90.909,308,2777-2855,
MW221798,4,84.365,307,4d,95.440,307,2744-2846,
MW221799,4,90.099,303,4a,90.099,303,2745-2846,
MW221800,4,90.759,303,4a,90.759,303,2745-2846,
MW221801,3,95.440,307,3a,90.260,308,2777-2855,
MW221802,3,94.137,307,3a,90.541,296,2777-2855,
MW221803,3,94.137,307,3a,91.234,308,2777-2855,
MW221804,3,94.788,307,3a,90.584,308,2777-2855,
MW221805,3,95.765,307,3a,90.909,308,2777-2855,
MW221806,3,95.765,307,3a,92.208,308,2777-2855,
MW221807,1,96.417,307,1a,95.765,307,2768-2855,
MW221808,3,95.440,307,3a,91.234,308,2777-2855,
MW221809,4,84.691,307,4d,96.091,307,2744-2846,
MW221810,3,92.182,307,3a,87.987,308,2777-2855,
MW221811,3,93.485,307,3a,90.260,308,2777-2855,
MW221812,3,92.508,307,3a,88.961,308,2777-2855,
MW221813,3,95.114,307,3a,91.234,308,2777-2855,
MW221814,1,94.788,307,1a,94.137,307,2768-2855,
MW221815,1,94.788,307,1a,94.137,307,2768-2855,
MW221816,3,93.811,307,3a,89.935,308,2777-2855,
MW221817,4,90.429,303,4a,90.429,303,2745-2846,
MW221818,4,84.039,307,4d,95.440,307,2744-2846,
MW221819,3,94.463,307,3a,90.228,307,2777-2855,
MW221820,1,81.788,302,1b,94.788,307,2769-2855,
MW221821,3,93.811,307,3a,89.286,308,2777-2855,
MW234382,2,80.000,310,2b,94.534,311,2773-2855,
MW234383,2,80.000,310,2b,93.248,311,2773-2855,
MW234384,3,92.208,308,3a,89.644,309,2762-2855,
MW234385,3,94.249,313,3a,91.401,314,2760-2855,
MW234386,3,92.857,308,3a,89.968,309,2762-2855,
MW234387,3,92.605,311,3a,89.423,312,2760-2855,
MW234388,3,92.971,313,3a,89.490,314,2760-2855,
MW234389,2,81.290,310,2b,93.569,311,2773-2855,
MW234390,3,93.791,306,3a,91.205,307,2761-2855,
MW234391,2,80.968,310,2b,94.855,311,2773-2855,
MW234392,3,94.551,312,3a,93.291,313,2760-2855,
MW234393,3,92.926,311,3a,89.103,312,2761-2855,
MW234394,3,93.291,313,3a,90.127,314,2760-2855,
MW234395,3,80.519,308,3b,91.234,308,2762-2855,
MW234396,3,93.248,311,3a,91.346,312,2761-2855,
MW234397,3,91.693,313,3a,90.446,314,2760-2855,
MW234398,3,80.000,310,3b,92.027,301,2761-2855,
MW234399,3,92.652,313,3a,89.490,314,2760-2855,
MW234400,3,93.688,301,3a,90.759,303,2764-2855,
MW234401,2,78.205,312,2b,92.926,311,2773-2855,
MW234402,2,80.449,312,2b,95.498,311,2773-2855,
MW234403,3,80.519,308,3b,91.722,302,2762-2855,
MW234404,2,81.935,310,2b,93.248,311,2773-2855,
MW234405,3,91.857,307,3a,88.179,313,2760-2855,
MW234406,3,91.987,312,3a,89.457,313,2760-2855,
MW357752,1,79.934,608,1b,92.974,612,2683-2848,
MW357753,1,79.934,608,1b,92.974,612,2683-2848,
MW357754,1,79.255,564,1b,90.829,567,2683-2833,
MW357755,1,79.934,608,1b,92.157,612,2683-2848,
MW357756,1,79.822,674,1b,92.464,690,2683-2855,
MW357757,1,80.592,608,1b,92.974,612,2683-2848,
MW357758,1,80.921,608,1b,94.118,612,2683-2848,
MW357759,1,80.428,608,1b,92.647,612,2683-2848,
MW357760,1,80.592,608,1b,92.647,612,2683-2848,
MW357761,1,81.086,608,1b,91.830,612,2683-2848,
MW357762,1,81.414,608,1b,94.281,612,2683-2848,
MW357763,1,80.438,639,1b,93.114,639,2683-2853,
MW357764,1,80.099,608,1b,92.484,612,2683-2848,
MW357765,1,80.428,608,1b,91.830,612,2683-2848,
MW357766,1,81.743,608,1b,92.810,612,2683-2848,
MW357767,1,80.757,608,1b,91.503,612,2683-2848,
MW357768,1,79.868,606,1b,92.459,610,2683-2847,
MW357769,1,78.489,609,1b,91.148,610,2683-2848,
MW357770,1,81.172,563,1b,91.319,576,2683-2833,
MW357771,1,80.488,656,1b,92.683,656,2683-2855,
MW357772,1,80.592,608,1b,92.974,612,2683-2848,
MW357773,1,79.938,648,1b,92.000,650,2683-2853,
MW357774,1,80.680,647,1b,93.509,647,2683-2853,
MW357775,1,80.592,608,1b,91.830,612,2683-2848,
MW357776,1,80.921,608,1b,91.830,612,2683-2848,
MW357777,1,80.401,648,1b,92.462,650,2683-2853,
MW357778,1,80.788,609,1b,92.647,612,2683-2848,
MW357779,1,79.934,608,1b,92.647,612,2683-2848,
MW357780,1,81.086,608,1b,91.830,612,2683-2848,
MW357781,1,80.921,608,1b,93.791,612,2683-2848,
MW357782,1,79.812,639,1b,92.391,644,2683-2853,
MW357783,1,80.345,580,1b,92.321,586,2683-2839,
MW357784,1,80.331,605,1b,92.611,609,2683-2847,
MW357785,1,80.921,608,1b,92.320,612,2683-2848,
MW357786,1,80.597,603,1b,92.484,612,2683-2848,
MW357787,1,80.865,601,1b,93.719,605,2683-2846,
MW357788,1,81.250,608,1b,91.830,612,2683-2848,
MW357789,1,79.636,604,1b,91.283,608,2683-2847,
MW357790,1,81.289,636,1b,93.458,642,2683-2849,
MW357791,1,79.338,634,1b,93.849,634,2683-2848,
MW357792,1,80.639,532,1b,92.871,533,2683-2823,
MZ327730,3,93.619,9262,3a,92.183,9262,2683-2855,
MZ327731,1,91.981,9228,1a,91.959,9228,2683-2855,
MZ327732,1,94.367,9213,1a,94.302,9213,2683-2855,
MZ327733,1,91.605,9232,1a,91.389,9232,2683-2855,
MZ327734,1,92.979,9215,1a,92.675,9215,2683-2855,
MZ327735,3,93.577,7644,3a,92.089,7648,,
MZ327736,1,91.549,9230,1a,91.769,9233,2683-2855,
MZ327737,1,93.317,9217,1a,93.067,9217,2683-2855,
MZ327738,3,94.188,9257,3a,92.376,9260,2683-2855,
MZ327739,1,93.281,9213,1a,92.923,9213,2683-2855,
MZ327740,1,92.838,9215,1a,92.447,9215,2683-2855,
MZ327741,1,91.627,9232,1a,91.518,9231,2683-2855,
MZ327742,1,92.024,9228,1a,91.797,9228,2683-2855,
MZ327743,1,87.474,9229,1a,87.654,9234,2683-2855,
MZ327744,1,91.959,9228,1a,91.634,9228,2683-2855,
MZ327745,3,92.903,9258,3a,92.539,9261,2683-2855,
MZ327746,1,91.515,9228,1a,91.114,9228,2683-2855,
MZ327747,1,95.246,9213,1a,95.162,9218,2683-2855,
MZ327748,3,93.594,9257,3a,92.883,9260,2683-2855,
MZ327749,1,93.402,9215,1a,93.196,9215,2683-2855,
MZ327750,3,93.811,9259,3a,92.432,9263,2683-2855,
MZ327751,1,93.086,9213,1a,92.749,9213,2683-2855,
MZ327752,4,80.377,9239,4d,94.922,9216,2683-2855,
MZ327753,1,79.160,9242,1b,90.942,9229,2683-2855,
MZ327754,3,93.994,9257,3a,92.333,9261,2683-2855,
MZ327755,2,76.899,9320,2b,91.527,9300,2683-2855,
MZ327756,3,93.034,9259,3a,92.429,9259,2683-2855,
MZ327757,3,92.925,9258,3a,92.213,9259,2683-2855,
MZ327758,1,91.981,9228,1a,91.688,9228,2683-2855,
MZ327759,3,93.077,9259,3a,92.584,9264,2683-2855,
MZ327760,1,93.816,9218,1a,93.480,9218,2683-2855,
MZ327761,1,93.934,9216,1a,93.771,9215,2683-2855,
MZ327762,1,91.349,9236,1a,91.175,9235,2683-2855,
MZ327763,1,92.716,5876,1a,92.495,5876,2683-2855,
MZ327764,3,93.118,9256,3a,92.353,9259,2683-2855,
MZ327765,1,91.791,9234,1a,91.700,9229,2683-2855,
MZ327766,1,92.683,9211,1a,92.400,9210,2683-2855,
MZ327767,1,94.128,9213,1a,93.922,9213,2683-2855,
MZ327768,1,91.785,9203,1a,91.882,9202,2683-2855,
MZ327769,1,79.226,9247,1b,90.603,9237,2683-2855,
MZ327770,1,93.403,9217,1a,93.045,9217,2683-2855,
MZ327771,1,91.495,9230,1a,91.334,9232,2683-2855,
MZ327772,3,92.752,9258,3a,92.203,9260,2683-2855,
MZ327773,3,93.468,9262,3a,92.191,9259,2683-2855,
MZ327774,1,78.467,9251,1b,91.032,9233,2683-2855,
MZ327775,1,78.959,9239,1b,90.853,9227,2683-2855,
MZ327776,1,93.413,9215,1a,93.250,9215,2683-2855,
MZ327777,1,91.334,9232,1a,91.205,9232,2683-2855,
MZ327778,1,94.530,9214,1a,94.346,9214,2683-2855,
MZ327779,3,92.460,9257,3a,91.773,9262,2683-2855,
MZ327780,3,92.762,9257,3a,92.041,9260,2683-2855,
MZ327781,3,93.745,9256,3a,92.084,9260,2683-2855,
MZ327782,1,94.267,9227,1a,94.188,9223,2683-2855,
MZ327783,3,92.418,9259,3a,91.946,9262,2683-2855,
MZ327784,2,77.054,9322,2b,92.107,9299,2683-2855,
MZ327785,1,94.323,9213,1a,94.367,9213,2683-2855,
MZ327786,3,93.258,9256,3a,92.613,9259,2683-2855,
MZ327787,1,95.789,9215,1a,95.323,9215,2683-2855,
MZ327788,1,92.273,9202,1a,92.091,9205,2683-2855,
MZ327789,3,92.382,9267,3a,91.766,9266,2683-2855,
MZ327790,1,91.927,9228,1a,91.645,9228,2683-2855,
MZ327791,1,79.254,9245,1b,90.184,9230,2683-2855,
MZ327792,1,93.359,9216,1a,93.348,9215,2683-2855,
MZ327793,1,93.701,6207,1a,93.862,6207,,
MZ327794,3,93.637,9257,3a,92.063,9261,2683-2855,
MZ327795,1,91.714,9232,1a,91.237,9232,2683-2855,
MZ327796,3,94.568,9260,3a,93.070,9264,2683-2855,
MZ327797,1,91.350,9237,1a,91.487,9233,2683-2855,
MZ327798,1,91.951,9231,1a,91.636,9230,2683-2855,
MZ327799,3,93.692,9258,3a,92.052,9260,2683-2855,
MZ327800,2,76.915,9322,2b,90.914,9300,2683-2855,
PP457742,2,92.183,371,2a,93.801,371,2794-2855,
PP457743,2,91.467,375,2a,92.800,375,2793-2855,
PP457744,2,90.064,312,2a,92.903,310,2794-2855,
PP457745,2,91.560,391,2a,92.583,391,2794-2855,
PP457746,2,91.467,375,2a,92.533,375,2793-2855,
PP457747,2,91.560,391,2a,92.583,391,2794-2855,
PP457748,2,90.127,314,2a,92.675,314,2793-2855,
PP457749,2,92.188,384,2a,92.288,389,2797-2855,
PP457750,2,91.645,383,2a,92.408,382,2794-2855,
PP457751,2,91.718,326,2a,92.331,326,2793-2855,
PP457752,2,92.013,313,2a,92.971,313,2794-2855,
PP457753,2,90.997,311,2a,93.226,310,2794-2855,
PP457754,2,90.354,311,2a,92.581,310,2794-2855,
PP457755,2,92.434,304,2a,93.421,304,2797-2855,
PP457756,2,92.605,311,2a,93.871,310,2794-2855,
PP457757,2,91.318,311,2a,92.258,310,2794-2855,
PP457758,2,88.026,309,2a,89.968,309,2794-2855,
PP457759,2,92.063,315,2a,93.333,315,2793-2855,
PP457760,2,92.381,315,2a,93.458,321,2797-2855,
PP457761,2,91.884,345,2a,92.754,345,2783-2855,
PP457762,2,91.531,307,2a,92.308,312,2797-2855,
PP457763,2,91.103,281,2a,92.171,281,2799-2855,
PP457764,2,91.148,305,2a,92.208,308,2797-2855,
PP457765,2,91.554,296,2a,92.568,296,2799-2855,
PP457766,2,91.935,310,2a,91.935,310,2794-2855,
PP457767,2,92.053,302,2a,93.160,307,2797-2855,
PP457768,2,91.176,306,2a,90.554,307,2797-2855,
PP457769,2,90.909,308,2a,91.374,313,2797-2855,
PP457770,2,92.105,304,2a,93.506,308,2797-2855,
PP457771,2,91.776,304,2a,92.857,308,2797-2855,
PP457772,2,92.013,313,2a,92.971,313,2794-2855,
PP457773,2,92.068,353,2a,92.635,353,2781-2855,
PP457774,2,91.919,297,2a,93.243,296,2799-2855,
PP457775,2,90.997,311,2a,91.613,310,2794-2855,
PP457776,2,92.642,299,2a,93.624,298,2798-2855,
PP457777,2,91.111,315,2a,91.720,314,2793-2855,
PP457778,2,92.308,312,2a,93.871,310,2794-2855,
PP457779,2,92.105,304,2a,93.464,306,2797-2855,
PP457780,2,91.083,314,2a,92.994,314,2794-2855,
PP457781,2,90.970,299,2a,92.977,299,2799-2855,
PP457782,2,91.054,313,2a,92.652,313,2794-2855,
PP457783,2,91.892,296,2a,93.243,296,2798-2855,
PP457784,2,89.235,353,2a,90.085,353,2781-2855,
PP457785,2,92.532,308,2a,92.857,308,2797-2855,
PP457786,2,90.476,315,2a,89.206,315,2794-2855,
PP457787,2,91.722,302,2a,93.046,302,2799-2855,
PP457788,2,91.883,308,2a,92.926,311,2797-2855,
PP457789,2,92.182,307,2a,92.628,312,2797-2855,
PP457790,2,92.027,301,2a,92.027,301,2799-2855,
PP457791,2,91.640,311,2a,92.903,310,2794-2855,
PP457792,2,91.611,298,2a,92.953,298,2798-2855,
PP457793,2,90.643,342,2a,91.813,342,2778-2855,
PP457794,2,89.241,316,2a,90.190,316,2794-2855,
PP457795,2,90.159,315,2a,91.429,315,2794-2855,
PP457796,2,90.288,278,2a,93.165,278,2799-2855,
PP457797,2,91.586,309,2a,93.528,309,2794-2855,
PP457798,2,90.190,316,2a,92.405,316,2793-2855,
PP457799,2,92.105,304,2a,93.182,308,2797-2855,
PP457800,2,91.054,313,2a,90.415,313,2794-2855,
PP457801,2,89.068,311,2a,91.318,311,2794-2855,
PP457802,2,92.351,353,2a,92.351,353,2781-2855,
PP484706,4,81.119,286,4f,93.310,284,2751-2846,
PP484707,2,84.155,284,2u,88.339,283,2797-2855,
PP484708,1,81.469,286,1d,87.762,286,2774-2855,
PP484709,1,85.612,278,1l,86.282,277,2774-2855,
PP484710,2,84.452,283,2u,87.279,283,2797-2855,
PP484711,4,80.769,286,4f,90.141,284,2751-2846,
PP484712,2,81.690,284,2u,86.926,283,2797-2855,
PP484713,4,81.338,284,4t,92.308,286,2751-2845,
PP484714,4,82.168,286,4p,91.958,286,2751-2846,
PP484715,2,85.211,284,2u,89.046,283,2797-2855,
PP484716,4,82.867,286,4p,91.958,286,2751-2846,
PP484717,4,83.099,284,4t,90.909,286,2751-2845,
PP484718,1,81.338,284,1h,93.662,284,2774-2855,
PP484719,2,82.394,284,2u,86.572,283,2797-2855,
PP484720,4,82.168,286,4f,92.606,284,2751-2846,
PP484721,4,82.867,286,4f,91.901,284,2751-2846,
PP484722,4,83.217,286,4m,87.273,275,2751-2846,
PP484723,4,81.469,286,4l,84.266,286,2751-2846,
PP484724,2,85.211,284,2u,88.339,283,2797-2855,
PP484725,4,81.119,286,4f,93.662,284,2751-2846,
PP484726,4,83.099,284,4f,93.007,286,2751-2845,
PP484727,1,84.266,286,1e,92.308,286,2774-2855,
PP484728,1,86.364,286,1e,93.007,286,2774-2855,
PP484729,2,84.155,284,2a,85.211,284,2797-2855,
PP484730,4,80.070,286,4f,91.901,284,2751-2846,
PP484731,2,84.507,284,2u,87.633,283,2797-2855,
PP484732,2,85.563,284,2u,87.986,283,2797-2855,
PP484733,4,80.420,286,4f,92.958,284,2751-2846,
PP484734,4,83.566,286,4f,96.831,284,2751-2846,
PP484735,1,85.664,286,1e,94.056,286,2774-2855,
PP484736,4,82.867,286,4f,91.901,284,2751-2846,
PP484737,2,85.211,284,2u,88.339,283,2797-2855,
PP484738,1,83.217,286,1e,95.105,286,2774-2855,
PP484739,4,82.168,286,4f,93.662,284,2751-2846,
PP484740,4,81.949,277,4m,84.643,280,2751-2843,
PP484741,4,83.217,286,4m,87.273,275,2751-2846,
PP484742,4,79.371,286,4f,91.197,284,2751-2846,
PP484743,4,80.769,286,4f,91.549,284,2751-2846,
PP484744,4,83.217,286,4p,87.413,286,2751-2846,
PP484745,1,80.427,281,1o,84.342,281,2774-2855,
PP484746,1,83.746,283,1o,84.698,281,2774-2855,
PP484747,4,83.099,284,4t,92.143,280,2751-2845,
PP484748,1,83.566,286,1e,93.357,286,2774-2855,
PP484749,1,84.266,286,1l,94.755,286,2774-2855,
PP484750,2,86.219,283,2u,93.007,286,2797-2855,
PP484751,1,84.342,281,1e,95.730,281,2774-2855,
PP484752,4,82.517,286,4p,90.559,286,2751-2846,
PP484753,2,83.803,284,2u,87.633,283,2797-2855,
PP484754,4,82.014,278,4t,90.909,286,2751-2843,
PP484755,4,79.720,286,4f,90.141,284,2751-2846,
PP484756,2,79.245,265,2u,82.264,265,2803-2855,
PP484757,2,84.452,283,2u,95.105,286,2797-2855,
PP484758,1,84.266,286,1e,95.804,286,2774-2855,
PP484759,1,85.315,286,1e,94.056,286,2774-2855,
PP484760,4,82.007,289,4f,90.493,284,2751-2846,
PP484761,4,81.469,286,4f,93.310,284,2751-2846,
PP484762,4,81.818,286,4l,88.462,286,2751-2846,
PP484763,1,84.266,286,1e,94.406,286,2774-2855,
PP484764,1,83.566,286,1e,92.308,286,2774-2855,
PP484765,4,81.119,286,4f,91.197,284,2751-2846,
PP484766,1,83.217,286,1e,93.706,286,2774-2855,
