CometSubtype,AllFiveDisagree,AvailableCallsDisagree,TotalDisagree,OtherMethodSubtypes
2I,4,1,5,"2I;2J;UNASSIGNED_1, 2I-2K;UNASSIGNED_1, 2I-2K-2B-3H;UNASSIGNED_1, 2I-2K-2C-3H"
2J,54,496,550,"2A;2B;2C;2D;2E;2F;2I;2J;2K;2L;2M;2NC;2P;2Q;2R;2T;2U;2V;4F;7A;8A;UNASSIGNED_1, 2J-6K"
2K,1,18,19,2A;2C;2D;2E;2F;2I;2J;2K;2M;2Q;2R;2U;2V
2M,7,46,53,2A;2D;2J;2K;2M;2NC;2R;2U;3M
2Q,7,71,78,2A;2B;2D;2F;2J;2K;2L;2M;2Q;2R;2T;2U;2V
2R,1,3,4,2NC;2R;2U
3A,22,63,85,"1A;1B;3A;3B;3D;3E;3H;3I;6R;6W;7B;8A;UNASSIGNED_1, 3A-1A;UNASSIGNED_1, 3A-2B;UNASSIGNED_1, 3A-3G;UNASSIGNED_1, 3A-3H;UNASSIGNED_1, 3B-3A"
3B,4,6,10,"2A;2F;2J;3A;3B;3G;6XA;UNASSIGNED_1, 3B-3H"
3G,3,3,6,3E;3G;3H;3I;6XF
3H,0,1,1,"1K;3H;UNASSIGNED_1, 3H-6A"
3I,1,0,1,"3I;UNASSIGNED_1, 3I-3H-6H-6B"
3K,1,0,1,3A;3K
4A,41,72,113,"1L;1M;2J;4A;4C;4D;4E;4F;4G;4L;4M;4O;4P;4Q;4R;4S;4T;4V;4W;7B;UNASSIGNED_1, 4A-1A"
4C,3,0,3,4C;4K;4R
4D,6,19,25,"4A;4B;4C;4D;4L;4M;4O;4P;4S;4V;4W;UNASSIGNED_1, 4D-4O"
4F,9,31,40,1E;1H;1L;1N;2F;4A;4B;4C;4D;4E;4F;4K;4L;4M;4P;4R;4T;4V;4W;8A
4G,0,2,2,4G;4K;4W
4G?,4,4,8,4G;4G?
4K,32,17,49,"1A;1B;2L;2R;4B;4G;4H;4K;4L;4M;4P;4Q;4R;4V;4W;6K;6R;6XD;8A;UNASSIGNED_1, 4K-4F"
4L,9,21,30,1M;4B;4C;4L;4M;4N;4S;4T;4V
4M,1,15,16,1E;1M;2A;4C;4F;4L;4M;4P;4R
4N,1,5,6,4C;4F;4L;4N;4O;4V
4O,2,3,5,2R;4A;4L;4O;4S;4W
4P,2,2,4,1E;4D;4M;4P;4T
4R,2,3,5,4C;4L;4P;4R;4V
4T,1,0,1,4T;4V
4V,87,224,311,"1L;4A;4B;4C;4D;4E;4F;4G;4K;4L;4M;4N;4NC;4P;4Q;4R;4S;4T;4U;4V;4W;6Q;6T;8A;UNASSIGNED_1, 4V-4A-4P;UNASSIGNED_1, 4V-4G;UNASSIGNED_1, 4V-4K;UNASSIGNED_1, 4V-4M;UNASSIGNED_1, 4V-4M-4P-4T-4A-3G-2B-1A-3H;UNASSIGNED_1, 4V-4O"
4W,6,1,7,4B;4W;8A
5A,1,4,5,"1A;2J;5A;5B;UNASSIGNED_1, 5A-1C"
6A,6,16,22,"2J;5A;6A;6B;6D;6J;6N;6R;6W;6XA;6XD;6XG;7A;8A;UNASSIGNED_1, 2J-5A;UNASSIGNED_1, 6A-1B;UNASSIGNED_1, 6A-3A;UNASSIGNED_1, 6A-3H"
6B,1,4,5,6B;6XD
6C,1,1,2,1H;6C;6F
6D,0,2,2,1H;6D;8A
6E,91,110,201,1A;1B;1C;1D;1G;1L;1N;3D;6A;6B;6C;6D;6E;6F;6N;6O;6P;6Q;6T;6U;6W;6X;6XA;6XC;6XF;6XG;6XH;7A;7B;8A
6F,10,3,13,1B;6C;6F;6Q;6R;6T;6XF;7A;8A
6G,4,28,32,"1B;1M;1N;3D;6D;6G;6O;6R;6W;6XF;7B;8A;UNASSIGNED_1, 6G-3B"
6H,30,10,40,1L;1M;2L;3D;3G;6H;8A
6I,33,6,39,1A;1D;1L;1M;6I;6P;7A;8A
6J,8,43,51,1A;1L;1M;2A;3G;3H;3I;4K;6J;7A;8A
6K,5,1,6,1C;1J;6K;6L;6XI;6XJ;8A
6L,46,27,73,1A;1C;1L;1M;1N;2A;2M;6H;6K;6K-RELATED;6L;6L-RELATED;6XB;6XF;6XI;6XJ;8A
6M,1,1,2,6M;8A
6N,44,36,80,1A;1C;1G;1L;1M;1N;6H;6I;6L;6N;6W;6X;6XE;6XG;6XJ;8A
6O,1,3,4,1B;1D;6O;6P;6W;6XF
6P,6,0,6,"2I;3D;6P;8A;UNASSIGNED_1, 6P-2J-2A-2K-2J"
6Q,97,9,106,2U;3B;3D;3E;6Q;7A;8A
6R,30,1,31,1D;1E;1K;1M;3K;6R;8A
6S,43,2,45,1A;1E;1J;6S
6T,1,12,13,1A;4D;4W;6F;6O;6P;6T;6XF;7A;8A
6U,5,0,5,"6E;6U;UNASSIGNED_1, 6U-2B"
6V,1,1,2,2U;3D;6V
6W,8,61,69,"1A;1M;1N;6E;6G;6L;6N;6P;6R;6T;6W;6XA;6XD;6XF;6XG;6XH;7A;7B;8A;UNASSIGNED_1, 2J-5A;UNASSIGNED_1, 6W-2B"
6XA,48,0,48,6U;6XA
"UNASSIGNED_1, 1A-4A",1,0,1,"1A;UNASSIGNED_1, 1A-4A"
"UNASSIGNED_1, 1A-4A-4V",2,0,2,"1A;UNASSIGNED_1, 1A-4A-4V"
"UNASSIGNED_1, 1B-1A",13,3,16,"1A;1B;1C;1P;UNASSIGNED_1, 1A-1B;UNASSIGNED_1, 1A-4A;UNASSIGNED_1, 1B-1A"
"UNASSIGNED_1, 1B-2A",0,1,1,"1D;1I;UNASSIGNED_1, 1B-2A"
"UNASSIGNED_1, 1C-1B",0,1,1,1A;1O
"UNASSIGNED_1, 2A-2K",0,1,1,"2K;2Q;UNASSIGNED_1, 2A-2K"
"UNASSIGNED_1, 2A-6V",1,0,1,"2A;6W;UNASSIGNED_1, 2A-6V"
"UNASSIGNED_1, 2B-1A",1,0,1,"1A;UNASSIGNED_1, 1A-2B"
"UNASSIGNED_1, 3A-6H",0,1,1,"3A;UNASSIGNED_1, 3A-6H"
"UNASSIGNED_1, 6N-6O-6E-6A-6O",1,0,1,"6N;UNASSIGNED_1, 6N-6O-6E-6A-6O"
