Accession,CometFullSeqSubtype,CometPerGeneSubtype,FullSeqSubtype,PerGeneSubtype,GenBankSubtype,PresentMethodCount,BlankMethods,DistinctSubtypeCount,SubtypesObserved,AgreementStatus
MK252798,6N,6N,5A,5A,,4,GenBank,2,5A;6N,AvailableCallsDisagree
MK252799,6N,6N,4C,6N,,4,GenBank,2,4C;6N,AvailableCallsDisagree
MK252803,6XA,6XA,5A,5A,,4,GenBank,2,5A;6XA,AvailableCallsDisagree
MK252804,1B,1B,6XA,5A,,4,GenBank,3,1B;5A;6XA,AvailableCallsDisagree
MK252807,6XA,6XA,5A,5A,,4,GenBank,2,5A;6XA,AvailableCallsDisagree
MK252809,6XA,6XA,5A,5A,,4,GenBank,2,5A;6XA,AvailableCallsDisagree
MK252810,6N,6N,4D,4D,,4,GenBank,2,4D;6N,AvailableCallsDisagree
MK252812,6XA,6XA,5A,5A,,4,GenBank,2,5A;6XA,AvailableCallsDisagree
MK252815,6XA,6XA,5A,5A,,4,GenBank,2,5A;6XA,AvailableCallsDisagree
MK252819,6XA,6XA,5A,5A,,4,GenBank,2,5A;6XA,AvailableCallsDisagree
MK252823,6XA,6XA,5A,5A,,4,GenBank,2,5A;6XA,AvailableCallsDisagree
MK327981,6W,1L,6G,6G,,4,GenBank,3,1L;6G;6W,AvailableCallsDisagree
MK327983,6G,6W,6G,6G,,4,GenBank,2,6G;6W,AvailableCallsDisagree
MK327984,6G,6W,6G,6G,,4,GenBank,2,6G;6W,AvailableCallsDisagree
MK327985,6W,6W,6G,6G,,4,GenBank,2,6G;6W,AvailableCallsDisagree
MK327987,6W,1L,6G,6Q,,4,GenBank,4,1L;6G;6Q;6W,AvailableCallsDisagree
MK327988,6G,6G,6G,5B,,4,GenBank,2,5B;6G,AvailableCallsDisagree
MK327989,6W,6W,6XH,6XH,,4,GenBank,2,6W;6XH,AvailableCallsDisagree
MK327990,6W,3A,6N,6W,,4,GenBank,3,3A;6N;6W,AvailableCallsDisagree
MK327991,6W,6W,6XA,6W,,4,GenBank,2,6W;6XA,AvailableCallsDisagree
MK327993,1B,4K,6XD,6XA,,4,GenBank,4,1B;4K;6XA;6XD,AvailableCallsDisagree
MK327995,6W,6W,6G,5A,,4,GenBank,3,5A;6G;6W,AvailableCallsDisagree
MK327996,6W,6W,6XH,6XH,,4,GenBank,2,6W;6XH,AvailableCallsDisagree
MK327997,6G,6W,6G,6G,,4,GenBank,2,6G;6W,AvailableCallsDisagree
MK327998,6W,6W,6G,5A,,4,GenBank,3,5A;6G;6W,AvailableCallsDisagree
MK327999,6W,1B,6G,6Q,,4,GenBank,4,1B;6G;6Q;6W,AvailableCallsDisagree
MK328001,6W,1B,6XA,6W,,4,GenBank,3,1B;6W;6XA,AvailableCallsDisagree
MK328002,6W,6W,6XH,6XH,,4,GenBank,2,6W;6XH,AvailableCallsDisagree
MK328003,6W,6W,6XH,6XH,,4,GenBank,2,6W;6XH,AvailableCallsDisagree
MK328005,6G,6W,6G,6G,,4,GenBank,2,6G;6W,AvailableCallsDisagree
MK328006,6W,6W,6XH,6XH,,4,GenBank,2,6W;6XH,AvailableCallsDisagree
MK328007,6W,6W,6G,6Q,,4,GenBank,3,6G;6Q;6W,AvailableCallsDisagree
MK328008,6W,6W,8A,6G,,4,GenBank,3,6G;6W;8A,AvailableCallsDisagree
MK328009,6W,6W,6G,6Q,,4,GenBank,3,6G;6Q;6W,AvailableCallsDisagree
MK328010,6W,6W,6XH,6XH,,4,GenBank,2,6W;6XH,AvailableCallsDisagree
MK328012,1B,2B,6D,6B,,4,GenBank,4,1B;2B;6B;6D,AvailableCallsDisagree
MK328014,6W,6T,6G,6G,,4,GenBank,3,6G;6T;6W,AvailableCallsDisagree
MK328018,6W,6W,6G,6G,,4,GenBank,2,6G;6W,AvailableCallsDisagree
MK328019,6G,6W,6G,6G,,4,GenBank,2,6G;6W,AvailableCallsDisagree
MK328020,6W,1B,6G,6G,,4,GenBank,3,1B;6G;6W,AvailableCallsDisagree
MK328021,6W,3A,6XA,6W,,4,GenBank,3,3A;6W;6XA,AvailableCallsDisagree
MK328023,6W,6W,6L,6XE,,4,GenBank,3,6L;6W;6XE,AvailableCallsDisagree
MK328025,6W,1L,6G,6XG,,4,GenBank,4,1L;6G;6W;6XG,AvailableCallsDisagree
MK328026,6W,4K,6G,6G,,4,GenBank,3,4K;6G;6W,AvailableCallsDisagree
MK814771,4A,4A,4C,4C,,4,GenBank,2,4A;4C,AvailableCallsDisagree
MN164845,1A,1A,1A,1O,,4,GenBank,2,1A;1O,AvailableCallsDisagree
MN164851,"UNASSIGNED_1, 1B-1A",1B,1B,1B,,4,GenBank,2,"1B;UNASSIGNED_1, 1B-1A",AvailableCallsDisagree
MN164852,1A,1A,1A,1N,,4,GenBank,2,1A;1N,AvailableCallsDisagree
MN164853,"UNASSIGNED_1, 1A-1B",1A,1A,1A,,4,GenBank,2,"1A;UNASSIGNED_1, 1A-1B",AvailableCallsDisagree
MN164855,"UNASSIGNED_1, 1B-1A",1A,1A,1B,,4,GenBank,3,"1A;1B;UNASSIGNED_1, 1B-1A",AvailableCallsDisagree
MN164856,1A,1A,1A,1K,1P,5,,3,1A;1K;1P,AllFiveDisagree
MN164868,"UNASSIGNED_1, 1A-1B","UNASSIGNED_1, 1A-1B",1A,1I,,4,GenBank,3,"1A;1I;UNASSIGNED_1, 1A-1B",AvailableCallsDisagree
MN164871,1A,1A,1O,1O,,4,GenBank,2,1A;1O,AvailableCallsDisagree
MN164872,1A,1A,1A,1N,,4,GenBank,2,1A;1N,AvailableCallsDisagree
MN240359,6W,4K,6XA,6XA,,4,GenBank,3,4K;6W;6XA,AvailableCallsDisagree
LC773639,4F,4V,4C,4V,4E,5,,4,4C;4E;4F;4V,AllFiveDisagree
LC773640,4A,4V,4C,4V,4E,5,,4,4A;4C;4E;4V,AllFiveDisagree
MG000203,4R,4R,1B,1B,4R,5,,2,1B;4R,AllFiveDisagree
MG000204,4R,4R,1A,1A,4R,5,,2,1A;4R,AllFiveDisagree
MG000217,4R,4R,1A,1A,4R,5,,2,1A;4R,AllFiveDisagree
MG000220,4R,4R,1A,1A,4R,5,,2,1A;4R,AllFiveDisagree
MG000223,4R,4R,1K,1K,4R,5,,2,1K;4R,AllFiveDisagree
MG000226,4R,4R,1A,1A,4R,5,,2,1A;4R,AllFiveDisagree
MG000227,4R,4R,1A,1A,4R,5,,2,1A;4R,AllFiveDisagree
MG000234,4R,4R,1K,1K,4R,5,,2,1K;4R,AllFiveDisagree
MG454780,4O,4O,4O,4V,4O,5,,2,4O;4V,AllFiveDisagree
MG454972,2Q,2A,2Q,2R,2A,5,,3,2A;2Q;2R,AllFiveDisagree
MG454989,1C,1C,1C,1O,1E,5,,3,1C;1E;1O,AllFiveDisagree
MG455000,2J,2J,2J,2J,2D,5,,2,2D;2J,AllFiveDisagree
MG455035,2Q,2Q,2U,2U,2K,5,,3,2K;2Q;2U,AllFiveDisagree
MG455038,1B,1B,1O,1O,1C,5,,3,1B;1C;1O,AllFiveDisagree
MG455039,1B,1B,1O,1O,1C,5,,3,1B;1C;1O,AllFiveDisagree
MG455071,2J,2J,2D,2Q,2J,5,,3,2D;2J;2Q,AllFiveDisagree
MG455163,2J,2J,2F,2J,2A,5,,3,2A;2F;2J,AllFiveDisagree
MG455194,2B,2B,2B,2B,2E,5,,2,2B;2E,AllFiveDisagree
MG455205,4A,4A,4A,4C,4A,5,,2,4A;4C,AllFiveDisagree
MG455937,2C,2C,2C,2C,2B,5,,2,2B;2C,AllFiveDisagree
MG456003,4K,4K,4K,4K,4A,5,,2,4A;4K,AllFiveDisagree
MG456014,4D,4D,4D,4D,4A,5,,2,4A;4D,AllFiveDisagree
MG456023,1B,1B,1I,1I,1B,5,,2,1B;1I,AllFiveDisagree
MG456239,4O,4O,4O,4P,4O,5,,2,4O;4P,AllFiveDisagree
MG456241,2A,2A,2Q,2F,2A,5,,3,2A;2F;2Q,AllFiveDisagree
MG456297,4K,4K,4K,4R,4G,5,,3,4G;4K;4R,AllFiveDisagree
MG456336,4K,4K,4K,4G,4G,5,,2,4G;4K,AllFiveDisagree
MG456365,4V,4V,4V,4V,4L,5,,2,4L;4V,AllFiveDisagree
MG456370,4A,4A,4V,4V,4A,5,,2,4A;4V,AllFiveDisagree
MG456394,4V,4V,4L,4Q,4M,5,,4,4L;4M;4Q;4V,AllFiveDisagree
MG456405,1B,1B,1D,1D,1B,5,,2,1B;1D,AllFiveDisagree
PQ899568,"UNASSIGNED_1, 5A-1C",5A,5B,5B,,4,GenBank,3,"5A;5B;UNASSIGNED_1, 5A-1C",AvailableCallsDisagree
PP092205,6W,2J,8A,8A,,4,GenBank,3,2J;6W;8A,AvailableCallsDisagree
PP092206,6W,3A,8A,8A,,4,GenBank,3,3A;6W;8A,AvailableCallsDisagree
PP092208,6W,4L,8A,5A,,4,GenBank,4,4L;5A;6W;8A,AvailableCallsDisagree
MG878999,1B,1B,6XG,6W,,4,GenBank,3,1B;6W;6XG,AvailableCallsDisagree
MG879000,6W,6W,6XH,6XH,,4,GenBank,2,6W;6XH,AvailableCallsDisagree
MH477423,2A,2A,2U,2U,,4,GenBank,2,2A;2U,AvailableCallsDisagree
MH492360,6N,6N,6XG,6XG,6XG,5,,2,6N;6XG,AllFiveDisagree
MH492361,6N,6N,6XG,6XG,6XG,5,,2,6N;6XG,AllFiveDisagree
MH492362,6N,6N,6XG,6XG,6XG,5,,2,6N;6XG,AllFiveDisagree
MH562130,1B,1B,1B,1B,1A,5,,2,1A;1B,AllFiveDisagree
MH562131,1B,1B,1B,1B,1A,5,,2,1A;1B,AllFiveDisagree
MH562132,1B,1B,1B,1B,1A,5,,2,1A;1B,AllFiveDisagree
MH562133,1B,1B,1B,1B,1A,5,,2,1A;1B,AllFiveDisagree
MH562135,1B,1B,1B,1B,1A,5,,2,1A;1B,AllFiveDisagree
MH562136,1B,1B,1B,1B,1A,5,,2,1A;1B,AllFiveDisagree
MH590698,"UNASSIGNED_1, 2J-5A",2J,8A,8A,,4,GenBank,3,"2J;8A;UNASSIGNED_1, 2J-5A",AvailableCallsDisagree
MH590699,"UNASSIGNED_1, 2J-5A",3A,8A,8A,,4,GenBank,3,"3A;8A;UNASSIGNED_1, 2J-5A",AvailableCallsDisagree
MH590700,"UNASSIGNED_1, 1B-6W",4A,8A,8A,,4,GenBank,3,"4A;8A;UNASSIGNED_1, 1B-6W",AvailableCallsDisagree
MH590701,"UNASSIGNED_1, 2J-5A",2J,8A,8A,,4,GenBank,3,"2J;8A;UNASSIGNED_1, 2J-5A",AvailableCallsDisagree
MH703668,6T,6T,4R,4R,6T,5,,2,4R;6T,AllFiveDisagree
MH703669,6E,6E,4V,4V,6E,5,,2,4V;6E,AllFiveDisagree
MH742361,4K,4K,4K,1E,4K,5,,2,1E;4K,AllFiveDisagree
MH742362,4V,4Q,4Q,4Q,4Q,5,,2,4Q;4V,AllFiveDisagree
MH885469,1C,1C,1O,1O,,4,GenBank,2,1C;1O,AvailableCallsDisagree
MH940291,7A,2J,7A,7A,,4,GenBank,2,2J;7A,AvailableCallsDisagree
MK135225,1A,1A,1A,1A,1B,5,,2,1A;1B,AllFiveDisagree
MK135226,1A,1A,1A,1A,1B,5,,2,1A;1B,AllFiveDisagree
MK135234,1A,1A,1A,1A,1B,5,,2,1A;1B,AllFiveDisagree
MK135236,1A,1A,1A,1A,1B,5,,2,1A;1B,AllFiveDisagree
MK135237,1A,1A,1A,1A,1B,5,,2,1A;1B,AllFiveDisagree
MK135248,1A,1A,1A,1A,1B,5,,2,1A;1B,AllFiveDisagree
MK135251,1A,1A,1A,1A,1B,5,,2,1A;1B,AllFiveDisagree
MK135254,1A,1A,1A,1A,1B,5,,2,1A;1B,AllFiveDisagree
MK135267,1A,1A,1A,1A,1B,5,,2,1A;1B,AllFiveDisagree
MK135278,1A,1A,1A,1A,1B,5,,2,1A;1B,AllFiveDisagree
MK139016,6N,6N,6XG,6XG,6XG,5,,2,6N;6XG,AllFiveDisagree
MK139017,6N,6N,6XG,6XG,6XG,5,,2,6N;6XG,AllFiveDisagree
MK139018,6N,6N,6XG,6XG,6XG,5,,2,6N;6XG,AllFiveDisagree
MK139019,6N,6N,6XG,6XG,6XG,5,,2,6N;6XG,AllFiveDisagree
MK139020,6N,6N,6XG,6XG,6XG,5,,2,6N;6XG,AllFiveDisagree
MK139021,6N,6N,6XG,6XG,6XG,5,,2,6N;6XG,AllFiveDisagree
D84263,6D,6D,8A,6D,,4,GenBank,2,6D;8A,AvailableCallsDisagree
DQ278891,6L,6L,6XJ,6XJ,6K,5,,3,6K;6L;6XJ,AllFiveDisagree
DQ278893,6L,6L,6XJ,6XJ,6K,5,,3,6K;6L;6XJ,AllFiveDisagree
DQ835767,6M,6M,8A,6M,6M,5,,2,6M;8A,AllFiveDisagree
AJ851228,1B,1B,1D,1K,,4,GenBank,3,1B;1D;1K,AvailableCallsDisagree
AY878650,6L,6L,6XJ,6XJ,6K,5,,3,6K;6L;6XJ,AllFiveDisagree
AY878651,6L,6L,6XJ,6XJ,6K,5,,3,6K;6L;6XJ,AllFiveDisagree
HQ537007,1B,1B,1K,1L,,4,GenBank,3,1B;1K;1L,AvailableCallsDisagree
JF735112,2A,2J,2U,2U,,4,GenBank,3,2A;2J;2U,AvailableCallsDisagree
JF735116,2J,2Q,2Q,2Q,,4,GenBank,2,2J;2Q,AvailableCallsDisagree
JF735117,2J,2J,2D,2F,,4,GenBank,3,2D;2F;2J,AvailableCallsDisagree
JF735118,2K,2J,2Q,2Q,,4,GenBank,3,2J;2K;2Q,AvailableCallsDisagree
JF735119,2A,2J,2U,2U,,4,GenBank,3,2A;2J;2U,AvailableCallsDisagree
JF735127,4K,4A,4B,4B,,4,GenBank,3,4A;4B;4K,AvailableCallsDisagree
JF735132,4V,4V,4Q,4Q,,4,GenBank,2,4Q;4V,AvailableCallsDisagree
JF735133,4V,4V,4V,4V,4Q,5,,2,4Q;4V,AllFiveDisagree
JF735134,4K,4D,4B,4B,,4,GenBank,3,4B;4D;4K,AvailableCallsDisagree
JF735135,4A,4A,4C,4C,,4,GenBank,2,4A;4C,AvailableCallsDisagree
JF735136,"UNASSIGNED_1, 4V-4G",4V,4S,4S,,4,GenBank,3,"4S;4V;UNASSIGNED_1, 4V-4G",AvailableCallsDisagree
JF735138,4K,4A,4B,4B,,4,GenBank,3,4A;4B;4K,AvailableCallsDisagree
PX386926,2J,2J,2M,2Q,,4,GenBank,3,2J;2M;2Q,AvailableCallsDisagree
PX386994,4A,4A,4A,4A,4C,5,,2,4A;4C,AllFiveDisagree
PX386995,4A,4A,4A,4A,4C,5,,2,4A;4C,AllFiveDisagree
PX468924,1A,1A,1A,1A,1B,5,,2,1A;1B,AllFiveDisagree
PX468925,1A,1A,1A,1A,1B,5,,2,1A;1B,AllFiveDisagree
EU408330,6XA,6XA,6XA,6XA,6U,5,,2,6U;6XA,AllFiveDisagree
EU408331,6XA,6XA,6XA,1D,6U,5,,3,1D;6U;6XA,AllFiveDisagree
EU408332,6XA,6XA,6XA,1D,6U,5,,3,1D;6U;6XA,AllFiveDisagree
FJ025855,4W,4W,4W,4W,4B,5,,2,4B;4W,AllFiveDisagree
FJ025856,4W,4W,4W,4W,4B,5,,2,4B;4W,AllFiveDisagree
FJ462437,"UNASSIGNED_1, 4D-4O",4D,4D,4D,4D,5,,2,"4D;UNASSIGNED_1, 4D-4O",AllFiveDisagree
JX183549,6K,6K,8A,6XI,6K-RELATED,5,,4,6K;6K-RELATED;6XI;8A,AllFiveDisagree
JX183550,6L,6O,6K,6XB,6K-RELATED,5,,5,6K;6K-RELATED;6L;6O;6XB,AllFiveDisagree
JX183551,6L,6L,6XB,6XB,6K-RELATED,5,,3,6K-RELATED;6L;6XB,AllFiveDisagree
JX183552,6L,6L,6XB,6XB,6K-RELATED,5,,3,6K-RELATED;6L;6XB,AllFiveDisagree
JX183553,6L,6L,6L,6XI,6L-RELATED,5,,3,6L;6L-RELATED;6XI,AllFiveDisagree
JX183554,6L,6L,8A,6L,6L-RELATED,5,,3,6L;6L-RELATED;8A,AllFiveDisagree
JX183557,6N,6N,6XE,6XE,,4,GenBank,2,6N;6XE,AvailableCallsDisagree
JX183558,6J,6I,6J,6J,,4,GenBank,2,6I;6J,AvailableCallsDisagree
JX227964,4K,4V,4G,4V,,4,GenBank,3,4G;4K;4V,AvailableCallsDisagree
KC197235,2B,2A,2L,2L,2L,5,,3,2A;2B;2L,AllFiveDisagree
KC197236,2J,2J,2M,2Q,,4,GenBank,3,2J;2M;2Q,AvailableCallsDisagree
KC197237,2J,2A,2C,2U,,4,GenBank,4,2A;2C;2J;2U,AvailableCallsDisagree
KC197238,2B,2B,2T,2T,,4,GenBank,2,2B;2T,AvailableCallsDisagree
KC197239,2B,2B,2Q,2Q,,4,GenBank,2,2B;2Q,AvailableCallsDisagree
KC197240,2B,2J,2L,2L,2L,5,,3,2B;2J;2L,AllFiveDisagree
KC844039,6W,1B,6XA,6T,,4,GenBank,4,1B;6T;6W;6XA,AvailableCallsDisagree
KC844042,2J,2A,2F,2F,2F,5,,3,2A;2F;2J,AllFiveDisagree
KJ439772,1B,1B,1I,1I,1I,5,,2,1B;1I,AllFiveDisagree
KJ439773,1A,1A,1J,1J,1J,5,,2,1A;1J,AllFiveDisagree
KJ439774,1A,1A,1K,1K,1K,5,,2,1A;1K,AllFiveDisagree
KJ439775,1A,1A,1N,1N,,4,GenBank,2,1A;1N,AvailableCallsDisagree
KJ439777,1A,1A,1K,1K,,4,GenBank,2,1A;1K,AvailableCallsDisagree
KJ439778,1A,1A,1M,1M,,4,GenBank,2,1A;1M,AvailableCallsDisagree
KJ439779,1B,1B,1O,1O,,4,GenBank,2,1B;1O,AvailableCallsDisagree
KJ439780,1A,1A,1K,1K,,4,GenBank,2,1A;1K,AvailableCallsDisagree
KJ439781,1A,1A,1N,1N,,4,GenBank,2,1A;1N,AvailableCallsDisagree
KJ439782,1A,1A,1M,1M,,4,GenBank,2,1A;1M,AvailableCallsDisagree
KJ470618,3A,3A,3E,3E,3E,5,,2,3A;3E,AllFiveDisagree
KJ470619,3A,3A,3D,3D,3D,5,,2,3A;3D,AllFiveDisagree
KJ470620,6G,6W,6G,6G,,4,GenBank,2,6G;6W,AvailableCallsDisagree
KJ470622,6G,6W,6G,5A,,4,GenBank,3,5A;6G;6W,AvailableCallsDisagree
KJ470623,6W,4K,6G,6W,,4,GenBank,3,4K;6G;6W,AvailableCallsDisagree
KJ470625,6W,6W,6G,6G,,4,GenBank,2,6G;6W,AvailableCallsDisagree
KJ567644,6L,6L,6XB,6XJ,,4,GenBank,3,6L;6XB;6XJ,AvailableCallsDisagree
KJ567645,6L,6L,6XB,6XB,6XB,5,,2,6L;6XB,AllFiveDisagree
KJ567646,6E,4R,6XF,6XF,,4,GenBank,3,4R;6E;6XF,AvailableCallsDisagree
KJ567647,6W,1B,6XF,6XF,,4,GenBank,3,1B;6W;6XF,AvailableCallsDisagree
KJ567648,6W,1B,6XF,6Q,,4,GenBank,4,1B;6Q;6W;6XF,AvailableCallsDisagree
KJ567649,6E,6A,6XC,6XC,,4,GenBank,3,6A;6E;6XC,AvailableCallsDisagree
KJ567650,6E,6A,6XC,6XC,,4,GenBank,3,6A;6E;6XC,AvailableCallsDisagree
KJ567651,6E,6E,6XC,6XC,6XC,5,,2,6E;6XC,AllFiveDisagree
KJ567652,6E,6E,6XC,6XC,,4,GenBank,2,6E;6XC,AvailableCallsDisagree
KM252789,6A,6A,6XD,6XD,6XD,5,,2,6A;6XD,AllFiveDisagree
KM252790,6A,6A,6XD,6XD,6XD,5,,2,6A;6XD,AllFiveDisagree
KM252791,6A,6A,6XD,6XD,6XD,5,,2,6A;6XD,AllFiveDisagree
KM252792,6N,6N,6XE,6XE,6XE,5,,2,6N;6XE,AllFiveDisagree
KM252793,6D,4K,1H,6D,,4,GenBank,3,1H;4K;6D,AvailableCallsDisagree
KM252794,6W,1B,6H,6XE,,4,GenBank,4,1B;6H;6W;6XE,AvailableCallsDisagree
KM252796,6E,6A,1C,6Q,,4,GenBank,4,1C;6A;6E;6Q,AvailableCallsDisagree
KM252797,6E,6T,6Q,6Q,,4,GenBank,3,6E;6Q;6T,AvailableCallsDisagree
KM252798,6E,4A,8A,6P,,4,GenBank,4,4A;6E;6P;8A,AvailableCallsDisagree
KM252799,6A,6A,6B,6A,,4,GenBank,2,6A;6B,AvailableCallsDisagree
KM252800,6E,6Q,6Q,6Q,,4,GenBank,2,6E;6Q,AvailableCallsDisagree
KM504109,6N,6N,6N,6XE,,4,GenBank,2,6N;6XE,AvailableCallsDisagree
KM504111,6E,6O,6C,6Q,,4,GenBank,4,6C;6E;6O;6Q,AvailableCallsDisagree
KM504112,1B,6W,6P,6U,,4,GenBank,4,1B;6P;6U;6W,AvailableCallsDisagree
KM504114,6O,6W,6Q,6Q,,4,GenBank,3,6O;6Q;6W,AvailableCallsDisagree
KM504117,6E,6Q,6Q,6Q,,4,GenBank,2,6E;6Q,AvailableCallsDisagree
