Gene,Subtype,Accession,GeneNALength,FullGenomeStartNA,FullGenomeEndNA,Status
NS5B,4p,FJ462431,1773,7589,9361,PASS
NS5B,4q,FJ462434,1773,7599,9371,PASS
NS5B,4r,FJ462439,1773,7601,9373,PASS
NS5B,4s,JF735136,1713,7587,9299,PASS
NS5B,4t,FJ839869,1773,7589,9361,PASS
NS5B,4v,HQ537009,1662,7508,9169,PASS
NS5B,4v,JX227959,1773,7522,9294,PASS
NS5B,4w,FJ025855,1773,7451,9223,PASS
NS5B,4w,FJ025856,1773,7451,9223,PASS
NS5B,5a,AF064490,1773,7516,9288,PASS
NS5B,5b,PQ899568,1773,7614,9386,PASS
NS5B,6a,AY859526,1710,7580,9289,PASS
NS5B,6a,Y12083,1710,7565,9274,PASS
NS5B,6b,D84262,1710,7627,9336,PASS
NS5B,6c,EF424629,1773,7612,9384,PASS
NS5B,6d,D84263,1773,7605,9377,PASS
NS5B,6e,DQ314805,1773,7632,9404,PASS
NS5B,6f,DQ835760,1773,7620,9392,PASS
NS5B,6g,D63822,1764,7641,9404,PASS
NS5B,6h,D84265,1773,7611,9383,PASS
NS5B,6i,DQ835770,1773,7614,9386,PASS
NS5B,6j,DQ835769,1773,7614,9386,PASS
NS5B,6k,D84264,1773,7614,9386,PASS
NS5B,6l,EF424628,1773,7614,9386,PASS
NS5B,6m,DQ835767,1773,7614,9386,PASS
NS5B,6n,DQ278894,1773,7615,9387,PASS
NS5B,6n,DQ835768,1773,7611,9383,PASS
NS5B,6o,EF424627,1773,7614,9386,PASS
NS5B,6p,EF424626,1773,7615,9387,PASS
NS5B,6q,EF424625,1704,7621,9324,PASS
NS5B,6r,EU408328,1773,7614,9386,PASS
NS5B,6s,EU408329,1764,7623,9386,PASS
NS5B,6t,EF632071,1773,7600,9372,PASS
NS5B,6t,EU246939,1773,7589,9361,PASS
NS5B,6u,EU246940,1773,7592,9364,PASS
NS5B,6v,EU158186,1752,7604,9355,PASS
NS5B,6v,EU798760,1752,7635,9386,PASS
NS5B,6w,DQ278892,1773,7621,9393,PASS
NS5B,6w,EU643834,1773,7350,9122,PASS
NS5B,6xa,EU408330,1773,7601,9373,PASS
NS5B,6xa,EU408332,1773,7601,9373,PASS
NS5B,6xb,JX183552,1773,7614,9386,PASS
NS5B,6xb,KJ567645,1773,7614,9386,PASS
NS5B,6xc,KJ567651,1764,7641,9404,PASS
NS5B,6xd,KM252789,1710,7626,9335,PASS
NS5B,6xd,KM252790,1710,7629,9338,PASS
NS5B,6xe,JX183557,1773,7617,9389,PASS
NS5B,6xe,KM252792,1773,7617,9389,PASS
NS5B,6xf,KJ567646,1773,7623,9395,PASS
NS5B,6xf,KJ567647,1773,7615,9387,PASS
NS5B,6xg,MH492360,1767,7548,9314,PASS
NS5B,6xg,MH492361,1767,7548,9314,PASS
NS5B,6xh,MG879000,1773,7282,9054,PASS
NS5B,6xi,JX183549,1773,7611,9383,PASS
NS5B,6xi,MZ504973,1773,7586,9358,PASS
NS5B,6xj,MZ171127,1710,7570,9279,PASS
NS5B,7a,EF108306,1773,7606,9378,PASS
NS5B,7b,KX092342,1713,7609,9321,PASS
NS5B,8a,MH590698,1764,7624,9387,PASS
