Accession,ClosestGenotype,ClosestGenotypePident,ClosestSubtype,ClosestSubtypePident,ReferenceOverlapAA,FullyCover,CoveredNS3RASPositions
ON314816,2,80.814,2d,83.165,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON314817,2,80.761,2q,84.713,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON314818,2,80.032,2q,84.713,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON314819,2,80.338,2q,84.926,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON314820,2,80.761,2k,83.484,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON314821,2,80.391,2v,82.909,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON314823,2,79.651,2m,81.582,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON314824,2,80.497,2q,85.297,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON314825,2,80.338,2q,83.068,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON314826,2,81.342,2c,82.113,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON314827,2,80.444,2q,84.297,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON314828,2,80.444,2k,84.289,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365497,1,93.133,1a,93.238,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365498,3,92.868,3a,91.662,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365499,1,92.604,1a,92.816,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365500,1,93.291,1a,93.344,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365501,3,93.978,3a,92.608,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365502,3,94.609,3a,93.023,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365503,1,92.868,1a,93.291,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365504,3,76.626,3i,93.757,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365505,3,78.583,3b,89.418,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365506,3,92.552,3a,91.077,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365507,1,92.710,1a,92.921,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365508,3,93.291,3a,91.926,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365509,3,93.555,3a,92.823,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365510,1,79.514,1b,89.065,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365511,3,93.872,3a,92.823,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365512,3,93.502,3a,91.979,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365513,3,79.989,3d,81.395,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365514,3,93.027,3a,92.027,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365515,3,92.974,3a,91.662,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365516,1,91.020,1a,91.495,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365517,3,91.548,3a,90.444,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365518,3,92.763,3a,91.662,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365519,3,93.344,3a,91.816,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365520,3,93.819,3a,93.136,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365521,3,93.080,3a,92.401,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365522,3,93.872,3a,92.186,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365523,3,92.763,3a,91.077,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365524,3,79.704,3e,89.905,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365525,3,92.393,3a,91.346,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365526,3,93.027,3a,91.662,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365527,1,92.710,1a,92.868,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365528,3,92.604,3a,91.922,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365529,3,93.238,3a,92.454,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365530,3,93.450,3a,92.243,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365531,3,92.287,3a,92.027,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365532,3,92.921,3a,92.401,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365533,1,92.235,1a,92.446,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365534,3,92.763,3a,91.601,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365535,3,92.921,3a,91.816,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365536,3,94.031,3a,92.450,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365537,3,93.450,3a,92.559,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365538,3,93.925,3a,92.348,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
PQ365540,3,92.921,3a,91.609,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT633132,7,71.325,7b,79.934,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863870,3,94.349,3a,91.646,40-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863871,3,94.349,3a,91.646,40-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863872,3,92.995,3a,90.777,38-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863873,3,92.995,3a,90.777,38-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863874,1,93.478,1a,93.720,38-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863875,1,93.478,1a,93.720,38-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863876,1,92.029,1a,92.754,38-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863877,1,92.029,1a,92.271,38-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863878,1,92.995,1a,93.237,38-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863879,1,93.720,1a,93.237,38-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863880,1,92.271,1a,92.995,38-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863881,1,92.754,1a,93.478,38-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863882,4,78.641,4d,94.203,39-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863883,4,79.126,4d,94.203,39-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863884,4,79.612,4d,94.444,39-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863885,4,80.340,4d,95.169,39-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863886,1,92.754,1a,93.478,38-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863887,1,92.754,1a,93.478,38-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863888,4,79.126,4d,94.444,39-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863889,4,78.641,4d,93.961,39-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863890,1,91.019,1a,91.262,38-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863891,1,91.748,1a,91.990,38-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863892,3,95.631,3a,93.902,39-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863893,3,95.631,3a,93.902,39-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863894,3,94.349,3a,91.646,40-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863895,3,94.686,3a,93.932,38-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863896,4,79.854,4d,94.203,39-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863897,4,80.097,4d,94.444,39-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863898,1,91.787,1a,92.512,38-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863899,1,92.754,1a,93.478,38-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863900,4,80.825,4d,95.169,39-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863901,4,80.825,4d,95.894,39-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863902,3,95.652,3a,94.903,38-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863903,3,95.652,3a,93.689,38-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863904,1,93.478,1a,93.720,38-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863905,1,94.203,1a,94.444,38-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863906,4,78.641,4d,94.203,39-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863907,4,77.670,4d,93.720,39-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863908,1,93.237,1a,92.754,38-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863909,1,93.961,1a,93.478,38-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863910,1,93.961,1a,93.478,38-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863911,1,94.686,1a,94.203,38-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863912,1,93.720,1a,93.961,38-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863913,1,94.444,1a,94.686,38-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863914,3,93.961,3a,93.447,38-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863915,3,94.940,3a,93.705,38-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863916,1,92.512,1a,93.237,38-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863917,1,92.754,1a,93.478,38-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863918,4,79.661,4d,99.034,39-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863919,4,81.068,4d,96.135,39-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863920,1,93.478,1a,94.203,38-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863921,1,93.720,1a,94.444,38-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863922,1,92.754,1a,93.720,38-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863923,1,93.237,1a,94.203,38-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863924,1,93.237,1a,93.478,38-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863925,1,93.237,1a,93.478,38-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863926,3,94.444,3a,93.204,38-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863927,3,95.169,3a,93.932,38-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863928,3,94.686,3a,93.447,38-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863929,3,95.169,3a,93.932,38-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863930,3,93.961,3a,93.447,38-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863931,3,93.478,3a,92.961,38-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863932,3,94.417,3a,91.463,39-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863933,3,94.417,3a,91.463,39-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863934,1,92.995,1a,93.237,38-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863935,1,94.203,1a,94.444,38-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863936,3,94.660,3a,94.417,38-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT863937,3,95.874,3a,94.146,39-175,,41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT893899,4,78.399,4r,93.148,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT893900,4,80.276,4c,91.321,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT893901,4,80.620,4c,91.473,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT893902,4,78.261,4k,92.520,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT893903,4,79.143,4r,93.554,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT893904,4,83.613,4c,91.993,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT893905,4,77.935,4r,92.063,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MT893906,4,77.935,4r,91.519,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MW041294,2,81.871,2r,83.864,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MW041295,2,78.383,2v,100.000,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MW041296,2,82.294,2r,83.917,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MW041297,2,79.440,2v,90.605,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MW041298,2,79.598,2v,91.879,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
MW041299,2,79.757,2v,90.924,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630763,1,91.548,1a,91.389,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630764,1,92.129,1a,92.287,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630765,1,91.495,1a,91.918,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630766,1,94.612,1a,94.665,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630767,1,94.506,1a,94.083,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630768,1,93.819,1a,93.872,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630769,1,93.502,1a,94.083,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630770,1,94.717,1a,94.506,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630771,1,94.295,1a,93.978,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630772,1,93.767,1a,93.925,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630773,1,91.178,1a,91.706,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630774,1,92.287,1a,92.446,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630775,1,94.136,1a,94.189,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630776,1,95.087,1a,94.982,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630777,1,92.076,1a,92.340,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630778,1,93.872,1a,94.242,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630779,1,94.400,1a,94.348,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630780,1,93.502,1a,93.925,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630781,1,94.083,1a,94.189,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630782,1,93.819,1a,93.714,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630783,1,91.548,1a,92.076,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630784,1,94.295,1a,94.083,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630785,1,94.929,1a,94.823,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630786,1,91.548,1a,92.182,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630787,1,94.242,1a,94.295,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630788,1,94.609,1a,94.397,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630789,1,92.552,1a,92.816,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630790,1,92.235,1a,92.499,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630791,1,92.340,1a,92.604,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630792,1,93.502,1a,93.661,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630793,1,92.129,1a,92.499,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630794,1,93.502,1a,93.450,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630795,1,94.665,1a,94.400,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630796,1,91.389,1a,91.918,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630797,1,91.653,1a,91.918,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630798,1,92.023,1a,92.129,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630799,1,92.499,1a,92.604,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
ON630800,1,92.076,1a,92.393,36-175,Yes,36;41;43;54;55;56;80;122;155;156;158;166;168;170;175
