Accession,PerGeneGenotype,PerGeneSubtype,FullGenomeGenotype,FullGenomeSubtype,CometPerGeneGenotype,CometPerGeneSubtype,CometFullGenomeGenotype,CometFullGenomeSubtype,GenBankGenotype,GenBankSubtype
PQ335051,1,1a,1,1a,1,1a,1,1a,1,1a
PQ335052,1,1a,1,1a,1,1a,1,1a,1,1a
PQ335053,1,1a,1,1a,1,1a,1,1a,1,1a
PQ335054,1,1a,1,1a,1,1a,1,1a,1,1a
PQ335055,1,1a,1,1a,1,1a,1,1a,1,1a
PQ335056,1,1a,1,1a,1,1a,1,1a,1,1a
PQ335057,1,1a,1,1a,1,1a,1,1a,1,1a
PQ335058,1,1a,1,1a,1,1a,1,1a,1,1a
PQ335059,1,1a,1,1a,1,1a,1,1a,1,1a
PQ335061,1,1a,1,1a,1,1a,1,1a,1,1a
PQ335062,1,1a,1,1a,1,1a,1,1a,1,1a
PQ335064,1,1a,1,1a,1,1a,1,1a,1,1a
PQ335065,1,1a,1,1a,1,1a,1,1a,1,1a
PQ335066,1,1a,1,1a,1,1a,1,1a,1,1a
PQ335067,1,1a,1,1a,1,1a,1,1a,1,1a
PQ335068,1,1a,1,1a,1,1a,1,1a,1,1a
PQ335070,1,1a,1,1a,1,1a,1,1a,1,1a
PQ335071,1,1a,1,1a,1,1a,1,1a,1,1a
PQ335072,1,1a,1,1a,1,1a,1,1a,1,1a
PQ335073,1,1a,1,1a,1,1a,1,1a,1,1a
PQ335074,1,1a,1,1a,1,1a,1,1a,1,1a
PQ335075,1,1a,1,1a,1,1a,1,1a,1,1a
PQ335077,1,1a,1,1a,1,1a,1,1a,1,1a
PQ335078,1,1a,1,1a,1,1a,1,1a,1,1a
PQ335079,1,1a,1,1a,1,1a,1,1a,1,1a
PQ335082,1,1a,1,1a,1,1a,1,1a,1,1a
PQ335084,1,1a,1,1a,1,1a,1,1a,1,1a
PQ335085,1,1a,1,1a,1,1a,1,1a,1,1a
PQ335086,1,1a,1,1a,1,1a,1,1a,1,1a
PQ335087,1,1a,1,1a,1,1a,1,1a,1,1a
PQ335088,1,1a,1,1a,1,1a,1,1a,1,1a
PQ335091,4,4a,4,4a,4,4a,4,4a,4,4a
PQ335092,4,4a,4,4a,4,4a,4,4a,4,4a
PQ335093,4,4a,4,4a,4,4a,4,4a,4,4a
PQ335094,4,4a,4,4a,4,4a,4,4a,4,4a
PQ335097,4,4a,4,4a,4,4a,4,4a,4,4a
PQ335100,4,4a,4,4a,4,4a,4,4a,4,4a
PQ335104,4,4a,4,4a,4,4a,4,4a,4,4a
PQ335107,4,4a,4,4a,4,4a,4,4a,4,4a
PQ335108,4,4a,4,4a,4,4a,4,4a,4,4a
PQ335111,4,4a,4,4a,4,4a,4,4a,4,4a
PQ335112,4,4a,4,4a,4,4a,4,4a,4,4a
PQ335118,4,4a,4,4a,4,4a,4,4a,4,4a
PQ335119,4,4a,4,4a,4,4a,4,4a,4,4a
PQ335120,4,4a,4,4a,4,4a,4,4a,4,4a
PQ335121,4,4a,4,4a,4,4a,4,4a,4,4a
PQ335126,4,4a,4,4a,4,4a,4,4a,4,4a
PQ335127,4,4a,4,4a,4,4a,4,4a,4,4a
PQ335128,4,4a,4,4a,4,4a,4,4a,4,4a
PQ335129,4,4a,4,4a,4,4a,4,4a,4,4a
PQ335132,4,4a,4,4a,4,4a,4,4a,4,4a
PQ335133,4,4a,4,4a,4,4a,4,4a,4,4a
PQ335136,4,4a,4,4a,4,4a,4,4a,4,4a
PQ335138,4,4a,4,4a,4,4a,4,4a,4,4a
PQ335140,4,4a,4,4a,4,4a,4,4a,4,4a
PQ335144,4,4a,4,4a,4,4a,4,4a,4,4a
PQ335145,4,4a,4,4a,4,4a,4,4a,4,4a
PQ335146,4,4a,4,4a,4,4a,4,4a,4,4a
PQ335147,4,4a,4,4a,4,4a,4,4a,4,4a
PQ335151,4,4a,4,4a,4,4a,4,4a,4,4a
PQ335152,4,4a,4,4a,4,4a,4,4a,4,4a
PQ335153,4,4a,4,4a,4,4a,4,4a,4,4a
PQ335154,4,4a,4,4a,4,4a,4,4a,4,4a
PQ335157,4,4a,4,4a,4,4a,4,4a,4,4a
PQ365497,1,1a,1,1a,1,1a,1,1a,1,1a
PQ365498,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365499,1,1a,1,1a,1,1a,1,1a,1,1a
PQ365500,1,1a,1,1a,1,1a,1,1a,1,1a
PQ365501,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365503,1,1a,1,1a,1,1a,1,1a,1,1a
PQ365504,3,3i,3,3i,3,3i,3,3i,3,3i
PQ365505,3,3b,3,3b,3,3b,3,3b,3,3b
PQ365506,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365507,1,1a,1,1a,1,1a,1,1a,1,1a
PQ365508,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365509,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365510,1,1b,1,1b,1,1b,1,1b,1,1b
PQ365511,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365514,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365515,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365519,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365520,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365521,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365522,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365523,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365524,3,3e,3,3e,3,3a,3,3a,3,3e
PQ365525,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365526,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365527,1,1a,1,1a,1,1a,1,1a,1,1a
PQ365528,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365529,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365530,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365532,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365533,1,1a,1,1a,1,1a,1,1a,1,1a
PQ365534,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365535,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365536,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365537,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365538,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365539,3,3g,3,3g,3,3g,3,3g,3,3g
PQ365540,3,3a,3,3a,3,3a,3,3a,3,3a
ON630763,1,1a,1,1a,1,1a,1,1a,1,
ON630764,1,1a,1,1a,1,1a,1,1a,1,
ON630765,1,1a,1,1a,1,1a,1,1a,1,
ON630766,1,1a,1,1a,1,1a,1,1a,1,
ON630767,1,1a,1,1a,1,1a,1,1a,1,
ON630768,1,1a,1,1a,1,1a,1,1a,1,
ON630769,1,1a,1,1a,1,1a,1,1a,1,
ON630770,1,1a,1,1a,1,1a,1,1a,1,
ON630771,1,1a,1,1a,1,1a,1,1a,1,
ON630772,1,1a,1,1a,1,1a,1,1a,1,
ON630773,1,1a,1,1a,1,1a,1,1a,1,
ON630774,1,1a,1,1a,1,1a,1,1a,1,
ON630775,1,1a,1,1a,1,1a,1,1a,1,
ON630776,1,1a,1,1a,1,1a,1,1a,1,
ON630777,1,1a,1,1a,1,1a,1,1a,1,
ON630778,1,1a,1,1a,1,1a,1,1a,1,
ON630779,1,1a,1,1a,1,1a,1,1a,1,
ON630780,1,1a,1,1a,1,1a,1,1a,1,
ON630781,1,1a,1,1a,1,1a,1,1a,1,
ON630782,1,1a,1,1a,1,1a,1,1a,1,
ON630783,1,1a,1,1a,1,1a,1,1a,1,
ON630784,1,1a,1,1a,1,1a,1,1a,1,
ON630785,1,1a,1,1a,1,1a,1,1a,1,
ON630786,1,1a,1,1a,1,1a,1,1a,1,
ON630787,1,1a,1,1a,1,1a,1,1a,1,
ON630788,1,1a,1,1a,1,1a,1,1a,1,
ON630789,1,1a,1,1a,1,1a,1,1a,1,
ON630790,1,1a,1,1a,1,1a,1,1a,1,
ON630791,1,1a,1,1a,1,1a,1,1a,1,
ON630792,1,1a,1,1a,1,1a,1,1a,1,
ON630793,1,1a,1,1a,1,1a,1,1a,1,
ON630794,1,1a,1,1a,1,1a,1,1a,1,
ON630795,1,1a,1,1a,1,1a,1,1a,1,
ON630796,1,1a,1,1a,1,1a,1,1a,1,
ON630797,1,1a,1,1a,1,1a,1,1a,1,
ON630798,1,1a,1,1a,1,1a,1,1a,1,
ON630799,1,1a,1,1a,1,1a,1,1a,1,
ON630800,1,1a,1,1a,1,1a,1,1a,1,
ON630801,1,1a,1,1a,1,1a,1,1a,1,
ON630802,1,1a,1,1a,1,1a,1,1a,1,
ON630803,1,1a,1,1a,1,1a,1,1a,1,
ON630804,1,1a,1,1a,1,1a,1,1a,1,
ON630805,1,1a,1,1a,1,1a,1,1a,1,
ON630806,1,1a,1,1a,1,1a,1,1a,1,
ON630807,1,1a,1,1a,1,1a,1,1a,1,
ON630808,1,1a,1,1a,1,1a,1,1a,1,
ON630809,1,1a,1,1a,1,1a,1,1a,1,
ON630810,1,1a,1,1a,1,1a,1,1a,1,
ON630811,1,1a,1,1a,1,1a,1,1a,1,
ON630812,1,1a,1,1a,1,1a,1,1a,1,
ON630813,1,1a,1,1a,1,1a,1,1a,1,
ON630814,1,1a,1,1a,1,1a,1,1a,1,
ON630815,1,1a,1,1a,1,1a,1,1a,1,
ON630816,1,1a,1,1a,1,1a,1,1a,1,
ON630817,1,1a,1,1a,1,1a,1,1a,1,
ON630818,1,1a,1,1a,1,1a,1,1a,1,
ON630819,1,1a,1,1a,1,1a,1,1a,1,
ON630820,1,1a,1,1a,1,1a,1,1a,1,
ON630821,1,1a,1,1a,1,1a,1,1a,1,
ON630822,1,1a,1,1a,1,1a,1,1a,1,
ON630823,1,1a,1,1a,1,1a,1,1a,1,
ON630824,1,1a,1,1a,1,1a,1,1a,1,
ON630825,1,1a,1,1a,1,1a,1,1a,1,
ON630826,1,1a,1,1a,1,1a,1,1a,1,
ON630827,1,1a,1,1a,1,1a,1,1a,1,
ON630828,1,1a,1,1a,1,1a,1,1a,1,
ON630829,1,1a,1,1a,1,1a,1,1a,1,
ON630830,1,1a,1,1a,1,1a,1,1a,1,
ON630831,1,1a,1,1a,1,1a,1,1a,1,
ON630832,1,1a,1,1a,1,1a,1,1a,1,
ON630833,1,1a,1,1a,1,1a,1,1a,1,
ON630834,1,1a,1,1a,1,1a,1,1a,1,
ON630835,1,1a,1,1a,1,1a,1,1a,1,
ON630836,1,1a,1,1a,1,1a,1,1a,1,
ON630837,1,1a,1,1a,1,1a,1,1a,1,
ON630838,1,1a,1,1a,1,1a,1,1a,1,
ON630839,1,1a,1,1a,1,1a,1,1a,1,
ON630840,1,1a,1,1a,1,1a,1,1a,1,
ON630841,1,1a,1,1a,1,1a,1,1a,1,
ON630842,1,1a,1,1a,1,1a,1,1a,1,
ON630843,1,1a,1,1a,1,1a,1,1a,1,
ON630844,1,1a,1,1a,1,1a,1,1a,1,
ON630845,1,1a,1,1a,1,1a,1,1a,1,
ON630846,1,1a,1,1a,1,1a,1,1a,1,
ON630847,1,1a,1,1a,1,1a,1,1a,1,
ON630848,1,1a,1,1a,1,1a,1,1a,1,
ON630849,1,1a,1,1a,1,1a,1,1a,1,
ON630850,1,1a,1,1a,1,1a,1,1a,1,
ON630851,1,1a,1,1a,1,1a,1,1a,1,
ON630852,1,1a,1,1a,1,1a,1,1a,1,
ON630853,1,1a,1,1a,1,1a,1,1a,1,
ON630854,1,1a,1,1a,1,1a,1,1a,1,
ON630855,1,1a,1,1a,1,1a,1,1a,1,
ON630856,1,1a,1,1a,1,1a,1,1a,1,
ON630857,1,1a,1,1a,1,1a,1,1a,1,
ON630858,1,1a,1,1a,1,1a,1,1a,1,
ON630859,1,1a,1,1a,1,1a,1,1a,1,
ON630860,1,1a,1,1a,1,1a,1,1a,1,
ON630861,1,1a,1,1a,1,1a,1,1a,1,
ON630862,1,1a,1,1a,1,1a,1,1a,1,
ON630863,1,1a,1,1a,1,1a,1,1a,1,
ON630864,1,1a,1,1a,1,1a,1,1a,1,
ON630865,1,1a,1,1a,1,1a,1,1a,1,
ON630866,1,1a,1,1a,1,1a,1,1a,1,
ON630867,1,1a,1,1a,1,1a,1,1a,1,
ON630868,1,1a,1,1a,1,1a,1,1a,1,
ON630869,1,1a,1,1a,1,1a,1,1a,1,
ON630870,4,4d,4,4d,4,4d,4,4d,4,
ON630871,4,4d,4,4d,4,4d,4,4d,4,
ON630872,4,4d,4,4d,4,4d,4,4d,4,
ON630873,4,4d,4,4d,4,4d,4,4d,4,
ON630874,4,4d,4,4d,4,4d,4,4d,4,
ON630875,4,4d,4,4d,4,4d,4,4d,4,
ON630876,4,4d,4,4d,4,4d,4,4d,4,
ON630877,4,4d,4,4d,4,4d,4,4d,4,
ON630878,4,4d,4,4d,4,4d,4,4d,4,
ON630879,4,4d,4,4d,4,4d,4,4d,4,
ON630880,4,4d,4,4d,4,4d,4,4d,4,
ON630881,4,4d,4,4d,4,4d,4,4d,4,
ON630882,4,4d,4,4d,4,4d,4,4d,4,
ON630883,4,4d,4,4d,4,4d,4,4d,4,
ON630884,4,4d,4,4d,4,4d,4,4d,4,
ON630885,4,4d,4,4d,4,4d,4,4d,4,
ON630886,4,4d,4,4d,4,4d,4,4d,4,
ON630887,4,4d,4,4d,4,4d,4,4d,4,
ON630888,4,4d,4,4d,4,4d,4,4d,4,
ON630889,4,4d,4,4d,4,4d,4,4d,4,
ON630890,4,4d,4,4d,4,4d,4,4d,4,
ON630891,4,4d,4,4d,4,4d,4,4d,4,
ON630892,4,4d,4,4d,4,4d,4,4d,4,
ON630893,4,4d,4,4d,4,4d,4,4d,4,
ON630894,4,4d,4,4d,4,4d,4,4d,4,
ON630895,4,4d,4,4d,4,4d,4,4d,4,
ON630896,4,4d,4,4d,4,4d,4,4d,4,
ON630897,4,4d,4,4d,4,4d,4,4d,4,
ON630898,4,4d,4,4d,4,4d,4,4d,4,
ON630899,4,4d,4,4d,4,4d,4,4d,4,
ON630900,4,4d,4,4d,4,4d,4,4d,4,
MW675788,1,1a,1,1a,1,1a,1,1a,1,1a
MW675789,1,1a,1,1a,1,1a,1,1a,1,1a
MW675790,1,1a,1,1a,1,1a,1,1a,1,1a
MW675791,1,1a,1,1a,1,1a,1,1a,1,1a
MW675792,1,1a,1,1a,1,1a,1,1a,1,1a
MW675793,1,1a,1,1a,1,1a,1,1a,1,1a
MW675794,1,1a,1,1a,1,1a,1,1a,1,1a
MW675795,1,1a,1,1a,1,1a,1,1a,1,1a
MW675796,1,1a,1,1a,1,1a,1,1a,1,1a
MW675797,4,4d,4,4d,4,4d,4,4d,4,4d
MW675798,4,4d,4,4d,4,4d,4,4d,4,4d
MW675799,4,4d,4,4d,4,4d,4,4d,4,4d
MW675800,4,4d,4,4d,4,4d,4,4d,4,4d
MN628574,3,3a,3,3a,3,3a,3,3a,3,3a
MN628575,3,3a,3,3a,3,3a,3,3a,3,3a
MN628576,3,3a,3,3a,3,3a,3,3a,3,3a
MN628577,3,3a,3,3a,3,3a,3,3a,3,3a
MN628578,3,3a,3,3a,3,3a,3,3a,3,3a
MN628579,3,3a,3,3a,3,3a,3,3a,3,3a
MN628580,1,1a,1,1a,1,1a,1,1a,3,3a
MN628581,3,3a,3,3a,3,3a,3,3a,1,1a
MN628582,3,3a,3,3a,3,3a,3,3a,3,3a
MN628584,3,3a,3,3a,3,3a,3,3a,3,3a
MN628585,3,3a,3,3a,3,3a,3,3a,3,3a
MN628586,3,3a,3,3a,3,3a,3,3a,3,3a
MN628587,3,3a,3,3a,3,3a,3,3a,3,3a
MN628588,3,3a,3,3a,3,3a,3,3a,3,3a
MN628589,3,3a,3,3a,3,3a,3,3a,3,3a
MN628590,3,3a,3,3a,3,3a,3,3a,3,3a
MN628591,3,3a,3,3a,3,3a,3,3a,3,3a
MN628592,1,1a,1,1a,1,1a,1,1a,1,1a
MN628593,3,3a,3,3a,3,3a,3,3a,3,3a
MN628594,3,3a,3,3a,3,3a,3,3a,3,3a
MN628595,3,3a,3,3a,3,3a,3,3a,3,3a
MN628596,3,3a,3,3a,3,3a,3,3a,3,3a
MN628597,3,3a,3,3a,3,3a,3,3a,3,3a
MT032265,6,6n,6,6n,6,6n,6,6n,6,
MT032266,8,8a,8,8a,6,6n,6,6n,6,
MT032267,1,1g,1,1g,6,6n,6,6n,6,
MT032268,6,6n,6,6n,6,6n,6,6n,6,
MT032269,8,8a,8,8a,6,6n,6,6n,6,
MT032270,8,8a,8,8a,6,6n,6,6n,6,
MT032271,6,6n,6,6n,6,6n,6,6n,6,
MT032272,8,8a,8,8a,6,6n,6,6n,6,
MT032273,1,1a,1,1a,6,6n,6,6n,6,
MT032274,6,6n,6,6n,6,6n,6,6n,6,
MT032275,8,8a,8,8a,6,6n,6,6n,6,
MT032276,8,8a,8,8a,6,6n,6,6n,6,
MT032277,6,6n,6,6n,6,6n,6,6n,6,
MT032278,8,8a,8,8a,6,6n,6,6n,6,
MT032279,8,8a,8,8a,6,6n,6,6n,6,
MT032280,8,8a,8,8a,6,6n,6,6n,6,
MT032281,6,6xa,6,6xa,6,6xa,6,6xa,6,
MT032282,6,6xa,6,6xa,6,6xa,6,6xa,6,
MT032283,6,6xa,6,6xa,6,6xa,6,6xa,6,
MT032286,6,6xa,6,6xa,6,6xa,6,6xa,6,
MT032287,6,6xa,6,6xa,6,6xa,6,6xa,6,
MT032288,6,6xa,6,6xa,6,6xa,6,6xa,6,
MT032289,6,6xa,6,6xa,6,6xa,6,6xa,6,
MT032290,6,6xa,6,6xa,6,6xa,6,6xa,6,
MT032291,6,6xa,6,6xa,6,6xa,6,6xa,6,
MT032292,6,6xa,6,6xa,6,6xa,6,6xa,6,
MT032293,6,6xa,6,6xa,6,6xa,6,6xa,6,
MT032294,6,6xa,6,6xa,6,6xa,6,6xa,6,
MT032295,6,6xa,6,6xa,6,6xa,6,6xa,6,
MT032296,6,6xa,6,6xa,6,6xa,6,6xa,6,
MT032297,6,6xa,6,6xa,6,6xa,6,6xa,6,
MT032298,6,6xa,6,6xa,6,6xa,6,6xa,6,
MT032299,6,6xa,6,6xa,6,6xa,6,6xa,6,
MT032300,6,6xa,6,6xa,6,6xa,6,6xa,6,
MT032301,6,6xa,6,6xa,6,6xa,6,6xa,6,
MT032302,6,6xa,6,6xa,6,6xa,6,6xa,6,
MT032303,6,6xa,6,6xa,6,6xa,6,6xa,6,
MT032304,6,6xa,6,6xa,6,6xa,6,6xa,6,
MT032305,6,6xa,6,6xa,6,6xa,6,6xa,6,
MT603264,1,1b,1,1b,1,1b,1,1b,1,1b
MT603266,1,1b,1,1b,1,1b,1,1b,1,1b
MT603267,1,1b,1,1b,1,1b,1,1b,1,1b
MT603268,3,3a,3,3a,3,3a,3,3a,3,3a
MT603269,3,3a,3,3a,3,3a,3,3a,3,3a
MT603270,3,3a,3,3a,3,3a,3,3a,3,3a
MT603271,3,3a,3,3a,3,3a,3,3a,3,3a
MT603272,3,3a,3,3a,3,3a,3,3a,3,3a
MT603273,3,3a,3,3a,3,3a,3,3a,3,3a
MT603275,3,3a,3,3a,3,3a,3,3a,3,3a
MT603276,3,3a,3,3a,3,3a,3,3a,3,3a
MT603277,3,3a,3,3a,3,3a,3,3a,3,3a
MT603278,3,3a,3,3a,3,3a,3,3a,3,3a
MT603279,3,3a,3,3a,3,3a,3,3a,3,3a
MT603280,3,3a,3,3a,3,3a,3,3a,3,3a
MT603281,3,3a,3,3a,3,3a,3,3a,3,3a
MT603282,3,3a,3,3a,3,3a,3,3a,3,3a
MT632105,1,1b,1,1b,1,1b,1,1b,1,1b
MT632106,1,1b,1,1b,1,1b,1,1b,1,1b
MT632107,1,1b,1,1b,1,1b,1,1b,1,1b
MT632108,1,1b,1,1b,1,1b,1,1b,1,1b
MT632109,1,1b,1,1b,1,1b,1,1b,1,1b
MT632110,1,1a,1,1a,1,1a,1,1a,1,1a
MT632111,1,1b,1,1b,1,1b,1,1b,1,1b
MT632112,1,1b,1,1b,1,1b,1,1b,1,1b
MT632113,1,1b,1,1b,1,1b,1,1b,1,1b
MT632114,1,1b,1,1b,1,1b,1,1b,1,1b
MT632115,1,1a,1,1a,1,1a,1,1a,1,1a
MT632116,1,1a,1,1a,1,1a,1,1a,1,1a
MT632117,1,1b,1,1b,1,1b,1,1b,1,1b
MT632118,1,1a,1,1a,1,1a,1,1a,1,1a
MT632119,1,1b,1,1b,1,1b,1,1b,1,1b
MT632120,1,1b,1,1b,1,1b,1,1b,1,1b
MT632121,1,1a,1,1a,1,1a,1,1a,1,1a
MT632122,1,1b,1,1b,1,1b,1,1b,1,1b
MT632123,1,1b,1,1b,1,1b,1,1b,1,1b
MT632124,1,1b,1,1b,1,1b,1,1b,1,1b-basal
MT632125,1,1a,1,1a,1,1a,1,1a,1,1a
MT632128,1,1b,1,1b,1,1b,1,1b,1,1b
MT632129,1,1b,1,1b,1,1b,1,1b,1,1b
MT632130,1,1a,1,1a,1,1a,1,1a,1,1a
MT632131,1,1b,1,1b,1,1b,1,1b,1,1b
MT632132,1,1b,1,1b,1,1b,1,1b,1,1b
MT632133,1,1b,1,1b,1,1b,1,1b,1,1b
MT632134,1,1b,1,1b,1,1b,1,1b,1,1b
MT632135,1,1b,1,1b,1,1b,1,1b,1,1b
MT632136,1,1b,1,1b,1,1b,1,1b,1,1b
MT632137,1,1b,1,1b,1,1b,1,1b,1,1b
MT632138,1,1b,1,1b,1,1b,1,1b,1,1b
MT632139,1,1b,1,1b,1,1b,1,1b,1,1b
MT632140,1,1b,1,1b,1,1b,1,1b,1,1b
MT632141,1,1b,1,1b,1,1b,1,1b,1,1b
MT632142,1,1b,1,1b,1,1b,1,1b,1,1b
MT632143,1,1b,1,1b,1,1b,1,1b,1,1b
MT632144,1,1b,1,1b,1,1b,1,1b,1,1b
MT632145,1,1b,1,1b,1,1b,1,1b,1,1b
MT632147,1,1b,1,1b,1,1b,1,1b,1,1b
MT632148,1,1b,1,1b,1,1b,1,1b,1,1b
MT632149,1,1b,1,1b,1,1b,1,1b,1,1b
MT632150,1,1b,1,1b,1,1b,1,1b,1,1b
MT632151,1,1b,1,1b,1,1b,1,1b,1,1b
MT632152,1,1b,1,1b,1,1b,1,1b,1,1b
MT632153,1,1b,1,1b,1,1b,1,1b,1,1b
MT632154,1,1b,1,1b,1,1b,1,1b,1,1b
MT632155,1,1a,1,1a,1,1a,1,1a,1,1a
MT632156,1,1a,1,1a,1,1a,1,1a,1,1a
MT632157,1,1a,1,1a,1,1a,1,1a,1,1a
MT632158,3,3a,3,3a,3,3a,3,3a,3,3a
MT632159,1,1a,1,1a,1,1a,1,1a,1,1a
MT632160,1,1a,1,1a,1,1a,1,1a,1,1a
