Accession,PerGeneGenotype,PerGeneSubtype,FullGenomeGenotype,FullGenomeSubtype,CometPerGeneGenotype,CometPerGeneSubtype,CometFullGenomeGenotype,CometFullGenomeSubtype,GenBankGenotype,GenBankSubtype
MW357796,1,1b,1,1b,1,1b,1,1b,,
MW357797,1,1b,1,1b,1,1b,1,1b,,
MW357798,1,1b,1,1b,1,1b,1,1b,,
MW357799,1,1b,1,1b,1,1b,1,1b,,
MW357801,1,1b,1,1b,1,1b,1,1b,,
MW357802,1,1b,1,1b,1,1b,1,1b,,
MW357803,1,1b,1,1b,1,1b,1,1b,,
MW357804,1,1b,1,1b,1,1b,1,1b,,
MW357805,1,1b,1,1b,1,1b,1,1b,,
MW357806,1,1b,1,1b,1,1b,1,1b,,
MW357807,1,1b,1,1b,1,1b,1,1b,,
MW357808,1,1b,1,1b,1,1b,1,1b,,
MW357809,1,1b,1,1b,1,1b,1,1b,,
MW357810,1,1b,1,1b,1,1b,1,1b,,
MW357811,1,1b,1,1b,1,1b,1,1b,,
MW357812,1,1b,1,1b,1,1b,1,1b,,
MW357813,1,1b,1,1b,1,1b,1,1b,,
MW357814,1,1b,1,1b,1,1b,1,1b,,
MZ327730,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327731,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327732,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327733,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327734,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327735,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327736,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327737,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327738,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327739,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327740,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327741,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327742,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327744,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327745,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327746,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327747,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327748,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327749,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327750,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327751,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327752,4,4d,4,4d,4,4d,4,4d,4,4d
MZ327753,1,1b,1,1b,1,1b,1,1b,1,1b
MZ327754,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327755,2,2b,2,2b,2,2b,2,2b,2,2b
MZ327756,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327757,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327758,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327759,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327760,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327761,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327762,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327763,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327764,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327765,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327766,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327767,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327768,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327769,1,1b,1,1b,1,1b,1,1b,1,1b
MZ327770,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327771,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327772,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327773,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327774,1,1b,1,1b,1,1b,1,1b,1,1b
MZ327775,1,1b,1,1b,1,1b,1,1b,1,1b
MZ327776,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327777,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327778,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327779,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327780,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327781,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327782,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327783,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327784,2,2b,2,2b,2,2b,2,2b,2,2b
MZ327785,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327786,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327787,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327788,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327789,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327790,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327791,1,1b,1,1b,1,1b,1,1b,1,1b
MZ327792,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327793,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327794,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327795,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327796,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327797,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327798,1,1a,1,1a,1,1a,1,1a,1,1a
MZ327799,3,3a,3,3a,3,3a,3,3a,3,3a
MZ327800,2,2b,2,2b,2,2b,2,2b,2,2b
ON506742,1,1a,1,1a,1,1a,1,1a,1,1a
ON506743,1,1a,1,1a,1,1a,1,1a,1,1a
ON506744,1,1a,1,1a,1,1a,1,1a,1,1a
ON506746,1,1b,1,1b,1,1b,1,1b,1,1b
ON506748,1,1a,1,1a,1,1a,1,1a,1,1a
ON506750,1,1a,1,1a,1,1a,1,1a,1,1a
ON506751,3,3a,3,3a,3,3a,3,3a,3,3a
ON506753,1,1a,1,1a,1,1a,1,1a,1,1a
ON506755,1,1b,1,1b,1,1b,1,1b,1,1b
ON506756,1,1a,1,1a,1,1a,1,1a,1,1a
ON506757,4,4a,4,4a,4,4a,4,4a,4,4a
ON506758,3,3a,3,3a,3,3a,3,3a,3,3a
ON506759,4,4a,4,4a,4,4a,4,4a,4,4a
ON506760,1,1a,1,1a,1,1a,1,1a,1,1a
ON506761,1,1a,1,1a,1,1a,1,1a,1,1a
ON506763,1,1a,1,1a,1,1a,1,1a,1,1a
ON506764,1,1b,1,1b,1,1b,1,1b,1,1b
ON506765,1,1a,1,1a,1,1a,1,1a,1,1a
ON506766,1,1a,1,1a,1,1a,1,1a,1,1a
ON506768,1,1a,1,1a,1,1a,1,1a,1,1a
ON506769,1,1a,1,1a,1,1a,1,1a,1,1a
ON506771,1,1a,1,1a,1,1a,1,1a,1,1a
ON506772,1,1a,1,1a,1,1a,1,1a,1,1a
ON506773,3,3a,3,3a,3,3a,3,3a,3,3a
ON506774,1,1b,1,1b,1,1b,1,1b,1,1b
ON506775,1,1a,1,1a,1,1a,1,1a,1,1a
ON506776,1,1a,1,1a,1,1a,1,1a,1,1a
ON506777,1,1a,1,1a,1,1a,1,1a,1,1a
ON506778,4,4a,4,4a,4,4a,4,4a,4,4a
ON506779,3,3a,3,3a,3,3a,3,3a,3,3a
ON506780,1,1b,1,1b,1,1b,1,1b,1,1b
ON506781,4,4a,4,4a,4,4a,4,4a,4,4a
ON506782,3,3a,3,3a,3,3a,3,3a,3,3a
ON506783,1,1a,1,1a,1,1a,1,1a,1,1a
ON506784,3,3a,3,3a,3,3a,3,3a,3,3a
ON506785,1,1b,1,1b,1,1b,1,1b,1,1b
ON506786,1,1a,1,1a,1,1a,1,1a,1,1a
ON506787,1,1a,1,1a,1,1a,1,1a,1,1a
ON506788,1,1a,1,1a,1,1a,1,1a,1,1a
ON506789,1,1a,1,1a,1,1a,1,1a,1,1a
ON506790,3,3a,3,3a,3,3a,3,3a,3,3a
ON506791,1,1b,1,1b,1,1b,1,1b,1,1b
ON506794,3,3a,3,3a,3,3a,3,3a,3,3a
ON506796,4,4a,4,4a,4,4a,4,4a,4,4a
ON506797,1,1a,1,1a,1,1a,1,1a,1,1a
ON506798,3,3a,3,3a,3,3a,3,3a,3,3a
ON506799,4,4d,4,4d,4,4d,4,4d,4,4d
ON506801,4,4a,4,4a,4,4a,4,4a,4,4a
ON506802,1,1b,1,1b,1,1b,1,1b,2,2k
ON506803,1,1a,1,1a,1,1a,1,1a,1,1a
ON506804,1,1a,1,1a,1,1a,1,1a,1,1a
ON506805,3,3a,3,3a,3,3a,3,3a,3,3a
ON506806,1,1b,1,1b,1,1b,1,1b,1,1b
ON506807,1,1a,1,1a,1,1a,1,1a,1,1a
ON506809,1,1a,1,1a,1,1a,1,1a,1,1a
ON506810,3,3a,3,3a,3,3a,3,3a,3,3a
ON506811,1,1a,1,1a,1,1a,1,1a,1,1a
ON506812,1,1a,1,1a,1,1a,1,1a,1,1a
ON506813,3,3a,3,3a,3,3a,3,3a,3,3a
ON506814,1,1a,1,1a,1,1a,1,1a,1,1a
ON506815,3,3a,3,3a,3,3a,3,3a,3,3a
ON506816,1,1a,1,1a,1,1a,1,1a,1,1a
ON506817,4,4d,4,4d,4,4d,4,4d,4,4d
ON506818,4,4a,4,4a,4,4a,4,4a,4,4a
ON506819,4,4d,4,4d,4,4d,4,4d,4,4d
ON506820,1,1a,1,1a,1,1a,1,1a,1,1a
ON506821,1,1a,1,1a,1,1a,1,1a,1,1a
ON506822,3,3a,3,3a,3,3a,3,3a,3,3a
ON506823,1,1a,1,1a,1,1a,1,1a,1,1a
ON506824,1,1a,1,1a,1,1a,1,1a,1,1a
ON506825,3,3a,3,3a,3,3a,3,3a,3,3a
ON314813,2,2f,2,2k,2,2k,2,2k,2,
ON314814,2,2q,2,2q,2,2q,2,2q,2,
ON314815,2,2q,2,2q,2,2j,2,2j,2,
ON314816,2,2j,2,2d,2,2j,2,2j,2,
ON314818,2,2u,2,2k,2,2k,2,2k,2,
ON314819,2,2q,2,2q,2,2q,2,2q,2,
ON314820,2,2q,2,2q,2,2q,2,2j,2,
ON314822,2,2q,2,2q,2,2q,2,2k,2,
ON314823,2,2q,2,2q,2,2a,2,2j,2,
ON314824,2,2q,2,2q,2,2j,2,2q,2,
ON314826,2,2q,2,2c,2,2q,2,2j,2,
ON314827,2,2q,2,2q,2,2q,2,2q,2,
ON314828,2,2q,2,2q,2,2q,2,2q,2,
ON123736,1,1b,1,1b,1,1b,1,1b,1,
PQ365497,1,1a,1,1a,1,1a,1,1a,1,1a
PQ365498,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365499,1,1a,1,1a,1,1a,1,1a,1,1a
PQ365502,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365503,1,1a,1,1a,1,1a,1,1a,1,1a
PQ365505,3,3b,3,3b,3,3b,3,3b,3,3b
PQ365506,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365507,1,1a,1,1a,1,1a,1,1a,1,1a
PQ365508,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365509,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365510,1,1b,1,1b,1,1b,1,1b,1,1b
PQ365511,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365512,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365513,3,3d,3,3d,3,3a,3,3a,3,3d
PQ365514,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365516,1,1a,1,1a,1,1a,1,1a,1,1a
PQ365518,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365519,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365520,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365521,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365522,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365523,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365526,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365527,1,1a,1,1a,1,1a,1,1a,1,1a
PQ365528,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365529,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365530,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365531,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365532,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365533,1,1a,1,1a,1,1a,1,1a,1,1a
PQ365535,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365536,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365537,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365538,3,3a,3,3a,3,3a,3,3a,3,3a
PQ365539,3,3g,3,3g,3,3g,3,3g,3,3g
PQ365540,3,3a,3,3a,3,3a,3,3a,3,3a
MT633133,7,7b,7,7b,3,3a,3,3a,7,7b
MT863939,3,3a,3,3a,3,3a,3,3a,,
MT863941,3,3a,3,3a,3,3a,3,3a,,
MT863943,1,1a,1,1a,1,1a,1,1a,,
MT863945,1,1a,1,1a,1,1a,1,1a,,
MT863947,1,1a,1,1a,1,1a,1,1a,,
MT863949,1,1a,1,1a,1,1a,1,1a,,
MT863951,4,4d,4,4d,4,4d,4,4d,,
MT863953,4,4d,4,4d,4,4d,4,4d,,
MT863955,1,1a,1,1a,1,1a,1,1a,,
MT863957,4,4d,4,4d,4,4d,4,4d,,
MT863959,1,1a,1,1a,1,1a,1,1a,,
MT863961,3,3a,3,3a,3,3a,3,3a,,
MT863963,3,3a,3,3a,3,3a,3,3a,,
MT863965,4,4d,4,4d,4,4d,4,4d,,
MT863967,1,1a,1,1a,1,1a,1,1a,,
MT863969,4,4d,4,4d,4,4d,4,4d,,
MT863971,3,3a,3,3a,3,3a,3,3a,,
MT863973,1,1a,1,1a,1,1a,1,1a,,
MT863975,4,4d,4,4d,4,4d,4,4d,,
MT863977,1,1a,1,1a,1,1a,1,1a,,
MT863979,1,1a,1,1a,1,1a,1,1a,,
MT863981,1,1a,1,1a,1,1a,1,1a,,
MT863983,3,3a,3,3a,3,3a,3,3a,,
MT863985,3,3a,3,3a,3,3a,3,3a,,
MT863987,4,4d,4,4d,4,4d,4,4d,,
MT863989,1,1a,1,1a,1,1a,1,1a,,
MT863991,1,1a,1,1a,1,1a,1,1a,,
MT863993,1,1a,1,1a,1,1a,1,1a,,
MT863995,3,3a,3,3a,3,3a,3,3a,,
MT863997,3,3a,3,3a,3,3a,3,3a,,
MT863999,3,3a,3,3a,3,3a,3,3a,,
MT864001,3,3a,3,3a,3,3a,3,3a,,
MT864003,1,1a,1,1a,1,1a,1,1a,,
MT864005,3,3a,3,3a,3,3a,3,3a,,
MT893907,4,4r,4,4r,4,4r,4,4r,4,4r
MT893908,4,4c,4,4c,4,4a,4,4a,4,4c
MT893909,4,4c,4,4c,4,4c,4,4a,4,4c
MT893910,4,4k,4,4k,4,4k,4,4k,4,4k
MT893911,4,4r,4,4r,4,4r,4,4r,4,4r
MT893912,4,4c,4,4c,4,4a,4,4a,4,4c
MT893913,4,4r,4,4r,4,4r,4,4r,4,4r
MT893914,4,4r,4,4r,4,4r,4,4r,4,4r
MW041294,2,2e,2,2c,2,2j,2,2j,2,
MW041295,2,2v,2,2v,2,2j,2,2j,2,
MW041296,2,2q,2,2c,2,2j,2,2j,2,
MW041297,2,2v,2,2v,2,2j,2,2j,2,
MW041298,2,2v,2,2v,2,2j,2,2j,2,
MW041299,2,2v,2,2v,2,2j,2,2j,2,
ON630763,1,1a,1,1a,1,1a,1,1a,1,
ON630764,1,1a,1,1a,1,1a,1,1a,1,
ON630765,1,1a,1,1a,1,1a,1,1a,1,
ON630766,1,1a,1,1a,1,1a,1,1a,1,
ON630767,1,1a,1,1a,1,1a,1,1a,1,
ON630768,1,1a,1,1a,1,1a,1,1a,1,
ON630769,1,1a,1,1a,1,1a,1,1a,1,
ON630770,1,1a,1,1a,1,1a,1,1a,1,
ON630771,1,1a,1,1a,1,1a,1,1a,1,
ON630772,1,1a,1,1a,1,1a,1,1a,1,
ON630773,1,1a,1,1a,1,1a,1,1a,1,
ON630774,1,1a,1,1a,1,1a,1,1a,1,
ON630775,1,1a,1,1a,1,1a,1,1a,1,
ON630776,1,1a,1,1a,1,1a,1,1a,1,
ON630777,1,1a,1,1a,1,1a,1,1a,1,
ON630778,1,1a,1,1a,1,1a,1,1a,1,
ON630779,1,1a,1,1a,1,1a,1,1a,1,
ON630780,1,1a,1,1a,1,1a,1,1a,1,
ON630781,1,1a,1,1a,1,1a,1,1a,1,
ON630782,1,1a,1,1a,1,1a,1,1a,1,
ON630783,1,1a,1,1a,1,1a,1,1a,1,
ON630784,1,1a,1,1a,1,1a,1,1a,1,
ON630785,1,1a,1,1a,1,1a,1,1a,1,
ON630786,1,1a,1,1a,1,1a,1,1a,1,
ON630787,1,1a,1,1a,1,1a,1,1a,1,
ON630788,1,1a,1,1a,1,1a,1,1a,1,
ON630789,1,1a,1,1a,1,1a,1,1a,1,
ON630790,1,1a,1,1a,1,1a,1,1a,1,
ON630791,1,1a,1,1a,1,1a,1,1a,1,
ON630792,1,1a,1,1a,1,1a,1,1a,1,
ON630793,1,1a,1,1a,1,1a,1,1a,1,
ON630794,1,1a,1,1a,1,1a,1,1a,1,
ON630795,1,1a,1,1a,1,1a,1,1a,1,
ON630796,1,1a,1,1a,1,1a,1,1a,1,
ON630797,1,1a,1,1a,1,1a,1,1a,1,
ON630798,1,1a,1,1a,1,1a,1,1a,1,
ON630799,1,1a,1,1a,1,1a,1,1a,1,
ON630800,1,1a,1,1a,1,1a,1,1a,1,
ON630801,1,1a,1,1a,1,1a,1,1a,1,
ON630802,1,1a,1,1a,1,1a,1,1a,1,
ON630803,1,1a,1,1a,1,1a,1,1a,1,
ON630804,1,1a,1,1a,1,1a,1,1a,1,
ON630805,1,1a,1,1a,1,1a,1,1a,1,
ON630806,1,1a,1,1a,1,1a,1,1a,1,
ON630807,1,1a,1,1a,1,1a,1,1a,1,
ON630808,1,1a,1,1a,1,1a,1,1a,1,
ON630809,1,1a,1,1a,1,1a,1,1a,1,
ON630810,1,1a,1,1a,1,1a,1,1a,1,
ON630811,1,1a,1,1a,1,1a,1,1a,1,
ON630812,1,1a,1,1a,1,1a,1,1a,1,
ON630813,1,1a,1,1a,1,1a,1,1a,1,
ON630814,1,1a,1,1a,1,1a,1,1a,1,
ON630815,1,1a,1,1a,1,1a,1,1a,1,
ON630816,1,1a,1,1a,1,1a,1,1a,1,
ON630817,1,1a,1,1a,1,1a,1,1a,1,
ON630818,1,1a,1,1a,1,1a,1,1a,1,
ON630819,1,1a,1,1a,1,1a,1,1a,1,
ON630820,1,1a,1,1a,1,1a,1,1a,1,
ON630821,1,1a,1,1a,1,1a,1,1a,1,
ON630822,1,1a,1,1a,1,1a,1,1a,1,
ON630823,1,1a,1,1a,1,1a,1,1a,1,
ON630824,1,1a,1,1a,1,1a,1,1a,1,
ON630825,1,1a,1,1a,1,1a,1,1a,1,
ON630826,1,1a,1,1a,1,1a,1,1a,1,
ON630827,1,1a,1,1a,1,1a,1,1a,1,
ON630828,1,1a,1,1a,1,1a,1,1a,1,
ON630829,1,1a,1,1a,1,1a,1,1a,1,
ON630830,1,1a,1,1a,1,1a,1,1a,1,
ON630831,1,1a,1,1a,1,1a,1,1a,1,
ON630832,1,1a,1,1a,1,1a,1,1a,1,
ON630833,1,1a,1,1a,1,1a,1,1a,1,
ON630834,1,1a,1,1a,1,1a,1,1a,1,
ON630835,1,1a,1,1a,1,1a,1,1a,1,
ON630836,1,1a,1,1a,1,1a,1,1a,1,
ON630837,1,1a,1,1a,1,1a,1,1a,1,
ON630838,1,1a,1,1a,1,1a,1,1a,1,
ON630839,1,1a,1,1a,1,1a,1,1a,1,
ON630840,1,1a,1,1a,1,1a,1,1a,1,
ON630841,1,1a,1,1a,1,1a,1,1a,1,
ON630842,1,1a,1,1a,1,1a,1,1a,1,
ON630843,1,1a,1,1a,1,1a,1,1a,1,
ON630844,1,1a,1,1a,1,1a,1,1a,1,
ON630845,1,1a,1,1a,1,1a,1,1a,1,
ON630846,1,1a,1,1a,1,1a,1,1a,1,
ON630847,1,1a,1,1a,1,1a,1,1a,1,
ON630848,1,1a,1,1a,1,1a,1,1a,1,
ON630849,1,1a,1,1a,1,1a,1,1a,1,
ON630850,1,1a,1,1a,1,1a,1,1a,1,
ON630851,1,1a,1,1a,1,1a,1,1a,1,
ON630852,1,1a,1,1a,1,1a,1,1a,1,
ON630853,1,1a,1,1a,1,1a,1,1a,1,
ON630854,1,1a,1,1a,1,1a,1,1a,1,
ON630855,1,1a,1,1a,1,1a,1,1a,1,
ON630856,1,1a,1,1a,1,1a,1,1a,1,
ON630857,1,1a,1,1a,1,1a,1,1a,1,
ON630858,1,1a,1,1a,1,1a,1,1a,1,
ON630859,1,1a,1,1a,1,1a,1,1a,1,
ON630860,1,1a,1,1a,1,1a,1,1a,1,
ON630861,1,1a,1,1a,1,1a,1,1a,1,
ON630862,1,1a,1,1a,1,1a,1,1a,1,
ON630863,1,1a,1,1a,1,1a,1,1a,1,
ON630864,1,1a,1,1a,1,1a,1,1a,1,
ON630865,1,1a,1,1a,1,1a,1,1a,1,
ON630866,1,1a,1,1a,1,1a,1,1a,1,
ON630867,1,1a,1,1a,1,1a,1,1a,1,
ON630868,1,1a,1,1a,1,1a,1,1a,1,
ON630869,1,1a,1,1a,1,1a,1,1a,1,
ON630870,4,4d,4,4d,4,4d,4,4d,4,
ON630871,4,4d,4,4d,4,4d,4,4d,4,
ON630872,4,4d,4,4d,4,4d,4,4d,4,
ON630873,4,4d,4,4d,4,4d,4,4d,4,
ON630874,4,4d,4,4d,4,4d,4,4d,4,
ON630875,4,4d,4,4d,4,4d,4,4d,4,
ON630876,4,4d,4,4d,4,4d,4,4d,4,
ON630877,4,4d,4,4d,4,4d,4,4d,4,
ON630878,4,4d,4,4d,4,4d,4,4d,4,
ON630879,4,4d,4,4d,4,4d,4,4d,4,
ON630880,4,4d,4,4d,4,4d,4,4d,4,
ON630881,4,4d,4,4d,4,4d,4,4d,4,
ON630882,4,4d,4,4d,4,4d,4,4d,4,
ON630883,4,4d,4,4d,4,4d,4,4d,4,
ON630884,4,4d,4,4d,4,4d,4,4d,4,
ON630885,4,4d,4,4d,4,4d,4,4d,4,
ON630886,4,4d,4,4d,4,4d,4,4d,4,
ON630887,4,4d,4,4d,4,4d,4,4d,4,
ON630888,4,4d,4,4d,4,4d,4,4d,4,
ON630889,4,4d,4,4d,4,4d,4,4d,4,
ON630890,4,4d,4,4d,4,4d,4,4d,4,
ON630891,4,4d,4,4d,4,4d,4,4d,4,
ON630892,4,4d,4,4d,4,4d,4,4d,4,
ON630893,4,4d,4,4d,4,4d,4,4d,4,
ON630894,4,4d,4,4d,4,4d,4,4d,4,
ON630895,4,4d,4,4d,4,4d,4,4d,4,
ON630896,4,4d,4,4d,4,4d,4,4d,4,
ON630897,4,4d,4,4d,4,4d,4,4d,4,
ON630898,4,4d,4,4d,4,4d,4,4d,4,
ON630899,4,4d,4,4d,4,4d,4,4d,4,
ON630900,4,4d,4,4d,4,4d,4,4d,4,
MW675788,1,1a,1,1a,1,1a,1,1a,1,1a
MW675790,1,1a,1,1a,1,1a,1,1a,1,1a
MW675792,1,1a,1,1a,1,1a,1,1a,1,1a
MW675793,1,1a,1,1a,1,1a,1,1a,1,1a
MW675797,4,4d,4,4d,4,4d,4,4d,4,4d
MN628574,3,3a,3,3a,3,3a,3,3a,3,3a
MN628575,3,3a,3,3a,3,3a,3,3a,3,3a
MN628576,3,3a,3,3a,3,3a,3,3a,3,3a
MN628577,3,3a,3,3a,3,3a,3,3a,3,3a
MN628578,3,3a,3,3a,3,3a,3,3a,3,3a
MN628579,3,3a,3,3a,3,3a,3,3a,3,3a
MN628580,1,1a,1,1a,1,1a,1,1a,3,3a
MN628581,3,3a,3,3a,3,3a,3,3a,1,1a
MN628582,3,3a,3,3a,3,3a,3,3a,3,3a
MN628583,3,3a,3,3a,3,3a,3,3a,3,3a
MN628584,3,3a,3,3a,3,3a,3,3a,3,3a
MN628585,3,3a,3,3a,3,3a,3,3a,3,3a
MN628586,3,3a,3,3a,3,3a,3,3a,3,3a
MN628587,3,3a,3,3a,3,3a,3,3a,3,3a
MN628588,3,3a,3,3a,3,3a,3,3a,3,3a
MN628589,3,3a,3,3a,3,3a,3,3a,3,3a
MN628590,3,3a,3,3a,3,3a,3,3a,3,3a
MN628591,3,3a,3,3a,3,3a,3,3a,3,3a
MN628592,1,1a,1,1a,1,1a,1,1a,1,1a
MN628593,3,3a,3,3a,3,3a,3,3a,3,3a
