Accession,PerGeneGenotype,PerGeneSubtype,PerGeneClosestSubtypeAlignedNT,FullSeqGenotype,FullSeqSubtype,FullSeqClosestSubtypeAlignedNT,CometPerGeneGenotype,CometPerGeneSubtype,CometFullSeqGenotype,CometFullSeqSubtype,GenBankGenotype,GenBankSubtype
PQ365512,3,3a,1895,3,3a,9438,3,3a,3,3a,3,3a
PQ365513,3,3d,1892,3,3d,7317,3,3a,3,3a,3,3d
PQ365514,3,3a,1894,3,3a,9413,3,3a,3,3a,3,3a
PQ365515,3,3a,1895,3,3a,9410,3,3a,3,3a,3,3a
PQ365517,3,3a,1894,3,3a,9427,3,3a,3,3a,3,3a
PQ365519,3,3a,1894,3,3a,9427,3,3a,3,3a,3,3a
PQ365520,3,3a,1894,3,3a,9367,3,3a,3,3a,3,3a
PQ365521,3,3a,1895,3,3a,9391,3,3a,3,3a,3,3a
PQ365522,3,3a,1894,3,3a,9420,3,3a,3,3a,3,3a
PQ365523,3,3a,1894,3,3a,9389,3,3a,3,3a,3,3a
PQ365524,3,3e,1892,3,3e,7857,3,3a,3,3a,3,3e
PQ365525,3,3a,1895,3,3a,9380,3,3a,3,3a,3,3a
PQ365526,3,3a,1895,3,3a,9420,3,3a,3,3a,3,3a
PQ365527,1,1a,1893,1,1a,9340,1,1a,1,1a,1,1a
PQ365528,3,3a,1894,3,3a,7847,3,3a,3,3a,3,3a
PQ365529,3,3a,1895,3,3a,9383,3,3a,3,3a,3,3a
PQ365530,3,3a,1895,3,3a,9400,3,3a,3,3a,3,3a
PQ365531,3,3a,1894,3,3a,9417,3,3a,3,3a,3,3a
PQ365532,3,3a,1895,3,3a,9435,3,3a,3,3a,3,3a
PQ365534,3,3a,1893,3,3a,9387,3,3a,3,3a,3,3a
PQ365535,3,3a,1894,3,3a,9376,3,3a,3,3a,3,3a
PQ365536,3,3a,1894,3,3a,9421,3,3a,3,3a,3,3a
PQ365537,3,3a,1895,3,3a,7862,3,3a,3,3a,3,3a
PQ365538,3,3a,1895,3,3a,9413,3,3a,3,3a,3,3a
PQ365540,3,3a,1895,3,3a,9260,3,3a,3,3a,3,3a
MT633132,7,7b,1510,7,7b,1510,1,1b,1,1b,7,7b
MT893900,4,4c,507,4,4c,507,4,4c,4,4c,4,4c
MT893901,4,4c,516,4,4c,516,4,4c,4,4c,4,4c
MT893902,4,4k,508,4,4k,508,4,4k,4,4k,4,4k
MT893904,4,4c,537,4,4c,537,4,4c,4,4c,4,4c
MT893905,4,4r,504,4,4r,504,4,4r,4,4r,4,4r
MT893906,4,4r,507,4,4r,507,4,4r,4,4r,4,4r
MW041294,2,2r,1884,2,2c,9430,2,2j,2,2j,2,
MW041295,2,2v,1884,2,2v,9403,2,2j,2,2j,2,
MW041296,2,2r,1884,2,2c,9414,2,2c,2,2j,2,
MW041297,2,2v,1884,2,2v,9390,2,2j,2,2j,2,
MW041298,2,2v,1884,2,2v,9359,2,2a,2,2j,2,
MW041299,2,2v,1884,2,2v,9390,2,2j,2,2j,2,
ON630763,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630764,1,1a,1893,1,1a,9156,1,1a,1,1a,1,
ON630765,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630766,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630767,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630768,1,1a,1893,1,1a,9156,1,1a,1,1a,1,
ON630769,1,1a,1893,1,1a,9159,1,1a,1,1a,1,
ON630770,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630771,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630772,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630773,1,1a,1893,1,1a,9161,1,1a,1,1a,1,
ON630774,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630775,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630776,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630777,1,1a,1893,1,1a,9160,1,1a,1,1a,1,
ON630778,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630779,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630780,1,1a,1893,1,1a,9156,1,1a,1,1a,1,
ON630781,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630782,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630783,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630784,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630785,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630786,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630787,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630788,1,1a,1892,1,1a,9158,1,1a,1,1a,1,
ON630789,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630790,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630791,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630792,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630793,1,1a,1893,1,1a,9161,1,1a,1,1a,1,
ON630794,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630795,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630796,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630797,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630798,1,1a,1893,1,1a,9162,1,1a,1,1a,1,
ON630799,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630800,1,1a,1893,1,1a,9163,1,1a,1,1a,1,
ON630801,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630802,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630803,1,1a,1893,1,1a,9159,1,1a,1,1a,1,
ON630804,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630805,1,1a,1893,1,1a,9166,1,1a,1,1a,1,
ON630806,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630807,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630808,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630809,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630810,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630811,1,1a,1893,1,1a,9161,1,1a,1,1a,1,
ON630812,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630813,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630814,1,1a,1893,1,1a,9159,1,1a,1,1a,1,
ON630815,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630816,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630817,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630818,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630819,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630820,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630821,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630822,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630823,1,1a,1893,1,1a,9159,1,1a,1,1a,1,
ON630824,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630825,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630826,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630827,1,1a,1893,1,1a,9162,1,1a,1,1a,1,
ON630828,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630829,1,1a,1893,1,1a,9159,1,1a,1,1a,1,
ON630830,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630831,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630832,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630833,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630834,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630835,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630836,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630837,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630838,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630839,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630840,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630841,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630842,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630843,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630844,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630845,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630846,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630847,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630848,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630849,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630850,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630851,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630852,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630853,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630854,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630855,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630856,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630857,1,1a,1893,1,1a,9159,1,1a,1,1a,1,
ON630858,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630859,1,1a,1893,1,1a,9162,1,1a,1,1a,1,
ON630860,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630861,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630862,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630863,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630864,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630865,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630866,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630867,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630868,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630869,1,1a,1893,1,1a,9158,1,1a,1,1a,1,
ON630870,4,4d,1893,4,4d,9144,4,4d,4,4d,4,
ON630871,4,4d,1893,4,4d,9144,4,4d,4,4d,4,
ON630872,4,4d,1893,4,4d,9143,4,4d,4,4d,4,
ON630873,4,4d,1893,4,4d,9143,4,4d,4,4d,4,
ON630874,4,4d,1893,4,4d,9143,4,4d,4,4d,4,
ON630875,4,4d,1893,4,4d,9141,4,4d,4,4d,4,
ON630876,4,4d,1893,4,4d,9144,4,4d,4,4d,4,
ON630877,4,4d,1893,4,4d,9141,4,4d,4,4d,4,
ON630878,4,4d,1893,4,4d,9141,4,4d,4,4d,4,
ON630879,4,4d,1893,4,4d,9142,4,4d,4,4d,4,
ON630880,4,4d,1893,4,4d,9142,4,4d,4,4d,4,
ON630881,4,4d,1893,4,4d,9142,4,4d,4,4d,4,
ON630882,4,4d,1893,4,4d,9142,4,4d,4,4d,4,
ON630883,4,4d,1893,4,4d,9141,4,4d,4,4d,4,
ON630884,4,4d,1893,4,4d,9142,4,4d,4,4d,4,
ON630885,4,4d,1893,4,4d,9141,4,4d,4,4d,4,
ON630886,4,4d,1893,4,4d,9142,4,4d,4,4d,4,
ON630887,4,4d,1893,4,4d,9141,4,4d,4,4d,4,
ON630888,4,4d,1893,4,4d,9143,4,4d,4,4d,4,
ON630889,4,4d,1893,4,4d,9143,4,4d,4,4d,4,
ON630890,4,4d,1893,4,4d,9141,4,4d,4,4d,4,
ON630891,4,4d,1893,4,4d,9141,4,4d,4,4d,4,
ON630892,4,4d,1893,4,4d,9141,4,4d,4,4d,4,
ON630893,4,4d,1893,4,4d,9142,4,4d,4,4d,4,
ON630894,4,4d,1893,4,4d,9141,4,4d,4,4d,4,
ON630895,4,4d,1893,4,4d,9142,4,4d,4,4d,4,
ON630896,4,4d,1893,4,4d,9143,4,4d,4,4d,4,
ON630897,4,4d,1893,4,4d,9141,4,4d,4,4d,4,
ON630898,4,4d,1893,4,4d,9141,4,4d,4,4d,4,
ON630899,4,4d,1893,4,4d,9141,4,4d,4,4d,4,
ON630900,4,4d,1893,4,4d,7694,4,4d,4,4d,4,
ON603922,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
ON603923,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
ON603924,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
ON603925,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
ON603926,3,3a,540,3,3a,540,3,3a,3,3a,3,3a
ON603927,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
ON603928,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
ON603929,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
ON603930,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
ON603931,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
ON603932,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
ON603933,3,3a,542,3,3a,542,3,3a,3,3a,3,3a
ON603934,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
ON603935,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
ON603936,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
ON603937,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
ON603938,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
ON603939,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
ON603940,3,3a,543,3,3a,543,3,3a,3,3a,3,3a
MN628574,3,3a,1894,3,3a,9417,3,3a,3,3a,3,3a
MN628575,3,3a,1895,3,3a,9421,3,3a,3,3a,3,3a
MN628576,3,3a,1895,3,3a,9411,3,3a,3,3a,3,3a
MN628577,3,3a,1895,3,3a,9421,3,3a,3,3a,3,3a
MN628578,3,3a,1894,3,3a,9418,3,3a,3,3a,3,3a
MN628579,3,3a,1895,3,3a,9447,3,3a,3,3a,3,3a
MN628580,1,1a,1893,1,1a,9394,1,1a,1,1a,3,3a
MN628581,3,3a,1895,3,3a,9416,3,3a,3,3a,1,1a
MN628582,3,3a,1895,3,3a,9431,3,3a,3,3a,3,3a
MN628583,3,3a,1895,3,3a,9152,3,3a,3,3a,3,3a
MN628584,3,3a,1895,3,3a,9416,3,3a,3,3a,3,3a
MN628585,3,3a,1895,3,3a,9455,3,3a,3,3a,3,3a
MN628586,3,3a,1895,3,3a,9417,3,3a,3,3a,3,3a
MN628587,3,3a,1894,3,3a,9420,3,3a,3,3a,3,3a
MN628588,3,3a,1895,3,3a,9430,3,3a,3,3a,3,3a
MN628589,3,3a,1895,3,3a,9414,3,3a,3,3a,3,3a
MN628590,3,3a,1895,3,3a,9449,3,3a,3,3a,3,3a
MN628591,3,3a,1895,3,3a,9419,3,3a,3,3a,3,3a
MN628592,1,1a,1893,1,1a,9393,1,1a,1,1a,1,1a
MN628593,3,3a,1894,3,3a,9406,3,3a,3,3a,3,3a
MN628594,3,3a,1894,3,3a,9455,3,3a,3,3a,3,3a
MN628595,3,3a,1894,3,3a,9427,3,3a,3,3a,3,3a
MN628596,3,3a,1894,3,3a,9441,3,3a,3,3a,3,3a
MN628597,3,3a,1895,3,3a,9420,3,3a,3,3a,3,3a
MN650758,1,1a,540,1,1a,540,1,1a,1,1a,,
MN650759,1,1a,540,1,1a,540,1,1a,1,1a,,
MN650762,1,1a,540,1,1a,540,1,1a,1,1a,,
MN650763,1,1a,540,1,1a,540,1,1a,1,1a,,
MN650764,1,1a,540,1,1a,540,1,1a,1,1a,,
MN650765,1,1a,540,1,1a,540,1,1a,1,1a,,
MN650768,1,1a,540,1,1a,540,1,1a,1,1a,,
MN650769,1,1a,540,1,1a,540,1,1a,1,1a,,
MN650770,1,1a,540,1,1a,540,1,1a,1,1a,,
MN650771,1,1a,540,1,1a,540,1,1a,1,1a,,
MN650772,1,1a,539,1,1a,539,1,1a,1,1a,,
MN650773,1,1a,540,1,1a,540,1,1a,1,1a,,
MN650774,1,1a,539,1,1a,539,1,1a,1,1a,,
MN650775,3,3a,540,3,3a,540,3,3a,3,3a,,
MN650776,3,3a,540,3,3a,540,3,3a,3,3a,,
MN650777,3,3a,540,3,3a,540,3,3a,3,3a,,
MN650778,3,3a,540,3,3a,540,3,3a,3,3a,,
MN650779,3,3a,540,3,3a,540,3,3a,3,3a,,
MN650780,3,3a,540,3,3a,540,3,3a,3,3a,,
MN650782,3,3a,540,3,3a,540,3,3a,3,3a,,
MN650783,3,3a,540,3,3a,540,3,3a,3,3a,,
MN650784,3,3a,540,3,3a,540,3,3a,3,3a,,
MN650785,3,3a,540,3,3a,540,3,3a,3,3a,,
MN650786,3,3a,540,3,3a,540,3,3a,3,3a,,
MN650787,3,3a,540,3,3a,540,3,3a,3,3a,,
MN650788,3,3a,540,3,3a,540,3,3a,3,3a,,
MN650789,3,3a,535,3,3a,535,3,3a,3,3a,,
MN650790,3,3a,540,3,3a,540,3,3a,3,3a,,
MN650791,3,3a,540,3,3a,540,3,3a,3,3a,,
MN650792,3,3a,541,3,3a,541,3,3a,3,3a,,
MN650793,3,3a,540,3,3a,540,3,3a,3,3a,,
MN650794,3,3a,540,3,3a,540,3,3a,3,3a,,
MN650795,3,3a,540,3,3a,540,3,3a,3,3a,,
MN650796,3,3a,540,3,3a,540,3,3a,3,3a,,
MN650797,3,3a,540,3,3a,540,3,3a,3,3a,,
MN650798,3,3a,535,3,3a,535,3,3a,3,3a,,
MN650799,4,4d,540,4,4d,540,4,4d,4,4d,,
MN650800,4,4d,540,4,4d,540,4,4d,4,4d,,
MN650801,4,4d,540,4,4d,540,4,4d,4,4d,,
MN650802,4,4d,540,4,4d,540,4,4d,4,4d,,
MN650804,4,4d,540,4,4d,540,4,4d,4,4d,,
MN650805,4,4d,540,4,4d,540,4,4d,4,4d,,
MN650806,4,4d,540,4,4d,540,4,4d,4,4d,,
MN650808,1,1a,540,1,1a,540,1,1a,1,1a,,
MN650809,1,1a,540,1,1a,540,1,1a,1,1a,,
MN650810,1,1a,539,1,1a,539,1,1a,1,1a,,
MN650811,1,1a,541,1,1a,541,1,1a,1,1a,,
MN650812,1,1a,540,1,1a,540,1,1a,1,1a,,
MN650813,1,1a,540,1,1a,540,1,1a,1,1a,,
MN650814,3,3a,540,3,3a,540,3,3a,3,3a,,
MN650815,4,4d,540,4,4d,540,4,4d,4,4d,,
MN650816,4,4d,540,4,4d,540,4,4d,4,4d,,
MN650817,4,4d,540,4,4d,540,4,4d,4,4d,,
MN650818,4,4d,540,4,4d,540,4,4d,4,4d,,
MN650819,3,3a,540,3,3a,540,3,3a,3,3a,,
PQ660823,1,1a,1893,1,1a,9036,1,1a,1,1a,1,1a
PQ660824,1,1a,1893,1,1a,9036,1,1a,1,1a,1,1a
PQ660825,1,1a,1893,1,1a,9036,1,1a,1,1a,1,1a
PQ660826,1,1a,1893,1,1a,9037,1,1a,1,1a,1,1a
PQ660827,1,1a,1893,1,1a,9036,1,1a,1,1a,1,1a
PQ660828,1,1a,1893,1,1a,9036,1,1a,1,1a,1,1a
PQ660829,1,1a,1893,1,1a,9036,1,1a,1,1a,1,1a
PQ660830,4,4a,1892,4,4a,9027,4,4a,4,4a,4,4a
PQ660831,1,1a,1892,1,1a,9036,1,1a,1,1a,1,1a
PQ660832,1,1a,1893,1,1a,9036,1,1a,1,1a,1,1a
PQ660833,1,1a,1893,1,1a,9037,1,1a,1,1a,1,1a
PQ660834,1,1a,1893,1,1a,9036,1,1a,1,1a,1,1a
PQ660836,1,1a,1893,1,1a,9036,1,1a,1,1a,1,1a
PQ660837,4,4a,1892,4,4a,7792,4,4a,4,4a,4,4a
PQ660838,1,1a,1893,1,1a,9036,1,1a,1,1a,1,1a
PQ660839,4,4a,1892,4,4a,8962,4,4a,4,4a,4,4a
PQ660840,4,4a,1892,4,4a,9025,4,4a,4,4a,4,4a
PQ660841,1,1a,1893,1,1a,9036,1,1a,1,1a,1,1a
PQ660842,1,1a,1893,1,1a,9036,1,1a,1,1a,1,1a
PQ660843,1,1a,1893,1,1a,9036,1,1a,1,1a,1,1a
PQ660844,1,1a,1893,1,1a,9036,1,1a,1,1a,1,1a
PQ660845,1,1a,1893,1,1a,9036,1,1a,1,1a,1,1a
PQ660846,1,1a,1893,1,1a,9036,1,1a,1,1a,1,1a
PQ660847,4,4a,1892,4,4a,8964,4,4a,4,4a,4,4a
PQ660848,4,4a,1892,4,4a,7802,4,4a,4,4a,4,4a
PQ660849,1,1a,1893,1,1a,9036,1,1a,1,1a,1,1a
PQ660850,1,1a,1893,1,1a,9036,1,1a,1,1a,1,1a
PQ660851,1,1a,1893,1,1a,9032,1,1a,1,1a,1,1a
PQ660854,1,1a,1893,1,1a,9036,1,1a,1,1a,1,1a
PQ660856,4,4a,1892,4,4a,9029,4,4a,4,4a,4,4a
PQ660858,1,1a,1893,1,1a,9036,1,1a,1,1a,1,1a
PQ660859,4,4a,1892,4,4a,9029,4,4a,4,4a,4,4a
